# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|BG793658|11674	mgi_symbol|Aldo1|Aldo1
entrezgene|AB041034|50490	mgi_symbol|Nox4|Nox4
entrezgene|AF117613|15199	mgi_symbol|Hebp1|Hebp1
entrezgene|M63244|11656	mgi_symbol|Alas2|Alas2
refseq_dna|NM_011996|NM_011996	mgi_symbol|Adh4|Adh4
refseq_dna|NM_010742|NM_010742	mgi_symbol|Ly6d|Ly6d
entrezgene|AF342896|80782	mgi_symbol|Klrb1d|Klrb1d
refseq_dna|NM_007974|NM_007974	mgi_symbol|F2rl1|F2rl1
refseq_dna|NM_008526|NM_008526	mgi_symbol|Klrb1b|Klrb1b
refseq_dna|NM_020043|NM_020043	mgi_symbol|Nope|Nope
refseq_dna|NM_013749|NM_013749	mgi_symbol|Tnfrsf12a|Tnfrsf12a
entrezgene|AF316985|21897	mgi_symbol|Tlr1|Tlr1
entrezgene|BC020004|64297	mgi_symbol|Gprc5b|Gprc5b
entrezgene|BB234940|12305	mgi_symbol|Ddr1|Ddr1
refseq_dna|NM_007657|NM_007657	mgi_symbol|Cd9|Cd9
entrezgene|BG793483|21813	mgi_symbol|Tgfbr2|Tgfbr2
refseq_dna|NM_007471|NM_007471	mgi_symbol|App|App
refseq_dna|NM_011906|NM_011906	mgi_symbol|Tpra40-pending|Tpra40-pending
entrezgene|M33324|14600	mgi_symbol|Ghr|Ghr
entrezgene|BM224327|14130	mgi_symbol|Fcgr2b|Fcgr2b
entrezgene|AK018789|18212	mgi_symbol|Ntrk2|Ntrk2
refseq_dna|NM_016847|NM_016847	mgi_symbol|Avpr1a|Avpr1a
entrezgene|AF009328|12355	mgi_symbol|Nr1i3|Nr1i3
entrezgene|BC025461|216350	mgi_symbol|Tm4sf3|Tm4sf3
refseq_dna|NM_010915|NM_010915	mgi_symbol|Ngfa|Ngfa
entrezgene|BC020038|71690	mgi_symbol|Esm1|Esm1
refseq_dna|NM_023517|NM_023517	mgi_symbol|Tnfsf13|Tnfsf13
entrezgene|M57525|16181	mgi_symbol|Il1rn|Il1rn
refseq_dna|NM_008341|NM_008341	mgi_symbol|Igfbp1|Igfbp1
entrezgene|AF068182|17060	mgi_symbol|Blnk|Blnk
refseq_dna|NM_026268|NM_026268	mgi_symbol|Dusp6|Dusp6
entrezgene|AV239587|12156	mgi_symbol|Bmp2|Bmp2
refseq_dna|NM_025658|NM_025658	mgi_symbol|Ms4a4d|Ms4a4d
refseq_dna|NM_008340|NM_008340	mgi_symbol|Igfals|Igfals
entrezgene|AI503490|11853	mgi_symbol|Rhoc|Rhoc
entrezgene|BE688720|19395
entrezgene|BG071632|15463	mgi_symbol|Hrb|Hrb
entrezgene|BM230485|19340	mgi_symbol|Rab3d|Rab3d
entrezgene|AF327929|19376	mgi_symbol|Rab34|Rab34
entrezgene|BG067878|66251	mgi_symbol|Arfgap3|Arfgap3
entrezgene|AY061807|75600	mgi_symbol|Calml4|Calml4
entrezgene|BC021916|20195	mgi_symbol|S100a11|S100a11
entrezgene|AV025472|23849	mgi_symbol|Copeb|Copeb
entrezgene|BF453911|652925	mgi_symbol|Dmtf1|Dmtf1
entrezgene|AW049660|18032	mgi_symbol|Nfix|Nfix
entrezgene|AW412521|16658	mgi_symbol|Mafb|Mafb
refseq_dna|NM_009052|NM_009052	mgi_symbol|Rex3|Rex3
entrezgene|AF059567|12579	mgi_symbol|Cdkn2b|Cdkn2b
refseq_dna|NM_007570|NM_007570	mgi_symbol|Btg2|Btg2
entrezgene|BC022135|71839	mgi_symbol|Okl38-pending|Okl38-pending
refseq_dna|NM_009770|NM_009770	mgi_symbol|Btg3|Btg3
entrezgene|BI078799|50918	mgi_symbol|Myadm|Myadm
entrezgene|BC010403|19165	mgi_symbol|Psen2|Psen2
refseq_dna|NM_009690|NM_009690	mgi_symbol|Cd5l|Cd5l
entrezgene|BC003475|22151	mgi_symbol|Tubb2|Tubb2
refseq_dna|NM_019682|NM_019682	mgi_symbol|Dnclc1|Dnclc1
entrezgene|AV224521|227753	mgi_symbol|Gsn|Gsn
entrezgene|BC004638|20692	mgi_symbol|Sparc|Sparc
refseq_dna|NM_010917|NM_010917	mgi_symbol|Nid1|Nid1
entrezgene|BF583242|11658	mgi_symbol|Alcam|Alcam
embl|AK006809|AK006809	mgi_symbol|Smoc2|Smoc2
entrezgene|AF126834|19041	mgi_symbol|Ppl|Ppl
entrezgene|BE381767|93673	mgi_symbol|Cml2|Cml2
refseq_dna|NM_023455|NM_023455	mgi_symbol|Cml4|Cml4
refseq_dna|NM_023160|NM_023160	mgi_symbol|Cml1|Cml1
refseq_dna|NM_007899|NM_007899	mgi_symbol|Ecm1|Ecm1
refseq_dna|NM_007833|NM_007833	mgi_symbol|Dcn|Dcn
refseq_dna|NM_007423|NM_007423	mgi_symbol|Afp|Afp
entrezgene|BC010769|11808	mgi_symbol|Apoa4|Apoa4
refseq_dna|NM_016900|NM_016900	mgi_symbol|Cav2|Cav2
entrezgene|BC006732|13056	mgi_symbol|Cyb561|Cyb561
refseq_dna|NM_018816|NM_018816	mgi_symbol|Apom|Apom
entrezgene|M30697|18671	mgi_symbol|Abcb1a|Abcb1a
entrezgene|BC026948|103655	mgi_symbol|Sec14l4|Sec14l4
entrezgene|BC022130|231583	mgi_symbol|Slc26a1|Slc26a1
refseq_dna|NM_021022|NM_021022	mgi_symbol|Abcb11|Abcb11
entrezgene|AI593492|320940	mgi_symbol|Atp11c|Atp11c
refseq_dna|NM_021370|NM_021370	mgi_symbol|Accn5|Accn5
refseq_dna|NM_010740|NM_010740	mgi_symbol|C1qr1|C1qr1
refseq_dna|NM_007796|NM_007796	mgi_symbol|Ctla2a|Ctla2a
refseq_dna|NM_016704|NM_016704	mgi_symbol|C6|C6
entrezgene|BC022129|110382	mgi_symbol|C8b|C8b
refseq_dna|NM_023123|NM_023123	mgi_symbol|H19|H19
refseq_dna|NM_008935|NM_008935	mgi_symbol|Prom1|Prom1
refseq_dna|NM_032002|NM_032002	mgi_symbol|Nrg4|Nrg4
entrezgene|BC011152|105348	mgi_symbol|Golph2|Golph2
entrezgene|BM935811|16403
refseq_dna|NM_011979|NM_011979	mgi_symbol|Vnn3|Vnn3
refseq_dna|NM_133662|NM_133662	mgi_symbol|Ier3|Ier3
entrezgene|AB034693|59308	mgi_symbol|Emcn-pending|Emcn-pending
entrezgene|AK004598|71703	mgi_symbol|Alex3-pending|Alex3-pending
refseq_dna|NM_013562|NM_013562	mgi_symbol|Ifrd1|Ifrd1
entrezgene|BC007478|22381	mgi_symbol|Wbp5|Wbp5
entrezgene|C76322|21346	mgi_symbol|Tagln2|Tagln2
refseq_dna|NM_009636|NM_009636	mgi_symbol|Aebp1|Aebp1
entrezgene|BB221402|14311	mgi_symbol|Fsp27|Fsp27
entrezgene|BC027197|211389	mgi_symbol|Suox|Suox
refseq_dna|NM_007792|NM_007792	mgi_symbol|Csrp2|Csrp2
entrezgene|BC020489|223672	mgi_symbol|LOC223672|LOC223672
entrezgene|BC025145|19266	mgi_symbol|MGC36851|MGC36851
entrezgene|BF580567|353502	mgi_symbol|Hcfc1r1|Hcfc1r1
refseq_dna|NM_019999|NM_019999	mgi_symbol|Brp17|Brp17
entrezgene|BB464434|20364	mgi_symbol|Sepw1|Sepw1
entrezgene|BC025105|278180	mgi_symbol|A530061A11|A530061A11
refseq_dna|NM_010702|NM_010702	mgi_symbol|Lect2|Lect2
refseq_dna|NM_007995|NM_007995	mgi_symbol|Fcna|Fcna
refseq_dna|NM_016751|NM_016751	mgi_symbol|Clecsf13|Clecsf13
entrezgene|AK017241|229722	mgi_symbol|5330417C22Rik|5330417C22Rik
entrezgene|BC021795|217845	mgi_symbol|1810023F06Rik|1810023F06Rik
entrezgene|AK010477|69745	mgi_symbol|2410012M21Rik|2410012M21Rik
entrezgene|BC026654|235135	mgi_symbol|BC018222|BC018222
refseq_dna|NM_138685|NM_138685	mgi_symbol|9230106L14Rik|9230106L14Rik
entrezgene|AK018605|209378	mgi_symbol|4631408O11Rik|4631408O11Rik
embl|BG297038|BG297038
refseq_dna|NM_025703|NM_025703	mgi_symbol|3930402F23Rik|3930402F23Rik
entrezgene|AK007421|67469	mgi_symbol|1300003D03Rik|1300003D03Rik
entrezgene|AW111083|226654
refseq_dna|NM_138587|NM_138587	mgi_symbol|D6Wsu176e|D6Wsu176e
refseq_dna|NM_026473|NM_026473	mgi_symbol|2310057H16Rik|2310057H16Rik
refseq_dna|NM_026167|NM_026167	mgi_symbol|1200009K10Rik|1200009K10Rik
refseq_dna|NM_133770|NM_133770	mgi_symbol|0610012P18Rik|0610012P18Rik
refseq_dna|NM_026179|NM_026179	mgi_symbol|1300003D03Rik|1300003D03Rik
entrezgene|BG963358|227620	mgi_symbol|5730445F03Rik|5730445F03Rik
refseq_dna|NM_133929|NM_133929	mgi_symbol|E330009J07Rik|E330009J07Rik
entrezgene|BC026655|231238	mgi_symbol|2310045A20Rik|2310045A20Rik
refseq_dna|NM_133825|NM_133825	mgi_symbol|D1Ertd622e|D1Ertd622e
entrezgene|BC021951|69861	mgi_symbol|2010003K11Rik|2010003K11Rik
entrezgene|AB056443|171405	mgi_symbol|D630002G06|D630002G06
entrezgene|BI649826|69534	mgi_symbol|2310008N12Rik|2310008N12Rik
refseq_dna|NM_133775|NM_133775	mgi_symbol|9230117N10Rik|9230117N10Rik
entrezgene|BC019471|72056	mgi_symbol|1810055G02Rik|1810055G02Rik
refseq_dna|NM_028785|NM_028785	mgi_symbol|1200017A24Rik|1200017A24Rik
entrezgene|BC020021|72747	mgi_symbol|2810439F02Rik|2810439F02Rik
entrezgene|AA215276|103844
entrezgene|AK009207|76429	mgi_symbol|2310007H09Rik|2310007H09Rik
refseq_dna|NM_133960|NM_133960	mgi_symbol|9130231C15Rik|9130231C15Rik
entrezgene|BC021842|96935	mgi_symbol|E430021N18Rik|E430021N18Rik
entrezgene|BC010592|66071	mgi_symbol|0610025L15Rik|0610025L15Rik
refseq_dna|NM_134147|NM_134147	mgi_symbol|D930010J01Rik|D930010J01Rik
