Gene Symbol	Gene Title	Row_Column	log2 Par4	log2 emptyvector_control	log2 (Par4/vector)	abs fold-change	10%FDR	5%FDR	1%FDR	Alignments	RefSeq Protein ID	RefSeq Transcript ID	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Pathway
ACVR2A	activin A receptor, type IIA	59_7	0.897867859	0.326958147	0.570909712	1.485459953	yes	yes	yes	chr2:148319033-148401980 (+) // 98.19 // q22.3	NP_001607.1	NM_001616	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7178 // transmembrane receptor protein serine/threonine kinase signaling pathway // traceable author statement /// 7178 // transmembrane receptor protein serine/threonine kinase signaling pathway // inferred from electronic annotation	5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	166 // nucleotide binding // inferred from electronic annotation /// 287 // magnesium ion binding // inferred from electronic annotation /// 4872 // receptor activity // inferred from electronic annotation /// 5024 // transforming growth factor beta receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 4675 // transmembrane receptor protein serine/threonine kinase activity // inferred from electronic annotation /// 4702 // receptor signaling protein serine/threonine kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4675 // transmembrane receptor protein serine/threonine kinase activity // traceable author statement	---
ACSL3	Acyl-CoA synthetase long-chain family member 3	147_21	0.029744573	0.637830232	-0.608085659	1.524235328	yes	yes	yes	chr2:223433975-223517586 (+) // 97.5 // q36.1	NP_004448.2 /// NP_976251.1	NM_004457 /// NM_203372	6629 // lipid metabolism // inferred from electronic annotation /// 6631 // fatty acid metabolism // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	5777 // peroxisome // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 4321 // fatty-acyl-CoA synthase activity // traceable author statement /// 4467 // long-chain-fatty-acid-CoA ligase activity // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation	Fatty_Acid_Degradation // GenMAPP /// Fatty_Acid_Degradation // GenMAPP /// Mitochondrial_fatty_acid_betaoxidation // GenMAPP /// Mitochondrial_fatty_acid_betaoxidation // GenMAPP /// Fatty acid metabolism // KEGG /// PPAR signaling pathway // KEGG /// Adipocytokine signaling pathway // KEGG
ACSS1	acyl-CoA synthetase short-chain family member 1	283_43	0.599667034	-0.017663859	0.617330893	1.534034462	yes	yes	yes	chr20:24934872-24952277 (-) // 98.47 // p11.21	NP_115890.2	NM_032501	8152 // metabolism // inferred from electronic annotation	5739 // mitochondrion // inferred from electronic annotation	3824 // catalytic activity // inferred from electronic annotation /// 3987 // acetate-CoA ligase activity // inferred from electronic annotation /// 16208 // AMP binding // inferred from electronic annotation /// 16874 // ligase activity // inferred from electronic annotation	Pyruvate metabolism // KEGG /// Propanoate metabolism // KEGG
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif, 7	67_45	2.162341032	2.745461888	-0.583120857	1.498086426	yes	yes	yes	chr15:76850191-76890629 (-) // 91.76 // q25.1	NP_055087.2	NM_014272	6508 // proteolysis // inferred from electronic annotation /// 7229 // integrin-mediated signaling pathway // inferred from electronic annotation	5578 // extracellular matrix (sensu Metazoa) // inferred from electronic annotation /// 31012 // extracellular matrix // inferred from electronic annotation	4222 // metalloendopeptidase activity // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 8237 // metallopeptidase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 8237 // metallopeptidase activity // traceable author statement	---
AP2S1	adaptor-related protein complex 2, sigma 1 subunit	99_34	0.397809398	1.063809389	-0.665999991	1.586667677	yes	yes	yes	chr19:52033263-52045931 (-) // 98.59 // q13.32	NP_004060.2 /// NP_067586.1	NM_004069 /// NM_021575	6810 // transport // inferred from electronic annotation /// 6886 // intracellular protein transport // inferred from electronic annotation /// 30100 // regulation of endocytosis // traceable author statement /// 48268 // clathrin cage assembly // traceable author statement	5905 // coated pit // inferred from electronic annotation /// 30122 // AP-2 adaptor complex // traceable author statement /// 30662 // coated vesicle membrane // inferred from electronic annotation	8565 // protein transporter activity // non-traceable author statement /// 5215 // transporter activity // non-traceable author statement	---
AEBP1	AE binding protein 1	277_1	-1.04253924	-1.697018081	0.654478841	1.574047242	yes	yes	yes	chr7:44110650-44120683 (+) // 94.84 // p13	NP_001120.3	NM_001129	1501 // skeletal development // traceable author statement /// 6508 // proteolysis // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation /// 7517 // muscle development // traceable author statement /// 6725 // aromatic compound metabolism // inferred from electronic annotation	5737 // cytoplasm // not recorded	3700 // transcription factor activity // traceable author statement /// 4180 // carboxypeptidase activity // traceable author statement /// 4182 // carboxypeptidase A activity // inferred from electronic annotation /// 4180 // carboxypeptidase activity // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation /// 8199 // ferric iron binding // inferred from electronic annotation	---
AHNAK	AHNAK nucleoprotein (desmoyokin)	82_62	-0.332132817	0.245250769	-0.577383587	1.492140707	yes	yes	yes	chr11:62040583-62047156 (+) // 98.91 // q12.3	NP_001611.1 /// NP_076965.2	NM_001620 /// NM_024060	7399 // nervous system development // non-traceable author statement	5634 // nucleus // non-traceable author statement /// 5634 // nucleus // inferred from electronic annotation	5515 // protein binding // inferred from electronic annotation	---
ALDOA	aldolase A, fructose-bisphosphate	86_39	-0.554894114	0.065226561	-0.620120675	1.537003739	yes	yes	yes	chr16:29983006-29989235 (+) // 99.93 // p11.2	NP_000025.1 /// NP_908930.1 /// NP_908932.1	NM_000034 /// NM_184041 /// NM_184043	6000 // fructose metabolism // traceable author statement /// 6096 // glycolysis // traceable author statement /// 6941 // striated muscle contraction // traceable author statement /// 8152 // metabolism // inferred from electronic annotation /// 6096 // glycolysis // inferred from electronic annotation	---	4332 // fructose-bisphosphate aldolase activity // traceable author statement /// 16829 // lyase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 3824 // catalytic activity // inferred from electronic annotation /// 4332 // fructose-bisphosphate aldolase activity // inferred from electronic annotation	Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis / Gluconeogenesis // KEGG /// Pentose phosphate pathway // KEGG /// Inositol metabolism // KEGG /// Fructose and mannose metabolism // KEGG /// Carbon fixation // KEGG
ALDOC	aldolase C, fructose-bisphosphate	243_55	-0.550860609	0.0363459	-0.587206509	1.502334957	yes	yes	yes	chr17:23924265-23927989 (-) // 98.36 // q11.2	NP_005156.1	NM_005165	6000 // fructose metabolism // traceable author statement /// 6096 // glycolysis // inferred from electronic annotation /// 8152 // metabolism // inferred from electronic annotation	---	4332 // fructose-bisphosphate aldolase activity // traceable author statement /// 16829 // lyase activity // inferred from electronic annotation /// 3824 // catalytic activity // inferred from electronic annotation /// 4332 // fructose-bisphosphate aldolase activity // inferred from electronic annotation	Glycolysis_and_Gluconeogenesis // GenMAPP /// Glycolysis / Gluconeogenesis // KEGG /// Pentose phosphate pathway // KEGG /// Inositol metabolism // KEGG /// Fructose and mannose metabolism // KEGG /// Carbon fixation // KEGG
ALPI	alkaline phosphatase, intestinal	293_66	-0.369277097	0.170625762	-0.539902859	1.45387462	yes	yes	yes	chr2:233029108-233032984 (+) // 95.71 // q37.1	NP_001622.1	NM_001631	8152 // metabolism // inferred from electronic annotation /// 16310 // phosphorylation // non-traceable author statement	16020 // membrane // non-traceable author statement /// 16021 // integral to membrane // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation	287 // magnesium ion binding // inferred from electronic annotation /// 4035 // alkaline phosphatase activity // non-traceable author statement /// 8270 // zinc ion binding // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation /// 48503 // GPI anchor binding // inferred from electronic annotation /// 4035 // alkaline phosphatase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation	gamma-Hexachlorocyclohexane degradation // KEGG /// Folate biosynthesis // KEGG /// Two-component system - General // KEGG
H2-ALPHA	alpha-tubulin isotype H2-alpha	94_6	0.183189938	0.720579837	-0.5373899	1.451344392	yes	yes	yes	chr2:131956594-131956891 (+) // 98.99 // q21.1 /// chr13:18646002-18646299 (-) // 95.29 // q12.11 /// chr2:130665873-130666170 (-) // 97.64 // q21.1	NP_525125.1	NM_080386	7018 // microtubule-based movement // inferred from electronic annotation /// 51258 // protein polymerization // inferred from electronic annotation /// 7017 // microtubule-based process // non-traceable author statement	5874 // microtubule // inferred from electronic annotation /// 43234 // protein complex // inferred from electronic annotation /// 5874 // microtubule // non-traceable author statement	3924 // GTPase activity // inferred from electronic annotation /// 5198 // structural molecule activity // inferred from electronic annotation /// 5525 // GTP binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 166 // nucleotide binding // inferred from electronic annotation /// 5525 // GTP binding // non-traceable author statement	---
ABP1	Amiloride binding protein 1 (amine oxidase (copper-containing))	17_107	-0.066220204	0.805261425	-0.871481629	1.82954085	yes	yes	yes	chr7:150051824-150052300 (+) // 98.76 // q36.1	NP_001082.2	NM_001091	8152 // metabolism // not recorded /// 7519 // striated muscle development // inferred from sequence or structural similarity /// 9790 // embryonic development // inferred from sequence or structural similarity /// 30182 // neuron differentiation // inferred from sequence or structural similarity /// 31175 // neurite development // inferred from sequence or structural similarity /// 43525 // positive regulation of neuron apoptosis // inferred from sequence or structural similarity /// 48675 // axon extension // inferred from sequence or structural similarity /// 45 // autophagic vacuole formation // inferred from direct assay /// 45893 // positive regulation of transcription, DNA-dependent // inferred from direct assay /// 1523 // retinoid metabolism // inferred from direct assay /// 6259 // DNA metabolism // inferred from electronic annotation /// 6281 // DNA repair // inferred from electronic annotation /// 6310 // DNA recombination // inferred from electronic annotation /// 6974 // response to DNA damage stimulus // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6811 // ion transport // inferred from electronic annotation /// 6820 // anion transport // inferred from electronic annotation /// 6118 // electron transport // inferred from electronic annotation /// 6809 // nitric oxide biosynthesis // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7049 // cell cycle // inferred from electronic annotation /// 51301 // cell division // inferred from electronic annotation /// 160 // two-component signal transduction system (phosphorelay) // inferred from electronic annotation /// 6355 // regulation of transcription, DNA-dependent // inferred from electronic annotation /// 6813 // potassium ion transport // inferred from electronic annotation /// 7165 // signal transduction // inferred from electronic annotation /// 7605 // sensory perception of sound // inferred from electronic annotation /// 6915 // apoptosis // inferred from electronic annotation /// 7264 // small GTPase mediated signal transduction // inferred from electronic annotation /// 6464 // protein modification // inferred from electronic annotation /// 6350 // transcription // inferred from electronic annotation /// 16568 // chromatin modification // inferred from electronic annotation /// 6886 // intracellular protein transport // inferred from electronic annotation /// 43087 // regulation of GTPase activity // inferred from electronic annotation /// 6508 // proteolysis // inferred from electronic annotation /// 7242 // intracellular signaling cascade // inferred from electronic annotation /// 6633 // fatty acid biosynthesis // inferred from electronic annotation /// 8610 // lipid biosynthesis // inferred from electronic annotation /// 6814 // sodium ion transport // inferred from electronic annotation /// 6281 // DNA repair // traceable author statement /// 7126 // meiosis // traceable author statement /// 6820 // anion transport // traceable author statement /// 6928 // cell motility // traceable author statement /// 8283 // cell proliferation // traceable author statement /// 6813 // potassium ion transport // traceable author statement /// 6936 // muscle contraction // traceable author statement /// 8016 // regulation of heart contraction // traceable author statement /// 6468 // protein amino acid phosphorylation // traceable author statement /// 7165 // signal transduction // traceable author statement /// 8624 // induction of apoptosis by extracellular signals // traceable author statement /// 6357 // regulation of transcription from RNA polymerase II promoter // traceable author statement /// 6810 // transport // traceable author statement /// 6260 // DNA replication // traceable author statement /// 9887 // organ morphogenesis // traceable author statement /// 8015 // circulation // non-traceable author statement /// 6695 // cholesterol biosynthesis // non-traceable author statement /// 6520 // amino acid metabolism // not recorded /// 6338 // chromatin remodeling // not recorded /// 30041 // actin filament polymerization // not recorded	5777 // peroxisome // non-traceable author statement /// 5634 // nucleus // inferred from sequence or structural similarity /// 5737 // cytoplasm // inferred from sequence or structural similarity /// 16020 // membrane // inferred from sequence or structu	5507 // copper ion binding // inferred from electronic annotation /// 5509 // calcium ion binding // inferred from electronic annotation /// 8131 // amine oxidase activity // inferred from direct assay /// 8144 // drug binding // not recorded /// 8201 // heparin binding // inferred from electronic annotation /// 16491 // oxidoreductase activity // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 5102 // receptor binding // inferred from physical interaction /// 8134 // transcription factor binding // inferred from physical interaction /// 35257 // nuclear hormone receptor binding // inferred from physical interaction /// 4674 // protein serine/threonine kinase activity // inferred from sequence or structural similarity /// 5176 // ErbB-2 class receptor binding // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from sequence or structural similarity /// 16301 // kinase activity // inferred from sequence or structural similarity /// 30549 // acetylcholine receptor activator activity // inferred from sequence or structural similarity /// 43125 // ErbB-3 class receptor binding // inferred from sequence or structural similarity /// 50321 // tau-protein kinase activity // inferred from sequence or structural similarity /// 30528 // transcription regulator activity // inferred from direct assay /// 3677 // DNA binding // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 8094 // DNA-dependent ATPase activity // inferred from electronic annotation /// 5452 // inorganic anion exchanger activity // inferred from electronic annotation /// 15297 // antiporter activity // inferred from electronic annotation /// 15380 // anion exchanger activity // inferred from electronic annotation /// 8131 // amine oxidase activity // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4517 // nitric-oxide synthase activity // inferred from electronic annotation /// 5506 // iron ion binding // inferred from electronic annotation /// 5516 // calmodulin binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 9055 // electron carrier activity // inferred from electronic annotation /// 10181 // FMN binding // inferred from electronic annotation /// 20037 // heme binding // inferred from electronic annotation /// 50660 // FAD binding // inferred from electronic annotation /// 50661 // NADP binding // inferred from electronic annotation /// 166 // nucleotide binding // inferred from electronic annotation /// 4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 155 // two-component sensor activity // inferred from electronic annotation /// 4871 // signal transducer activity // inferred from electronic annotation /// 5216 // ion channel activity // inferred from electronic annotation /// 5244 // voltage-gated ion channel activity // inferred from electronic annotation /// 5249 // voltage-gated potassium channel activity // inferred from electronic annotation /// 5267 // potassium channel activity // inferred from electronic annotation /// 30955 // potassium ion binding // inferred from electronic annotation /// 5525 // GTP binding // inferred from electronic annotation /// 16887 // ATPase activity // inferred from electronic annotation /// 17111 // nucleoside-triphosphatase activity // inferred from electronic annotation /// 42626 // ATPase activity, coupled to transmembrane movement of substances // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 5096 // GTPase activator activity // inferred from electronic annotation /// 4190 // aspartic-type endopeptidase activity // inferred from electronic annotation /// 8233 // peptidase activity // inferred from electronic annotation /// 16757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation /// 30145 // manganese ion binding // inferred from electronic annotation /// 3676 // nucleic acid binding // inferred from electronic annotation /// 4653 // polypeptide N-acetylgalactosaminyltransferase activity // inferred from electronic annotation /// 5529 // sugar binding // inferred from electronic annotation /// 8168 // methyltransferase activity // inferred from electronic annotation /// 18024 // histone-lysine N-methyltransferase activity // inferred from electronic annotation /// 50510 // N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity // inferred from electronic annotation /// 5272 // sodium channel activity // inferred from electronic annotation /// 15280 // amiloride-sensitive sodium channel activity // inferred from electronic annotation /// 31402 // sodium ion binding // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation /// 8509 // anion transporter activity // traceable author statement /// 8131 // amine oxidase activity // traceable author statement /// 4517 // nitric-oxide synthase activity // traceable author statement /// 4672 // protein kinase activity // traceable author statement /// 4674 // protein serine/threonine kinase activity // traceable author statement /// 4693 // cyclin-dependent protein kinase activity // traceable author statement /// 5251 // delayed rectifier potassium channel activity // traceable author statement /// 3924 // GTPase activity // traceable author statement /// 5525 // GTP binding // traceable author statement /// 3713 // transcription coactivator activity // traceable author statement /// 5215 // transporter activity // traceable author statement /// 5524 // ATP binding // traceable author statement /// 3677 // DNA binding // traceable author statement /// 51015 // actin filament binding // not recorded	ACE-Inhibitor_pathway_PharmGKB // GenMAPP /// Smooth_muscle_contraction // GenMAPP /// Fatty_Acid_Synthesis // GenMAPP /// Fatty_Acid_Synthesis // GenMAPP /// Glycine, serine and threonine metabolism // KEGG /// Arginine and proline metabolism // KEGG /// Histidine metabolism // KEGG /// Tyrosine metabolism // KEGG /// Phenylalanine metabolism // KEGG /// Tryptophan metabolism // KEGG /// beta-Alanine metabolism // KEGG /// Alkaloid biosynthesis II // KEGG
APP	amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)	229_12	0.863404299	0.268324673	0.595079626	1.510555955	yes	yes	yes	chr21:26175083-26464927 (-) // 94.86 // q21.3	NP_000475.1 /// NP_958816.1 /// NP_958817.1	NM_000484 /// NM_201413 /// NM_201414	6878 // copper ion homeostasis // traceable author statement /// 6897 // endocytosis // inferred from electronic annotation /// 6915 // apoptosis // inferred from electronic annotation /// 7155 // cell adhesion // inferred from electronic annotation /// 7219 // Notch signaling pathway // inferred from electronic annotation /// 50905 // neuromuscular physiological process // non-traceable author statement /// 6118 // electron transport // inferred from electronic annotation	5576 // extracellular region // traceable author statement /// 5887 // integral to plasma membrane // traceable author statement /// 5905 // coated pit // inferred from electronic annotation /// 9986 // cell surface // inferred from direct assay /// 16020	4867 // serine-type endopeptidase inhibitor activity // inferred from direct assay /// 4867 // serine-type endopeptidase inhibitor activity // non-traceable author statement /// 5506 // iron ion binding // inferred from electronic annotation /// 5507 // copper ion binding // inferred from electronic annotation /// 5515 // protein binding // inferred from physical interaction /// 8201 // heparin binding // inferred from electronic annotation /// 8270 // zinc ion binding // inferred from electronic annotation /// 46872 // metal ion binding // inferred from electronic annotation /// 4866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 4867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation /// 5488 // binding // inferred from electronic annotation /// 5515 // protein binding // inferred from electronic annotation /// 9055 // electron carrier activity // inferred from electronic annotation /// 20037 // heme binding // inferred from electronic annotation	---
ALS2CR10	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 10	118_31	-0.319597945	-1.001075372	0.681477427	1.603781306	yes	yes	yes	chr2:201713251-201726892 (-) // 88.26 // q33.1	---	---	---	---	---	---
AMOTL2	angiomotin like 2	218_40	1.088218465	0.489966236	0.598252229	1.513881444	yes	yes	yes	chr3:135557412-135572337 (-) // 99.04 // q22.1	NP_057285.3	NM_016201	---	---	---	---
ANGPTL1	angiopoietin-like 1	264_92	-0.070877632	0.698788199	-0.76966583	1.70487484	yes	yes	yes	chr1:177086260-177101534 (-) // 96.87 // q25.2	NP_004664.1	NM_004673	---	5615 // extracellular space // inferred from direct assay	5102 // receptor binding // traceable author statement	---
