Column #	Probeset ID	Gene Symbol	Gene Title	RefSeq Transcript ID	p-value(MDS vs. Non-leukemia and healthy bone marrow)	stepup(p-value(MDS vs. Non-leukemia and healthy bone marrow))	Fold-Change(MDS vs. Non-leukemia and healthy bone marrow)	MDS - Mean	MDS - Median	MDS - Std	Non-leukemia and healthy bone marrow - Mean	Non-leukemia and healthy bone marrow - Median	Non-leukemia and healthy bone marrow - Std
26886	217591_at				3.56E-15	2.40E-11	-2.14234	6.16219	6.02978	0.912905	7.26138	7.34632	1.12405
35484	226218_at	IL7R	interleukin 7 receptor	NM_002185	3.58E-07	7.31E-05	-2.13785	7.27408	7.16752	1.51799	8.37025	8.54916	1.63878
12870	203413_at	NELL2	NEL-like 2 (chicken)	NM_001145107 /// NM_001145108 /// NM_001145109 /// NM_001145110 /// NM_006159	3.95E-15	2.40E-11	-2.12358	6.01934	5.88074	0.876136	7.10584	7.20266	1.17416
14724	205267_at	POU2AF1	POU class 2 associating factor 1	NM_006235	2.08E-07	4.87E-05	-2.1106	6.48511	6.46341	1.50489	7.56277	7.72769	1.45961
54276	37145_at	GNLY	granulysin	NM_006433 /// NM_012483	2.67E-06	0.000337669	-2.10005	8.02013	8.07684	1.64743	9.09055	9.19782	1.64852
32184	222895_s_at	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	NM_022898 /// NM_138576	5.97E-08	1.79E-05	-2.09111	6.21051	6.15068	1.42152	7.27478	7.26971	1.37527
30504	221211_s_at	C21orf7	chromosome 21 open reading frame 7	NM_020152	4.22E-10	3.74E-07	-2.07557	4.18963	3.85532	1.15231	5.24314	5.23987	1.32492
21846	212531_at	LCN2	lipocalin 2	NM_005564	4.87E-09	2.69E-06	-2.04918	12.3135	12.7911	1.43017	13.3485	13.4542	0.5831
14080	204623_at	TFF3	trefoil factor 3 (intestinal)	NM_003226	2.36E-12	4.29E-09	-2.04253	6.96457	6.81322	1.10827	7.99492	8.17881	0.797367
20687	211339_s_at	ITK	IL2-inducible T-cell kinase	NM_005546	5.87E-08	1.77E-05	-2.04058	6.34659	6.33973	1.34944	7.37557	7.48729	1.39645
14952	205495_s_at	GNLY	granulysin	NM_006433 /// NM_012483	3.11E-06	0.00037824	-2.03891	7.63408	7.61786	1.58428	8.66189	8.6579	1.61699
927	1553518_at	DEFT1P	defensin, theta 1 pseudogene		5.57E-11	7.48E-08	-2.0294	5.72471	5.42709	1.12614	6.74576	6.8109	1.0401
45457	236198_at				5.61E-11	7.48E-08	-2.02123	4.59221	4.48875	1.09949	5.60744	5.61342	1.09415
14348	204891_s_at	LCK	lymphocyte-specific protein tyrosine kinase	NM_001042771 /// NM_005356	2.32E-07	5.31E-05	-2.00163	6.94251	6.88178	1.37097	7.94368	7.93106	1.45271
15384	205927_s_at	CTSE	cathepsin E	NM_001910 /// NM_148964	1.61E-08	6.91E-06	-1.99707	7.3827	7.35262	1.32701	8.38059	8.55504	1.07167
14497	205040_at	ORM1	orosomucoid 1	NM_000607	3.58E-07	7.31E-05	-1.9922	8.95739	9.35897	1.53224	9.95175	10.1231	0.970954
28822	219528_s_at	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	NM_022898 /// NM_138576	7.49E-08	2.17E-05	-1.98862	6.21224	6.21377	1.29827	7.20401	7.20167	1.39354
22984	213674_x_at	IGHD	immunoglobulin heavy constant delta		3.05E-07	6.59E-05	-1.9647	7.1365	7.05508	1.35406	8.11081	8.00817	1.41275
30642	221349_at	VPREB1	pre-B lymphocyte 1	NM_007128	1.80E-15	1.41E-11	-1.95965	4.32106	4.11089	0.721075	5.29166	4.91226	1.13286
42564	233302_at				5.43E-06	0.000572451	-1.92578	4.80195	4.34697	1.34353	5.74739	5.01412	1.88368
29864	220570_at	RETN	resistin	NM_020415	1.28E-09	9.32E-07	-1.91888	9.68362	9.77986	1.19416	10.6239	10.7265	0.799157
47325	238066_at	RBP7	retinol binding protein 7, cellular	NM_052960	5.25E-09	2.84E-06	-1.91451	7.25613	7.45694	1.25033	8.19311	8.25231	0.786237
14754	205297_s_at	CD79B	CD79b molecule, immunoglobulin-associated beta	NM_000626 /// NM_001039933 /// NM_021602	3.65E-14	1.39E-10	-1.91215	6.1998	6.06604	0.760735	7.135	7.05257	1.10279
12101	202643_s_at	TNFAIP3	tumor necrosis factor, alpha-induced protein 3	NM_006290	3.65E-06	0.000422005	-1.90668	8.46462	8.71976	1.53855	9.39569	9.48341	1.18384
23779	214470_at	KLRB1	killer cell lectin-like receptor subfamily B, member 1	NM_002258	1.03E-08	5.01E-06	-1.90406	7.05238	7.1347	1.16366	7.98146	8.13304	1.15309
54417	44790_s_at	C13orf18	chromosome 13 open reading frame 18	NM_025113	8.78E-08	2.46E-05	-1.88311	5.58663	5.59219	1.27271	6.49974	6.38154	1.0834
2459	1555613_a_at	ZAP70	zeta-chain (TCR) associated protein kinase 70kDa	NM_001079 /// NM_207519	3.18E-10	3.11E-07	-1.86344	6.18488	6.07588	0.969884	7.08284	6.93073	1.13265
38293	229029_at	CAMK4	calcium/calmodulin-dependent protein kinase IV	NM_001744	6.33E-15	3.46E-11	-1.85779	3.99238	3.78553	0.729955	4.88596	4.82094	0.966966
17106	207655_s_at	BLNK	B-cell linker	NM_001114094 /// NM_013314	1.07E-06	0.000170192	-1.85078	5.23746	5.19163	1.30522	6.12559	6.3686	1.3367
