Probe Set ID	p-value	Gene Symbol
204905_s_at	0.006166386	EEF1E1
204946_s_at	0.007345859	TOP3A
204960_at	0.000477747	PTPRCAP
204974_at	0.002022081	RAB3A
205039_s_at	0.001419281	IKZF1
205058_at	0.006059806	SLC26A1
205095_s_at	0.004768067	ATP6V0A1
205099_s_at	0.006072079	CCR1
205124_at	0.008655451	MEF2B
205145_s_at	0.006041481	LOC649851 /// MYL5
205192_at	0.007002972	MAP3K14
205211_s_at	0.001658351	RIN1
205212_s_at	0.008412873	CENTB1
205244_s_at	0.005482014	SLC13A3
205273_s_at	0.00740795	PITRM1
205276_s_at	0.007536922	GTPBP1
205292_s_at	0.006849228	HNRNPA2B1
205382_s_at	0.000268483	CFD
205395_s_at	0.002061574	MRE11A
205417_s_at	0.008103241	DAG1
205424_at	0.008191009	TBKBP1
205437_at	0.00472713	ZNF211
205451_at	0.006501421	FOXO4
205497_at	0.008620986	ZNF175
205508_at	0.002383099	SCN1B
205582_s_at	0.001810738	GGT5
205641_s_at	0.001487669	TRADD
205657_at	0.000168029	HAAO
205662_at	0.008035886	B9D1
205674_x_at	0.005795283	FXYD2
205683_x_at	0.005256193	TPSAB1 /// TPSB2
205708_s_at	0.005867408	TRPM2
205763_s_at	0.009669236	DDX18
205811_at	0.002712418	POLG2
205843_x_at	0.005377109	CRAT
205845_at	0.007391838	CACNA1H
205853_at	0.006354904	ZBTB7B
205919_at	0.005850312	HBE1
206047_at	0.004744257	GNB3
206052_s_at	9.60071E-05	SLBP
206055_s_at	0.00267734	SNRPA1
206056_x_at	0.003607402	SPN
206086_x_at	0.005666161	HFE
206115_at	0.008834824	EGR3
206146_s_at	0.006853378	RHAG
206148_at	0.00748595	IL3RA
206152_at	0.001219771	CENTG1
206158_s_at	0.005578368	CNBP
206169_x_at	0.009056605	ZC3H7B
206200_s_at	0.00442387	ANXA11
206234_s_at	0.00393613	MMP17
206245_s_at	0.008600109	IVNS1ABP
206261_at	0.002981553	ZNF239
206287_s_at	0.007542781	ITIH4
206360_s_at	0.001828429	SOCS3
206362_x_at	0.009098014	MAP3K10
206399_x_at	0.005523304	CACNA1A
206402_s_at	0.006615998	NPFF
206416_at	0.001682729	ZNF205
206485_at	0.002692154	CD5
206509_at	0.005709565	PIP
206516_at	0.000269108	AMH
206540_at	0.006792319	GLB1L
206551_x_at	0.005621245	KLHL24
206559_x_at	0.006276573	EEF1A1
206564_at	0.004520919	OPRL1
206565_x_at	0.000367381	SMA4
206576_s_at	0.007477606	CEACAM1
206650_at	0.004089004	IQCC
206738_at	0.003836349	APOC4
206792_x_at	0.004634645	PDE4C
206814_at	0.009073404	NGF
206854_s_at	0.002724733	MAP3K7
206883_x_at	0.00298643	GP9
206892_at	0.004998116	AMHR2
206901_at	0.006946276	C19orf57
206975_at	0.002472311	LTA
207005_s_at	0.00191407	BCL2
207193_at	0.008768393	AGRP
207320_x_at	0.007882106	STAU1
207365_x_at	0.00300899	USP34
207384_at	0.005448652	PGLYRP1
207436_x_at	0.001625347	KIAA0894
207473_at	0.006456734	MLN
207482_at	0.006280553	C20orf10
207483_s_at	0.007723601	CAND1
207504_at	0.006051672	CA7
207543_s_at	0.007462531	P4HA1
207578_s_at	0.004987586	HTR4
207614_s_at	0.006082957	CUL1
207631_at	0.009350846	NBR2
207634_at	0.005120215	PDCD1
207641_at	0.008573886	TNFRSF13B
207654_x_at	0.008365628	DR1
207667_s_at	0.004226223	MAP2K3
207690_at	0.007234027	ALX3
207730_x_at	0.00435119
207738_s_at	0.003525054	NCKAP1
207812_s_at	0.008194023	GORASP2
207830_s_at	0.003593366	PPP1R8
207914_x_at	0.009530317	EVX1
207953_at	0.008359718	RP5-886K2.1
207986_x_at	0.000795842	CYB561
208029_s_at	0.002330195	LAPTM4B
208074_s_at	0.009681885	AP2S1
208120_x_at	0.009291562	FKSG49
208137_x_at	0.006708958	ZNF611
208140_s_at	0.00646459	LRRC48
208174_x_at	0.000892716	ZRSR2
208211_s_at	0.005528812	ALK
208222_at	0.004810798	ACVR1B
208228_s_at	0.003793382	FGFR2
208246_x_at	0.003940146
208267_at	0.005090936	TRPV5
208269_s_at	0.001545947	ADAM28
208390_s_at	0.003318727	GLP1R
208424_s_at	0.002241104	CIAPIN1
208445_s_at	0.004648609	BAZ1B
208468_at	0.009422986	SOX21
208469_s_at	0.004889617	EGFL8 /// PPT2
208505_s_at	2.71287E-05	FUT2
208612_at	0.00720016	PDIA3
208628_s_at	0.009256555	YBX1
208644_at	0.002647561	PARP1
208651_x_at	0.002389997	CD24
208654_s_at	0.003234345	CD164
208675_s_at	0.009000608	DDOST
208694_at	0.000116529	PRKDC
208696_at	0.004205414	CCT5
208707_at	0.002050778	EIF5
208724_s_at	0.008295359	RAB1A
208731_at	0.003767801	RAB2A
208766_s_at	0.001161396	HNRNPR
208767_s_at	0.007846396	LAPTM4B
208787_at	0.005913485	MRPL3
208803_s_at	0.007381032	SRP72
208822_s_at	0.005128795	DAP3
208830_s_at	0.009754712	SUPT6H
208836_at	0.006978551	ATP1B3
208838_at	0.006299756	CAND1
208839_s_at	0.003107765	CAND1
208875_s_at	0.008728064	PAK2
208884_s_at	0.002988615	UBR5
208889_s_at	0.009002061	NCOR2
208897_s_at	0.00447537	DDX18
208931_s_at	0.006801715	ILF3
208932_at	0.007975859	PPP4C
208948_s_at	0.003331681	STAU1
208952_s_at	0.009295135	LARP5
208979_at	0.000608449	NCOA6
208986_at	0.003347928	TCF12
208996_s_at	0.005784946	POLR2C
209015_s_at	0.008125243	DNAJB6
209024_s_at	0.000477078	SYNCRIP
209025_s_at	0.00083867	SYNCRIP
209047_at	0.005639981	AQP1
209089_at	0.005095422	RAB5A
209096_at	0.001958072	UBE2V2
209137_s_at	0.005423923	USP10
209143_s_at	0.004073321	CLNS1A
209157_at	0.004294117	DNAJA2
209180_at	0.008831565	RABGGTB
209181_s_at	0.00037142	RABGGTB
209187_at	0.000177942	DR1
209188_x_at	0.008094722	DR1
209218_at	0.00174872	SQLE
209233_at	0.00469163	EMG1
209241_x_at	0.007732417	MINK1
209246_at	0.006458998	ABCF2
209280_at	0.006652863	MRC2
209305_s_at	0.000359128	GADD45B
209311_at	0.007752965	BCL2L2
209316_s_at	0.003517685	HBS1L
209323_at	0.001838481	PRKRIR
209326_at	0.008263029	SLC35A2
209362_at	0.00551353	MED21
209381_x_at	0.005675439	SF3A2
209458_x_at	0.004442181	HBA1 /// HBA2
209487_at	0.006925032	RBPMS
209522_s_at	0.004563959	CRAT
209526_s_at	0.008623911	HDGFRP3
209547_s_at	0.003219224	SF4
209586_s_at	0.006162782	PRUNE
209611_s_at	0.005997414	SLC1A4
209663_s_at	0.005927972	ITGA7
209692_at	0.005380014	EYA2
209703_x_at	0.00485087	METTL7A
209721_s_at	0.007589444	IFFO
209771_x_at	0.004000584	CD24
209780_at	0.003646953	PHTF2
209786_at	0.00921202	HMGN4
209826_at	0.006880182	PPT2
209852_x_at	0.004740303	PSME3
209864_at	0.008893169	FRAT2
209879_at	0.00542066	SELPLG
209880_s_at	0.003691677	SELPLG
210019_at	0.007208135	CALML3
210069_at	0.007797106	CHKB /// CPT1B
210085_s_at	0.000767047	ANXA9
210128_s_at	0.003441051	LTB4R
210131_x_at	0.003057849	SDHC
210161_at	0.009748118
210184_at	0.00322895	ITGAX
210185_at	0.004727891	CACNB1
210225_x_at	0.009380301	LILRB3
210228_at	0.005509927	CSF2
210230_at	0.0006752
210243_s_at	0.008290567	B4GALT3
210244_at	0.008403405	CAMP
210283_x_at	0.006329063	LOC645139 /// LOC651789 /// PAIP1
210332_at	0.004310128	LOC100127899
210358_x_at	0.009043473	GATA2
210396_s_at	0.001994295	BOLA2 /// BOLA2B /// LOC440354 /// LOC595101
210406_s_at	0.000638259	RAB6A /// RAB6C
210434_x_at	0.000396107	JTB
210446_at	0.008870536	GATA1
210460_s_at	0.00488303	PSMD4
210466_s_at	0.006796042	SERBP1
210484_s_at	0.006793514	MGC31957 /// TNFRSF10C
210610_at	0.005379019	CEACAM1
210618_at	0.003060551	RAP1GAP
210646_x_at	0.008331674	RPL13A
210648_x_at	0.007773292	SNX3
210666_at	0.001904811	IDS
210679_x_at	0.002877635
210684_s_at	0.009062323	DLG4
210694_s_at	0.001573606	MID1
210766_s_at	0.005983102	CSE1L
210840_s_at	0.007479164	IQGAP1
210907_s_at	0.002022974	PDCD10
210927_x_at	0.000253686	JTB
210934_at	0.006367057	BLK
210958_s_at	0.002863626	LOC100128443 /// MAST4
211014_s_at	0.0014902	LOC161527 /// PML
211048_s_at	0.004912899	PDIA4
211059_s_at	0.000779989	GOLGA2
211112_at	0.002561605	SLC12A4
211143_x_at	0.004945575	NR4A1
211181_x_at	0.007032805	RUNX1
211186_s_at	0.00226418	AAK1
211217_s_at	0.008083214	KCNQ1
211228_s_at	0.006732364	RAD17
211316_x_at	0.000724349	CFLAR
211350_s_at	0.006265134	C6orf54
211452_x_at	0.006174274	LRRFIP1
211505_s_at	0.004580252	STAU1
211512_s_at	0.009449999	OGFR
211590_x_at	0.00745606	TBXA2R
211594_s_at	0.002333546	MRPL9
211605_s_at	0.004509071	RARA
211609_x_at	0.008587431	PSMD4
211615_s_at	0.004868906	LRPPRC
211660_at	0.001489939	POU2F2
211661_x_at	0.009753086	PTAFR
211696_x_at	0.005257593	HBB
211699_x_at	0.007172378	HBA1 /// HBA2
211711_s_at	0.008183262	PTEN
211745_x_at	0.007510972	HBA1 /// HBA2
211747_s_at	0.001164804	LSM5
211768_at	0.006665655	LAT2
211792_s_at	0.005952563	CDKN2C
211818_s_at	0.006624318	PDE4C
211830_s_at	0.00511435	CACNA1I
211837_s_at	0.003961769	PTCRA
211863_x_at	0.000582033	HFE
211875_x_at	0.003987155	PCDHGA10
211900_x_at	0.004458576	CD6
211935_at	0.002620562	ARL6IP1
211951_at	0.006696042	NOLC1
211967_at	0.004259201	TMEM123
212010_s_at	0.008115058	CDV3
212049_at	0.007143795	WIPF2
212053_at	0.003775668	PDXDC1
212124_at	0.002737036	ZMIZ1
212131_at	0.005306612	LSM14A
212132_at	0.000823368	LSM14A
212160_at	0.004379781	XPOT
212168_at	0.008034416	RBM12
212219_at	0.004243498	PSME4
212250_at	0.007424912	MTDH
212264_s_at	0.0078576	WAPAL
212271_at	0.001251496	MAPK1
212319_at	0.003958241	SGSM2
212371_at	0.00243508	FAM152A
212397_at	0.004836019	RDX
212449_s_at	0.005952695	LYPLA1
212461_at	0.000832423	AZIN1
212482_at	0.009732134	RMND5A
212519_at	0.004583798	UBE2E1
212568_s_at	0.003896529	DLAT
212572_at	0.003573994	STK38L
212581_x_at	0.007516811	GAPDH
212600_s_at	0.004994125	UQCRC2
212652_s_at	0.00780228	SNX4
212695_at	0.00024424	CRY2
212696_s_at	0.00268164	RNF4
212717_at	0.000689088	PLEKHM1
212740_at	0.001483003	PIK3R4
212766_s_at	0.006382146	ISG20L2
212899_at	0.005604501	CDC2L6
212904_at	0.001413905	LRRC47
212908_at	0.003108161	DNAJC16
212918_at	0.003654464	RECQL
212920_at	0.009724397
212962_at	0.006750015	SYDE1
212991_at	0.008071938	FBXO9
213007_at	0.007293714	FANCI
213011_s_at	0.00292274	TPI1
213088_s_at	0.002616565	DNAJC9
213089_at	0.009665002	GUSBP1
213101_s_at	0.003786272	ACTR3
213108_at	0.008180032	CAMK2A
213122_at	0.000293332	TSPYL5
213129_s_at	0.004938808	GCSH /// LOC730107
213145_at	0.001308851	FBXL14
213152_s_at	0.008373576	SFRS2B
213176_s_at	0.003183842	LTBP4
213250_at	0.008100964	CCDC85B
213257_at	0.000955543	SARM1
213261_at	0.004345565	LBA1
213377_x_at	0.008127999	RPS12
213391_at	0.002448601	DPY19L4
213404_s_at	0.000497835	RHEB
213412_at	0.003675005	TJP3
213453_x_at	0.00510374	GAPDH
213578_at	0.003473264	BMPR1A
213691_at	0.001972026
213768_s_at	0.006858223	ASCL1
213798_s_at	0.007308434	CAP1
213820_s_at	0.009723769	STARD5
213854_at	0.0023398	SYNGR1
213876_x_at	0.000541719	ZRSR2
213911_s_at	0.004607393	H2AFZ
213976_at	0.008552028	CIZ1
214027_x_at	0.00667478	DES /// FAM48A
214042_s_at	0.007853675	RPL22
214088_s_at	0.003661434	FUT3
214113_s_at	0.001288443	RBM8A
214119_s_at	0.000819151	FKBP1A
214125_s_at	0.002231786	NENF
214171_s_at	0.006286832	U2AF2
214199_at	0.005201084	SFTPD
214209_s_at	0.003276851	ABCB9
214213_x_at	0.002773155	LMNA
214237_x_at	0.002618575	PAWR
214296_x_at	0.007074452	C19orf36
214311_at	0.007140062	ZFPL1
214338_at	0.002801956	DNAJB12
214340_at	0.004397125	ALOX12P2
214352_s_at	0.002685473	KRAS
214368_at	0.003339926	RASGRP2
214411_x_at	0.005836161	CTRB2
214444_s_at	0.004625397	PVR
214486_x_at	0.008414493	CFLAR
214495_at	0.006229943	CACNG2
214594_x_at	0.004964536	ATP8B1
214627_at	0.003711549	EPX
214656_x_at	0.004242943	MYO1C
214707_x_at	0.004509324	ALMS1
214715_x_at	0.002043291	ZNF160
214763_at	0.005355994	ACOT11
214784_x_at	0.009101088	XPO6
214789_x_at	0.008527926	SFRS2B
214799_at	0.007949544	NFASC
214828_s_at	0.005446914	CTA-126B4.3 /// dJ222E13.2
214838_at	0.005323208	SFT2D2
214903_at	0.00535084	LOC100127887 /// SYT2
214912_at	0.001754807
214938_x_at	0.003292112	HMGB1
214990_at	0.008270906	PIGO
215003_at	0.002624789	DGCR9
215085_x_at	0.008943981	DLEC1
215147_at	0.00487803
215157_x_at	0.009083606	PABPC1
215165_x_at	0.008641893	UMPS
215179_x_at	0.002680919	PGF
215200_x_at	0.005207704	LOC100130544
215246_at	0.009520543	LARP7
215265_at	0.004565641	EMX1
215266_at	0.008705935	DNAH3
215279_at	0.008277726
215296_at	0.005700376	CDC42BPA
215367_at	0.008830852	KIAA1614
215373_x_at	0.002547513	FLJ12151
215387_x_at	0.001142273
215404_x_at	0.000988365	FGFR1
215418_at	0.001156351	PARVA
215439_x_at	0.006168288
215498_s_at	0.00515109	MAP2K3
215499_at	0.00550226	MAP2K3
215504_x_at	0.002148089
215529_x_at	0.007483815	DIP2A
215541_s_at	0.003375067	DIAPH1
215553_x_at	0.004944219
215582_x_at	0.005444132	MCM3AP
215587_x_at	0.003540728
215604_x_at	0.00446748
215618_at	0.006431008	RSU1
215628_x_at	0.006836848
215654_at	0.003102082	BCAT2
215683_at	0.00038448	C18orf22
215722_s_at	0.001204928	SNRPA1
215788_at	0.006145772	C1orf222
215863_at	0.004629201	TFR2
215978_x_at	0.00153103	LOC152719
215989_at	0.003008879	CBX2
216023_at	0.008995408	JMJD2B
216187_x_at	0.001967206
216206_x_at	0.001289349	MAP2K7
216224_s_at	0.009633025	HDAC6
216231_s_at	0.008484173	B2M
216241_s_at	0.000842783	TCEA1
216243_s_at	0.007287764	IL1RN
216272_x_at	0.009396425	SYDE1
216274_s_at	0.000998434	SEC11A
216285_at	0.009278758	DGCR14
216345_at	0.000160246	KIAA0913
216348_at	0.00754776	RPS17L4
216379_x_at	0.002434705	CD24
216388_s_at	0.000413627	LTB4R
216419_at	0.003095957	CROCC
216460_at	0.001357994	FLJ00049
216472_at	0.004953505
216473_x_at	0.001754338	DUX4 /// LOC441056 /// LOC653543 /// LOC653544 /// LOC653545 /// LOC653548 /// LOC728410
216528_at	0.001362412
216571_at	0.003697833
216679_at	0.001708785	TIGD1L
216693_x_at	0.005000918	HDGFRP3
216704_at	0.004319164
216751_at	0.003158658
216821_at	0.004698209	KRT8 /// KRT8P9 /// LOC149501 /// LOC647954
216842_x_at	0.001041897	RBM /// RBMY1A1 /// RBMY1B /// RBMY1C /// RBMY1D /// RBMY1E /// RBMY1F /// RBMY1J /// RBMY3AP
216858_x_at	0.005206381
216977_x_at	0.000631099	SNRPA1
217054_at	0.005812727
217066_s_at	0.004152008	DMPK
217159_x_at	0.009217365	SIGLEC7
217251_x_at	0.003004229	IVD
217398_x_at	0.006668896	GAPDH
217414_x_at	0.003547301	HBA1 /// HBA2
217446_x_at	0.003427747
217538_at	0.005829403	SGSM2
217549_at	0.009581592
217576_x_at	0.002527293	SOS2
217586_x_at	0.005083798
217622_at	0.00568476	RHBDD3
217625_x_at	0.002870308
217650_x_at	0.007220969	ST3GAL2
217653_x_at	0.000370684
217671_at	0.004982126
217679_x_at	0.001532725
217680_x_at	0.006587041	LOC100129975 /// LOC284393 /// LOC285176 /// LOC644937 /// RPL10
217696_at	0.006690638	FUT7
217703_x_at	0.005760076
217710_x_at	0.002819959	ITPK1
217713_x_at	0.002183812
217717_s_at	0.005169834	YWHAB
217720_at	0.009732372	CHCHD2
217724_at	0.005490805	SERBP1
217725_x_at	0.008764765	SERBP1
217742_s_at	0.005918337	WAC
217743_s_at	0.002266176	TMEM30A
217758_s_at	0.001891034	TM9SF3
217769_s_at	0.005995435	POMP
217772_s_at	0.008646837	MTCH2
217816_s_at	0.009016536	PCNP
217821_s_at	0.008045492	WBP11
217822_at	0.008785064	WBP11
217827_s_at	0.007012984	SPG21
217832_at	0.005131963	SYNCRIP
217834_s_at	0.001546834	SYNCRIP
217839_at	0.000540258	TFG
217845_x_at	0.003043358	HIGD1A
217868_s_at	0.001991642	METTL9
217873_at	0.009594952	CAB39
217929_s_at	0.008620497	KIAA0319L
217938_s_at	0.008332846	KCMF1
217942_at	0.001337962	MRPS35
217946_s_at	0.0071662	SAE1
217972_at	0.002196576	CHCHD3
218008_at	0.009496322	C7orf42
218009_s_at	0.004437207	PRC1
218016_s_at	0.002340035	POLR3E
218027_at	0.002582821	MRPL15
218053_at	0.007405913	PRPF40A
218056_at	0.004864998	BFAR
218082_s_at	0.003079828	UBP1
218107_at	0.00569946	WDR26
218132_s_at	0.002079274	TSEN34
218135_at	0.001006117	ERGIC2
218137_s_at	0.000609086	SMAP1
218155_x_at	0.003910925	TSR1
218165_at	0.004501823	C1orf149
218171_at	0.004615028	VPS4B
218185_s_at	0.00361947	ARMC1
218187_s_at	0.004382731	C8orf33
218193_s_at	0.000962417	GOLT1B
218200_s_at	0.007479731	NDUFB2
218201_at	0.00805488	NDUFB2
218229_s_at	0.000897718	POGK
218241_at	0.007372852	GOLGA5
218272_at	0.002558917	LL22NC03-5H6.5
218281_at	0.006842981	MRPL48
218304_s_at	0.003288862	OSBPL11
218306_s_at	0.005986876	HERC1
218331_s_at	0.005565105	C10orf18
218336_at	0.000523441	PFDN2
218342_s_at	0.006020345	ERMP1
218360_at	0.000225825	RAB22A
218373_at	0.004768432	AKTIP
218389_s_at	0.001792155	APH1A
218444_at	0.00406993	ALG12
218458_at	0.0046397	GMCL1
218465_at	0.006288763	TMEM33
218477_at	0.001656617	TMEM14A
218542_at	0.009262116	CEP55
218555_at	0.003676934	ANAPC2
218577_at	0.007004813	LRRC40
218582_at	0.000321925	39877
218584_at	0.009439816	TCTN1
218589_at	0.006950855	P2RY5
218605_at	0.00840381	TFB2M
218608_at	0.008468013	ATP13A2
218621_at	0.007116202	HEMK1
218684_at	0.001017491	LRRC8D
218690_at	0.005395468	PDLIM4
218738_s_at	0.004394908	RNF138
