gene_assignment	Gene Symbol	RefSeq	p-value(dose)	p-value(Scan Date)	alt-splicing(dose)	step-up(altsplice-dose)	Mean(0)	LSMean(0)	Mean(10)	LSMean(10)	p-value(0 vs. 10)	Ratio(0 vs. 10)	Fold-Change(0 vs. 10)	Fold-Change(0 vs. 10) (Description)
NM_005733 // KIF20A // kinesin family member 20A // 5q31 // 10112 /// ENST000003	KIF20A	NM_005733	2.54E-05	0.488392	8.77E-06	0.003361249	8.47918	8.49097	6.16972	6.12547	2.76E-05	5.15331	5.15331	0 up vs 10
NM_016932 // SIX2 // SIX homeobox 2 // 2p16-p15 // 10736 /// ENST00000303077 //	SIX2	NM_016932	0.44567	0.253092	9.03E-06	0.003385661	7.65685	7.67091	7.77956	7.77803	0.518612	0.928438	-1.07708	0 down vs 10
NM_031940 // TM2D2 // TM2 domain containing 2 // 8p11.23 // 83877 /// NM_0010243	TM2D2	NM_031940	0.91087	0.329744	1.03E-05	0.003779662	8.09875	8.04043	8.07943	8.0451	0.979258	0.996774	-1.00324	0 down vs 10
NM_003390 // WEE1 // WEE1 homolog (S. pombe) // 11p15.3-p15.1 // 7465 /// ENST00	WEE1	NM_003390	0.125671	0.313909	1.47E-05	0.005244496	8.25392	8.23321	8.03454	7.98788	0.10419	1.18536	1.18536	0 up vs 10
NM_014801 // PCNXL2 // pecanex-like 2 (Drosophila) // 1q42.2 // 80003 /// ENST00	PCNXL2	NM_014801	0.0353847	0.194107	1.49E-05	0.005244496	6.88507	6.91228	7.16413	7.16873	0.0539369	0.83714	-1.19454	0 down vs 10
NM_005480 // TROAP // trophinin associated protein (tastin) // 12q13.12 // 10024	TROAP	NM_005480	0.0082004	0.240191	1.68E-05	0.005794992	8.3695	8.35509	7.74835	7.70749	0.00808326	1.56655	1.56655	0 up vs 10
NM_175834 // KRT79 // keratin 79 // 12q13.13 // 338785 /// ENST00000330553 // KR	KRT79	NM_175834	0.621756	0.0712038	1.78E-05	0.006019541	5.59418	5.59539	5.544	5.55352	0.690992	1.02944	1.02944	0 up vs 10
NM_004544 // NDUFA10 // NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10,	NDUFA10	NM_004544	0.827565	0.111624	1.89E-05	0.006268621	9.5366	9.51259	9.52345	9.5218	0.883271	0.993639	-1.0064	0 down vs 10
NM_002392 // MDM2 // Mdm2 p53 binding protein homolog (mouse) // 12q14.3-q15 //	MDM2	NM_002392	1.21E-05	0.206934	2.25E-05	0.00732184	10.0592	10.0884	11.2476	11.259	1.66E-05	0.444241	-2.25103	0 down vs 10
NM_014229 // SLC6A11 // solute carrier family 6 (neurotransmitter transporter, G	SLC6A11	NM_014229	0.780993	0.028636	2.83E-05	0.009038706	6.02301	6.01233	6.00395	5.99286	0.784617	1.01359	1.01359	0 up vs 10
NM_015978 // TNNI3K // TNNI3 interacting kinase // 1p31.1 // 51086 /// NM_001112	TNNI3K	NM_015978	0.315403	0.219632	3.84E-05	0.01204154	4.34947	4.38372	4.24468	4.27915	0.333389	1.07518	1.07518	0 up vs 10
NM_017504 // OR2M4 // olfactory receptor, family 2, subfamily M, member 4 // 1q4	OR2M4	NM_017504	0.746263	0.0207424	4.17E-05	0.01284286	4.43669	4.43823	4.48905	4.49696	0.72711	0.960108	-1.04155	0 down vs 10
NM_001080437 // SNED1 // sushi, nidogen and EGF-like domains 1 // 2q37.3 // 2599	SNED1	NM_001080437	0.826441	0.160579	4.51E-05	0.01364631	6.42842	6.43024	6.38787	6.34844	0.6722	1.05834	1.05834	0 up vs 10
NM_020979 // SH2B2 // SH2B adaptor protein 2 // 7q22 // 10603 /// ENST0000030680	SH2B2	NM_020979	0.0108086	0.470874	0.000049007	0.01457074	8.98121	8.98347	8.51641	8.55707	0.0182513	1.34387	1.34387	0 up vs 10
NM_003620 // PPM1D // protein phosphatase 1D magnesium-dependent, delta isoform	PPM1D	NM_003620	0.000026619	0.0875883	5.96E-05	0.01742239	8.37475	8.32825	9.67936	9.62349	3.46E-05	0.407468	-2.45418	0 down vs 10
NM_014722 // FAM65B // family with sequence similarity 65, member B // 6p22.3-p2	FAM65B	NM_014722	0.000805011	0.0396497	6.75E-05	0.01940287	8.20445	8.20316	7.44967	7.43755	0.000914733	1.7001	1.7001	0 up vs 10
NM_001211 // BUB1B // BUB1 budding uninhibited by benzimidazoles 1 homolog beta	BUB1B	NM_001211	0.000386382	0.0946625	7.13E-05	0.0201592	8.88257	8.83115	7.96145	7.89562	0.000437712	1.91259	1.91259	0 up vs 10
NM_001025091 // ABCF1 // ATP-binding cassette, sub-family F (GCN20), member 1 //	ABCF1	NM_001025091	0.793153	0.0886966	8.80E-05	0.02447961	9.829	9.84006	9.81247	9.82112	0.772677	1.01322	1.01322	0 up vs 10
NM_138731 // MIPOL1 // mirror-image polydactyly 1 // 14q13.3-q21.1 // 145282 ///	MIPOL1	NM_138731	0.495327	0.345191	8.95E-05	0.02450169	3.792	3.76169	3.74098	3.7416	0.792595	1.01402	1.01402	0 up vs 10
NM_147188 // FBXO22 // F-box protein 22 // 15q24.2 // 26263 /// NM_012170 // FBX	FBXO22	NM_147188	0.00117562	0.400439	0.000103153	0.02779812	9.01101	8.99801	9.90713	9.87439	0.0016079	0.544732	-1.83576	0 down vs 10
NM_021873 // CDC25B // cell division cycle 25 homolog B (S. pombe) // 20p13 // 9	CDC25B	NM_021873	0.000177137	0.0148883	0.000109039	0.02893224	8.51122	8.50957	8.09667	8.09079	0.000207329	1.3368	1.3368	0 up vs 10
NM_194278 // C14orf43 // chromosome 14 open reading frame 43 // 14q24.3 // 91748	C14orf43	NM_194278	0.000041445	0.00864643	0.000144884	0.0375964	8.4427	8.46498	8.0267	8.03616	4.34E-05	1.34613	1.34613	0 up vs 10
NM_030962 // SBF2 // SET binding factor 2 // 11p15.4 // 81846 /// ENST0000025619	SBF2	NM_030962	0.0542365	0.812452	0.000146052	0.0375964	5.44126	5.48121	6.09314	6.11012	0.0685661	0.646666	-1.54639	0 down vs 10
NM_004217 // AURKB // aurora kinase B // 17p13.1 // 9212 /// ENST00000316199 //	AURKB	NM_004217	0.000532009	0.016646	0.000152312	0.03863125	10.0221	9.99819	9.54601	9.50546	0.000543854	1.40711	1.40711	0 up vs 10
NM_007182 // RASSF1 // Ras association (RalGDS/AF-6) domain family member 1 // 3	RASSF1	NM_007182	0.054683	0.314359	0.000160254	0.04005653	8.40825	8.36583	8.20484	8.20527	0.120507	1.11772	1.11772	0 up vs 10
NM_005065 // SEL1L // sel-1 suppressor of lin-12-like (C. elegans) // 14q24.3-q3	SEL1L	NM_005065	0.359291	0.0713516	0.00016559	0.04036082	9.94822	9.98027	9.80479	9.82882	0.352183	1.11069	1.11069	0 up vs 10
NM_007118 // TRIO // triple functional domain (PTPRF interacting) // 5p15.2 // 7	TRIO	NM_007118	0.211491	0.00371174	0.000166535	0.04036082	8.71397	8.7912	8.55427	8.62492	0.210742	1.12216	1.12216	0 up vs 10
NM_170589 // CASC5 // cancer susceptibility candidate 5 // 15q14 // 57082 /// NM	CASC5	NM_170589	0.115345	0.172815	0.000170183	0.04036082	8.25552	8.2811	7.98905	7.98975	0.100992	1.22379	1.22379	0 up vs 10
NM_030776 // ZBP1 // Z-DNA binding protein 1 // 20q13.31 // 81030 /// ENST000003	ZBP1	NM_030776	0.212576	0.450699	0.000170832	0.04036082	6.47332	6.48217	6.28166	6.28055	0.207705	1.14999	1.14999	0 up vs 10
NM_004418 // DUSP2 // dual specificity phosphatase 2 // 2q11 // 1844 /// ENST000	DUSP2	NM_004418	0.0342913	0.330953	0.000190241	0.04378185	10.7551	10.7012	10.4199	10.3989	0.0557331	1.23309	1.23309	0 up vs 10
NM_001042475 // C6orf204 // chromosome 6 open reading frame 204 // 6q22 // 38711	C6orf204	NM_001042475	0.52851	0.113649	0.000190389	0.04378185	6.39288	6.47446	6.54391	6.64613	0.492044	0.887815	-1.12636	0 down vs 10
NM_153697 // ANKRD44 // ankyrin repeat domain 44 // 2q33.1 // 91526 /// ENST0000	ANKRD44	NM_153697	0.00126767	0.010597	0.000239746	0.05440657	8.80072	8.86546	8.3566	8.41905	0.00150537	1.36264	1.36264	0 up vs 10
NM_000017 // ACADS // acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain // 1	ACADS	NM_000017	0.97972	0.434359	0.00024621	0.05514784	8.15156	8.12036	8.15512	8.15517	0.811733	0.976159	-1.02442	0 down vs 10
NM_015178 // RHOBTB2 // Rho-related BTB domain containing 2 // 8p21.3 // 23221 /	RHOBTB2	NM_015178	0.0016439	0.447334	0.000250125	0.05530649	7.33616	7.30415	6.82	6.81896	0.0027222	1.39976	1.39976	0 up vs 10
NM_001076786 // QSER1 // glutamine and serine rich 1 // 11p13 // 79832 /// ENST0	QSER1	NM_001076786	0.10889	0.077611	0.000257461	0.05620797	6.83227	6.88839	7.08261	7.10927	0.161242	0.858043	-1.16544	0 down vs 10
NM_139165 // RAET1E // retinoic acid early transcript 1E // 6q25.1 // 135250 ///	RAET1E	NM_139165	0.95494	0.169398	0.000320741	0.06914775	4.51489	4.51288	4.50844	4.48588	0.820323	1.01889	1.01889	0 up vs 10
NM_032818 // C9orf100 // chromosome 9 open reading frame 100 // 9p13.3 // 84904	C9orf100	NM_032818	0.111107	0.0655441	0.000332777	0.07085685	7.38625	7.39174	7.04949	7.0273	0.099833	1.28738	1.28738	0 up vs 10
NM_001552 // IGFBP4 // insulin-like growth factor binding protein 4 // 17q12-q21	IGFBP4	NM_001552	0.00863658	0.271874	0.000344328	0.07242226	8.45593	8.42995	9.22474	9.19953	0.0101933	0.586589	-1.70477	0 down vs 10
NM_016428 // ABI3 // ABI gene family, member 3 // 17q21.3 // 51225 /// ENST00000	ABI3	NM_016428	0.0300967	0.100193	0.000373264	0.07756246	9.38389	9.39042	9.13488	9.14447	0.0362294	1.18587	1.18587	0 up vs 10
NM_001763 // CD1A // CD1a molecule // 1q22-q23 // 909 /// ENST00000289429 // CD1	CD1A	NM_001763	0.905347	0.212598	0.000416045	0.0853326	5.14385	5.14448	5.1669	5.14055	0.984441	1.00272	1.00272	0 up vs 10
NM_018837 // SULF2 // sulfatase 2 // 20q12-q13.2 // 55959 /// NM_198596 // SULF2	SULF2	NM_018837	0.0164242	0.0847859	0.000428618	0.0853326	7.25985	7.34148	8.07736	8.16512	0.0186358	0.565013	-1.76987	0 down vs 10
NM_004794 // RAB33A // RAB33A, member RAS oncogene family // Xq25 // 9363 /// EN	RAB33A	NM_004794	0.154914	0.0361008	0.000430254	0.0853326	8.37319	8.33086	8.12128	8.11787	0.233878	1.15908	1.15908	0 up vs 10
NM_001856 // COL16A1 // collagen, type XVI, alpha 1 // 1p35-p34 // 1307 /// ENST	COL16A1	NM_001856	0.453262	0.0906666	0.000430448	0.0853326	6.72231	6.69409	6.81743	6.79551	0.442155	0.932111	-1.07283	0 down vs 10
NM_002562 // P2RX7 // purinergic receptor P2X, ligand-gated ion channel, 7 // 12	P2RX7	NM_002562	0.0665621	0.0768272	0.000467792	0.09168192	5.94584	6.00483	5.6351	5.65571	0.0519197	1.27379	1.27379	0 up vs 10
NM_016647 // C8orf55 // chromosome 8 open reading frame 55 // 8q24.3 // 51337 //	C8orf55	NM_016647	0.461778	0.0879503	0.000519182	0.1006105	7.29411	7.26309	7.19045	7.18806	0.603816	1.05339	1.05339	0 up vs 10
NM_001761 // CCNF // cyclin F // 16p13.3 // 899 /// NR_003574 // ABCA17P // ATP-	CCNF	NM_001761	0.00134849	0.429134	0.000544796	0.1043097	8.73563	8.72713	7.85141	7.83361	0.0015574	1.8577	1.8577	0 up vs 10
NM_148961 // OTOS // otospiralin // 2q37.3 // 150677 /// ENST00000391989 // OTOS	OTOS	NM_148961	0.28315	0.0696352	0.000550367	0.1043097	7.82775	7.81905	7.99326	7.96619	0.352224	0.903038	-1.10737	0 down vs 10
NM_005527 // HSPA1L // heat shock 70kDa protein 1-like // 6p21.3 // 3305 /// ENS	HSPA1L	NM_005527	0.119293	0.893385	0.000562092	0.1053739	6.34802	6.33159	5.97764	6.01135	0.181584	1.24854	1.24854	0 up vs 10
NM_016580 // PCDH12 // protocadherin 12 // 5q31 // 51294 /// ENST00000231484 //	PCDH12	NM_016580	0.362209	0.0726521	0.000568904	0.1055042	5.45977	5.45406	5.57377	5.57205	0.364018	0.921471	-1.08522	0 down vs 10
NM_003074 // SMARCC1 // SWI/SNF related, matrix associated, actin dependent regu	SMARCC1	NM_003074	0.993032	0.00369963	0.000590513	0.1083466	10.1473	10.1689	10.1466	10.1589	0.896411	1.00694	1.00694	0 up vs 10
NM_001852 // COL9A2 // collagen, type IX, alpha 2 // 1p33-p32 // 1298 /// ENST00	COL9A2	NM_001852	0.607916	0.109921	0.000614204	0.1114605	7.5908	7.56884	7.51923	7.49322	0.602039	1.05382	1.05382	0 up vs 10
NM_005316 // GTF2H1 // general transcription factor IIH, polypeptide 1, 62kDa //	GTF2H1	NM_005316	0.00752946	0.0027171	0.00062041	0.1114605	8.91471	8.93422	8.69861	8.71356	0.00815179	1.16527	1.16527	0 up vs 10
NM_022346 // NCAPG // non-SMC condensin I complex, subunit G // 4p15.33 // 64151	NCAPG	NM_022346	0.000297004	0.202602	0.000642777	0.1142884	9.58953	9.59147	8.97874	8.99221	0.000406682	1.51493	1.51493	0 up vs 10
NM_078467 // CDKN1A // cyclin-dependent kinase inhibitor 1A (p21, Cip1) // 6p21.	CDKN1A	NM_078467	7.41E-06	0.164341	0.00072427	0.1274641	10.3883	10.3794	11.679	11.6664	9.44E-06	0.409817	-2.44011	0 down vs 10
NM_004073 // PLK3 // polo-like kinase 3 (Drosophila) // 1p34.1 // 1263 /// ENST0	PLK3	NM_004073	0.000594383	0.205828	0.000747051	0.1301453	8.70668	8.66061	9.44372	9.40618	0.000686479	0.596431	-1.67664	0 down vs 10
NM_145256 // LRRC25 // leucine rich repeat containing 25 // 19p13.11 // 126364 /	LRRC25	NM_145256	0.00327753	0.0132697	0.000800129	0.1379982	6.6474	6.62236	6.89966	6.87748	0.00374057	0.837921	-1.19343	0 down vs 10
NM_005786 // TSHZ1 // teashirt zinc finger homeobox 1 // 18q22.3 // 10194 /// EN	TSHZ1	NM_005786	0.330551	0.712959	0.000819598	0.1385862	6.81262	6.83135	6.64346	6.62448	0.259328	1.15418	1.15418	0 up vs 10
NM_002461 // MVD // mevalonate (diphospho) decarboxylase // 16q24.3 // 4597 ///	MVD	NM_002461	0.814172	0.0996299	0.000819609	0.1385862	8.59118	8.51042	8.56054	8.54682	0.788276	0.975082	-1.02556	0 down vs 10
NM_022785 // EFCAB6 // EF-hand calcium binding domain 6 // 22q13.1-q13.33 // 648	EFCAB6	NM_022785	0.313228	0.101	0.000854297	0.1430491	4.1255	4.10613	4.21706	4.21227	0.265504	0.929071	-1.07634	0 down vs 10
NM_032496 // ARHGAP9 // Rho GTPase activating protein 9 // 12q14 // 64333 /// NM	ARHGAP9	NM_032496	0.0216314	0.0542062	0.000950569	0.1568457	7.97956	7.98493	7.81553	7.82762	0.0294422	1.1152	1.1152	0 up vs 10
NM_021783 // EDA2R // ectodysplasin A2 receptor // Xq12 // 60401 /// ENST0000037	EDA2R	NM_021783	0.000204016	0.407023	0.000954879	0.1568457	7.65618	7.65071	9.10803	9.05637	0.000301556	0.377446	-2.64939	0 down vs 10
NM_004864 // GDF15 // growth differentiation factor 15 // 19p13.11 // 9518 /// E	GDF15	NM_004864	0.000169457	0.749887	0.00096529	0.15706	7.75809	7.78505	9.62486	9.63142	0.000223052	0.278091	-3.59595	0 down vs 10
NM_003705 // SLC25A12 // solute carrier family 25 (mitochondrial carrier, Aralar	SLC25A12	NM_003705	0.185962	0.599858	0.000977638	0.1575825	9.04993	9.05014	8.79002	8.83169	0.272594	1.16348	1.16348	0 up vs 10
NM_052862 // RCSD1 // RCSD domain containing 1 // 1q22-q24 // 92241 /// ENST0000	RCSD1	NM_052862	0.212359	0.198179	0.00104625	0.1670803	9.49272	9.53832	9.28295	9.29384	0.168652	1.18467	1.18467	0 up vs 10
NM_152399 // TMEM155 // transmembrane protein 155 // 4q27 // 132332 /// ENST0000	TMEM155	NM_152399	0.356981	0.216426	0.00108888	0.1707406	3.92168	3.91715	4.06993	4.06685	0.369792	0.901438	-1.10934	0 down vs 10
NM_005608 // PTPRCAP // protein tyrosine phosphatase, receptor type, C-associate	PTPRCAP	NM_005608	0.0879217	0.171284	0.00108898	0.1707406	10.984	10.9535	10.606	10.5673	0.0921599	1.30697	1.30697	0 up vs 10
