Curated Gene Symbol	InsermSymbole	Symbole	Nom	RefSeq
PARP3	ADPRTL3________-1A-1a	ADPRTL3	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 3	NM_005485
ADRA1B	ADRA1B_________-1A-1a	ADRA1B	adrenergic, alpha-1B-, receptor	NM_000679
ADRBK1	ADRBK1_________-1A-1a	ADRBK1	adrenergic, beta, receptor kinase 1	NM_001619
ADRBK2	ADRBK2_________-1A-1a	ADRBK2	adrenergic, beta, receptor kinase 2	NM_005160
ADRB1	ADRB1__________-1A-1a	ADRB1	adrenergic, beta-1-, receptor	NM_000684
ADRB2	ADRB2__________-1A-1a	ADRB2	adrenergic, beta-2-, receptor, surface	NM_000024
GPR182	ADMR___________-1A-1a	ADMR	adrenomedullin receptor	NM_007264
AGER	AGER___________-1A-1a	AGER	advanced glycosylation end product-specific receptor	NM_001136
AEBP1	AEBP1__________-1A-1a	AEBP1	AE binding protein 1	NM_001129
AHNAK	AHNAK__________-1A-1a	AHNAK	AHNAK nucleoprotein (desmoyokin)
	HAT____________-1A-1a	HAT	airway trypsin-like protease	NM_004262
ANPEP	ANPEP__________-1A-1a	ANPEP	alanyl (membrane) aminopeptidase	NM_001150
AARS	AARS___________-1A-1a	AARS	alanyl-tRNA synthetase	NM_001605
ALB	ALB____________-1A-1a	ALB	albumin	NM_000477
ADH1B	ADH1B__________-1A-1a	ADH1B	alcohol dehydrogenase IB (class I), beta polypeptide	NM_000668
ALDH1A2	ALDH1A2________-1A-1a	ALDH1A2	aldehyde dehydrogenase 1 family, member A2	NM_003888
ALDH2	ALDH2__________-1A-1a	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	NM_000690
AKR1A1	AKR1A1_________-1A-1a	AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	NM_006066
AKR1B1	AKR1B1_________-1A-1a	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	NM_001628
AKR1B10	AKR1B10________-1A-1a	AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	NM_020299
AKR1C2	AKR1C2_________-1A-1a	AKR1C2	aldo-keto reductase family 1, member C2	NM_001354
AKR1C4	AKR1C4_________-1A-1a	AKR1C4	aldo-keto reductase family 1, member C4	NM_001818
AKR7A2	AKR7A2_________-1A-1a	AKR7A2	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	NM_003689
ALDOA	ALDOA__________-1A-1a	ALDOA	aldolase A, fructose-bisphosphate	NM_000034
ALDOC	ALDOC__________-1A-1a	ALDOC	aldolase C, fructose-bisphosphate	NM_005165
AIF1	AIF1___________-1A-1a	AIF1	allograft inflammatory factor 1	NM_001623
GANAB	G2AN___________-1A-1a	G2AN	alpha glucosidase II alpha subunit	NM_014610
A1BG	A1BG___________-1A-1a	A1BG	alpha-1-B glycoprotein	NM_130786
AZGP1	AZGP1__________-1A-1a	AZGP1	alpha-2-glycoprotein 1, zinc	NM_001185
AHSG	AHSG___________-1A-1a	AHSG	alpha-2-HS-glycoprotein	NM_001622
A2M	A2M____________-1A-1a	A2M	alpha-2-macroglobulin	NM_000014
ASRGL1	ALP____________-1A-1a	ALP	alpha-actinin-2-associated LIM protein	NM_014476
AFP	AFP____________-1A-1a	AFP	alpha-fetoprotein	NM_001134
AMACR	AMACR__________-1A-1a	AMACR	alpha-methylacyl-CoA racemase	NM_014324
ASIC2	ACCN1__________-1A-1a	ACCN1	amiloride-sensitive cation channel 1, neuronal (degenerin)	NM_001094
ASIC1	ACCN2__________-1A-1a	ACCN2	amiloride-sensitive cation channel 2, neuronal	NM_001095
ASIC3	ACCN3__________-1A-1a	ACCN3	amiloride-sensitive cation channel 3, testis	NM_004769
ACY1	ACY1___________-1A-1a	ACY1	aminoacylase 1	NM_000666
AASS	AASS___________-1A-1a	AASS	aminoadipate-semialdehyde synthase	NM_005763
AES	AES____________-1A-1a	AES	amino-terminal enhancer of split	NM_001130
OS9	OS-9___________-1A-1a	OS-9	amplified in osteosarcoma	NM_006812
APP	APP____________-1A-1a	APP	amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	NM_000484
APBB2	APBB2__________-1A-1a	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)	NM_173075
APLP2	APLP2__________-1A-1a	APLP2	amyloid beta (A4) precursor-like protein 2	NM_001642
NAE1	APPBP1_________-1A-1a	APPBP1	amyloid beta precursor protein binding protein 1, 59kDa	NM_003905
AUP1	AUP1___________-1A-1a	AUP1	ancient ubiquitous protein 1	NM_012103
PDS5B	APRIN__________-1A-1a	APRIN	androgen-induced proliferation inhibitor	NM_015032
AAMP	AAMP___________-1A-1a	AAMP	angio-associated, migratory cell protein	NM_001087
ANGPT2	ANGPT2_________-1A-1a	ANGPT2	angiopoietin 2	NM_001147
ANGPT4	ANGPT4_________-1A-1a	ANGPT4	angiopoietin 4	NM_015985
ANGPTL1	ANGPTL1________-1A-1a	ANGPTL1	angiopoietin-like 1	NM_004673
ANGPTL2	ANGPTL2________-1A-1a	ANGPTL2	angiopoietin-like 2	NM_012098
ANGPTL3	ANGPTL3________-1A-1a	ANGPTL3	angiopoietin-like 3	NM_014495
ANGPTL7	CDT6___________-1A-1a	CDT6	angiopoietin-like factor	NM_021146
ACE	ACE____________-1A-1a	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	NM_000789
ACE2	ACE2___________-1A-1a	ACE2	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	NM_021804
AGTR1	AGTR1__________-1A-1a	AGTR1	angiotensin II receptor, type 1	NM_000685
AGTR2	AGTR2__________-1A-1a	AGTR2	angiotensin II receptor, type 2	NM_000686
APLNR	AGTRL1_________-1A-1a	AGTRL1	angiotensin II receptor-like 1	NM_005161
AGT	AGT____________-1A-1a	AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A	NM_000029
ANLN	ANLN___________-1A-1a	ANLN	anillin, actin binding protein (scraps homolog, Drosophila)	NM_018685
ANKH	ANKH___________-1A-1a	ANKH	ankylosis, progressive homolog (mouse)	NM_019847
ANK1	ANK1___________-1A-1a	ANK1	ankyrin 1, erythrocytic	NM_000037
ASB13	ASB13__________-1A-1a	ASB13	ankyrin repeat and SOCS box-containing 13	NM_024701
ASB2	ASB2___________-1A-1a	ASB2	ankyrin repeat and SOCS box-containing 2	NM_016150
ASB7	ASB7___________-1A-1a	ASB7	ankyrin repeat and SOCS box-containing 7	NM_024708
ASB9	ASB9___________-1A-1a	ASB9	ankyrin repeat and SOCS box-containing 9	NM_024087
ANKRD5	ANKRD5_________-1A-1a	ANKRD5	ankyrin repeat domain 5	NM_022096
TRPA1	ANKTM1_________-1A-1a	ANKTM1	ankyrin-like with transmembrane domains 1	NM_007332
ANXA1	ANXA1__________-1A-1a	ANXA1	annexin A1	NM_000700
ANXA10	ANXA10_________-1A-1a	ANXA10	annexin A10	NM_007193
ANXA11	ANXA11_________-1A-1a	ANXA11	annexin A11	NM_001157
ANXA13	ANXA13_________-1A-1a	ANXA13	annexin A13	NM_004306
ANXA2	ANXA2__________-1A-1a	ANXA2	annexin A2	NM_004039
ANXA3	ANXA3__________-1A-1a	ANXA3	annexin A3	NM_005139
ANXA4	ANXA4__________-1A-1a	ANXA4	annexin A4	NM_001153
ANXA5	ANXA5__________-1A-1a	ANXA5	annexin A5	NM_001154
ANXA6	ANXA6__________-1A-1a	ANXA6	annexin A6	NM_001155
ANXA7	ANXA7__________-1A-1a	ANXA7	annexin A7	NM_001156
ANXA8	ANXA8__________-1A-1a	ANXA8	annexin A8	NM_001630
ANXA9	ANXA9__________-1A-1a	ANXA9	annexin A9	NM_003568
	LOC51039_______-1A-1a	LOC51039	anti-lectin antibody epitope (clone p36/8-2)
APEX1	APEX1__________-1A-1a	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	NM_001641
SRPRB	APMCF1_________-1A-1a	APMCF1	APMCF1 protein	NM_021203
APOA1	APOA1__________-1A-1a	APOA1	apolipoprotein A-I	NM_000039
APOA4	APOA4__________-1A-1a	APOA4	apolipoprotein A-IV	NM_000482
APOBEC3B	APOBEC3B_______-1A-1a	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	NM_004900
APOBR	APOB48R________-1A-1a	APOB48R	apolipoprotein B48 receptor	NM_018690
APOD	APOD___________-1A-1a	APOD	apolipoprotein D	NM_001647
APOE	APOE___________-1A-1a	APOE	apolipoprotein E	NM_000041
APOL3	APOL3__________-1A-1a	APOL3	apolipoprotein L, 3	NM_014349
APOL6	APOL6__________-1A-1a	APOL6	apolipoprotein L, 6	NM_030641
ACIN1	ACINUS_________-1A-1a	ACINUS	apoptotic chromatin condensation inducer in the nucleus	NM_014977
APTX	APTX___________-1A-1a	APTX	aprataxin	NM_017692
AQP1	AQP1___________-1A-1a	AQP1	aquaporin 1 (channel-forming integral protein, 28kDa)	NM_000385
AQP3	AQP3___________-1A-1a	AQP3	aquaporin 3	NM_004925
AQP5	AQP5___________-1A-1a	AQP5	aquaporin 5	NM_001651
AQP8	AQP8___________-1A-1a	AQP8	aquaporin 8	NM_001169
NAA10	ARD1___________-1A-1a	ARD1	ARD1 homolog, N-acetyltransferase (S. cerevisiae)	NM_003491
AVP	AVP____________-1A-1a	AVP	arginine vasopressin (neurophysin II, antidiuretic hormone, diabetes insipidus, neurohypophyseal)	NM_000490
AVPR2	AVPR2__________-1A-1a	AVPR2	arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)	NM_000054
ASL	ASL____________-1A-1a	ASL	argininosuccinate lyase	NM_000048
ARIH1	ARIH1__________-1A-1a	ARIH1	ariadne homolog, ubiquitin-conjugating enzyme E2 binding protein, 1 (Drosophila)	NM_005744
SRRT	ARS2___________-1A-1a	ARS2	arsenate resistance protein ARS2	NM_015908
AIP	AIP____________-1A-1a	AIP	aryl hydrocarbon receptor interacting protein	NM_003977
AIPL1	AIPL1__________-1A-1a	AIPL1	aryl hydrocarbon receptor interacting protein-like 1	NM_014336
ARNT	ARNT___________-1A-1a	ARNT	aryl hydrocarbon receptor nuclear translocator	NM_001668
ASNS	ASNS___________-1A-1a	ASNS	asparagine synthetase	NM_001673
DARS	DARS___________-1A-1a	DARS	aspartyl-tRNA synthetase	NM_001349
RBFOX1	A2BP1__________-1A-1a	A2BP1	ataxin 2-binding protein 1	NM_018723
ACLY	ACLY___________-1A-1a	ACLY	ATP citrate lyase	NM_001096
ATP5F1	ATP5F1_________-1A-1a	ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1	NM_001688
ATP5G3	ATP5G3_________-1A-1a	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3	NM_001689
ATP5G1	ATP5G1_________-1A-1a	ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	NM_005175
ATP5G2	ATP5G2_________-1A-1a	ATP5G2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2	NM_005176
ATP5J2	ATP5J2_________-1A-1a	ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	NM_004889
ATP5J	ATP5J__________-1A-1a	ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	NM_001685
ATP5A1	ATP5A1_________-1A-1a	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle	NM_004046
ATP5B	ATP5B__________-1A-1a	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	NM_001686
ATP5D	ATP5D__________-1A-1a	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	NM_001687
ATP5E	ATP5E__________-1A-1a	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	NM_006886
ATP5C1	ATP5C1_________-1A-1a	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	NM_005174
ATP5O	ATP5O__________-1A-1a	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	NM_001697
AGTPBP1	AGTPBP1________-1A-1a	AGTPBP1	ATP/GTP binding protein 1	NM_015239
CLP1	HEAB___________-1A-1a	HEAB	ATP/GTP-binding protein	NM_006831
ATP1B4	ATP1B4_________-1A-1a	ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide	NM_012069
ATP2A1	ATP2A1_________-1A-1a	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	NM_004320
ATP2A2	ATP2A2_________-1A-1a	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	NM_001681
ATP2B1	ATP2B1_________-1A-1a	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	NM_001682
ATP2B3	ATP2B3_________-1A-1a	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	NM_021949
ATP2B4	ATP2B4_________-1A-1a	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	NM_001684
ATP2A3	ATP2A3_________-1A-1a	ATP2A3	ATPase, Ca++ transporting, ubiquitous	NM_005173
ATP8B1	ATP8B1_________-1A-1a	ATP8B1	ATPase, Class I, type 8B, member 1	NM_005603
ATP8B1	ATP8B1_________-2A-1a	ATP8B1	ATPase, Class I, type 8B, member 1	NM_005603
ATP10B	ATP10B_________-1A-1a	ATP10B	ATPase, Class V, type 10B
ATP6V1F	ATP6V1F________-1A-1a	ATP6V1F	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	NM_004231
ATP6V1D	ATP6V1D________-1A-1a	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	NM_015994
ATP6V0E1	ATP6V0E________-1A-1a	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e	NM_003945
ATP6AP1	ATP6IP1________-1A-1a	ATP6IP1	ATPase, H+ transporting, lysosomal interacting protein 1	NM_001183
ATP6AP2	ATP6IP2________-1A-1a	ATP6IP2	ATPase, H+ transporting, lysosomal interacting protein 2	NM_005765
ATP12A	ATP12A_________-1A-1a	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	NM_001676
ATP1A1	ATP1A1_________-1A-1a	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	NM_000701
ATP1A2	ATP1A2_________-1A-1a	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide	NM_000702
ATP1B1	ATP1B1_________-1A-1a	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	NM_001677
ATP1B2	ATP1B2_________-1A-1a	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	NM_001678
ATP1B3	ATP1B3_________-1A-1a	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	NM_001679
ABCB9	ABCB9__________-1A-1a	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	NM_019624
ABCC1	ABCC1__________-1A-1a	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	NM_004996
ABCC5	ABCC5__________-1A-1a	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	NM_005688
ABCC6	ABCC6__________-1A-1a	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	NM_001171
ABCC8	ABCC8__________-1A-1a	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	NM_000352
	ABCC9(SUR2A)___-1A-1a	ABCC9(isoformSUR2A)	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	NM_005691
	ABCC9(SUR2A-DEL-1A-1a	ABCC9(isoformSUR2A-delta-14)	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	NM_020298
	ABCC9(SUR2B)___-1A-1a	ABCC9(isoformSUR2B)	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	NM_020297
ABCD1	ABCD1__________-1A-1a	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	NM_000033
ABCD4	ABCD4__________-1A-1a	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	NM_005050
ABCG1	ABCG1__________-1A-1a	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	NM_004915
ATRN	ATRN___________-1A-1a	ATRN	attractin	NM_012070
AMFR	AMFR___________-1A-1a	AMFR	autocrine motility factor receptor	NM_001144
AIRE	AIRE___________-1A-1a	AIRE	autoimmune regulator (automimmune polyendocrinopathy candidiasis ectodermal dystrophy)	NM_000383
AXL	AXL____________-1A-1a	AXL	AXL receptor tyrosine kinase	NM_001699
	LOC51760_______-1A-1a	LOC51760	B/K protein	NM_016524
CD276	B7-H3__________-1A-1a	B7-H3	B7 homolog 3	NM_025240
LRRC23	B7_____________-1A-1a	B7	B7 protein	NM_006992
BHLHE40	BHLHB2_________-1A-1a	BHLHB2	basic helix-loop-helix domain containing, class B, 2	NM_003670
BZW2	BZW2___________-1A-1a	BZW2	basic leucine zipper and W2 domains 2	NM_014038
BIVM	BIVM___________-1A-1a	BIVM	basic, immunoglobulin-like variable motif containing	NM_017693
BSG	BSG____________-1A-1a	BSG	basigin (OK blood group)	NM_001728
TM2D3	BLP2___________-1A-1a	BLP2	BBP-like protein 2	NM_025141
