# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_133406|NM_133406	mgi_symbol|Agpat4|Agpat4
refseq_dna|XM_236297|XM_236297	mgi_symbol|Stoml1|Stoml1
refseq_dna|NM_001025125|NM_001025125	mgi_symbol|Sumf2|Sumf2
refseq_dna|XM_341092|XM_341092	mgi_symbol|Suds3|Suds3
refseq_dna|XM_219262|XM_219262	mgi_symbol|Swap70|Swap70
refseq_dna|NM_139086|NM_139086	mgi_symbol|Sycn|Sycn
refseq_dna|NM_031124|NM_031124	mgi_symbol|Stx3|Stx3
refseq_dna|NM_178345|NM_178345	mgi_symbol|Stxbp5|Stxbp5
refseq_dna|XM_237792|XM_237792	mgi_symbol|Taf15|Taf15
refseq_dna|XM_214940|XM_214940	mgi_symbol|Tbc1d17|Tbc1d17
refseq_dna|NM_001015020|NM_001015020	mgi_symbol|Tgif1|Tgif1
refseq_dna|XM_236360|XM_236360	mgi_symbol|Trip4|Trip4
refseq_dna|XM_216845|XM_216845	mgi_symbol|Tle2|Tle2
refseq_dna|NM_031549|NM_031549	mgi_symbol|Tagln|Tagln
refseq_dna|NM_134390|NM_134390	mgi_symbol|Tmem176b|Tmem176b
refseq_dna|NM_001014038|NM_001014038	mgi_symbol|Tdrkh|Tdrkh
refseq_dna|NM_001008508|NM_001008508	mgi_symbol|Tpst2|Tpst2
refseq_dna|NM_001013933|NM_001013933	mgi_symbol|Ube2a|Ube2a
refseq_dna|XM_215924|XM_215924	mgi_symbol|Ube2c|Ube2c
refseq_dna|NM_017188|NM_017188	mgi_symbol|Unc119|Unc119
refseq_dna|XM_233312|XM_233312	mgi_symbol|Upf3b|Upf3b
refseq_dna|XM_219672|XM_219672	mgi_symbol|Vps13a|Vps13a
refseq_dna|NM_213563|NM_213563	mgi_symbol|Vars2|Vars2
refseq_dna|XM_341799|XM_341799	mgi_symbol|Vasp|Vasp
refseq_dna|NM_022637|NM_022637	mgi_symbol|Vax2|Vax2
refseq_dna|NM_012663|NM_012663	mgi_symbol|Vamp2|Vamp2
refseq_dna|NM_001013096|NM_001013096	mgi_symbol|Mycn|Mycn
refseq_dna|NM_001013938|NM_001013938	mgi_symbol|Vwa1|Vwa1
refseq_dna|NM_001025640|NM_001025640	mgi_symbol|Vta1|Vta1
refseq_dna|NM_001013909|NM_001013909	mgi_symbol|Wdr70|Wdr70
refseq_dna|XM_574613|XM_574613	mgi_symbol|Wdr74|Wdr74
refseq_dna|NM_053751|NM_053751	mgi_symbol|Wap|Wap
refseq_dna|NM_001009661|NM_001009661	mgi_symbol|Wbp11|Wbp11
entrezgene|CB547405|498112	mgi_symbol|Yeats2|Yeats2
refseq_dna|XM_226964|XM_226964	mgi_symbol|Zfhx4|Zfhx4
