Curated Gene Symbol	Order	Parametric p-value	FDR	Geom mean of intensities in class 1 (0 Gy)	Geom mean of intensities in class 2 (0.1 Gy)	Geom mean of intensities in class 3 (0.5 Gy)	Geom mean of intensities in class 4 (2 Gy)	Unique id	Description	GB acc	Gene symbol	Fold change 0.1/0 Gy	Fold change 0.5/0 Gy	Fold change 2/0 Gy
VWCE	43	< 1e-07	< 1e-07	214.9576541	272.5027486	628.9572787	2708.504702	A_23_P52986	Homo sapiens von Willebrand factor C and EGF domains (VWCE), mRNA [NM_152718]	NM_152718	VWCE	1.267704329	2.925958982	12.60017799
PHLDA3	44	< 1e-07	< 1e-07	23.2289787	61.1605124	199.209468	445.2018553	A_23_P62959	Homo sapiens pleckstrin homology-like domain, family A, member 3 (PHLDA3), mRNA [NM_012396]	NM_012396	PHLDA3	2.632940225	8.575902995	19.16579549
	45	< 1e-07	< 1e-07	177.4982037	253.9613375	452.5086945	812.7159048	A_32_P170664	Homo sapiens cDNA: FLJ21245 fis, clone COL01184. [AK024898]	AK024898	AK024898	1.430782578	2.549370557	4.578727491
EBI3	46	< 1e-07	< 1e-07	62.6950922	72.0159813	134.6895226	499.0014806	A_23_P119478	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3	1.148670155	2.148326414	7.959179309
	47	< 1e-07	< 1e-07	24.7687094	49.7237619	112.5049479	200.5680816	A_23_P31681	Homo sapiens cDNA FLJ23887 fis, clone LNG14332. [AK074467]	AK074467	AK074467	2.007523327	4.542220835	8.097639581
DOK7	48	< 1e-07	< 1e-07	90.2256394	76.8759561	49.6182207	21.9596445	A_23_P398854	Homo sapiens docking protein 7 (DOK7), mRNA [NM_173660]	NM_173660	DOK7	0.852041134	0.549934819	0.243385856
TMEM30A	49	< 1e-07	< 1e-07	385.4055308	472.318999	720.1015333	904.9249392	A_24_P180424	Homo sapiens transmembrane protein 30A (TMEM30A), mRNA [NM_018247]	NM_018247	TMEM30A	1.225511731	1.86842553	2.347981196
	50	< 1e-07	< 1e-07	110.8684222	143.5909245	228.0376665	336.2636148	A_32_P140501	Unknown	A_32_P140501	A_32_P140501	1.295147181	2.05683153	3.032997206
GADD45A	51	< 1e-07	< 1e-07	628.0219519	831.4469549	1273.496333	1975.718009	A_23_P23221	Homo sapiens growth arrest and DNA-damage-inducible, alpha (GADD45A), mRNA [NM_001924]	NM_001924	GADD45A	1.323913842	2.02778952	3.145937817
DDB2	52	< 1e-07	< 1e-07	3193.076175	6416.440075	12888.12979	20326.99329	A_23_P52610	Homo sapiens damage-specific DNA binding protein 2, 48kDa (DDB2), mRNA [NM_000107]	NM_000107	DDB2	2.009485438	4.036273826	6.3659594
BBC3	53	< 1e-07	< 1e-07	8076.183272	10602.54484	15654.03912	20877.93241	A_23_P382775	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3	1.312816274	1.938296667	2.585123654
FBXO22	54	< 1e-07	< 1e-07	188.5821568	243.5970099	347.6668012	456.7405127	A_23_P65870	Homo sapiens F-box protein 22 (FBXO22), transcript variant 2, mRNA [NM_012170]	NM_012170	FBXO22	1.291728836	1.843582697	2.421970988
E2F7	55	< 1e-07	< 1e-07	16.0420253	20.0938036	38.0545003	88.005489	A_32_P210202	Homo sapiens E2F transcription factor 7 (E2F7), mRNA [NM_203394]	NM_203394	E2F7	1.252572741	2.372175557	5.485933812
TNFRSF10B	56	< 1e-07	< 1e-07	240.0034433	314.9872695	440.4018068	525.6915713	A_23_P169030	Homo sapiens tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), transcript variant 1, mRNA [NM_003842]	NM_003842	TNFRSF10B	1.312428127	1.834981202	2.190350122
MDM2	57	< 1e-07	< 1e-07	158.7069474	198.2988731	316.4894337	553.1833391	A_23_P309545	Homo sapiens Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) (MDM2), transcript variant MDM2b, mRNA [NM_006879]	NM_006879	MDM2	1.249465612	1.994175043	3.485564735
FDXR	58	< 1e-07	< 1e-07	1081.592536	4735.225935	14215.81517	29707.71601	A_23_P38154	Homo sapiens ferredoxin reductase (FDXR), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA [NM_004110]	NM_004110	FDXR	4.378012772	13.14341095	27.46664297
GLS2	59	< 1e-07	< 1e-07	49.4946866	67.4985623	118.3549783	205.7946789	A_24_P326739	Homo sapiens glutaminase 2 (liver, mitochondrial) (GLS2), nuclear gene encoding mitochondrial protein, mRNA [NM_013267]	NM_013267	GLS2	1.363753706	2.391266345	4.157914577
PHPT1	60	< 1e-07	< 1e-07	1912.783857	3116.574821	5876.666011	8219.26897	A_24_P184031	Homo sapiens phosphohistidine phosphatase 1 (PHPT1), mRNA [NM_014172]	NM_014172	PHPT1	1.629339776	3.072310543	4.297019206
CABYR	61	< 1e-07	< 1e-07	15.032935	15.8664239	30.8283385	72.8473625	A_23_P314712	Homo sapiens calcium binding tyrosine-(Y)-phosphorylation regulated (fibrousheathin 2) (CABYR), transcript variant 1, mRNA [NM_012189]	NM_012189	CABYR	1.05544419	2.050719869	4.84585096
XPC	62	< 1e-07	< 1e-07	580.8896367	802.9757225	1096.056206	1442.565477	A_24_P88921	Homo sapiens xeroderma pigmentosum, complementation group C (XPC), mRNA [NM_004628]	NM_004628	XPC	1.38232062	1.88685791	2.48337272
BAX	63	< 1e-07	< 1e-07	594.3639353	918.7747833	1396.933932	1615.696809	A_23_P346311	Homo sapiens BCL2-associated X protein (BAX), transcript variant sigma, mRNA [NM_138765]	NM_138765	BAX	1.545811798	2.350300631	2.718362796
LARGE	64	< 1e-07	< 1e-07	107.5643637	105.9866393	65.3914946	34.9225744	A_23_P91697	Homo sapiens like-glycosyltransferase (LARGE), transcript variant 1, mRNA [NM_004737]	NM_004737	LARGE	0.985332276	0.607928986	0.324666769
	65	< 1e-07	< 1e-07	2749.523341	3100.179827	4132.028461	5094.785068	A_24_P653603	Homo sapiens cDNA clone IMAGE:6572580. [BC079831]	BC079831	LOC284184	1.127533555	1.502816288	1.852970292
TRIM22	66	< 1e-07	< 1e-07	1048.650035	1427.126133	2096.975274	2376.676872	A_24_P172481	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22	1.360917452	1.999690273	2.266415671
	67	< 1e-07	< 1e-07	91.8896938	105.3124829	139.9492553	161.8493866	A_24_P170357	Unknown	A_24_P170357	A_24_P170357	1.146075023	1.523013621	1.76134428
IZUMO4	68	< 1e-07	< 1e-07	372.1553244	384.4615502	491.9059476	696.1592636	A_24_P32295	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 3, mRNA [NM_001039846]	NM_001039846	C19orf36	1.033067445	1.321775924	1.870614816
	69	< 1e-07	< 1e-07	29.9177283	38.4528139	48.4753446	60.1052308	A_32_P97739	Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 1895238. [AJ420487]	AJ420487	AJ420487	1.285285217	1.620288282	2.009017202
EBI3	70	< 1e-07	< 1e-07	55.2124387	54.1225336	64.5957443	132.9450829	A_24_P370201	Homo sapiens Epstein-Barr virus induced gene 3 (EBI3), mRNA [NM_005755]	NM_005755	EBI3	0.980259791	1.169949124	2.407882826
CDC42EP2	71	< 1e-07	< 1e-07	513.3590728	526.3498291	734.1679294	1298.358906	A_23_P1602	Homo sapiens CDC42 effector protein (Rho GTPase binding) 2 (CDC42EP2), mRNA [NM_006779]	NM_006779	CDC42EP2	1.025305399	1.430125556	2.52914378
	72	< 1e-07	< 1e-07	137.7298952	164.363115	223.9712735	361.1967696	A_24_P245838	Homo sapiens cDNA FLJ43371 fis, clone NTONG2005969. [AK125361]	AK125361	AK125361	1.193372831	1.626163101	2.622500867
APOBEC3C	73	< 1e-07	< 1e-07	438.7693664	485.3854538	651.3532999	911.0998938	A_23_P120931	Homo sapiens apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C (APOBEC3C), mRNA [NM_014508]	NM_014508	APOBEC3C	1.106242803	1.4845004	2.076489298
GDF15	74	< 1e-07	< 1e-07	279.5167562	340.2156599	574.6248394	1279.629167	A_23_P16523	Homo sapiens growth differentiation factor 15 (GDF15), mRNA [NM_004864]	NM_004864	GDF15	1.217156583	2.055779579	4.578005212
KREMEN2	75	< 1e-07	< 1e-07	27.48883	27.4317695	40.0830359	79.362252	A_23_P77612	Homo sapiens kringle containing transmembrane protein 2 (KREMEN2), transcript variant 4, mRNA [NM_172229]	NM_172229	KREMEN2	0.99792423	1.458157219	2.887072749
TRIM22	76	< 1e-07	< 1e-07	1239.539621	1664.598962	2449.347594	2728.285538	A_23_P203498	Homo sapiens tripartite motif-containing 22 (TRIM22), mRNA [NM_006074]	NM_006074	TRIM22	1.342917108	1.97601396	2.201047463
	77	< 1e-07	< 1e-07	31.2604513	32.3252982	42.3340843	73.446981	A_24_P937817	Homo sapiens cDNA: FLJ22542 fis, clone HSI00196. [AK026195]	AK026195	AK026195	1.034063708	1.354237784	2.349517616
TRIM32	78	< 1e-07	< 1e-07	252.056963	276.1184985	349.0766083	436.5528542	A_24_P29966	Homo sapiens tripartite motif-containing 32 (TRIM32), mRNA [NM_012210]	NM_012210	TRIM32	1.095460705	1.384911586	1.731961097
IL21R	79	< 1e-07	< 1e-07	1033.289173	1126.920047	1419.076083	1992.78366	A_24_P227927	Homo sapiens interleukin 21 receptor (IL21R), transcript variant 2, mRNA [NM_181078]	NM_181078	IL21R	1.090614396	1.373358127	1.928582735
	80	< 1e-07	< 1e-07	67.2255659	78.8739894	105.667329	137.2560509	A_24_P784846	Homo sapiens cDNA FLJ11844 fis, clone HEMBA1006665. [AK021906]	AK021906	AK021906	1.173273714	1.571832495	2.041723994
RGS12	81	< 1e-07	< 1e-07	218.4497617	250.3391397	336.6482673	405.1250852	A_23_P352435	Homo sapiens regulator of G-protein signalling 12 (RGS12), transcript variant 2, mRNA [NM_002926]	NM_002926	RGS12	1.145980374	1.541078666	1.854545787
IZUMO4	82	< 1e-07	< 1e-07	57.6690903	62.7577562	82.4767487	129.2429119	A_23_P50674	Homo sapiens chromosome 19 open reading frame 36 (C19orf36), transcript variant 1, mRNA [NM_001031735]	NM_001031735	C19orf36	1.088239053	1.430172529	2.241112375
POLH	83	< 1e-07	< 1e-07	8.1611807	11.1252977	17.3985221	33.654929	A_23_P422718	Homo sapiens polymerase (DNA directed), eta (POLH), mRNA [NM_006502]	NM_006502	POLH	1.36319708	2.131863359	4.123781869
SYNPO	84	< 1e-07	< 1e-07	22.8386796	22.2967035	31.3235188	68.383814	A_23_P344531	Synaptopodin. [Source:Uniprot/SWISSPROT;Acc:Q8N3V7] [ENST00000307662]	ENST00000307662	SYNPO	0.976269377	1.37151181	2.994210488
	85	< 1e-07	< 1e-07	286.6721603	305.9559392	405.9170945	604.0343166	A_24_P128361	Homo sapiens clone pp6337 unknown mRNA. [AF289562]	AF289562	AF289562	1.067267707	1.415962729	2.107056074
	86	< 1e-07	< 1e-07	973.7072559	1050.028248	1665.202299	2123.316603	A_24_P65597	full-length cDNA clone CS0DM012YB14 of Fetal liver of Homo sapiens (human). [CR616003]	CR616003	CR616003	1.078381866	1.71016729	2.180651926
DCP1B	87	< 1e-07	< 1e-07	1200.554775	1243.09086	1977.919271	2787.014634	A_23_P313512	Homo sapiens DCP1 decapping enzyme homolog B (S. cerevisiae) (DCP1B), mRNA [NM_152640]	NM_152640	DCP1B	1.035430358	1.647504398	2.321438965
CAV1	88	< 1e-07	< 1e-07	14.8384943	16.3182703	19.4272541	32.8387208	A_23_P134454	Homo sapiens caveolin 1, caveolae protein, 22kDa (CAV1), mRNA [NM_001753]	NM_001753	CAV1	1.099725482	1.309246997	2.21307635
SOGA1	89	< 1e-07	< 1e-07	77.7168895	87.863633	99.2463705	139.2384844	A_32_P32179	Homo sapiens cDNA FLJ32494 fis, clone SKNSH2000151. [AK057056]	AK057056	C20orf117	1.13056034	1.277024481	1.791611647
MFSD4	90	< 1e-07	< 1e-07	12.9806254	15.4760048	26.941999	38.756357	A_24_P51115	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4	1.192238765	2.075554773	2.985707992
	91	< 1e-07	< 1e-07	226.8836509	219.4974602	251.9886307	415.5618185	A_32_P53234	Homo sapiens cDNA FLJ41339 fis, clone BRASW1000053. [AK123333]	AK123333	AK123333	0.967445029	1.110651339	1.831607596
SLC4A11	92	< 1e-07	< 1e-07	71.9066696	76.1486664	97.2686678	134.8761731	A_23_P154688	Homo sapiens solute carrier family 4, sodium bicarbonate transporter-like, member 11 (SLC4A11), mRNA [NM_032034]	NM_032034	SLC4A11	1.058993092	1.352707174	1.875711584
CMBL	93	< 1e-07	< 1e-07	12.5011431	16.7982871	25.9926503	39.9425622	A_23_P144668	Homo sapiens carboxymethylenebutenolidase homolog (Pseudomonas) (CMBL), mRNA [NM_138809]	NM_138809	CMBL	1.343740086	2.079221883	3.195112789
	94	< 1e-07	< 1e-07	333.7965689	320.8347795	273.8185501	113.0191178	A_32_P170454	Homo sapiens cDNA FLJ37411 fis, clone BRAMY2028682. [AK094730]	AK094730	LOC283454	0.961168596	0.820315652	0.338586817
BBC3	95	< 1e-07	< 1e-07	486.7461559	590.4524502	739.9295162	1013.228629	A_24_P305312	Homo sapiens BCL2 binding component 3 (BBC3), mRNA [NM_014417]	NM_014417	BBC3	1.213060325	1.520154822	2.081636632
AGRN	96	< 1e-07	< 1e-07	67.7535786	67.2968396	78.7237346	116.2922578	A_23_P343411	Homo sapiens agrin (AGRIN), mRNA [NM_198576]	NM_198576	AGRIN	0.993258821	1.161912569	1.716400229
IGFBP4	97	< 1e-07	< 1e-07	11.7844549	12.8618118	17.3513946	32.6381902	A_24_P382187	Homo sapiens insulin-like growth factor binding protein 4 (IGFBP4), mRNA [NM_001552]	NM_001552	IGFBP4	1.09142187	1.472396878	2.769596937
LAMP3	98	< 1e-07	< 1e-07	391.7566183	431.0415269	557.3111277	907.4866988	A_23_P29773	Homo sapiens lysosomal-associated membrane protein 3 (LAMP3), mRNA [NM_014398]	NM_014398	LAMP3	1.100278864	1.42259531	2.31645531
TNFSF9	99	< 1e-07	< 1e-07	60.1997357	58.1512919	87.3521422	107.6836327	A_23_P67224	Homo sapiens tumor necrosis factor (ligand) superfamily, member 9 (TNFSF9), mRNA [NM_003811]	NM_003811	TNFSF9	0.965972545	1.451038633	1.788772516
	100	< 1e-07	< 1e-07	70.4539933	84.7844628	106.8643436	148.3406273	A_32_P509964	Homo sapiens unknown mRNA. [AF136408]	AF136408	AF136408	1.203401806	1.516796119	2.105496372
MYC	101	< 1e-07	< 1e-07	1352.207607	1189.077567	898.0051669	766.3843625	A_23_P215956	Homo sapiens v-myc myelocytomatosis viral oncogene homolog (avian) (MYC), mRNA [NM_002467]	NM_002467	MYC	0.879360211	0.664103028	0.566765309
FCRL5	102	< 1e-07	< 1e-07	24.4224614	25.1725044	38.7912178	79.0988312	A_24_P376848	Homo sapiens Fc receptor-like 5 (FCRL5), mRNA [NM_031281]	NM_031281	FCRL5	1.030711196	1.588341861	3.238773926
ADA	103	< 1e-07	< 1e-07	6096.223793	6760.82354	8329.75449	11191.85423	A_23_P210482	Homo sapiens adenosine deaminase (ADA), mRNA [NM_000022]	NM_000022	ADA	1.109018266	1.366379381	1.835866696
NEIL1	104	< 1e-07	< 1e-07	1117.057893	1025.230471	868.3300272	605.4557012	A_23_P129157	Homo sapiens nei endonuclease VIII-like 1 (E. coli) (NEIL1), mRNA [NM_024608]	NM_024608	NEIL1	0.917795289	0.777336638	0.542009242
	105	< 1e-07	< 1e-07	337.3085828	374.3517569	446.6394188	708.7448182	A_23_P50517	Zinc finger protein 541. [Source:Uniprot/SWISSPROT;Acc:Q9H0D2] [ENST00000314121]	ENST00000314121	ENST00000314121	1.109819839	1.32412705	2.101176354
TREM2	106	< 1e-07	< 1e-07	72.8681953	90.6491473	151.5210254	217.3044761	A_23_P167941	Homo sapiens triggering receptor expressed on myeloid cells 2 (TREM2), mRNA [NM_018965]	NM_018965	TREM2	1.244015265	2.079384906	2.982158062
FAM129C	107	< 1e-07	< 1e-07	749.4351159	641.5549558	506.215171	315.6381675	A_24_P940348	Homo sapiens family with sequence similarity 129, member C (FAM129C), mRNA [NM_173544]	NM_173544	FAM129C	0.856051367	0.675462305	0.421168105
MFSD4	108	< 1e-07	< 1e-07	10.5445399	13.1315332	17.2930039	25.561766	A_23_P365412	Homo sapiens major facilitator superfamily domain containing 4 (MFSD4), mRNA [NM_181644]	NM_181644	MFSD4	1.245339609	1.639996061	2.424170826
