Position	Unigene	GeneBank	Symbol	Description	Gene Name
F4	Hs.128453	NM_001463	FRZB	Frizzled-related protein	FRZB
G4	Hs.9914	NM_006350	FST	Follistatin	Follistatin
H4	Hs.94234	NM_003505	FZD1	Frizzled homolog 1 (Drosophila)	FZD1
A5	Hs.31664	NM_007197	FZD10	Frizzled homolog 10 (Drosophila)	FZD10
B5	Hs.142912	NM_001466	FZD2	Frizzled homolog 2 (Drosophila)	FZD2
C5	Hs.40735	NM_017412	FZD3	Frizzled homolog 3 (Drosophila)	FZD3
D5	Hs.19545	NM_012193	FZD4	Frizzled homolog 4 (Drosophila)	FZD4
E5	Hs.152251	NM_003468	FZD5	Frizzled homolog 5 (Drosophila)	FZD5
F5	Hs.114218	NM_003506	FZD6	Frizzled homolog 6 (Drosophila)	FZD6
G5	Hs.173859	NM_003507	FZD7	Frizzled homolog 7 (Drosophila)	FZD7
H5	Hs.302634	NM_031866	FZD8	Frizzled homolog 8 (Drosophila)	FZD8
A6	Hs.488671	NM_003508	FZD9	Frizzled homolog 9 (Drosophila)	FZD9
B6	Hs.2681	NM_000805	GAS	Gastrin	GAS
C6	Hs.74471	NM_000165	GJA1	Gap junction protein, alpha 1, 43kDa (connexin 43)	GJA1
D6	Hs.435970	NM_019884	GSK3A	Glycogen synthase kinase 3 alpha	GSK3A
E6	Hs.282359	NM_002093	GSK3B	Glycogen synthase kinase 3 beta	GSK3
F6	Hs.386467	NM_000201	ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	ICAM-1
G6	Hs.180919	NM_002166	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2
H6	Hs.76884	NM_002167	ID3	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	ID3
A7	Hs.78465	NM_002228	JUN	V-jun sarcoma virus 17 oncogene homolog (avian)	V-jun
B7	Hs.44865	NM_016269	LEF1	Lymphoid enhancer-binding factor 1	LEF1
C7	Hs.6347	NM_002335	LRP5	Low density lipoprotein receptor-related protein 5	LRP5
D7	Hs.210343	NM_002336	LRP6	Low density lipoprotein receptor-related protein 6	LRP6
E7	Hs.204732	NM_021801	MMP26	Matrix metalloproteinase 26	MMP26
F7	Hs.2256	NM_002423	MMP7	Matrix metalloproteinase 7 (matrilysin, uterine)	MMP-7
G7	Hs.424414	NM_002448	MSX1	Msh homeo box homolog 1 (Drosophila)	Hox7
H7	Hs.89404	NM_002449	MSX2	Msh homeo box homolog 2 (Drosophila)	MSX2
A8	Hs.202453	NM_002467	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	c-Myc
B8	Hs.298434	NM_033119	NKD1	Naked cuticle homolog 1 (Drosophila)	NKD1
C8	Hs.240951	NM_033120	NKD2	Naked cuticle homolog 2 (Drosophila)	NKD2
D8	Hs.193788	NM_000625	NOS2A	Nitric oxide synthase 2A (inducible, hepatocytes)	NOS
E8	Hs.92282	NM_000325	PITX2	Paired-like homeodomain transcription factor 2	PITX2
F8	Hs.179657	NM_002659	PLAUR	Plasminogen activator, urokinase receptor	uPAR
G8	Hs.386453	NM_022825	PPN	Likely ortholog of mouse porcupine homolog (Drosophila)	PPN
H8	Hs.118244	NM_006245	PPP2R5D	Protein phosphatase 2, regulatory subunit B (B56), delta isoform	PPP2R5D
A9	Hs.196384	NM_000963	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	Cox-2
B9	Hs.350321	NM_000323	RET	Ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	c-Ret
C9	Hs.31386	XM_050625	SFRP2	Secreted frizzled-related protein 2	SFRP2
D9	Hs.105700	NM_003014	SFRP4	Secreted frizzled-related protein 4	SFRP4
E9	Hs.437846	NM_005631	SMO	Smoothened homolog (Drosophila)	SMOH
F9	Hs.98367	NM_022454	SOX17	SRY (sex determining region Y)-box 17	SOX17
G9	Hs.389457	NM_003181	T	T, brachyury homolog (mouse)	T
H9	Hs.318517	NM_031283	TCF7L1	Transcription factor 7-like 1 (T-cell specific, HMG-box)	TCF-3
A10	Hs.359289	NM_003199	TCF4	Transcription factor 4	TCF4
B10	Hs.169294	NM_003202	TCF7	Transcription factor 7 (T-cell specific, HMG-box)	TCF7
C10	Hs.73793	NM_003376	VEGF	Vascular endothelial growth factor	VEGF
D10	Hs.284122	NM_007191	WIF1	WNT inhibitory factor 1	WIF1
E10	Hs.194680	NM_003882	WISP1	WNT1 inducible signaling pathway protein 1	WISP1
F10	Hs.194679	NM_003881	WISP2	WNT1 inducible signaling pathway protein 2	WISP2
G10	Hs.194678	NM_003880	WISP3	WNT1 inducible signaling pathway protein 3	WISP3
H10	Hs.248164	NM_005430	WNT1	Wingless-type MMTV integration site family, member 1	Wnt1
A11	Hs.121540	NM_025216	WNT10A	Wingless-type MMTV integration site family, member 10A	WNT10A
B11	Hs.108219	NM_004626	WNT11	Wingless-type MMTV integration site family, member 11	WNT11
C11	Hs.149504	NM_003395	WNT9A	Wingless-type MMTV integration site family, member 9A	WNT14
D11	Hs.326420	NM_003396	WNT9B	Wingless-type MMTV integration site family, member 9B	WNT15
E11	Hs.272375	NM_057168	WNT16	Wingless-type MMTV integration site family, member 16	WNT16
F11	Hs.89791	NM_003391	WNT2	Wingless-type MMTV integration site family member 2	WNT2
G11	Hs.258575	NM_004185	WNT2B	Wingless-type MMTV integration site family, member 2B	WNT2B
H11	Hs.224667	NM_030753	WNT3	Wingless-type MMTV integration site family, member 3	WNT3
A12	Hs.336930	NM_033131	WNT3A	Wingless-type MMTV integration site family, member 3A	WNT3A
B12	Hs.302428	NM_030761	WNT4	Wingless-type MMTV integration site family, member 4	WNT4
C12	Hs.152213	NM_003392	WNT5A	Wingless-type MMTV integration site family, member 5A	WNT5A
D12	Hs.306051	NM_032642	WNT5B	Wingless-type MMTV integration site family, member 5B	WNT5B
E12	Hs.29764	NM_006522	WNT6	Wingless-type MMTV integration site family, member 6	WNT6
F12	Hs.72290	NM_004625	WNT7A	Wingless-type MMTV integration site family, member 7A	WNT7A
G12	Hs.512714	NM_058238	WNT7B	Wingless-type MMTV integration site family, member 7B	WNT7B
H12	Hs.259471	NM_058244	WNT8A	Wingless-type MMTV integration site family, member 8A	WNT8A
A13	N/A	L08752	PUC18	PUC18 Plasmid DNA	pUC18
B12	N/A	L08752	PUC18	PUC18 Plasmid DNA	pUC18
C12	N/A	L08752	PUC18	PUC18 Plasmid DNA	pUC18
G12	Hs.169476	NM_002046	GAPD	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH
H12	Hs.169476	NM_002046	GAPD	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH
A14	Hs.356331	NM_021130	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	Cyclophilin A
B14	Hs.356331	NM_021130	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	Cyclophilin A
C14	Hs.356331	NM_021130	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	Cyclophilin A
D14	Hs.356331	NM_021130	PPIA	Peptidylprolyl isomerase A (cyclophilin A)	Cyclophilin A
E14	Hs.449070	NM_012423	RPL13A	Ribosomal protein L13a	RPL13A
F14	Hs.449070	NM_012423	RPL13A	Ribosomal protein L13a	RPL13A
G14	Hs.426930	NM_001101	ACTB	Actin, beta	b-Actin
H14	Hs.426930	NM_001101	ACTB	Actin, beta	b-Actin
