Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	Entrez Gene
210232_at	cell division cycle 42 (GTP binding protein, 25kDa)	CDC42	1p36.1	998
210338_s_at	heat shock 70kDa protein 8	HSPA8	11q24.1	3312
210396_s_at	PI-3-kinase-related kinase SMG-1 pseudogene /// bolA-like 2 (E. coli) /// PI-3-kinase-related kinase SMG-1 pseudogene	LOC440354 /// BOLA2 /// LOC595101	16p11.2	440354 /// 552900 /// 595101
210445_at	fatty acid binding protein 6, ileal (gastrotropin)	FABP6	5q33.3-q34	2172
210460_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	PSMD4	1q21.2	5710
210592_s_at	spermidine/spermine N1-acetyltransferase	SAT	Xp22.1	6303
210764_s_at	cysteine-rich, angiogenic inducer, 61	CYR61	1p31-p22	3491
210839_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	8q24.1	5168
210982_s_at	major histocompatibility complex, class II, DR alpha	HLA-DRA	6p21.3	3122
210983_s_at	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	7q21.3-q22.1	4176
211474_s_at	serpin peptidase inhibitor, clade B (ovalbumin), member 6	SERPINB6	6p25	5269
211529_x_at	HLA-G histocompatibility antigen, class I, G	HLA-G	6p21.3	3135
211714_x_at	tubulin, beta polypeptide /// tubulin, beta polypeptide	TUBB	6p21.33	203068
211719_x_at	fibronectin 1 /// fibronectin 1	FN1	2q34	2335
211747_s_at	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) /// LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM5	7p14.3	23658
211758_x_at	thioredoxin domain containing 9 /// thioredoxin domain containing 9	TXNDC9	2q11.2	10190
211762_s_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1) /// karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	17q23.1-q23.3	3838
211911_x_at	major histocompatibility complex, class I, B /// major histocompatibility complex, class I, B	HLA-B	6p21.3	3106
211971_s_at	leucine-rich PPR-motif containing	LRPPRC	2p21	10128
211981_at	collagen, type IV, alpha 1	COL4A1	13q34	1282
211990_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	3113
211991_s_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3	3113
211998_at	H3 histone, family 3B (H3.3B)	H3F3B	17q25	3021
212077_at	caldesmon 1	CALD1	7q33	800
212097_at	caveolin 1, caveolae protein, 22kDa	CAV1	7q31.1	857
212112_s_at	syntaxin 12	STX12	1p35-p34.1	23673
212120_at	Ras homolog gene family, member Q	RHOQ	2p21	23433
212205_at	H2A histone family, member V	H2AFV	7p13	94239
212213_x_at	optic atrophy 1 (autosomal dominant)	OPA1	3q28-q29|3q28-q29	4976
212354_at	sulfatase 1	SULF1	8q13.2-q13.3	23213
212464_s_at	fibronectin 1	FN1	2q34	2335
212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32	6678
212681_at	erythrocyte membrane protein band 4.1-like 3	EPB41L3	18p11.32	23136
212731_at	ankyrin repeat domain 46	ANKRD46	8q22.3	157567
212912_at	ribosomal protein S6 kinase, 90kDa, polypeptide 2	RPS6KA2	6q27	6196
212981_s_at	KIAA0738 gene product	KIAA0738	7q34-q35	9747
213009_s_at	tripartite motif-containing 37	TRIM37	17q23.2	4591
213047_x_at	SET translocation (myeloid leukemia-associated)	SET	9q34	6418
213093_at	protein kinase C, alpha	PRKCA	17q22-q23.2	5578
213102_at	ARP3 actin-related protein 3 homolog (yeast)	ACTR3	2q14.1	10096
213131_at	olfactomedin 1	OLFM1	9q34.3	10439
213510_x_at	TL132 protein	LOC220594	17p11.2	220594
213872_at	Chromosome 6 open reading frame 62	C6orf62	6p22.2	81688
213960_at	CDNA FLJ37610 fis, clone BRCOC2011398
213975_s_at	lysozyme (renal amyloidosis) /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1	LYZ /// LILRB1	12q15 /// 19q13.4	10859 /// 4069
214359_s_at	heat shock 90kDa protein 1, beta	HSPCB	6p12	3326
214459_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3	3107
214677_x_at	immunoglobulin lambda locus /// immunoglobulin lambda constant 1 (Mcg marker) /// immunoglobulin lambda constant 2 (Kern-Oz- marker) /// immunoglobulin lambda variable 3-25 /// immunoglobulin lambda variable 2-14 /// immunoglobulin lambda joining 3	IGL@ /// IGLC1 /// IGLC2 /// IGLV3-25 /// IGLV2-14 /// IGLJ3	22q11.1-q11.2 /// 22q11.2	28793 /// 28815 /// 28831 /// 3535 /// 3537 /// 3538
214803_at	CDNA clone IMAGE:4152983
214949_at	Similar to family with sequence similarity 9, member C	LOC441347	8p11.21	441347
215091_s_at	general transcription factor IIIA	GTF3A	13q12.3-q13.1	2971
215193_x_at	major histocompatibility complex, class II, DR beta 1	HLA-DRB1	6p21.3	3123
215311_at	MRNA full length insert cDNA clone EUROIMAGE 21920
215313_x_at	major histocompatibility complex, class I, A	HLA-A	6p21.3	3105
215321_at	Rap2-binding protein 9	RPIB9	7q21.12	154661
215664_s_at	EPH receptor A5	EPHA5	4q13.1	2044
216032_s_at	chromosome 20 open reading frame 47	C20orf47	20pter-q12	51614
216086_at	synaptic vesicle glycoprotein 2C	SV2C	5q13.3	22987
216231_s_at	beta-2-microglobulin	B2M	15q21-q22.2	567
216442_x_at	fibronectin 1	FN1	2q34	2335
216526_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3	3107
216598_s_at	chemokine (C-C motif) ligand 2	CCL2	17q11.2-q21.1	6347
216834_at	regulator of G-protein signalling 1	RGS1	1q31	5996
217232_x_at	hemoglobin, beta	HBB	11p15.5	3043
217478_s_at	major histocompatibility complex, class II, DM alpha	HLA-DMA	6p21.3	3108
217621_at	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	SLC6A2	16q12.2	6530
217726_at	coatomer protein complex, subunit zeta 1	COPZ1	12q13.2-q13.3	22818
217757_at	alpha-2-macroglobulin	A2M	12p13.3-p12.3	2
217797_at	ubiquitin-fold modifier conjugating enzyme 1	UFC1	1q23.3	51506
217837_s_at	vacuolar protein sorting 24 (yeast)	VPS24	2p24.3-p24.1	51652
217882_at	30 kDa protein	LOC55831	3p25.3	55831
217959_s_at	trafficking protein particle complex 4	TRAPPC4	11q23.3	51399
217964_at	tetratricopeptide repeat domain 19	TTC19	17p12	54902
217990_at	guanosine monophosphate reductase 2	GMPR2	14q11.2	51292
218026_at	HSPC009 protein	HSPC009	17q21	28958
218041_x_at	solute carrier family 38, member 2	SLC38A2	12q	54407
218109_s_at	major facilitator superfamily domain containing 1	MFSD1	3q25.32	64747
218167_at	archaemetzincins-2	AMZ2	17q24.2	51321
218229_s_at	pogo transposable element with KRAB domain	POGK	1q24.1	57645
218281_at	mitochondrial ribosomal protein L48	MRPL48	11q13.4	51642
218323_at	ras homolog gene family, member T1	RHOT1	17q11.2	55288
218345_at	hepatocellular carcinoma-associated antigen 112	HCA112	7q36.1	55365
218488_at	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa	EIF2B3	1p34.1	8891
218683_at	polypyrimidine tract binding protein 2	PTBP2	1p22.1-p21.3	58155
218718_at	platelet derived growth factor C	PDGFC	4q32	56034
218738_s_at	ring finger protein 138	RNF138	18q12.1	51444
218976_at	DnaJ (Hsp40) homolog, subfamily C, member 12	DNAJC12	10q22.1	56521
219087_at	asporin (LRR class 1)	ASPN	9q22	54829
219137_s_at	chromosome 2 open reading frame 33	C2orf33	2q36.3	56947
219293_s_at	GTP-binding protein PTD004	PTD004	2q31.1	29789
219370_at	reprimo, TP53 dependant G2 arrest mediator candidate	RPRM	2q23.3	56475
219895_at	family with sequence similarity 70, member A	FAM70A	Xq24	55026
220167_s_at	TP53TG3 protein	TP53TG3	16p13	24150
220232_at	stearoyl-CoA desaturase 5	SCD5	4q21.3	79966
220532_s_at	LR8 protein	LR8	7q36.1	28959
220979_s_at	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 /// ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	ST6GALNAC5	1p31.1	81849
220990_s_at	transmembrane protein 49 /// transmembrane protein 49 /// microRNA 21 /// microRNA 21	TMEM49 /// MIRN21	17q23.2	406991 /// 81671
221031_s_at	hypothetical protein DKFZp434F0318 /// hypothetical protein DKFZp434F0318	DKFZP434F0318	12p13.2	81575
221467_at	melanocortin 4 receptor	MC4R	18q22	4160
221486_at	endosulfine alpha	ENSA	1q21.2	2029
221541_at	cysteine-rich secretory protein LCCL domain containing 2	CRISPLD2	16q24.1	83716
221805_at	neurofilament, light polypeptide 68kDa	NEFL	8p21	4747
221875_x_at	major histocompatibility complex, class I, F	HLA-F	6p21.3	3134
221916_at	Neurofilament, light polypeptide 68kDa	NEFL	8p21	4747
222154_s_at	DNA polymerase-transactivated protein 6	DNAPTP6	2q33.1	26010
222231_s_at	hypothetical protein PRO1855	PRO1855	17q21.33	55379
266_s_at	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	6q21	934
