# Generate Mapping Tables Script: Version 4 11:03 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:03 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_019027.1|NM_019027	hgnc_symbol|FLJ20273|FLJ20273
refseq_dna|NM_025195.1|NM_025195	hgnc_symbol|TRIB1|TRIB1
refseq_dna|NM_001957.1|NM_001957	hgnc_symbol|EDNRA|EDNRA
refseq_dna|NM_016951.2|NM_016951	hgnc_symbol|CKLF|CKLF
refseq_dna|NM_006437.2|NM_006437	hgnc_symbol|PARP4|PARP4
refseq_dna|AL117502.1|02.1	hgnc_symbol|NEK9|NEK9
refseq_dna|NM_000875.2|NM_000875	hgnc_symbol|IGF1R|IGF1R
refseq_dna|NM_017909.1|NM_017909	hgnc_symbol|RMND1|RMND1
refseq_dna|NM_002514.1|NM_002514	hgnc_symbol|NOV|NOV
refseq_dna|NM_020445.1|NM_020445	hgnc_symbol|ACTR3B|ACTR3B
refseq_dna|NM_002507.1|NM_002507	hgnc_symbol|NGFR|NGFR
entrezgene|AA788711|1278	hgnc_symbol|COL1A2|COL1A2
refseq_dna|NM_000591.1|NM_000591	hgnc_symbol|CD14|CD14
refseq_dna|NM_001431.1|NM_001431	hgnc_symbol|EPB41L2|EPB41L2
entrezgene|BG255188|80097	hgnc_symbol|FAM128B|FAM128B
refseq_dna|NM_016835.1|NM_016835	hgnc_symbol|MAPT|MAPT
refseq_dna|BC004865.1|65.1	hgnc_symbol|CLPTM1|CLPTM1
refseq_dna|BC003600.1|00.1	hgnc_symbol|LMO4|LMO4
refseq_dna|NM_001290.1|NM_001290	hgnc_symbol|LDB2|LDB2
refseq_dna|NM_022728.1|NM_022728	hgnc_symbol|NEUROD6|NEUROD6
refseq_dna|NM_004244.1|NM_004244	hgnc_symbol|CD163|CD163
entrezgene|AA522816|79155	hgnc_symbol|TNIP2|TNIP2
refseq_dna|AF313468.1|68.1	hgnc_symbol|CLEC7A|CLEC7A
refseq_dna|NM_014825.1|NM_014825	hgnc_symbol|URB1|URB1
refseq_dna|NM_017866.1|NM_017866	hgnc_symbol|TMEM70|TMEM70
entrezgene|BG332462|653784	hgnc_symbol|FAM128A|FAM128A
entrezgene|W87901|6635
refseq_dna|NM_006848.1|NM_006848	hgnc_symbol|CCDC85B|CCDC85B
entrezgene|AI141670|131408	hgnc_symbol|FAM131A|FAM131A
embl|AI201594|AI201594
