FeatureNumber	ProbeUID	AgilentProbeID	GeneSymbol	SystematicName	Description	logFoldChange	AverageExpression	t.statistic	p.value	adjusted.p.value
35799	32702	A_23_P136013	A_23_P136013	A_23_P136013	Unknown	0.734308303	11.00190101	5.51865073	1.92912E-05	0.00335408
11891	10863	A_23_P127663	PRRG4	NM_024081	Homo sapiens proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane) (PRRG4), mRNA [NM_024081]	0.425998848	7.97365475	5.487188402	2.07302E-05	0.003376683
7565	6985	A_32_P31206	A_32_P31206	A_32_P31206	Unknown	0.429833209	9.242348928	5.480440023	2.10529E-05	0.003376683
44381	40468	A_24_P384239	A_24_P384239	A_24_P384239	Unknown	0.99986366	11.72610576	5.490236082	2.05862E-05	0.003376683
13213	12041	A_32_P109704	SFRS8	NM_004592	Homo sapiens splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila) (SFRS8), transcript variant 2A, mRNA [NM_004592]	0.50210507	10.85784951	5.475510425	2.12918E-05	0.003394916
13613	12463	A_24_P362737	FOXP1	NM_032682	Homo sapiens forkhead box P1 (FOXP1), transcript variant 1, mRNA [NM_032682]	0.390343474	11.52857233	5.459808527	2.20714E-05	0.003418674
9895	9085	A_32_P105073	THC2444522	THC2444522	Q5U623 (Q5U623) Activating transcription factor 7 interacting protein 2, partial (3%) [THC2444522]	0.651938279	8.930303715	5.46559217	2.17809E-05	0.003418674
43830	39999	A_32_P194372	AK129547	AK129547	Homo sapiens cDNA FLJ26036 fis, clone PRS00145. [AK129547]	0.422788126	11.23252837	5.429735053	2.36468E-05	0.003479194
17478	15948	A_23_P137470	SIPA1L2	NM_020808	Homo sapiens signal-induced proliferation-associated 1 like 2 (SIPA1L2), mRNA [NM_020808]	0.261198779	10.59044498	5.401241938	2.52451E-05	0.003583475
4327	3956	A_23_P37111	DICER1	NM_177438	Homo sapiens Dicer1, Dcr-1 homolog (Drosophila) (DICER1), transcript variant 1, mRNA [NM_177438]	0.433064862	10.98374405	5.370056888	2.71209E-05	0.003635504
29592	27093	A_24_P350200	AK057071	AK057071	Homo sapiens cDNA FLJ32509 fis, clone SMINT1000054. [AK057071]	0.800590191	14.63211432	5.368364602	2.72267E-05	0.003635504
43569	39856	A_23_P328034	C20orf96	NM_153269	Homo sapiens chromosome 20 open reading frame 96 (C20orf96), mRNA [NM_153269]	0.761143773	8.651778863	5.338828704	2.91418E-05	0.003726024
42809	39128	A_24_P678620	THC2405710	THC2405710	Unknown	0.38670257	10.47787302	5.334725308	2.94185E-05	0.003743744
29863	27273	A_24_P337504	C5orf24	NM_152409	Homo sapiens chromosome 5 open reading frame 24 (C5orf24), mRNA [NM_152409]	0.629231609	10.71639595	5.317618285	3.06012E-05	0.003804931
5934	5379	A_24_P159181	PDCD7	NM_005707	Homo sapiens programmed cell death 7 (PDCD7), mRNA [NM_005707]	0.543932055	11.992441	5.307728292	3.13069E-05	0.003813795
29574	27060	A_23_P306234	C6orf151	NM_152551	Homo sapiens chromosome 6 open reading frame 151 (C6orf151), mRNA [NM_152551]	0.607622744	10.13815865	5.283498211	3.31066E-05	0.003816833
10636	9663	A_23_P48387	APRIN	NM_015032	Homo sapiens androgen-induced proliferation inhibitor (APRIN), mRNA [NM_015032]	0.710465932	11.37161214	5.283045632	3.31412E-05	0.003816833
14160	13007	A_24_P247596	ENST00000333392	ENST00000333392	Unknown	0.659345807	10.66009439	5.253436637	3.54866E-05	0.003847596
22121	20246	A_23_P252491	PDZD11	NM_016484	Homo sapiens PDZ domain containing 11 (PDZD11), mRNA [NM_016484]	0.263760319	11.46102702	5.248127956	3.59246E-05	0.003875154
7850	7192	A_32_P118556	A_32_P118556	A_32_P118556	Unknown	0.484462679	9.177281856	5.24359871	3.63027E-05	0.003875154
4730	4231	A_32_P131342	THC2378263	THC2378263	Unknown	0.342357698	8.119691043	5.240362551	3.65753E-05	0.00388788
13127	12038	A_23_P1126	LEPROT	NM_017526	Homo sapiens leptin receptor overlapping transcript (LEPROT), mRNA [NM_017526]	0.366654929	11.64289737	5.23316708	3.71889E-05	0.003922341
34530	31616	A_23_P413184	P18SRP	NM_173829	Homo sapiens P18SRP protein (P18SRP), mRNA [NM_173829]	0.410681845	11.59105958	5.187244511	4.13594E-05	0.003947491
42555	38979	A_24_P931955	THC2278676	THC2278676	Unknown	0.36433334	11.262541	5.155361563	4.45317E-05	0.004056174
9260	8545	A_24_P609323	LOC440334	AF098968	Homo sapiens familial Mediterranean fever locus region, mRNA sequence. [AF098968]	0.345970567	9.608693709	5.148813466	4.52132E-05	0.004069758
19013	17365	A_23_P148916	OSBPL9	NM_148909	Homo sapiens oxysterol binding protein-like 9 (OSBPL9), transcript variant 7, mRNA [NM_148909]	0.32053545	12.21618338	5.127523228	4.75033E-05	0.004161403
16417	14936	A_32_P216015	THC2301901	THC2301901	RL2A_HUMAN (P46776) 60S ribosomal protein L27a, partial (20%) [THC2301901]	0.333914945	8.575142366	5.130673529	4.71571E-05	0.004161403
12608	11557	A_24_P937119	ZNF292	AK123473	Homo sapiens cDNA FLJ41479 fis, clone BRTHA2002442. [AK123473]	0.708020861	9.900071321	5.125330325	4.77457E-05	0.004161403
36780	33697	A_23_P150741	DKFZP586P0123	AL080220	Homo sapiens mRNA; cDNA DKFZp586P0123 (from clone DKFZp586P0123). [AL080220]	0.272265676	10.97102095	5.122301098	4.80828E-05	0.004177343
13322	12245	A_24_P911327	AA594808	AA594808	AA594808 nn86f10.s1 NCI_CGAP_Br2 Homo sapiens cDNA clone IMAGE:1098091 3, mRNA sequence [AA594808]	0.944783499	8.066247037	5.106793514	4.98462E-05	0.004275734
34099	31144	A_32_P142334	THC2434948	THC2434948	Q86TS6 (Q86TS6) Full-length cDNA 5-PRIME end of clone CS0CAP004YO05 of Thymus of Homo sapiens (human) (Fragment), partial (22%) [THC2434948]	0.323428838	7.965833336	5.101204943	5.04977E-05	0.004279059
11095	10193	A_32_P12050	ATP6V0E	AI198465	AI198465 qf88b03.x1 Soares_placenta_8to9weeks_2NbHP8to9W Homo sapiens cDNA clone IMAGE:1757069 3, mRNA sequence [AI198465]	1.177290608	8.125334658	5.103618161	5.02153E-05	0.004279059
13822	12702	A_32_P73222	THC2266436	THC2266436	CR542242 RPL34 {Homo sapiens;} , partial (74%) [THC2266436]	0.652381591	8.551015891	5.096133043	5.10965E-05	0.004290856
2174	1817	A_24_P153558	C14orf81	AK056731	Homo sapiens cDNA FLJ32169 fis, clone PLACE6000523. [AK056731]	0.30028949	6.913617006	5.085997481	5.23146E-05	0.004293106
37857	34590	A_32_P105200	AY170823	AY170823	Homo sapiens transformation-related protein 2 mRNA, complete cds. [AY170823]	0.578153138	11.01323031	5.089664226	5.18706E-05	0.004293106
11871	10827	A_24_P117782	SCRT2	NM_033129	Homo sapiens scratch homolog 2, zinc finger protein (Drosophila) (SCRT2), mRNA [NM_033129]	0.628779526	8.899653407	5.085865678	5.23307E-05	0.004293106
7116	6472	A_24_P298224	FLJ34870	NM_207481	Homo sapiens FLJ34870 protein (FLJ34870), mRNA [NM_207481]	0.675903634	9.196100206	5.078415258	5.32452E-05	0.004319574
10424	9584	A_24_P364838	SLC9A3R2	NM_004785	Homo sapiens solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2 (SLC9A3R2), mRNA [NM_004785]	0.494121426	11.8529821	5.070963874	5.4176E-05	0.004323207
10411	9559	A_23_P363206	RBBP6	NM_006910	Homo sapiens retinoblastoma binding protein 6 (RBBP6), transcript variant 1, mRNA [NM_006910]	0.527839048	12.36146662	5.070555739	5.42275E-05	0.004323207
29968	27460	A_24_P238878	DDX24	NM_020414	Homo sapiens DEAD (Asp-Glu-Ala-Asp) box polypeptide 24 (DDX24), mRNA [NM_020414]	0.564124587	11.172393	5.071603274	5.40955E-05	0.004323207
22367	20384	A_24_P710024	AK097322	AK097322	Homo sapiens cDNA FLJ40003 fis, clone STOMA2003716. [AK097322]	0.877082561	11.10499133	5.053671393	5.64004E-05	0.004398964
10614	9779	A_23_P110288	GSTCD	NM_024751	Homo sapiens glutathione S-transferase, C-terminal domain containing (GSTCD), transcript variant 2, mRNA [NM_024751]	0.273843622	8.200222319	5.04496099	5.75557E-05	0.004432471
38700	35359	A_23_P2895	ENST00000320746	ENST00000320746	Homo sapiens, clone IMAGE:5170866, mRNA. [BC047939]	0.306709054	7.001741358	5.034325596	5.8999E-05	0.00445467
6801	6200	A_23_P106737	LUC7L	NM_201412	Homo sapiens LUC7-like (S. cerevisiae) (LUC7L), transcript variant 2, mRNA [NM_201412]	0.458868803	11.13763401	5.035164066	5.88839E-05	0.00445467
34684	31746	A_23_P208540	NDUFA3	NM_004542	Homo sapiens NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa (NDUFA3), mRNA [NM_004542]	0.319235714	12.40082508	5.027183481	5.99887E-05	0.004467183
42811	39132	A_32_P135749	THC2285293	THC2285293	Unknown	0.454975518	7.784636794	5.025221138	6.02636E-05	0.004475358
7834	7163	A_32_P214441	BC001764	BC001764	Homo sapiens mRNA similar to Tax1 (human T-cell leukemia virus type I) binding protein 1 (cDNA clone IMAGE:3352710). [BC001764]	0.68628468	7.999070271	5.020114476	6.09849E-05	0.004504245
35278	32211	A_24_P741023	BC008476	BC008476	Homo sapiens, clone IMAGE:4290767, mRNA. [BC008476]	0.587879752	10.20861427	5.004840812	6.31951E-05	0.004566938
4685	4150	A_24_P75019	LOC441212	AF274938	Homo sapiens PNAS-13 mRNA, complete cds. [AF274938]	0.314588907	8.263608785	4.998548733	6.4129E-05	0.004574425
14233	12984	A_32_P216602	THC2306788	THC2306788	ALU1_HUMAN (P39188) Alu subfamily J sequence contamination warning entry, partial (10%) [THC2306788]	0.518942676	10.55778518	4.999422067	6.39986E-05	0.004574425
25117	22926	A_32_P182246	A_32_P182246	A_32_P182246	Unknown	0.498897751	7.805710838	4.993071301	6.49534E-05	0.004596939
128	66	A_32_P10665	A_32_P10665	A_32_P10665	Unknown	0.250936928	7.643384658	4.964742114	6.93919E-05	0.00459887
4153	3789	A_32_P40456	BM475547	BM475547	AGENCOURT_6480053 NIH_MGC_92 Homo sapiens cDNA clone IMAGE:5575564 5, mRNA sequence [BM475547]	0.393549048	7.340348719	4.981384541	6.67485E-05	0.00459887
38602	35337	A_23_P384056	CCDC14	NM_022757	Homo sapiens coiled-coil domain containing 14 (CCDC14), mRNA [NM_022757]	0.423318698	12.4335053	4.967285641	6.89812E-05	0.00459887
22124	20252	A_24_P753592	BC018589	BC018589	Homo sapiens cDNA clone IMAGE:3863301. [BC018589]	0.467492167	9.069035989	4.981941096	6.66619E-05	0.00459887
13029	11854	A_23_P70069	AK000420	AK000420	Homo sapiens cDNA FLJ20413 fis, clone KAT02170. [AK000420]	0.499332393	10.49694173	4.979522	6.70392E-05	0.00459887
2871	2483	A_32_P187851	BF689038	BF689038	BF689038 602185294T1 NIH_MGC_43 Homo sapiens cDNA clone IMAGE:4299791 3, mRNA sequence [BF689038]	0.53846717	8.479597573	4.968823405	6.8734E-05	0.00459887
3232	2843	A_24_P930337	A_24_P930337	A_24_P930337	Unknown	0.555221611	10.50572365	4.9699131	6.85594E-05	0.00459887
40028	36685	A_32_P160615	A_32_P160615	A_32_P160615	Unknown	0.561141245	10.17355793	4.979626852	6.70228E-05	0.00459887
8780	7973	A_23_P334271	BC069781	BC069781	Homo sapiens cDNA clone IMAGE:7262583, with apparent retained intron. [BC069781]	0.456676303	8.824561086	4.939458508	7.36124E-05	0.004762146
8492	7748	A_24_P924589	THC2354953	THC2354953	Unknown	0.385089196	8.079428309	4.932318275	7.48508E-05	0.004794692
8950	8132	A_23_P349310	TNRC6A	NM_014494	Homo sapiens trinucleotide repeat containing 6A (TNRC6A), transcript variant 1, mRNA [NM_014494]	0.397006892	10.69928665	4.924196624	7.6285E-05	0.004795948
3095	2745	A_32_P176701	CCDC108	NM_194302	Homo sapiens coiled-coil domain containing 108 (CCDC108), transcript variant 1, mRNA [NM_194302]	0.444268927	11.15338786	4.920920887	7.68713E-05	0.004795948
22646	20744	A_24_P868583	ANKRD20A2	NM_001012421	Homo sapiens ankyrin repeat domain 20 family, member A2 (ANKRD20A2), mRNA [NM_001012421]	0.567015461	8.473002281	4.916124173	7.77381E-05	0.004817781
45196	41068	A_24_P792389	THC2349421	THC2349421	Unknown	0.27838858	7.890807227	4.897903304	8.1122E-05	0.004844892
13359	12157	A_32_P20141	THC2288048	THC2288048	Unknown	0.340236578	8.167442093	4.904065023	7.99613E-05	0.004844892
3878	3429	A_23_P68868	TUG1	NR_002323	Homo sapiens taurine upregulated gene 1 (TUG1) on chromosome 22 [NR_002323]	0.476694853	12.12143781	4.89776956	8.11474E-05	0.004844892
29463	27011	A_23_P4353	WSB1	NM_015626	Homo sapiens WD repeat and SOCS box-containing 1 (WSB1), transcript variant 1, mRNA [NM_015626]	0.483636669	12.14074578	4.901477452	8.04467E-05	0.004844892
31057	28374	A_24_P367666	ASH1L	NM_018489	Homo sapiens ash1 (absent, small, or homeotic)-like (Drosophila) (ASH1L), mRNA [NM_018489]	0.56474759	9.996022615	4.899587861	8.0803E-05	0.004844892
14630	13396	A_23_P156809	LOC389286	NM_001018022	Homo sapiens similar to FKSG62 (LOC389286), mRNA [NM_001018022]	0.80880259	12.17408155	4.895772158	8.15274E-05	0.004856883
37898	34666	A_32_P126976	THC2447272	THC2447272	Unknown	0.665475561	7.763728394	4.894407813	8.1788E-05	0.004861724
7447	6765	A_24_P936537	AL036373	AL036373	DKFZp564D033_r1 564 (synonym: hfbr2) Homo sapiens cDNA clone DKFZp564D033 5, mRNA sequence [AL036373]	0.57458165	8.420343891	4.881322334	8.43308E-05	0.004937086
10942	10065	A_32_P185701	C11orf67	BC041959	Homo sapiens cDNA clone IMAGE:5302136. [BC041959]	0.591791242	9.218371784	4.881529635	8.42899E-05	0.004937086
37240	34078	A_32_P161554	THC2280139	THC2280139	Unknown	0.501480047	9.947303193	4.868816934	8.68357E-05	0.005026888
41910	38268	A_24_P135092	ENST00000359901	ENST00000359901	Homo sapiens KIAA1641, mRNA (cDNA clone IMAGE:4696190), with apparent retained intron. [BC017427]	0.555494324	10.79429966	4.866202434	8.73688E-05	0.005038763
2262	1978	A_23_P10211	SLC2A13	NM_052885	Homo sapiens solute carrier family 2 (facilitated glucose transporter), member 13 (SLC2A13), mRNA [NM_052885]	0.364421378	8.192587694	4.862009005	8.82308E-05	0.005040586
11527	10513	A_24_P212457	GON4L	NM_032292	Homo sapiens gon-4-like (C.elegans) (GON4L), transcript variant 2, mRNA [NM_032292]	0.549801962	10.74805105	4.863127068	8.80002E-05	0.005040586
16290	14858	A_24_P131589	CD86	NM_006889	Homo sapiens CD86 molecule (CD86), transcript variant 2, mRNA [NM_006889]	2.239040556	12.25375536	4.858874788	8.88807E-05	0.005040586
26831	24511	A_24_P230457	A_24_P230457	A_24_P230457	Unknown	0.387573591	12.57766359	4.840428999	9.2805E-05	0.005121991
31503	28886	A_32_P207802	THC2405783	THC2405783	Unknown	0.463784578	8.907621866	4.834610812	9.40788E-05	0.005121991
2496	2093	A_32_P221590	A_32_P221590	A_32_P221590	Unknown	0.284477093	10.96562805	4.819117822	9.75577E-05	0.005123387
17540	16065	A_24_P374652	NUCKS1	NM_022731	Homo sapiens nuclear casein kinase and cyclin-dependent kinase substrate 1 (NUCKS1), mRNA [NM_022731]	0.332857222	11.23437715	4.829051521	9.53125E-05	0.005123387
38437	35194	A_24_P196400	PHIP	NM_017934	Homo sapiens pleckstrin homology domain interacting protein (PHIP), mRNA [NM_017934]	0.362089753	9.386770161	4.822329107	9.68261E-05	0.005123387
24195	22181	A_32_P150086	THC2308160	THC2308160	Q5TYW2 (Q5TYW2) OTTHUMP00000032570, partial (17%) [THC2308160]	0.415809182	7.311501629	4.825468834	9.61161E-05	0.005123387
6823	6242	A_24_P916853	A_24_P916853	A_24_P916853	Unknown	0.566729949	10.44313009	4.815597152	9.83663E-05	0.005123387
41668	38130	A_24_P582241	THC2268341	THC2268341	HSU18930 MHC class I antigen HLA-A2 {Homo sapiens;} , partial (24%) [THC2268341]	0.633019185	8.712648095	4.819998664	9.73565E-05	0.005123387
37446	34297	A_24_P25252	ANKRD12	NM_015208	Homo sapiens ankyrin repeat domain 12 (ANKRD12), mRNA [NM_015208]	0.492289431	8.829826116	4.810649203	9.9514E-05	0.005128189
9796	8904	A_23_P313734	KIAA1731	AB051518	Homo sapiens mRNA for KIAA1731 protein, partial cds. [AB051518]	0.379634668	10.51633523	4.805884647	0.000100632	0.005156396
6975	6367	A_24_P6725	ENST00000288911	ENST00000288911	Unknown	0.525887979	12.44976933	4.795584374	0.000103093	0.005203784
22636	20725	A_32_P60076	THC2265980	THC2265980	T97996 ye56c04.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:121734 3 similar to SP:RL2B_RAT P29316 60S RIBOSOMAL PROTEIN ;, mRNA sequence [T97996]	0.601224764	7.986702597	4.799815038	0.000102075	0.005203784
3385	2974	A_32_P161166	AY927536	AY927536	Homo sapiens mRNA sequence. [AY927536]	0.652770789	9.775134258	4.796674036	0.00010283	0.005203784
30443	27863	A_23_P205929	DPP8	NM_197960	Homo sapiens dipeptidyl-peptidase 8 (DPP8), transcript variant 3, mRNA [NM_197960]	0.246554701	11.46635394	4.792586429	0.00010382	0.005212686
23730	21646	A_32_P158433	BC005109	BC005109	Homo sapiens mRNA similar to RNA-binding protein S1, serine-rich domain (cDNA clone IMAGE:3958219). [BC005109]	0.976529028	8.79755413	4.792044494	0.000103952	0.005212686
10522	9610	A_32_P186865	THC2406944	THC2406944	Q9F8M7 (Q9F8M7) DTDP-glucose 4,6-dehydratase (Fragment), partial (11%) [THC2406944]	0.364939634	9.17405549	4.790108369	0.000104426	0.005222436
18468	16830	A_23_P122210	FLJ11292	AK023417	Homo sapiens cDNA FLJ13355 fis, clone PLACE1000048. [AK023417]	0.564835506	8.63902153	4.778115375	0.000107406	0.00528631
9802	8914	A_24_P911960	BM664910	BM664910	UI-E-CQ1-aey-d-03-0-UI.s1 UI-E-CQ1 Homo sapiens cDNA clone UI-E-CQ1-aey-d-03-0-UI 3, mRNA sequence [BM664910]	0.354564713	7.776100764	4.775087808	0.000108172	0.005311781
30022	27406	A_23_P34578	GNL2	NM_013285	Homo sapiens guanine nucleotide binding protein-like 2 (nucleolar) (GNL2), mRNA [NM_013285]	0.281725511	12.04477215	4.772005823	0.000108957	0.005340667
3393	2990	A_24_P307665	AK021848	AK021848	Homo sapiens cDNA FLJ11786 fis, clone HEMBA1006036. [AK021848]	0.460939808	10.02417683	4.771154357	0.000109175	0.005341692
44356	40444	A_32_P180971	ENST00000373268	ENST00000373268	Homo sapiens cDNA clone IMAGE:30416677. [BC090920]	0.528505609	10.86225443	4.7682609	0.000109919	0.005368403
1321	1049	A_32_P17615	THC2274016	THC2274016	Unknown	0.528338855	9.034367519	4.766414852	0.000110396	0.005372357
41986	38409	A_24_P290585	UACA	NM_001008224	Homo sapiens uveal autoantigen with coiled-coil domains and ankyrin repeats (UACA), transcript variant 2, mRNA [NM_001008224]	0.448940138	9.770519924	4.75910015	0.000112308	0.005429018
7965	7250	A_32_P35486	THC2317058	THC2317058	Unknown	0.518657391	10.37553975	4.759548361	0.00011219	0.005429018
3783	3409	A_32_P127036	BC015588	BC015588	Homo sapiens cDNA clone IMAGE:4643311,  WARNING: chimeric clone . [BC015588]	0.530962095	10.2390819	4.758897862	0.000112362	0.005429018
5419	4893	A_23_P435183	ENST00000308482	ENST00000308482	Homo sapiens LRR FLI-I interacting protein 1 (LRRFIP1) mRNA, partial cds. [AF115510]	0.39678188	10.65489532	4.742342166	0.000116816	0.005525483
29857	27261	A_24_P925565	THC2438118	THC2438118	Unknown	0.484395242	10.95477692	4.743092523	0.000116611	0.005525483
9915	9121	A_24_P127719	MAFA	NM_201589	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog A (avian) (MAFA), mRNA [NM_201589]	0.541634832	9.25067998	4.746727692	0.000115619	0.005525483
22643	20739	A_32_P40673	THC2281732	THC2281732	Unknown	0.561758042	13.01081859	4.742366409	0.00011681	0.005525483
44339	40413	A_23_P133365	TCERG1	NM_006706	Homo sapiens transcription elongation regulator 1 (TCERG1), transcript variant 1, mRNA [NM_006706]	0.238743331	10.3567743	4.74075462	0.000117253	0.005527394
22446	20533	A_24_P23636	ENST00000333891	ENST00000333891	Homo sapiens mRNA for partial aczonin (acz gene). [Y19188]	0.297258467	6.996865547	4.735117019	0.000118816	0.005544144
39940	36530	A_32_P70372	BX448200	BX448200	BX448200 BX448200 Homo sapiens FETAL LIVER Homo sapiens cDNA clone CS0DM006YN06 3-PRIME, mRNA sequence [BX448200]	0.747885966	8.318336312	4.7191759	0.000123351	0.005654492
32903	30049	A_23_P26358	SMG1	NM_015092	Homo sapiens PI-3-kinase-related kinase SMG-1 (SMG1), mRNA [NM_015092]	0.585558016	10.85173785	4.706473635	0.000127089	0.005740933
25273	23060	A_24_P179339	AY029066	AY029066	Homo sapiens Humanin (HN1) mRNA, complete cds. [AY029066]	0.558815784	15.41548304	4.703332245	0.000128031	0.005764796
29159	26617	A_23_P4764	INSR	NM_000208	Homo sapiens insulin receptor (INSR), mRNA [NM_000208]	0.29934086	8.963471783	4.7023596	0.000128324	0.005768411
5896	5311	A_23_P38457	TAOK1	NM_020791	Homo sapiens TAO kinase 1 (TAOK1), mRNA [NM_020791]	0.470490618	9.527939934	4.70009853	0.000129008	0.005779987
19062	17458	A_32_P179746	THC2405620	THC2405620	Q6DN13 (Q6DN13) MCTP1S, partial (5%) [THC2405620]	0.41207799	9.200700208	4.685744369	0.000133437	0.005929412
15844	14511	A_24_P484894	BC045718	BC045718	Homo sapiens cDNA clone IMAGE:4797078. [BC045718]	0.324501878	12.61149066	4.674505922	0.000137011	0.00598707
17923	16455	A_24_P171601	NKTR	NM_001012651	Homo sapiens natural killer-tumor recognition sequence (NKTR), transcript variant 2, mRNA [NM_001012651]	0.449697168	9.621254752	4.673348403	0.000137385	0.00598707
26638	24316	A_24_P106382	SENP6	AK001406	Homo sapiens cDNA FLJ10544 fis, clone NT2RP2001601, highly similar to Homo sapiens mRNA for KIAA0797 protein. [AK001406]	0.205663124	9.210465024	4.665890192	0.000139817	0.005987171
228	223	A_23_P427299	LOC646652	XM_929595	PREDICTED: Homo sapiens similar to nuclear pore membrane protein 121 (LOC646652), mRNA [XM_929595]	0.488912406	7.893855433	4.666357969	0.000139663	0.005987171
33567	30790	A_32_P171253	THC2442210	THC2442210	Q9F8M7 (Q9F8M7) DTDP-glucose 4,6-dehydratase (Fragment), partial (11%) [THC2442210]	0.540799842	9.020694451	4.663709866	0.000140536	0.006001675
33991	31102	A_32_P71016	A_32_P71016	A_32_P71016	Unknown	0.401311234	9.135031271	4.661722303	0.000141195	0.00600821
1944	1710	A_32_P27041	AI819757	AI819757	AI819757 wj11h10.x1 NCI_CGAP_Kid12 Homo sapiens cDNA clone IMAGE:2402563 3 similar to gb:A18658 INSULIN RECEPTOR PRECURSOR (HUMAN);, mRNA sequence [AI819757]	0.325128265	9.197351219	4.653889496	0.000143822	0.006054366
13722	12507	A_32_P146826	THC2441367	THC2441367	Unknown	0.388652776	9.81584338	4.653179617	0.000144062	0.006054366
9829	8963	A_32_P146701	W74523	W74523	zd74e12.s1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:346414 3 similar to gb:J04794 ALCOHOL DEHYDROGENASE (HUMAN);, mRNA sequence [W74523]	0.374305617	7.609399594	4.643827884	0.000147269	0.006099357
