Probeset	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
209058_at	AB002282	EDF1	1145.69	68.22	404.32	38.59	3.50E-05	endothelial differentiation-related factor 1
209168_at	AW148844	GPM6B	50.25	7.43	175.28	18.56	1.69E-07	glycoprotein M6B
209234_at	BF939474	KIF1B	752.31	42.75	394	38.98	4.18E-05	kinesin family member 1B
209238_at	BE966922	STX3A	58.81	6.06	90.71	10.26	2.32E-06	syntaxin 3A
209241_x_at	AB041926	MINK1	35.94	2.28	23.3	1.93	9.97E-05	misshapen-like kinase 1 (zebrafish)
209514_s_at	BE502030	RAB27A	90.54	10.86	410.18	50.07	2.00E-05	RAB27A, member RAS oncogene family
209780_at	AL136883	PHTF2	374.25	24.36	743.29	49.95	2.70E-04	putative homeodomain transcription factor 2
209814_at	BC004421	ZNF330	349.02	28.65	703.05	50.98	1.24E-04	zinc finger protein 330
209953_s_at	U63131	CDC37	61.43	5.73	32.46	3.7	5.99E-06	CDC37 cell division cycle 37 homolog
210020_x_at	M58026	CALML3	1841.79	196.75	326.59	47.71	1.90E-04	calmodulin-like 3
210198_s_at	BC002665	PLP1	40.67	11.55	233.17	28.92	3.73E-07	proteolipid protein 1
210592_s_at	M55580	SAT	885.24	140.83	3578.58	281.98	1.21E-05	spermidine/spermine N1-acetyltransferase
210852_s_at	AF229180	AASS	35.01	3.17	91.87	11.78	1.29E-05	aminoadipate-semialdehyde synthase
210951_x_at	AF125393	RAB27A	86.21	10.75	400.09	44.52	4.15E-05	RAB27A, member RAS oncogene family
211084_x_at	Z25429	PRKD3	69.08	12.36	197.63	23.77	4.90E-05	protein kinase D3 ; protein kinase D3
211347_at	AF064105	CDC14B	100.33	9.39	310.91	35.14	1.02E-05	CDC14 cell division cycle 14 homolog B
211388_s_at	U80761	U80761	325.06	23.06	141.78	23.32	4.31E-05	Homo sapiens CTG26 alternate open reading frame mRNA
211546_x_at	L36674	SNCA	78.25	9.01	293.34	30.2	7.11E-06	synuclein, alpha
211905_s_at	AF011375	ITGB4	95.72	15.39	35.32	3.47	2.02E-04	integrin, beta 4
211948_x_at	BG261071	BAT2D1	212.8	13.59	366.41	31.34	4.39E-06	BAT2 domain containing 1
212038_s_at	AL515918	VDAC1	963.19	52.79	1257.05	81.82	1.26E-05	voltage-dependent anion channel 1
212138_at	AK021757	SCC-112	104.48	6.84	165.96	15.2	8.66E-06	SCC-112 protein
212382_at	BF433429	TCF4	575.38	52.61	100.45	18.44	6.39E-05	Transcription factor 4
213119_at	AW058600	SLC36A1	110.04	6.95	168	11.54	1.14E-05	solute carrier family 36 (proton/amino acid symporter), member 1
213146_at	AA521267	JMJD3	231.66	13.18	102.86	8.34	4.90E-05	jumonji domain containing 3
213688_at	N25325	CALM1	205.48	14.33	88.78	10.39	1.72E-04	calmodulin 1 (phosphorylase kinase, delta)
214681_at	AI830490	GK	49.4	9.48	171.99	18.1	1.89E-06	glycerol kinase
216036_x_at	AK001734	WDTC1	111.48	8.41	49.13	4.38	8.69E-06	WD and tetratricopeptide repeats 1
216242_x_at	AW402635	POLR2J2	291.47	15.6	169.93	9.14	2.79E-05	DNA directed RNA polymerase II polypeptide J-related gene
216479_at	AL356414	RPL21	26.99	1.11	21.7	0.95	1.56E-04	ribosomal protein L21
216512_s_at	AL139318	DCT	190.44	52.03	760.26	83.19	7.59E-06	dopachrome delta-isomerase, tyrosine-related protein 2
216513_at	AL139318	DCT	53.51	13.72	309.49	41.51	7.59E-06	dopachrome delta-isomerase, tyrosine-related protein 2
217230_at	AF199015	VIL2	630.45	41.62	327.22	41.02	1.13E-04	villin 2 (ezrin)
217503_at	AA203487	STK17B	37.24	5.18	14.58	2.38	2.75E-04	serine/threonine kinase 17b
217738_at	BF575514	PBEF1	41.75	8.88	175.46	18.24	7.90E-06	pre-B-cell colony enhancing factor 1
217996_at	AA576961	PHLDA1	71.43	11.66	414.92	57.87	9.57E-07	pleckstrin homology-like domain, family A, member 1
218102_at	NM_015954	DERA	162.6	12.73	346.79	38.57	2.85E-05	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)
218402_s_at	NM_022081	HPS4	61.1	5.3	89.29	8.09	2.86E-05	Hermansky-Pudlak syndrome 4
218419_s_at	NM_024107	MGC3123	280.66	24.83	123.22	10.34	4.81E-05	hypothetical protein MGC3123
219017_at	NM_018638	ETNK1	24.6	5.42	37.84	3.7	8.80E-05	ethanolamine kinase 1
219098_at	NM_014520	MYBBP1A	87.8	3.81	64.92	3.78	8.69E-06	MYB binding protein (P160) 1a
219372_at	NM_014055	CDV1	27.26	4	97	13.95	1.02E-05	carnitine deficiency-associated, expressed in ventricle 1
219387_at	NM_017571	KIAA1212	74.63	17.14	265.88	28.57	1.58E-05	KIAA1212
219636_s_at	NM_025139	ARMC9	21.15	3.98	107.45	18.37	8.85E-06	armadillo repeat containing 9
219946_x_at	NM_024729	MYH14	179.53	16.48	48.83	5.3	2.47E-04	myosin, heavy polypeptide 14
220245_at	NM_016180	SLC45A2	10.68	2.33	102.51	20.97	1.69E-07	solute carrier family 45, member 2
220578_at	NM_025008	TSRC1	41.54	4.98	12.41	1.31	5.26E-05	thrombospondin repeat containing 1
221031_s_at	NM_030817	DKFZP434F0318	10.33	1.14	92.93	30.52	1.37E-05	hypothetical protein DKFZp434F0318
221667_s_at	AF133207	HSPB8	504.24	48.75	203.14	41.54	1.52E-04	heat shock 22kDa protein 8
221951_at	AI739035	TMEM80	80.82	5.05	44.26	5.65	1.77E-05	transmembrane protein 80
222146_s_at	AK026674	TCF4	127.46	13.33	33.59	7.28	1.80E-05	transcription factor 4
222297_x_at	AV738806	RPL18	52.29	1.66	40.59	1.55	9.57E-06	Ribosomal protein L18
222670_s_at	AW135013	MAFB	515.62	38.29	174.75	24.23	2.46E-05	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B
223065_s_at	BC003074	STARD3NL	15.04	1.86	44.28	6.07	1.07E-04	STARD3 N-terminal like
223101_s_at	BC000018	ARPC5L	71.59	5.06	42.3	6.44	1.27E-04	actin related protein 2/3 complex, subunit 5-like
223253_at	BC000686	EPDR1	6.6	0.6	42.74	17.22	1.58E-05	ependymin related protein 1 (zebrafish)
223461_at	AF151073	TBC1D7	196.84	26.53	322.54	43.75	1.56E-04	TBC1 domain family, member 7
223601_at	AF131839	OLFM2	103.96	8.11	28.82	3.27	6.64E-05	olfactomedin 2
224576_at	AK000752	KIAA1181	84.81	16.07	91.7	13.63	7.28E-05	endoplasmic reticulum-golgi intermediate compartment 32 kDa protein
224609_at	AI264216	SLC44A2	140.46	13.66	47.17	7.93	1.15E-05	solute carrier family 44, member 2
224654_at	BG164358	DDX21	52.18	2.49	94.82	7.45	3.00E-05	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21 ; zinc finger protein 596
224691_at	BE622897	UHMK1	190.13	11.29	363.41	37.72	1.97E-04	U2AF homology motif (UHM) kinase 1
224833_at	BE218980	ETS1	69.09	12.14	356.37	31.79	1.54E-07	v-ets erythroblastosis virus E26 oncogene homolog 1
224991_at	AI819630	CMIP	66.89	7.3	26.92	4.93	1.69E-07	c-Maf-inducing protein
225009_at	AA191708	CKLFSF4	61.28	6.94	19.62	1.52	1.08E-05	chemokine-like factor superfamily 4
225147_at	AL521959	PSCD3	326.07	34.89	1380.83	116.67	3.73E-07	pleckstrin homology, Sec7 and coiled-coil domains 3
225581_s_at	BG028213	MRPL50	122.11	9.64	106.41	14.16	1.80E-04	mitochondrial ribosomal protein L50
225600_at	AW303300	DKFZp779L1068	28.93	8.29	38.58	6.73	1.50E-05	MRNA; cDNA DKFZp779L1068
225842_at	AK026181		104.48	17.75	626.22	73.77	3.73E-07	CDNA clone IMAGE:5531727
226034_at	BE222344		78.29	22.57	475.04	64.38	4.25E-05	Homo sapiens, clone IMAGE:3881549, mRNA
226054_at	AA702437	BRD4	2300.14	74.52	1285	79.52	6.58E-05	bromodomain containing 4
226206_at	BG231691	MAFK	197.62	12.91	78.79	9.16	1.71E-04	v-maf musculoaponeurotic fibrosarcoma oncogene homolog K
226262_at	AA534526	DHX33	55.24	8.31	95.33	10.86	1.01E-04	DEAH (Asp-Glu-Ala-His) box polypeptide 33
226301_at	AV729072	C6orf192	19.27	1.83	88.7	11.38	2.11E-05	chromosome 6 open reading frame 192
226893_at	AW173164	ABL2	152.56	21.08	537.96	80.75	3.41E-05	V-abl Abelson murine leukemia viral oncogene homolog 2
226988_s_at	AI709055	MYH14	213.54	20.26	49.93	7.61	5.38E-05	myosin, heavy polypeptide 14
227099_s_at	AW276078	LOC387763	68.25	8.37	540.61	80.01	4.39E-06	hypothetical LOC387763
227396_at	AI631833		67.81	14.47	290.83	30.2	1.60E-04	Homo sapiens, clone IMAGE:4454331, mRNA
227870_at	AB046848	NOPE	11.97	3.66	97.66	18.94	1.80E-07	likely ortholog of mouse neighbor of Punc E11
227994_x_at	AA548838	C20orf149	469.01	42.41	226.11	18.39	4.99E-06	chromosome 20 open reading frame 149
228156_at	AW342078		53.52	4.05	33.38	6.11	5.60E-05	Homo sapiens, clone IMAGE:4346533, mRNA
228415_at	AA205444	AP1S2	43.1	3.4	151.11	31.93	3.56E-05	Adaptor-related protein complex 1, sigma 2 subunit
228428_at	AA521285	EEIG1	107.66	7.48	56.57	5.29	5.09E-05	Chromosome 9 open reading frame 132
228519_x_at	AW027567	CIRBP	380.4	21.4	199.75	6.95	9.97E-05	cold inducible RNA binding protein
228768_at	N51056	KIAA1961	99.91	6.71	206.72	19.39	9.29E-05	KIAA1961 gene
229574_at	AI268231	TRA2A	372.34	23.3	180.71	16.9	8.48E-06	Transformer-2 alpha
229713_at	AW665227		34.86	4.38	132.91	17.72	4.82E-05	CDNA FLJ13267 fis, clone OVARC1000964
230333_at	BE326919	SAT	89.72	24.78	441.83	54.96	1.67E-06	Spermidine/spermine N1-acetyltransferase
231643_s_at	BE045541	CMIP	224.52	18	106.78	16	7.28E-05	C-Maf-inducing protein
231944_at	AL045717	ERO1LB	30.68	4.73	61.97	6.43	1.11E-04	ERO1-like beta (S. cerevisiae)
232926_x_at	AL041075	ANKRD19	863.9	37.67	602.67	31.71	8.47E-05	ankyrin repeat domain 19
233540_s_at	AK025867	CDK5RAP2	85.34	9.34	141.89	14.9	1.74E-04	CDK5 regulatory subunit associated protein 2
233882_s_at	AK022831	SEMA6D	33.5	8.39	215.75	43.1	3.05E-07	sema domain 6D
234607_at	AK025002	ARRDC1	80.06	4	58.45	3.03	2.29E-04	Arrestin domain containing 1
236972_at	AI351421	TRIM63	25.06	6.13	333.43	43.79	6.75E-10	tripartite motif-containing 63
237464_at	AI241501	IMAA	22.08	3.47	52.34	6.97	5.52E-06	LAT1-3TM protein 2
237737_at	AI359676	LOC375010	13.82	1.46	73.33	9.36	2.90E-05	hypothetical LOC375010
238756_at	AI860012	GAS2L3	15.69	3.41	105.33	14.87	2.53E-05	Growth arrest-specific 2 like 3
239606_at	AA669135	GCNT2	16.42	2.1	91.05	12.75	2.11E-05	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme
241180_at	AV660057	THRAP1	41.31	5.83	52.8	6.25	2.73E-04	Thyroid hormone receptor associated protein 1
241435_at	AA702930	ETS1	25.98	4.19	125.37	17.35	2.10E-05	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
241898_at	AA991267		126.58	10.41	42.18	4.54	2.30E-07	Transcribed locus, moderately similar to XP_517655.1 PREDICTED
242049_s_at	BE783098	NAG	186.09	12.27	109.74	14.76	2.14E-05	neuroblastoma-amplified protein
242321_at	AI628689		85.37	8.05	28.47	4.69	1.15E-04	CDNA FLJ32401 fis, clone SKMUS2000339
243720_at	AA039576	CMIP	193.37	17.58	88.88	11.84	2.46E-05	C-Maf-inducing protein
244358_at	AW372457		61.75	7.48	15.43	2.28	7.22E-05	cdna:Genscan chromosome:GRCh37:6:108943859:108944134:1
244829_at	N44676	MGC40222	23.68	9.23	376.13	45.89	4.60E-11	Hypothetical protein MGC40222
32259_at	AB002386	EZH1	73.09	6.39	32.57	3.26	7.09E-05	enhancer of zeste homolog 1 (Drosophila)
45653_at	AW026481	KCTD13	32.32	1.83	24.55	1.81	2.38E-04	potassium channel tetramerisation domain containing 13
