# Generate Mapping Tables Script: Version 4 11:07 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:07 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_012809|NM_012809	mgi_symbol|Cnp|Cnp
refseq_dna|NM_001007799|NM_001007799	mgi_symbol|Cir1|Cir1
refseq_dna|XM_213960|XM_213960	mgi_symbol|Cnih4|Cnih4
refseq_dna|NM_053955|NM_053955	mgi_symbol|Crym|Crym
refseq_dna|NM_001030039|NM_001030039	mgi_symbol|Csk|Csk
refseq_dna|XM_347163|XM_347163	mgi_symbol|Cux1|Cux1
refseq_dna|NM_031762|NM_031762	mgi_symbol|Cdkn1b|Cdkn1b
refseq_dna|NM_031327|NM_031327	mgi_symbol|Cyr61|Cyr61
entrezgene|AW916210|363165	mgi_symbol|Csrnp1|Csrnp1
refseq_dna|NM_012543|NM_012543	mgi_symbol|Dbp|Dbp
refseq_dna|XM_219128|XM_219128	mgi_symbol|Dchs1|Dchs1
entrezgene|CB545729|306817	mgi_symbol|Dek|Dek
refseq_dna|XM_227570|XM_227570	mgi_symbol|Dennd2d|Dennd2d
refseq_dna|NM_031143|NM_031143	mgi_symbol|Dgkz|Dgkz
refseq_dna|XM_214665|XM_214665	mgi_symbol|Dus2l|Dus2l
refseq_dna|NM_147145|NM_147145	mgi_symbol|Dclre1c|Dclre1c
refseq_dna|NM_001013887|NM_001013887	mgi_symbol|Dnajc18|Dnajc18
refseq_dna|NM_024161|NM_024161	mgi_symbol|Dnajc5|Dnajc5
refseq_dna|XM_225170|XM_225170	mgi_symbol|Dok3|Dok3
refseq_dna|NM_019252|NM_019252	mgi_symbol|Dpm2|Dpm2
refseq_dna|XM_342348|XM_342348	mgi_symbol|Dapp1|Dapp1
refseq_dna|NM_001012089|NM_001012089	mgi_symbol|Dusp2|Dusp2
refseq_dna|NM_001012191|NM_001012191	mgi_symbol|Dtnb|Dtnb
refseq_dna|NM_012698|NM_012698	mgi_symbol|Dmd|Dmd
entrezgene|CB547347|170915	mgi_symbol|Ep300|Ep300
refseq_dna|XM_574892|XM_574892	mgi_symbol|E2f5|E2f5
refseq_dna|NM_012551|NM_012551	mgi_symbol|Egr1|Egr1
entrezgene|BF564803|301295	mgi_symbol|Efhc1|Efhc1
refseq_dna|NM_024147|NM_024147	mgi_symbol|Evl|Evl
refseq_dna|XM_220986|XM_220986	mgi_symbol|Ezh1|Ezh1
refseq_dna|NM_001024791|NM_001024791	mgi_symbol|Epn3|Epn3
refseq_dna|NM_053927|NM_053927	mgi_symbol|Epb4.1l3|Epb4.1l3
refseq_dna|NM_212463|NM_212463	mgi_symbol|Ehmt2|Ehmt2
refseq_dna|NM_001008305|NM_001008305	mgi_symbol|Eif1ad|Eif1ad
refseq_dna|XM_230462|XM_230462	mgi_symbol|Eif2ak4|Eif2ak4
refseq_dna|NM_032058|NM_032058	mgi_symbol|Eif2b2|Eif2b2
refseq_dna|XM_233544|XM_233544	mgi_symbol|Eif2c1|Eif2c1
refseq_dna|NM_001013095|NM_001013095	mgi_symbol|Eif3g|Eif3g
refseq_dna|XM_215566|XM_215566	mgi_symbol|Exosc8|Exosc8
refseq_dna|NM_019357|NM_019357	mgi_symbol|Ezr|Ezr
refseq_dna|XM_215835|XM_215835	mgi_symbol|Fam113a|Fam113a
refseq_dna|XM_343576|XM_343576	mgi_symbol|Fam117b|Fam117b
refseq_dna|XM_227412|XM_227412	mgi_symbol|Fam189b|Fam189b
refseq_dna|NM_012557|NM_012557	mgi_symbol|Fancc|Fancc
refseq_dna|NM_031819|NM_031819	mgi_symbol|Fat1|Fat1
refseq_dna|NM_024132|NM_024132	mgi_symbol|Faah|Faah
refseq_dna|XM_219356|XM_219356	mgi_symbol|Fbxl19|Fbxl19
refseq_dna|NM_175756|NM_175756	mgi_symbol|Fcgr2b|Fcgr2b
refseq_dna|XM_221050|XM_221050	mgi_symbol|Falz|Falz
refseq_dna|NM_172334|NM_172334	mgi_symbol|Fibp|Fibp
embl|M91599|M91599	mgi_symbol|Fgfr4|Fgfr4
refseq_dna|NM_031348|NM_031348	mgi_symbol|Fcn1|Fcn1
refseq_dna|NM_013102|NM_013102	mgi_symbol|Fkbp1a|Fkbp1a
refseq_dna|XM_216227|XM_216227	mgi_symbol|Foxp1|Foxp1
refseq_dna|NM_031677|NM_031677	mgi_symbol|Fhl2|Fhl2
refseq_dna|NM_001025147|NM_001025147	mgi_symbol|Gpr160|Gpr160
refseq_dna|NM_012960|NM_012960	mgi_symbol|Ggh|Ggh
refseq_dna|NM_024145|NM_024145	mgi_symbol|Fgr|Fgr
refseq_dna|XM_215466|XM_215466	mgi_symbol|Gtf2h2|Gtf2h2
refseq_dna|NM_207591|NM_207591	mgi_symbol|Gltscr2|Gltscr2
refseq_dna|NM_053765|NM_053765	mgi_symbol|Gne|Gne
entrezgene|AW915606|498486	mgi_symbol|Gnpnat1|Gnpnat1
refseq_dna|NM_017007|NM_017007	mgi_symbol|Gad1|Gad1
refseq_dna|NM_032990|NM_032990	mgi_symbol|Gria3|Gria3
refseq_dna|NM_012794|NM_012794	mgi_symbol|Glycam1|Glycam1
refseq_dna|XM_214480|XM_214480	mgi_symbol|Gpld1|Gpld1
entrezgene|CB606450|360658	mgi_symbol|Gga3|Gga3
refseq_dna|XM_225147|XM_225147	mgi_symbol|Golph2|Golph2
refseq_dna|NM_001003974|NM_001003974	mgi_symbol|Gpsm3|Gpsm3
refseq_dna|NM_001014160|NM_001014160	mgi_symbol|Gramd1a|Gramd1a
refseq_dna|NM_001008321|NM_001008321	mgi_symbol|Gadd45b|Gadd45b
entrezgene|U77829|81714	mgi_symbol|Gas5|Gas5
entrezgene|BC070881|58935	mgi_symbol|Gas6|Gas6
refseq_dna|NM_013189|NM_013189	mgi_symbol|Gnaz|Gnaz
refseq_dna|NM_053542|NM_053542	mgi_symbol|Gna15|Gna15
refseq_dna|NM_212500|NM_212500	mgi_symbol|Gnl1|Gnl1
refseq_dna|XM_576399|XM_576399	mgi_symbol|H2afx|H2afx
refseq_dna|XM_574587|XM_574587	mgi_symbol|Hcca2|Hcca2
refseq_dna|XM_218660|XM_218660	mgi_symbol|Heca|Heca
refseq_dna|NM_080896|NM_080896	mgi_symbol|Hnrph1|Hnrph1
refseq_dna|XM_341807|XM_341807	mgi_symbol|Hnrnpul1|Hnrnpul1
refseq_dna|NM_012963|NM_012963	mgi_symbol|Hmgb1|Hmgb1
refseq_dna|NM_001025725|NM_001025725	mgi_symbol|Hirip3|Hirip3
refseq_dna|XM_230503|XM_230503	mgi_symbol|Hisppd2a|Hisppd2a
refseq_dna|NM_001009657|NM_001009657	mgi_symbol|Hat1|Hat1
refseq_dna|XM_342149|XM_342149	mgi_symbol|Hdac2|Hdac2
refseq_dna|NM_133300|NM_133300	mgi_symbol|Bat1|Bat1
refseq_dna|XM_226315|XM_226315	mgi_symbol|Hmgxb4|Hmgxb4
refseq_dna|NM_001024776|NM_001024776	mgi_symbol|Hipk4|Hipk4
refseq_dna|NM_031707|NM_031707	mgi_symbol|Homer1|Homer1
refseq_dna|NM_172040|NM_172040	mgi_symbol|Hyal2|Hyal2
refseq_dna|NM_001013114|NM_001013114	mgi_symbol|Haghl|Haghl
refseq_dna|NM_001004209|NM_001004209	mgi_symbol|Hsd17b11|Hsd17b11
entrezgene|BC079126|619574	mgi_symbol|LOC619574|LOC619574
refseq_dna|XM_213308|XM_213308	mgi_symbol|LOC691259|LOC691259
refseq_dna|NM_212505|NM_212505	mgi_symbol|Ier3|Ier3
refseq_dna|NM_001014787|NM_001014787	mgi_symbol|Igsf8|Igsf8
refseq_dna|NM_199099|NM_199099	mgi_symbol|Impdh2|Impdh2
entrezgene|BC086336|306626	mgi_symbol|Ing1|Ing1
refseq_dna|NM_013138|NM_013138	mgi_symbol|Itpr3|Itpr3
refseq_dna|XM_576471|XM_576471	mgi_symbol|Ip6k2|Ip6k2
refseq_dna|XM_342909|XM_342909	mgi_symbol|Inpp5b|Inpp5b
refseq_dna|NM_001009674|NM_001009674	mgi_symbol|Itm2c|Itm2c
refseq_dna|XM_214334|XM_214334	mgi_symbol|Ints10|Ints10
refseq_dna|NM_001004263|NM_001004263	mgi_symbol|Itgb6|Itgb6
refseq_dna|NM_133409|NM_133409	mgi_symbol|Ilk|Ilk
refseq_dna|XM_215117|XM_215117	mgi_symbol|Ifitm1|Ifitm1
refseq_dna|NM_001006969|NM_001006969	mgi_symbol|Irf3|Irf3
refseq_dna|XM_344194|XM_344194	mgi_symbol|Irf6|Irf6
refseq_dna|NM_031512|NM_031512	mgi_symbol|Il1b|Il1b
refseq_dna|NM_019165|NM_019165	mgi_symbol|Il18|Il18
refseq_dna|NM_013195|NM_013195	mgi_symbol|Il2rb|Il2rb
refseq_dna|XM_221420|XM_221420	mgi_symbol|Iqcb1|Iqcb1
refseq_dna|XM_225196|XM_225196	mgi_symbol|Iars|Iars
refseq_dna|NM_031514|NM_031514	mgi_symbol|Jak2|Jak2
embl|X17215|X17215	mgi_symbol|Jun|Jun
refseq_dna|NM_001004269|NM_001004269	mgi_symbol|Jam3|Jam3
refseq_dna|NM_053483|NM_053483	mgi_symbol|Kpna2|Kpna2
refseq_dna|NM_001004217|NM_001004217	mgi_symbol|Katna1|Katna1
refseq_dna|XM_223418|XM_223418	mgi_symbol|Klhl5|Klhl5
refseq_dna|XM_213995|XM_213995	mgi_symbol|Klhl8|Klhl8
refseq_dna|XM_341305|XM_341305	mgi_symbol|Ktn1|Ktn1
entrezgene|CB545413|309523	mgi_symbol|Kif20b|Kif20b
refseq_dna|XM_342681|XM_342681	mgi_symbol|Krba1|Krba1
refseq_dna|NM_001025653|NM_001025653	mgi_symbol|Lrrc42|Lrrc42
refseq_dna|XM_214797|XM_214797	mgi_symbol|Leng1|Leng1
refseq_dna|XM_219948|XM_219948	mgi_symbol|Ldb1|Ldb1
refseq_dna|XM_214898|XM_214898	mgi_symbol|Lin37|Lin37
refseq_dna|NM_030853|NM_030853	mgi_symbol|Lat|Lat
refseq_dna|NM_001012044|NM_001012044	mgi_symbol|Lcp1|Lcp1
refseq_dna|XM_232763|XM_232763	mgi_symbol|Lck|Lck
refseq_dna|NM_212507|NM_212507	mgi_symbol|Ltb|Ltb
refseq_dna|NM_053936|NM_053936	mgi_symbol|Lpar1|Lpar1
refseq_dna|NM_053538|NM_053538	mgi_symbol|Laptm5|Laptm5
refseq_dna|XM_573448|XM_573448	mgi_symbol|Mfsd4|Mfsd4
entrezgene|BG665267|301388	mgi_symbol|Mfsd6|Mfsd6
refseq_dna|NM_145088|NM_145088	mgi_symbol|Rmt1|Rmt1
refseq_dna|NM_001007700|NM_001007700	mgi_symbol|M6pr|M6pr
entrezgene|H32368|25478	mgi_symbol|Man2a1|Man2a1
refseq_dna|NM_053585|NM_053585	mgi_symbol|Madd|Madd
entrezgene|U65656|81686	mgi_symbol|Mmp2|Mmp2
refseq_dna|NM_001012026|NM_001012026	mgi_symbol|Mdm4|Mdm4
refseq_dna|XM_220813|XM_220813	mgi_symbol|Med13|Med13
refseq_dna|NM_031634|NM_031634	mgi_symbol|Mefv|Mefv
refseq_dna|XM_574019|XM_574019	mgi_symbol|Mboat1|Mboat1
refseq_dna|NM_153472|NM_153472	mgi_symbol|Mnat1|Mnat1
refseq_dna|XM_341180|XM_341180	mgi_symbol|Mtf2|Mtf2
refseq_dna|NM_022588|NM_022588	mgi_symbol|Mta1|Mta1
refseq_dna|XM_341750|XM_341750	mgi_symbol|Mthfd1l|Mthfd1l
refseq_dna|XM_215424|XM_215424	mgi_symbol|Mical1|Mical1
refseq_dna|XM_342906|XM_342906	mgi_symbol|Macf1|Macf1
entrezgene|U30938|25595	mgi_symbol|Map2|Map2
refseq_dna|XM_214968|XM_214968	mgi_symbol|Map7|Map7
refseq_dna|NM_012811|NM_012811	mgi_symbol|Mfge8|Mfge8
refseq_dna|NM_001004203|NM_001004203	mgi_symbol|Mcm7|Mcm7
refseq_dna|NM_001007696|NM_001007696	mgi_symbol|mrpl9|mrpl9
refseq_dna|XM_226073|XM_226073	mgi_symbol|Map3k2|Map3k2
refseq_dna|NM_001008375|NM_001008375	mgi_symbol|Map2k1ip1|Map2k1ip1
refseq_dna|NM_001013150|NM_001013150	mgi_symbol|Map3k11|Map3k11
refseq_dna|XM_238166|XM_238166	mgi_symbol|Mphosph10|Mphosph10
refseq_dna|XM_216460|XM_216460	mgi_symbol|Mysm1|Mysm1
refseq_dna|NM_001012162|NM_001012162	mgi_symbol|Mllt10|Mllt10
refseq_dna|XM_236194|XM_236194	mgi_symbol|Mll1|Mll1
entrezgene|CB544339|315820	mgi_symbol|Myo5c|Myo5c
refseq_dna|NM_181081|NM_181081	mgi_symbol|Myst2|Myst2
refseq_dna|XM_214202|XM_214202	mgi_symbol|N6amt2|N6amt2
refseq_dna|XM_213821|XM_213821	mgi_symbol|Naca|Naca
refseq_dna|XM_237115|XM_237115	mgi_symbol|Nck2|Nck2
refseq_dna|XM_235709|XM_235709	mgi_symbol|Nckap1l|Nckap1l
refseq_dna|XM_224181|XM_224181	mgi_symbol|Ngdn|Ngdn
entrezgene|BF565335|500904	mgi_symbol|Ncf4|Ncf4
refseq_dna|XM_218972|XM_218972	mgi_symbol|Numa1|Numa1
refseq_dna|XM_225168|XM_225168	mgi_symbol|Nsd1|Nsd1
refseq_dna|NM_139113|NM_139113	mgi_symbol|Nr2f6|Nr2f6
refseq_dna|NM_001024784|NM_001024784	mgi_symbol|Nfx1|Nfx1
refseq_dna|NM_031553|NM_031553	mgi_symbol|Nfyb|Nfyb
refseq_dna|NM_022869|NM_022869	mgi_symbol|Nolc1|Nolc1
refseq_dna|NM_053830|NM_053830	mgi_symbol|Nup107|Nup107
refseq_dna|NM_053322|NM_053322	mgi_symbol|Nup210|Nup210
refseq_dna|XM_217615|XM_217615	mgi_symbol|Ofd1|Ofd1
refseq_dna|NM_138504|NM_138504	mgi_symbol|Osgin1|Osgin1
entrezgene|BC088266|365390	mgi_symbol|Phemx|Phemx
refseq_dna|XM_226334|XM_226334	mgi_symbol|Papd5|Papd5
refseq_dna|NM_031235|NM_031235	mgi_symbol|Pard3|Pard3
refseq_dna|NM_020656|NM_020656	mgi_symbol|Parva|Parva
refseq_dna|NM_175765|NM_175765	mgi_symbol|Psip1|Psip1
refseq_dna|XM_228046|XM_228046	mgi_symbol|Ppil1|Ppil1
refseq_dna|NM_001004215|NM_001004215	mgi_symbol|Ppic|Ppic
entrezgene|CB547305|289740	mgi_symbol|Pes1|Pes1
refseq_dna|XM_575385|XM_575385	mgi_symbol|Phf14|Phf14
refseq_dna|XM_580016|XM_580016	mgi_symbol|Phf19|Phf19
refseq_dna|NM_017225|NM_017225	mgi_symbol|Pctp|Pctp
refseq_dna|NM_017236|NM_017236	mgi_symbol|Pebp1|Pebp1
refseq_dna|XM_230873|XM_230873	mgi_symbol|Prex1|Prex1
refseq_dna|NM_017031|NM_017031	mgi_symbol|Pde4b|Pde4b
refseq_dna|XM_341319|XM_341319	mgi_symbol|Pck2|Pck2
refseq_dna|NM_134406|NM_134406	mgi_symbol|Pacs1|Pacs1
refseq_dna|NM_013187|NM_013187	mgi_symbol|Plcg1|Plcg1
refseq_dna|NM_017168|NM_017168	mgi_symbol|Plcg2|Plcg2
refseq_dna|NM_001012167|NM_001012167	mgi_symbol|Pld3|Pld3
refseq_dna|NM_057194|NM_057194	mgi_symbol|Plscr1|Plscr1
refseq_dna|NM_001014094|NM_001014094	mgi_symbol|Plscr2|Plscr2
refseq_dna|NM_022545|NM_022545	mgi_symbol|Prpsap1|Prpsap1
refseq_dna|NM_080584|NM_080584	mgi_symbol|Phkg2|Phkg2
refseq_dna|XM_215491|XM_215491	mgi_symbol|Parp8|Parp8
refseq_dna|NM_134353|NM_134353	mgi_symbol|Pabpc1|Pabpc1
refseq_dna|XM_222255|XM_222255	mgi_symbol|Pole|Pole
refseq_dna|XM_221047|XM_221047	mgi_symbol|Polg2|Polg2
refseq_dna|NM_001024750|NM_001024750	mgi_symbol|Pold3|Pold3
refseq_dna|NM_001008330|NM_001008330	mgi_symbol|Polr1c|Polr1c
refseq_dna|XM_213574|XM_213574	mgi_symbol|Polr2hl|Polr2hl
refseq_dna|NM_001004259|NM_001004259	mgi_symbol|Pnkp|Pnkp
refseq_dna|XM_214617|XM_214617	mgi_symbol|Kctd1|Kctd1
refseq_dna|NM_023021|NM_023021	mgi_symbol|Kcnn4|Kcnn4
refseq_dna|NM_138837|NM_138837	mgi_symbol|Pou3f3|Pou3f3
refseq_dna|NM_080767|NM_080767	mgi_symbol|Psmb8|Psmb8
refseq_dna|NM_012708|NM_012708	mgi_symbol|Psmb9|Psmb9
refseq_dna|XM_213700|XM_213700	mgi_symbol|Pomp|Pomp
refseq_dna|NM_024363|NM_024363	mgi_symbol|Prmt1|Prmt1
refseq_dna|NM_001014153|NM_001014153	mgi_symbol|Prmt7|Prmt7
refseq_dna|NM_053460|NM_053460	mgi_symbol|Pick1|Pick1
refseq_dna|NM_133307|NM_133307	mgi_symbol|Prkcd|Prkcd
refseq_dna|XM_341553|XM_341553	mgi_symbol|Prkcq|Prkcq
refseq_dna|NM_001013895|NM_001013895	mgi_symbol|Prkd2|Prkd2
embl|CF110967|CF110967	mgi_symbol|Prkar1a|Prkar1a
refseq_dna|NM_001007747|NM_001007747	mgi_symbol|Pomgnt1|Pomgnt1
refseq_dna|XM_218820|XM_218820	mgi_symbol|Prc1|Prc1
refseq_dna|XM_573554|XM_573554	mgi_symbol|Ptpn13|Ptpn13
refseq_dna|XM_215658|XM_215658	mgi_symbol|Ptpn22|Ptpn22
refseq_dna|NM_053908|NM_053908	mgi_symbol|Ptpn6|Ptpn6
refseq_dna|NM_145683|NM_145683	mgi_symbol|Ptpn7|Ptpn7
embl|NA|NA	mgi_symbol|NA|NA
refseq_dna|NM_021740|NM_021740	mgi_symbol|Ptma|Ptma
refseq_dna|XM_342928|XM_342928	mgi_symbol|Pum1|Pum1
refseq_dna|XM_341347|XM_341347	mgi_symbol|R3hcc1|R3hcc1
refseq_dna|NM_001013221|NM_001013221	mgi_symbol|Rabl2b|Rabl2b
refseq_dna|XM_227404|XM_227404	mgi_symbol|Rab25|Rab25
refseq_dna|NM_017355|NM_017355	mgi_symbol|Rab4b|Rab4b
refseq_dna|NM_001025701|NM_001025701	mgi_symbol|Rad21|Rad21
refseq_dna|XM_216230|XM_216230	mgi_symbol|Rad52|Rad52
refseq_dna|XM_222773|XM_222773	mgi_symbol|Ralgps2|Ralgps2
refseq_dna|XM_214954|XM_214954	mgi_symbol|Reps1|Reps1
refseq_dna|NM_021764|NM_021764	mgi_symbol|Rbck1|Rbck1
refseq_dna|XM_220428|XM_220428	mgi_symbol|Rapgef6|Rapgef6
entrezgene|BF287849|295602	mgi_symbol|Rif1|Rif1
refseq_dna|XM_230647|XM_230647	mgi_symbol|Rin2|Rin2
refseq_dna|NM_182825|NM_182825	mgi_symbol|Rhebl1|Rhebl1
refseq_dna|NM_053289|NM_053289	mgi_symbol|Reg3b|Reg3b
refseq_dna|NM_173097|NM_173097	mgi_symbol|Reg3g|Reg3g
entrezgene|U77698|54289	mgi_symbol|Rgs1|Rgs1
refseq_dna|XM_341936|XM_341936	mgi_symbol|Rgs10|Rgs10
refseq_dna|XM_236392|XM_236392	mgi_symbol|Rfx7|Rfx7
refseq_dna|XM_218939|XM_218939	mgi_symbol|Rsf1|Rsf1
refseq_dna|NM_031095|NM_031095	mgi_symbol|Renbp|Renbp
refseq_dna|NM_012643|NM_012643	mgi_symbol|Ret|Ret
refseq_dna|XM_342481|XM_342481	mgi_symbol|Rcn1|Rcn1
refseq_dna|NM_001008694|NM_001008694	mgi_symbol|Rcn3|Rcn3
refseq_dna|XM_219296|XM_219296	mgi_symbol|Rbbp6|Rbbp6
refseq_dna|NM_001014790|NM_001014790	mgi_symbol|Rarres1|Rarres1
refseq_dna|XM_237071|XM_237071	mgi_symbol|Rev1|Rev1
refseq_dna|XM_230459|XM_230459	mgi_symbol|Arhgap11a|Arhgap11a
