Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location
214459_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3
216526_x_at	major histocompatibility complex, class I, C	HLA-C	6p21.3
208687_x_at	heat shock 70kDa protein 8	HSPA8	11q24.1
210338_s_at	heat shock 70kDa protein 8	HSPA8	11q24.1
221891_x_at	heat shock 70kDa protein 8	HSPA8	11q24.1
214359_s_at	heat shock 90kDa protein 1, beta	HSPCB	6p12
203089_s_at	HtrA serine peptidase 2	HTRA2	2p12
201631_s_at	immediate early response 3	IER3	6p21.3
210095_s_at	insulin-like growth factor binding protein 3	IGFBP3	7p13-p12
201162_at	insulin-like growth factor binding protein 7	IGFBP7	4q12
201163_s_at	insulin-like growth factor binding protein 7	IGFBP7	4q12
200052_s_at	interleukin enhancer binding factor 2, 45kDa /// interleukin enhancer binding factor 2, 45kDa	ILF2	1q21.3
210511_s_at	inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA	7p15-p13
204057_at	interferon regulatory factor 8 /// interferon regulatory factor 8	IRF8	16q24.1
202803_s_at	integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)	ITGB2	21q22.3
205176_s_at	integrin beta 3 binding protein (beta3-endonexin)	ITGB3BP	1p31.3
200079_s_at	lysyl-tRNA synthetase /// lysyl-tRNA synthetase	KARS	16q23-q24
202503_s_at	KIAA0101	KIAA0101	15q22.31
202393_s_at	Kruppel-like factor 10	KLF10	8q22.2
204009_s_at	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	KRAS	12p12.1
215543_s_at	like-glycosyltransferase	LARGE	22q12.3
201105_at	lectin, galactoside-binding, soluble, 1 (galectin 1)	LGALS1	22q13.1
220532_s_at	LR8 protein	LR8	7q36.1
205859_at	lymphocyte antigen 86	LY86	6p25.1
201153_s_at	muscleblind-like (Drosophila)	MBNL1	3q25
216237_s_at	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	MCM5	22q13.1
201930_at	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	MCM6	2q21
210983_s_at	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	MCM7	7q21.3-q22.1
211026_s_at	monoglyceride lipase /// monoglyceride lipase	MGLL	3q21.3
213708_s_at	MAX-like protein X	MLX	17q21.1
203414_at	monocyte to macrophage differentiation-associated	MMD	17q
203936_s_at	matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	MMP9	20q11.2-q13.1
202309_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	MTHFD1	14q24
201761_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	MTHFD2	2p13.1
201497_x_at	myosin, heavy polypeptide 11, smooth muscle	MYH11	16p13.13-p13.12
205113_at	neurofilament 3 (150kDa medium)	NEF3	8p21
33767_at	neurofilament, heavy polypeptide 200kDa	NEFH	22q12.2
200758_s_at	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	17q21.3
209290_s_at	nuclear factor I/B	NFIB	9p24.1
201577_at	non-metastatic cells 1, protein (NM23A) expressed in	NME1	17q21.3
201268_at	non-metastatic cells 2, protein (NM23B) expressed in	NME2	17q21.3
221691_x_at	nucleophosmin (nucleolar phosphoprotein B23, numatrin) /// nucleophosmin (nucleolar phosphoprotein B23, numatrin)	NPM1	5q35
206462_s_at	neurotrophic tyrosine kinase, receptor, type 3	NTRK3	15q25
215115_x_at	neurotrophic tyrosine kinase, receptor, type 3	NTRK3	15q25
217033_x_at	neurotrophic tyrosine kinase, receptor, type 3	NTRK3	15q25
217377_x_at	neurotrophic tyrosine kinase, receptor, type 3	NTRK3	15q25
200790_at	ornithine decarboxylase 1	ODC1	2p25
213131_at	olfactomedin 1	OLFM1	9q34.3
212213_x_at	optic atrophy 1 (autosomal dominant)	OPA1	3q28-q29|3q28-q29
202265_at	polycomb group ring finger 4	PCGF4	10p11.23
201202_at	proliferating cell nuclear antigen	PCNA	20pter-p12
205872_x_at	phosphodiesterase 4D interacting protein (myomegalin)	PDE4DIP	1q12
204604_at	PFTAIRE protein kinase 1	PFTK1	7q21-q22
201118_at	phosphogluconate dehydrogenase /// phosphogluconate dehydrogenase	PGD	1p36.3-p36.13
218229_s_at	pogo transposable element with KRAB domain	POGK	1q24.1
200975_at	palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)	PPT1	1p32
204086_at	preferentially expressed antigen in melanoma	PRAME	22q11.22
200603_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A	17q23-q24
200604_s_at	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)	PRKAR1A	17q23-q24
213093_at	protein kinase C, alpha	PRKCA	17q22-q23.2
209685_s_at	protein kinase C, beta 1	PRKCB1	16p11.2
208827_at	proteasome (prosome, macropain) subunit, beta type, 6	PSMB6	17p13
210460_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	PSMD4	1q21.2
201433_s_at	phosphatidylserine synthase 1	PTDSS1	8q22
211748_x_at	prostaglandin D2 synthase 21kDa (brain) /// prostaglandin D2 synthase 21kDa (brain)	PTGDS	9q34.2-q34.3
212187_x_at	prostaglandin D2 synthase 21kDa (brain)	PTGDS	9q34.2-q34.3
208732_at	RAB2, member RAS oncogene family	RAB2	8q12.1
200750_s_at	RAN, member RAS oncogene family	RAN	12q24.3
209444_at	RAP1, GTP-GDP dissociation stimulator 1	RAP1GDS1	4q23-q25
217457_s_at	RAP1, GTP-GDP dissociation stimulator 1	RAP1GDS1	4q23-q25
204127_at	replication factor C (activator 1) 3, 38kDa	RFC3	13q12.3-q13
206290_s_at	regulator of G-protein signalling 7	RGS7	1q43|1q23.1 according to Sierra (Genomics 79; 177; 2002) [AFS]
217865_at	ring finger protein 130	RNF130	5q35.3
200089_s_at	ribosomal protein L4 /// ribosomal protein L4	RPL4	15q22
201154_x_at	ribosomal protein L4	RPL4	15q22
211710_x_at	ribosomal protein L4 /// ribosomal protein L4	RPL4	15q22
208692_at	ribosomal protein S3	RPS3	11q13.3-q13.5
200081_s_at	ribosomal protein S6 /// ribosomal protein S6	RPS6	9p21
209134_s_at	ribosomal protein S6	RPS6	9p21
200082_s_at	ribosomal protein S7 /// ribosomal protein S7	RPS7	2p25
209360_s_at	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	21q22.3
202283_at	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	SERPINF1	17p13.1
213047_x_at	SET translocation (myeloid leukemia-associated)	SET	9q34
201586_s_at	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)	SFPQ	1p34.3
202899_s_at	splicing factor, arginine/serine-rich 3	SFRS3	6p21
206634_at	sine oculis homeobox homolog 3 (Drosophila)	SIX3	2p16-p21
209003_at	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	SLC25A11	17p13.3
213601_at	slit homolog 1 (Drosophila)	SLIT1	10q23.3-q24
204099_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	SMARCD3	7q35-q36
211988_at	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	SMARCE1	17q21.2
204915_s_at	SRY (sex determining region Y)-box 11	SOX11	2p25
212667_at	secreted protein, acidic, cysteine-rich (osteonectin)	SPARC	5q31.3-q32
204640_s_at	speckle-type POZ protein	SPOP	17q21.33
213921_at	somatostatin	SST	3q28
200887_s_at	signal transducer and activator of transcription 1, 91kDa	STAT1	2q32.2
208991_at	signal transducer and activator of transcription 3 (acute-phase response factor)	STAT3	17q21.31
212353_at	sulfatase 1	SULF1	8q13.2-q13.3
212354_at	sulfatase 1	SULF1	8q13.2-q13.3
208761_s_at	SMT3 suppressor of mif two 3 homolog 1 (yeast)	SUMO1	2q33
211069_s_at	SMT3 suppressor of mif two 3 homolog 1 (yeast) /// SMT3 suppressor of mif two 3 homolog 1 (yeast)	SUMO1	2q33
200055_at	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa /// TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	TAF10	11p15.3
201023_at	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	TAF7	5q31
202168_at	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	TAF9	5q11.2-q13.1
212330_at	transcription factor Dp-1	TFDP1	13q34
201506_at	transforming growth factor, beta-induced, 68kDa	TGFBI	5q31
203083_at	thrombospondin 2	THBS2	6q27
208699_x_at	transketolase (Wernicke-Korsakoff syndrome)	TKT	3p14.3
218856_at	tumor necrosis factor receptor superfamily, member 21	TNFRSF21	6p21.1-12.2
201292_at	topoisomerase (DNA) II alpha 170kDa	TOP2A	17q21-q22
213011_s_at	triosephosphate isomerase 1	TPI1	12p13
217959_s_at	trafficking protein particle complex 4	TRAPPC4	11q23.3
213293_s_at	tripartite motif-containing 22	TRIM22	11p15
215111_s_at	TSC22 domain family, member 1	TSC22D1	13q14
209026_x_at	tubulin, beta polypeptide	TUBB	6p21.33
211714_x_at	tubulin, beta polypeptide /// tubulin, beta polypeptide	TUBB	6p21.33
212320_at	tubulin, beta polypeptide	TUBB	6p21.33
201343_at	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	UBE2D2	5q31.2
211009_s_at	zinc finger protein 271	ZNF271	18q12
206059_at	zinc finger protein 91 (HPF7, HTF10)	ZNF91	19p13.1-p12
201307_at	septin 11	12:00:00 AM	4q21.1
200902_at	15 kDa selenoprotein	12:00:00 AM	1p31
209478_at
213960_at	CDNA FLJ37610 fis, clone BRCOC2011398
214836_x_at	Immunoglobulin kappa light chain VJ region (ID POM010) /// Immunoglobulin kappa light chain VJ region (ID POM022) /// (clone TR1.6VL) anti-thyroid peroxidase monoclonal autoantibody IgK chain, V region
214949_at
215311_at	MRNA full length insert cDNA clone EUROIMAGE 21920
217757_at	alpha-2-macroglobulin	A2M	12p13.3-p12.3
200045_at	ATP-binding cassette, sub-family F (GCN20), member 1 /// ATP-binding cassette, sub-family F (GCN20), member 1	ABCF1	6p21.33
201128_s_at	ATP citrate lyase	ACLY	17q12-q21
208002_s_at	acyl-CoA thioesterase 7	ACOT7	1p36.31-p36.11
201661_s_at	acyl-CoA synthetase long-chain family member 3	ACSL3	2q34-q35
200974_at	actin, alpha 2, smooth muscle, aorta	ACTA2	10q23.3
AFFX-HSAC07/X00351_M_at	actin, beta	ACTB	7p15-p12
213102_at	ARP3 actin-related protein 3 homolog (yeast)	ACTR3	2q14.1
208848_at	alcohol dehydrogenase 5 (class III), chi polypeptide	ADH5	4q21-q25
209901_x_at	allograft inflammatory factor 1	AIF1	6p21.3
213095_x_at	allograft inflammatory factor 1	AIF1	6p21.3
215051_x_at	allograft inflammatory factor 1	AIF1	6p21.3
208967_s_at	adenylate kinase 2	AK2	1p34
205257_s_at	amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen)	AMPH	7p14-p13
218167_at	archaemetzincins-2	AMZ2	17q24.2
201012_at	annexin A1	ANXA1	9q12-q21.2|9q12-q21.2
203410_at	adaptor-related protein complex 3, mu 2 subunit	AP3M2	8p11.2
218870_at	Rho GTPase activating protein 15	ARHGAP15	2q22.3
201288_at	Rho GDP dissociation inhibitor (GDI) beta	ARHGDIB	12p12.3
209435_s_at	rho/rac guanine nucleotide exchange factor (GEF) 2	ARHGEF2	1q21-q22
208679_s_at	actin related protein 2/3 complex, subunit 2, 34kDa	ARPC2	2q36.1
205047_s_at	asparagine synthetase	ASNS	7q21.3
219087_at	asporin (LRR class 1)	ASPN	9q22
207076_s_at	argininosuccinate synthetase	ASS	9q34.1
217801_at	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	ATP5E	20q13.32
202961_s_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2	ATP5J2	7q22.1
201891_s_at	beta-2-microglobulin	B2M	15q21-q22.2
216231_s_at	beta-2-microglobulin	B2M	15q21-q22.2
201032_at	bladder cancer associated protein	BLCAP	20q11.2-q12
202179_at	bleomycin hydrolase	BLMH	17q11.2
218024_at	brain protein 44-like	BRP44L	6q27
208906_at	Bernardinelli-Seip congenital lipodystrophy 2 (seipin) /// heterogeneous nuclear ribonucleoprotein U-like 2	BSCL2 /// HNRPUL2	11q12-q13.5 /// 11q12.3
200777_s_at	basic leucine zipper and W2 domains 1	BZW1	2q33
209183_s_at	chromosome 10 open reading frame 10	C10orf10	10q11.21
201725_at	chromosome 10 open reading frame 7	C10orf7	10p13
218220_at	chromosome 12 open reading frame 10	C12orf10	12q13
218383_at	chromosome 14 open reading frame 94	C14orf94	14q11.2
212228_s_at	chromosome 16 open reading frame 49	C16orf49	16q13
209092_s_at	chromosome 17 open reading frame 25	C17orf25	17p13.3
219506_at	chromosome 1 open reading frame 54	C1orf54	1q21.2
202953_at	complement component 1, q subcomponent, beta polypeptide	C1QB	1p36.3-p34.1
208910_s_at	complement component 1, q subcomponent binding protein	C1QBP	17p13.3
214214_s_at	complement component 1, q subcomponent binding protein	C1QBP	17p13.3
202878_s_at	complement component 1, q subcomponent, receptor 1	C1QR1	20p11.21
208747_s_at	complement component 1, s subcomponent	C1S	12p13
216032_s_at	chromosome 20 open reading frame 47	C20orf47	20pter-q12
209233_at	C2f protein	C2F	12p13
204364_s_at	chromosome 2 open reading frame 23	C2orf23	2p11.2
219137_s_at	chromosome 2 open reading frame 33	C2orf33	2q36.3
217767_at	complement component 3	C3	19p13.3-p13.2
213872_at	Chromosome 6 open reading frame 62	C6orf62	6p22.2
215380_s_at	chromosome 7 open reading frame 24	C7orf24	7p15-p14
205625_s_at	calbindin 1, 28kDa	CALB1	8q21.3-q22.1
212077_at	caldesmon 1	CALD1	7q33
213710_s_at	Calmodulin 1 (phosphorylase kinase, delta)	CALM1	14q24-q31
221732_at	calcium activated nucleotidase 1	CANT1	17q25.3
201238_s_at	capping protein (actin filament) muscle Z-line, alpha 2	CAPZA2	7q31.2-q31.3
209924_at	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	CCL18	17q11.2
210072_at	chemokine (C-C motif) ligand 19	CCL19	9p13
200910_at	chaperonin containing TCP1, subunit 3 (gamma)	CCT3	1q23
203645_s_at	CD163 antigen	CD163	12p13.3
215049_x_at	CD163 antigen	CD163	12p13.3
209583_s_at	CD200 antigen	CD200	3q12-q13
204118_at	CD48 antigen (B-cell membrane protein) /// CD48 antigen (B-cell membrane protein)	CD48	1q21.3-q22
203416_at	CD53 antigen	CD53	1p13
201938_at	CDK2-associated protein 1	CDK2AP1	12q24.31
204247_s_at	cyclin-dependent kinase 5	CDK5	7q36
209662_at	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	CETN3	5q14.3
219030_at	CGI-121 protein	CGI-121	2p24.3-p24.1
202712_s_at	creatine kinase, mitochondrial 1B /// creatine kinase, mitochondrial 1A	CKMT1B /// CKMT1A	15q15
208912_s_at	2,3-cyclic nucleotide 3 phosphodiesterase	CNP	17q21
205229_s_at	coagulation factor C homolog, cochlin (Limulus polyphemus)	COCH	14q12-q13
211981_at	collagen, type IV, alpha 1	COL4A1	13q34
218042_at	COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis)	COPS4	4q21.3
201405_s_at	COP9 constitutive photomorphogenic homolog subunit 6 (Arabidopsis)	COPS6	7q22.1
209029_at	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)	COPS7A	12p13.31
217726_at	coatomer protein complex, subunit zeta 1	COPZ1	12q13.2-q13.3
205630_at	corticotropin releasing hormone	CRH	8q13
221541_at	cysteine-rich secretory protein LCCL domain containing 2	CRISPLD2	16q24.1
201390_s_at	casein kinase 2, beta polypeptide	CSNK2B	6p21-p12|6p21.3
205143_at	chondroitin sulfate proteoglycan 3 (neurocan)	CSPG3	19p12
39966_at	chondroitin sulfate proteoglycan 5 (neuroglycan C)	CSPG5	3p21.3
209259_s_at	chondroitin sulfate proteoglycan 6 (bamacan)	CSPG6	10q25
200621_at	cysteine and glycine-rich protein 1	CSRP1	1q32
207030_s_at	cysteine and glycine-rich protein 2	CSRP2	12q21.1
209101_at	connective tissue growth factor	CTGF	6q23.1
200838_at	cathepsin B	CTSB	8p22
201487_at	cathepsin C	CTSC	11q14.1-q14.3
202295_s_at	cathepsin H	CTSH	15q24-q25
202450_s_at	cathepsin K (pycnodysostosis)	CTSK	1q21
203915_at	chemokine (C-X-C motif) ligand 9	CXCL9	4q21
201289_at	cysteine-rich, angiogenic inducer, 61	CYR61	1p31-p22
210764_s_at	cysteine-rich, angiogenic inducer, 61	CYR61	1p31-p22
209232_s_at	dynactin 5 (p25)	DCTN5	16p12.1
209094_at	dimethylarginine dimethylaminohydrolase 1	DDAH1	1p22
201584_s_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39	DDX39	19p13.12
205000_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	DDX3Y	Yq11
200033_at	DEAD (Asp-Glu-Ala-Asp) box polypeptide 5 /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 5	DDX5	17q21
221509_at	density-regulated protein	DENR	12q24.31
203816_at	deoxyguanosine kinase	DGUOK	2p13
218277_s_at	DEAH (Asp-Glu-Ala-His) box polypeptide 40	DHX40	17q23.2
201104_x_at	hypothetical protein DJ328E19.C1.1 /// hypothetical protein FLJ20719 /// hypothetical protein LOC200030 /// hypothetical protein MGC8902 /// AE01 mRNA /// AG1 protein /// hypothetical LOC440675	DJ328E19.C1.1 /// FLJ20719 /// LOC200030 /// MGC8902 /// AE01 /// AG1 /// LOC440675	1q12-1q21.2 /// 1p36.13 /// 1q21.1
212333_at	DKFZP564F0522 protein	DKFZP564F0522	2p22.3
200880_at	DnaJ (Hsp40) homolog, subfamily A, member 1	DNAJA1	9p13-p12
205348_s_at	dynein, cytoplasmic, intermediate polypeptide 1	DNCI1	7q21.3-q22.1
204135_at	downregulated in ovarian cancer 1	DOC1	3q12.1
202632_at	DPH1 homolog (S. cerevisiae) /// candidate tumor suppressor in ovarian cancer 2	DPH1 /// OVCA2	17p13.3
201021_s_at	destrin (actin depolymerizing factor)	DSTN	20p12.1
218660_at	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	DYSF	2p13.3-p13.1
208091_s_at	EGFR-coamplified and overexpressed protein /// EGFR-coamplified and overexpressed protein	ECOP	7p11.2
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	2p16
218488_at	eukaryotic translation initiation factor 2B, subunit 3 gamma, 58kDa	EIF2B3	1p34.1
212716_s_at	eukaryotic translation initiation factor 3, subunit 12	EIF3S12	19q13.2
208756_at	eukaryotic translation initiation factor 3, subunit 2 beta, 36kDa	EIF3S2	1p34.1
201324_at	epithelial membrane protein 1	EMP1	12p12.3
201313_at	enolase 2 (gamma, neuronal)	ENO2	12p13
209392_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	8q24.1
210839_s_at	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	ENPP2	8q24.1
202596_at	endosulfine alpha	ENSA	1q21.2
221486_at	endosulfine alpha	ENSA	1q21.2
205774_at	coagulation factor XII (Hageman factor)	F12	5q33-qter
202345_s_at	fatty acid binding protein 5 (psoriasis-associated)	FABP5	8q21.13
210445_at	fatty acid binding protein 6, ileal (gastrotropin)	FABP6	5q33.3-q34
222056_s_at	fumarylacetoacetate hydrolase domain containing 2A	FAHD2A	2p24.3-p11.2
201889_at	family with sequence similarity 3, member C	FAM3C	7q22.1-q31.1
219895_at	family with sequence similarity 70, member A	FAM70A	Xq24
203420_at	family with sequence similarity 8, member A1	FAM8A1	6p22-p23
204232_at	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	FCER1G	1q23
202041_s_at	fibroblast growth factor (acidic) intracellular binding protein	FIBP	11q13.1
200709_at	FK506 binding protein 1A, 12kDa	FKBP1A	20p13
218824_at	hypothetical protein FLJ10781	FLJ10781	19q13.32
203738_at	hypothetical protein FLJ11193	FLJ11193	5p13.3
219120_at	hypothetical protein FLJ21945	FLJ21945	2p23.3
213729_at	formin binding protein 3	FNBP3	2q23.3
218356_at	FtsJ homolog 2 (E. coli)	FTSJ2	7p22
218084_x_at	FXYD domain containing ion transport regulator 5	FXYD5	19q12-q13.1
200645_at	GABA(A) receptor-associated protein	GABARAP	17p13.1
212581_x_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
213453_x_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
217398_x_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
AFFX-HUMGAPDH/M33197_3_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
AFFX-HUMGAPDH/M33197_5_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
AFFX-HUMGAPDH/M33197_M_at	glyceraldehyde-3-phosphate dehydrogenase	GAPDH	12p13
213129_s_at	glycine cleavage system protein H (aminomethyl carrier)	GCSH	16q23.2
200008_s_at	GDP dissociation inhibitor 2 /// GDP dissociation inhibitor 2	GDI2	10p15
205721_at	GDNF family receptor alpha 2	GFRA2	8p21
214005_at	gamma-glutamyl carboxylase	GGCX	2p12
217990_at	guanosine monophosphate reductase 2	GMPR2	14q11.2
201921_at	guanine nucleotide binding protein (G protein), gamma 10 /// hypothetical protein LOC552891	GNG10 /// LOC552891	9q31.3
207812_s_at	golgi reassembly stacking protein 2, 55kDa	GORASP2	2q31.1-q31.2
208813_at	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	GOT1	10q24.1-q25.1
201141_at	glycoprotein (transmembrane) nmb	GPNMB	7p15
220642_x_at	G protein-coupled receptor 89	GPR89	1p36.13-q31.3
212205_at	H2A histone family, member V	H2AFV	7p13
211998_at	H3 histone, family 3B (H3.3B)	H3F3B	17q25
202042_at	histidyl-tRNA synthetase	HARS	5q31.3
201145_at	HCLS1 associated protein X-1	HAX1	1q21.3
209116_x_at	hemoglobin, beta /// hemoglobin, beta	HBB	11p15.5
211696_x_at	hemoglobin, beta /// hemoglobin, beta	HBB	11p15.5
217232_x_at	hemoglobin, beta	HBB	11p15.5
203259_s_at	HD domain containing 2	HDDC2	6q13-q24.3
218946_at	HIRA interacting protein 5	HIRIP5	2p15-p13
213932_x_at	Major histocompatibility complex, class I, A	HLA-A	6p21.3
215313_x_at	major histocompatibility complex, class I, A	HLA-A	6p21.3
208729_x_at	major histocompatibility complex, class I, B	HLA-B	6p21.3
209140_x_at	major histocompatibility complex, class I, B	HLA-B	6p21.3
211911_x_at	major histocompatibility complex, class I, B /// major histocompatibility complex, class I, B	HLA-B	6p21.3
217478_s_at	major histocompatibility complex, class II, DM alpha	HLA-DMA	6p21.3
203932_at	major histocompatibility complex, class II, DM beta /// major histocompatibility complex, class II, DM beta	HLA-DMB	6p21.3
211990_at	major histocompatibility complex, class II, DP alpha 1	HLA-DPA1	6p21.3
