probe set	gene		Accession	EntrezGene	CNR NY72-4P/CNR NY72-4NP	t statistic	P value
Gga.1148.1.S1_at	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	NM_205241.1	396169	2.66	22.195	0.000208
Gga.329.1.S1_at	HAS2	hyaluronan synthase 2	NM_204806.1	395594	2.65	8.419	0.00395
Gga.1939.1.S1_at		Finished cDNA, clone ChEST608p3	CR406135.1		2.61	5.863	0.004914
Gga.10208.1.S1_a_at	FHL5	four and a half LIM domains 5	BU385844	421803	2.57	5.177	0.015827
Gga.19147.1.S1_at		Finished cDNA, clone ChEST766h5	BU480146		2.56	48.196	0.000003
Gga.150.2.S1_a_at	FLT1	fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	AB065373.1	374100	2.55	5.363	0.017398
GgaAffx.21660.1.S1_at		Finished cDNA, clone ChEST738c24	CR522955.1		2.53	8.538	0.002481
Gga.9307.1.S1_at	LOC416438	similar to Neuronal pentraxin II precursor (NP-II) (NP2)	BU472016	416438	2.53	9.019	0.001741
Gga.888.1.S1_at	COL6A3	collagen, type VI, alpha 3	NM_205534.1	396548	2.5	3.665	0.044431
Gga.10018.1.S1_at			Z25838		2.5	4.34	0.013578
Gga.2680.1.S1_at	AQP1	aquaporin 1	AL586137	420384	2.48	6.109	0.021868
Gga.8563.1.A1_at		Transcribed locus, weakly similar to NP_037158.1  1 [Rattus norvegicus]	CD764954		2.48	6.302	0.009001
Gga.4332.1.S1_at	HSPCB	heat shock 90kDa protein 1, beta	X70101.1	396188	2.45	7.468	0.006278
Gga.666.1.S1_a_at	VIP	vasoactive intestinal peptide	NM_205366.1	396323	2.44	13.707	0.000407
Gga.5554.1.S1_at	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	BU311329	422979	2.38	6.676	0.009424
Gga.12904.1.S1_at	LOC416438	similar to Neuronal pentraxin II precursor (NP-II) (NP2)	BX950566.2	416438	2.36	9.508	0.000848
Gga.11430.1.S1_at	PENK	proenkephalin	BU351001	421131	2.35	5.399	0.01225
Gga.14547.1.S1_at	LOC428510	Similar to axonemal dynein heavy chain DNAH5	CR387609.1	428510	2.35	5.06	0.021219
GgaAffx.9414.2.S1_s_at	LOC421058	similar to elastin microfibril interfacer 2	ENSGALT00000023922.1	421058	2.34	9.574	0.003759
Gga.8920.1.S1_at		Transcribed locus, moderately similar to XP_361955.1  protein MG04400.4 [Magnaporthe grisea 70-15]	BU112303		2.34	4.414	0.041056
Gga.14243.1.S1_s_at		Finished cDNA, clone ChEST711g2	CR352806.1		2.23	54.2	0.000183
Gga.11932.1.S1_at	UHRF1	ubiquitin-like, containing PHD and RING finger domains, 1	BU333130	420154	2.22	4.383	0.024835
Gga.7566.1.S1_at	LOC424918	hypothetical LOC424918	BU216714	424918	2.22	5.308	0.031927
Gga.9513.1.S2_at	CXCL12	Chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	BX260468	395180	2.21	6.499	0.005908
Gga.16057.1.S1_s_at	E2F8	E2F transcription factor 8	CR385109.1	422978	2.21	18.698	0.000111
Gga.20061.1.S1_at	NINJ2	ninjurin 2	BU396151	418151	2.2	5.24	0.03387
Gga.19230.1.S1_s_at	EAF2	ELL associated factor 2	CR406825.1	424243	2.2	14.02	0.003361
GgaAffx.2002.3.S1_s_at	LOC424389	Hypothetical LOC424389	ENSGALT00000005010.1	424389	2.2	22.923	0.000162
GgaAffx.23924.2.S1_s_at	KIF5C	kinesin Kif5c	ENSGALT00000020369.1	408046	2.18	5.863	0.004244
Gga.6597.1.S1_at	LOC421960	hypothetical LOC421960	BU454129	421960	2.18	7.863	0.007869
Gga.12155.1.S1_at		Finished cDNA, clone ChEST648p24	BU409786		2.16	22.597	0.000039
Gga.385.1.S1_at	MKP-2	mitogen-activated protein kinase phosphatase 2	NM_204838.1	395642	2.12	11.022	0.00535
Gga.8807.1.S1_at		Transcribed locus	CD728783		2.1	7.725	0.001593
GgaAffx.7823.1.S1_s_at	RCJMB04_1c13	serine/threonine kinase 17a (apoptosis-inducing)	ENSGALT00000020177.1	420775	2.09	6.454	0.016355
Gga.12614.1.S1_at	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	BU426375	417247	2.09	6.655	0.013676
GgaAffx.23139.1.S1_x_at	LOC417853	similar to Protein tyrosine phosphatase, receptor type, B	ENSGALT00000016498.1	417853	2.07	13.932	0.000963
Gga.826.1.S1_s_at	IL8	interleukin 8	M16199.1	396495	2.06	3.382	0.03177
Gga.10042.1.S1_a_at	RCJMB04_25l16	CD200 receptor 1	BX930945.2	418367	2.04	4.038	0.042185
Gga.1334.1.S1_at		Transcribed locus	AJ454974		2.04	12.516	0.001322
Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	M64990.1	396451	2.03	4.672	0.015139
Gga.19162.1.S1_at		Finished cDNA, clone ChEST924e6	BU200923		2.03	8.347	0.001131
GgaAffx.20237.1.S1_s_at	MYCT1	myc target 1	CR524378.1	421641	2.01	8.513	0.004884
Gga.2856.1.S1_a_at		Finished cDNA, clone ChEST974i14	BU271312		2.01	42.245	0.000009
Gga.18379.1.S1_at		Finished cDNA, clone ChEST265k11	BU458521		2	4.874	0.014906
Gga.13504.1.S1_at	RRM2	ribonucleotide reductase M2 polypeptide	BU259849	421936	1.97	12.102	0.002794
Gga.1111.1.S1_a_at	USP18	ubiquitin specific peptidase 18	CR389337.1	418167	1.96	7.996	0.004032
Gga.4514.2.S1_s_at	RCJMB04_2p9	ribonucleotide reductase M1 polypeptide	BU332242	419081	1.96	12.579	0.001255
Gga.392.1.S1_at	PLEK	pleckstrin	NM_204863.1	395669	1.95	3.77	0.019613
Gga.19025.1.S1_at		Finished cDNA, clone ChEST885d22	BU136969		1.95	5.806	0.014242
Gga.17980.1.S1_at	RCJMB04_3e14	similar to Auh protein	BU320477	427269	1.95	9.02	0.000858
GgaAffx.3712.1.S1_s_at	LOC770922	hypothetical protein	ENSGALT00000009585.1	770922	1.95	6.659	0.011919
Gga.255.1.S1_at	K203	chemokine K203	NM_204720.1	395468	1.94	6.825	0.01951
Gga.2064.1.S1_a_at	ERG	v-ets erythroblastosis virus E26 oncogene	NM_204280.1	374146	1.93	4.276	0.017727
Gga.18836.1.S1_at		Finished cDNA, clone ChEST893o6	BU277354		1.92	16.408	0.000521
Gga.1421.1.S1_at		Transcribed locus	BF381427		1.92	5.607	0.01661
Gga.3572.1.S1_at	CD44	CD44 molecule	NM_204860.1	395666	1.9	14.487	0.003649
Gga.16855.1.S1_at	FRMD4B	FERM domain containing 4B	BU124625	426071	1.9	5.892	0.004155
GgaAffx.11417.1.S1_at	RCJMB04_1f15	similar to kinesin like protein	AJ719314	423809	1.9	8.328	0.001281
Gga.12991.1.S1_at		Finished cDNA, clone ChEST397k15	CR352895.1		1.89	7.511	0.002549
Gga.10923.2.S1_s_at	LOC417869	similar to KIAA0938 protein	BX931749.2	417869	1.89	4.098	0.037172
GgaAffx.6317.1.S1_at	LOC417853	similar to Protein tyrosine phosphatase, receptor type, B	ENSGALT00000016330.1	417853	1.89	4.106	0.021209
Gga.9398.1.S1_at	KIF15	kinesin family member 15	BU425011	420708	1.89	7.276	0.002181
Gga.7792.1.S1_s_at	RCJMB04_9i11	similar to MGC53673 protein	CR406759.1	420090	1.88	13.165	0.002586
Gga.10877.1.S1_at	TBC1D8	TBC1 domain family, member 8 (with GRAM domain)	BX950632.1	428012	1.88	4.713	0.011323
Gga.3212.1.S1_at		Finished cDNA, clone ChEST410o12	BX932065.1		1.88	6.526	0.019224
Gga.5916.1.S1_s_at	MATN2	matrilin 2	BU457037	426584	1.87	5.7	0.013433
GgaAffx.12510.1.S1_at	LOC770922	hypothetical protein	AJ720407	770922	1.85	4.583	0.027051
Gga.2432.1.S1_at			AL587463		1.85	5.834	0.004349
GgaAffx.12323.1.S1_s_at		Hypothetical protein, clone 12p16	AJ720220		1.84	8.113	0.010552
Gga.17908.1.S1_s_at	CBFB	core-binding factor, beta subunit	BU410070	395257	1.82	4.204	0.014084
Gga.9351.1.S1_s_at	CBFB	core-binding factor, beta subunit	NM_204570.1	395257	1.8	5.993	0.004205
Gga.4358.1.S1_at	KIF4A	kinesin family member 4A	NM_204975.1	395823	1.79	14.233	0.000148
Gga.421.2.S1_a_at	TK1	thymidine kinase 1, soluble	X04352.1	395719	1.79	7.873	0.003822
Gga.6773.1.S1_at			BX268911		1.79	4.979	0.012025
Gga.12131.1.S1_at	MID1IP1	MID1 interacting protein 1 (gastrulation specific G12 homolog (zebrafish))	NM_213575.1	404752	1.78	7.789	0.002017
Gga.12108.1.S1_at	LOC418948	similar to chromosome 13 open reading frame 3	BU327720	418948	1.78	9.798	0.000841
GgaAffx.13126.1.S1_at	RCJMB04_32l2	hypothetical gene supported by CR352610	AJ721023	426704	1.78	10.931	0.00773
GgaAffx.4223.1.S1_s_at	RCJMB04_1f15	similar to kinesin like protein	ENSGALT00000010981.1	423809	1.78	4.321	0.023953
Gga.137.1.S1_at	EDNRA	endothelin receptor type A	NM_204119.1	373908	1.77	7.328	0.008669
Gga.14484.1.S1_at	Finished cDNA, clone ChEST321p20	Finished cDNA, clone ChEST321p20	CR387849.1		1.77	6.073	0.003837
Gga.5141.1.S1_s_at	LOC395081	restricted expression proliferation associated protein-100	NM_204437.1	395081	1.76	5.638	0.023029
Gga.3779.1.S1_at	Finished cDNA, clone ChEST177e11	Finished cDNA, clone ChEST177e11	BU411067		1.76	19.478	0.000129
Gga.18392.1.S1_at	NMU	neuromedin U	BU278047	422748	1.76	9.288	0.000802
GgaAffx.12177.1.S1_s_at	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	AJ720074	418058	1.76	8.687	0.001022
GgaAffx.20379.1.S1_at		Finished cDNA, clone ChEST914o3	CR524236.1		1.75	9.883	0.000722
GgaAffx.7456.1.S1_at			ENSGALT00000019138.1		1.75	6.752	0.004713
Gga.9713.2.S1_a_at	WPKCI-8	Wpkci	CR353066.1	395423	1.74	6.031	0.014509
GgaAffx.1993.5.S1_s_at	LOC419910	similar to inositol 1,4,5-triphosphate receptor, type 3	ENSGALT00000004984.1	419910	1.72	4.55	0.010612
GgaAffx.6785.1.S1_at	LOC421505	similar to Exonuclease 1	ENSGALT00000017486.1	421505	1.72	10.02	0.006685
Gga.5548.1.S1_at		Finished cDNA, clone ChEST770n16	BU265170		1.71	10.289	0.000728
Gga.674.1.S1_at	GCH1	GTP cyclohydrolase 1	NM_205223.1	396146	1.7	6.314	0.008916
Gga.7180.1.S1_s_at	RCJMB04_5c21	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BU359098	421226	1.7	7.236	0.006463
Gga.4129.1.S1_at	CCNA2	cyclin A2	NM_205244.1	396172	1.69	5.447	0.025103
GgaAffx.13010.1.S1_at	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	AJ720907	395135	1.69	6.197	0.010452
Gga.5687.2.S1_a_at	KIF2C	kinesin family member 2C	BX931004.2	424583	1.68	4.506	0.044698
GgaAffx.12587.1.S1_s_at	CKAP2	cytoskeleton associated protein 2	AJ720484	418882	1.68	10.36	0.000491
GgaAffx.20252.1.S1_at	RCJMB04_8c5	hypothetical protein	CR524363.1	769298	1.67	7.063	0.003838
Gga.7769.1.S1_at		Finished cDNA, clone ChEST502j14	BU465858		1.67	8.483	0.001408
GgaAffx.6161.1.S1_s_at	LOC423962	similar to protein-tyrosine phosphatase	ENSGALT00000015971.1	423962	1.67	16.532	0.000231
Gga.846.1.S1_at	IL1R1	interleukin 1 receptor, type I	NM_205485.1	396481	1.66	8.034	0.004008
Gga.12069.1.S1_s_at	KIF13B	Kinesin family member 13B	BU389771	422026	1.66	6.427	0.00611
Gga.18637.1.S1_at	MYBL1	Myeloblastosis oncogene-like 1	CR391134.1	396158	1.66	8.935	0.001101
Gga.12552.1.S1_at		Transcribed locus	CK607277		1.66	5.532	0.026425
Gga.202.1.S1_at	RBBP7	retinoblastoma binding protein 7	NM_204670.1	395390	1.65	6.454	0.003148
Gga.4340.1.S1_at	ODC1	ornithine decarboxylase 1	CN226897	421937	1.65	9.95	0.001032
GgaAffx.12961.1.S1_at	LOC395081	restricted expression proliferation associated protein-100	AJ720858	395081	1.65	5.657	0.028748
GgaAffx.23453.2.S1_s_at	FAP	fibroblast activation protein, alpha	ENSGALT00000018084.1	424186	1.65	3.2	0.045025
Gga.5602.3.S1_s_at	LOC415433 /// LOC769338	similar to bumetanide-sensitive Na-K-Cl cotransport protein splice /// hypothetical protein	BU317711	415433 /// 769338	1.65	4.599	0.033881
GgaAffx.21194.1.S1_s_at		Finished cDNA, clone ChEST293j18	CR523421.1		1.64	11.649	0.002557
Gga.10968.1.S1_s_at	GSTO1	glutathione S-transferase omega 1	BX931500.2	423881	1.64	3.649	0.021948
Gga.9122.1.S1_at		Transcribed locus	CF253290		1.64	5.007	0.007478
Gga.3551.1.S1_at	LOC395210	osteopontin	NM_204535.2	395210	1.63	7.83	0.001674
Gga.6008.1.S1_at	CDC45L	CDC45 cell division cycle 45-like (S. cerevisiae)	BX271682	416776	1.63	7.035	0.0193
Gga.19452.1.S1_at		Finished cDNA, clone ChEST698l11	BU418131		1.63	6.393	0.006262
GgaAffx.12935.1.S1_s_at	RCJMB04_27e12	24-dehydrocholesterol reductase	AJ720832	424661	1.63	17.22	0.000189
Gga.16970.1.S1_at	LOC421951	similar to RIKEN cDNA 5830483C08 gene	BU455257	421951	1.62	6.82	0.005969
Gga.3212.2.S1_a_at		Finished cDNA, clone ChEST410o12	BX934933.1		1.62	6.362	0.016783
Gga.15815.1.S1_s_at	RCJMB04_25i24	TRAF interacting protein	CR387853.1	415927	1.62	5.214	0.018376
Gga.2010.1.S1_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	NM_204791.1	395570	1.61	8.036	0.001353
GgaAffx.21144.1.S1_s_at		Finished cDNA, clone ChEST852l17	CR523471.1		1.61	4.53	0.022849
Gga.1245.1.S1_at		Finished cDNA, clone ChEST917f24	BU257829		1.61	7.621	0.012929
Gga.9936.1.S1_at		Finished cDNA, clone ChEST26c10	BX936026.2		1.61	4.335	0.047744
Gga.5602.2.S1_s_at	LOC415433 /// LOC769338	similar to bumetanide-sensitive Na-K-Cl cotransport protein splice /// hypothetical protein	BU389366	415433 /// 769338	1.6	6.798	0.003463
Gga.9566.2.S1_s_at	SLC25A37	solute carrier family 25, member 37	BU203055	419530	1.6	7.246	0.002229
GgaAffx.21327.1.S1_at	CORO2A	coronin, actin binding protein, 2A	CR523288.1	427373	1.59	4.444	0.030005
GgaAffx.13051.1.S1_s_at	CDC20	cell division cycle 20 homolog (S. cerevisiae)	AJ720948	424563	1.59	5.661	0.016813
GgaAffx.12448.1.S1_at	RCJMB04_15m14	nucleolar complex associated 2 homolog (S. cerevisiae)	AJ720345	419433	1.59	6.668	0.004501
Gga.2363.1.S1_at	LOC418275	Hypothetical LOC418275	AJ444007	418275	1.59	8.206	0.006572
Gga.3743.1.S1_at	LOC420798	similar to HPV16 E1 protein binding protein	BQ484200	420798	1.59	9.503	0.00168
Gga.2303.1.S1_at	RAD51	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	NM_205173.1	396086	1.58	5.543	0.027842
Gga.15953.1.S1_at		Finished cDNA, clone ChEST904j19	BU285817		1.58	6.33	0.0065
GgaAffx.12916.1.S1_s_at	RCJMB04_26e18	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	AJ720813	422602	1.58	8.459	0.003389
GgaAffx.3022.1.S1_at		Transcribed locus, moderately similar to XP_579746.1  phosphatase and actin regulator 3 [Rattus norvegicus]	ENSGALT00000007780.1		1.58	8.247	0.004695
GgaAffx.24435.1.S1_s_at		Finished cDNA, clone ChEST370h22	ENSGALT00000023425.1		1.57	6.309	0.015945
Gga.7090.1.S1_s_at		Finished cDNA, clone ChEST49g17	BU286533		1.56	7.833	0.001446
Gga.17775.1.S1_s_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU315754	421544	1.56	6.137	0.014218
GgaAffx.25677.1.S1_s_at	LOC426928	Hypothetical LOC426928	ENSGALT00000004568.1	426928	1.56	5.975	0.01559
Gga.8190.1.S1_at		Transcribed locus, moderately similar to XP_341720.1  calpain 9 (nCL-4) [Rattus norvegicus]	BU303118		1.55	9.798	0.000948
Gga.3070.1.S1_at		Transcribed locus	BQ839820		1.55	5.542	0.010324
Gga.4974.1.S2_at	PG-M	proteoglycan	BU262378	395565	1.54	9.046	0.000912
Gga.6313.1.S1_at		Finished cDNA, clone ChEST975p2	BU398035		1.54	4.439	0.011774
Gga.18957.1.S1_at	MKI67	antigen identified by monoclonal antibody Ki-67	BX265631	423963	1.54	5.13	0.009227
Gga.14800.1.S1_s_at	LOC419705	similar to hypothetical protein	CR386864.1	419705	1.54	3.124	0.042992
GgaAffx.12050.1.S1_s_at	CD82	CD82 molecule	AJ719947	423172	1.54	5.064	0.009408
Gga.1740.1.S1_at	LOC420679	Similar to MGC53931 protein	BX261988	420679	1.53	4.085	0.034397
Gga.11010.1.S1_at		Finished cDNA, clone ChEST264b5	BX931232.2		1.53	3.5	0.024912
GgaAffx.2142.1.S1_at	LOC423672	hypothetical LOC423672	ENSGALT00000005445.1	423672	1.53	3.706	0.034046
GgaAffx.12208.1.S1_s_at	RCJMB04_10l13	kinesin family member 20A	AJ720105	416220	1.52	5.885	0.018524
Gga.12209.2.S1_a_at	LOC422672	Similar to VLLH2748	BX929915.1	422672	1.52	3.102	0.045865
GgaAffx.25730.1.S1_at	LOC417395	similar to hepatic leukemia factor	ENSGALT00000004832.1	417395	1.52	4.958	0.026001
GgaAffx.711.1.A1_at	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4	ENSGALT00000001653.1	419718	1.52	3.945	0.022842
Gga.7352.1.S1_at	EVA1	Epithelial V-like antigen 1	BX278640	419779	1.52	3.516	0.049195
Gga.3169.1.S1_at		Finished cDNA, clone ChEST370h22	BX932384.1		1.51	6.385	0.006399
Gga.1955.1.S1_s_at	RCJMB04_32l2	hypothetical gene supported by CR352610	BU400290	426704	1.51	16.827	0.002064
Gga.18770.1.S1_at		Finished cDNA, clone ChEST336h10	CR391420.1		1.51	8.219	0.002041
GgaAffx.12999.1.S1_s_at	RCJMB04_29e6	tec protein tyrosine kinase	AJ720896	396407	1.51	8.347	0.001126
GgaAffx.24937.1.S1_s_at		Finished cDNA, clone ChEST981d5	ENSGALT00000026345.1		1.51	6.212	0.003658
Gga.4061.2.S1_a_at	HMG2	non-histone chromosomal protein	BX935920.2	396482	1.5	5.789	0.010058
GgaAffx.21119.1.S1_at		Finished cDNA, clone ChEST246i14	CR523496.1		1.5	4.701	0.010821
Gga.12212.1.S1_a_at	CENPK	centromere protein K	BX936045.1	427162	1.5	7.093	0.007576
Gga.10461.1.S1_at	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase-like 1	BU280704	421886	1.5	5.47	0.017103
Gga.15161.1.S1_at	Finished cDNA, clone ChEST876i3	Finished cDNA, clone ChEST876i3	BU118839		1.5	8.576	0.006937
Gga.4358.2.S1_a_at	KIF4A	kinesin family member 4A	BX930861.2	395823	1.5	6.35	0.012819
Gga.18596.1.S1_s_at	CCDC125	coiled-coil domain containing 125	BU447983	427313	1.49	4.547	0.040795
GgaAffx.9504.1.S1_at	LOC427210	hypothetical LOC427210	ENSGALT00000024127.1	427210	1.49	14.262	0.000593
Gga.4370.2.S1_s_at	MCM6	minichromosome maintenance deficient 6 homolog (S. cerevisiae)	BU450371	424295	1.49	5.096	0.014661
Gga.9459.1.S1_s_at	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	NM_204478.1	395135	1.48	5.157	0.028548
GgaAffx.20170.1.S1_s_at		Finished cDNA, clone ChEST786b9	CR524445.1		1.48	7.013	0.018833
Gga.6399.1.S1_at	MALL	mal, T-cell differentiation protein-like	BX257763	421222	1.48	9.5	0.000949
Gga.17114.2.S1_a_at		Finished cDNA, clone ChEST383a10	CR385633.1		1.48	4.085	0.031977
GgaAffx.23804.1.S1_at	LOC424283	similar to peripheral clock protein 2	ENSGALT00000019884.1	424283	1.48	3.846	0.022314
GgaAffx.20453.1.S1_at		Finished cDNA, clone ChEST770c9	CR524162.1		1.47	7.152	0.00648
Gga.7318.1.S1_at		Finished cDNA, clone ChEST535b20	BU458549		1.47	4.671	0.018827
Gga.11746.1.S1_at	PBK	PDZ binding kinase	BU219446	422003	1.47	6.591	0.00275
Gga.17114.1.S1_s_at	LOC417395	similar to hepatic leukemia factor	BX936085.2	417395	1.47	3.238	0.03173
GgaAffx.2849.1.S1_at	LOC427834	similar to haploid germ cell-specific nuclear protein kinase	ENSGALT00000007327.1	427834	1.47	9.968	0.005114
Gga.5190.2.S1_x_at		Transcribed locus, moderately similar to XP_001074045.1  similar to slit homolog 1 [Rattus norvegicus]	BU486061		1.47	4.49	0.012891
GgaAffx.11571.1.S1_at	VRK1	vaccinia related kinase 1	AJ719468	423443	1.46	7.845	0.004319
GgaAffx.5610.4.S1_at			ENSGALT00000014486.1		1.46	4.353	0.012141
GgaAffx.23667.1.S1_at	HIST1H1C	histone 1, H1c	ENSGALT00000019221.1	427892	1.46	5.554	0.015784
GgaAffx.21379.1.S1_at		Finished cDNA, clone ChEST601a19	CR523236.1		1.45	6.225	0.005541
Gga.17325.1.S1_at		Finished cDNA, clone ChEST742o10	BU142213		1.45	6.565	0.003175
GgaAffx.1524.1.S1_s_at	CSNK1G1	casein kinase 1, gamma 1	ENSGALT00000003577.1	415328	1.45	4.797	0.008736
Gga.4066.1.S1_at	SMC2	structural maintenance of chromosomes 2	NM_205230.1	396156	1.44	4.595	0.035736
Gga.7203.1.S1_at	LOC416204	similar to protein kinase	CF253386	416204	1.44	7.694	0.00263
GgaAffx.11402.1.S1_at	RCJMB04_1d15	NIMA (never in mitosis gene a)-related kinase 2	AJ719299	421376	1.44	5.739	0.009535
Gga.16540.1.S1_s_at	HELLS	helicase, lymphoid-specific	BU427538	423750	1.43	7.514	0.002751
GgaAffx.8005.1.S1_s_at	RCJMB04_12e24	similar to hypothetical protein FLJ14675	ENSGALT00000020595.1	427467	1.43	4.41	0.012811
Gga.7905.1.S1_at	RCJMB04_2b20	similar to protein regulator of cytokinesis 1	BU204286	770336	1.43	9.079	0.009495
Gga.8451.1.S2_a_at	TERF1	telomeric repeat binding factor (NIMA-interacting) 1	AF459286.1	378896	1.42	10.854	0.001604
Gga.1827.1.S1_s_at		Finished cDNA, clone ChEST665c17	CF256514		1.42	5.111	0.011954
GgaAffx.11513.1.S1_at	RCJMB04_2a15	cyclin E2	AJ719410	420231	1.42	5.826	0.004642
GgaAffx.12513.1.S1_s_at	DCTD	dCMP deaminase	AJ720410	422556	1.42	8.205	0.004713
GgaAffx.12645.1.S1_at	RCJMB04_19o9	anaphase promoting complex subunit 4	AJ720542	422805	1.42	6.713	0.008912
GgaAffx.11747.1.S1_at	SLBP	stem-loop (histone) binding protein	AJ719644	422902	1.42	7.252	0.009469
Gga.13515.1.S1_at	RCJMB04_11a8	lamin B receptor	NM_205342.1	396285	1.41	3.524	0.037209
Gga.12234.1.S1_at	TYMS	thymidylate synthetase	BU477301	421060	1.41	5.698	0.005248
Gga.17118.1.S1_at		Finished cDNA, clone ChEST745p13	BU208668		1.41	4.944	0.011568
GgaAffx.6413.1.S1_s_at	LOC422497	Similar to Polo-like kinase 4 (Drosophila)	ENSGALT00000016572.1	422497	1.41	7.376	0.014589
GgaAffx.7593.1.S1_at	LOC422672	similar to VLLH2748	ENSGALT00000019506.1	422672	1.41	4.434	0.03465
Gga.9214.1.S1_at		Finished cDNA, clone ChEST201j2	BU266634		1.41	4.214	0.014081
Gga.2320.2.S1_a_at	CENPC1	centromere protein C 1	AB004650.1	395922	1.4	39.763	0.000493
Gga.9618.1.S1_at	UCH-L1	Ubiquitin carboxyl-terminal hydrolase isozyme L1	BU272434	770302	1.4	4.855	0.02374
Gga.19197.1.S1_s_at	RCJMB04_1k1	riboflavin 5-phosphotransferase	CR406633.1	431449	1.4	9.486	0.000729
Gga.17242.1.S1_at		Finished cDNA, clone ChEST548b6	BU307027		1.4	4.248	0.020186
Gga.1153.2.S1_a_at	DLG7	discs, large homolog 7 (Drosophila)	BU400181	423555	1.4	7.035	0.019067
Gga.14993.1.S1_at		Finished cDNA, clone ChEST9i3	BU109617		1.4	3.502	0.024847
GgaAffx.26531.1.S1_at	RPS27A	Ribosomal protein S27a	ENSGALT00000008916.1	395796	1.4	16.553	0.000109
Gga.3379.1.S1_at	RCJMB04_1g20	SH3-domain kinase binding protein 1	AJ443040	418608	1.4	7.686	0.006098
Gga.3474.1.S1_at	LOC415854	similar to Fanconi anemia, complementation group A	BU423226	415854	1.4	4.394	0.022353
Gga.15910.1.S1_at		Finished cDNA, clone ChEST225o19	CR386411.1		1.39	7.324	0.00204
Gga.15350.1.S1_at	CEP55	centrosomal protein 55kDa	BU237143	423804	1.39	3.789	0.036652
Gga.15231.1.S1_at		Finished cDNA, clone ChEST600k9	CR385379.1		1.39	4.176	0.014894
