mouse_unigeneid	mouse_mean_by_grade	human_unigeneid	human mean_by_grade	differ_by_grade_human_mouse_NB	mouse_genetitle	human_genetitle	mouse_genesymbol	human_gene_symbol
Mm.182440	1.352941	Hs.110675	3.865079	2.512138	apolipoprotein C-I	apolipoprotein C-I	Apoc1	APOC1
Mm.237102	1.117647	Hs.42896	3.626984	2.509337	leucine rich repeat and fibronectin type III, extracellular 1	extracellular leucine-rich repeat and fibronectin type III domain containing 1	Elfn1	ELFN1
Mm.289689	1	Hs.659797	3.507936	2.507936	zinc finger protein 558	zinc finger protein 558	Zfp558	ZNF558
Mm.426002	1.441176	Hs.654404	3.948413	2.507236	histocompatibility 2, D region locus 1	major histocompatibility complex, class I, C	H2-D1	HLA-C
Mm.379357	1.235294	Hs.117825	3.698413	2.463119	poly (ADP-ribose) polymerase family, member 4	poly (ADP-ribose) polymerase family, member 4	Parp4	PARP4
Mm.44558	1.5	Hs.55024	3.960317	2.460317	X Kell blood group precursor related family member 8 homolog	XK, Kell blood group complex subunit-related family, member 8	Xkr8	XKR8
Mm.12815	1.5	Hs.567328	3.944444	2.444444	RAB5B, member RAS oncogene family	RAB5B, member RAS oncogene family	Rab5b	RAB5B
Mm.236009	1.607843	Hs.438838	3.992064	2.38422	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	Taf7	TAF7
Mm.255322	1.5	Hs.26890	3.880952	2.380952	cat eye syndrome chromosome region, candidate 5 homolog (human)	cat eye syndrome chromosome region, candidate 5	Cecr5	CECR5
Mm.44557	1	Hs.522736	3.333333	2.333333	RAB9B, member RAS oncogene family	RAB9B, member RAS oncogene family	Rab9b	RAB9B
Mm.203208	1	Hs.20103	3.31746	2.31746	EGF-like, fibronectin type III and laminin G domains	EGF-like, fibronectin type III and laminin G domains	Egflam	EGFLAM
Mm.259234	1	Hs.568152	3.309524	2.309524	cDNA sequence BC048546	hypothetical protein LOC100132881 /// similar to hCG38149 /// ovostatin /// ovostatin 2	BC048546	LOC100132881 /// LOC728715 /// OVOS /// OVOS2
Mm.57648	1	Hs.591145	3.301587	2.301587	MANSC domain containing 1	MANSC domain containing 1	Mansc1	MANSC1
Mm.71682	1.558824	Hs.156667	3.833333	2.27451	Calcium binding and coiled coil domain 1 (Calcoco1), mRNA	calcium binding and coiled-coil domain 1	Calcoco1	CALCOCO1
Mm.441333	1	Hs.654591	3.246032	2.246032	thyroglobulin	thyroglobulin	Tg	TG
Mm.439676	1.764706	Hs.130838	4	2.235294	predicted gene, 667782 /// predicted gene, EG667977 /// predicted gene, ENSMUSG00000073403 /// histocompatibility 2, blastocyst /// similar to MHC class I antigen precursor /// similar to RT1 class I histocompatibility antigen, AA alpha chain p	major histocompatibility complex, class I, B /// MHC class I polypeptide-related sequence A	667782 /// EG667977 /// ENSMUSG00000073403 /// H2-Bl /// LOC547349 /// LOC637146 /// LOC674137 /// LOC675328 /// LOC676837	HLA-B /// MICA
Mm.204737	1	Hs.631504	3.214286	2.214286	Ras association (RalGDS/AF-6) domain family member 2	Ras association (RalGDS/AF-6) domain family member 2	Rassf2	RASSF2
Mm.439676	1.764706	Hs.181244	3.949735	2.18503	predicted gene, 667782 /// predicted gene, EG667977 /// predicted gene, ENSMUSG00000073403 /// histocompatibility 2, blastocyst /// similar to MHC class I antigen precursor /// similar to RT1 class I histocompatibility antigen, AA alpha chain p	major histocompatibility complex, class I, A /// major histocompatibility complex class I HLA-A29.1 /// major histocompatibility complex, class I, B /// major histocompatibility complex, class I, G /// major histocompatibility complex, class I,	667782 /// EG667977 /// ENSMUSG00000073403 /// H2-Bl /// LOC547349 /// LOC637146 /// LOC674137 /// LOC675328 /// LOC676837	HLA-A /// HLA-A29.1 /// HLA-B /// HLA-G /// HLA-H /// HLA-J
Mm.439676	1.764706	Hs.654404	3.948413	2.183707	predicted gene, 667782 /// predicted gene, EG667977 /// predicted gene, ENSMUSG00000073403 /// histocompatibility 2, blastocyst /// similar to MHC class I antigen precursor /// similar to RT1 class I histocompatibility antigen, AA alpha chain p	major histocompatibility complex, class I, B	667782 /// EG667977 /// ENSMUSG00000073403 /// H2-Bl /// LOC547349 /// LOC637146 /// LOC674137 /// LOC675328 /// LOC676837	HLA-B
Mm.188939	1.411765	Hs.655222	3.595238	2.183474	hydroxysteroid (17-beta) dehydrogenase 1	hydroxysteroid (17-beta) dehydrogenase 1	Hsd17b1	HSD17B1
Mm.158654	1	Hs.233389	3.15873	2.15873	carboxypeptidase, vitellogenic-like	carboxypeptidase, vitellogenic-like	Cpvl	CPVL
Mm.291832	1.862745	Hs.256526	4	2.137255	nuclear prelamin A recognition factor	nuclear prelamin A recognition factor	Narf	NARF
Mm.125650	1	Hs.474740	3.134921	2.134921	apolipoprotein L 8	apolipoprotein L, 2	Apol8	APOL2
Mm.40780	1.470588	Hs.239388	3.599206	2.128618	progestin and adipoQ receptor family member VIII	progestin and adipoQ receptor family member VIII	Paqr8	PAQR8
Mm.293696	1	Hs.436178	3.126984	2.126984	galactosidase, beta 1-like 2	galactosidase, beta 1-like 2	Glb1l2	GLB1L2
Mm.87328	1	Hs.140617	3.111111	2.111111	RIKEN cDNA 1700093K21 gene	chromosome 2 open reading frame 74	1700093K21Rik	C2orf74
Mm.273108	1	Hs.397978	3.111111	2.111111	abhydrolase domain containing 3	abhydrolase domain containing 3	Abhd3	ABHD3
Mm.477720	1	Hs.655423	3.103175	2.103175	apolipoprotein C-II	apolipoprotein C-II /// apolipoprotein C-IV	Apoc2	APOC2 /// APOC4
Mm.246391	1	Hs.514682	3.079365	2.079365	cytochrome b-561 domain containing 1	cytochrome b-561 domain containing 1	Cyb561d1	CYB561D1
Mm.73172	1	Hs.159628	3.079365	2.079365	serine (or cysteine) peptidase inhibitor, clade A, member 5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	Serpina5	SERPINA5
Mm.331107	1	Hs.132629	3.079365	2.079365	FH2 domain containing 1, mRNA (cDNA clone MGC:169256 IMAGE:8860651)	FH2 domain containing 1	Fhdc1	FHDC1
Mm.291688	1.941176	Hs.632731	4	2.058824	myosin, light polypeptide 6B	myosin, light chain 6B, alkali, smooth muscle and non-muscle	Myl6b	MYL6B
Mm.46381	1.911765	Hs.185489	3.960317	2.048553	LYR motif containing 1	LYR motif containing 1	Lyrm1	LYRM1
Mm.140749	1.647059	Hs.530272	3.694444	2.047386	RIKEN cDNA 5730528L13 gene	chromosome 9 open reading frame 30 /// transmembrane protein with EGF-like and two follistatin-like domains 1	5730528L13Rik	C9orf30 /// TMEFF1
Mm.477550	1	Hs.130719	3.023809	2.023809	ABI gene family, member 3	ABI family, member 3	Abi3	ABI3
Mm.248373	1	Hs.61581	3.023809	2.023809	solute carrier family 26, member 10	RhoA/RAC/CDC42 exchange factor /// solute carrier family 26, member 10	Slc26a10	GEFT /// SLC26A10
Mm.332774	1.117647	Hs.44856	3.134921	2.017273	galactose-3-O-sulfotransferase 4	galactose-3-O-sulfotransferase 4	Gal3st4	GAL3ST4
Mm.1381	1	Hs.656137	3.015873	2.015873	zona pellucida glycoprotein 3	POM (POM121 homolog, rat) and ZP3 fusion /// zona pellucida glycoprotein 3 (sperm receptor)	Zp3	POMZP3 /// ZP3
Mm.299952	1	Hs.372924	3.015873	2.015873	cAMP responsive element binding protein 3-like 4	cAMP responsive element binding protein 3-like 4	Creb3l4	CREB3L4
Mm.271567	1.980392	Hs.137562	3.988095	2.007703	RIKEN cDNA 6030446N20 gene	chromosome 18 open reading frame 45	6030446N20Rik	C18orf45
Mm.339072	2	Hs.712557	4	2	predicted gene, EG666974 /// proteasome (prosome, macropain) subunit, alpha type 5	proteasome (prosome, macropain) subunit, alpha type, 5	EG666974 /// Psma5	PSMA5
Mm.477500	2	Hs.652390	4	2	predicted gene, EG434428 /// predicted gene, EG636070 /// similar to tubulin, alpha 1 /// tubulin, alpha 1A /// tubulin, alpha 1C	tubulin, alpha 1c	EG434428 /// EG636070 /// LOC100045728 /// Tuba1a /// Tuba1c	TUBA1C
Mm.289630 /// Mm.458320	2	Hs.74405	4	2	PREDICTED: Mus musculus similar to Ywhaq protein (LOC100039786), mRNA /// Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide (Ywhaq), mRNA	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide	100039786 /// Ywhaq	YWHAQ
Mm.228995	2	Hs.475387	4	2	coiled-coil-helix-coiled-coil-helix domain containing 8	coiled-coil-helix-coiled-coil-helix domain containing 8	Chchd8	CHCHD8
Mm.441478	2	Hs.94896	4	2	transmembrane protein 14A	transmembrane protein 14A	Tmem14a	TMEM14A
Mm.477500	2	Hs.654422	4	2	predicted gene, EG434428 /// predicted gene, EG636070 /// similar to tubulin, alpha 1 /// tubulin, alpha 1A /// tubulin, alpha 1C	tubulin, alpha 1a	EG434428 /// EG636070 /// LOC100045728 /// Tuba1a /// Tuba1c	TUBA1A
Mm.390165	2	Hs.534477	4	2	ubiquitin-like 5	ubiquitin-like 5	Ubl5	UBL5
Mm.31869	2	Hs.4866	3.992064	1.992064	solute carrier family 26, member 11	solute carrier family 26, member 11	Slc26a11	SLC26A11
Mm.60794	2	Hs.173094	3.984127	1.984127	testis-specific protein, Y-encoded-like 5	TSPY-like 5	Tspyl5	TSPYL5
Mm.89204	1	Hs.512156	2.984127	1.984127	heat shock transcription factor 4	heat shock transcription factor 4	Hsf4	HSF4
Mm.358682	1	Hs.277349	2.976191	1.976191	cDNA sequence BC051019	chromosome 11 open reading frame 16	BC051019	C11orf16
Mm.17031	1	Hs.450254	2.968254	1.968254	POU domain, class 5, transcription factor 1	POU class 5 homeobox 1 /// POU class 5 homeobox 1 pseudogene 1 /// POU class 5 homeobox 1 pseudogene 3 /// POU class 5 homeobox 1 pseudogene 4	Pou5f1	POU5F1 /// POU5F1P1 /// POU5F1P3 /// POU5F1P4
Mm.41735	2	Hs.334713	3.960317	1.960317	ubiquitin-like 7 (bone marrow stromal cell-derived)	ubiquitin-like 7 (bone marrow stromal cell-derived)	Ubl7	UBL7
Mm.293588	2	Hs.416090	3.960317	1.960317	receptor accessory protein 2	receptor accessory protein 2	Reep2	REEP2
Mm.478072	1	Hs.569575	2.952381	1.952381	cDNA sequence BC039632	polyserase 3	BC039632	POL3S
Mm.291815	2	Hs.339809	3.944444	1.944444	copine II	copine II	Cpne2	CPNE2
Mm.42033	2	Hs.429434	3.944444	1.944444	growth factor receptor bound protein 2-associated protein 2	GRB2-associated binding protein 2	Gab2	GAB2
Mm.323805	1	Hs.105956	2.944444	1.944444	alpha 1,4-galactosyltransferase	alpha 1,4-galactosyltransferase	A4galt	A4GALT
Mm.38261	2.058824	Hs.425777	4	1.941176	ubiquitin-conjugating enzyme E2L 6	ubiquitin-conjugating enzyme E2L 6	Ube2l6	UBE2L6
Mm.458189	2	Hs.279837	3.888889	1.888889	glutathione S-transferase, mu 7	glutathione S-transferase mu 2 (muscle)	Gstm7	GSTM2
Mm.296044	2.117647	Hs.480356	4	1.882353	H2A histone family, member B3 /// vacuolar protein sorting 52 (yeast)	vacuolar protein sorting 52 homolog (S. cerevisiae)	H2afb3 /// Vps52	VPS52
Mm.371547	2.117647	Hs.80986	4	1.882353	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C1 (subunit 9)	Atp5g1	ATP5G1
Mm.272998	2	Hs.513071	3.880952	1.880952	mesoderm development candidate 1	mesoderm development candidate 1	Mesdc1	MESDC1
Mm.260587	1	Hs.370262	2.857143	1.857143	transmembrane protein 104	transmembrane protein 104	Tmem104	TMEM104
Mm.2731	2	Hs.287717	3.825397	1.825397	phosphatidylethanolamine N-methyltransferase	phosphatidylethanolamine N-methyltransferase	Pemt	PEMT
Mm.260158 /// Mm.474747	2.176471	Hs.330384	4	1.823529	Coronin, actin binding protein 1C, mRNA (cDNA clone MGC:25228 IMAGE:4167810)	coronin, actin binding protein, 1C	Coro1c	CORO1C
Mm.21853	2	Hs.430299	3.793651	1.793651	peroxisomal membrane protein 2	peroxisomal membrane protein 2, 22kDa	Pxmp2	PXMP2
Mm.234457	2	Hs.644397	3.785714	1.785714	prenylcysteine oxidase 1 like	prenylcysteine oxidase 1 like	Pcyox1l	PCYOX1L
Mm.42228	1	Hs.501497	2.777778	1.777778	CD70 antigen	CD70 molecule	Cd70	CD70
Mm.19961	1	Hs.75640	2.769841	1.769841	natriuretic peptide precursor type A	natriuretic peptide precursor A	Nppa	NPPA
Mm.23235	2	Hs.531581	3.769841	1.769841	G protein-coupled receptor 153	G protein-coupled receptor 153	Gpr153	GPR153
Mm.212749	1	Hs.570316	2.746032	1.746032	RIKEN cDNA 4930526D03 gene	chromosome 20 open reading frame 201	4930526D03Rik	C20orf201
Mm.426027	1	Hs.591000	2.738095	1.738095	cytochrome P450, family 4, subfamily f, polypeptide 14	cytochrome P450, family 4, subfamily F, polypeptide 12	Cyp4f14	CYP4F12
Mm.1238	1	Hs.2233	2.68254	1.68254	colony stimulating factor 3 (granulocyte)	colony stimulating factor 3 (granulocyte)	Csf3	CSF3
Mm.294215	2	Hs.248267	3.666667	1.666667	mercaptopyruvate sulfurtransferase	mercaptopyruvate sulfurtransferase	Mpst	MPST
Mm.205463	2	Hs.435735	3.666667	1.666667	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	solute carrier family 5 (sodium-dependent vitamin transporter), member 6	Slc5a6	SLC5A6
Mm.4744	1	Hs.1573	2.666667	1.666667	growth differentiation factor 5	growth differentiation factor 5	Gdf5	GDF5
Mm.4627	1	Hs.490330	2.654762	1.654762	natriuretic peptide receptor 1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	Npr1	NPR1
Mm.113272	2.352941	Hs.83530	4	1.647059	armadillo repeat containing, X-linked 6	armadillo repeat containing, X-linked 6 /// hypothetical LOC653354	Armcx6	ARMCX6 /// LOC653354
Mm.154109	2	Hs.567598	3.603175	1.603175	limb-bud and heart	limb bud and heart development homolog (mouse)	Lbh	LBH
Mm.4687	1	Hs.567282	2.603175	1.603175	gastrin releasing peptide receptor	gastrin-releasing peptide receptor	Grpr	GRPR
Mm.340523	1	Hs.591194	2.603175	1.603175	growth arrest-specific 2 like 2	growth arrest-specific 2 like 2	Gas2l2	GAS2L2
Mm.79815	1	Hs.255874	2.595238	1.595238	RIKEN cDNA 4931414P19 gene	chromosome 14 open reading frame 93	4931414P19Rik	C14orf93
Mm.41605	2.411765	Hs.311776	4	1.588235	transcription elongation factor A (SII)-like 3 /// transcription elongation factor A (SII)-like 5 /// transcription elongation factor A (SII)-like 6	transcription elongation factor A (SII)-like 3	Tceal3 /// Tceal5 /// Tceal6	TCEAL3
Mm.57052	1	Hs.521912	2.587301	1.587301	rhophilin, Rho GTPase binding protein 1	rhophilin, Rho GTPase binding protein 1	Rhpn1	RHPN1
Mm.326723	1	Hs.317970	2.579365	1.579365	serine (or cysteine) peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 9	Serpina9	SERPINA9
Mm.86671	1	Hs.115429	2.563492	1.563492	RIMS binding protein 3	RIMS binding protein 3 /// RIMS binding protein 3B /// RIMS binding protein 3C	Rimbp3	RIMBP3 /// RIMBP3B /// RIMBP3C
Mm.171333	1	Hs.497987	2.555556	1.555556	dual oxidase maturation factor 2	dual oxidase maturation factor 2	Duoxa2	DUOXA2
Mm.249364	2.470588	Hs.634632	4	1.529412	interferon gamma receptor 2	interferon gamma receptor 2 (interferon gamma transducer 1)	Ifngr2	IFNGR2
Mm.143802	1	Hs.512763	2.507936	1.507936	testis-specific serine kinase 3	Testis-specific serine kinase 3, mRNA (cDNA clone MGC:34807 IMAGE:5171736)	Tssk3	TSSK3
Mm.274892	2.5	Hs.95835	4	1.5	OCIA domain containing 2	OCIA domain containing 2	Ociad2	OCIAD2
Mm.375100	2.5	Hs.437779	4	1.5	RIKEN cDNA 1810006K21 gene	chromosome 11 open reading frame 10	1810006K21Rik	C11orf10
Mm.57350	1	Hs.57718	2.492064	1.492064	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)	cholinergic receptor, nicotinic, alpha 2 (neuronal)	Chrna2	CHRNA2
Mm.380433	2	Hs.469045	3.484127	1.484127	lysyl oxidase-like 3	lysyl oxidase-like 3	Loxl3	LOXL3
Mm.282978	1	Hs.232604	2.476191	1.476191	RIKEN cDNA 2010003K11 gene	chromosome 11 open reading frame 86	2010003K11Rik	C11orf86
Mm.200905	1	Hs.579217	2.444444	1.444444	sedoheptulokinase	sedoheptulokinase	Shpk	SHPK
Mm.473963	2	Hs.29288	3.43254	1.43254	endo-beta-N-acetylglucosaminidase	endo-beta-N-acetylglucosaminidase	Engase	FLJ21865
Mm.41459	2	Hs.374556	3.420635	1.420635	spermatogenesis associated 2-like	spermatogenesis associated 2-like	Spata2L	SPATA2L
Mm.31158	1	Hs.86543	2.404762	1.404762	glycosyltransferase-like 1B	glycosyltransferase-like 1B	Gyltl1b	GYLTL1B
Mm.272927	2	Hs.110477	3.404762	1.404762	dolichyl-phosphate mannosyltransferase polypeptide 3	dolichyl-phosphate mannosyltransferase polypeptide 3	Dpm3	DPM3
Mm.4559	1	Hs.645535	2.379365	1.379365	gamma-glutamyltransferase 1	gamma-glutamyltransferase 1	Ggt1	GGT1
Mm.335525	1	Hs.165559	2.365079	1.365079	solute carrier family 22 (organic cation transporter), member 14	solute carrier family 22, member 14	Slc22a14	SLC22A14
Mm.246858	1	Hs.64968	2.357143	1.357143	shadow of prion protein	shadow of prion protein homolog (zebrafish)	Sprn	SPRN
Mm.213003	2.647059	Hs.82116	4	1.352941	myeloid differentiation primary response gene 88	myeloid differentiation primary response gene (88)	Myd88	MYD88
Mm.6217	1	Hs.117780	2.333333	1.333333	K+ voltage-gated channel, subfamily S, 1	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 1	Kcns1	KCNS1
Mm.25351	1	Hs.61265	2.333333	1.333333	oncoprotein induced transcript 1	family with sequence similarity 3, member D	Oit1	FAM3D
Mm.24880	1	Hs.231873	2.309524	1.309524	phospholipase A2, group IVF	phospholipase A2, group IVF	Pla2g4f	PLA2G4F
Mm.1259	1	Hs.2561	2.293651	1.293651	nerve growth factor	nerve growth factor (beta polypeptide)	Ngf	NGF
Mm.212709	1	Hs.125139	2.269841	1.269841	leucine rich repeat containing 36	leucine rich repeat containing 36	Lrrc36	LRRC36
Mm.132381	2.735294	Hs.631750	4	1.264706	proline rich 11	proline rich 11	Prr11	PRR11
Mm.3403	1	Hs.166015	2.261905	1.261905	fibroblast growth factor 6	fibroblast growth factor 6	Fgf6	FGF6
Mm.141383	1	Hs.434154	2.261905	1.261905	MORN repeat containing 3	MORN repeat containing 3	Morn3	MORN3
Mm.270798	2	Hs.279881	3.257936	1.257936	mannosidase, alpha, class 1B, member 1	mannosidase, alpha, class 1B, member 1	Man1b1	MAN1B1
Mm.440219	2	Hs.501522	3.246032	1.246032	O-6-methylguanine-DNA methyltransferase	O-6-methylguanine-DNA methyltransferase	Mgmt	MGMT
Mm.425031	1	Hs.546247	2.246032	1.246032	crystallin, gamma D	crystallin, gamma D	Crygd	CRYGD
Mm.270525	1	Hs.515366	2.242064	1.242064	proline dehydrogenase (oxidase) 2	proline dehydrogenase (oxidase) 2	Prodh2	PRODH2
Mm.890	1	Hs.99992	2.238095	1.238095	homeo box B1	homeobox B1	Hoxb1	HOXB1
Mm.473739	2	Hs.591016	3.238095	1.238095	CASP2 and RIPK1 domain containing adaptor with death domain	CASP2 and RIPK1 domain containing adaptor with death domain	Cradd	CRADD
Mm.210823	1	Hs.466257	2.230159	1.230159	pre-B-cell leukemia homeobox 4	pre-B-cell leukemia homeobox 4	Pbx4	PBX4
Mm.281093	1	Hs.631594	2.222222	1.222222	Ly6/Plaur domain containing 3	LY6/PLAUR domain containing 3	Lypd3	LYPD3
Mm.159369	1	Hs.659656	2.214286	1.214286	ATPase, H+ transporting, lysosomal V1 subunit E2	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2	Atp6v1e2	ATP6V1E2
Mm.39732	1	Hs.710624	2.214286	1.214286	ankyrin repeat domain 35	ankyrin repeat domain 35	Ankrd35	ANKRD35
Mm.30095	2	Hs.24998	3.198413	1.198413	Coiled-coil domain containing 130 (Ccdc130), mRNA	coiled-coil domain containing 130	Ccdc130	CCDC130
Mm.159566	1	Hs.8977	2.198413	1.198413	adenosine deaminase domain containing 2	adenosine deaminase domain containing 2	Adad2	ADAD2
Mm.29428	1	Hs.278489	2.198413	1.198413	matrilin 4	matrilin 4	Matn4	MATN4
Mm.240510	1	Hs.663699	2.18254	1.18254	MICAL-like 2	MICAL-like 2	Micall2	MICALL2
Mm.251716	2.823529	Hs.130774	4	1.176471	src homology 2 domain-containing transforming protein B	Src homology 2 domain containing adaptor protein B /// translocase of outer mitochondrial membrane 5 homolog (yeast)	Shb	SHB /// TOMM5
Mm.315382	1	Hs.4205	2.174603	1.174603	protocadherin 24	protocadherin 24	Pcdh24	PCDH24
Mm.265915	1	Hs.158341	2.174603	1.174603	tumor necrosis factor receptor superfamily, member 13b	tumor necrosis factor receptor superfamily, member 13B	Tnfrsf13b	TNFRSF13B
Mm.83437	1	Hs.452039	2.166667	1.166667	transglutaminase 6	transglutaminase 6	Tgm6	TGM6
Mm.27287	1	Hs.515855	2.166667	1.166667	dickkopf-like 1	dickkopf-like 1 (soggy)	Dkkl1	DKKL1
Mm.79122	1	Hs.56281	2.166667	1.166667	ankyrin repeat and SOCS box-containing 12	ankyrin repeat and SOCS box-containing 12	Asb12	ASB12
Mm.192369	1	Hs.441681	2.166667	1.166667	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8	B3gnt8	B3GNT8
Mm.378938	1	Hs.651204	2.166667	1.166667	forkhead box J1	forkhead box J1	Foxj1	FOXJ1
Mm.311913	1	Hs.578167	2.15873	1.15873	RIKEN cDNA 7420416P09 gene	chromosome 14 open reading frame 115	7420416P09Rik	C14orf115
Mm.12814	1	Hs.248192	2.150794	1.150794	fibroblast growth factor 17	fibroblast growth factor 17	Fgf17	FGF17
Mm.282007	1	Hs.348500	2.150794	1.150794	vasoactive intestinal peptide receptor 1	vasoactive intestinal peptide receptor 1	Vipr1	VIPR1
Mm.272357	1	Hs.128055	2.150794	1.150794	oxidative stress induced growth inhibitor 1	oxidative stress induced growth inhibitor 1	Osgin1	OSGIN1
Mm.19958	1	Hs.368588	2.150794	1.150794	Kell blood group	Kell blood group, metallo-endopeptidase	Kel	KEL
Mm.12881	1	Hs.103137	2.146825	1.146825	LIM homeobox protein 6	LIM homeobox 6	Lhx6	LHX6
Mm.19942	1	Hs.448942	2.142857	1.142857	kallikrein related-peptidase 9	kallikrein-related peptidase 8 /// kallikrein-related peptidase 9	Klk9	KLK8 /// KLK9
Mm.216057	1	Hs.28149	2.142857	1.142857	kinesin family member 12	kinesin family member 12	Kif12	KIF12
Mm.28615	2	Hs.368551	3.137566	1.137566	TNFAIP3 interacting protein 2	TNFAIP3 interacting protein 2	Tnip2	TNIP2
Mm.389548	1	Hs.82921	2.134921	1.134921	RIKEN cDNA 1700003M02 gene	chromosome 6 open reading frame 165	1700003M02Rik	C6orf165
Mm.251306	1	Hs.97174	2.134921	1.134921	RIKEN cDNA 1700019N12 gene	chromosome 11 open reading frame 20	1700019N12Rik	C11orf20
Mm.331881	1	Hs.567844	2.126984	1.126984	transcription factor AP-2, epsilon	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	Tcfap2e	TFAP2E
