TargetID	Signal_X	Signal_Y	Detection_X	Detection_Y	Diff_Score	Symbol	Accession	Synonyms	Definition	GO Molecular Function	GO Cellular Component	GO Biological Process	Fold change	Function
scl45681.7_131-S	1199.9	1942.2	1	1	39.9029	Sftpd	NM_009160.1	Sftp4;SP-D	Mus musculus surfactant associated protein D (Sftpd), mRNA.	sugar binding [goid 0005529] [evidence IEA]; lectin [goid 0005530] [evidence IEA]; surfactant activity [goid 0019214] [evidence IEA]	kinesin complex [goid 0005871] [evidence IEA]; microfibril [goid 0001527] [evidence IEA]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	respiratory gaseous exchange [goid 0007585] [evidence IEA]; heterophilic cell adhesion [goid 0007157] [evidence IEA]	2.870579461	cell death
scl00229709.2_323-S	1317.8	1990.6	1	1	42.4603	Ahcyl1	NM_145542.2	1110034F20Rik;Ahcy-rs3;DCAL;Irbit	Mus musculus S-adenosylhomocysteine hydrolase-like 1 (Ahcyl1), mRNA.	molecular_function unknown [goid 0005554] [evidence ND]; hydrolase activity [goid 0016787] [evidence ISS] [pmid 12466851]; adenosylhomocysteinase activity [goid 0004013] [evidence ISS] [pmid 12466851]	cellular_component unknown [goid 0008372] [evidence ND]	biological_process unknown [goid 0000004] [evidence ND]; one-carbon compound metabolism [goid 0006730] [evidence ISS] [pmid 12466851]	2.827885983	unknown
scl0319188.1_136-S	1004	1619.9	1	1	30.7038	Hist1h2bp	NM_178202		Mus musculus histone 1, H2bp (Hist1h2bp), mRNA.				2.789510204	nucleosome assembly
scl0003527.1_242-S	629.2	1144.7	1	1	77.5938	Ddx6	NM_007841.2	E230023J21Rik;HLR2;mRCK/P54	Mus musculus DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 (Ddx6), mRNA.	RNA binding [goid 0003723] [evidence IEA]; RNA helicase activity [goid 0003724] [evidence IEA]; helicase activity [goid 0004386] [evidence IEA]; ATP binding [goid 0005524] [evidence IEA]; ATP dependent helicase activity [goid 0008026] [evidence IEA]; nucleic acid binding [goid 0003676] [evidence IEA]; hydrolase activity [goid 0016787] [evidence IEA]	intracellular [goid 0005622] [evidence IEA]; nucleus [goid 0005634] [evidence IEA]		2.71222867	RNA binding
scl0319186.1_75-S	705.2	1161.1	1	1	36.2562	Hist1h2bm	NM_178200	H2b-291b	Mus musculus histone 1, H2bm (Hist1h2bm), mRNA.	DNA binding [goid 0003677] [evidence IEA]	chromosome [goid 0005694] [evidence IEA]; nucleus [goid 0005634] [evidence IEA]; nucleosome [goid 0000786] [evidence IEA]	nucleosome assembly [goid 0006334] [evidence IEA]; chromosome organization and biogenesis (sensu Eukarya) [goid 0007001] [evidence IEA]	2.658869592	nucleosome assembly
scl0338522.1_21-S	827.2	1275	1	1	84.3508	9230115A19Rik	XM_110546.2		Mus musculus vomeronasal 2, receptor, pseudogene 14				2.651084089	unknown
scl0319183.1_124-S	664.2	1085.7	1	1	33.8559	Hist1h2bj	NM_178198.1		Mus musculus histone 1, H2bj (Hist1h2bj), mRNA.				2.624797579	nucleosome assembly
scl014313.3_29-S	577.8	999.2	1	1	74.2226	Fst	NM_008046.1		Mus musculus follistatin (Fst), mRNA.		extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]		2.624694531	cell death, negative regulator of cell differentiation, BMP signaling
scl0014942.1_42-S	339.9	720.1	1	1	114.5005	Gzme	NM_010373.2	CCP3;Ctla-6;Ctla6;MCSP-2	Mus musculus granzyme E (Gzme), mRNA.	chymotrypsin activity [goid 0004263] [evidence IEA]; serine-type endopeptidase activity [goid 0004252] [evidence IEA]; trypsin activity [goid 0004295] [evidence IEA]; hydrolase activity [goid 0016787] [evidence IEA]	extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	cytolysis [goid 0019835] [evidence IEA]; proteolysis and peptidolysis [goid 0006508] [evidence IEA]	2.580012113	cytolysis
scl0227929.1_2-S	202.3	533.2	0.9994	1	90.8717	Pscdbp	NM_139200.2	Cbp;CYTIP;tamalin	Mus musculus pleckstrin homology, Sec7 and coiled-coil domains, binding protein (Pscdbp), mRNA.				2.519696767	cell adhesion
ri|6030461M12|PX00057P23|AK031617|1359-S	534.3	864.9	1	1	58.3388	Csnk2a1-rs3	AK031617		Mus musculus casein kinase II, alpha 1 related sequence 3, mRNA	protein-tyrosine kinase activity [goid 0004713] [evidence: IEA]; protein kinase activity [goid 0004672] [evidence: IEA]; ATP binding [goid 0005524] [evidence: IEA]; protein kinase CK2 activity [goid 0004682] [evidence: IEA]; protein serine/threonine kinase activity [goid 0004674] [evidence: IEA]	plasma membrane [goid 0005886] [evidence: IEA]; nucleus [goid 0005634] [evidence: IEA]	signal transduction [goid 0007165] [evidence: IEA]; protein amino acid phosphorylation [goid 0006468] [evidence: IEA]	2.519302849	cell death
scl0068659.2_62-S	638.4	967.4	1	1	44.1993	1110032E23Rik	NM_133187.1		Mus musculus RIKEN cDNA 1110032E23 gene (1110032E23Rik), mRNA.		integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]		2.517195898	unknown
scl0003126.1_97-S	580	893.4	1	1	31.103	Mal	NM_010762.2	MPV17;VIP17	Mus musculus myelin and lymphocyte protein, T-cell differentiation protein (Mal), mRNA.		integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]; membrane [goid 0016020] [evidence IEA]		2.496098992	cell death
scl38155.8_378-S	540.6	848.4	1	1	52.3243	Tnfaip3	NM_009397.2	A20;Tnfip3	Mus musculus tumor necrosis factor, alpha-induced protein 3 (Tnfaip3), mRNA.	DNA binding [goid 0003677] [evidence IEA]; zinc ion binding [goid 0008270] [evidence IEA]	cytoplasm [goid 0005737] [evidence IDA] [pmid 10385526]	apoptosis [goid 0006915] [evidence IEA]	2.488268615	cell death
scl45299.10_346-S	405.8	693.6	1	1	80.7882	Slc25a30	NM_026232						2.45909079	transport
scl0319185.1_5-S	387.5	674.2	1	1	47.6302	Hist1h2bl	NM_178199	H2b-291a	Mus musculus histone 1, H2bl (Hist1h2bl), mRNA.				2.457427693	nucleosome assembly
scl18538.5.1_210-S	79.7	359.5	0.9919	1	77.2357	9230104L09Rik	XM_130534.1		Mus musculus RIKEN cDNA 9230104L09 gene (9230104L09Rik), mRNA.				2.44684771	unknown
scl0003100.1_18-S	490.9	760.4	1	1	46.3502	2310047O13Rik	NM_024185.3	1810041E18Rik	Mus musculus RIKEN cDNA 2310047O13 gene (2310047O13Rik), mRNA.				2.43055877	unknown
ri|5330401L20|PX00053A17|AK030358|2575-S	333	591.3	1	1	32.7729	Nrp	AK030358	NP-1	Mus musculus neuropilin (Nrp), mRNA.	cell adhesion molecule activity [goid 0005194] [evidence: IEA]	integral to membrane [goid 0016021] [evidence: IEA]; membrane fraction [goid 0005624] [evidence: IEA]; membrane [goid 0016020] [evidence: IEA]	cell adhesion [goid 0007155] [evidence: IEA]	2.412124406	cell death
scl00319622.1_241-S	429.3	681.1	1	1	67.6299		AK081844.1		Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130081G24 product:hypothetical protein, full insert sequence.				2.401055726	unknown
scl38162.4_162-S	365.5	608.6	1	1	98.0755	Hebp2	NM_019487.2	SOUL	Mus musculus heme binding protein 2 (Hebp2), mRNA.		cytoplasm [goid 0005737] [evidence IDA] [pmid 10640688]		2.385784959	unknown
scl066259.1_113-S	313.2	556	1	1	67.7845	1810006K23Rik			Mus musculus calcium/calmodulin-dependent protein kinase II inhibitor 1, mRNA				2.385248682	protein kinase inhibitor activity
scl0001180.1_25-S	422.2	647.4	1	1	34.8638	1200009B18Rik	NM_026168.1	4930572C01Rik	Mus musculus RIKEN cDNA 1200009B18 gene (1200009B18Rik), mRNA.				2.352568386	transport
scl0002382.1_8-S	400.8	621	1	1	70.7618	Ppp2r5e	NM_012024.1	4633401M22Rik	Mus musculus protein phosphatase 2, regulatory subunit B (B56), epsilon isoform (Ppp2r5e), mRNA.	protein phosphatase type 2A, intrinsic regulator activity [goid 0008601] [evidence IEA]	protein phosphatase type 2A complex [goid 0000159] [evidence IEA]; cytoplasm [goid 0005737] [evidence TAS] [pmid 10781942]	signal transduction [goid 0007165] [evidence IEA]	2.342817315	signal transduction
scl00319149.2_275-S	385.5	593	1	1	49.9453	Hist1h3d	NM_178204.1	H3-b	Mus musculus histone1, H3d (Hist1h3d), mRNA.				2.317018101	nucleosome assembly
scl0021825.1_197-S	270.2	464.5	1	1	35.1065	Thbs1	NM_011580.1	tbsp1;Thbs-1;TSP-1;TSP1	Mus musculus thrombospondin 1 (Thbs1), mRNA.	cell adhesion molecule activity [goid 0005194] [evidence IEA]; calcium ion binding [goid 0005509] [evidence IEA]; structural molecule activity [goid 0005198] [evidence IEA]; heparin binding [goid 0008201] [evidence IEA]	extracellular space [goid 0005615] [evidence IDA] [pmid 12498716]	negative regulation of angiogenesis [goid 0016525] [evidence IDA] [pmid 12498716]; cell adhesion [goid 0007155] [evidence IEA]	2.288472801	cell death, cell adhesion, negative regulation of angiogenesis
scl0003731.1_439-S	325.9	513.8	1	1	56.7949	Zmynd11	NM_144516.1		Mus musculus zinc finger, MYND domain containing 11, mRNA				2.27392678	cell death, transcription
scl0319151.1_287-S	303	474.6	1	1	44.6763	Hist1h3e	NM_178205	H3-f	Mus musculus histone 1, H3e (Hist1h3e), mRNA.				2.234517284	nucleosome assembly
scl0245007.1_299-S	201.9	363.7	0.9994	1	91.8754	A930014K01Rik	NM_175537.2		Mus musculus RIKEN cDNA A930014K01 gene (A930014K01Rik), mRNA.	protein binding [goid 0005515] [evidence ISS] [pmid 12466851]	nucleus [goid 0005634] [evidence ISS] [pmid 12466851]		2.208978517	metal ion binding
scl54170.6.1_1-S	282.5	442.4	1	1	43.1153	Cetn2	NM_019405.5	1110034A02Rik;Calt;caltractin	Mus musculus centrin 2 (Cetn2), mRNA.	calcium ion binding [goid 0005509] [evidence TAS] [pmid 11250075]; nucleic acid binding [goid 0003676] [evidence ISS] [pmid 12466851]; ATP binding [goid 0005524] [evidence ISS] [pmid 12466851]; ATP dependent helicase activity [goid 0008026] [evidence ISS] [pmid 12466851]	centriole [goid 0005814] [evidence IDA] [pmid 11250075]; centrosome [goid 0005813] [evidence ISS] [pmid 12466851]	cytokinesis [goid 0000910] [evidence ISS] [pmid 12466851]; cytokinesis [goid 0016288] [evidence ISS]; mitosis [goid 0007067] [evidence ISS] [pmid 12466851]	2.203848464	cell cycle
scl23047.4.213_30-S	280.5	423.8	1	1	30.8536	Fbxw7	NM_080428	1110001A17Rik;AGO;Cdc4;Fbw7;Fbwd6;Fbx30;Fbxo30;Fbxw6;SEL-10	Mus musculus F-box and WD-40 domain protein 7, archipelago homolog (Drosophila) (Fbxw7), mRNA.	protein binding [goid 0005515] [evidence IPI] [pmid 11425854]; protein binding [goid 0005515] [evidence ISS] [pmid 12354302]; transcription factor activity [goid 0003700] [evidence IDA] [pmid 11425854]	nucleus [goid 0005634] [evidence TAS] [pmid 11425854]; nucleus [goid 0005634] [evidence IDA] [pmid 11735228]; cytoplasm [goid 0005737] [evidence TAS] [pmid 11425854]; Golgi apparatus [goid 0005794] [evidence IDA] [pmid 11735228]; endoplasmic reticulum [goid 0005783] [evidence IDA] [pmid 11735228]	protein ubiquitination [goid 0016567] [evidence ISS] [pmid 12354302]; Notch signaling pathway [goid 0007219] [evidence IDA] [pmid 11425854]	2.15624619	cell death, Notch signaling
scl0013026.2_330-S	170.1	310.8	0.9994	1	45.1172	Pcyt1a	NM_009981.2	CTalpha;Ctpct;Cttalpha	Mus musculus phosphate cytidylyltransferase 1, choline, alpha isoform (Pcyt1a), mRNA.	choline-phosphate cytidylyltransferase activity [goid 0004105] [evidence IEA]; nucleotidyltransferase activity [goid 0016779] [evidence IEA]; transferase activity [goid 0016740] [evidence IEA]	membrane [goid 0016020] [evidence IEA]	phospholipid metabolism [goid 0006644] [evidence IEA]; biosynthesis [goid 0009058] [evidence IEA]; phospholipid biosynthesis [goid 0008654] [evidence IEA]	2.148294097	unknown
scl43722.2.1_27-S	191.5	327.6	0.9994	1	70.2203	Rasa1	NM_145452	Gap;MGC7759;Rasa;RasGAP	Mus musculus RAS p21 protein activator 1 (Rasa1), mRNA.	RAS GTPase activator activity [goid 0005099] [evidence ISS]; Ras GTPase activator activity [goid 0005099] [evidence ISS] [pmid 12466851]; GTPase activator activity [goid 0005096] [evidence ISS] [pmid 12466851]		cell growth and/or maintenance [goid 0008151] [evidence ISS] [pmid 12466851]; intracellular signaling cascade [goid 0007242] [evidence ISS] [pmid 12466851]	2.133858125	cell death, embryonic development, vasculogenesis
scl000857.1_11-S	56.8	190.7	0.985	0.9994	38.3058	Hsd11b1	NM_008288.1		Mus musculus hydroxysteroid 11-beta dehydrogenase 1 (Hsd11b1), mRNA.	11-beta-hydroxysteroid dehydrogenase activity [goid 0003845] [evidence IMP] [pmid 12439781]; oxidoreductase activity [goid 0016491] [evidence IEA]	microsome [goid 0005792] [evidence IEA]	metabolism [goid 0008152] [evidence IEA]; steroid metabolism [goid 0008202] [evidence IEA]; lung development [goid 0030324] [evidence IMP] [pmid 12439781]	2.126780577	steroid metabolic process
scl16761.8.1_216-S	122.1	255.6	0.9975	1	34.0647	A730039N16Rik	NM_172655.1	A730039N16	Mus musculus RIKEN cDNA A730039N16 gene (A730039N16Rik), mRNA.				2.125481266	ligase activity
scl068215.1_18-S	117.2	239.3	0.9963	1	31.9375	2610510H03Rik	NM_026620		Mus musculus RIKEN cDNA 2610510H03 gene (2610510H03Rik), mRNA.				2.086715664	unknown
scl000728.1_50-S	163.6	285.4	0.9994	1	36.5114		AK011496.1		Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610020P14 product:REPRODUCTION 8, full insert sequence.				2.085647288	unknown
NeoR-S	191.9	313.5	0.9994	1	39.4191								2.084933575	unknown
scl00228662.1_52-S	162.5	269.7	0.9994	1	43.0763	Btbd3	NM_145534.1	MGC25591;mKIAA0952	Mus musculus BTB (POZ) domain containing 3 (Btbd3), mRNA.	protein binding [goid 0005515] [evidence IEA]			2.030194785	unknown
ri|1520402A20|PX00101J18|AK028065|2270-S	70.3	176.3	0.99	0.9994	47.7389	1520402A20Rik	AK028065		hypothetical protein	heterotrimeric G-protein GTPase, alpha-subunit [goid 0000263] [evidence: IEA]; signal transducer activity [goid 0004871] [evidence: IEA]; GTP binding [goid 0005525] [evidence: IEA]	heterotrimeric G-protein complex [goid 0005834] [evidence: IEA]	Rho protein signal transduction [goid 0007266] [evidence: IEA]; regulation of cell shape [goid 0008360] [evidence: IEA]; G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence: IEA]; angiogenesis [goid 0001525] [evidence: IEA]; protein kinase cascade [goid 0007243] [evidence: IEA]; cell differentiation [goid 0030154] [evidence: IEA]	2.025305865	unknown
scl26345.11_34-S	132.3	231	0.9975	1	57.3074	Antxr2	NM_133738		Mus musculus anthrax toxin receptor 2, mRNA				1.994317153	cell death
scl37201.7.1_109-S	87.4	185.7	0.9944	0.9994	34.0362	9530077C05Rik	NM_026739.1	1110003N12Rik	Mus musculus RIKEN cDNA 9530077C05 gene (9530077C05Rik), mRNA.				1.992553518	unknown
scl20046.9_689-S	154.2	252.2	0.9988	1	34.471	Mmp24	NM_010808	MT5-MMP	Mus musculus matrix metalloproteinase 24 (Mmp24), mRNA.	metallopeptidase activity [goid 0008237] [evidence IEA]; hydrolase activity [goid 0016787] [evidence IEA]; metalloendopeptidase activity [goid 0004222] [evidence IEA]; zinc ion binding [goid 0008270] [evidence IEA]	extracellular matrix [goid 0005578] [evidence IEA]; integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]	proteolysis and peptidolysis [goid 0006508] [evidence IEA]	1.991226076	proteolysis
scl000547.1_50-S	132.3	228.5	0.9975	1	35.4592	Nt5c2	NM_029810.2	2010002I23Rik;cN-II;GMP;NT5B;PNT5	Mus musculus 5-nucleotidase, cytosolic II (Nt5c2), mRNA.				1.983175072	nucleotide metabolic process
scl37195.16.1_126-S	0.8	96	0.5727	0.9944	37.5089	Bmper	NM_028472.1	3110056H04Rik;Cv2	Mus musculus BMP-binding endothelial regulator (Bmper), mRNA.	protein binding [goid 0005515] [evidence IPI] [pmid 12897139]	extracellular [goid 0005576] [evidence IDA] [pmid 12897139]	negative regulation of BMP signaling pathway [goid 0030514] [evidence IDA] [pmid 12897139]	1.978636948	BMP signaling
scl0319153.1_241-S	127.9	222.5	0.9975	0.9994	38.919	Hist1h3i	NM_178207	H3-H	Mus musculus histone 1, H3i (Hist1h3i), mRNA.				1.975891136	nucleosome assembly
scl34209.1_605-S	146.8	239.9	0.9988	1	50.3935	3010027A04Rik	XM_134514		Mus musculus RIKEN cDNA 3010027A04 gene (3010027A04Rik), mRNA.				1.968949681	bone development,head morphogenesis, embryonic development
scl0099470.2_32-S	108.1	199.8	0.9956	0.9994	46.2115	4732496O19Rik	NM_133853.1	6530407C02Rik;AA407180;Magi3	Mus musculus membrane associated guanylate kinase, WW and PDZ domain containing 3				1.962369336	cell death
scl50378.16_3-S	160.7	248.2	0.9994	1	48.3673	Snx9	NM_025664.2	2700073N08Rik;SDP1;SH3PX1	Mus musculus sorting nexin 9 (Snx9), mRNA.	protein transporter activity [goid 0008565] [evidence IEA]; ATP binding [goid 0005524] [evidence ISS] [pmid 12466851]		intracellular protein transport [goid 0006886] [evidence IEA]; protein transport [goid 0015031] [evidence IEA]; transport [goid 0006810] [evidence IEA]; intracellular signaling cascade [goid 0007242] [evidence IEA]	1.942008053	transport, cell communication
scl0003571.1_24-S	87.8	172	0.9944	0.9994	35.0834	3010021M21Rik	NM_180600.1	MGC19370	Mus musculus RIKEN cDNA 3010021M21 gene (3010021M21Rik), mRNA.	ubiquitin conjugating enzyme activity [goid 0004840] [evidence ISS] [pmid 12466851]; ligase activity [goid 0016874] [evidence IEA]		protein modification [goid 0006464] [evidence ISS] [pmid 12466851]; ubiquitin cycle [goid 0006512] [evidence ISS] [pmid 12466851]	1.925312091	ligase activity
scl17047.9.4_6-S	138.3	221.1	0.9981	0.9994	31.9456	BC013667	NM_172266.1	MGC18768	Mus musculus cDNA sequence BC013667 (BC013667), mRNA.				1.918030337	metabolic process
scl068743.2_26-S	110.1	191.3	0.9956	0.9994	42.961	Anln	NM_028390.1	1110037A17Rik;2900037I21Rik;ANILLIN;Scraps	Mus musculus anillin, actin binding protein (scraps homolog, Drosophila) (Anln), mRNA.				1.909556029	cell death, cell cycle
scl17851.8.1_103-S	55.4	131.8	0.9844	0.9969	54.1165	BC042720	XM_283576.2		Mus musculus cDNA sequence BC042720 (BC042720), mRNA.				1.883093359	unknown
scl20687.14.1_105-S	127.8	204	0.9975	0.9994	34.3938	Slc43a3	NM_021398.1	Eeg1;SEEEG-1	Mus musculus solute carrier family 43, member 3 (Slc43a3), mRNA.		integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]; extracellular space [goid 0005615] [evidence TAS] [pmid 12466851]		1.881954971	transport
scl0002881.1_47-S	135.5	211	0.9975	0.9994	38.8849	Pdcd8	NM_012019.2	AIF;Hq;mAIF;MGC5706	Mus musculus programmed cell death 8 (Pdcd8), mRNA.	electron transfer flavoprotein [goid 0008246] [evidence IEA]; electron-transferring-flavoprotein dehydrogenase activity [goid 0004174] [evidence TAS] [pmid 10913597]; oxidoreductase activity [goid 0016491] [evidence IEA]; disulfide oxidoreductase activity [goid 0015036] [evidence IEA]	nucleus [goid 0005634] [evidence TAS] [pmid 10913597]; mitochondrion [goid 0005739] [evidence IEA]; mitochondrial intermembrane space [goid 0005758] [evidence TAS] [pmid 10913597]; cytosol [goid 0005829] [evidence TAS] [pmid 10913597]	electron transport [goid 0006118] [evidence IEA]; DNA fragmentation [goid 0006309] [evidence TAS] [pmid 10913597]; apoptosis [goid 0006915] [evidence IEA]; apoptotic mitochondrial changes [goid 0008637] [evidence TAS] [pmid 10913597]	1.877946952	cell death
scl067958.2_9-S	85.5	160.8	0.9931	0.9994	44.3076	2610101N10Rik	NM_026476.1		Mus musculus RIKEN cDNA 2610101N10 gene (2610101N10Rik), mRNA.				1.876794976	RNA processing
scl0231070.3_29-S	46.5	120.6	0.9732	0.9963	46.9968	Insig1	NM_153526.2	1810013C12Rik;Insig-1	Mus musculus insulin induced gene 1 (Insig1), mRNA.	protein binding [goid 0005515] [evidence IPI] [pmid 12242332]	endoplasmic reticulum [goid 0005783] [evidence TAS] [pmid 12242332]; integral to membrane [goid 0016021] [evidence TAS] [pmid 12466851]	response to sterol depletion [goid 0006991] [evidence IDA] [pmid 12242332]	1.869818208	cholesterol metabolism
scl31661.8_31-S	146.8	220.9	0.9988	0.9994	39.6924	D7Ertd458e	NM_027514.1	3830421F03Rik;necl-5,Pvr	Mus musculus DNA segment, Chr 7, ERATO Doi 458, expressed (D7Ertd458e), mRNA.	protein binding [goid 0005515] [evidence IPI] [pmid 12740392]; receptor activity [goid 0004872] [evidence IEA]	cellular_component unknown [goid 0008372] [evidence ND]	cell-cell adhesion [goid 0016337] [evidence IDA] [pmid 12740392]; cell migration [goid 0016477] [evidence IDA] [pmid 12740392]	1.869818208	cell migration
GI_31340746-S	83.5	157.3	0.9925	0.9994	41.8014	C030018K18Rik	NM_175258.2		Mus musculus RIKEN cDNA C030018K18 gene (C030018K18Rik), mRNA.				1.868056362	unknown
scl45046.5.1_20-S	53.6	127	0.9813	0.9963	41.1514	A530046M15	XM_488663						1.86569606	unknown
scl11590.1.1_260-S	86.6	157.3	0.9931	0.9994	33.9736	B230207M22Rik							1.849419414	unknown
scl022779.1_70-S	43.7	113.5	0.9713	0.9956	40.8618	Zfpn1a2	NM_011770.2	Helios;Znfn1a2;Ikzf2	Mus musculus zinc finger protein, subfamily 1A, 2 (Helios) (Zfpn1a2), mRNA.	transcription factor activity [goid 0003700] [evidence IEA]; DNA binding [goid 0003677] [evidence IEA]; translation regulator activity [goid 0045182] [evidence IEA]	transcription factor complex [goid 0005667] [evidence IEA]; nucleus [goid 0005634] [evidence IEA]	regulation of transcription, DNA-dependent [goid 0006355] [evidence IEA]	1.843855423	transcription
scl11797.1.1_205-S	42.2	110.2	0.9669	0.9956	36.0568	1110019C06Rik							1.832508913	unknown
scl0014528.1_45-S	84.1	150.4	0.9931	0.9994	43.5569	Gch1	NM_008102.2						1.821513528	regulation of blood pressure
scl15214.1.1_248-S	127.6	192.8	0.9975	0.9994	31.667	6330411E07Rik							1.814247596	unknown
