# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001229.2|NM_001229	hgnc_symbol|CASP9|CASP9
refseq_dna|XM_001128340.1|XM_001128340	hgnc_symbol|LOC728660|LOC728660
hgnc_symbol|PP13004|PP13004
refseq_dna|XM_001134000.1|XM_001134000
hgnc_symbol|LOC645261|LOC645261
refseq_dna|NM_001004470.1|NM_001004470	hgnc_symbol|ST8SIA6|ST8SIA6
refseq_dna|NM_018121.2|NM_018121	hgnc_symbol|FAM178A|FAM178A
refseq_dna|XM_209196.5|XM_209196	hgnc_symbol|C19orf77|C19orf77

refseq_dna|XM_001126350.1|XM_001126350
refseq_dna|XR_018201.1|XR_018201	hgnc_symbol|ST13|ST13
refseq_dna|NM_001003892.1|NM_001003892	hgnc_symbol|DUPD1|DUPD1
hgnc_symbol|OR6P1|OR6P1
refseq_dna|NM_001011719.1|NM_001011719	hgnc_symbol|ARSH|ARSH
refseq_dna|NM_001004753.1|NM_001004753	hgnc_symbol|OR51F2|OR51F2
refseq_dna|NM_001001958.1|NM_001001958	hgnc_symbol|OR7G3|OR7G3
