GenBank Acc. No.	Gene Description
Y00062_at	(PTPRC) protein tyrosine phosphatase, receptor type
Y00796_at	(ITGAL) integrin alpha L
Y07827_s_at	putative B7, 3 molecule of CD80-CD86 family
Z17227_at	(IL10RB) interleukin 10 receptor, beta
Z22534_at	(ACVR1) activin A receptor, type I
Z30426_at	CD69 early activation antigen
Z48541_at	(PTPRO) protein tyrosine phosphatase, receptor type, O
AC002073_at	(WUGSC:DJ515N1.2) Putative gene
D43636_at	(KIAA0096) KIAA0096
D45906_at	(LIMK2) LIM domain kinase 2
D63479_s_at	(DGKD) diacylglycerol kinase, delta (130kD)
J04430_s_at	(ACP5) acid phosphatase 5, tartrate resistant
J04809_rna1_at	(AK1) adenylate kinase 1
L01087_at	(PRKCQ) protein kinase C, theta
L05148_at	TCR binding, ZAP-70 protein tyrosine kinase
L10717_at	2024-2555 unique domain; 2556-2708 SH3 domain
L13738_ at	(ACK) syk tyrosine kinase	down
L16862_at	(GPRK6) G protein-coupled receptor kinase 6
L27071_at	(TXK) TXK tyrosine kinase
L42373_at	(PPP2R5A) protein phosphatase 2, regulatory subunit B
M14676_at	(FYN) FYN oncogene related to SRC, FGR, YES
M16591_at	(HCK) hematopoetic kinase	down
M18255_cds2_at	(PRKACB)
M34181_at	(PRKACB) protein kinase, cAMP-dependent, catalytic, beta
M55284_at	(PRKCL)
M61906_at	P13-kinase; tyrosine kinase receptor
M68941_at	(PTPN4) protein tyrosine phosphatase, non-receptor type 4
M80335_at	(PRKACA) protein kinase, cAMP-dependent, catalytic, alpha
M93425_at	(PTPN12) protein tyrosine phosphatase
S75168_rna1_at	(Matk) megakaryocyte-associated tyrosine kinase
S78798_s_at	1-phosphatidylinositol-4-phosphate 5-kinase isoform C
S81916_at	(PGK1) phosphoglycerate kinase 1
U03858_at	(FLT3LG) fms-related tyrosine kinase 3 ligand	down
U23852_s_at	(lck) truncated form of p56lck	down
U33052_s_at	(PRKCL2) protein kinase C-like 2
U33841_at	(ATM)
U48251_at	PKC binding protein RACK1
U51477_at	(DGKZ) diacylglycerol kinase, zeta (104kD)
U57650_at	(INPP5D) inositol polyphosphate-5-phosphatase, 145kD
U66464_at	(HPK1) serine/threonine protein kinase
U89896_at	CK I gamma 2
X02596_at	(BCR) breakpoint cluster region
X06318_at	(PRKCB1) protein kinase C, beta 1	up
X07109_at	PKC beta 2 (partial (AA 1-673)
X57206_at	(ITPKB) inositol 1,4,5-trisphosphate 3-kinase B
X62055_at	(PTPN6) protein tyrosine phosphatase, non-receptor type 6
X62535_at	(DGKA) diacylglycerol kinase, alpha (80kD)
X66945_at	(N-sam)
X78342_at	(CDK10) cyclin-dependent kinase (CDC2-like) 10	down	up
X80497_at	(PHKA2) phosphorylase kinase, alpha 2 (liver)
X85545_at	(PRKX) protein kinase, X-linked
X97335_at	kinase A anchor protein
Y00062_at	(PTPRC) protein tyrosine phosphatase, receptor type
Y09216_at	(DYRK2) dual-specificity regulated kinase 2
Y10032_at	(sgk)
Y11215_at	(SKAP55) src kinase-associated phosphoprotein of 55 kDa
Z22534_at	(ACVR1) activin A receptor, type I
Z29090_at	(PIK3CA) phosphatidylinositol 3-kinase, catalytic
Z35102_at	Ndr protein kinase
Z48541_at	(PTPRO) protein tyrosine phosphatase, receptor type, O
Z69881_at x	(PTPRO) protein tyrosine phosphatase, receptor type, O
D11086_at	(IL2RG) interleukin 2 receptor, gamma	up
D49950_at	(IL18) interleukin 18
D50925_at	(KIAA0135) Gene is related to pim-1 oncogene.
J03069_rna1_at	(MYCL2) v-myc avian myelocytomatosis viral oncogene
L35263_at	(CSBP1) Csaids binding protein	up
L42243_at	(IFNAR2) interferon alpha receptor 2
M11313_at	(A2M) alpha-2-macroglobulin
M14676_at	(FYN) FYN oncogene related to SRC, FGR, YES
M19722_at	(FGR) Gardner-Rasheed feline sarcoma viral (v-fgr)
M29696_at	(IL7R) interleukin 7 receptor up
M69203_at	(SCYA2) small inducible cytokine A2
M90391_s_at	(IL16) interleukin 16 (lymphocyte chemoattractant factor)
M91083_at	(C11ORF13) chromosome 11 open reading frame 13
U00672_at	(IL10RA) interleukin 10 receptor, alpha down
U20657_at	(USP4) ubiquitin specific protease 4 (proto-oncogene)
U32324_at	(IL11RA) interleukin 11 receptor, alpha
U32674_s_at	(GPR9)
V01512_rna1_at	(FOS) v-fos FBJ murine osteosarcoma viral oncogene
X02596_at	(BCR) breakpoint cluster region
X16316_at	(VAV1) vav 1 oncogene
X17576_at	(NCK1) NCK adaptor protein 1
X58377_at	(IL11) interleukin 11
X60787_at	(ILF1) interleukin enhancer binding factor 1
X63546_at	(HRP1) hyperpolymorphic gene 1
X66087_at	(MYBL1) v-myb avian myeloblastosis viral oncogene
X78686_at	(SCYB5) small inducible cytokine subfamily B
X95876_at	(GPR9) G protein-coupled receptor 9
Z17227_at	(IL10RB) interleukin 10 receptor, beta
AF006041_at	(DAXX) death-associated protein
D14533_at	(XPA) xeroderma pigmentosum complementation group A
D38122_at	(TNFSF6) tumor necrosis factor (ligand) superfamily
D85423_at	(CDC5L) CDC5 (cell division cycle 5, S. pombe, homolog)
L29217_at	(CLK3) CDC-like kinase 3	up
M92287	cyclin D3 down
S78187_at	(CDC25B) cell division cycle 25B	up
U18291_at	(CDC16) cell division cycle 16
U19251_s_at	(NAIP) neuronal apoptosis inhibitory protein
U20536_s_at	(CASP6) caspase 6, apoptosis-related cysteine protease
U28014_at	(CASP4) caspase 4, apoptosis-related cysteine up protease
U40343_at	(p19) cyclin-dependent kinase inhibitor, inhibits CDK4		up
U47077_at	(DNA PKcs) DNA-activated kinase, catalytic polypeptid	e	up
U53174_at	(RAD9)
U61981_at	(hMSH3) putative mismatch repair binding protein
X05908_at	(ANX1) annexin 1
X07024_at	CCG1 protein (AA 1 - 1554)
X61123_at	(BTG1) B-cell translocation gene 1, anti-proliferative
X69978_at	(ERCC5)
X78342_at	cyclin-dependent kinase (CDC2-like) 10
X82554_rna1_at	(SPHAR) cyclin-related gene
X98172_at	(CASP8) caspase 8, apoptosis-related cysteine protease
X98176_at	MACH-beta 1, cell death protease
AB000464_at	Huntingtons Disease
AB001325_at	(AQP3) aquaporin 3
AC000064_cds2_at	(PEX1)
AF002020_at	(NPC1) putative integral membrane protein
AF008937_at	(STX16) syntaxin 16
AF009301_at	(TEB4)
D13631_s_at	(KIAA0006)
D13641_at	(KIAA0016)
D14686_at	(AMT) aminomethyltransferase
D14874_at	(ADM) adrenomedulin
D16227_at	(HPCAL1) hippocalcin-like 1
D16688_s_at	(MLLT3)
D25304_at	(KIAA0006)
D26069_at	(KIAA0041)
D29642_at	(KIAA0053)
D30756_at	(KIAA0049)
D30758_at	(KIAA0050)
D31763_at	(KIAA0065)
D31846_at	(AQP2) aquaporin 2
D31883_at	(LIMAB1) limatin
D32001_at	(HuSAA1g) serum amyloid A1 gamma
D38524_at	5 nucleotidase
D38535_at	(ITIH4) inter-alpha inhibitor H4
D38552_at	(KIAA0073)
D42053_at	(S1P) site 1-protease
D50640_at	(PDE3B) phospodiesterase 3B
D50918_at	(KIAA0128)
D50927_at	(KIAA0137)
D50928_at	(KIAA1038)
D63998_at	(MANA2) mannosidase, alpha type II
D64015_at	(TIAL1)
D80010_at	(KIAA0188)
D83018_at	(NRP2) nel-related protein 2
D83735_at	(CNN2) calporin 2
D83776_at	(KIAA1091)
D83782_at	(KIAA0199)
D86958_at	(KIAA0103)
D86974_at	(KIAA0220)
D86976_at	(KIAA0223)
D87119_at	(GS395S)
D87436_at	(KIAA0249)
D87447_at	(KIAA0258)
D87465_at	(KIAA0275)
D87683_at	(TSC1)
D87845_at	(PAFAH2) platelet-activating factor acetylhydrolase 2
D90097_at	(AMY2B) alpha-amylase
HG2238-HT2321_s_at	NA
HG2480-HT2576_at	NA
HG2868-HT3012_s_at	NA
HG2915-HT3059_f_at	NA
HG2917-HT3061_f_at	NA
HG2981-HT3127_s_at	NA
HG3104-HT3280_at	NA
HG3115-HT3291_at	NA
HG3162-HT3339_at	NA
HG3484-HT3678_s_at	NA
HG3492-HT3686_at	NA
HG3578-HT3781_at	NA
HG4036-HT4306_at	NA
HG4126-HT4396_at	NA
HG4263-HT4533_at	NA
HG4390-HT4660_at	NA
HG4557-HT4962_at	NA
HG4557-HT4962_r_at	NA
HG67-HT67_f_at	NA
HG998-HT998_s_at	NA
J03077_s_at	(PSAP)
J03801_f_at	(LYZ)
J04029_s_at	(KRT10)
J05070_at	(MMP9) metalloprotein
L04510_at	(ARFD1)
L05779_at	(EPHX2)eposide hydrolase 2
L07807_s_at	(DMN1) dynamin 1
L13852_at	(UBE1L) ubiquitin-activating enzyme E1
L16896_at	zinc finger protein
L19493_s_at	(FMR1)
L22343_at	interferon-induced nuclear phosphoprotein
L34657_at	(PECAM1)
L42621_at	(LY9)
M11718_at	(COL5A2)
M13792_at	(ADA)
M14758_at	(PGY1) colchicine resistance (MDR1)
M19045_f_at	(LYZ)
M20867_s_at	(GLUD1)
M31520_rna1_at	(RPS24)
M34516_r_at	omega protein
M36284_s_at	(GYPC)
M38591_at	(S100A10)
M55067_at	(NCF1)
M55267_at	(EVI2A)
M55422_at	(H-plk)
M55543_at	(GBP2)
M55621_at	(MGAT1)
M58297_at	(ZNF42)
M58378_cds1_at	(SYN1)
M58600_rna1_at	(HCF2)
M60091_at	(GALT)
M60830_at	orf
M61916_at	(LAMB1) lamin beta 1
M62397_at	(MCC) mutated in colorectal cancer
M62403_s_at	(IGFBP4)
M62994_at	(FLNB) filamin 1
M63138_at	(CTSD) cathepsin D
M63904_at	(GNA15) guanine nucleotide binding protein
M67468_s_at	(FMR1)
M74715_s_at	(IDUA)
M85169_at	(PSCD1) pleckstrin homology
M88458_at	NA
M91438_at	(HUSI-II) serine proteinase inhibitor
M91585_at	(BR140)
M95678_at	(PLCB2) phospholipase C, beta 2
M96803_at	(SPTBN1) spectrin beta
M97287_at	(SATB1) MAR/SAR DNA binding protein
S41458_at	(PDE6B)
S66431_at	(RBBP2) Rb binding protein 2
S69272_s_at	(PI6)
S73591_at	(VDUPI)
U01317_cds4_at	(HBD)
U04241_at	(AES)
U05259_rna1_at	(MB-1)
U07802_at	NA
U08377_at	(SFRS8) splicing factor
U09196_at	NA
U09284_at	(LIMS1) PINCH protein
U12897_at	(IPW)
U14588_at	(PXN) paxillin
U17838_at	(RIZ)
U19713_s_at	(IRT-1) interferon gamma responsive transcript
U20499_at	(SULT1A3)
U20758_rna1_at	(SPP1)
U20938_at	dihydropyrimidine dehydrogenase
U26710_at	(CBLB)
U29607_at	methionine aminopeptidase
U33429_at	(KCNAB2)
U37122_at	(ADD3) adducin gamma subunit
U49835_s_at	(CHI3L2)
U51587_at U52112_rna1_at	(GOLGA1) (RENBP) renin-binding protein
U58516_at	(BA46)
U61167_at	(SH3D1B)
U62317_rna3_at	(ECGF1)
U64105_at U64675_at	(SUB1.5) (BS-63)
U67369_at	(GFI1)
U68142_at	(RGL2)
U69645_at	zinc finger protein
U78095_at	bikunin
U78190_rna1_at	(GCHFR)
U79255_at	NA
U81556_at	NA
U84011_s_at	(AGL)
U89336_cds1_at	(HBX2)
U89336_cds3_at	(HBX2)
U89336_cds6_at	(HBX2)
U90546_at	(BTF4) butyrophilin
U90546_r_at	(BTF4) butyrophilin
U90552_at	(BTF5) butyrophilin
U90552_s_at	(BTF5) butyrophilin
U90902_at	NA
U90916_at	NA
U91932_at	(CLAPS3)
U93049_at	(FYB) FYN-binding protein
U95740_rna1_at	(A-362G6.1)
U96113_at	(WWP1)
U97502_rna1_at	(BT3.3) butryophilin
V00563_at	NA
X04011_at	(CYBB) cytochrome b-245, beta
X04412_at	(GSN) gelsolin
X07290_at	(HF.12)
X13956_at	(AA 1-82) 9kDa protein
X14008_rna1_at	NA
X14813_at	(ACAA)
X16281	(ZNF44)
X16282_at	(217 AA)
X55740_at	(NT5)
X56687_s_at	NOR-90 autoantigen
X57351_at	(1-8D)
X57809_at	NA
X59244_f_at	(ZNF43)
X59834_at	(GLUL)
X60708_at	(DPP4)
X63679_at	(TRAM)
X65644_at	(MBP-2) MHC binding protein 2
X67098_at	(ORF1)
X69111_at	(ID3)
X69433_at	(IDH2)
X69910_at	(p63)
X69962_s_at	Fragil X syndrome
X72790_at	(ORF)
X73358_s_at	(AES-1)
X76061_at	(p130)
X76534_at	(NMB)
X78817_at	(ARHGAP4) p115
X78924_at	(HZF1) zinc finger protein
X78992_at	(ERF-2)
X89109_s_at	NA
X89750_at	(TGIF)
X91809_at	(GAIP)
X91911_s_at	(rtvp-1)
X95735_at	(ZYX) zyxin
X96719_at	(CLECSF2) C-type lectin
X98411_at	(MYO1E) myosin-1E
X99209_at	arginine methyltransferase
Y08682_rna1_at	(CPT1B)
Y09392_s_at	(wsl-I) WSL-S2 protein
Y13618_at	(USP9Y)
Z21507_at	(EEF1D) guanine-nucleotide exchange factor
Z35227_at	(ARHH)
Z36531_at	fibrinogen-like protein
Z48633_at	retrotransposon
Z67743_at	(CLCN7) chloride channel CLC-7
Z69030_s_at	gamma isoform of 61kDa regulatory subunit of PP2A
Z94753_s_at	(ATP7A)
