Gene ID	Fold Change	Gene Symbol	Gene Title
Gga.1818.1.S1_s_at	2.74205379	NEBL	nebulette
Gga.3363.1.S1_at	2.738936408	IRF2	interferon regulatory factor 2
Gga.11427.1.S1_at	2.738328756	---	---
Gga.24.3.S1_a_at	2.736782263	SH3GL1	SH3-domain GRB2-like 1
Gga.1798.1.S1_a_at	2.736439499	TSC22D1	TSC22 domain family, member 1
Gga.12469.1.S1_x_at	2.729758865	---	---
Gga.4695.1.S1_a_at	2.726550868	---	---
Gga.14603.1.S1_at	2.711517761	---	---
Gga.13148.1.S1_at	2.69904963	LOC416052	Similar to interleukin 17 receptor C
Gga.4900.3.S1_s_at	2.690614005	LOC425783	similar to C-type lectin-like receptor
Gga.5360.2.S1_a_at	2.690467001	GILZ	TSC22 domain family, member 3
Gga.5207.1.S1_at	2.686401148	---	---
Gga.11662.2.S1_a_at	2.681818182	CHMP4C	chromatin modifying protein 4C
Gga.4082.1.S1_at	2.670103093	SMO	smoothened homolog (Drosophila)
Gga.2520.2.S1_a_at	2.669034091	---	---
Gga.3135.1.S1_at	2.659491194	---	---
Gga.15399.1.S1_s_at	2.658321743	EVL	Enah/Vasp-like
GgaAffx.1396.1.S1_s_at	2.653547385	EVPL	envoplakin
Gga.17127.1.S1_at	2.653218988	MARK3	MAP/microtubule affinity-regulating kinase 3
Gga.8051.1.S1_at	2.643222506	---	---
Gga.680.1.S1_at	2.636309047	CKR2	procKr2
Gga.10110.1.S1_at	2.635248415	---	---
Gga.15318.1.S1_at	2.630503527	RPSA	Ribosomal protein SA
GgaAffx.4150.2.S1_s_at	2.628248884	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12
GgaAffx.20516.1.S1_s_at	2.626568717	---	---
Gga.7931.1.S1_at	2.62462908	---	---
Gga.19180.1.S1_s_at	2.62455516	MXI1	MAX interactor 1
Gga.1009.1.S1_s_at	2.622680412	ARPC1B	actin related protein 2/3 complex, subunit 1B, 41kDa
Gga.9057.1.S1_at	2.621197628	DNAJC14	DnaJ (Hsp40) homolog, subfamily C, member 14
GgaAffx.24869.1.S1_s_at	2.614295824	PTP4A3	protein tyrosine phosphatase type IVA, member 3
Gga.12792.1.S1_at	2.612977259	---	---
Gga.16588.1.S1_at	2.60609358	---	---
Gga.2625.1.S1_at	2.603994312	RARRES1	retinoic acid receptor responder (tazarotene induced) 1
Gga.915.1.S1_at	2.602331606	SOCS3	suppressor of cytokine signaling 3
Gga.156.1.S1_at	2.593869037	NBL1	neuroblastoma, suppression of tumorigenicity 1
Gga.156.2.S1_a_at	2.593034826	NBL1	neuroblastoma, suppression of tumorigenicity 1
Gga.1779.1.S1_at	2.592274678	---	---
Gga.496.1.S1_at	2.591014295	RELN	reelin
Gga.11518.1.S1_at	2.580991313	---	---
Gga.3381.1.S2_at	2.580354707	HOXA3	homeobox A3
GgaAffx.282.2.S1_s_at	2.579365079	TMPRSS9	transmembrane protease, serine 9
Gga.4058.1.S1_at	2.575635877	LOC396473	myristoylated alanine-rich C kinase substrate (MARCKS)
Gga.1030.1.S1_at	2.57315919	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
GgaAffx.21492.1.S1_at	2.56747484	---	---
GgaAffx.26446.2.S1_s_at	2.564285714	LOC769847	similar to Glutathione S-transferase theta 1
Gga.7102.1.S1_at	2.55027027	UBOX5	U-box domain containing 5
GgaAffx.26025.2.S1_s_at	2.55	TRIT1	tRNA isopentenyltransferase 1
GgaAffx.22425.1.S1_s_at	2.549903413	SLC16A5	solute carrier family 16, member 5 (monocarboxylic acid transporter 6)
Gga.7770.1.S1_at	2.538461538	---	---
GgaAffx.1.1.S1_s_at	2.537471511	NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
Gga.9455.1.S1_at	2.537175692	---	---
Gga.5001.1.S1_at	2.534220532	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)
Gga.19423.1.S1_at	2.533158486	LOC417031	similar to hypothetical protein LOC196463
Gga.18986.1.S1_at	2.521753794	---	---
GgaAffx.10617.2.S1_s_at	2.520746888	TLR7	toll-like receptor 7
Gga.4924.1.S1_at	2.518234865	BRD2 /// LOC768702	bromodomain containing 2 /// similar to ring 3
Gga.18969.1.S1_s_at	2.51454643	TMBIM1	transmembrane BAX inhibitor motif containing 1
GgaAffx.20511.1.S1_at	2.513467439	---	---
Gga.6062.1.S1_at	2.513169846	LOC424682	similar to InaD-like protein
Gga.7566.1.S1_at	2.504951959	LOC424918	hypothetical LOC424918
Gga.3350.1.S1_at	2.504667016	PTGDS	prostaglandin D2 synthase 21kDa (brain)
Gga.15902.1.S1_s_at	2.503200809	ASCC3L1	activating signal cointegrator 1 complex subunit 3-like 1
Gga.2501.1.A1_at	2.50273224	---	---
Gga.4896.1.S1_at	2.501647145	LOC427638	Similar to Glutathione peroxidase 3 precursor (GSHPx-3) (GPx-3) (Plasma glutathione peroxidase) (GSHPx-P)
Gga.9708.2.S1_a_at	2.501398601	PPAP2A	Phosphatidic acid phosphatase type 2A
Gga.9786.1.S1_at	2.499632623	---	---
Gga.3044.1.S1_at	2.494760479	WNT6	wingless-type MMTV integration site family, member 6
GgaAffx.25567.1.S1_at	2.494240263	NEFL	neurofilament, light polypeptide 68kDa
Gga.19325.1.S1_at	2.494050992	EPHX2	epoxide hydrolase 2, cytoplasmic
Gga.3673.1.S2_at	2.489714064	LDB2	LIM domain binding 2
Gga.4674.2.S1_at	2.489004845	PHACTR4	phosphatase and actin regulator 4
GgaAffx.24195.1.S1_at	2.486012068	RBM14	RNA binding motif protein 14
GgaAffx.20390.1.S1_at	2.482061594	---	---
Gga.8326.1.S1_at	2.480458221	---	---
Gga.7663.1.S1_at	2.47945445	---	---
Gga.5972.1.S1_at	2.479043087	MBD2	methyl-CpG binding domain protein 2
GgaAffx.12664.1.S1_s_at	2.478919104	LOC768680	hypothetical protein LOC768680
Gga.1720.1.S1_at	2.470543962	BCAR1	breast cancer anti-estrogen resistance 1
Gga.19434.1.S1_at	2.469771242	---	---
Gga.6941.1.S1_at	2.467346539	LOC771156	Similar to guanine nucleotide exchange factor Lbc
GgaAffx.9068.1.S1_at	2.46539028	LOC426226	similar to KIAA0182
Gga.5385.1.S1_s_at	2.462898406	RCJMB04_21j5	argininosuccinate synthetase 1
Gga.7742.1.S1_at	2.45187382	---	---
Gga.12926.1.S1_s_at	2.451388889	---	---
GgaAffx.24772.1.S1_at	2.442962963	C17orf59	chromosome 17 open reading frame 59
Gga.4130.1.S1_at	2.442512077	NR1H3	nuclear receptor subfamily 1, group H, member 3
Gga.9922.1.S1_at	2.441165622	C9orf4	Chromosome 9 open reading frame 4
Gga.16921.1.S1_at	2.439940682	TCP11L2	t-complex 11 (mouse)-like 2
GgaAffx.20334.1.S1_at	2.438251366	RCJMB04_18a15	PDZ and LIM domain 5
Gga.4916.1.S1_s_at	2.437974684	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)
Gga.6735.1.S1_s_at	2.431024275	---	---
GgaAffx.11117.1.S1_at	2.430078125	LOC419077	similar to sphingomyelin phosphodiesterase
GgaAffx.12592.1.S1_at	2.427449514	SERTAD2	SERTA domain containing 2
Gga.16375.1.S1_at	2.425694621	---	---
Gga.6268.1.S1_at	2.424285139	---	---
GgaAffx.9707.1.S1_s_at	2.423708312	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
Gga.7845.1.S1_at	2.423248537	---	---
GgaAffx.4587.1.S1_at	2.418383518	LOC429557	similar to S6 kinase 2
GgaAffx.24639.1.S1_at	2.417155425	LOC769163	similar to GPBP-interacting protein 130b
GgaAffx.21147.1.S1_at	2.41511254	---	---
Gga.3035.1.S1_at	2.411871336	EPAS1	endothelial PAS domain protein 1
Gga.701.1.S1_s_at	2.411452184	LOC396194 /// RSFR	leukocyte ribonuclease A-1 /// leukocyte ribonuclease A-2
Gga.9931.1.S1_at	2.410859222	LOC425332	similar to BC039210 protein
Gga.9980.2.S1_a_at	2.409186431	LOC771191	similar to HEXIM1 protein
GgaAffx.845.1.S1_s_at	2.403106248	MAP2K2	mitogen-activated protein kinase kinase 2
GgaAffx.7201.6.S1_s_at	2.391566265	LPHN3	latrophilin 3
GgaAffx.26564.1.S1_at	2.385740402	KSR1	kinase suppressor of ras 1
Gga.1452.1.S1_at	2.382234883	UNC5B	unc-5 homolog B (C. elegans)
Gga.9136.1.S1_at	2.37652596	TACSTD1	tumor-associated calcium signal transducer 1
GgaAffx.12884.1.S1_at	2.376476378	---	---
Gga.3412.1.S1_at	2.375692408	CITED4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4
