Curated Gene Symbol	UniGene ID	OMIM	Gene name	Symbol	1.5 h	3 h	16 h	24 h	48 h	AA	q-value
TMBIM1	Hs.98475		PP1201 protein	PP1201	0.11	-0.07	-0.65	-0.33	-0.88	-0.13	0.029
					2.01	0.68	-0.08	-0.06	0.45	-1.14	0.029
					0	0.14	0.74	0.93	1.04	0.84	0.029
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.01	0.02	-0.47	-0.73	-0.6	-0.27	0.029
KLF10	Hs.435001	601878	Kruppel-like factor 10	KLF10	1.34	0.29	0.16	0.36	0.11		0.029
	Hs.513807		hypothetical protein LOC348180	LOC348180	-0.07	-0.09	-0.74	0.01	-0.37	0.34	0.029
MBD2	Hs.25674	603547	methyl-CpG binding domain protein 2	MBD2	0.07	-0.03	-0.5	-0.52	-0.12	-0.23	0.029
RAB31	Hs.99528	605694	RAB31, member RAS oncogene fam-ily	RAB31	0.04	0.28	-0.71	-0.54	-0.67	-0.22	0.029
SNX1	Hs.188634	601272	sorting nexin 1	SNX1	0.07	0.19	0.98	0.94	0.44	0.32	0.029
					-0.02	-0.33	-0.96	0.23	0.03	-0.64	0.029
HSPA9	Hs.547532	600548	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	-0.19	0.34	0.35	0.44	1.05	-0.1	0.029
					0.08	-0.14	0.3	1.12	0.32	0.32	0.029
					-0.13	-0.29	-1.08	0.15	-0.23	-0.61	0.029
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	-0.13	0.07	-0.59	-0.89	-0.54	-0.62	0.029
					0	-0.11	-0.48	-0.76	-0.66	0.02	0.029
PCDHGA12	Hs.368160	603059	protocadherin gamma subfamily A, 12	PCDHGA12	0.13	-0.07	0.09	1.36	0.32	0.07	0.029
					0.1	0.9	1.44	1.73	1.33	1.98	0.029
C21orf33	Hs.413482	601659	chromosome 21 open reading frame 33	C21orf33	-0.03	-0.05	0.62	0.53	0.06	0.17	0.029
					0.21	-0.11	0.82	1.28	0.62	1.55	0.029
CD74	Hs.436568	142790	CD74 antigen (invariant polypeptide of major histocompatibility com-plex, class II antigen-associated)	CD74	0.14	-0.02	0.52	1.05	1.3	-0.7	0.029
					0.3	-0.06	-0.11	-0.44	-0.58	0.34	0.029
					0.1	0.1	-0.47	-0.73	-0.67	-0.19	0.029
MT-CO3		516050	cytochrome c oxidase III	MTCO3	-0.24	-0.29	-0.18	0.42	0.95	0.34	0.029
GPR183	Hs.784	605741	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	EBI2	2.91	2.91	1.54	0.84	1.03	-1.02	0.029
EZR	Hs.487027	123900	villin 2 (ezrin)	VIL2	-0.05	-0.01	-0.83	-0.5	-0.61	0.19	0.029
					0.1	-0.06	-0.52	-0.75	-0.45	-0.1	0.029
ACTB	Hs.520640	102630	actin, beta	ACTB	-0.08	-0.43	-0.82	0.36	-0.52	-0.47	0.029
HDLBP	Hs.471851	142695	high density lipoprotein binding pro-tein (vigilin)	HDLBP	-0.01	0.03	0.16	0.76	0.2	0.35	0.029
					-0.02	0.72	1.15	0.85	1.05	1.38	0.029
					-0.21	-0.28	0.33	0.54	0.32	0.4	0.029
					0.02	0.02	-0.27	0.03	-0.84	0	0.029
ATP5B	Hs.406510	102910	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP5B	-0.13	0.13	0.63	0.61	0.95	0.39	0.029
IER2	Hs.501629		immediate early response 2	IER2	-0.61	-1.09	-0.28	-0.03	-0.28	-1.54	0.029
LETMD1	Hs.370457		LETM1 domain containing 1	LETMD1	-0.22	-0.06	0.44	0.44	0.42	-0.07	0.029
					0.03	-0.03	0.53	0.7	0.25	0.5	0.029
NR4A2	Hs.165258	601828	nuclear receptor subfamily 4, group A, member 2	NR4A2	4.81	3.33	1.4	0.9	0.6	-0.73	0.029
GPR183	Hs.784	605741	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	EBI2	1.86	2.14	0.88	0.39	0.59	-0.84	0.029
					0.02	0.32	0.81	0.94	0.81	1.11	0.03
					-0.11	0.01	0.76	0.66	-0.14	0.38	0.03
					-0.15	0.03	0.68	0.91	0.31	0.5	0.03
HSPA9	Hs.547532	600548	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	0.05	0.05	0.48	0.56	0.81	0.56	0.03
					-0.08	-0.19	-0.74	-0.43	-0.42	-0.42	0.031
SLC7A7	Hs.513147	603593	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	SLC7A7	-0.04	0.43	1.22	0.54	0.81	0.65	0.031
ACAT2	Hs.363137	100678	acetyl-Coenzyme A acetyltransferase 2 (acetoacetyl Coenzyme A thiolase)	ACAT2	-0.08	0.17	-0.37	-0.99	-0.35	-0.43	0.031
CRABP1	Hs.346950	180230	cellular retinoic acid binding protein 1	CRABP1	0.08	-0.11	0.08	1.06	2.03	1.17	0.031
TRIM2	Hs.435711		tripartite motif-containing 2	TRIM2	-0.14	0.4	0.83	0.83	0.88	1	0.031
					0.09	-0.15	-0.39	-0.56	-0.98	-0.04	0.031
					-0.03	-0.19	0.31	0.67	0.52	0.18	0.032
					-0.11	0.08	-0.49	-0.82	-0.53	-0.7	0.032
DIRAS1 /// DKK3 /// RPS15	Hs.292156		regulated in glioma	RIG	-0.14	0	-0.52	-0.24	-1.13	0.15	0.032
					-0.03	-0.02	-0.45	-0.69	-0.66	-0.01	0.032
					0.05	-0.09	0.23	0.74	1.08	-0.78	0.032
TUBA1A	Hs.524395	602529	tubulin, alpha 3	TUBA3	0	0.08	-0.23	-0.88	-0.52	-0.23	0.033
					-0.15	0.42	0.95	0.9	1.28	1.2	0.033
ATP5B	Hs.406510	102910	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	ATP5B	-0.03	0.17	0.78	1.11	0.91	0.91	0.033
					0.05	-0.05	-0.37	-0.67	-0.66	-0.24	0.033
TMEM127	Hs.355708		hypothetical protein FLJ20507	FLJ20507	-0.07	-0.02	-0.05	0.67	-0.14	0.27	0.033
					-0.14	-0.16	-0.2	0.63	-0.31	0.37	0.033
PKM	Hs.198281	179050	pyruvate kinase, muscle	PKM2	-0.03	-0.22	0	1.1	-0.28	0.17	0.033
					0	1.57	1.86	0.84	0.94	-0.33	0.033
					-0.21	-0.32	-0.17	0.54	0.8	0.42	0.033
					-0.02	-0.09	0.26	0.96	0.18	0.29	0.033
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.06	-0.07	-0.45	-0.82	-0.77	-0.16	0.033
					0.38	0.1	1.23	1.32	1.92	-0.72	0.033
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	-0.02	-0.1	-0.54	-0.79	-0.69	-0.34	0.033
					-0.01	0.05	-0.41	-0.69	-0.71	0.05	0.033
ACTB	Hs.520640	102630	actin, beta	ACTB	-0.15	-0.42	-0.81	0.28	-0.55	-0.52	0.033
ACTG1	Hs.520640	102560	actin, gamma 1	ACTG1	0.03	-0.27	-0.83	-0.7	-0.75	-0.49	0.033
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.11	0.07	-0.49	-0.95	-0.6	-0.27	0.033
NDRG2	Hs.525205	605272	NDRG family member 2	NDRG2	-0.25	0.16	1.15	1.19	1.07	0.11	0.033
					-0.06	-0.12	0.01	0.03	0.66	-0.51	0.033
					0.08	-0.13	0.04	0.83	0.03	-0.11	0.034
					-0.26	-0.11	0.02	1.09	-0.13	0.1	0.034
					-0.05	0.01	0.76	0.93	1	1.01	0.035
					0.02	-0.03	-0.28	-0.82	-0.57	-0.13	0.035
LPL	Hs.180878	238600	lipoprotein lipase	LPL	0.16	0.22	-0.04	0.02	1.29	0.4	0.035
KLF6	Hs.285313	602053	Kruppel-like factor 6	KLF6	-1.53	-1.58	-0.77	-1.03	-0.88	-1.29	0.035
					0.15	-0.24	-0.59	-0.45	-1.33	-1.9	0.035
CANX	Hs.529890	114217	calnexin	CANX	0.05	0.22	0.48	0.82	0.64	0.59	0.035
ANKRD6	Hs.177275		ankyrin repeat domain 6	ANKRD6	0.09	0.1	-0.52	-0.17	0.06	0.09	0.035
					0.04	-0.13	-0.44	-0.74	-0.67	-0.16	0.035
					0.02	-0.14	-0.44	-0.73	-0.68	-0.15	0.036
SGTA	Hs.203910	603419	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha	SGTA	0.04	-0.28	-0.11	0.59	0.05	0.05	0.036
TUBA1A	Hs.524395	602529	tubulin, alpha 3	TUBA3	-0.1	-0.01	-0.36	-0.88	-0.58	-0.36	0.036
CHN2	Hs.203663	602857	chimerin (chimaerin) 2	CHN2	-0.17	0.19	0.89	0.85	0.82	0.55	0.036
					-0.09	-0.3	-0.12	0.25	0.43	0.58	0.036
PARM1	Hs.105460		DKFZP564O0823 protein	DKFZP564O0823	-0.19	0.32	0.42	0.65	0.9	0.26	0.036
TGFBI	Hs.369397	601692	transforming growth factor, beta-induced, 68kDa	TGFBI	-0.11	-0.17	0.18	1	0.17	0.05	0.036
					0.12	-0.05	-0.41	-0.58	-0.62	-0.15	0.036
					0.12	0.45	-0.08	-0.29	-0.32	0.33	0.037
CS	Hs.430606	118950	citrate synthase	CS	0.1	-0.04	0.16	1.15	0.52	0.49	0.037
SND1	Hs.122523	602181	staphylococcal nuclease domain containing 1	SND1	0	-0.02	0.19	0.71	-0.03	0.12	0.037
ACTG1	Hs.520640	102560	actin, gamma 1	ACTG1	-0.22	-0.27	-0.77	-0.58	-0.39	-0.56	0.037
GAPDH	Hs.547475	138400	glyceraldehyde-3-phosphate dehydrogenase	GAPD	0.07	-0.05	0.9	0.82	0.85	1.05	0.038
					0.13	0.13	-0.52	-0.73	-0.84	0.11	0.038
					0.49	0.15	-0.3	0.23	-0.18	-0.47	0.038
					-0.04	-0.08	0.91	0.92	0.47	0.28	0.038
					0.11	0.13	-0.66	-0.71	-0.57	0.34	0.038
					-0.04	-0.1	-0.6	-0.34	-0.78	-0.22	0.038
TMBIM1	Hs.98475		PP1201 protein	PP1201	-0.06	-0.14	-0.65	-0.63	-0.85	-0.36	0.038
					-0.03	-0.04	0.3	0.07	-1.04	0.18	0.038
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0	0	-0.44	-0.92	-0.73	-0.31	0.038
					0.01	-0.29	0.02	-0.06	-1.03	0.12	0.038
					0.2	0.46	0.25	-0.47	-0.04	0.45	0.038
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.68	-1.43	-0.31	-0.4	-0.35	-1.43	0.038
MT-CO3		516050	cytochrome c oxidase III	MTCO3	-0.21	-0.25	-0.16	0.04	0.67	0.25	0.038
					-0.09	0.14	0.77	0.85	0.63	0.66	0.039
RAB31	Hs.99528	605694	RAB31, member RAS oncogene family	RAB31	0.17	0.12	-0.55	-0.34	-0.63	-0.41	0.039
					0.03	-0.07	-0.47	-0.69	-0.56	-0.02	0.039
					-0.14	-0.26	0	0.68	0.01	0.13	0.039
GPS1	Hs.268530	601934	G protein pathway suppressor 1	GPS1	-0.3	-0.09	-0.08	0.51	-0.36	0.43	0.039
CDC42EP2	Hs.343380	606132	CDC42 effector protein (Rho GTPase binding) 2	CDC42EP2	-0.44	-1.09	-0.79	0.02	-0.38	-1.36	0.039
					-0.11	-0.55	0.41	0.38	0.35	-0.05	0.039
ARF1	Hs.286221	103180	ADP-ribosylation factor 1	ARF1	-0.08	-0.1	0.41	0.62	0.01	0.49	0.039
TUBA4A	Hs.75318	191110	tubulin, alpha 1 (testis specific)	TUBA1	0.1	0	-0.42	-0.48	-0.57	-0.42	0.039
AKT3	Hs.498292		v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	AKT3	0.11	0.28	-0.54	-0.53	-0.4	-0.37	0.039
GBP2	Hs.386567	600412	guanylate binding protein 2, interferon-inducible	GBP2	-0.06	-0.3	-0.74	-0.61	-0.09	-1.5	0.039
					0.04	0.01	-0.47	-0.61	-0.82	-0.2	0.039
					-0.27	-0.16	-0.34	0.21	-0.83	1.05	0.039
					-1.93	-1.98	-0.99	-0.14	-0.46	-1	0.04
					0.07	0.08	0.03	-0.55	-0.55	0	0.04
					0.14	-0.33	-0.93	-0.36	-0.44	-0.74	0.04
PABPC4	Hs.169900	603407	poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	-0.1	0.01	-0.01	0.07	0.8	-0.44	0.04
					0.05	-0.04		0.21	-0.68	-0.72	0.04
					0.04	0.02	0.56	0.72	0.62	0.44	0.04
					0.15	0	0.12	0.35	0.93	-0.59	0.04
GPR183	Hs.784	605741	Epstein-Barr virus induced gene 2 (lymphocyte-specific G protein-coupled receptor)	EBI2	2.78	2.8	1.49	1	1.52	-0.78	0.04
ACTB	Hs.520640	102630	actin, beta	ACTB	-0.09	-0.31	-1	0.11	-0.3	-0.43	0.04
					0.03	-0.05	-0.66	-0.4	-0.62	-0.13	0.04
					0.04	-0.31	-0.7	0.13	-0.26	-0.45	0.04
STK4	Hs.472838	604965	serine/threonine kinase 4	STK4	-0.21	-0.08	0.11	-0.07	-0.99		0.04
					-0.09	0.15	0.8	0.86	0.92	0.7	0.04
					0.18	0.56	1.95	2.58	1.69	1.28	0.04
					-0.02	-0.4	0.06	0.23	-1.27	-0.26	0.04
					0.37	0.6	1.99	2.35	1.55	0.89	0.04
					0.16	0.13	-0.23	-0.32	-0.34	-0.17	0.04
					0.23	1.09	2.08	1.18	1.18	1.28	0.04
					-0.05	0.01	0.58	0.37	0.65	0.28	0.04
					-0.12	0	0.52	0.67	0.69	0.65	0.04
ACTB	Hs.520640	102630	actin, beta	ACTB	-0.01	-0.34	-0.86	0.26	-0.17	-0.5	0.04
ACTG1	Hs.520640	102560	actin, gamma 1	ACTG1	-0.08	-0.21	-0.77	-0.83	-0.4	-0.66	0.04
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.73	-1.42	-0.32	-0.36	-0.26	-1.74	0.04
					0.51	0.34	-0.28	-0.57	-0.35	-2.21	0.041
TUBB1	Hs.303023		tubulin, beta 1	TUBB1	-0.13	0.06	-0.4	-0.69	-0.6	-0.88	0.041
					-0.05	-0.09	-0.41	-0.73	-0.59	-0.38	0.041
MERTK	Hs.306178	604705	c-mer proto-oncogene tyrosine kinase	MERTK	0.07	-0.09	-0.66	-0.72	-1.25	-0.31	0.041
					-0.02	-0.26	-0.87	-0.18	-0.85	0.16	0.041
					0.01	-0.08	-0.43	-0.59	-0.25	0.08	0.042
CD59	Hs.278573	107271	CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344)	CD59	-0.03	-0.19	-0.12	-0.74	-0.75	0.16	0.042
					-0.03	-0.07	0	-0.16	-0.78	0	0.042
					0.08	0.9	1.43	1.38	1.54	1.18	0.042
RGL1	Hs.497148	605667	ral guanine nucleotide dissociation stimulator-like 1	RGL1	-0.11	-0.31	-1.1	0.76	-1.46		0.042
						0.09		0.12	-0.42	-0.81	0.042
MYO5B	Hs.445218	606540	myosin VB	MYO5B	0.07	-0.03	-0.67	-0.63	-0.48	0.67	0.043
LRRFIP1	Hs.471779	603256	leucine rich repeat (in FLII) interacting protein 1	LRRFIP1	0.21	0.12	-0.27	-0.42	-0.45	0.12	0.043
					0.38	0.12	-0.22	0.26	-0.32	-0.28	0.043
SCYL2	Hs.506481		SCY1-like 2 (S. cerevisiae)	SCYL2	-0.13	0.19	-0.09	-0.37	0.83	0.56	0.043
					-0.07	-0.08	-0.66	-0.41	-0.64	-0.29	0.043
PRMT1	Hs.20521	602950	HMT1 hnRNP methyltransferase-like 2 (S. cerevisiae)	HRMT1L2	-0.15	0.05	0.51	0.69	0.45	0.05	0.044
					3.11	2.38	1.39	1.21	0.86	-0.05	0.044
SYNE1	Hs.12967	608441	spectrin repeat containing, nuclear envelope 1	SYNE1	0	-0.13	-0.67	-0.67	-0.42	-1.19	0.044
SCARB1	Hs.298813	601040	scavenger receptor class B, member 1	SCARB1	-0.26	-0.02	0.06	0.81	0.38	0.83	0.045
					-0.28	-0.17	-0.15	0.49	0.87	0.43	0.045
					0.35	0.14	-0.21	-0.32	-0.43	0.54	0.045
GOT1	Hs.500756	138180	glutamic-oxaloacetic transaminase 1, soluble (aspartate aminotransferase 1)	GOT1	0.17	0.59	1.16	0.99	1.16	0.79	0.045
NECAB3	Hs.516986		amyloid beta (A4) precursor protein-binding, family A, member 2 binding protein	APBA2BP	-0.13	0.09	0.14	-0.08	0.89	0.33	0.045
					-0.24	0.11	0.17	0.47	-0.83	0.21	0.045
					-0.15	-0.15	-0.56	-0.38	-1.1	-0.14	0.045
					-0.12	0.01	0.16	0.52	0.25	0.58	0.045
HSPA9	Hs.547532	600548	heat shock 70kDa protein 9B (mortalin-2)	HSPA9B	0.01	0.07	0.55	0.68	0.7	0.54	0.045
APBB1	Hs.372840	602709	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	APBB1	-0.13	-0.15	-0.07	0.33	-0.66	-0.48	0.045
FYN	Hs.390567	137025	FYN oncogene related to SRC, FGR, YES	FYN	0.08	0.37	0.75	1.24	0.75	0.77	0.045
					0.1	0.01	-0.47	-0.15	-0.73	0.16	0.045
					-0.03	0.15	-0.13	-0.69	-0.63	-0.58	0.045
SLC39A14	Hs.491232	608736	solute carrier family 39 (zinc transporter), member 14	SLC39A14	0.18	0.84	0.97	0.95	1.07	1.17	0.045
					0.08	-0.39	-0.59	-0.16	-0.86	-0.09	0.045
					-0.01	0.14	0.36	1.09	0.75	0.64	0.045
					0.08	0.16	-0.03	-1	-0.32	0.1	0.045
NT5DC1	Hs.520341		5’-nucleotidase, cytosolic II-like 1	NT5C2L1	0.19	-0.1	0.34	0.28	0.57	0.71	0.045
ACO2	Hs.474982	100850	aconitase 2, mitochondrial	ACO2	-0.11	0.04	0.63	0.82	0.86	0.77	0.045
CYCS	Hs.437060	123970	cytochrome c, somatic	CYCS	-0.3	0.24	0.96	0.55	0.98	-0.22	0.045
					-0.21	-0.26	-0.16	0.31	0.9	0.34	0.045
LMAN1	Hs.465295	601567	lectin, mannose-binding, 1	LMAN1	-0.04	0.38	0.94	0.56	0.65		0.045
KPNA4	Hs.288193	602970	karyopherin alpha 4 (importin alpha 3)	KPNA4	-0.19	-0.35	-0.18	0.69	-0.09	0.18	0.045
					-0.01	0.15	-0.37	-0.74	-0.46	-0.32	0.045
BLCAP	Hs.472651		bladder cancer associated protein	BLCAP	-0.11	-0.35	0.57	0.83	0.36	0.39	0.046
					-0.44	0.24	0.58	0.77	0.67	0.98	0.046
GTF2A1	Hs.547415	600520	general transcription factor IIA, 1, 19/37kDa	GTF2A1	-0.03	0.76	0.92	0.72	0.79	-0.07	0.046
					0.07	0.14	0.27	0.18	0.9	-0.11	0.046
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.67	-1.42	-0.37	-0.29	-0.39	-1.67	0.046
FBLN1	Hs.24601	135820	fibulin 1	FBLN1	-0.05	0.13	0.39	0.15	-0.9	-2.11	0.046
ACO2	Hs.474982	100850	aconitase 2, mitochondrial	ACO2	-0.05	-0.05	0.82	0.79	0.58	0.65	0.046
AARS	Hs.315137	601065	alanyl-tRNA synthetase	AARS	-0.18	-0.04	0.43	0.53	0.54	0.26	0.046
					-0.12	-0.45	-0.91	0.11	-0.66	-0.57	0.046
					-1.1	-2.45	-1.49	-1.54	-1.26	-0.39	0.046
ACTB	Hs.520640	102630	actin, beta	ACTB	-0.03	-0.42	-0.86	0.28	-0.33	-0.58	0.046
EGR1	Hs.326035	128990	early growth response 1	EGR1	-1.76	-1.46	-0.32	-0.39	-0.13	-1.53	0.046
					0.06	0.13	0.56	0.3	0.7	0.25	0.046
HSPA8	Hs.180414	600816	heat shock 70kDa protein 8	HSPA8	0.13	0.16	-0.38	-0.3	-0.39	-0.28	0.046
					-0.27	-0.53	0.24	0.1	0.11	0.21	0.047
HINT1	Hs.483305	601314	histidine triad nucleotide binding protein 1	HINT1	-0.08	0.24	-0.74	-0.95	-0.47	-0.42	0.047
					-0.17	0.05	0.18	0.83	0.58	0.08	0.047
PKM	Hs.198281	179050	pyruvate kinase, muscle	PKM2	0.03	-0.23	-0.12	0.88	-0.19	-0.03	0.047
					0.09	-0.3	-0.11	0.74	0.63	0.16	0.047
					0.04	-0.03	0.55	0.35	0.55	0.87	0.047
					-0.11	-0.14	-0.11	0.13	-0.87	-0.39	0.047
					0.03	-0.02	-0.44	-0.69	-0.59	-0.22	0.048
					0.02	-0.05	-0.43	-0.78	-0.62	-0.21	0.048
					-0.15	0.06	-0.09	0.57	0.21	-0.12	0.048
VAPA	Hs.165195	605703	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa	VAPA	0.44	1.63	2.85	2.52	2.48	0.61	0.048
CCDC92	Hs.114111		limkain beta 2	FLJ22471	0.01	-0.09	-0.76	0.11	-0.84	0.17	0.048
TMSB4X	Hs.522584	300159	thymosin, beta 4, X-linked	TMSB4X	0.15	0.03	-0.45	-0.84	-0.53	-0.23	0.048
RPL9P7			ribosomal protein L9 pseudogene 7	RPL9P7	0.17	0.26	0.74	0.52	0.16	0.66	0.048
ACTB	Hs.520640	102630	actin, beta	ACTB	0.02	-0.35	-0.95	0.28	-0.13	-0.55	0.048
					0.01	-0.11	-0.01	0.36	-1.34	0.08	0.048
					0.32	-0.04	0.04	-0.16	-0.61	0.17	0.048
ATF4	Hs.496487	604064	activating transcription factor 4 (tax-responsive enhancer element B67)	ATF4	-0.51	-0.45	0.14	0.28	0.13	-0.44	0.048
					0.01	0.12	-0.38	-0.74	-0.57	-0.02	0.048
