Ensembl ID	Fold Change	Gene Name	Gene Symbol
ENSG00000103319	2.069814934	Elongation factor 2 kinase (EC 2.7.11.20) (eEF-2 kinase) (eEF-2K) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase)	EEF2K
ENSG00000169344	2.067390578	Uromodulin precursor (Tamm-Horsfall urinary glycoprotein) (THP)	UMOD
ENSG00000197279	2.06021224	Zinc finger protein 165 (LD65) (Zinc finger and SCAN domain-containing protein 7) (Cancer/testis antigen 53) (CT53)	ZNF165
ENSG00000132478	2.058918583	RING finger protein unkempt homolog (Zinc finger CCCH domain- containing protein 5)	UNK
ENSG00000173692	2.058333094	26S proteasome non-ATPase regulatory subunit 1 (26S proteasome regulatory subunit RPN2) (26S proteasome regulatory subunit S1) (26S proteasome subunit p112)	PSMD1
ENSG00000110786	2.047527273	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Protein-tyrosine phosphatase striatum-enriched) (STEP) (Neural- specific protein-tyrosine phosphatase)	PTPN5
ENSG00000101489	2.039948195	CUG-BP- and ETR-3-like factor 4 (CELF-4) (Bruno-like protein 4) (RNA- binding protein BRUNOL-4)	BRUNOL4
ENSG00000176886	2.036420224		ENSG00000176886
ENSG00000163386	2.035827899	Neuroblastoma breakpoint family member 9	NBPF9
ENSG00000207625	2.033259513	hsa-mir-211	hsa-mir-211
ENSG00000003987	2.0309063	Myotubularin-related protein 7 (EC 3.1.3.-)	MTMR7
ENSG00000183145	2.02881319	Protein ripply3 (Down syndrome critical region protein 6)	DSCR6
ENSG00000161544	2.021514278	Cytoglobin (Histoglobin) (HGb) (Stellate cell activation-associated protein)	CYGB
ENSG00000184348	2.000173287	Histone H2A type 1 (H2A.1) (H2A/p)	HIST1H2AK
ENSG00000172273	1.996572261	MBD2-interacting zinc finger protein (Methyl-CpG-binding protein 2- interacting zinc finger protein) (Histone nuclear factor P) (HiNF-P)	MIZF
ENSG00000104760	1.995638929	Fibrinogen-like protein 1 precursor (Hepatocyte-derived fibrinogen- related protein 1) (HFREP-1) (Hepassocin) (Liver fibrinogen-related protein 1) (LFIRE-1) (HP-041)	FGL1
ENSG00000198165	1.98466084		ENSG00000198165
ENSG00000158185	1.983608394	Ankyrin repeat domain-containing protein 36A	ANKRD36
ENSG00000183784	1.97624966	Uncharacterized protein C9orf66	C9orf66
ENSG00000111732	1.973979122	Activation-induced cytidine deaminase	AICDA
ENSG00000178386	1.968916464	Zinc finger protein 223	ZNF223
ENSG00000179673	1.968251055	Reprimo-like protein	RPRML
ENSG00000204001	1.964662142	Epididymal-specific lipocalin-8 precursor	LCN8
ENSG00000103707	1.961628055	Methionyl-tRNA formyltransferase, mitochondrial precursor (EC 2.1.2.9) (MtFMT)	MTFMT
ENSG00000205220	1.957781584	Proteasome subunit beta type-10 precursor (EC 3.4.25.1) (Proteasome subunit beta-2i) (Proteasome MECl-1) (Macropain subunit MECl-1) (Multicatalytic endopeptidase complex subunit MECl-1)	PSMB10
ENSG00000162438	1.9570525	Chymotrypsin-C precursor (EC 3.4.21.2) (Caldecrin)	CTRC
ENSG00000105085	1.953996079	Mediator of RNA polymerase II transcription subunit 26 (Mediator complex subunit 26) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) [Source:UniProtKB/Swiss-Prot;Acc:O95402]	MED26
ENSG00000180408	1.948693113	Uncharacterized protein LOC389203 [Source:UniProtKB/Swiss-Prot;Acc:Q8N5G0]	LOC389203
ENSG00000197584	1.948567076	Calcium-activated potassium channel subunit beta-2 (Calcium-activated potassium channel, subfamily M subunit beta-2) (Maxi K channel subunit beta-2) (BK channel subunit beta-2) (BKbeta2) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y691]	KCNMB2
ENSG00000108639	1.946238122	Synaptogyrin-2 (Cellugyrin) [Source:UniProtKB/Swiss-Prot;Acc:O43760]	SYNGR2
ENSG00000175213	1.945862438	Zinc finger protein 408 (PR domain zinc finger protein 17)	ZNF408
ENSG00000146555	1.943418265	Protein sidekick-1 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q7Z5N4]	SDK1
ENSG00000104154	1.9385643	Zinc transporter 4 (ZnT-4) (Solute carrier family 30 member 4) [Source:UniProtKB/Swiss-Prot;Acc:O14863]	SLC30A4
ENSG00000131401	1.937098772	napsin B aspartic peptidase pseudogene (NAPSB) on chromosome 19 [Source:RefSeq_dna;Acc:NR_002798]	NAPSB
ENSG00000186352	1.936649274	Ankyrin repeat domain-containing protein 37 (Low-density lipoprotein receptor-related protein 2-binding protein) (hLrp2bp) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z713]	ANKRD37
ENSG00000108826	1.925592919	39S ribosomal protein L27, mitochondrial (L27mt) (MRP-L27) [Source:UniProtKB/Swiss-Prot;Acc:Q9P0M9]	MRPL27
ENSG00000134809	1.923373176	Mitochondrial import inner membrane translocase subunit Tim10 [Source:UniProtKB/Swiss-Prot;Acc:P62072]	TIMM10
ENSG00000188050	1.919994003	RING finger protein 133 [Source:UniProtKB/Swiss-Prot;Acc:Q8WVZ7]	RNF133
ENSG00000127463	1.913195186	Uncharacterized protein KIAA0090 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q8N766]	KIAA0090
ENSG00000143224	1.909398179	Protoporphyrinogen oxidase (EC 1.3.3.4) (PPO) [Source:UniProtKB/Swiss-Prot;Acc:P50336]	PPOX
ENSG00000205073	1.90485636	Uncharacterized protein C1orf222 [Source:UniProtKB/Swiss-Prot;Acc:Q69YW0]	C1orf222
ENSG00000198858	1.900512421	R3H domain-containing protein C19orf22 [Source:UniProtKB/Swiss-Prot;Acc:Q96D70]	C19orf22
ENSG00000198339	1.895921702	Histone H4 [Source:UniProtKB/Swiss-Prot;Acc:P62805]	HIST1H4I
ENSG00000137218	1.889782574	Fibroblast growth factor receptor substrate 3 (FGFR substrate 3) (Suc1-associated neurotrophic factor target 2) (SNT-2) (FGFR-signaling adaptor SNT2) [Source:UniProtKB/Swiss-Prot;Acc:O43559]	FRS3
ENSG00000173464	1.889244056	Probable ribonuclease 11 Precursor  (EC 3.1.27.-) (RNase 11) [Source:UniProtKB/Swiss-Prot;Acc:Q8TAA1]	RNASE11
ENSG00000180824	1.884407204	CDNA FLJ35343 fis, clone PROST2015932. [Source:Uniprot/SPTREMBL;Acc:Q8NAH5]	FLJ35343
ENSG00000101883	1.881150499	Rhox homeobox family member 1 (Paired-like homeobox protein PEPP-1) (Ovary-, testis- and epididymis-expressed gene protein) [Source:UniProtKB/Swiss-Prot;Acc:Q8NHV9]	RHOXF1
ENSG00000164404	1.880928153	Growth/differentiation factor 9 precursor (GDF-9)	GDF9
ENSG00000206178	1.876328934	Uncharacterized protein ENSP00000346992 Fragment  [Source:UniProtKB/TrEMBL;Acc:A6NC93]	ENSP00000346992
ENSG00000156395	1.862846707	VPS10 domain-containing receptor SorCS3 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9UPU3]	SORCS3
ENSG00000181588	1.85239957	RNA-binding protein MEX3D (RING finger and KH domain-containing protein 1) (RING finger protein 193) (TINO) [Source:UniProtKB/Swiss-Prot;Acc:Q86XN8]	RKHD1
ENSG00000120253	1.849603473	Nucleoporin Nup43 (p42) [Source:UniProtKB/Swiss-Prot;Acc:Q8NFH3]	NUP43
ENSG00000183014	1.849591299		ENSG00000183014
ENSG00000181847	1.844167691	T cell immunoreceptor with Ig and ITIM domains	TIGIT
ENSG00000168243	1.841822913	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P50150]	GNG4
ENSG00000186895	1.840980087	INT-2 proto-oncogene protein Precursor  (Fibroblast growth factor 3) (FGF-3) (Heparin-binding growth factor 3) (HBGF-3) [Source:UniProtKB/Swiss-Prot;Acc:P11487]	FGF3
ENSG00000184584	1.837666907	Transmembrane protein 173 [Source:UniProtKB/Swiss-Prot;Acc:Q86WV6]	TMEM173
ENSG00000177174	1.837569372	Olfactory receptor 14C36 (Olfactory receptor 5BF1) (Olfactory receptor OR1-59) [Source:UniProtKB/Swiss-Prot;Acc:Q8NHC7]	OR5BF1
ENSG00000144785	1.837087467	Protein canopy homolog 2 Precursor  (MIR-interacting saposin-like protein) (Transmembrane protein 4) (Putative secreted protein ZSIG9) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2B0]	CNPY2
ENSG00000196338	1.835280607	Neuroligin-3 Precursor  (Gliotactin homolog) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZ94]	NLGN3
ENSG00000109079	1.834391447	BTB/POZ domain-containing protein TNFAIP1 (Tumor necrosis factor, alpha-induced protein 1, endothelial) (Protein B12) [Source:UniProtKB/Swiss-Prot;Acc:Q13829]	TNFAIP1
ENSG00000103174	1.827614117	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase Precursor  (EC 3.1.4.45) (Phosphodiester alpha-GlcNAcase) (Mannose 6-phosphate-uncovering enzyme) [Source:UniProtKB/Swiss-Prot;Acc:Q9UK23]	NAGPA
ENSG00000178966	1.827518134	Protein RMI1 homolog (75 kDa BLM-associated protein) (BLAP75) (FAAP75) [Source:UniProtKB/Swiss-Prot;Acc:Q9H9A7]	RMI1
ENSG00000099797	1.820517282	Synaptic glycoprotein SC2 (EC 1.3.1.-) (Trans-2,3-enoyl-CoA reductase) (TER) [Source:UniProtKB/Swiss-Prot;Acc:Q9NZ01]	GPSN2
ENSG00000160410	1.818002619	SH3KBP1-binding protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8TBC3]	SHKBP1
ENSG00000204225	1.817791062		ENSG00000204225
ENSG00000132122	1.81605773	Spermatogenesis-associated protein 6 Precursor  [Source:UniProtKB/Swiss-Prot;Acc:Q9NWH7]	SPATA6
ENSG00000140403	1.814797006	DnaJ homolog subfamily A member 4 [Source:UniProtKB/Swiss-Prot;Acc:Q8WW22]	DNAJA4
ENSG00000133422	1.813777281	MORC family CW-type zinc finger protein 2 (Zinc finger CW-type coiled-coil domain protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y6X9]	MORC2
ENSG00000177981	1.808969616	Ankyrin repeat and SOCS box protein 8 (ASB-8) [Source:UniProtKB/Swiss-Prot;Acc:Q9H765]	ASB8
ENSG00000106038	1.808797182	Homeobox even-skipped homolog protein 1 (EVX-1) [Source:UniProtKB/Swiss-Prot;Acc:P49640]	EVX1
ENSG00000204052	1.807172587	Uncharacterized protein C6orf154 [Source:UniProtKB/Swiss-Prot;Acc:Q5JTD7]	C6orf154
ENSG00000171433	1.805622008	Glyoxalase domain-containing protein 5 [Source:UniProtKB/Swiss-Prot;Acc:A6NK44]	GLOD5
ENSG00000123572	1.804608288	Nik-related protein kinase (EC 2.7.11.1) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z2Y5]	NRK
ENSG00000105643	1.804381086	Arrestin domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8TBH0]	ARRDC2
ENSG00000163026	1.802354973	WD repeat-containing protein C2orf44 [Source:UniProtKB/Swiss-Prot;Acc:Q9H6R7]	C2orf44
ENSG00000059691	1.799800835	Probable glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial Precursor  (EC 6.3.5.-) (Glu-ADT subunit B) (Cytochrome oxidase assembly factor PET112 homolog) [Source:UniProtKB/Swiss-Prot;Acc:O75879]	PET112L
ENSG00000075240	1.798815196	GRAM domain-containing protein 4 (Death-inducing protein) [Source:UniProtKB/Swiss-Prot;Acc:Q6IC98]	GRAMD4
ENSG00000105483	1.796827242	Caspase recruitment domain-containing protein 8 (Apoptotic protein NDPP1) (DACAR) (CARD-inhibitor of NF-kappa-B-activating ligand) (CARDINAL) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y2G2]	CARD8
ENSG00000183977	1.794513241	PP2C-like domain-containing protein C3orf48 [Source:UniProtKB/Swiss-Prot;Acc:A8MPX8]	C3orf48
ENSG00000206485	1.793969972	Uncharacterized protein ENSP00000373067 [Source:UniProtKB/TrEMBL;Acc:A6NCB7]	ENSP00000373067
ENSG00000178473	1.791758675	Urocortin-3 Precursor  (Urocortin III) (Ucn III) (Stresscopin) [Source:UniProtKB/Swiss-Prot;Acc:Q969E3]	UCN3
ENSG00000084072	1.790080398	Peptidyl-prolyl cis-trans isomerase E (EC 5.2.1.8) (PPIase E) (Rotamase E) (Cyclophilin E) (Cyclophilin-33) [Source:UniProtKB/Swiss-Prot;Acc:Q9UNP9]	PPIE
ENSG00000105617	1.788037754	Leukocyte receptor cluster member 1 [Source:UniProtKB/Swiss-Prot;Acc:Q96BZ8]	LENG1
ENSG00000203951	1.787938063	Putative uncharacterized protein FLJ44790 [Source:UniProtKB/Swiss-Prot;Acc:Q6ZTC4]	FLJ44790
ENSG00000099624	1.78411664	ATP synthase subunit delta, mitochondrial Precursor  [Source:UniProtKB/Swiss-Prot;Acc:P30049]	ATP5D
ENSG00000207808	1.784111277	hsa-mir-27a [Source:miRBase;Acc:MI0000085]	hsa-mir-27a
ENSG00000164411	1.782289199	Gap junction beta-7 protein (Connexin-25) (Cx25) [Source:UniProtKB/Swiss-Prot;Acc:Q6PEY0]	GJB7
ENSG00000172878	1.780327835	Methionine aminopeptidase 1D, mitochondrial Precursor  (EC 3.4.11.18) [Source:UniProtKB/Swiss-Prot;Acc:Q6UB28]	MAP1D
ENSG00000164946	1.779324549	FRAS1-related extracellular matrix protein 1 Precursor  (Protein QBRICK) [Source:UniProtKB/Swiss-Prot;Acc:Q5H8C1]	FREM1
ENSG00000136436	1.777876393	Calcium-binding and coiled-coil domain-containing protein 2 (Nuclear domain 10 protein NDP52) (Nuclear domain 10 protein 52) (Nuclear dot protein 52) (Antigen nuclear dot 52 kDa protein) [Source:UniProtKB/Swiss-Prot;Acc:Q13137]	CALCOCO2
ENSG00000139914	1.774142636	fat-inducing transcript 1	FIT1
ENSG00000211096	1.768184413		ENSG00000211096
ENSG00000160318	1.765631647	Claudin domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8NHS1]	CLDND2
ENSG00000177460	1.765247111	Transmembrane protein FLJ37396 [Source:UniProtKB/Swiss-Prot;Acc:Q8N1W0]	FLJ37396
ENSG00000108551	1.762127338	Dexamethasone-induced Ras-related protein 1 Precursor  (Activator of G-protein signaling 1) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y272]	RASD1
ENSG00000169509	1.759174591	Cysteine-rich C-terminal protein 1 (Protein NICE-1) [Source:UniProtKB/Swiss-Prot;Acc:Q9UGL9]	CRCT1
ENSG00000179580	1.75894689	RING finger protein 151 [Source:UniProtKB/Swiss-Prot;Acc:Q2KHN1]	RNF151
ENSG00000006607	1.758117575	FERM, RhoGEF and pleckstrin domain-containing protein 2 (FERM domain including RhoGEF) (FIR) [Source:UniProtKB/Swiss-Prot;Acc:O94887]	FARP2
ENSG00000174576	1.756372579	Neuronal PAS domain-containing protein 4 (Neuronal PAS4) (HLH-PAS transcription factor NXF) [Source:UniProtKB/Swiss-Prot;Acc:Q8IUM7]	NPAS4
ENSG00000184608	1.755888036	Uncharacterized protein C8orf12 [Source:UniProtKB/Swiss-Prot;Acc:Q96KT0]	C8orf12
ENSG00000147647	1.754644316	Dihydropyrimidinase (EC 3.5.2.2) (DHPase) (DHP) (Dihydropyrimidine amidohydrolase) (Hydantoinase) [Source:UniProtKB/Swiss-Prot;Acc:Q14117]	DPYS
ENSG00000188352	1.752924558	Uncharacterized protein KIAA1797 [Source:UniProtKB/Swiss-Prot;Acc:Q5VW36]	KIAA1797
ENSG00000101138	1.748644576	Cleavage stimulation factor 50 kDa subunit (CSTF 50 kDa subunit) (CF-1 50 kDa subunit) (CstF-50) [Source:UniProtKB/Swiss-Prot;Acc:Q05048]	CSTF1
ENSG00000064961	1.747566346	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1-related (SMARCE1-related protein) (HMG box-containing protein 20B) (Structural DNA-binding protein BRAF35) [Source:UniProtKB/Swiss-Prot;Acc:Q9P0W2]	HMG20B
ENSG00000107331	1.742573752	ATP-binding cassette sub-family A member 2 (ATP-binding cassette transporter 2) (ATP-binding cassette 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9BZC7]	ABCA2
ENSG00000205667	1.740104463	Arylsulfatase H (EC 3.1.6.-) (ASH) [Source:UniProtKB/Swiss-Prot;Acc:Q5FYA8]	ARSH
ENSG00000111199	1.739713881	Transient receptor potential cation channel subfamily V member 4 (TrpV4) (Osm-9-like TRP channel 4) (OTRPC4) (Vanilloid receptor-like channel 2) (Vanilloid receptor-like protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9HBA0]	TRPV4
ENSG00000120332	1.73621991	Tenascin-N Precursor  (TN-N) [Source:UniProtKB/Swiss-Prot;Acc:Q9UQP3]	TNN
ENSG00000108825	1.736145924	Alanyl-tRNA synthetase domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9BTE6]	AARSD1
ENSG00000105443	1.736064805	Cytohesin-2 (PH, SEC7 and coiled-coil domain-containing protein 2) (ARF nucleotide-binding site opener) (Protein ARNO) (ARF exchange factor) [Source:UniProtKB/Swiss-Prot;Acc:Q99418]	PSCD2
ENSG00000173064	1.734963094	Transmembrane protein C12orf51 [Source:UniProtKB/Swiss-Prot;Acc:Q3MJD5]	C12orf51
ENSG00000140992	1.734832188	3-phosphoinositide-dependent protein kinase 1 (EC 2.7.11.1) (hPDK1) [Source:UniProtKB/Swiss-Prot;Acc:O15530]	PDPK1
ENSG00000182511	1.733825014	Proto-oncogene tyrosine-protein kinase Fes/Fps (EC 2.7.10.2) (C-Fes) [Source:UniProtKB/Swiss-Prot;Acc:P07332]	FES
ENSG00000120324	1.733763691	Protocadherin beta-10 Precursor  (PCDH-beta-10) [Source:UniProtKB/Swiss-Prot;Acc:Q9UN67]	PCDHB10
ENSG00000139574	1.730519976	FMRFamide-related peptides Precursor  (NPSF) (NPFF) (NPAF)[Neuropeptide SF][Neuropeptide FF][Neuropeptide AF] [Source:UniProtKB/Swiss-Prot;Acc:O15130]	NPFF
ENSG00000199097	1.730449072	hsa-mir-424 [Source:miRBase;Acc:MI0001446]	hsa-mir-424
ENSG00000166822	1.727030879	Transmembrane protein 170 [Source:UniProtKB/Swiss-Prot;Acc:Q8WVE7]	TMEM170A
ENSG00000186143	1.72578296	Uncharacterized protein C2orf53 [Source:UniProtKB/Swiss-Prot;Acc:Q53SZ7]	C2orf53
ENSG00000137478	1.723921264	FCH and double SH3 domains protein 2 (SH3 multiple domains protein 3) (Carom) [Source:UniProtKB/Swiss-Prot;Acc:O94868]	FCHSD2
ENSG00000198033	1.722083203	Tubulin alpha-3C/D chain (Alpha-tubulin 3C/D) (Tubulin alpha-2 chain) (Alpha-tubulin 2) [Source:UniProtKB/Swiss-Prot;Acc:Q13748]	TUBA3C
ENSG00000196966	1.721404369	Histone H3.1 (H3/a) (H3/b) (H3/c) (H3/d) (H3/f) (H3/h) (H3/i) (H3/j) (H3/k) (H3/l) [Source:UniProtKB/Swiss-Prot;Acc:P68431]	HIST1H3E
ENSG00000104825	1.72127694	NF-kappa-B inhibitor beta (NF-kappa-BIB) (I-kappa-B-beta) (IkappaBbeta) (IkB-beta) (IkB-B) (Thyroid receptor-interacting protein 9) (TR-interacting protein 9) (TRIP-9) [Source:UniProtKB/Swiss-Prot;Acc:Q15653]	NFKBIB
ENSG00000082515	1.721084698	39S ribosomal protein L22, mitochondrial Precursor  (L22mt) (MRP-L22) (MRP-L25) [Source:UniProtKB/Swiss-Prot;Acc:Q9NWU5]	MRPL22
ENSG00000115008	1.720552085	Interleukin-1 alpha Precursor  (IL-1 alpha) (Hematopoietin-1) [Source:UniProtKB/Swiss-Prot;Acc:P01583]	IL1A
ENSG00000152977	1.720495021	Zinc finger protein ZIC 1 (Zinc finger protein of the cerebellum 1) [Source:UniProtKB/Swiss-Prot;Acc:Q15915]	ZIC1
ENSG00000011201	1.719195314	Anosmin-1 Precursor  (Kallmann syndrome protein) (Adhesion molecule-like X-linked) [Source:UniProtKB/Swiss-Prot;Acc:P23352]	KAL1
ENSG00000178021	1.718455465	Testis-specific Y-encoded-like protein 6 (TSPY-like protein 6) [Source:UniProtKB/Swiss-Prot;Acc:Q8N831]	TSPYL6
ENSG00000132259	1.716518829	Cyclic nucleotide-gated cation channel alpha-4 (CNG channel alpha-4) (CNG-4) (CNG4) [Source:UniProtKB/Swiss-Prot;Acc:Q8IV77]	CNGA4
ENSG00000144355	1.714071063	Homeobox protein DLX-1 [Source:UniProtKB/Swiss-Prot;Acc:P56177]	DLX1
ENSG00000160299	1.713848392	Pericentrin (Pericentrin B) (Kendrin) [Source:UniProtKB/Swiss-Prot;Acc:O95613]	PCNT
ENSG00000057019	1.713761356	Discoidin, CUB and LCCL domain-containing protein 2 Precursor  (Endothelial and smooth muscle cell-derived neuropilin-like protein) (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q96PD2]	DCBLD2
ENSG00000084693	1.712013166	Cytosolic carboxypeptidase-like protein 5 (ATP/GTP-binding protein-like 5) [Source:UniProtKB/Swiss-Prot;Acc:Q8NDL9]	AGBL5
ENSG00000105486	1.710747014	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1) [Source:UniProtKB/Swiss-Prot;Acc:P18858]	LIG1
ENSG00000116151	1.709990853	MORN repeat-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q5T089]	MORN1
ENSG00000136802	1.709397324	Leucine-rich repeat-containing protein 8A [Source:UniProtKB/Swiss-Prot;Acc:Q8IWT6]	LRRC8A
ENSG00000155115	1.708711121	General transcription factor 3C polypeptide 6 (Transcription factor IIIC subunit 6) (TFIIIC 35 kDa subunit) (TFIIIC35) [Source:UniProtKB/Swiss-Prot;Acc:Q969F1]	C6orf51
ENSG00000177408	1.708654709		ENSG00000177408
ENSG00000129170	1.705815698	Cysteine and glycine-rich protein 3 (Cysteine-rich protein 3) (CRP3) (LIM domain protein, cardiac) (Muscle LIM protein) [Source:UniProtKB/Swiss-Prot;Acc:P50461]	CSRP3
ENSG00000179578	1.701163907		ENSG00000179578
ENSG00000177181	1.699061269	Ribosomal protein S6 modification-like protein A [Source:UniProtKB/Swiss-Prot;Acc:Q8IXN7]	FAM80A
ENSG00000130748	1.698600541	Transmembrane protein 160 [Source:UniProtKB/Swiss-Prot;Acc:Q9NX00]	TMEM160
ENSG00000184381	1.697502478	85 kDa calcium-independent phospholipase A2 (EC 3.1.1.4) (CaI-PLA2) (iPLA2) (Group VI phospholipase A2) (GVI PLA2) [Source:UniProtKB/Swiss-Prot;Acc:O60733]	PLA2G6
ENSG00000135472	1.69715765	Fas apoptotic inhibitory molecule 2 (Protein lifeguard) (Transmembrane BAX inhibitor motif-containing protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q9BWQ8]	FAIM2
ENSG00000099783	1.696986166	Heterogeneous nuclear ribonucleoprotein M (hnRNP M) [Source:UniProtKB/Swiss-Prot;Acc:P52272]	HNRNPM
ENSG00000185156	1.696729661	major facilitator superfamily domain containing 6-like [Homo sapiens]	MFSDL6
ENSG00000187033	1.694776382	Sterile alpha motif domain-containing protein 7 [Source:UniProtKB/Swiss-Prot;Acc:Q7Z3H4]	SAMD7
ENSG00000163412	1.691076585	Eukaryotic translation initiation factor 4E type 3 (eIF-4E type 3) (eIF4E type 3) (eIF4E-3) (eIF-4E3) [Source:UniProtKB/Swiss-Prot;Acc:Q8N5X7]	EIF4E3
ENSG00000141946	1.689476221	Zinc finger imprinted 3 [Source:UniProtKB/Swiss-Prot;Acc:Q96PE6]	ZIM3
ENSG00000204007	1.687418547	Glycosyltransferase 6 domain-containing protein 1 (EC 2.4.1.-) (Galactosyltransferase family 6 domain-containing 1) [Source:UniProtKB/Swiss-Prot;Acc:Q7Z4J2]	GLT6D1
