hg18.refGene.name	chrom	strand	start	end	gene symbol	E3Diff	E6Diff	E9Diff	E12Diff	E24Diff	E48Diff	?with RNAPII peaks +/- 1Kb around TSS
NM_019903	chr10	+	111755715	111885313	ADD3	0.053	-0.5394	-0.4086	-0.1976	0.01	-0.1417	No
NM_001122	chr9	-	19105758	19117573	ADFP	-0.5137	-0.1249	-0.2781	-0.2888	-0.5127	-0.2599	Yes
NM_001124	chr11	+	10283217	10285499	ADM	-0.8295	-0.6054	-0.9059	-1.0007	-0.9461	-1.4529	Yes
NM_181442	chr20	-	48940289	48980934	ADNP	-0.3209	-0.5344	-0.0238	-0.0504	0.1921	0.2226	Yes
NM_000676	chr17	+	15788955	15819935	ADORA2B	-0.5353	-0.1906	-0.172	-0.2621	-0.0708	0.1524	Yes
NM_001001936	chr10	-	116044572	116154505	AFAP1L2	-0.0399	-0.4401	-0.4605	0.011	0.3175	0.762	No
NM_000027	chr4	-	178588917	178600585	AGA	-0.2076	-0.5157	-0.1187	-0.1554	0.1229	0.0121	Yes
NM_020731	chr5	+	357290	491405	AHRR	-0.6207	-2.1219	-1.3417	-1.2999	-1.557	-2.7341	No
NM_001624	chr6	+	107066422	107125027	AIM1	-0.3659	-1.1395	-0.2729	-0.5038	-0.2963	0.6032	No
NM_001012398	chr16	-	52082692	52094671	AKTIP	-0.5411	-0.7028	-0.3042	-0.4008	-0.1046	-0.0455	Yes
NM_000031	chr9	-	115188412	115203439	ALAD	-0.6308	-0.5263	-0.7573	-0.8689	-0.5225	-0.5462	Yes
NM_000693	chr15	+	99237531	99274353	ALDH1A3	-0.3733	-0.8456	-0.8578	-1.1111	-1.6991	-2.8402	Yes
NM_000691	chr17	-	19581891	19592338	ALDH3A1	0.1484	-0.6924	-0.5786	-0.9947	-0.2539	-0.4857	No
NM_001031615	chr11	-	67186208	67205261	ALDH3B2	-0.2722	-0.2855	-0.4332	-0.7932	-0.5703	-0.4585	No
NM_001080	chr6	+	24603175	24645414	ALDH5A1	-0.3922	-0.4533	0.024	0.0239	-0.1379	0.123	Yes
NM_005589	chr14	-	73596624	73620949	ALDH6A1	-0.3047	-0.2112	-0.3007	-0.4631	-0.1428	0.457	Yes
NM_000696	chr1	-	163898072	163934524	ALDH9A1	-0.3169	-0.5129	-0.1482	-0.1536	0.0512	0.5158	Yes
NM_139178	chr11	+	43858932	43898401	ALKBH3	-0.4196	-0.6274	-8.00E-04	-0.1934	0.0014	0.3955	Yes
NM_020703	chr1	-	109850968	109853859	AMIGO1	-0.5569	-0.2816	-0.0881	-0.1511	-0.6378	-0.4568	Yes
NM_181847	chr12	-	45755757	45760001	AMIGO2	-0.2127	-0.5786	-0.078	-0.1061	0.45	1.0744	Yes
NM_031445	chr2	-	128335675	128358904	AMMECR1L	-0.465	-0.8325	-0.1206	-0.2357	-0.3078	-0.2772	Yes
NM_016201	chr3	-	135556879	135576096	AMOTL2	-0.6388	-0.6589	-0.338	-0.2132	-0.3288	-0.158	Yes
NM_139314	chr19	+	8335010	8345257	ANGPTL4	-0.3061	-0.3592	-0.2013	-0.6982	-0.2792	-0.9378	Yes
NM_020987	chr10	-	61458164	61819494	ANK3	-0.1384	-0.4315	-0.3195	-0.4957	-0.3238	-0.0461	No
NM_019004	chr7	+	91713483	91868634	ANKIB1	-0.1937	-0.5067	-0.1954	0.1021	0.2244	-0.1231	Yes
NM_020319	chr7	-	16605936	16651923	ANKMY2	-0.2771	-0.4853	-0.364	-0.4283	-0.0987	0.0988	Yes
NM_023039	chr5	-	72883918	72897254	ANKRA2	-0.2153	-0.642	-0.5898	-0.3201	-0.242	-0.0019	Yes
NM_198889	chr4	-	74159365	74343366	ANKRD17	-0.4661	-0.3436	-8.00E-04	0.3779	0.1897	-0.0075	Yes
NM_144698	chr1	+	144260565	144279883	ANKRD35	-0.3622	-0.5342	-0.4083	-0.5557	-0.7547	-0.3457	No
NM_020337	chr4	-	125804915	125851382	ANKRD50	-0.5852	-0.6459	-0.5139	-0.4906	-0.3719	-0.6946	Yes
NM_015245	chr6	+	34965015	35167168	ANKS1A	-0.4558	-0.5192	-0.2121	-0.107	-0.007	-0.2711	Yes
NM_005139	chr4	+	79691765	79750629	ANXA3	-0.0052	-0.3697	-0.5839	-0.5752	-0.5818	-0.8993	Yes
NM_001153	chr2	+	69822630	69907100	ANXA4	-0.2241	-0.3221	-0.2863	-0.455	-0.5033	-0.0222	Yes
NM_001128	chr16	-	70320405	70400477	AP1G1	-0.6129	-0.5137	-0.0764	-0.3349	-0.0411	0.2085	Yes
NM_001030006	chr17	+	30938394	31077549	AP2B1	-0.4111	-0.6533	0.0363	-0.2518	-0.0057	0.5028	Yes
NM_153000	chr18	+	10444624	10478698	APCDD1	0.1971	-0.8031	-0.5811	-0.4374	-0.8898	-1.2981	Yes
NM_198544	chr1	+	10412745	10434797	APITD1	-0.2012	-0.9625	0.105	0.0142	0.646	0.852	Yes
NM_001642	chr11	+	129444925	129519915	APLP2	-0.399	-0.471	-0.2433	-0.2239	-0.229	-0.0365	Yes
NM_004900	chr22	+	37708350	37718729	APOBEC3B	-0.2173	-0.6021	-0.9556	-1.3983	-1.5236	-0.5039	No
NM_000484	chr21	-	26174732	26465009	APP	-0.3221	-0.2604	-0.2241	-0.3958	-0.248	-0.3743	Yes
NM_018171	chr12	-	104091204	104154138	APPL2	-0.5082	-0.973	-0.144	-0.4694	-0.2189	-0.1875	Yes
NM_173039	chr11	+	76978327	76998341	AQP11	0.1443	-0.9155	-0.2662	-0.2761	0.2177	0.7229	Yes
NM_014570	chr22	-	41522475	41583352	ARFGAP3	-0.0683	-0.6434	-0.3079	-0.0483	-0.4396	-0.0984	Yes
NM_018287	chr10	-	32135230	32257776	ARHGAP12	-0.3614	-0.4376	-0.2853	-0.1289	-0.1743	-1.0108	Yes
NM_001128615	chr3	-	56736485	57088376	ARHGEF3	-0.5755	-0.7927	-0.3125	-0.2221	-0.384	-0.0282	Yes
NM_005435	chr7	+	143683421	143708658	ARHGEF5	-0.4061	-0.2451	-0.2112	-0.2357	-0.3453	-0.5158	No
NM_139135	chr1	+	26895108	26981188	ARID1A	-0.3557	-0.3595	-0.176	0.115	-0.0082	-0.064	Yes
NM_005744	chr15	+	70553720	70665950	ARIH1	-0.5357	-0.5426	-0.0428	-0.034	0.1758	0.0683	Yes
NM_001040025	chr17	-	77258628	77261359	ARL16	-0.0809	-1.0038	0.0989	-0.3176	-0.1308	-0.3163	Yes
NM_001037164	chr7	+	12693005	12697083	ARL4A	-0.7923	-0.2793	-0.0532	0.0018	0.1444	0.5425	Yes
NM_005737	chr2	-	235066424	235070432	ARL4C	-0.4931	-0.7285	-0.3678	-0.308	-0.2977	-0.4041	Yes
NM_015161	chr16	-	18710491	18720358	ARL6IP1	-0.0636	-0.744	-0.2637	-0.0284	0.1949	0.5199	Yes
NM_006407	chr3	+	69216779	69237929	ARL6IP5	-0.457	-0.5374	-0.3049	-0.4975	-0.1017	0.4048	Yes
NM_018184	chr3	+	5138929	5197601	ARL8B	-0.3251	-0.3923	-0.2809	-0.127	-0.07	0.0479	Yes
NM_018120	chr8	-	66677627	66708986	ARMC1	-0.3663	-0.4414	-0.1342	-0.0029	0.192	0.1737	Yes
NM_016608	chrX	+	100692169	100696331	ARMCX1	-0.7546	-0.6324	-0.1994	-0.3584	0.2014	1.4522	Yes
NM_177947	chrX	+	100764775	100769487	ARMCX3	-0.3946	-0.4464	-0.551	-0.2344	0.1035	0.3537	Yes
NM_178426	chr1	-	149048809	149115810	ARNT	-0.3825	-0.5778	-0.1675	-0.3523	-0.1079	0.1919	Yes
NM_001030273	chr11	+	13255900	13365388	ARNTL	-0.1671	-0.554	-0.1081	-0.0459	0.2073	0.0527	Yes
NM_006409	chr7	+	98761445	98801821	ARPC1A	-0.2405	-0.4543	-0.1814	-0.1237	-0.0373	0.3673	Yes
NM_005719	chr12	-	109357088	109372541	ARPC3	-0.0542	-0.6477	-0.2293	-0.227	-0.0741	0.1626	Yes
NM_005717	chr1	-	181861954	181871608	ARPC5	-0.3494	-0.4467	-0.1622	-0.144	-0.0653	0.1182	Yes
NM_183376	chr15	+	96304936	96318072	ARRDC4	0.0757	-0.713	-0.2304	0.4746	-0.0111	0.2576	Yes
NM_001669	chrX	-	2832010	2857392	ARSD	-0.169	-0.6387	-0.3526	-0.5744	-0.6368	-0.2897	Yes
NM_004042	chrX	+	2994852	3040747	ARSF	-0.4189	-0.474	-0.3425	-0.2938	0.2283	0.0197	No
NM_014960	chr17	+	63766917	63928595	ARSG	-0.3503	-0.6289	-0.0371	-0.0448	-0.2563	-0.2182	Yes
NM_001127505	chr8	-	17958204	17986787	ASAH1	-0.221	-0.4453	-0.223	-0.364	-0.4539	-0.6619	Yes
NM_001031739	chrX	-	15172029	15198154	ASB9	-0.4683	-0.88	-0.3527	-0.3732	-0.3916	0.4083	No
NM_015947	chr10	-	73526283	73645700	ASCC1	-0.6036	-0.8644	-0.1535	-0.4841	-0.1633	0.1659	Yes
NM_004707	chr5	-	115193714	115205398	ATG12	-0.123	-0.5747	-0.1193	0.0128	0.4131	0.3612	Yes
NM_178270	chrX	+	107221589	107284552	ATG4A	-0.3184	-0.6381	-0.3026	-0.0898	-0.3359	-0.0724	Yes
NM_001001787	chr1	+	167342570	167368584	ATP1B1	-0.6373	-0.3024	-0.2697	-0.2139	-0.2338	-0.5382	Yes
NM_174958	chr17	-	3773917	3814485	ATP2A3	-0.4338	-0.1582	-0.3075	-0.3554	-0.499	-0.6735	Yes
NM_001682	chr12	-	88505956	88573975	ATP2B1	-0.4775	-0.5269	-0.214	0.1458	0.2361	-1.0998	No
NM_005177	chr17	+	37864387	37928123	ATP6V0A1	-0.4983	-0.3635	0.0615	0.0019	-0.2426	-0.0275	Yes
NM_001690	chr3	+	114948597	115013593	ATP6V1A	-0.3362	-0.4362	-0.0575	-0.141	-0.1929	0.1988	Yes
NM_001693	chr8	+	20098983	20123487	ATP6V1B2	-0.4638	-0.6007	-0.0959	-0.2769	-0.2004	0.0949	Yes
NM_006045	chr20	-	49646720	49818315	ATP9A	-0.5983	-0.5509	-0.4162	-0.4068	-0.5124	-0.5202	Yes
NM_139321	chr20	+	3399664	3579769	ATRN	-0.54	-0.3349	-0.0205	-0.1887	0.0524	0.3207	Yes
NM_002973	chr12	-	110374400	110521863	ATXN2	-0.743	-0.7036	-0.0601	-0.1889	0.2167	-0.0674	Yes
NM_020218	chr17	-	39624698	39631055	ATXN7L3	-0.3178	-0.2477	-0.2699	-0.0203	-0.1367	-0.3043	Yes
NM_212543	chr3	-	120413278	120442442	B4GALT4	-0.3517	-0.5511	-0.3251	-0.3535	-0.302	-0.262	Yes
NM_012104	chr11	-	116661624	116692182	BACE1	-0.2923	-0.3995	-0.2102	-0.2212	-0.3067	-0.6458	Yes
NM_001188	chr6	-	33648300	33656048	BAK1	-0.2836	-0.4118	-0.7338	-0.7472	-1.1134	-1.602	Yes
NM_012342	chr10	+	29006429	29011874	BAMBI	-0.3818	-0.5461	-0.4296	-0.4909	-0.7083	-1.3785	Yes
NM_021570	chr9	-	95753729	95757429	BARX1	-0.7503	0.1173	-0.3941	0.2696	0.1368	-0.0876	No
NM_006317	chr5	+	17270749	17329943	BASP1	-0.4864	-0.9762	-0.5695	-0.6581	-0.4871	-0.6947	Yes
NM_031885	chr16	-	55075759	55111509	BBS2	-0.5486	-0.5856	-0.2322	-0.4391	0.2292	0.2223	Yes
NM_033028	chr15	+	70765578	70817869	BBS4	-0.2449	-0.5112	-0.1724	-0.0514	-0.1139	-0.0098	Yes
NM_003567	chr1	-	93799936	93919973	BCAR3	-0.6344	-0.3267	0.0087	-0.5067	-0.6807	-0.2252	Yes
NM_181708	chr12	-	48516093	48523179	BCDIN3D	-0.4179	-0.3892	-0.3528	-0.3505	-0.1576	0.1102	Yes
NM_183050	chr6	+	80873062	81112706	BCKDHB	-0.3452	-0.3188	-0.1938	-0.343	-0.0593	0.0405	Yes
NM_138578	chr20	-	29715921	29774317	BCL2L1	-0.3013	-0.3635	-0.3925	-0.3456	-0.5407	-0.6987	Yes
NM_001706	chr3	-	188921858	188946169	BCL6	-0.257	-0.4623	-0.1643	-0.2613	-0.053	-0.0816	Yes
NM_182557	chr11	-	118272060	118286823	BCL9L	-0.82	-0.4536	-0.2984	-0.1917	-0.4441	-0.8437	Yes
NM_000710	chr14	+	95792311	95800853	BDKRB1	-0.4014	-0.2347	-0.2015	0.1757	0.1415	0.3822	No
NM_032621	chrX	-	102450929	102452601	BEX2	-0.3438	-0.6559	0.056	-0.0899	-0.1661	0.1553	Yes
NM_001197	chr22	+	41836700	41855662	BIK	-0.0313	-0.3919	-0.8079	-1.0133	-1.2356	-1.3139	Yes
NM_013314	chr10	-	97941444	98021323	BLNK	-0.6967	-0.4542	-0.2383	-0.6997	-0.6169	0.2076	Yes
NM_001003940	chr15	-	38167382	38188367	BMF	-0.731	-0.7826	-0.4128	-0.9358	-1.5351	-1.4095	Yes
NM_001202	chr14	-	53486204	53493304	BMP4	-0.6204	-0.2887	-0.058	0.3379	0.0582	-0.1756	Yes
NM_004052	chr10	-	133631193	133645425	BNIP3	-0.2551	-0.4076	-0.1447	-0.126	0.2609	0.7185	Yes
NM_199186	chr7	+	133982070	134015105	BPGM	-0.3363	-0.3306	-0.2906	-0.6071	-0.0403	0.0847	Yes
NM_182641	chr17	+	63252241	63410956	BPTF	-0.1569	-0.4299	-0.3308	0.1666	0.4429	-0.286	Yes
NM_006768	chr12	-	110564332	110608173	BRAP	-0.3518	-0.5811	0.0145	-0.2209	-0.0085	0.0753	Yes
NM_014577	chr22	-	48552940	48604456	BRD1	-0.6572	-0.6871	-0.1556	-0.1708	-0.304	-0.0562	No
NM_005104	chr6	+	33044414	33057260	BRD2	-0.4205	-0.3478	-0.1324	0.1475	0.0586	0.007	No
NM_013263	chr16	-	48910441	48960330	BRD7	-0.3686	-0.3209	-0.1256	0.2393	0.2825	0.2066	Yes
NM_004335	chr19	-	17374754	17377384	BST2	-0.4104	-0.7649	-0.4	-0.9615	-0.9801	-1.1364	Yes
NM_032320	chr11	-	13366131	13441414	BTBD10	-0.0638	-0.6993	-0.1771	-0.1209	0.1101	0.0656	Yes
NM_181443	chr20	+	11819476	11855243	BTBD3	-0.6543	-0.6758	-0.0666	-0.0132	0.2783	-0.2161	Yes
NM_001002860	chr14	-	92773648	92869138	BTBD7	-0.3485	-0.4114	-0.1842	0.1403	0.0302	-0.2445	Yes
NM_001731	chr12	-	91058186	91063804	BTG1	-0.5938	-0.6373	-0.3182	-0.416	-0.3562	-0.2124	Yes
NM_006763	chr1	+	201541286	201545352	BTG2	-0.8158	-0.4466	-0.4144	-0.9467	-1.067	-1.359	Yes
NM_144591	chr10	+	104603956	104614708	C10orf32	0.0035	-0.723	-0.3081	-0.2362	-0.188	0.2107	Yes
NM_024541	chr10	-	103595345	103805922	C10orf76	-0.1549	-0.5507	-0.2012	-0.1772	-0.0186	0.1369	Yes
NM_024942	chr10	-	124680408	124703909	C10orf88	-0.1877	-0.4862	-0.2417	-0.0369	-0.0504	0.2069	Yes
NM_080659	chr11	+	111294810	111302805	C11orf52	-0.2041	-0.8165	-0.1289	-0.9269	-0.429	0.0238	Yes
NM_019021	chr11	-	113767379	113776349	C11orf71	-0.1753	-0.5085	-0.2272	-0.4967	-0.3581	0.2972	Yes
NM_152261	chr12	+	105873673	105891941	C12orf23	0.0496	-0.5358	-0.6475	-0.14	-0.0553	-0.2188	Yes
NM_032230	chr12	+	81276454	81397076	C12orf26	-0.4274	-0.5685	-0.3282	-0.5491	-0.3815	0.0019	Yes
NR_023922	chr14	-	23477779	23494138	C14orf167	-0.0873	-0.6865	-0.4209	-0.3082	0.4464	0.6133	Yes
NM_001017923	chr14	+	44436256	44446210	C14orf28	-0.4244	-0.5516	-0.1133	-0.8089	-0.1401	0.0139	Yes
NM_024496	chr14	-	76560638	76564787	C14orf4	-0.5289	-0.6036	-0.477	-0.6443	-0.3554	-0.4302	Yes
NM_001043318	chr14	-	73251577	73323649	C14orf43	-0.3201	-0.5775	0.0263	-0.2979	-0.2027	-0.3925	Yes
NM_021944	chr14	-	22525950	22549200	C14orf93	-0.4716	-0.1563	-0.6241	-0.3453	-0.2199	0.5894	Yes
NM_175898	chr15	+	78002167	78004249	C15orf37	-0.2932	-0.5011	-0.0486	-0.3224	-0.0293	0.0129	Yes
NM_004913	chr16	-	88301041	88314895	C16orf7	0.0036	-1.0787	-0.4233	-0.4028	-0.7614	-0.669	Yes
NM_178542	chr17	-	39608877	39619608	C17orf65	-0.4862	-0.3595	-0.0355	-0.093	0.1663	-0.2066	Yes
NM_001114118	chr17	-	3661208	3696289	C17orf85	-0.2839	-0.4471	-0.1169	0.0152	0.1032	0.392	Yes
NM_181482	chr18	+	13208785	13642753	C18orf1	-0.3377	-0.4339	-0.1742	-0.1071	-0.4395	-0.7475	No
NM_173481	chr19	+	702145	715318	C19orf21	-0.5893	-0.1024	-0.3341	-0.4702	-0.753	-0.9615	Yes
NM_173177	chr2	-	68122835	68143663	C1D	-0.1673	-0.7134	-0.1822	-0.084	0.16	0.0153	Yes
NM_018265	chr1	+	199127261	199151486	C1orf106	-0.4601	-0.4662	-0.7554	-0.9545	-0.9293	-1.5111	Yes
NM_018186	chr1	+	168031173	168088853	C1orf112	-0.9606	-0.4781	0.0852	0.0571	0.5851	1.1372	Yes
NM_024676	chr1	+	36545294	36559535	C1orf113	-0.2999	-0.3829	-0.2453	-0.2654	-0.2244	0.1612	Yes
NM_024709	chr1	+	218930250	218939122	C1orf115	-0.4561	-0.8332	-0.3386	-0.7288	-0.9044	-0.5798	Yes
NM_033418	chr1	-	168028295	168030655	C1orf156	-0.8241	-0.5034	-0.1052	-0.2176	0.3433	-0.7521	Yes
NM_178122	chr1	-	24556075	24600536	C1orf201	-0.386	0.0032	-0.4164	-0.1789	0.03	0.1127	No
NM_182517	chr1	-	43520143	43523837	C1orf210	0.0147	-0.589	-0.345	-0.4194	-0.3464	0.2328	Yes
NM_001024594	chr1	+	196138304	196143118	C1orf53	-0.2681	-0.4914	-0.1727	-0.2143	-0.1527	0.4779	Yes
NR_003678	chr20	-	26032051	26042677	C20orf191	-0.1871	-0.4244	-0.1916	0.02	-0.073	-0.2048	No
NM_001009984	chr20	-	3177947	3336255	C20orf194	-0.3228	-0.4989	-0.1147	-0.1859	-0.2	-0.0113	Yes
NM_001009923	chr20	-	5028483	5041733	C20orf30	-0.292	-0.3803	-0.1504	-0.2292	-0.0881	0.3872	Yes
NM_052865	chr20	+	17897761	17919762	C20orf72	-0.3218	-0.5046	0.0219	-0.0454	0.4979	0.7521	Yes
NM_001009608	chr20	+	10363950	10552027	C20orf94	-0.2794	-0.4898	-0.1149	0.2191	0.0634	-0.4346	Yes
NM_017546	chr2	+	101235776	101253210	C2orf29	-0.3811	-0.5087	0.0023	-0.1047	0.0988	0.1457	Yes
NM_001085437	chr2	-	241474137	241484246	C2orf54	-0.632	-0.0581	-0.516	-0.0576	-0.3782	-0.4758	No
NM_207362	chr2	-	98776740	98919116	C2orf55	-0.3338	-0.4123	-0.5475	-0.7336	-0.489	-0.1632	Yes
NM_016589	chr3	+	120700057	120725815	C3orf1	-0.3009	-0.5417	-0.025	-0.2548	-0.1711	0.2291	Yes
NM_173826	chr3	+	44354947	44425944	C3orf23	-0.4883	-0.2597	-0.0782	-0.216	0.0442	0.3608	Yes
NM_003704	chr4	+	2596956	2704100	C4orf8	-0.6591	-0.98	0.1917	0.138	0.0405	0.0366	No
NM_004772	chr5	-	111092900	111120844	C5orf13	-0.1997	-0.3145	-0.3075	-0.245	-0.1966	0.0035	Yes
NM_024294	chr6	-	34663047	34772603	C6orf106	-0.6494	-0.3649	-0.1774	0.0156	0.0986	0.0021	Yes
NM_021243	chr6	+	139391511	139406132	C6orf115	-0.0199	-0.3525	-0.54	-0.3591	-0.2475	-0.0454	Yes
NM_001031743	chr6	+	88174439	88230902	C6orf165	-0.507	-0.7162	-0.8587	-0.4667	-0.6948	-0.2386	Yes
NM_001040437	chr6	+	31910671	31915520	C6orf48	-0.2974	-0.4648	-0.0555	-0.3212	-0.0375	-0.0405	No
NM_145267	chr6	+	71333345	71355327	C6orf57	-0.3172	-0.4856	-0.1086	-0.1448	-0.0836	0.8425	Yes
NM_138785	chr6	+	149929220	149953760	C6orf72	-0.2105	-0.5764	-0.0464	0.0126	0.0779	0.2244	Yes
NR_023390	chr9	-	97608190	97678080	C9orf130	-0.2623	-0.3445	-0.1863	-0.1157	0.0049	0.0701	Yes
NM_032823	chr9	+	96528814	96889262	C9orf3	-0.2776	-0.362	-0.1542	0.0201	-0.1253	-0.0528	Yes
NM_032307	chr9	-	85743046	85761483	C9orf64	-0.0663	-0.4384	-0.2949	-0.0673	-0.128	0.168	Yes
NM_152569	chr9	-	203107	205893	C9orf66	-0.5651	-0.5669	-0.2678	-0.6006	-0.081	0.2986	Yes
NM_017586	chr9	+	135314907	135325730	C9orf7	-0.1922	-0.2505	-0.3943	-0.5262	-0.8126	-0.9642	Yes
NM_007220	chrX	+	15666332	15715669	CA5B	-0.4622	-0.544	-0.4975	-0.5958	-0.7636	-0.6842	Yes
NM_016289	chr2	+	231285800	231394033	CAB39	-0.6075	-1.067	-0.3018	-0.1975	-0.3476	-1.1524	Yes
NR_023359	chr18	+	18968525	19094432	CABLES1	-0.4001	-0.3874	-0.1079	-0.0606	-0.1736	-0.3113	Yes
NM_020898	chr12	-	52391169	52407574	CALCOCO1	-0.4817	-0.3247	-0.3295	-0.5321	-0.8481	0.27	Yes
NM_153498	chr10	+	12431588	12911739	CAMK1D	-0.1251	-0.6365	-0.2197	-0.4182	-0.8158	-0.9653	Yes
NM_018584	chr1	-	20681470	20685315	CAMK2N1	-0.4358	-0.5396	-0.5533	-0.6036	-0.6466	-1.1916	Yes
NM_004055	chr11	+	76455639	76514846	CAPN5	-0.0428	-0.0887	-0.6652	-0.8144	-0.8955	-0.9622	Yes
NM_001229	chr1	-	15691381	15723377	CASP9	-0.3802	-0.6721	-0.6296	-0.6989	-0.8551	-0.7111	Yes
NM_001042442	chr5	+	96023696	96136141	CAST	-0.1426	-0.4932	-0.2884	-0.2788	-0.061	-0.1693	Yes
NM_001752	chr11	+	34417053	34450183	CAT	-0.1726	-0.5013	-0.1613	-0.258	-0.2011	0.1264	Yes
NM_006077	chr10	-	73797103	74055905	CBARA1	-0.4171	-0.7537	-0.3629	-0.4059	-0.1027	0.3327	Yes
NM_001032999	chr20	+	31541588	31701498	CBFA2T2	-0.2104	-0.4003	-0.2121	0.0087	0.0631	-0.0529	Yes
NM_170662	chr3	-	106859798	107070577	CBLB	-0.4399	-0.2538	-0.1767	-0.2969	-0.2479	-0.2104	Yes
NM_003655	chr17	-	75421549	75427808	CBX4	-0.4228	-0.4672	-0.3271	-0.0639	-0.2576	-0.2764	Yes
NM_014292	chr22	-	37590193	37598204	CBX6	-0.0645	-0.2998	-0.481	-0.4279	-0.3623	-0.716	Yes
NM_020649	chr17	-	75382770	75385485	CBX8	-0.7692	-0.2477	-0.105	0.0168	-0.0768	-0.0922	Yes
NM_138357	chr10	+	74121894	74317458	CCDC109A	-0.3675	-0.39	-0.1525	-0.2102	-0.1267	-0.0537	Yes
NM_015439	chr6	+	139136349	139156149	CCDC28A	-0.6585	-0.6314	-0.4366	-0.4975	-0.0034	-0.3555	Yes
NM_016053	chr12	-	100930847	100980029	CCDC53	0.0696	-0.6405	-0.5952	-0.7463	-0.1014	0.3374	Yes
NM_005436	chr10	-	61218526	61336824	CCDC6	-0.479	-0.5008	-0.0119	-0.1103	-0.0287	-0.108	Yes
NM_173556	chr11	+	85243791	85308699	CCDC83	-0.3162	-0.4158	-0.5319	-0.3096	-0.3112	-0.8011	Yes
NM_025140	chr12	-	122986907	123023116	CCDC92	-0.1281	-0.4581	-0.3143	-0.3123	-0.3707	-0.4331	Yes
NM_017785	chr5	+	168943215	168964359	CCDC99	-0.595	-0.5342	0.2232	0.6155	0.8863	0.726	Yes
NM_012142	chr15	+	41264757	41275520	CCNDBP1	-0.3395	-0.655	-0.499	-0.8022	-0.6763	0.0089	Yes
NM_199246	chr5	+	162797154	162804600	CCNG1	-0.3529	-0.346	-0.1451	-0.2284	0.0377	0.0745	Yes
NM_004354	chr4	+	78297380	78310237	CCNG2	-1.2382	-0.9691	-0.7203	-1.0486	-0.3547	-0.2451	Yes
NM_001240	chr12	-	47373018	47397048	CCNT1	-0.2278	-0.3601	-0.2623	-0.0351	-0.2799	-0.0093	Yes
NM_013230	chrY	-	19611913	19614093	CD24	-0.3761	-0.6417	-0.5826	-0.5324	-0.5456	-0.4253	Yes
NM_001114752	chr1	+	205561439	205600934	CD55	-0.446	-0.5674	-0.445	-0.5112	-0.5049	-0.3113	Yes
NM_033492	chr1	-	1560962	1645635	CDC2L1	-0.2859	-0.4545	-0.1042	0.0413	0.1818	0.2504	Yes
NM_024011	chr1	-	1624029	1645651	CDC2L2	-0.1542	-0.5943	-0.1066	-0.2938	-0.004	0.2095	Yes
