# Generate Mapping Tables Script: Version 4 11:08 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:08 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
affy_mouse430_2|1415835_at|1415835_at	refseq_dna|NM_008865|NM_008865	mgi_symbol|Csh2|Csh2
affy_mouse430_2|1419193_a_at|1419193_a_at	refseq_dna|NM_001039192|NM_001039192	mgi_symbol|Gmfg|Gmfg
affy_mouse430_2|1419389_at|1419389_at	refseq_dna|NM_011866|NM_011866	mgi_symbol|Pde10a|Pde10a
affy_mouse430_2|1419423_at|1419423_at	refseq_dna|NM_138673|NM_138673	mgi_symbol|Stab2|Stab2
affy_mouse430_2|1419485_at|1419485_at	refseq_dna|NM_008592|NM_008592	mgi_symbol|Foxc1|Foxc1
affy_mouse430_2|1419589_at|1419589_at	refseq_dna|NM_010740|NM_010740	mgi_symbol|Cd93|Cd93
affy_mouse430_2|1420399_at|1420399_at	refseq_dna|NM_008114|NM_008114	mgi_symbol|Gfi1b|Gfi1b
affy_mouse430_2|1420653_at|1420653_at	refseq_dna|NM_011577|NM_011577	mgi_symbol|Tgfb1|Tgfb1
affy_mouse430_2|1420664_s_at|1420664_s_at	refseq_dna|NM_011171|NM_011171	mgi_symbol|Procr|Procr
affy_mouse430_2|1420693_at|1420693_at	refseq_dna|NM_001083934|NM_001083934	mgi_symbol|Myom1|Myom1
affy_mouse430_2|1421287_a_at|1421287_a_at	refseq_dna|NM_001032378|NM_001032378	mgi_symbol|Pecam1|Pecam1
affy_mouse430_2|1421288_at|1421288_at	refseq_dna|NM_007975|NM_007975	mgi_symbol|F2rl3|F2rl3
affy_mouse430_2|1421410_a_at|1421410_a_at	refseq_dna|NM_013831|NM_013831	mgi_symbol|Pstpip2|Pstpip2
affy_mouse430_2|1421442_at|1421442_at	refseq_dna|NM_008029|NM_008029	mgi_symbol|Flt4|Flt4
affy_mouse430_2|1421525_a_at|1421525_a_at	refseq_dna|NM_010870|NM_010870	mgi_symbol|Birc1e|Birc1e
affy_mouse430_2|1421571_a_at|1421571_a_at	refseq_dna|NM_001099217|NM_001099217	mgi_symbol|Ly6c|Ly6c
affy_mouse430_2|1421773_at|1421773_at	refseq_dna|NM_007959|NM_007959	mgi_symbol|Etv2|Etv2
affy_mouse430_2|1421855_at|1421855_at	refseq_dna|NM_008013|NM_008013	mgi_symbol|Fgl2|Fgl2
affy_mouse430_2|1421937_at|1421937_at	refseq_dna|NM_011932|NM_011932	mgi_symbol|Dapp1|Dapp1
affy_mouse430_2|1421970_a_at|1421970_a_at	refseq_dna|NM_001039195|NM_001039195	mgi_symbol|Gria2|Gria2
affy_mouse430_2|1422079_at|1422079_at	refseq_dna|NM_008856|NM_008856	mgi_symbol|Prkch|Prkch
affy_mouse430_2|1422134_at|1422134_at	refseq_dna|NM_008036|NM_008036	mgi_symbol|Fosb|Fosb
affy_mouse430_2|1422217_a_at|1422217_a_at	refseq_dna|NM_009992|NM_009992	mgi_symbol|Cyp1a1|Cyp1a1
affy_mouse430_2|1422473_at|1422473_at	refseq_dna|NM_019840|NM_019840	mgi_symbol|Pde4b|Pde4b
affy_mouse430_2|1422541_at|1422541_at	refseq_dna|NM_008984|NM_008984	mgi_symbol|Ptprm|Ptprm
affy_mouse430_2|1422788_at|1422788_at	refseq_dna|NM_021398|NM_021398	mgi_symbol|Slc43a3|Slc43a3
affy_mouse430_2|1422865_at|1422865_at	refseq_dna|NM_001111021|NM_001111021	mgi_symbol|Runx1|Runx1
affy_mouse430_2|1423037_at|1423037_at	refseq_dna|NM_011784|NM_011784	mgi_symbol|Agtrl1|Agtrl1
affy_mouse430_2|1423100_at|1423100_at	refseq_dna|NM_010234|NM_010234	mgi_symbol|Fos|Fos
affy_mouse430_2|1423214_at|1423214_at	refseq_dna|NM_018797|NM_018797	mgi_symbol|Plxnc1|Plxnc1
affy_mouse430_2|1423284_at|1423284_at	refseq_dna|NM_026345|NM_026345	mgi_symbol|Mansc1|Mansc1
affy_mouse430_2|1423319_at|1423319_at	refseq_dna|NM_008245|NM_008245	mgi_symbol|Hhex|Hhex
affy_mouse430_2|1423571_at|1423571_at	refseq_dna|NM_007901|NM_007901	mgi_symbol|Edg1|Edg1
affy_mouse430_2|1423614_at|1423614_at	refseq_dna|NM_133897|NM_133897	mgi_symbol|Lrrc8c|Lrrc8c
affy_mouse430_2|1423619_at|1423619_at	refseq_dna|NM_009026|NM_009026	mgi_symbol|Rasd1|Rasd1
affy_mouse430_2|1423622_a_at|1423622_a_at	refseq_dna|NM_019937|NM_019937	mgi_symbol|Ccnl1|Ccnl1
affy_mouse430_2|1423911_at|1423911_at	refseq_dna|NM_144880|NM_144880	mgi_symbol|Ppp2r5a|Ppp2r5a
affy_mouse430_2|1424051_at|1424051_at	refseq_dna|NM_009932|NM_009932	mgi_symbol|Col4a2|Col4a2
affy_mouse430_2|1424092_at|1424092_at	refseq_dna|NM_183428|NM_183428	mgi_symbol|Epb4.1|Epb4.1
affy_mouse430_2|1424231_s_at|1424231_s_at	refseq_dna|NM_175353|NM_175353	mgi_symbol|Exoc6|Exoc6
affy_mouse430_2|1424268_at|1424268_at	refseq_dna|NM_145533|NM_145533	mgi_symbol|Smox|Smox
affy_mouse430_2|1424378_at|1424378_at	refseq_dna|NM_145554|NM_145554	mgi_symbol|Ldlrap1|Ldlrap1
affy_mouse430_2|1424595_at|1424595_at	refseq_dna|NM_172647|NM_172647	mgi_symbol|F11r|F11r
affy_mouse430_2|1424807_at|1424807_at	refseq_dna|NM_010681|NM_010681	mgi_symbol|Lama4|Lama4
affy_mouse430_2|1424975_at|1424975_at	refseq_dna|NM_145581|NM_145581	mgi_symbol|Siglecf|Siglecf
affy_mouse430_2|1425094_a_at|1425094_a_at	refseq_dna|NM_001083125|NM_001083125	mgi_symbol|Lhx6|Lhx6
affy_mouse430_2|1425253_a_at|1425253_a_at	refseq_dna|NM_013591|NM_013591	mgi_symbol|Madcam1|Madcam1
affy_mouse430_2|1425284_a_at|1425284_a_at	refseq_dna|NM_023635|NM_023635	mgi_symbol|Rab27a|Rab27a
affy_mouse430_2|1425484_at|1425484_at	refseq_dna|NM_145711|NM_145711	mgi_symbol|Tox|Tox
affy_mouse430_2|1425506_at|1425506_at	refseq_dna|NM_139300|NM_139300	mgi_symbol|Mylk|Mylk
affy_mouse430_2|1425582_a_at|1425582_a_at	refseq_dna|NM_016885|NM_016885	mgi_symbol|Emcn|Emcn
affy_mouse430_2|1425681_a_at|1425681_a_at	refseq_dna|NM_023043|NM_023043	mgi_symbol|Prnd|Prnd
affy_mouse430_2|1426062_a_at|1426062_a_at	refseq_dna|NM_007611|NM_007611	mgi_symbol|Casp7|Casp7
affy_mouse430_2|1426206_at|1426206_at	refseq_dna|NM_028783|NM_028783	mgi_symbol|Robo4|Robo4
affy_mouse430_2|1426662_at|1426662_at	refseq_dna|NM_009908|NM_009908	mgi_symbol|Cmas|Cmas
affy_mouse430_2|1426738_at|1426738_at	refseq_dna|NM_138306|NM_138306	mgi_symbol|Dgkz|Dgkz
affy_mouse430_2|1426852_x_at|1426852_x_at	refseq_dna|NM_010930|NM_010930	mgi_symbol|Nov|Nov
affy_mouse430_2|1426926_at|1426926_at	refseq_dna|NM_172285|NM_172285	mgi_symbol|Plcg2|Plcg2
affy_mouse430_2|1426971_at|1426971_at	refseq_dna|NM_023738|NM_023738	mgi_symbol|Ube1l|Ube1l
affy_mouse430_2|1427287_s_at|1427287_s_at	refseq_dna|NM_010586|NM_010586	mgi_symbol|Itpr2|Itpr2
affy_mouse430_2|1427345_a_at|1427345_a_at	refseq_dna|NM_133670|NM_133670	mgi_symbol|Sult1a1|Sult1a1
affy_mouse430_2|1427357_at|1427357_at	refseq_dna|NM_028176|NM_028176	mgi_symbol|Cda|Cda
affy_mouse430_2|1427367_at|1427367_at	refseq_dna|NM_001025103|NM_001025103	mgi_symbol|Efcab4a|Efcab4a
affy_mouse430_2|1427891_at|1427891_at	refseq_dna|NM_153175|NM_153175	mgi_symbol|Gimap6|Gimap6
affy_mouse430_2|1428016_a_at|1428016_a_at	refseq_dna|NM_028544|NM_028544	mgi_symbol|Rasip1|Rasip1
affy_mouse430_2|1428074_at|1428074_at	refseq_dna|NM_001002267|NM_001002267	mgi_symbol|Tmem158|Tmem158
affy_mouse430_2|1428479_at|1428479_at	refseq_dna|NM_016791|NM_016791	mgi_symbol|Nfatc1|Nfatc1
affy_mouse430_2|1428643_at|1428643_at	refseq_dna|NM_145128|NM_145128	mgi_symbol|Mgat5|Mgat5
affy_mouse430_2|1428733_at|1428733_at	refseq_dna|NM_001038664|NM_001038664	mgi_symbol|Gngt2|Gngt2
affy_mouse430_2|1429019_s_at|1429019_s_at	refseq_dna|NM_183308|NM_183308	mgi_symbol|Pon2|Pon2
affy_mouse430_2|1429210_at|1429210_at	refseq_dna|NM_153393|NM_153393	mgi_symbol|Col23a1|Col23a1
affy_mouse430_2|1429387_at|1429387_at	refseq_dna|NM_027817|NM_027817	mgi_symbol|Grap|Grap
affy_mouse430_2|1429717_at|1429717_at	refseq_dna|NM_029665|NM_029665	mgi_symbol|Ipo11|Ipo11
affy_mouse430_2|1429794_a_at|1429794_a_at	refseq_dna|NM_008771|NM_008771	mgi_symbol|P2rx1|P2rx1
affy_mouse430_2|1429856_at|1429856_at	refseq_dna|NM_183180|NM_183180	mgi_symbol|Tspan18|Tspan18
affy_mouse430_2|1430579_at|1430579_at	refseq_dna|XM_001473602|XM_001473602	mgi_symbol|Tnik|Tnik	mgi_symbol|LOC665113|LOC665113	mgi_symbol|LOC674765|LOC674765
affy_mouse430_2|1431704_a_at|1431704_a_at	refseq_dna|NM_023884|NM_023884	mgi_symbol|Ralgps2|Ralgps2
affy_mouse430_2|1432103_a_at|1432103_a_at	refseq_dna|NM_017400|NM_017400	mgi_symbol|Sh3gl3|Sh3gl3
affy_mouse430_2|1432273_a_at|1432273_a_at	refseq_dna|NM_010045|NM_010045	mgi_symbol|Darc|Darc
affy_mouse430_2|1433485_x_at|1433485_x_at	refseq_dna|NM_018882|NM_018882	mgi_symbol|Gpr56|Gpr56
affy_mouse430_2|1433694_at|1433694_at	refseq_dna|NM_011055|NM_011055	mgi_symbol|Pde3b|Pde3b
affy_mouse430_2|1433741_at|1433741_at	refseq_dna|NM_007646|NM_007646	mgi_symbol|Cd38|Cd38
affy_mouse430_2|1433854_at|1433854_at	refseq_dna|NM_177592|NM_177592	mgi_symbol|Tmem164|Tmem164
affy_mouse430_2|1433956_at|1433956_at	refseq_dna|NM_009868|NM_009868	mgi_symbol|Cdh5|Cdh5
affy_mouse430_2|1434334_at|1434334_at	refseq_dna|NM_178900|NM_178900	mgi_symbol|Prkd2|Prkd2
affy_mouse430_2|1434490_at|1434490_at	refseq_dna|NM_001004157|NM_001004157	mgi_symbol|Scarf1|Scarf1
affy_mouse430_2|1434601_at|1434601_at	refseq_dna|NM_178114|NM_178114	mgi_symbol|Amigo2|Amigo2
affy_mouse430_2|1434755_at|1434755_at	refseq_dna|NM_175484|NM_175484	mgi_symbol|Coro2b|Coro2b
affy_mouse430_2|1434833_at|1434833_at	refseq_dna|NM_009006|NM_009006	mgi_symbol|Map4k2|Map4k2
affy_mouse430_2|1435143_at|1435143_at	refseq_dna|NM_013508|NM_013508	mgi_symbol|Pctk2|Pctk2
affy_mouse430_2|1435195_at|1435195_at	refseq_dna|NM_177354|NM_177354	mgi_symbol|Vash1|Vash1
affy_mouse430_2|1435363_at|1435363_at	refseq_dna|NM_001033253|NM_001033253	mgi_symbol|Plekhg1|Plekhg1
affy_mouse430_2|1435701_at|1435701_at	mgi_symbol|Dnajb6|Dnajb6
affy_mouse430_2|1435823_x_at|1435823_x_at	refseq_dna|NM_178444|NM_178444	mgi_symbol|Egfl7|Egfl7
affy_mouse430_2|1436312_at|1436312_at	refseq_dna|NM_001025597|NM_001025597	mgi_symbol|Zfpn1a1|Zfpn1a1
affy_mouse430_2|1436367_at|1436367_at	mgi_symbol|Ptprb|Ptprb
affy_mouse430_2|1436853_a_at|1436853_a_at	refseq_dna|NM_001042451|NM_001042451	mgi_symbol|Snca|Snca
affy_mouse430_2|1437277_x_at|1437277_x_at	refseq_dna|NM_009373|NM_009373	mgi_symbol|Tgm2|Tgm2
affy_mouse430_2|1437419_at|1437419_at	refseq_dna|NM_080708|NM_080708	mgi_symbol|Bmp2k|Bmp2k
affy_mouse430_2|1437756_at|1437756_at	refseq_dna|NM_174960|NM_174960	mgi_symbol|Gimap9|Gimap9
affy_mouse430_2|1437928_at|1437928_at	refseq_dna|NM_017378|NM_017378	mgi_symbol|Pcdh12|Pcdh12
affy_mouse430_2|1438031_at|1438031_at	refseq_dna|NM_207246|NM_207246	mgi_symbol|Rasgrp3|Rasgrp3
affy_mouse430_2|1438109_at|1438109_at	refseq_dna|NM_178697|NM_178697	mgi_symbol|Clca5|Clca5
affy_mouse430_2|1438664_at|1438664_at	refseq_dna|NM_011158|NM_011158	mgi_symbol|Prkar2b|Prkar2b
affy_mouse430_2|1439078_at|1439078_at	refseq_dna|NM_172781|NM_172781	mgi_symbol|Klhl4|Klhl4
affy_mouse430_2|1439221_s_at|1439221_s_at	refseq_dna|NM_011611|NM_011611	mgi_symbol|Cd40|Cd40
affy_mouse430_2|1439518_at|1439518_at	refseq_dna|NM_153127|NM_153127	mgi_symbol|Mmrn2|Mmrn2
affy_mouse430_2|1439557_s_at|1439557_s_at	refseq_dna|NM_001077398|NM_001077398	mgi_symbol|Ldb2|Ldb2
affy_mouse430_2|1440076_at|1440076_at	mgi_symbol|Sqstm1|Sqstm1
affy_mouse430_2|1440244_at|1440244_at	refseq_dna|NM_133659|NM_133659	mgi_symbol|Erg|Erg
affy_mouse430_2|1440298_at|1440298_at	refseq_dna|NM_001033405|NM_001033405	mgi_symbol|Treml2|Treml2
affy_mouse430_2|1440830_at|1440830_at	refseq_dna|NM_001081178|NM_001081178	mgi_symbol|Gpr116|Gpr116
affy_mouse430_2|1440878_at|1440878_at	refseq_dna|NM_001111021|NM_001111021	mgi_symbol|Runx1|Runx1
affy_mouse430_2|1440926_at|1440926_at	mgi_symbol|Flt1|Flt1
affy_mouse430_2|1442340_x_at|1442340_x_at	refseq_dna|NM_010516|NM_010516	mgi_symbol|Cyr61|Cyr61
affy_mouse430_2|1444028_s_at|1444028_s_at	refseq_dna|NM_001081039|NM_001081039	mgi_symbol|Dock9|Dock9	mgi_symbol|LOC670309|LOC670309
affy_mouse430_2|1444889_at|1444889_at	refseq_dna|NM_175445|NM_175445	mgi_symbol|Rassf2|Rassf2
affy_mouse430_2|1445597_s_at|1445597_s_at	refseq_dna|NM_139269|NM_139269	mgi_symbol|Hrasls3|Hrasls3
affy_mouse430_2|1447584_s_at|1447584_s_at	refseq_dna|NM_026793|NM_026793	mgi_symbol|Myct1|Myct1
affy_mouse430_2|1447685_x_at|1447685_x_at	refseq_dna|NM_011809|NM_011809	mgi_symbol|Ets2|Ets2
affy_mouse430_2|1447707_s_at|1447707_s_at	refseq_dna|NM_001008548|NM_001008548	mgi_symbol|Pde2a|Pde2a
affy_mouse430_2|1448325_at|1448325_at	refseq_dna|NM_008654|NM_008654	mgi_symbol|Myd116|Myd116
affy_mouse430_2|1448470_at|1448470_at	refseq_dna|NM_019395|NM_019395	mgi_symbol|Fbp1|Fbp1
affy_mouse430_2|1448471_a_at|1448471_a_at	refseq_dna|NM_007796|NM_007796	mgi_symbol|Ctla2a|Ctla2a
affy_mouse430_2|1448529_at|1448529_at	refseq_dna|NM_009378|NM_009378	mgi_symbol|Thbd|Thbd
affy_mouse430_2|1448694_at|1448694_at	refseq_dna|NM_010591|NM_010591	mgi_symbol|Jun|Jun
affy_mouse430_2|1448754_at|1448754_at	refseq_dna|NM_011254|NM_011254	mgi_symbol|Rbp1|Rbp1
affy_mouse430_2|1448797_at|1448797_at	refseq_dna|NM_013508|NM_013508	mgi_symbol|Elk3|Elk3
affy_mouse430_2|1448830_at|1448830_at	refseq_dna|NM_013642|NM_013642	mgi_symbol|Dusp1|Dusp1
affy_mouse430_2|1448862_at|1448862_at	refseq_dna|NM_010494|NM_010494	mgi_symbol|Icam2|Icam2
affy_mouse430_2|1448864_at|1448864_at	refseq_dna|NM_133741|NM_133741	mgi_symbol|Snrk|Snrk
affy_mouse430_2|1448942_at|1448942_at	refseq_dna|NM_025331|NM_025331	mgi_symbol|Gng11|Gng11
affy_mouse430_2|1449066_a_at|1449066_a_at	refseq_dna|NM_017402|NM_017402	mgi_symbol|Arhgef7|Arhgef7
affy_mouse430_2|1449110_at|1449110_at	refseq_dna|NM_007483|NM_007483	mgi_symbol|Rhob|Rhob
affy_mouse430_2|1449135_at|1449135_at	refseq_dna|NM_009236|NM_009236	mgi_symbol|Sox18|Sox18
affy_mouse430_2|1449145_a_at|1449145_a_at	refseq_dna|NM_007616|NM_007616	mgi_symbol|Cav1|Cav1
affy_mouse430_2|1449146_at|1449146_at	refseq_dna|NM_010929|NM_010929	mgi_symbol|Notch4|Notch4
affy_mouse430_2|1449232_at|1449232_at	refseq_dna|NM_008089|NM_008089	mgi_symbol|Gata1|Gata1
affy_mouse430_2|1449269_at|1449269_at	refseq_dna|NM_007976|NM_007976	mgi_symbol|F5|F5
affy_mouse430_2|1449305_at|1449305_at	refseq_dna|NM_007972|NM_007972	mgi_symbol|F10|F10
affy_mouse430_2|1449379_at|1449379_at	refseq_dna|NM_010612|NM_010612	mgi_symbol|Kdr|Kdr
affy_mouse430_2|1449389_at|1449389_at	refseq_dna|NM_011527|NM_011527	mgi_symbol|Tal1|Tal1
affy_mouse430_2|1449419_at|1449419_at	refseq_dna|NM_028785|NM_028785	mgi_symbol|Dock8|Dock8
affy_mouse430_2|1449439_at|1449439_at	refseq_dna|NM_033563|NM_033563	mgi_symbol|Klf7|Klf7
affy_mouse430_2|1449507_a_at|1449507_a_at	refseq_dna|NM_010581|NM_010581	mgi_symbol|Cd47|Cd47
affy_mouse430_2|1449516_a_at|1449516_a_at	refseq_dna|NM_001081650|NM_001081650	mgi_symbol|Rgs3|Rgs3
affy_mouse430_2|1449558_at|1449558_at	refseq_dna|NM_007977|NM_007977	mgi_symbol|F8|F8
affy_mouse430_2|1449591_at|1449591_at	refseq_dna|NM_007609|NM_007609	mgi_symbol|Casp4|Casp4
affy_mouse430_2|1449988_at|1449988_at	refseq_dna|NM_008376|NM_008376	mgi_symbol|Gimap1|Gimap1
affy_mouse430_2|1450124_a_at|1450124_a_at	refseq_dna|NM_016745|NM_016745	mgi_symbol|Atp2a3|Atp2a3
affy_mouse430_2|1450194_a_at|1450194_a_at	refseq_dna|NM_010848|NM_010848	mgi_symbol|Myb|Myb
affy_mouse430_2|1450199_a_at|1450199_a_at	refseq_dna|NM_138672|NM_138672	mgi_symbol|Stab1|Stab1
affy_mouse430_2|1450333_a_at|1450333_a_at	refseq_dna|NM_008090|NM_008090	mgi_symbol|Gata2|Gata2
affy_mouse430_2|1450414_at|1450414_at	refseq_dna|NM_011057|NM_011057	mgi_symbol|Pdgfb|Pdgfb
affy_mouse430_2|1450698_at|1450698_at	refseq_dna|NM_010090|NM_010090	mgi_symbol|Dusp2|Dusp2
affy_mouse430_2|1451282_at|1451282_at	refseq_dna|NM_139206|NM_139206	mgi_symbol|Centd3|Centd3
affy_mouse430_2|1451332_at|1451332_at	refseq_dna|NM_145492|NM_145492	mgi_symbol|Zfp521|Zfp521
affy_mouse430_2|1451355_at|1451355_at	refseq_dna|NM_139306|NM_139306	mgi_symbol|Asah3l|Asah3l
affy_mouse430_2|1451363_a_at|1451363_a_at	refseq_dna|NM_001093754|NM_001093754	mgi_symbol|Dennd2d|Dennd2d
affy_mouse430_2|1451475_at|1451475_at	refseq_dna|NM_026376|NM_026376	mgi_symbol|Plxnd1|Plxnd1
affy_mouse430_2|1451492_at|1451492_at	refseq_dna|NM_029983|NM_029983	mgi_symbol|Sla2|Sla2
affy_mouse430_2|1451500_at|1451500_at	refseq_dna|NM_181418|NM_181418	mgi_symbol|Ushbp1|Ushbp1
affy_mouse430_2|1452001_at|1452001_at	refseq_dna|NM_008685|NM_008685	mgi_symbol|Nfe2|Nfe2
affy_mouse430_2|1452035_at|1452035_at	refseq_dna|NM_009931|NM_009931	mgi_symbol|Col4a1|Col4a1
affy_mouse430_2|1452190_at|1452190_at	refseq_dna|NM_028243|NM_028243	mgi_symbol|Prcp|Prcp
affy_mouse430_2|1452332_at|1452332_at	refseq_dna|NM_181577|NM_181577	mgi_symbol|Ccdc85a|Ccdc85a
affy_mouse430_2|1452493_s_at|1452493_s_at	refseq_dna|NM_010461|NM_010461	mgi_symbol|Hoxb8|Hoxb8
affy_mouse430_2|1452823_at|1452823_at	refseq_dna|NM_029555|NM_029555	mgi_symbol|Gstk1|Gstk1
affy_mouse430_2|1453022_at|1453022_at	refseq_dna|NM_026730|NM_026730	mgi_symbol|Gpihbp1|Gpihbp1
affy_mouse430_2|1453128_at|1453128_at	refseq_dna|NM_053247|NM_053247	mgi_symbol|Xlkd1|Xlkd1
affy_mouse430_2|1453196_a_at|1453196_a_at	refseq_dna|NM_011854|NM_011854	mgi_symbol|Oasl2|Oasl2
affy_mouse430_2|1453851_a_at|1453851_a_at	refseq_dna|NM_011817|NM_011817	mgi_symbol|Gadd45g|Gadd45g
affy_mouse430_2|1454086_a_at|1454086_a_at	refseq_dna|NM_008505|NM_008505	mgi_symbol|Lmo2|Lmo2
affy_mouse430_2|1454246_at|1454246_at	refseq_dna|NM_018784|NM_018784	mgi_symbol|St3gal6|St3gal6
affy_mouse430_2|1455034_at|1455034_at	refseq_dna|NM_013613|NM_013613	mgi_symbol|Nr4a2|Nr4a2
affy_mouse430_2|1455044_at|1455044_at	refseq_dna|NM_172614|NM_172614	mgi_symbol|Tmem44|Tmem44
