Gene	GenBank accession no.	Fold change	P
Brain derived neurotrophic factor	AY057913	1.76	0.039869
RIKEN cDNA B430320C24 gene	BG066982	1.74	0.005519
Mus musculus adult male diencephalon cDNA, clone:9330140I15	BB426294	1.71	0.014997
Wingless-related MMTV integration site 2	BC026373	1.7	0.0494
Phosphatidic acid phosphatase type 2c	BC010332	1.67	0.008622
Dynamin	L31397	1.67	0.036347
Parvin, alpha	NM_020606	1.66	0.014569
Muscle and microspikes RAS	AB004879	1.66	0.036967
RIKEN cDNA 4933421H10 gene	BB409331	1.66	0.034408
Aldehyde dehydrogenase 2, mitochondrial	NM_009656	1.65	0.016157
Serine (or cysteine) proteinase inhibitor, clade B, member 6	NM_009254	1.65	0.027364
Annexin A8	NM_013473	1.63	0.036349
RIKEN cDNA 3110050F08 gene	NM_024198	1.63	0.034433
Neuronal pentraxin 1	NM_008730	1.63	0.01792
EGF-like repeats and discordin I-like domains 3	BB377340	1.62	0.031604
CD53 antigen	NM_007651	1.61	0.042698
Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	Y15163	1.59	0.00276
Dystrophia myotonica kinase, B15	AW108486	1.59	0.000936
Glutathione S-transferase, mu 2	NM_008183	1.58	0.013638
p53 apoptosis effector related to Pmp22	NM_022032	1.56	0.006243
SH3-domain kinase binding protein 1	AK007283	1.56	0.037924
Epithelial membrane protein 3	BC001999	1.55	0.019018
Annexin A1	NM_010730	1.53	0.004042
Pleckstrin homology, Sec7 and coiled/coil domains 3	NM_011182	1.52	0.014252
Expressed sequence AI987814	NM_134079	1.5	0.019476
RIKEN cDNA 1700054N08 gene	BC024705	1.5	0.01236
Hypothetical protein LOC212285	AV375176	1.5	0.026065
GATA binding protein 2	NM_008090	1.48	0.031179
span style=’font-family:Symbol’g-aminobutyric acid (GABA-A) receptor-associated protein-like 1	AF180518	1.47	0.015365
E2F transcription factor 6	NM_033270	1.47	0.013522
Kruppel-like factor 2 (lung)	NM_008452	1.47	0.020469
RIKEN cDNA 2210016F16 gene	BI415578	1.46	0.027642
Adaptor-related protein complex AP-3, mu 1 subunit	BC024595	1.44	0.046619
RIKEN cDNA 1110032E23 gene	NM_133187	1.43	0.01336
Dermis expressed 1	NM_007855	1.42	0.03972
Clathrin, light polypeptide (Lcb)	BQ173953	1.41	0.014303
Brain cDNA 7	BB115834	1.41	0.004916
Adaptor-related protein complex AP-3, mu 1 subunit	NM_018829	1.39	0.014312
RIKEN cDNA 2410051C13 gene	BB756794	1.39	0.016302
Carbonyl reductase 2	BC010758	1.38	0.007704
EST AI265272	BB805796	1.38	0.047305
Junction cell adhesion molecule 2	NM_023844	1.37	0.010527
Forkhead box D1	NM_008242	1.36	0.015412
Sorting nexin 9	AK004449	1.33	0.038373
TRB-2	BC027159	1.33	0.0073
Annexin A4	NM_013471	1.32	0.004974
RIKEN cDNA 2810025M15 gene	AK012812	1.31	0.008804
WT p53-induced gene 1	NM_009517	-1.35	0.02704
Histone deacetylase 7A	NM_019572	-1.35	0.013638
Growth arrest and DNA-damage-inducible 45 beta	AK010420	-1.35	0.015091
Pannexin 1	NM_019482	-1.36	0.017056
Ephrin B1	AI789778	-1.36	0.004388
RIKEN cDNA 2400008B06 gene	BC021788	-1.38	0.016696
p21 (CDKN1A)-activated kinase 3	NM_008778	-1.41	0.02356
Dual specificity phosphatase 14	AK009744	-1.42	0.007683
Brain link protein 1	BE979942	-1.42	0.009055
Lymphocyte specific 1	NM_019391	-1.44	0.01529
RIKEN cDNA 2410002J21 gene	AK010339	-1.45	0.025496
Growth arrest and DNA-damage-inducible 45 beta	AI323528	-1.45	0.021068
Adipose differentiation related protein	NM_007408	-1.46	0.041956
Superoxide dismutase 3, extracellular	U38261	-1.46	0.007021
RIKEN cDNA 1810037C22 gene	BC026486	-1.47	0.021387
Tropomyosin 1, alpha	AK002271	-1.48	0.009806
Ubiquitin carboxyl-terminal hydrolase L1	NM_011670	-1.49	0.011575
Prostaglandin-endoperoxide synthase 2	M88242	-1.5	0.013485
RIKEN cDNA 1110065A22 gene	BB768838	-1.5	0.044426
RIKEN cDNA 0610011I04 gene	BC010831	-1.52	0.0445
Zinc finger protein 36, C3H type-like 1	M58566	-1.53	0.049605
Six transmembrane epithelial antigen of the prostate	AF297098	-1.54	0.019334
RIKEN cDNA 1110048B16 gene	BB364488	-1.54	0.046466
Coagulation factor III	BC024886	-1.56	0.043921
KH domain containing, RNA binding, signal transduction associated 3	AK014353	-1.56	0.041822
Transcription factor 4	BB474461	-1.56	0.027537
Expressed sequence AA536730	BB129409	-1.59	0.007683
Integrin alpha 7	NM_008398	-1.6	0.012642
Phosphodiesterase 4B, cAMP specific	BM246564	-1.6	0.042082
ESTs, Highly similar to IRS2_MOUSE INSULIN RECEPTOR SUBSTRATE-2 (IRS-2) (4PS) [M.musculus]	BE199054	-1.6	0.040246
Ephrin B1	BC006797	-1.65	0.008184
Endothelial differentiation, lysophosphatidic acid G protein-coupled receptor, 2	BC025425	-1.67	0.010793
Epoxide hydrolase 1, microsomal	NM_010145	-1.67	0.045693
Endothelial differentiation, lysophosphatidic acid G protein-coupled receptor, 2	U70622	-1.7	0.03372
Serum-inducible kinase	BM234765	-1.7	0.001091
Growth arrest and DNA-damage-inducible 45 gamma	AK007410	-1.71	0.013803
Platelet-derived growth factor, C polypeptide	NM_019971	-1.71	0.011334
LIM and cysteine-rich domains 1	BC019124	-1.71	0.034673
Cardiac responsive adriamycin protein	NM_013468	-1.77	0.01869
CDC42 effector protein (Rho GTPase binding) 3	BC021409	-1.77	0.000947
Histocompatibility 2, L region	M34962	-1.78	0.046414
Histocompatibility 2, D region locus 1	M69068	-1.78	0.046998
Follistatin	NM_008046	-1.8	0.045456
Vascular cell adhesion molecule 1	NM_011693	-1.81	0.041589
ESTs, Weakly similar to A53183 epidermal growth factor receptor precursor	BI251855	-1.84	0.005996
Serine (or cysteine) proteinase inhibitor, clade E, member 2	NM_009255	-1.85	0.005987
WNT1 inducible signaling pathway protein 1	AF100777	-1.86	0.028015
Prostaglandin E receptor 4 (subtype EP4)	BC011193	-1.87	0.004675
Sulfatase 2	AK008108	-1.87	0.031539
Transferrin receptor	AK011596	-1.88	0.011103
Argininosuccinate synthetase 1	NM_007494	-1.89	0.027164
Colony stimulating factor 1 (macrophage)	NM_007778	-1.89	0.044839
Heparan sulfate 6-O-sulfotransferase 1	NM_015818	-1.9	0.009494
Platelet derived growth factor, B polypeptide	BC023427	-1.9	0.002607
RIKEN cDNA 2010004M01 gene	AK008100	-1.9	0.021295
Expressed sequence AA960558	NM_133942	-1.91	0.011687
CDC42 effector protein (Rho GTPase binding) 3	BB012489	-1.91	0.012412
Angiopoietin-like 2	NM_011923	-1.97	0.049147
GATA binding protein 3	NM_008091	-1.98	0.002882
Histocompatibility 2, K region	BC011306	-1.98	0.035548
T-box 3	AA543734	-1.99	0.010094
Ephrin B1	NM_010110	-2.05	0.035043
Procollagen, type V, alpha 1	NM_015734	-2.11	0.029042
Leukemia inhibitory factor	BB235045	-2.15	0.000702
histocompatibility 2, K region	L23495	-2.16	0.013135
Transmembrane receptor UNC5H2 homolog (Rattus norvegicus)	BG065285	-2.2	0.021582
Histocompatibility 2, K region	S70184	-2.27	0.016242
RIKEN cDNA 0610011I04 gene	BC006049	-2.29	0.044798
Transforming growth factor, beta 3	BC014690	-2.35	0.013343
Platelet derived growth factor, B polypeptide	NM_011057	-2.42	0.013038
gb:AK015393.1 Mus musculus adult male testis cDNA, clone:4930445K15:artemin	AK015393	-2.47	0.007881
Growth associated protein 43	BB622036	-2.48	0.020018
Cysteine knot superfamily 1, BMP antagonist 1	BC015293	-2.5	0.03293
Odd Oz/ten-m homolog 3 (Drosophila)	NM_011857	-2.79	0.024859
Coactosin-like 1 (Dictyostelium)	BB160417	-2.9	0.009115
Iroquois related homeobox 2 (Drosophila)	AF295369	-2.95	0.000968
Protease, serine, 11 (Igf binding)	BB559067	-3.24	0.001903
Mus musculus, clone IMAGE:4952369, mRNA, partial cds	BF140685	-3.37	0.011687
Tenascin C	NM_011607	-3.46	0.009766
Protease, serine, 11 (Igf binding)	NM_019564	-3.61	0.002445
