Symbol	Name	ProbeId	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	A_51_P410260	Pup:2.95291212325027	Pup:6.61874651970363e-12	Adult:2.79711946079011	Adult:4.22639387733043e-11
Ccdc96	coiled-coil domain containing 96	A_51_P405129	Pup:3.00615682317794	Pup:0.00724590954861898	Adult:2.70854560204327	Adult:0.0218068619415816
Rhobtb1	Rho-related BTB domain containing 1	A_51_P146802	Pup:2.53557626893751	Pup:1.001204657518e-06	Adult:3.07683274597947	Adult:1.03907437896867e-07
Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	A_51_P345775	Pup:2.19666100653699	Pup:0.00146935806281682	Adult:3.41348620854737	Adult:1.67760188802972e-05
Slc38a11	solute carrier family 38, member 11	A_51_P103179	Pup:2.64422692663823	Pup:0.00345274287616249	Adult:2.91683176449038	Adult:0.00246257846758797
Enc1	ectodermal-neural cortex 1	A_51_P178692	Pup:2.47428692299141	Pup:0.00848307513931683	Adult:3.0767215407558	Adult:0.00232750909769702
Pdgfrb	platelet derived growth factor receptor, beta polypeptide	A_51_P150964	Pup:2.30752477751304	Pup:0.000878017939905585	Adult:3.17136119172399	Adult:4.33676740980251e-05
Acnat1	acyl-coenzyme A amino acid N-acyltransferase 1	A_52_P314349	Pup:2.57091265762947	Pup:8.5233404332618e-05	Adult:2.8873507197469	Adult:4.07067955642875e-05
Vil1	villin 1	A_52_P260555	Pup:1.56610499846594	Pup:0.00271884204294853	Adult:3.83010255674386	Adult:3.58912744744019e-08
Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	A_52_P199905	Pup:2.01429738421904	Pup:2.38142842138264e-07	Adult:3.22225721230775	Adult:1.43111482251559e-10
2310058N22Rik	RIKEN cDNA 2310058N22 gene	A_52_P324391	Pup:1.59812971651127	Pup:3.27744219051699e-07	Adult:3.611493906623	Adult:3.28991588846704e-13
Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	A_52_P630867	Pup:2.11566739950615	Pup:3.53900556206353e-08	Adult:3.03064896401535	Adult:1.3710382604243e-10
D930030O05Rik	RIKEN cDNA D930030O05 gene	A_52_P163105	Pup:2.18172361245092	Pup:0.00129310254817264	Adult:2.89184266275032	Adult:0.000114440710835703
Fam129a	family with sequence similarity 129, member A	A_51_P467798	Pup:2.73793555698965	Pup:1.12318299167724e-05	Adult:2.30723552710399	Adult:0.000221087889507321
Acsl3	acyl-CoA synthetase long-chain family member 3	A_51_P511560	Pup:2.30745668529529	Pup:1.12071091673427e-10	Adult:2.7343399956338	Adult:1.2110221918151e-11
Ppp3cc	protein phosphatase 3, catalytic subunit, gamma isoform	A_52_P408540	Pup:1.68042450157522	Pup:0.000967179015476581	Adult:3.35426918409729	Adult:1.7674344148016e-07
Pdxk-ps	pyridoxal (pyridoxine, vitamin B6) kinase, pseudogene	A_52_P468378	Pup:1.90479149522725	Pup:2.84549642644707e-06	Adult:3.11042691489719	Adult:1.75506948909084e-09
1520402A15Rik	RIKEN cDNA 1520402A15 gene	A_52_P547491	Pup:1.30945304211852	Pup:0.0143422274574475	Adult:3.70257524829825	Adult:1.24630349724492e-07
Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle	A_52_P383572	Pup:1.36827696030168	Pup:6.70733158215936e-05	Adult:3.63742010915199	Adult:1.54598453312788e-11
Luzp2	leucine zipper protein 2	A_52_P161455	Pup:3.58808558786856	Pup:1.20954988034493e-06	Adult:1.41720108881653	Adult:0.0336609829122848
A2ld1	AIG2-like domain 1	A_51_P262230	Pup:1.58378139278054	Pup:9.52910286721006e-07	Adult:3.40246863131148	Adult:3.22897417803946e-12
Omg	oligodendrocyte myelin glycoprotein	A_51_P255832	Pup:2.39483856483014	Pup:5.01903862023633e-05	Adult:2.57903179634418	Adult:4.07436802328903e-05
Acsbg1	acyl-CoA synthetase bubblegum family member 1	A_52_P496956	Pup:2.85633919294387	Pup:5.23613082433672e-06	Adult:2.04170320508752	Adult:0.000753815011385895
Pth1r	parathyroid hormone 1 receptor	A_51_P327869	Pup:1.72762199080027	Pup:0.02966915430187	Adult:3.08724727425307	Adult:0.000459363269003718
Lsamp	limbic system-associated membrane protein	A_52_P365194	Pup:3.56669689145404	Pup:3.43234530302759e-08	Adult:1.22672280158779	Adult:0.0218255619064729
Cxcl12	chemokine (C-X-C motif) ligand 12	A_51_P172502	Pup:1.37514919999662	Pup:0.0198871790577252	Adult:3.41818790365902	Adult:2.36139661838533e-06
Lin7a	lin-7 homolog A (C. elegans)	A_52_P48762	Pup:2.6878984793425	Pup:0.00554779603801553	Adult:2.02605165447877	Adult:0.0469354130842678
Tgfa	transforming growth factor alpha	A_51_P415126	Pup:2.51628954294143	Pup:1.7854989339023e-09	Adult:2.19256855079164	Adult:4.96087757506437e-08
Osbpl1a	oxysterol binding protein-like 1A	A_52_P19606	Pup:1.20631771833112	Pup:0.000263269337062597	Adult:3.41736823362573	Adult:3.59709667159658e-11
Fkbp6	FK506 binding protein 6	A_51_P313444	Pup:2.07865656546466	Pup:0.00256211012984177	Adult:2.53218644307372	Adult:0.00067943813660527
Pla1a	phospholipase A1 member A	A_51_P381618	Pup:1.8014403728107	Pup:0.000634462886799025	Adult:2.80346473324733	Adult:4.93555339499719e-06
Ssx2ip	synovial sarcoma, X breakpoint 2 interacting protein	A_52_P83913	Pup:2.59112341085086	Pup:2.66154899459729e-07	Adult:1.95038664504636	Adult:4.36951104856691e-05
Sgca	sarcoglycan, alpha (dystrophin-associated glycoprotein)	A_51_P335491	Pup:2.48727933015477	Pup:1.77357728035827e-07	Adult:2.04286381256311	Adult:9.33226543478137e-06
Glul	glutamate-ammonia ligase (glutamine synthetase)	A_52_P101279	Pup:1.35245401435239	Pup:0.00399837145845134	Adult:3.17273644099871	Adult:1.57907298261316e-07
Ccdc37	coiled-coil domain containing 37	A_52_P566325	Pup:2.40053310022855	Pup:0.0111646027953229	Adult:2.12180843472755	Adult:0.0339216257037356
Utp14b	UTP14, U3 small nucleolar ribonucleoprotein, homolog B (yeast)	A_51_P153693	Pup:1.41891978108953	Pup:0.0112771396883632	Adult:3.09478121043674	Adult:4.55484700245414e-06
Mboat1	membrane bound O-acyltransferase domain containing 1	A_51_P349495	Pup:1.17187008931564	Pup:0.00242198758334346	Adult:3.23253289189427	Adult:3.27541969605008e-09
Caln1	calneuron 1	A_51_P199407	Pup:2.32993076778564	Pup:0.000140047633871702	Adult:2.04218852703467	Adult:0.0011265280716496
A930033H14Rik	RIKEN cDNA A930033H14 gene	A_52_P328102	Pup:2.06244142597862	Pup:1.35448636415754e-07	Adult:2.30456435709812	Adult:5.20957900255127e-08
Arl4a	ADP-ribosylation factor-like 4A	A_52_P86704	Pup:2.84950272616692	Pup:0.000156926396037665	Adult:1.49570458877698	Adult:0.0471444913533482
Slc38a5	solute carrier family 38, member 5	A_51_P400269	Pup:1.07961448933049	Pup:0.030333161619329	Adult:3.25157693668712	Adult:3.54162349778626e-07
Dach2	dachshund 2 (Drosophila)	A_51_P126167	Pup:2.82422932395156	Pup:0.00012053343543021	Adult:1.50422199625864	Adult:0.0393350012338831
Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12	A_51_P325941	Pup:2.37996911119605	Pup:0.000748822372603558	Adult:1.92724337033232	Adult:0.00809939617210607
1810059H22Rik	RIKEN cDNA 1810059H22 gene	A_51_P403578	Pup:1.10140896018154	Pup:0.0153153753469836	Adult:3.161363305297	Adult:1.15237831434989e-07
Ly6c2	lymphocyte antigen 6 complex, locus C2	A_51_P197528	Pup:1.89235684650869	Pup:2.15299839645299e-06	Adult:2.29823479116795	Adult:2.34865974970302e-07
Gpa33	glycoprotein A33 (transmembrane)	A_51_P177451	Pup:1.86213750167278	Pup:3.40792611880982e-07	Adult:2.29218715248029	Adult:2.56238668322387e-08
Ccdc46	coiled-coil domain containing 46	A_52_P380114	Pup:1.46366843327154	Pup:0.000204020146746914	Adult:2.66558261042701	Adult:7.32971071883314e-08
Eps8	epidermal growth factor receptor pathway substrate 8	A_51_P188111	Pup:1.712269097355	Pup:0.0188594490724515	Adult:2.41151346863749	Adult:0.00223451612186074
9430020K01Rik	RIKEN cDNA 9430020K01 gene	A_52_P336958	Pup:1.09400882071971	Pup:0.0276980399634366	Adult:2.86873704149092	Adult:2.50144651623404e-06
Cldn10	claudin 10	A_51_P456465	Pup:1.96329912829534	Pup:0.0248900948097074	Adult:1.95670270848481	Adult:0.0353228904927242
Bspry	B-box and SPRY domain containing	A_51_P421559	Pup:1.62533321995923	Pup:0.00828818607428039	Adult:2.28846526610511	Adult:0.000681996177643608
Gpr56	G protein-coupled receptor 56	A_52_P317393	Pup:1.74112179912509	Pup:2.1199552298519e-05	Adult:2.167791071084	Adult:2.03075496615264e-06
Rnf144b	ring finger protein 144B	A_52_P354752	Pup:1.46884619117069	Pup:8.99031037451759e-05	Adult:2.43477104377552	Adult:1.13731152413253e-07
Auts2	autism susceptibility candidate 2	A_51_P398191	Pup:1.81761276296917	Pup:1.55880035291058e-05	Adult:2.0401836329155	Adult:6.9367982034593e-06
Prr5l	proline rich 5 like	A_51_P225793	Pup:1.73752028690277	Pup:2.33067871166572e-07	Adult:2.09087246750933	Adult:2.53232708079334e-08
Daam2	dishevelled associated activator of morphogenesis 2	A_52_P390241	Pup:1.88467903960154	Pup:0.000244793965508024	Adult:1.9148844872113	Adult:0.000401465358420836
Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial	A_52_P373938	Pup:1.64903466803662	Pup:8.28229696767906e-07	Adult:2.12679606483128	Adult:2.96128678403852e-08
Klhdc9	kelch domain containing 9	A_51_P479352	Pup:1.98507483632815	Pup:0.00412340400499757	Adult:1.76849807089946	Adult:0.0149320857044126
Bbs1	Bardet-Biedl syndrome 1 (human)	A_51_P378158	Pup:1.78540249038307	Pup:0.0214920024463747	Adult:1.96791436610286	Adult:0.01710011439075
Gstm5	glutathione S-transferase, mu 5	A_51_P260169	Pup:2.42479359377871	Pup:3.07482488434274e-11	Adult:1.32609876372315	Adult:2.5826690100748e-06
Sort1	sortilin 1	A_52_P568257	Pup:1.72244057919932	Pup:2.09892559451226e-07	Adult:2.02040588257906	Adult:3.52782189118905e-08
2010320H13Rik	RIKEN cDNA 2010320H13 gene	A_52_P1194875	Pup:1.46909451496218	Pup:0.00215368821946219	Adult:2.27356936638721	Adult:3.05116518327891e-05
Fam69a	family with sequence similarity 69, member A	A_51_P199187	Pup:1.70260038203495	Pup:5.13159017319139e-10	Adult:1.9995915474346	Adult:5.91124862267899e-11
Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	A_52_P11388	Pup:2.07239428266479	Pup:0.00116735356432657	Adult:1.62608719232958	Adult:0.0137968605133329
Grb14	growth factor receptor bound protein 14	A_51_P517215	Pup:1.81370100186918	Pup:7.39786385918922e-09	Adult:1.87116405060313	Adult:1.04263373113921e-08
Morn5	MORN repeat containing 5	A_51_P201785	Pup:2.00523648594221	Pup:0.000183642825464405	Adult:1.65757986470678	Adult:0.00242167158679623
Lama2	laminin, alpha 2	A_51_P191865	Pup:1.41367930170028	Pup:0.0245417981500129	Adult:2.2490065964084	Adult:0.00107660209115806
Nodal	nodal	A_52_P633560	Pup:1.7342834376724	Pup:3.07065162419845e-05	Adult:1.88976130733681	Adult:2.14394462253082e-05
Ica1l	islet cell autoantigen 1-like	A_51_P147034	Pup:1.74035916639913	Pup:1.13657204757962e-05	Adult:1.86197577277	Adult:1.00783312917136e-05
Gm9887	predicted gene 9887	A_52_P265820	Pup:1.60010703616516	Pup:0.0473301124054796	Adult:1.97616859753706	Adult:0.0209877731548475
Olfr352	olfactory receptor 352	A_51_P308778	Pup:1.9277910562594	Pup:0.00122431811369345	Adult:1.58602461274663	Adult:0.0102519673914447
Slc25a33	solute carrier family 25, member 33	A_51_P156434	Pup:2.25709487672986	Pup:6.95655365908604e-07	Adult:1.22428711598058	Adult:0.00295448979941056
Tmx4	thioredoxin-related transmembrane protein 4	A_51_P227866	Pup:1.69663073209928	Pup:0.00032894319481779	Adult:1.76862815130835	Adult:0.000404269492174254
Slc16a11	solute carrier family 16 (monocarboxylic acid transporters), member 11	A_51_P489720	Pup:1.16858047952639	Pup:0.00335576608794723	Adult:2.29030392921565	Adult:2.09976440258504e-06
Tpst1	protein-tyrosine sulfotransferase 1	A_51_P417025	Pup:1.6948159363747	Pup:1.76833268009026e-10	Adult:1.72921993071957	Adult:2.824708274433e-10
Tpd52	tumor protein D52	A_52_P151853	Pup:1.12971409242665	Pup:0.00970446827514062	Adult:2.28382163671201	Adult:1.01133293416321e-05
Ccrn4l	CCR4 carbon catabolite repression 4-like (S. cerevisiae)	A_51_P189777	Pup:1.43227570198354	Pup:6.85565412960235e-06	Adult:1.97748919462861	Adult:1.02764087668853e-07
Atp1b2	ATPase, Na+/K+ transporting, beta 2 polypeptide	A_52_P570690	Pup:1.8475103887177	Pup:2.03935175101719e-07	Adult:1.5371417783854	Adult:8.76632338990817e-06
Dio2	deiodinase, iodothyronine, type II	A_51_P208603	Pup:2.05445770615325	Pup:2.72461181322192e-05	Adult:1.30991592871841	Adult:0.00603313636563245
Arhgap44	Rho GTPase activating protein 44	A_52_P376150	Pup:1.22454322984828	Pup:0.00902135679420907	Adult:2.13306923831169	Adult:6.58825619404148e-05
Gkn2	gastrokine 2	A_51_P113906	Pup:2.2682564538337	Pup:8.82324080944733e-09	Adult:1.08830496589002	Adult:0.000801809171234342
Ctsh	cathepsin H	A_52_P51078	Pup:2.18210209607718	Pup:7.7415254565172e-06	Adult:1.15844012873286	Adult:0.0119615503933449
Pomp	proteasome maturation protein	A_51_P200895	Pup:1.70652639832807	Pup:1.26889295858066e-05	Adult:1.63108941175652	Adult:5.16905460805188e-05
Ucn	urocortin	A_51_P255952	Pup:1.56306570471954	Pup:0.00775229506361864	Adult:1.75640720165879	Adult:0.00495842586077155
Slc36a1	solute carrier family 36 (proton/amino acid symporter), member 1	A_51_P338563	Pup:1.70401984493088	Pup:2.56230717811113e-05	Adult:1.60916383878899	Adult:0.000115825367816206
Nap1l3	nucleosome assembly protein 1-like 3	A_51_P213928	Pup:1.85704383989075	Pup:0.000155537996350425	Adult:1.44090152073471	Adult:0.00372946527037435
Ksr1	kinase suppressor of ras 1	A_52_P114414	Pup:1.8183028193756	Pup:0.00152631443546852	Adult:1.46110479952053	Adult:0.0142007302600015
Kctd1	potassium channel tetramerisation domain containing 1	A_51_P437847	Pup:1.51073487147774	Pup:0.00137321007103835	Adult:1.76798402685367	Adult:0.000515613726204949
Gatsl3	GATS protein-like 3	A_51_P517051	Pup:1.64647432501912	Pup:0.00643130884153773	Adult:1.63160811291898	Adult:0.0105777805030695
Bmp15	bone morphogenetic protein 15	A_52_P386639	Pup:1.57984742440258	Pup:0.0243176000996152	Adult:1.69310451728992	Adult:0.0232521234152416
Pla2g2c	phospholipase A2, group IIC	A_51_P427052	Pup:1.80810684274478	Pup:0.00354798085240224	Adult:1.42978816823078	Adult:0.0277640484526871
Wdr31	WD repeat domain 31	A_51_P432724	Pup:1.33778854905389	Pup:0.00729047956145921	Adult:1.8967833347658	Adult:0.000530147436909482
BC057079	cDNA sequence BC057079	A_52_P202276	Pup:1.83471001527203	Pup:6.61877937879111e-11	Adult:1.39033319377305	Adult:2.3172344584477e-08
Htra1	HtrA serine peptidase 1	A_51_P225224	Pup:1.62732658508102	Pup:0.00652340677090643	Adult:1.59757563649355	Adult:0.0114392205567221
Dusp22	dual specificity phosphatase 22	A_51_P231793	Pup:1.61332410692376	Pup:2.94098430121468e-06	Adult:1.59966785178093	Adult:7.95522639385748e-06
6230427J02Rik	RIKEN cDNA 6230427J02 gene	A_51_P248857	Pup:1.00459116310482	Pup:0.029834327787964	Adult:2.17932161000301	Adult:4.47587169663267e-05
Cxxc5	CXXC finger 5	A_52_P633393	Pup:1.999800415832	Pup:5.80282551304616e-09	Adult:1.16841557309457	Adult:6.20089132189948e-05
2310022B05Rik	RIKEN cDNA 2310022B05 gene	A_51_P365980	Pup:1.07364908305106	Pup:0.000443512719094529	Adult:2.0895901968393	Adult:7.67289050756384e-08
Fbxo36	F-box protein 36	A_51_P362959	Pup:1.8281448228572	Pup:4.32701080428214e-09	Adult:1.3142861836466	Adult:2.67342884838719e-06
Oscp1	organic solute carrier partner 1	A_52_P579448	Pup:1.21469104310953	Pup:4.69696017791831e-05	Adult:1.9133512105796	Adult:1.14014485949571e-07
LOC100503474	hypothetical LOC100503474	A_52_P545512	Pup:1.13449430529726	Pup:0.0133563500357844	Adult:1.98055472555373	Adult:0.000131793521095396
Gab1	growth factor receptor bound protein 2-associated protein 1	A_52_P417437	Pup:1.81243918386324	Pup:3.62423830349881e-06	Adult:1.29898843922195	Adult:0.000567142008204102
