Accession #	Sequence Code	Primary Sequence Name	T-statistic	P-value
NM_152272	A_32_P70220	CHMP7	4.46959	0.00156
CN431194	A_32_P179148	CN431194	3.31250	0.00905
NM_014109	A_23_P216068	ATAD2	3.89394	0.00365
NM_199437	A_32_P228699	PRDM10	3.72657	0.00472
NM_005951	A_23_P163782	MT1H	-3.28991	0.00938
BX115350	A_32_P228886	THC2646425	-3.68605	0.00503
NM_003256	A_32_P70315	TIMP4	-3.28389	0.00947
NM_033071	A_24_P410453	SYNE1	-4.01377	0.00305
NM_018936	A_24_P251962	PCDHB2	4.92767	0.00082
NM_005951	A_23_P414343	MT1H	-3.43231	0.00748
NM_018151	A_23_P5611	RIF1	3.42517	0.00757
NM_018151	A_23_P5616	RIF1	3.45630	0.00720
NM_013260	A_23_P54953	SAP30BP	-4.71738	0.00109
BC040051	A_32_P209791	BC040051	-3.90600	0.00359
NM_000179	A_23_P102202	MSH6	3.31833	0.00896
NM_018242	A_23_P207221	SLC47A1	3.99559	0.00313
NM_015990	A_23_P121527	KLHL5	-3.91090	0.00356
NM_013364	A_23_P377094	PNMA3	3.36825	0.00828
NM_004220	A_24_P364845	ZNF213	-3.66499	0.00520
BC111002	A_23_P19030	ARSI	3.26976	0.00969
BC017721	A_32_P42705	LOC100144602	-3.50525	0.00667
NM_001097	A_23_P40734	ACR	-3.55584	0.00616
BG028463	A_32_P226768	THC2668193	-3.43822	0.00741
NM_001355	A_23_P17769	DDT	-5.15027	0.00060
NM_001032283	A_24_P210244	TMPO	3.32715	0.00884
NM_152319	A_23_P405878	C12orf54	-3.82526	0.00406
NM_020937	A_32_P106732	FANCM	3.58412	0.00589
NM_022757	A_23_P384056	CCDC14	3.53929	0.00632
NM_002703	A_23_P80940	PPAT	3.31233	0.00905
NM_018242	A_24_P142503	SLC47A1	4.64005	0.00122
NM_024678	A_23_P24960	NARS2	4.62034	0.00125
NM_001080449	A_24_P366107	DNA2	3.36118	0.00837
NM_003498	A_23_P152160	SNN	-3.58557	0.00588
NM_001002919	A_24_P561341	FAM150B	3.59327	0.00581
NM_018151	A_24_P34476	RIF1	3.30076	0.00922
BC007928	A_23_P29023	ENST00000331283	-3.39602	0.00792
BC007928	A_23_P29029	ENST00000331283	-3.44161	0.00737
NM_153259	A_23_P23639	MCOLN2	3.90454	0.00359
NM_016484	A_23_P252491	PDZD11	-3.78361	0.00432
NM_000599	A_23_P376497	IGFBP5	-4.97406	0.00077
	A_24_P50139	A_24_P50139	4.85750	0.00090
NM_017864	A_23_P43079	INTS8	3.65352	0.00529
CD614215	A_32_P25623	THC2787314	-3.38868	0.00802
NM_004289	A_24_P136653	NFE2L3	4.96016	0.00078
NM_006825	A_23_P48056	CKAP4	3.66299	0.00521
NM_178496	A_32_P117464	C3orf59	3.35037	0.00852
NM_001008739	A_32_P149174	LOC441150	-3.62182	0.00556
AY358366	A_23_P358714	KIAA1324	4.15161	0.00248
NM_001392	A_23_P208158	DTNA	-3.99645	0.00313
NM_006076	A_23_P311640	HRBL	-4.26843	0.00209
NM_022648	A_24_P136453	TNS1	-3.68856	0.00501
NM_001979	A_23_P8834	EPHX2	3.28543	0.00945
NM_000496	A_23_P425066	CRYBB2	-3.61596	0.00561
NM_003392	A_23_P211926	WNT5A	4.06987	0.00280
NM_024745	A_32_P96719	SHCBP1	4.14530	0.00250
NM_005309	A_23_P146339	GPT	-3.28929	0.00939
NM_005008	A_23_P80362	NHP2L1	-3.52141	0.00650
NM_015267	A_24_P281908	CUX2	3.49592	0.00677
AK225050	A_32_P89976	POLR1E	3.59313	0.00581
NM_001539	A_23_P60479	DNAJA1	4.46143	0.00157
NM_007109	A_24_P349965	TCF19	3.64183	0.00539
NM_025081	A_23_P129005	KIAA1305	3.26404	0.00978
AL359052	A_23_P408363	AL359052	-3.46027	0.00716
NM_003633	A_24_P69095	ENC1	3.33411	0.00874
NM_001007176	A_32_P80741	C8orf22	-3.70836	0.00486
NM_033132	A_32_P219942	ZIC5	3.58661	0.00587
NM_020663	A_24_P82032	RHOJ	-3.33902	0.00867
AA594808	A_24_P911327	AA594808	-3.51247	0.00659
AL117474	A_24_P605081	AL117474	3.28466	0.00946
NM_021949	A_23_P337642	ATP2B3	3.35982	0.00839
NM_031925	A_23_P259632	TMEM120A	-3.34345	0.00861
NM_031271	A_23_P123308	TEX15	3.26563	0.00975
NM_005128	A_23_P253586	DOPEY2	4.15590	0.00246
