Affi ID	Gene	Product and function
240950_s_at	FLJ32658	Hypothetical protein FLJ32658
209791_at	PADI2
232172_at		Hypothetical gene supported by AK125149
235068_at	ZDHHC21	Zinc finger, DHHC-type containing 21
209963_s_at	EPOR	Erythropoietin receptor
204149_s_at	GSTM4	Glutathione S-transferase M4
227750_at	HAPIP	Kalirin, RhoGEF kinase
235944_at	FIBL-6	Hemicentin 1
209616_s_at	CES1	Carboxylesterase 1 (monocyte/macrophage serine esterase 1)
205575_at	C1QL1	Complement component 1, q subcomponent-like 1
206915_at	NKX2-2	NK2 transcription factor related, locus 2 (Drosophila)
202718_at	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa
208072_s_at	DGKD	Diacylglycerol kinase, delta 130kDa
203499_at	EPHA2	EPH receptor A2
205306_x_at	KMO	Kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
205858_at	NGFR	Nerve growth factor receptor (TNFR superfamily, member 16)
225051_at	EPB41	Erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
202897_at	PTPNS1	Protein tyrosine phosphatase, non-receptor type substrate 1
212612_at	RCOR1	REST corepressor 1
228159_at		CDNA FLJ38039 fis, clone CTONG2013934
229622_at	FLJ43374	FLJ43374 protein
231841_s_at	KIAA1462	KIAA1462
200905_x_at	HLA-E	Major histocompatibility complex, class I, E
222483_at	EFHD2	EF-hand domain family, member D2
228212_at	THSD3	Thrombospondin, type I, domain containing 3
227862_at		Hypothetical LOC388610
204230_s_at	SLC17A7	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7
205375_at	MDFI	MyoD family inhibitor
208763_s_at	DSIPI	TSC22 domain family, member 3
39966_at	CSPG5	Chondroitin sulfate proteoglycan 5 (neuroglycan C)
201288_at	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
204224_s_at	GCH1	GTP cyclohydrolase 1 (dopa-responsive dystonia)
208986_at	TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
203320_at	LNK	Lymphocyte adaptor protein
202761_s_at	SYNE2	Spectrin repeat containing, nuclear envelope 2
213524_s_at	G0S2	G0/G1switch 2
209496_at	RARRES2	Retinoic acid receptor responder (tazarotene induced) 2
225189_s_at	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
220486_x_at	FLJ22679
238532_at	DPF3	D4, zinc and double PHD fingers, family 3
235056_at	ETV6	Ets variant gene 6 (TEL oncogene)
217783_s_at	YPEL5	Yippee-like 5 (Drosophila)
204548_at	STAR	Steroidogenic acute regulator
202838_at	FUCA1	Fucosidase, alpha-L- 1, tissue
204137_at	TM7SF1	Transmembrane 7 superfamily member 1 (upregulated in kidney)
235874_at	PRSS35	Protease, serine, 35
227410_at	FAM43A	Family with sequence similarity 43, member A
1552507_at	KCNE4	Potassium voltage-gated channel, Isk-related family, member 4
203088_at	FBLN5	Fibulin 5
221679_s_at	ABHD6	Abhydrolase domain containing 6
204394_at	SLC43A1	Solute carrier family 43, member 1
238041_at	TCF12	Transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)
223093_at	ANKH	Transcribed locus
237466_s_at	HHIP	Hedgehog interacting protein
229400_at	HOXD10	Homeo box D10
211709_s_at	SCGF	C-type lectin domain family 11, member A
205051_s_at	KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
225871_at	STEAP2	Six transmembrane epithelial antigen of the prostate 2
222408_s_at	YPEL5	Yippee-like 5 (Drosophila)
227115_at		Hypothetical LOC399951
222549_at	CLDN1	Claudin 1
224963_at	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2
227401_at	IL17D	Interleukin 17D
204683_at	ICAM2	Intercellular adhesion molecule 2
209710_at	GATA2	GATA binding protein 2
209099_x_at	JAG1	Jagged 1 (Alagille syndrome)
219576_at	FLJ12649
224959_at	SLC26A2	Solute carrier family 26 (sulfate transporter), member 2
236088_at	NTNG1	Netrin G1
225186_at	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
223721_s_at	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
236218_at	PHOSPHO1	Phosphatase, orphan 1
228977_at	IL17D	Interleukin 17D
210058_at	MAPK13	Mitogen-activated protein kinase 13
231382_at	FGF18	Fibroblast growth factor 18
205450_at	PHKA1	Phosphorylase kinase, alpha 1 (muscle)
206078_at	HAPIP	Kalirin, RhoGEF kinase
1554062_at	XG	Xg blood group (pseudoautosomal boundary-divided on the X chromosome)
204604_at	PFTK1	PFTAIRE protein kinase 1
205227_at	IL1RAP	Interleukin 1 receptor accessory protein
219471_at	C13orf18	Chromosome 13 open reading frame 18
228347_at	SIX1	Sine oculis homeobox homolog 1 (Drosophila)
226208_at	ZSWIM6	Zinc finger, SWIM-type containing 6
204319_s_at	RGS10	Regulator of G-protein signalling 10
222106_at	PRND
222379_at	KCNE4	Potassium voltage-gated channel, Isk-related family, member 4
203217_s_at	SIAT9	ST3 beta-galactoside alpha-2,3-sialyltransferase 5
223177_at	NT5C2L1	5-nucleotidase, cytosolic II-like 1
227058_at	FLJ14834	Hypothetical protein FLJ14834
222760_at	FLJ14299	Zinc finger protein 703
228737_at	C20orf100	Chromosome 20 open reading frame 100
204201_s_at	PTPN13	Protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)
212670_at	ELN	Elastin (supravalvular aortic stenosis, Williams-Beuren syndrome)
233565_s_at	SDCBP2
203865_s_at	ADARB1	Adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
227647_at	KCNE3	Potassium voltage-gated channel, Isk-related family, member 3
205779_at	RAMP2	Receptor (calcitonin) activity modifying protein 2
213040_s_at	NPTXR
206655_s_at	GP1BB	Glycoprotein Ib (platelet), beta polypeptide
1438_at	EPHB3	EPH receptor B3
231842_at	KIAA1462	KIAA1462
230161_at	CD99	CD99 antigen
235252_at	KSR	Kinase suppressor of ras 1
213201_s_at	TNNT1
242051_at		Transcribed locus
213316_at	KIAA1462	KIAA1462
227533_at		zg78d04.s1 Soares_fetal_heart_NbHH19W Homo sapiens cDNA clone IMAGE:399463 3, mRNA sequence.
226932_at	SSPN	Sarcospan (Kras oncogene-associated gene)
212045_at	GLG1	Golgi apparatus protein 1
225355_at	DKFZP761M1511	Hypothetical protein DKFZP761M1511
210912_x_at	GSTM4	Glutathione S-transferase M4
204600_at	EPHB3	EPH receptor B3
203126_at	IMPA2	Inositol(myo)-1(or 4)-monophosphatase 2
220948_s_at	ATP1A1	Chromosome 1 open reading frame 203
227850_x_at	CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5
203139_at	DAPK1	Death-associated protein kinase 1
228523_at	NANOS1	Nanos homolog 1 (Drosophila)
201650_at	KRT19	Keratin 19
230800_at	ADCY4	Adenylate cyclase 4
204780_s_at	FAS	Fas (TNF receptor superfamily, member 6)
205824_at	HSPB2	Heat shock 27kDa protein 2
226365_at		Hypothetical protein LOC153561
204781_s_at	FAS	Fas (TNF receptor superfamily, member 6)
204229_at	SLC17A7	Solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7
238323_at	TEAD2	TEA domain family member 2
211138_s_at	KMO	Kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)
227188_at	C21orf63	Chromosome 21 open reading frame 63
231807_at	KIAA1217	KIAA1217
224925_at	PREX1	continues from dJ998C11 (AL035106); Human DNA sequence from clone RP11-269H4 on chromosome 20 Contains the 3 end of the KIAA1415 gene, ESTs, STSs and GSSs, complete sequence.
202241_at	TRIB1	Tribbles homolog 1 (Drosophila)
235692_at	FLJ16518	Mitogen-activated protein kinase kinase kinase 15
201418_s_at	SOX4	SRY (sex determining region Y)-box 4
206231_at	KCNN1	Potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1
230135_at		Homo sapiens, clone IMAGE:4690669, mRNA
230356_at		Transcribed locus
231314_at		yg97d09.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:41794 3 similar to contains Alu repetitive element;, mRNA sequence.
230653_at		Hypothetical protein LOC153561
226055_at	ARRDC2	Arrestin domain containing 2
225177_at	RAB11FIP1	RAB11 family interacting protein 1 (class I)
221718_s_at	AKAP13	A kinase (PRKA) anchor protein 13
201596_x_at	KRT18	Keratin 18
226702_at	LOC129607	Hypothetical protein LOC129607
213552_at	GLCE	Glucuronyl C5-epimerase
45288_at	ABHD6	Abhydrolase domain containing 6
205786_s_at	ITGAM	Integrin, alpha M (complement component receptor 3, alpha; also known as CD11b (p170), macrophage antigen alpha polypeptide)
206561_s_at	AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase)
202803_s_at	ITGB2	Integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
223557_s_at	TMEFF2	Transmembrane protein with EGF-like and two follistatin-like domains 2
218976_at	DNAJC12	DnaJ (Hsp40) homolog, subfamily C, member 12
208096_s_at	COL21A1	Collagen, type XXI, alpha 1
229810_at		Transcribed locus, weakly similar to XP_496299.1 PREDICTED: hypothetical protein LOC148206 [Homo sapiens]
211502_s_at	PFTK1	PFTAIRE protein kinase 1
205637_s_at	SH3GL3	SH3-domain GRB2-like 3
228339_at		Transcribed locus, strongly similar to XP_549577.2 PREDICTED: hypothetical protein XP_549577 [Canis familiaris]
219218_at	KIAA1447	hypothetical protein FLJ23058
210961_s_at	DAR; ADRA1; ADRA1A; ADRA1R; ALPHA1; dJ779E11.2	adrenergic, alpha-1D-, receptor
210059_s_at	MAPK13	Mitogen-activated protein kinase 13
210358_x_at	GATA2	GATA binding protein 2
226741_at	LOC51234	Hypothetical protein LOC51234
238133_at	NTNG1	Netrin G1
1554384_at	PADI2	Peptidyl arginine deiminase, type II
58308_at	TRIM62	Tripartite motif-containing 62
217992_s_at	EFHD2	EF-hand domain family, member D2
205567_at	CHST1	Carbohydrate (keratan sulfate Gal-6) sulfotransferase 1
224884_at	AKAP13	A kinase (PRKA) anchor protein 13
203620_s_at	FCHSD2	FCH and double SH3 domains 2
204633_s_at	RPS6KA5	Ribosomal protein S6 kinase, 90kDa, polypeptide 5
229850_at	FVT1	Follicular lymphoma variant translocation 1
202638_s_at	ICAM1	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor
211214_s_at	DAPK1
219032_x_at	OPN3	Opsin 3 (encephalopsin, panopsin)
1558279_a_at	FVT1	Follicular lymphoma variant translocation 1
211825_s_at	EWSR1	Ewing sarcoma breakpoint region 1
238808_at	HOXA13	Homeo box A13
235123_at		Transcribed locus
236982_at	ITGB2	Integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)
212192_at	KCTD12	Potassium channel tetramerisation domain containing 12
1568592_at		CDNA clone IMAGE:5277162
229041_s_at		CDNA clone IMAGE:4766144
219520_s_at	KIAA1280	synonym: BM042; Homo sapiens KIAA1280 protein (KIAA1280), mRNA.
201563_at	SORD	Sorbitol dehydrogenase
212288_at	FNBP1	Formin binding protein 1
242871_at	MPRG	Progestin and adipoQ receptor family member V
230741_at		CDNA FLJ41454 fis, clone BRSTN2011597
215856_at	CD33L3	CD33 antigen-like 3
37986_at	EPOR	Erythropoietin receptor
202419_at	FVT1	Follicular lymphoma variant translocation 1
221552_at	ABHD6	Abhydrolase domain containing 6
227663_at		Hypothetical protein LOC153561
223734_at	OSAP	Ovary-specific acidic protein
208893_s_at	DUSP6	Dual specificity phosphatase 6
202711_at	EFNB1	Ephrin-B1
38340_at	HIP1R	Huntingtin interacting protein-1-related
205249_at	EGR2	Early growth response 2 (Krox-20 homolog, Drosophila)
222670_s_at	MAFB	V-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
204395_s_at	GRK5	G protein-coupled receptor kinase 5
226908_at	LRIG3	Leucine-rich repeats and immunoglobulin-like domains 3
1554830_a_at	TSAP6	STEAP family member 3
237270_at		Hypothetical LOC389182
226683_at	SNAG1	Sorting nexin associated golgi protein 1
201416_at	SOX4	SRY (sex determining region Y)-box 4
231899_at	KIAA1726	Zinc finger CCCH-type containing 12C
35666_at	SEMA3F	Sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F
205771_s_at	AKAP7	A kinase (PRKA) anchor protein 7; synonym: AKAP18; isoform gamma is encoded by transcript variant gamma; protein kinase A anchoring protein 7; A-kinase anchor protein, 18-kD; A-kinase anchoring protein 18; A-kinase anchor protein 9 kDa; go_component: cytosol [goid 0005829] [evidence IDA] [pmid 10613906]; go_component: apical plasma membrane [goid 0016324] [evidence IDA] [pmid 10613906]; go_component: lateral plasma membrane [goid 0016328] [evidence IDA] [pmid 10613906]; go_function: protein kinase A binding [goid 0051018] [evidence IDA] [pmid 9545239]; go_function: protein kinase A binding [goid 0051018] [evidence IDA] [pmid 10613906]; go_function: protein kinase A binding [goid 0051018] [evidence TAS] [pmid 10613906]; go_process: ion transport [goid 0006811] [evidence TAS] [pmid 9545239]; go_process: protein localization [goid 0008104] [evidence IC] [pmid 9545239]; go_process: intracellular signaling cascade [goid 0007242] [evidence TAS] [pmid 10613906]; Homo sapiens A kinase (PRKA) anchor protein 7 (AKAP7), transcript variant gamma, mRNA.; isoform beta is encoded by transcript variant beta; Homo sapiens A kinase (PRKA) anchor protein 7 (AKAP7), transcript variant beta, mRNA.
223689_at	IMP-1	IGF-II mRNA-binding protein 1
209679_s_at	LOC57228	Small trans-membrane and glycosylated protein
205542_at	STEAP	Six transmembrane epithelial antigen of the prostate 1
218826_at	SLC35F2	Solute carrier family 35, member F2
227490_at	WDFY2	WD repeat and FYVE domain containing 2
203716_s_at	DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
242458_at	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2
210960_at	DAR; ADRA1; ADRA1A; ADRA1R; ALPHA1; dJ779E11.2	adrenergic, alpha-1D-, receptor
201566_x_at	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
212960_at	KIAA0882	KIAA0882 protein
1552610_a_at	JAK1	Janus kinase 1 (a protein tyrosine kinase)
235012_at	LRCH1	Leucine-rich repeats and calponin homology (CH) domain containing 1
205049_s_at	CD79A	CD79A antigen (immunoglobulin-associated alpha)
234971_x_at	PLCD3	to65a10.x1 NCI_CGAP_Gas4 Homo sapiens cDNA clone IMAGE:2183130 3 similar to contains Alu repetitive element;contains element MSR1 repetitive element ;, mRNA sequence.
1552508_at	KCNE4	Potassium voltage-gated channel, Isk-related family, member 4
225140_at	KLF3	Kruppel-like factor 3 (basic)
219371_s_at	KLF2	Kruppel-like factor 2 (lung)
201565_s_at	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
209652_s_at	PGF	Placental growth factor, vascular endothelial growth factor-related protein
236179_at	CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)
226408_at	TEAD2	TEA domain family member 2
201578_at	PODXL	Podocalyxin-like
227361_at	HS3ST3B1	Hypothetical protein MGC12916
204088_at	P2RX4	Purinergic receptor P2X, ligand-gated ion channel, 4
211478_s_at	DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)
204818_at	HSD17B2	Hydroxysteroid (17-beta) dehydrogenase 2
216252_x_at	FAS	Fas (TNF receptor superfamily, member 6)
59437_at	C9orf116	Chromosome 9 open reading frame 116
224790_at	DDEF1	DDEF1 intronic transcript 1
218424_s_at	TSAP6	STEAP family member 3
215719_x_at	FAS	Fas (TNF receptor superfamily, member 6)
227405_s_at	FZD8	Frizzled homolog 8 (Drosophila)
206060_s_at	PTPN22	Protein tyrosine phosphatase, non-receptor type 22 (lymphoid)
204743_at	TAGLN3	Transgelin 3
218177_at	CHMP1.5	Chromatin modifying protein 1B
224909_s_at	PREX1	Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1
200672_x_at	SPTBN1	Spectrin, beta, non-erythrocytic 1
203397_s_at	GALNT3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)
224325_at	FZD8	Frizzled homolog 8 (Drosophila)
209498_at	CEACAM1	Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
201562_s_at	SORD	Sorbitol dehydrogenase
225095_at	SPTLC2	Serine palmitoyltransferase, long chain base subunit 2
217678_at	SLC7A11	ab38f03.s1 Stratagene HeLa cell s3 937216 Homo sapiens cDNA clone IMAGE:843101 3 similar to contains Alu repetitive element;, mRNA sequence.
209921_at	SLC7A11	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
226552_at	IER5L	Immediate early response 5-like
212098_at	LOC151162	Hypothetical protein LOC151162
228054_at	LOC93109	Transmembrane protein 44
208934_s_at	LGALS8	Lectin, galactoside-binding, soluble, 8 (galectin 8)
209539_at	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6
225531_at	CABLES1	Cdk5 and Abl enzyme substrate 1
215034_s_at	TM4SF1	Transmembrane 4 L six family member 1
224748_at	HAN11	WD repeat domain 68
200762_at	DPYSL2	Dihydropyrimidinase-like 2
220102_at	FOXL2	Forkhead box L2
204396_s_at	GRK5	G protein-coupled receptor kinase 5
212486_s_at	FYN	FYN oncogene related to SRC, FGR, YES
203358_s_at	EZH2	Enhancer of zeste homolog 2 (Drosophila)
201649_at	UBE2L6	Ubiquitin-conjugating enzyme E2L 6
222482_at	MRPL37	Mitochondrial ribosomal protein L37
205897_at	NFATC4	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4
216033_s_at	FYN	FYN oncogene related to SRC, FGR, YES
218665_at	FZD4	Frizzled homolog 4 (Drosophila)
201042_at	TGM2
211003_x_at	TGM2	Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)
231714_s_at	AP4B1	Adaptor-related protein complex 4, beta 1 subunit
208892_s_at	DUSP6	Dual specificity phosphatase 6
208891_at	DUSP6	Dual specificity phosphatase 6
203214_x_at	CDC2	Cell division cycle 2, G1 to S and G2 to M
209373_at	BENE	Mal, T-cell differentiation protein-like
236029_at	FAT3	FAT tumor suppressor homolog 3 (Drosophila)
219054_at	FLJ14054	Hypothetical protein FLJ14054
203705_s_at	FZD7	Frizzled homolog 7 (Drosophila)
202762_at	ROCK2	Rho-associated, coiled-coil containing protein kinase 2
202763_at	CASP3	Caspase 3, apoptosis-related cysteine peptidase
1555705_a_at	CKLFSF3	CKLF-like MARVEL transmembrane domain containing 3
238417_at	PGM2L1	Phosphoglucomutase 2-like 1
235890_at		Transcribed locus
212293_at	HIPK1	Homeodomain interacting protein kinase 1
228333_at		Full length insert cDNA clone YT94E02
210257_x_at	CUL4B	Cullin 4B
204917_s_at	MLLT3	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3
239135_at	FLJ11151	Hypothetical protein FLJ11151
225447_at	GPD2	Glycerol-3-phosphate dehydrogenase 2 (mitochondrial)
201601_x_at	IFITM1	Interferon induced transmembrane protein 1 (9-27)
203615_x_at	SULT1A1	Sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1
1555779_a_at	CD79A	CD79A antigen (immunoglobulin-associated alpha)
227385_at	LOC403313	Phosphatidic acid phosphatase type 2 domain containing 2
1557116_at		UI-CF-EN1-acy-l-16-0-UI.s1 UI-CF-EN1 Homo sapiens cDNA clone UI-CF-EN1-acy-l-16-0-UI 3, mRNA sequence.
205173_x_at	CD58	CD58 antigen, (lymphocyte function-associated antigen 3)
36564_at	IBRDC3	IBR domain containing 3
202008_s_at	NID	Nidogen 1
210973_s_at	FGFR1	Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)
206665_s_at	BCL2L1	BCL2-like 1
214119_s_at	FKBP1A	FK506 binding protein 1A, 12kDa
210186_s_at	FKBP1A	FK506 binding protein 1A, 12kDa
229256_at	PGM2L1	Phosphoglucomutase 2-like 1
203964_at	NMI	N-myc (and STAT) interactor
215054_at	EPOR	Erythropoietin receptor
221710_x_at	FLJ10647	Chromosome 1 open reading frame 78
225601_at	HMGB3	High-mobility group box 3
216548_x_at	HMGB3
208936_x_at	LGALS8	Lectin, galactoside-binding, soluble, 8 (galectin 8)
205524_s_at	HAPLN1	Hyaluronan and proteoglycan link protein 1
205828_at	MMP3	Matrix metallopeptidase 3 (stromelysin 1, progelatinase)
223437_at	LOC150383	Peroxisome proliferative activated receptor, alpha
210651_s_at	EPHB2	EPH receptor B2
219102_at	RCN3	Reticulocalbin 3, EF-hand calcium binding domain
212312_at	COX4I2
225510_at	NS5ATP13TP2	NS5ATP13TP2 protein
61734_at	RCN3	Reticulocalbin 3, EF-hand calcium binding domain
204497_at	ADCY9	Adenylate cyclase 9
230108_at	PGBD3	PiggyBac transposable element derived 3
