Probe Set ID	Gene Symbol	Gene Description	Mean UD	Mean CMC3w	Mean CMC7w	Mean FH	Mean AH	q-Value	Max FC
8012285	KCNAB3	potassium voltage-gated channel, shaker-related subfamily, beta member 3	35.4	49.5	46.5	26.8	29.2	0.0003	1.8
7955502	SCN8A	sodium channel, voltage-gated, type VIII, alpha subunit	121.7	49.8	55.7	31.9	35.6	0	1.7
8026900	KCNN1	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1	77.3	64.7	59	39.8	37.2	0	1.7
8098291	CLCN3	chloride channel 3	358.7	584.1	486.7	555.8	844.6	0	1.7
7918449	KCNA2	potassium voltage-gated channel, shaker-related subfamily, member 2	21.1	32.5	34.7	31.5	54.4	0.0001	1.7
7918457	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	44.9	40.6	47.2	66.9	61.1	0.0002	1.6
8056491	SCN9A	sodium channel, voltage-gated, type IX, alpha subunit	46.2	44.1	66.9	70.3	55	0.0016	1.6
8051762	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	88.3	2,446.60	3,187.90	3,829.30	2,767.20	0.0001	1.6
8070173	KCNE1	potassium voltage-gated channel, Isk-related family, member 1	60.1	98.8	128.8	90.8	84.7	0.0002	1.5
8143825	KCNH2	potassium voltage-gated channel, subfamily H (eag-related), member 2	101	165.8	245.2	205	193.7	0.0002	1.5
8172493	KCND1	potassium voltage-gated channel, Shal-related subfamily, member 1	45	41.5	40.4	36.5	28.5	0.0001	1.5
7946853	KCNJ11	potassium inwardly rectifying channel, subfamily J, member 11	40.3	49.1	69.2	47.5	59.9	0.0004	1.5
7953264	KCNA6	potassium voltage-gated channel, shaker-related subfamily, member 6	50.9	54.1	46.2	45.7	37.6	0.0002	1.4
8066921	KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	46.2	44.2	51.9	46.1	62.5	0.0002	1.4
7924071	KCNH1	potassium voltage-gated channel, subfamily H (eag-related), member 1	29.4	30.4	28.4	21.7	25.5	0.0081	1.4
7934570	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1	44.6	65.1	58.2	46.5	53	0.0017	1.4
7994463	ATP2A1	ATPase, Ca2+ transporting, cardiac muscle, fast twitch 1	50.8	51.9	46.7	42	37.6	0.003	1.4
8040458	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	126.4	75.4	60.4	54.5	61.7	0.0031	1.4
7914021	SLC9A1	solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, Na &#1;/H &#1;, amiloride sensitive)	128.5	147.4	142.2	106.7	132.1	0.0002	1.4
8038309	KCNA7	potassium voltage-gated channel, shaker-related subfamily, member 7	45.2	51.4	58.2	42.4	45.4	0.0005	1.4
8003149	KCNG4	potassium voltage-gated channel, subfamily G, member 4	53.5	62.3	63.3	53.6	46.6	0.0017	1.4
8154124	KCNV2	potassium channel, subfamily V, member 2	36.6	44.6	46	39.8	34.7	0.0051	1.3
8092473	CLCN2	chloride channel 2	108.6	83.6	73.2	73.2	63.7	0	1.3
7950409	KCNE3	potassium voltage-gated channel, Isk-related family, member 3	44	34.5	34.5	40.9	44.9	0.0004	1.3
8017521	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	58.9	56.4	61	65.9	51.3	0.0014	1.3
8023984	HCN2	Hyperpolarization-activated cyclic nucleotide-gated potassium channel 2	95.9	103.6	131.9	111.9	123.6	0.0026	1.3
8005726	KCNJ12	potassium inwardly rectifying channel, subfamily J, member 12	126.2	149	189	151.1	150.8	0.0006	1.3
7918444	KCNA10	potassium voltage-gated channel, shaker-related subfamily, member 10	58.3	77.3	81.7	64.6	67.3	0.0034	1.3
7952617	KCNJ1	potassium inwardly rectifying channel, subfamily J, member 1	11.2	10.9	10.4	8.7	8.8	0.0027	1.3
8046020	SCN2A	sodium channel, voltage-gated, type II, alpha subunit	11.3	16.8	17.4	13.9	15.5	0.002	1.3
8146908	KCNB2	potassium voltage-gated channel, Shab-related subfamily, member 2	34.8	28.2	28	29.1	23.3	0.0091	1.2
7958644	ATP2A2	ATPase, Ca2+ transporting, cardiac muscle, slow twitch 2	1,077.60	4,642.30	5,379.00	4,850.10	5,774.20	0.0013	1.2
8086283	SCN11A	sodium channel, voltage-gated, type XI, alpha subunit	29.1	33.4	30.4	28.5	27	0.0006	1.2
7979529	KCNH5	potassium voltage-gated channel, subfamily H (eag-related), member 5	22.8	14.9	13.8	12.1	14.6	0.0257	1.2
8038540	KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3	71.8	82.4	94	85.1	76.2	0.0022	1.2
8021900	KCNG2	potassium voltage-gated channel, subfamily G, member 2	101.7	92.4	113.4	103.8	99.8	0.0056	1.2
7903867	KCNC4	potassium voltage-gated channel, Shaw-related subfamily, member 4	102.2	95.2	111.9	116.3	110.4	0.0004	1.2
8076072	KCNJ4	potassium inwardly rectifying channel, subfamily J, member 4	116.8	149.2	170	161.2	182	0.003	1.2
7938738	KCNC1	potassium voltage-gated channel, Shaw-related subfamily, member 1	75.4	74.9	85.5	72.1	71.5	0.0022	1.2
8051785	KCNG3	potassium voltage-gated channel, subfamily G, member 3	165.9	27.1	27.5	26	23.1	0.0113	1.2
8015554	KCNH4	potassium voltage-gated channel, subfamily H (eag-related), member 4	68.4	74.7	82.9	73.3	69.8	0.0206	1.2
8086255	SCN10A	sodium channel, voltage-gated, type X, alpha subunit	24.7	25.9	30.7	28.7	28.1	0.0052	1.2
8040265	KCNF1	potassium voltage-gated channel, subfamily F, member 1	74.2	65	77.1	68.1	69.2	0.0022	1.2
8043552	KCNIP3	Kv channel interacting protein 3, calsenilin	38.4	43.4	51.3	45.5	48.6	0.0041	1.2
8073152	CACNA1I	calcium channel, voltage-dependent, T type, alpha 1I subunit	55.8	53.9	62.8	57.5	56.3	0.0182	1.2
8078196	KCNH8	potassium voltage-gated channel, subfamily H (eag-related), member 8	38.6	22.3	19.8	20.4	20.5	0.031	1.1
8068369	KCNE2	potassium voltage-gated channel, Isk-related family, member 2	27.1	25.9	26.4	27.5	24.8	0.0061	1.1
8009145	KCNH6	potassium voltage-gated channel, subfamily H (eag-related), member 6	57.3	52.5	57.1	56.4	55.5	0.0469	1.1
8030044	KCNJ14	potassium inwardly rectifying channel, subfamily J, member 14	49.1	49.2	46.9	47.6	46.1	0.0079	1.1
8037408	KCNN4	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4	47.4	50.5	49.9	50.7	48.1	0.0081	1.1
