# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_001040668.1|NM_001040668	hgnc_symbol|BCL2L12|BCL2L12
refseq_dna|XM_001127986.1|XM_001127986	hgnc_symbol|OTUD7A|OTUD7A
refseq_dna|XM_497354.1|XM_497354	hgnc_symbol|Q96NT9|Q96NT9
refseq_dna|NM_172005.1|NM_172005	hgnc_symbol|WFDC13|WFDC13
refseq_dna|NM_001044305.1|NM_001044305	hgnc_symbol|SMAP1|SMAP1
refseq_dna|NM_004714.1|NM_004714	hgnc_symbol|DYRK1B|DYRK1B
refseq_dna|NM_032314.3|NM_032314	hgnc_symbol|COQ5|COQ5
refseq_dna|NM_001005369.1|NM_001005369	hgnc_symbol|MTIF2|MTIF2
refseq_dna|NM_022163.2|NM_022163	hgnc_symbol|MRPL46|MRPL46
refseq_dna|NM_021821.2|NM_021821	hgnc_symbol|MRPS35|MRPS35
refseq_dna|NM_000930.2|NM_000930	hgnc_symbol|PLAT|PLAT
refseq_dna|NM_014554.2|NM_014554	hgnc_symbol|SENP1|SENP1
refseq_dna|NM_006532.2|NM_006532	hgnc_symbol|ELL|ELL
refseq_dna|NM_018026.2|NM_018026	hgnc_symbol|PACS1|PACS1
refseq_dna|NM_003463.3|NM_003463	hgnc_symbol|PTP4A1|PTP4A1
refseq_dna|NM_173354.3|NM_173354	hgnc_symbol|SNF1LK|SNF1LK
refseq_dna|XR_016154.1|XR_016154	hgnc_symbol|LOC283116|LOC283116
hgnc_symbol|Q5VYG3|Q5VYG3
refseq_dna|NM_014285.4|NM_014285	hgnc_symbol|EXOSC2|EXOSC2
refseq_dna|NM_018301.2|NM_018301	hgnc_symbol|RBM41|RBM41
refseq_dna|NM_001111.3|NM_001111	hgnc_symbol|ADCY2|ADCY2
refseq_dna|NM_003867.2|NM_003867	hgnc_symbol|FGF17|FGF17
refseq_dna|NM_020546.2|NM_020546	hgnc_symbol|ADH1A|ADH1A
refseq_dna|NM_004272.3|NM_004272	hgnc_symbol|HOMER1|HOMER1
refseq_dna|NM_018286.1|NM_018286	hgnc_symbol|TMEM100|TMEM100
refseq_dna|NM_020728.1|NM_020728	hgnc_symbol|FAM62B|FAM62B
refseq_dna|NM_020825.2|NM_020825	hgnc_symbol|CRAMP1L|CRAMP1L
refseq_dna|XM_001134364.1|XM_001134364	hgnc_symbol|FOXK2|FOXK2
refseq_dna|XM_001133530.1|XM_001133530	hgnc_symbol|HMGN2|HMGN2
hgnc_symbol|NANOGP8|NANOGP8
refseq_dna|NM_152995.4|NM_152995	hgnc_symbol|NFXL1|NFXL1
refseq_dna|NM_001077470.1|NM_001077470	hgnc_symbol|NR1I3|NR1I3
refseq_dna|NR_003032.1|NR_003032	hgnc_symbol|SNORA32|SNORA32
refseq_dna|NM_001514.3|NM_001514	hgnc_symbol|GTF2B|GTF2B
refseq_dna|NM_003466.3|NM_003466	hgnc_symbol|PAX8|PAX8
refseq_dna|NM_080618.2|NM_080618	hgnc_symbol|CTCFL|CTCFL
hgnc_symbol|EEF1AL3|EEF1AL3
refseq_dna|NM_015693.2|NM_015693	hgnc_symbol|INTU|INTU
refseq_dna|NM_001024847.1|NM_001024847	hgnc_symbol|TGFBR2|TGFBR2
refseq_dna|NM_004321.4|NM_004321	hgnc_symbol|KIF1A|KIF1A
refseq_dna|NM_015231.1|NM_015231	hgnc_symbol|NUP160|NUP160
refseq_dna|NM_003062.1|NM_003062	hgnc_symbol|SLIT3|SLIT3
refseq_dna|NM_153206.1|NM_153206	hgnc_symbol|AMICA1|AMICA1
refseq_dna|NM_020816.1|NM_020816	hgnc_symbol|KIF17|KIF17
refseq_dna|NM_079834.2|NM_079834	hgnc_symbol|SCAMP4|SCAMP4
refseq_dna|XM_290540.7|XM_290540	hgnc_symbol|MUC6|MUC6
refseq_dna|XR_019363.1|XR_019363	hgnc_symbol|SNF8|SNF8
refseq_dna|NM_017799.3|NM_017799	hgnc_symbol|C14orf101|C14orf101
refseq_dna|NM_024598.2|NM_024598	hgnc_symbol|C16orf57|C16orf57
hgnc_symbol|Q6PDB4|Q6PDB4
hgnc_symbol|Q6ZMS0|Q6ZMS0
hgnc_symbol|Q6ZRH2|Q6ZRH2
hgnc_symbol|Q8NB05|Q8NB05
refseq_dna|XM_032693.5|XM_032693	hgnc_symbol|SEC14L5|SEC14L5
refseq_dna|NM_207397.2|NM_207397	hgnc_symbol|CD164L2|CD164L2
refseq_dna|NM_015455.3|NM_015455	hgnc_symbol|CNOT6|CNOT6
hgnc_symbol|Q6YL35|Q6YL35
refseq_dna|XM_029084.8|XM_029084	hgnc_symbol|Q8N2T9|Q8N2T9
hgnc_symbol|Q96NM1|Q96NM1
refseq_dna|NM_173566.1|NM_173566	hgnc_symbol|C22orf30|C22orf30
refseq_dna|NM_016038.2|NM_016038	hgnc_symbol|SBDS|SBDS
refseq_dna|NM_024590.3|NM_024590	hgnc_symbol|ARSJ|ARSJ
refseq_dna|NM_001004759.1|NM_001004759	hgnc_symbol|OR51T1|OR51T1
refseq_dna|NM_001005182.1|NM_001005182	hgnc_symbol|OR6C1|OR6C1
refseq_dna|NM_004419.3|NM_004419	hgnc_symbol|DUSP5|DUSP5
refseq_dna|NM_001004736.2|NM_001004736	hgnc_symbol|OR5K1|OR5K1
refseq_dna|NM_001023582.1|NM_001023582	hgnc_symbol|RPGR|RPGR
