probe set	Gene		Accession	EntrezGene	CEF NY315/CEF RCAS	CEF SRA/CEF RCAS	CEF SRA/CEF NY315	CEF NY72-4 P/CEF NY72-4 NP	min p-value RCAS vs NY315 vs SRA
Gga.4999.2.S1_at	ITGA4	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)	AF074605.1	424121	0.1	1.66	1.56	1.41	0.003943
GgaAffx.20659.1.S1_at	LOC769679	similar to synleurin	CR523956.1	0	0.32	1.63	1.31	1.33	0.001902
Gga.385.1.S1_at	DUSP4	dual specificity phosphatase 4	NM_204838.1	395642	-0.32	1.62	1.94	1.55	0.000846
Gga.18801.1.S1_at		Finished cDNA, clone ChEST766f10	CR391511.1	0	0.6	1.61	1.01	1.16	0.00577
GgaAffx.20379.1.S1_at		Finished cDNA, clone ChEST914o3	CR524236.1	0	-0.04	1.58	1.62	1.49	0.000453
GgaAffx.6884.1.S1_at	LOC422580	hypothetical LOC422580	ENSGALT00000017704.1	422580	-0.68	1.57	2.25	1.09	0.001877
Gga.1917.1.S1_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	BU356680	414745	0.07	1.52	1.45	1.74	0.027454
Gga.8190.1.S1_at	LOC421544	similar to digestive tract-specific calpain; calcium-dependent cysteine proteinase	BU303118	0	0.47	1.48	1.01	1.09	0.008649
Gga.3316.1.S1_s_at	HHEX	hematopoietically expressed homeobox	NM_205252.1	396182	0.47	1.47	1	1.22	0.009504
Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	M64990.1	396451	0.28	1.47	1.19	1.2	0.023596
Gga.7271.1.S1_s_at	MPP1	membrane protein, palmitoylated 1, 55kDa	BU404341	422197	0.34	1.45	1.11	1.07	0.000167
Gga.13534.1.S1_at		Finished cDNA, clone ChEST642h15	BU445618	0	0.84	1.43	0.59	1.63	0.001271
Gga.5748.1.S1_at	IL13RA2	interleukin 13 receptor, alpha 2	BX934144.2	422219	0.19	1.41	1.22	1.08	0.000971
Gga.14469.1.S1_at		Finished cDNA, clone ChEST328j11	BU276312	423959	0.15	1.39	1.24	1.6	0.003328
GgaAffx.7265.1.S1_at	LOC417920	similar to PCTAIRE protein kinase 2	ENSGALT00000018679.1	417920	-0.31	1.38	1.69	1.5	0.001112
Gga.19147.1.S1_at		Finished cDNA, clone ChEST766h5	BU480146	0	0.07	1.37	1.3	1.04	0.000234
Gga.5316.1.S1_at	LOC423599	similar to Leucine rich repeat and fibronectin type III domain containing 5	BU389426	423599	-0.05	1.36	1.41	1.43	0.026978
Gga.1171.1.S1_at	LY6E	lymphocyte antigen 6 complex, locus E	NM_204775.1	395550	-0.08	1.3	1.38	1.72	0.00031
Gga.12444.1.S2_s_at	RCJMB04_24e7	calmodulin 1 (phosphorylase kinase, delta)	BU118678	0	-0.48	1.27	1.76	1.09	0.003082
Gga.5058.1.S1_s_at	CST3	cystatin C	NM_205500.1	396497	0.4	1.27	0.87	1.12	0
GgaAffx.4536.1.S1_s_at	LOC420473	similar to rho-GAP domain containing protein ARHGAP12b	ENSGALT00000011742.1	420473	-0.19	1.23	1.42	1.01	0.000652
Gga.10145.1.S1_a_at	GYPC	glycophorin C	AY234184.1	424230	-0.15	1.21	1.36	1.01	0.007189
Gga.871.1.S1_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	NM_205511.1	396517	-0.25	1.19	1.43	1.27	0.000503
Gga.3332.1.S1_at	MXRA8	matrix-remodelling associated 8	NM_204636.1	395347	-0.04	1.16	1.2	-1.56	0.014531
GgaAffx.3119.1.S1_at	LOC426482	similar to rai-like protein RaLP	ENSGALT00000008025.1	0	-1.3	1.15	2.45	1.12	0.006548
GgaAffx.23423.2.S1_s_at	KCNJ5	potassium inwardly-rectifying channel, subfamily J, member 5	ENSGALT00000001792.1	395925	0.09	1.05	0.96	1.31	0.001569
GgaAffx.21844.1.S1_s_at	CDH2	cadherin 2, type 1, N-cadherin (neuronal)	NM_001001615.1	414745	0.39	1.04	0.65	1.14	0.015456
GgaAffx.9822.2.S1_s_at	RCJMB04_37k12	HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1	ENSGALT00000024866.1	421788	-0.06	1.01	1.07	1.05	0.009512
Gga.17235.1.S1_at		Finished cDNA, clone ChEST953c1	CR389198.1	0	-0.22	0.81	1.03	1.05	0.012188
Gga.12396.1.S1_s_at	RCJMB04_33f6	similar to AW547186 protein	CK610672	422344	-0.31	0.75	1.07	1.19	0.006617
Gga.5891.1.S1_at	PDCD6	programmed cell death 6	BU462078	420988	-0.38	0.72	1.11	1.14	0.009951
Gga.3973.1.S1_at	LOC395491	cTwist	NM_204739.1	395491	-0.46	0.6	1.05	1.02	0.006151
GgaAffx.13053.1.S1_s_at	RCJMB04_30m16	similar to chromosome 10 open reading frame 58	AJ720950	423625	-0.71	0.47	1.18	1.58	0.001215
Gga.9903.1.S1_at		Transcribed locus	BU207407	0	0.25	-0.76	-1.01	-1.36	0.001109
Gga.552.1.S1_at	DIO3	deiodinase, iodothyronine, type III	Y11273.1	395939	0.44	-0.85	-1.29	-2.38	0.020894
Gga.9783.1.S1_s_at	LOC417151	Hypothetical LOC417151	BX933023.1	0	0.61	-0.86	-1.47	-1.34	0.00362
GgaAffx.21792.1.S1_s_at	SCX	class II bHLH protein scleraxis	NM_204253.1	374101	0.82	-0.92	-1.74	-1.36	0.020298
Gga.4851.1.S1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	CR389359.1	0	0.12	-0.99	-1.11	-1.37	0.011957
Gga.16844.2.S1_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	BU413584	396340	0.04	-1.01	-1.05	-1.39	0.01966
Gga.9469.1.S1_at		Finished cDNA, clone ChEST234e18	CR386937.1	0	-0.44	-1.05	-0.61	1.2	0.01558
Gga.17661.1.S1_s_at		Finished cDNA, clone ChEST908h8	BU208365	0	0.11	-1.08	-1.19	-1.55	0.010338
Gga.17034.1.S1_s_at	YPEL2	yippee-like 2 (Drosophila)	BU475817	417632	-0.04	-1.11	-1.07	-1.29	0.001105
Gga.2839.1.S1_at	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	NM_204426.1	395069	0.06	-1.13	-1.2	-1.1	0.00177
Gga.15978.1.S1_at		Finished cDNA, clone ChEST599e2	BU295427	0	-0.31	-1.18	-0.87	-1.12	0.007186
Gga.14835.1.S1_at		Finished cDNA, clone ChEST286i13	BU468873	0	0.72	-1.19	-1.91	-1.11	0.008329
Gga.17428.1.S1_at		Finished cDNA, clone ChEST933h9	BU237730	0	-0.09	-1.2	-1.11	-1.2	0.004246
Gga.15793.1.S1_at	LOC418654	Similar to Steryl-sulfatase precursor (Steroid sulfatase) (Steryl-sulfate sulfohydrolase) (Arylsulfatase C) (ASC)	BU224644	0	-0.2	-1.21	-1.01	-1.11	0.000048
Gga.4851.1.A1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	CR389359.1	0	0.49	-1.22	-1.71	-1.58	0.00611
Gga.6003.1.S1_a_at	LOC419019	similar to LOC495390 protein	BU284072	419019	0.14	-1.26	-1.4	-1	0.000262
Gga.18811.1.S1_at		Finished cDNA, clone ChEST987f14	CR391541.1	0	0.21	-1.27	-1.48	-2.32	0.001411
Gga.13441.1.S1_x_at		Finished cDNA, clone ChEST40a19	BU394918	0	0.04	-1.28	-1.32	-1.55	0.003811
Gga.18643.1.S1_s_at	LOC768444	similar to voltage-gated calcium channel alpha2/delta-1 subunit	CR391148.1	0	-0.59	-1.31	-0.71	-1.09	0.007271
Gga.15998.1.S1_at	COLEC12	collectin sub-family member 12	BU206620	421061	-0.39	-1.31	-0.92	-1.25	0.011884
Gga.6265.1.S1_at	LOC769847	similar to Glutathione S-transferase theta 1	BX935098.2	0	-0.19	-1.31	-1.12	-1.18	0.005263
GgaAffx.25534.1.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	ENSGALT00000004033.1	396340	-0.18	-1.39	-1.21	-1.91	0.015559
GgaAffx.13080.1.S1_at	YPEL2	yippee-like 2 (Drosophila)	AJ720977	417632	-0.29	-1.4	-1.1	-1.42	0.011942
GgaAffx.3860.2.S1_s_at	LOC770787	similar to Four and a half LIM domains a	ENSGALT00000009987.1	0	-0.55	-1.42	-0.87	-1.07	0.000481
Gga.17200.1.S1_at		Finished cDNA, clone ChEST936d10	BU352261	0	-0.27	-1.43	-1.16	-1.44	0.003984
Gga.4051.1.S1_at	CTGF	connective tissue growth factor	NM_204274.1	374135	-0.12	-1.43	-1.31	-1.24	0.008273
GgaAffx.24036.1.S1_at	LOC772003	similar to HWKM1940	ENSGALT00000021035.1	0	-0.23	-1.43	-1.2	-1.51	0.002097
GgaAffx.3860.1.S1_at	LOC770787	similar to Four and a half LIM domains a	ENSGALT00000009988.1	0	-0.74	-1.44	-0.7	-1.74	0.000143
Gga.18130.1.S1_at		Finished cDNA, clone ChEST478c4	BU272119	0	-0.16	-1.51	-1.36	-1.65	0.001456
Gga.9684.1.S1_at	C1QTNF3	C1q and tumor necrosis factor related protein 3	CR389929.1	427430	0.98	-1.52	-2.51	-2.42	0.016137
Gga.5362.1.S1_a_at	LOC428948	similar to Pdlim1 protein	BX932965.1	0	-0.45	-1.53	-1.09	-1.17	0.008186
GgaAffx.26498.1.S1_s_at	LOC428948	similar to Pdlim1 protein	ENSGALT00000008709.1	428948	-0.73	-1.57	-0.83	-1.05	0.001395
Gga.17021.1.S1_at	LOC769894	similar to Transmembrane anchor protein 1	BU412398	0	-0.49	-1.65	-1.17	-1.57	0.004063
GgaAffx.22988.1.S1_at			ENSGALT00000015689.1	0	-0.41	-1.65	-1.24	-1.11	0.001432
Gga.16844.2.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	BU413584	396340	-0.48	-1.66	-1.19	-1.99	0.008891
Gga.19012.1.S1_at	LOC423782	hypothetical LOC423782	CR388601.1	423782	-0.22	-1.68	-1.46	-1.05	0.000243
GgaAffx.8024.1.S1_at	LOC771624	hypothetical protein LOC771624	ENSGALT00000020673.1	0	-0.1	-1.69	-1.58	-2.38	0.003706
GgaAffx.25521.1.S1_s_at	COL5A2	collagen, type V, alpha 2	ENSGALT00000003956.1	423986	-0.91	-1.72	-0.81	-1.11	0.00432
Gga.15017.1.S1_at	LOC424815	hypothetical LOC424815	BU238786	0	0.33	-1.73	-2.06	-1.08	0.000382
GgaAffx.1539.1.S1_at	LOC428221	similar to FLJ00201 protein	ENSGALT00000003614.1	428221	-0.24	-1.78	-1.53	-1.13	0.000296
Gga.16392.1.S1_at	COL11A1	collagen, type XI, alpha 1	BU421013	0	0.11	-1.8	-1.92	-1.6	0.003757
Gga.12660.2.S1_a_at	PCSK5	proprotein convertase subtilisin/kexin type 5	BX930369.1	395456	-0.58	-1.81	-1.23	-1.23	0.001962
Gga.4965.1.S1_at	COL12A1	collagen, type XII, alpha 1	D00824.1	395875	-0.05	-1.81	-1.76	-1.01	0.006689
Gga.9052.1.S1_at	LOC768655	similar to pim-3 protein	BU457184	0	-0.15	-1.82	-1.66	-1.41	0.000793
Gga.14849.1.A1_at		Finished cDNA, clone ChEST298l12	CR386696.1	0	-0.82	-1.83	-1.01	-1.09	0.007068
Gga.4941.1.S1_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	AF055342.1	415797	-0.31	-1.86	-1.55	-1.28	0.001245
GgaAffx.8303.1.S1_at	LOC418173	similar to RAS-like, estrogen-regulated, growth inhibitor	ENSGALT00000021352.1	418173	-0.74	-1.88	-1.14	-1.14	0.000372
GgaAffx.20781.1.S1_at		Finished cDNA, clone ChEST229d1	CR523834.1	0	-0.15	-1.89	-1.74	-1.26	0.019695
Gga.2724.1.S1_at		Finished cDNA, clone ChEST446j8	BU274023	0	-0.82	-1.89	-1.07	-1.23	0.005415
Gga.6921.1.S1_a_at	LOC427391	similar to cysteine dioxygenase	BX936224.1	427391	1.02	-1.9	-2.91	-3.09	0.001122
Gga.13207.1.S1_at	NLN	neurolysin (metallopeptidase M3 family)	BU379156	427167	-0.55	-1.92	-1.37	-1.17	0.000264
Gga.3607.1.S1_a_at	LOC396243	Collagen alpha 2(I) chain precursor	M33383.1	396243	-0.68	-1.97	-1.29	-1.15	0.000372
GgaAffx.21149.1.S1_at		Finished cDNA, clone ChEST752c1	CR523466.1	0	-0.1	-1.99	-1.89	-1.23	0.001085
GgaAffx.1064.1.S1_s_at	ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)	ENSGALT00000002471.1	424746	0.03	-2.02	-2.05	-1.07	0.000648
GgaAffx.9643.2.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024470.1	395456	-0.37	-2.03	-1.66	-1.26	0.002427
GgaAffx.21342.1.S1_at		Finished cDNA, clone ChEST609n12	CR523273.1	0	-0.5	-2.07	-1.57	-1.02	0.000048
Gga.11142.2.S1_s_at	LOC420120	similar to cartilage oligomeric matrix protein	CR353695.1	420120	0.22	-2.08	-2.29	-1.07	0.000434
GgaAffx.9643.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024469.1	395456	-0.06	-2.09	-2.03	-1.25	0.008312
Gga.5640.1.S1_at	LOC419017	hypothetical LOC419017	CR354305.1	0	0.01	-2.09	-2.1	-1.08	0.013819
Gga.16374.1.S1_at		Finished cDNA, clone ChEST84l23	BU420508	0	0.24	-2.13	-2.37	-1.36	0.003842
GgaAffx.9712.1.S1_at	COL8A1	collagen, type VIII, alpha 1	ENSGALT00000024611.1	418378	0.14	-2.15	-2.3	-1.27	0.006784
Gga.5154.1.S1_at	POSTN	periostin, osteoblast specific factor	BU435666	395429	-0.17	-2.15	-1.98	-1.44	0.002042
Gga.7551.1.S1_at	WISP1	WNT1 inducible signaling pathway protein 1	BU213681	420322	-0.48	-2.19	-1.71	-1.07	0.012132
Gga.3745.1.S2_at			BU357254	425383	0.12	-2.22	-2.33	-1.22	0.000842
Gga.3448.1.S1_at	THBS1	thrombospondin 1	U76994.1	373987	-1.02	-2.23	-1.21	-1.55	0.000019
Gga.3562.1.S1_at	COL11A1	collagen, type XI, alpha 1	BU467929	0	0.42	-2.27	-2.69	-1.63	0.003254
Gga.1615.1.S1_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	AL587697	418143	-0.49	-2.27	-1.77	-1.47	0.001486
Gga.10300.1.S1_s_at	THBS1	thrombospondin 1	BU420112	373987	-1.27	-2.29	-1.02	-1.54	0.0005
Gga.1784.1.S1_at	ITGA8	integrin, alpha 8	NM_205288.1	396225	-0.87	-2.33	-1.46	-1.88	0.000558
Gga.2769.1.S1_at	IL6	interleukin 6 (interferon, beta 2)	NM_204628.1	395337	-0.56	-2.35	-1.79	-1.09	0.001272
Gga.7316.1.S1_at		Transcribed locus, strongly similar to XP_425758.1  similar to tumor endothelial marker 8 isoform 1 precursor; tumor endothelial marker 8; 2310008J16Rik; 2810405N18Rik [Gallus gallus]	BU251739	428199	0.5	-2.36	-2.86	-2.51	0.004306
GgaAffx.9641.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	ENSGALT00000024468.1	395456	-0.77	-2.38	-1.61	-1.18	0.007771
Gga.16662.1.S1_at			BU278810	0	-0.47	-2.38	-1.91	-1.32	0.002128
Gga.2829.1.S1_at		Finished cDNA, clone ChEST888b4	BU279348	0	-0.35	-2.42	-2.06	-1.33	0.000196
Gga.3104.1.S1_at	LOC418752	similar to Collagen alpha-2(IV) chain	CR385849.1	0	-0.89	-2.48	-1.58	-1.23	0.001341
GgaAffx.25869.1.S1_at	LOC419533	hypothetical LOC419533	ENSGALT00000000548.1	419533	-0.45	-2.51	-2.06	-1.43	0.000567
Gga.13535.1.S1_at	LOC776634	similar to DNA-dependent protein kinase catalytic subunit	AW198611	0	-0.23	-2.53	-2.3	-1.39	0.00178
Gga.12310.1.S1_at	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	BX950437.1	0	-0.31	-2.53	-2.22	-1.19	0.000049
Gga.4965.1.S1_a_at	COL12A1	collagen, type XII, alpha 1	D00824.1	395875	-0.22	-2.55	-2.33	-1.27	0.002756
Gga.8078.1.S1_at	LOC418737	similar to growth arrest-specific 6	BU284452	418737	0.26	-2.56	-2.82	-2.6	0.00508
Gga.16495.1.S1_at		Finished cDNA, clone ChEST400g6	CR385134.1	0	-0.3	-2.57	-2.27	-1.44	0.001754
GgaAffx.9368.2.S1_s_at	LOC427160	similar to ADAM metallopeptidase with thrombospondin type 1 motif, 6 preproprotein	ENSGALT00000023785.1	427160	-0.31	-2.6	-2.28	-1.08	0.000258
Gga.4078.1.S1_at	LUM	lumican	BX272380	417891	0.24	-2.7	-2.94	-1.75	0.005498
Gga.9233.1.S1_at	GHR	Growth hormone receptor	BU231940	408184	0.01	-2.7	-2.71	-1.02	0.004264
Gga.4965.3.S1_a_at	COL12A1	collagen, type XII, alpha 1	X67327.1	395875	-0.68	-2.72	-2.04	-1.42	0.000135
Gga.1784.1.S2_at	ITGA8	integrin, alpha 8	BU392003	396225	-0.41	-2.73	-2.32	-2.31	0.000077
Gga.15175.1.S1_at		Finished cDNA, clone ChEST843i22	BU460539	0	-0.6	-2.97	-2.36	-1.52	0.001559
Gga.3573.2.S1_a_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	CR354079.1	396023	-0.39	-2.98	-2.59	-1.65	0.003754
Gga.3972.1.S2_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU407384	396332	-0.55	-3	-2.45	-1.56	0.001658
Gga.17936.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	BU458704	396332	-0.09	-3.03	-2.94	-1.54	0.000151
Gga.3931.1.S1_at	LOC420120	similar to cartilage oligomeric matrix protein	BU419509	420120	0.89	-3.05	-3.93	-1.83	0.001447
Gga.18038.1.A1_at		Finished cDNA, clone ChEST184g12	CR389443.1	0	0.04	-3.08	-3.12	-1.79	0.000627
GgaAffx.26432.1.S1_s_at	COL11A1	collagen, type XI, alpha 1	ENSGALT00000008321.1	374046	0.01	-3.09	-3.1	-1.79	0.001925
Gga.4108.2.S1_a_at	TPM1	tropomyosin 1 (alpha)	M36337.1	396366	-0.57	-3.1	-2.53	-1.02	0.000112
GgaAffx.20104.1.S1_s_at	POSTN	periostin, osteoblast specific factor	AY657005.1	395429	-0.13	-3.11	-2.98	-2.08	0.003227
Gga.14339.1.S1_s_at	LOC418833	response gene to complement 32	CR352504.1	418833	0.08	-3.19	-3.27	-2.91	0.000618
Gga.9414.1.S1_at			CD736436	0	0.06	-3.23	-3.29	-1.34	0.000135
Gga.696.1.S1_at	BDNF	brain-derived neurotrophic factor	X61476.1	396186	-0.38	-3.24	-2.86	-1.34	0.000304
Gga.3972.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	NM_205373.1	396332	-0.21	-3.29	-3.08	-2.06	0.003027
Gga.16384.1.S1_at		Finished cDNA, clone ChEST229g1	BU236248	0	-0.63	-3.29	-2.66	-1.35	0.002171
GgaAffx.25795.1.S1_s_at	LOC420120	similar to cartilage oligomeric matrix protein	ENSGALT00000005192.1	420120	0.69	-3.41	-4.1	-1.83	0.000509
Gga.665.1.S1_at	CSRP2	cysteine and glycine-rich protein 2	NM_205208.1	396128	-1.17	-3.46	-2.29	-1.7	0.014364
Gga.918.1.S1_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	AF077369.1	395301	-0.71	-3.48	-2.77	-1.88	0.000035
Gga.16710.2.S1_a_at	LOC419422	hypothetical LOC419422	CN237192	419422	-0.25	-3.58	-3.34	-1.53	0.001755
Gga.4870.3.S1_a_at	LOC423298	alpha-cardiac actin	BU143248	423298	-1.19	-3.62	-2.42	-1.73	0.001628
Gga.2587.1.S1_at	NOV	nephroblastoma overexpressed gene	NM_205268.1	396204	-0.47	-3.67	-3.2	-2.58	0.000961
Gga.1819.1.S1_at	DIO2	deiodinase, iodothyronine, type II	NM_204114.1	373903	-0.15	-3.68	-3.53	-2.53	0.001394
Gga.14498.1.S1_at		Finished cDNA, clone ChEST533o24	BU258089	0	-0.32	-3.71	-3.39	-1.72	0.000031
