Probesets	Symbol	Gene accession number	Fc ES vs. CD31+	Fc D8 vs. CD31+	Fc ES vs. D8
1448830_at	Dusp1	NM_013642	5.119	8.395	-1.64
1448862_at	Icam2	NM_010494	79.892	4.581	17.438
1448864_at	Snrk	NM_133741	12.803	2.489	5.144
1448942_at	Gng11	NM_025331	20.815	3.071	6.777
1449066_a_at	Arhgef7	NM_017402	2.86	2.059	1.389
1449110_at	Rhob	NM_007483	22.002	3.12	7.053
1449135_at	Sox18	NM_009236	36.57	2.404	15.212
1449145_a_at	Cav1	NM_007616	59.243	3.906	15.165
1449146_at	Notch4	NM_010929	4.154	4.515	-1.087
1449232_at	Gata1	NM_008089	22.941	2.479	9.254
1449269_at	F5	NM_007976	3.653	2.178	1.678
1449305_at	F10	NM_007972	16.473	3.625	4.544
1449379_at	Kdr	NM_010612	76.147	2.526	30.151
1449389_at	Tal1	NM_011527	34.291	2.523	13.59
1449419_at	Dock8	NM_028785	19.952	5.732	3.481
1449439_at	Klf7	NM_033563	6.611	2.89	2.287
1449507_a_at	Cd47	NM_010581	20.372	2.022	10.076
1449516_a_at	Rgs3	NM_001081650	5.504	2.516	2.188
1449558_at	F8	NM_007977	3.579	3.083	1.161
1449591_at	Casp4	NM_007609	2.626	2.466	1.065
1449988_at	Gimap1	NM_008376	8.487	4.492	1.89
1450124_a_at	Atp2a3	NM_016745	2.23	2.379	-1.067
1450194_a_at	Myb	NM_010848	5.291	5.137	1.03
1450199_a_at	Stab1	NM_138672	20.469	5.235	3.91
1450333_a_at	Gata2	NM_008090	5.246	2.122	2.473
1450414_at	Pdgfb	NM_011057	6.398	4.935	1.296
1450698_at	Dusp2	NM_010090	21.331	6.018	3.544
1451282_at	Centd3	NM_139206	5.274	2.926	1.802
1451332_at	Zfp521	NM_145492	55.262	2.912	18.976
1451355_at	Asah3l	NM_139306	27.648	4.069	6.794
1451363_a_at	Dennd2d	NM_001093754	3.492	2.099	1.663
1451475_at	Plxnd1	NM_026376	69.631	4.06	17.152
1451492_at	Sla2	NM_029983	3.049	2.235	1.364
1451500_at	Ushbp1	NM_181418	11.232	5.277	2.128
1452001_at	Nfe2	NM_008685	45.104	2.777	16.241
1452035_at	Col4a1	NM_009931	26.41	2.342	11.274
1452190_at	Prcp	NM_028243	9.187	3.357	2.736
1452332_at	Ccdc85a	NM_181577	2.168	2.6	-1.199
1452493_s_at	Hoxb8	NM_010461	3.426	2.065	1.659
1452823_at	Gstk1	NM_029555	3.538	2.658	1.331
1453022_at	Gpihbp1	NM_026730	6.424	3.663	1.754
1453128_at	Xlkd1	NM_053247	9.55	4.889	1.953
1453196_a_at	Oasl2	NM_011854	3.472	2.371	1.464
1453851_a_at	Gadd45g	NM_011817	15.496	2.018	7.679
1454086_a_at	Lmo2	NM_008505	51.57	3.485	14.797
1454246_at	St3gal6	NM_018784	5.611	2.822	1.989
1455034_at	Nr4a2	NM_013613	10.885	3.533	3.081
1455044_at	Tmem44	NM_172614	2.39	2.312	1.034
1455137_at	Rapgef5	NM_175930	5.997	3.602	1.665
1455522_at	Arhgef15	NM_177566	5.215	3.751	1.39
1455660_at	Csf2rb1	NM_007780	48.859	3.726	13.112
1455771_at	Bzrap1	NM_172449	3.568	3.282	1.087
1456061_at	Gimap8	NM_001077410	20.083	4.797	4.187
1456135_s_at	Pxn	NM_011223	3.49	2.165	1.612
1456482_at	Pik3r3	NM_181585	5.628	4.031	1.396
1460239_at	Tspan13	NM_025359	2.175	2.208	-1.015
1460273_a_at	Birc1b	NM_010872	14.084	3.977	3.542
1460356_at	Esam1	NM_027102	20.021	4.674	4.284
1460651_at	Lat	NM_010689	3.868	2.695	1.435
