Probeset ID	Gene	Description	Fold Change
AGI_MM_OLIGO_A_51_P429681	Apbb2	amyloid beta (A4) precursor protein-binding, family B, member 2	2.16325
AGI_MM_OLIGO_A_51_P459350	Dstn	destrin	2.15574
AGI_MM_OLIGO_A_51_P147024	AI836003	expressed sequence AI836003	2.14090
AGI_MM_OLIGO_A_51_P277445	Rnf19	ring finger protein (C3HC4 type) 19	2.13788
AGI_MM_OLIGO_A_51_P234466	Ipo8	importin 8	2.13527
AGI_MM_OLIGO_A_51_P240476	Dnahc11	dynein, axonemal, heavy chain 11	2.12513
AGI_MM_OLIGO_A_51_P366542	Cd97	CD97 antigen	2.11996
AGI_MM_OLIGO_A_51_P457430	Adck5	aarF domain containing kinase 5	2.11916
AGI_MM_OLIGO_A_51_P508191	Dscr3	Down syndrome critical region gene 3	2.11840
AGI_MM_OLIGO_A_51_P118417	Scpep1	serine carboxypeptidase 1	2.11150
AGI_MM_OLIGO_A_51_P104798	Lrrn6a	leucine rich repeat neuronal 6A	2.10444
AGI_MM_OLIGO_A_51_P200397	Dap	death-associated protein	2.09945
AGI_MM_OLIGO_A_51_P199217	C330007P06Rik	RIKEN cDNA C330007P06 gene	2.09650
AGI_MM_OLIGO_A_51_P332165	3110040N11Rik	RIKEN cDNA 3110040N11 gene	2.08838
AGI_MM_OLIGO_A_51_P200529	Mpst	mercaptopyruvate sulfurtransferase	2.08279
AGI_MM_OLIGO_A_51_P131164	4933434I06Rik	RIKEN cDNA 4933434I06 gene	2.07410
AGI_MM_OLIGO_A_51_P356493	Bicc1	bicaudal C homolog 1 (Drosophila)	2.06867
AGI_MM_OLIGO_A_51_P238734	2600014M03Rik	RIKEN cDNA 2600014M03 gene	2.06780
AGI_MM_OLIGO_A_51_P131962	Sertad4	SERTA domain containing 4	2.06264
AGI_MM_OLIGO_A_51_P141860	Fbxw11	F-box and WD-40 domain protein 11	2.06203
AGI_MM_OLIGO_A_51_P125771	Slc25a27	solute carrier family 25, member 27	2.05998
AGI_MM_OLIGO_A_51_P277795	2810474O19Rik	RIKEN cDNA 2810474O19 gene	2.05435
AGI_MM_OLIGO_A_51_P286488	Ier3	immediate early response 3	2.04813
AGI_MM_OLIGO_A_51_P156438	5730438N18Rik	RIKEN cDNA 5730438N18 gene	2.04712
AGI_MM_OLIGO_A_51_P152685	E330039K12Rik	RIKEN cDNA E330039K12 gene	2.04636
AGI_MM_OLIGO_A_51_P320401	Rab24	RAB24, member RAS oncogene family	2.03971
AGI_MM_OLIGO_A_51_P312328	Ptges	prostaglandin E synthase	2.03584
AGI_MM_OLIGO_A_51_P265096	Aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	2.02495
AGI_MM_OLIGO_A_51_P462249	Cks2	CDC28 protein kinase regulatory subunit 2	2.02240
AGI_MM_OLIGO_A_51_P458568	Rpl24	ribosomal protein L24	2.02178
AGI_MM_OLIGO_A_51_P448995	Ppcs	phosphopantothenoylcysteine synthetase	2.00943
AGI_MM_OLIGO_A_51_P519696	Mras	muscle and microspikes RAS	2.00822
AGI_MM_OLIGO_A_51_P333949	5930412E23Rik	RIKEN cDNA 5930412E23 gene	2.00574
AGI_MM_OLIGO_A_51_P466502	1810012N18Rik	RIKEN cDNA 1810012N18 gene	1.99984
AGI_MM_OLIGO_A_51_P192149	Slc9a6	solute carrier family 9 (sodium/hydrogen exchanger), isoform 6	1.99679
AGI_MM_OLIGO_A_51_P480928	Zfyve16	zinc finger, FYVE domain containing 16	1.99616
AGI_MM_OLIGO_A_51_P212103	Ctnnbl1	catenin, beta like 1	1.99383
AGI_MM_OLIGO_A_51_P371675	Slc7a6os	solute carrier family 7, member 6 opposite strand	1.99179
AGI_MM_OLIGO_A_51_P164030	Tcp1	t-complex protein 1	1.99121
AGI_MM_OLIGO_A_51_P166990	Creb5	cAMP responsive element binding protein 5	1.98553
AGI_MM_OLIGO_A_51_P282947	Dhrs3	dehydrogenase/reductase (SDR family) member 3	1.98367
AGI_MM_OLIGO_A_51_P473252	Zyx	zyxin	1.98024
AGI_MM_OLIGO_A_51_P497280	2810427I04Rik	RIKEN cDNA 2810427I04 gene	1.97978
AGI_MM_OLIGO_A_51_P414126	Rab19	RAB19, member RAS oncogene family	1.97788
AGI_MM_OLIGO_A_51_P113395	Nnt	nicotinamide nucleotide transhydrogenase	1.97756
AGI_MM_OLIGO_A_51_P473888	Il6st	interleukin 6 signal transducer	1.97740
AGI_MM_OLIGO_A_51_P446012	Phf13	PHD finger protein 13	1.97589
AGI_MM_OLIGO_A_51_P323450	Cdc42ep4	CDC42 effector protein (Rho GTPase binding) 4	1.97309
AGI_MM_OLIGO_A_51_P193935	Mut	methylmalonyl-Coenzyme A mutase	1.97075
AGI_MM_OLIGO_A_51_P387140	Zfp462	zinc finger protein 462	1.96910
AGI_MM_OLIGO_A_51_P245253	Zfp202	zinc finger protein 202	1.96269
AGI_MM_OLIGO_A_51_P481210	Ofd1	oral-facial-digital syndrome 1 gene homolog (human)	1.96037
AGI_MM_OLIGO_A_51_P305213	1810010H24Rik	RIKEN cDNA 1810010H24 gene	1.95727
AGI_MM_OLIGO_A_51_P190000	Mtfmt	mitochondrial methionyl-tRNA formyltransferase	1.95665
AGI_MM_OLIGO_A_51_P186281	Fert2	fer (fms/fps related) protein kinase, testis specific 2	1.94778
AGI_MM_OLIGO_A_51_P394269	Spg20	spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	1.94671
AGI_MM_OLIGO_A_51_P496535	C1qdc1	C1q domain containing 1	1.94350
AGI_MM_OLIGO_A_51_P275818	Dnajb4	DnaJ (Hsp40) homolog, subfamily B, member 4	1.91764
AGI_MM_OLIGO_A_51_P247694	Gpr97	G protein-coupled receptor 97	1.91257
AGI_MM_OLIGO_A_51_P380834	Sdccag10	serologically defined colon cancer antigen 10	1.91038
AGI_MM_OLIGO_A_51_P509669	Uap1l1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	1.90660
AGI_MM_OLIGO_A_51_P194704	Tusc3	tumor suppressor candidate 3	1.90298
AGI_MM_OLIGO_A_51_P232771	4933407N01Rik	RIKEN cDNA 4933407N01 gene	1.90181
AGI_MM_OLIGO_A_51_P146633	4930533K18Rik	RIKEN cDNA 4930533K18 gene	1.89847
AGI_MM_OLIGO_A_51_P429366	Hes6	hairy and enhancer of split 6 (Drosophila)	1.89483
AGI_MM_OLIGO_A_51_P182359	Hist1h2bk	histone 1, H2bk	1.89472
AGI_MM_OLIGO_A_51_P360165	Ccng2	cyclin G2	1.89283
AGI_MM_OLIGO_A_51_P422691	1600027N09Rik	RIKEN cDNA 1600027N09 gene	1.89257
AGI_MM_OLIGO_A_51_P378858	Atg10	autophagy-related 10 (yeast)	1.89171
AGI_MM_OLIGO_A_51_P287810	Mgst1	microsomal glutathione S-transferase 1	1.89055
AGI_MM_OLIGO_A_51_P319379	Txndc13	thioredoxin domain containing 13	1.88630
AGI_MM_OLIGO_A_51_P369803	Psmb9	proteosome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	1.88571
AGI_MM_OLIGO_A_51_P206585	Runx1	runt related transcription factor 1	1.88496
AGI_MM_OLIGO_A_51_P308577	Evc	Ellis van Creveld gene homolog (human)	1.88490
AGI_MM_OLIGO_A_51_P162773	Sccpdh	saccharopine dehydrogenase (putative)	1.88252
AGI_MM_OLIGO_A_51_P194224	Zfp509	zinc finger protein 509	1.88201
AGI_MM_OLIGO_A_51_P293069	9630055N22Rik	RIKEN cDNA 9630055N22 gene	1.87884
AGI_MM_OLIGO_A_51_P330298	Gpr137b	G protein-coupled receptor 137B	1.87816
AGI_MM_OLIGO_A_51_P227165	2310030G06Rik	RIKEN cDNA 2310030G06 gene	1.87626
AGI_MM_OLIGO_A_51_P125009	Pvrl3	poliovirus receptor-related 3	1.87319
AGI_MM_OLIGO_A_51_P386358	Wwp2	WW domain containing E3 ubiquitin protein ligase 2	1.87229
AGI_MM_OLIGO_A_51_P196127	Papss1	3-phosphoadenosine 5-phosphosulfate synthase 1	1.87114
AGI_MM_OLIGO_A_51_P504073	Nuak2	NUAK family, SNF1-like kinase, 2	1.87105
AGI_MM_OLIGO_A_51_P361022	Cdc20	cell division cycle 20 homolog (S. cerevisiae)	1.87071
AGI_MM_OLIGO_A_51_P307567	Iqcb1	IQ calmodulin-binding motif containing 1	1.86791
AGI_MM_OLIGO_A_51_P102703	Rpl15	ribosomal protein L15	1.86245
AGI_MM_OLIGO_A_51_P176504	Rps19bp1	ribosomal protein S19 binding protein 1	1.86063
AGI_MM_OLIGO_A_51_P204831	Crip1	cysteine-rich protein 1 (intestinal)	1.85990
AGI_MM_OLIGO_A_51_P150145	Prmt1	protein arginine N-methyltransferase 1	1.85957
AGI_MM_OLIGO_A_51_P321563	Tnrc6c	trinucleotide repeat containing 6C	1.85932
AGI_MM_OLIGO_A_51_P449794	Crip1	cysteine-rich protein 1 (intestinal)	1.85274
AGI_MM_OLIGO_A_51_P246119	Cenpf	centromere autoantigen F	1.85246
AGI_MM_OLIGO_A_51_P351273	Tcea3	transcription elongation factor A (SII), 3	1.85232
AGI_MM_OLIGO_A_51_P267986	Cova1	cytosolic ovarian carcinoma antigen 1	1.85197
AGI_MM_OLIGO_A_51_P471940	Mrpl44	mitochondrial ribosomal protein L44	1.84872
AGI_MM_OLIGO_A_51_P334739	Cdon	cell adhesion molecule-related/down-regulated by oncogenes	1.84680
AGI_MM_OLIGO_A_51_P147215			1.84633
AGI_MM_OLIGO_A_51_P233059	Ktn1	kinectin 1	1.84366
AGI_MM_OLIGO_A_51_P392705	Xpc	xeroderma pigmentosum, complementation group C	1.84254
AGI_MM_OLIGO_A_51_P123604	Ppwd1	peptidylprolyl isomerase domain and WD repeat containing 1	1.84026
AGI_MM_OLIGO_A_51_P367081	Pftk1	PFTAIRE protein kinase 1	1.83884
AGI_MM_OLIGO_A_51_P254452	2810433K01Rik	RIKEN cDNA 2810433K01 gene	1.83188
AGI_MM_OLIGO_A_51_P318343	Kbtbd3	kelch repeat and BTB (POZ) domain containing 3	1.83111
AGI_MM_OLIGO_A_51_P452280	Mtcp1	mature T-cell proliferation 1	1.83042
AGI_MM_OLIGO_A_51_P483370	Txndc5	thioredoxin domain containing 5	1.82989
AGI_MM_OLIGO_A_51_P472249	Slc7a7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	1.82615
AGI_MM_OLIGO_A_51_P519188	Eif3s2	eukaryotic translation initiation factor 3, subunit 2 (beta)	1.82544
AGI_MM_OLIGO_A_51_P100378	6720451E15	hypothetical protein 6720451E15	1.82092
AGI_MM_OLIGO_A_51_P393754	Ndufs2	NADH dehydrogenase (ubiquinone) Fe-S protein 2	1.81355
AGI_MM_OLIGO_A_51_P195240	2310002B06Rik	RIKEN cDNA 2310002B06 gene	1.81071
AGI_MM_OLIGO_A_51_P461947	Pisd	phosphatidylserine decarboxylase	1.80580
AGI_MM_OLIGO_A_51_P324838	Evpl	envoplakin	1.80540
AGI_MM_OLIGO_A_51_P303180	9130005N14Rik	RIKEN cDNA 9130005N14 gene	1.80433
AGI_MM_OLIGO_A_51_P263419	Zfp30	zinc finger protein 30	1.79769
AGI_MM_OLIGO_A_51_P183853	Grinl1a	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A	1.79640
AGI_MM_OLIGO_A_51_P359303	2610528E23Rik	RIKEN cDNA 2610528E23 gene	1.79613
AGI_MM_OLIGO_A_51_P116581	Ccdc22	coiled-coil domain containing 22	1.79447
AGI_MM_OLIGO_A_51_P151271	Eif4b	eukaryotic translation initiation factor 4B	1.79314
AGI_MM_OLIGO_A_51_P221997	Man1c1	mannosidase, alpha, class 1C, member 1	1.79286
AGI_MM_OLIGO_A_51_P345110	Thap4	THAP domain containing 4	1.79244
AGI_MM_OLIGO_A_51_P196113	Mast1	microtubule associated serine/threonine kinase 1	1.78854
AGI_MM_OLIGO_A_51_P455897	6720460F02Rik	RIKEN cDNA 6720460F02 gene	1.78850
AGI_MM_OLIGO_A_51_P141308	Ga17	dendritic cell protein GA17	1.78670
AGI_MM_OLIGO_A_51_P134533	S100a16	S100 calcium binding protein A16	1.78597
AGI_MM_OLIGO_A_51_P389479	1190003J15Rik	RIKEN cDNA 1190003J15 gene	1.78471
AGI_MM_OLIGO_A_51_P303433	4732479N06Rik	RIKEN cDNA 4732479N06 gene	1.78095
AGI_MM_OLIGO_A_51_P216593	Wfs1	Wolfram syndrome 1 homolog (human)	1.78009
AGI_MM_OLIGO_A_51_P392438	5730407K14Rik	RIKEN cDNA 5730407K14 gene	1.77947
AGI_MM_OLIGO_A_51_P292067	Haghl	hydroxyacylglutathione hydrolase-like	1.77923
AGI_MM_OLIGO_A_51_P489800	2810408A11Rik	RIKEN cDNA 2810408A11 gene	1.77815
AGI_MM_OLIGO_A_51_P137317	Trit1	tRNA isopentenyltransferase 1	1.77796
AGI_MM_OLIGO_A_51_P191900	Ltk	leukocyte tyrosine kinase	1.77638
AGI_MM_OLIGO_A_51_P174314	Robo1	roundabout homolog 1 (Drosophila)	1.77597
AGI_MM_OLIGO_A_51_P413787	Commd3	COMM domain containing 3	1.77402
AGI_MM_OLIGO_A_51_P338027	Pcdha10	protocadherin alpha 10	1.76867
AGI_MM_OLIGO_A_51_P356283	Fbxo31	F-box only protein 31	1.76609
AGI_MM_OLIGO_A_51_P165882	Slc22a18	solute carrier family 22 (organic cation transporter), member 18	1.76416
AGI_MM_OLIGO_A_51_P304219	A930025D01Rik	RIKEN cDNA A930025D01 gene	1.75813
AGI_MM_OLIGO_A_51_P488673	Gnb2l1	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	1.75265
AGI_MM_OLIGO_A_51_P176068	4732496O08Rik	RIKEN cDNA 4732496O08 gene	1.75239
AGI_MM_OLIGO_A_51_P464911	Msrb2	methionine sulfoxide reductase B2	1.74955
AGI_MM_OLIGO_A_51_P470448	Als4	amyotrophic lateral sclerosis 4 homolog (human)	1.74659
AGI_MM_OLIGO_A_51_P232980	1190005F20Rik	RIKEN cDNA 1190005F20 gene	1.74627
AGI_MM_OLIGO_A_51_P117494	B4galt3	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 3	1.74425
AGI_MM_OLIGO_A_51_P475891	Trspap1	tRNA selenocysteine associated protein 1	1.74306
AGI_MM_OLIGO_A_51_P278103	Stambp	Stam binding protein	1.74273
AGI_MM_OLIGO_A_51_P121635	Maged2	melanoma antigen, family D, 2	1.74218
AGI_MM_OLIGO_A_51_P314521	1190017O12Rik	RIKEN cDNA 1190017O12 gene	1.74139
AGI_MM_OLIGO_A_51_P307864	1700019N19Rik	RIKEN cDNA 1700019N19 gene	1.73968
AGI_MM_OLIGO_A_51_P363303	4931440B09Rik	RIKEN cDNA 4931440B09 gene	1.73813
AGI_MM_OLIGO_A_51_P441387	1110028C15Rik	RIKEN cDNA 1110028C15 gene	1.73810
AGI_MM_OLIGO_A_51_P142010	2310011J03Rik	RIKEN cDNA 2310011J03 gene	1.73803
AGI_MM_OLIGO_A_51_P376258	Glud1	glutamate dehydrogenase 1	1.73621
AGI_MM_OLIGO_A_51_P465281	Lgals1	lectin, galactose binding, soluble 1	1.73462
AGI_MM_OLIGO_A_51_P321391	Pdha1	pyruvate dehydrogenase E1 alpha 1	1.73275
AGI_MM_OLIGO_A_51_P219325	Ddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	1.73193
AGI_MM_OLIGO_A_51_P142744	Sulf1	sulfatase 1	1.73023
AGI_MM_OLIGO_A_51_P323180	BC057170	cDNA sequence BC057170	1.72748
AGI_MM_OLIGO_A_51_P494567	BC005624	cDNA sequence BC005624	1.72635
AGI_MM_OLIGO_A_51_P398517	Rnf130	ring finger protein 130	1.72566
AGI_MM_OLIGO_A_51_P289881	Txndc12	thioredoxin domain containing 12 (endoplasmic reticulum)	1.72090
AGI_MM_OLIGO_A_51_P370250	Capn10	calpain 10	1.71552
AGI_MM_OLIGO_A_51_P358152	Sepn1	selenoprotein N, 1	1.71389
AGI_MM_OLIGO_A_51_P146126	Cdkn1b	cyclin-dependent kinase inhibitor 1B (P27)	1.71368
AGI_MM_OLIGO_A_51_P107282	Taz	tafazzin	1.71305
AGI_MM_OLIGO_A_51_P363749	Irf6	interferon regulatory factor 6	1.70764
AGI_MM_OLIGO_A_51_P339444	Rab9	RAB9, member RAS oncogene family	1.70604
AGI_MM_OLIGO_A_51_P213390	Hist2h2aa2	histone 2, H2aa2	1.70502
AGI_MM_OLIGO_A_51_P506312	D11Ertd497e	DNA segment, Chr 11, ERATO Doi 497, expressed	1.70024
AGI_MM_OLIGO_A_51_P473907	Kif3a	kinesin family member 3A	1.69936
AGI_MM_OLIGO_A_51_P475580	Ugp2	UDP-glucose pyrophosphorylase 2	1.69587
AGI_MM_OLIGO_A_51_P161413	Usp30	ubiquitin specific peptidase 30	1.69188
AGI_MM_OLIGO_A_51_P417186	Sap30bp	SAP30 binding protein	1.69096
AGI_MM_OLIGO_A_51_P267338	Erbb2ip	Erbb2 interacting protein	1.68949
AGI_MM_OLIGO_A_51_P457813	9030025P20Rik	RIKEN cDNA 9030025P20 gene	1.68866
AGI_MM_OLIGO_A_51_P161582	Ddr1	discoidin domain receptor family, member 1	1.68828
AGI_MM_OLIGO_A_51_P413752	Arhgef16	Rho guanine nucleotide exchange factor (GEF) 16	1.68620
AGI_MM_OLIGO_A_51_P374077	Slc44a1	solute carrier family 44, member 1	1.68341
AGI_MM_OLIGO_A_51_P230987	Pi4k2b	phosphatidylinositol 4-kinase type 2 beta	1.67804
AGI_MM_OLIGO_A_51_P117995	Pfkm	phosphofructokinase, muscle	1.67715
AGI_MM_OLIGO_A_51_P386549	Dync1i2	dynein cytoplasmic 1 intermediate chain 2	1.67391
AGI_MM_OLIGO_A_51_P424641	Sirt4	sirtuin 4 (silent mating type information regulation 2 homolog) 4 (S. cerevisiae)	1.67184
AGI_MM_OLIGO_A_51_P137688	Pex1	peroxisome biogenesis factor 1	1.67021
AGI_MM_OLIGO_A_51_P406454	Il10rb	interleukin 10 receptor, beta	1.66727
AGI_MM_OLIGO_A_51_P339503	Cct4	chaperonin subunit 4 (delta)	1.66726
AGI_MM_OLIGO_A_51_P337517	Cd320	CD320 antigen	1.66633
AGI_MM_OLIGO_A_51_P406129	4930414L22Rik	RIKEN cDNA 4930414L22 gene	1.66507
AGI_MM_OLIGO_A_51_P321086	X83328	EST X83328	1.66500
AGI_MM_OLIGO_A_51_P445683	4931406C07Rik	RIKEN cDNA 4931406C07 gene	1.66294
AGI_MM_OLIGO_A_51_P247168	D19Ertd652e	DNA segment, Chr 19, ERATO Doi 652, expressed	1.65811
AGI_MM_OLIGO_A_51_P188791	Akr7a5	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)	1.65711
AGI_MM_OLIGO_A_51_P469688	Syt17	synaptotagmin XVII	1.65463
AGI_MM_OLIGO_A_51_P156113	Igsf9	immunoglobulin superfamily, member 9	1.65449
AGI_MM_OLIGO_A_51_P214859	Pxn	paxillin	1.65203
AGI_MM_OLIGO_A_51_P167452	1110031B06Rik	RIKEN cDNA 1110031B06 gene	1.65114
AGI_MM_OLIGO_A_51_P304769	AF013969	expressed sequence AF013969	1.64994
