UniGene ID	Functional Grouping (Gene)	Upregulation (fold change) (Hours post infection) 24	Upregulation (fold change) (Hours post infection) 48	Upregulation (fold change) (Hours post infection) 72	Upregulation (fold change) (Hours post infection) 96	Category
Mm.1639	Myeloid cell leukemia sequence 1 (Mcl1)	NE	NE	1.83 ± 0.18	1.56 ± 0.09	Apoptosis
Mm.204876	nucleolar protein 3 (apoptosis repressor with CARD domain) (Nol3)	NE	NE	2.02 ± 0.52	1.84 ± 0.09	Apoptosis
Mm.24163	PYD and CARD domain containing (Pycard)	NE	NE	1.82 ± 0.17	1.38 ± 0.18	Apoptosis
Mm.276325	superoxide dismutase 1, soluble (Sod1)	NE	NE	1.74 ± 0.22	1.54 ± 0.24	Apoptosis
Mm.200792	tumor necrosis factor receptor superfamily, member 21 (Tnfrsf21)	NE	NE	2.37 ± 0.84	1.40 ± 0.17	Apoptosis
Mm.1894	CD1d1 antigen (Cd1d1)	NE	NE	NE	1.56 ± 0.01	Apoptosis
Mm.217764	phosphoglucomutase 2 (Pgm2)/Itgb3bp	NE	NE	NE	1.63 ± 0.11	Apoptosis
Mm.312628	Serine (or cysteine) proteinase inhibitor, clade A, member 3G (Serpina3g)	NE	NE	NE	2.83 ± 0.18	Apoptosis
Mm.218473	tumor differentially expressed 1 (Tde1)/Serinc3	NE	NE	NE	1.94 ± 0.01	Apoptosis
Mm.338613	forkhead box O3a (Foxo3a)	1.92 ± 0.17	NE	2.26 ± 1.08	1.57 ± 0.03	Apoptosis
Mm.22216	TSC22 domain family 3 (Tcs22d3)	NE	1.63 ± 0.20	NE	NE	Apoptosis
Mm.1360	growth arrest and DNA-damage-inducible 45 beta (Gadd45b)	NE	2.00 ± 0.33	NE	1.85 ± 0.03	Apoptosis
Mm.329277	ubiquitin specific peptidase 14 (Usp14)/Thoc1	NE	1.90 ± 0.21	NE	2.02 ± 0.18	Apoptosis
Mm.347406	CCAAT/enhancer binding protein (C/EBP), beta (Cebpb)	NE	NE	2.01 ± 0.17	NE	Apoptosis
Mm.150	Fc receptor, IgG, high affinity 1(Fcgr1)	NE	NE	2.26 ± 0.26	NE	Apoptosis
Mm.292100	fibrinogen-like protein 2 (Fgl2)	NE	NE	1.90 ± 0.27	NE	Apoptosis
Mm.368515	myc-like oncogene, s-myc protein (Mycs)	NE	NE	3.11 ± 0.05	NE	Apoptosis
