Symbol	ID_Type	EntrezGeneID	Gene Name	TU Coordinates
KIAA0513	Symbol	9764	KIAA0513	chr16:83618910-83685329
KIAA1199	Symbol	57214	KIAA1199	chr15:78858766-79031054
KRT13	Symbol	3860	keratin 13	chr17:36910758-36915391
KRT15	Symbol	3866	keratin 15	chr17:36923523-36928796
LARS	Symbol	51520	leucyl-tRNA synthetase	chr5:145472781-145542487
LHX6	Symbol	26468	LIM homeobox 6	chr9:124004678-124030840
LMCD1	Symbol	29995	LIM and cysteine-rich domains 1	chr3:8518510-8584806
LOC145837	Symbol	145837	hypothetical LOC145837	chr15:67641112-67650833
LOC284379	Symbol	284379	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 pseudogene	chr19:58794698-58798563
LOC285696	Symbol	285696	hypothetical LOC285696	chr5:17183137-17270156
LOC338758	Symbol	338758	hypothetical LOC338758	chr12:88626863-88629859
LOC643008	Symbol	643008	hypothetical protein LOC643008	chr17:71141755-71149079
LRRC8E	Symbol	80131	leucine rich repeat containing 8 family, member E	chr19:7859389-7872908
MACF1	Symbol	23499	microtubule-actin crosslinking factor 1	chr1:39319704-39725376
MALL	Symbol	7851	mal, T-cell differentiation protein-like	chr2:110198743-110231432
MAOA	Symbol	4128	monoamine oxidase A	chrX:43400352-43491012
MAPT	Symbol	4137	microtubule-associated protein tau	chr17:41327543-41461546
MICB	Symbol	4277	MHC class I polypeptide-related sequence B	chr6:31573833-31586880
MIDN	Symbol	90007	midnolin	chr19:1199551-1210142
MORG1	Symbol	84292	mitogen-activated protein kinase organizer 1	chr19:12638627-12647646
MREG	Symbol	55686	melanoregulin	chr2:216515558-216586591
MYB	Symbol	4602	v-myb myeloblastosis viral oncogene homolog (avian)	chr6:135544145-135582003
MYEOV	Symbol	26579	myeloma overexpressed (in a subset of t(11;14) positive multiple myelomas)	chr11:68818197-68821330
N4BP3	Symbol	23138	Nedd4 binding protein 3	chr5:177473161-177485713
NAV2	Symbol	89797	neuron navigator 2	chr11:19328846-20099723
NDRG1	Symbol	10397	N-myc downstream regulated 1	chr8:134318595-134378729
NFIC	Symbol	4782	nuclear factor I/C (CCAAT-binding transcription factor)	chr19:3310615-3414603
NRIP1	Symbol	8204	nuclear receptor interacting protein 1	chr21:15255426-15358997
NT5C2	Symbol	22978	5-nucleotidase, cytosolic II	chr10:104835929-104943046
OSBPL7	Symbol	114881	oxysterol binding protein-like 7	chr17:43239731-43254146
PCSK6	Symbol	5046	proprotein convertase subtilisin/kexin type 6	chr15:99661655-99847710
PCTP	Symbol	58488	phosphatidylcholine transfer protein	chr17:51183354-51209747
PDZK1	Symbol	5174	PDZ domain containing 1	chr1:144439082-144475430
PHAX	Symbol	51808	phosphorylated adaptor for RNA export	chr5:125964531-125988979
PHLDB1	Symbol	23187	pleckstrin homology-like domain, family B, member 1	chr11:117982422-118033951
PIGB	Symbol	9488	phosphatidylinositol glycan anchor biosynthesis, class B	chr15:53398424-53435138
PKIB	Symbol	5570	protein kinase (cAMP-dependent, catalytic) inhibitor beta	chr6:122834760-123089217
PKNOX1	Symbol	5316	PBX/knotted 1 homeobox 1	chr21:43267711-43326757
PLAC1	Symbol	10761	placenta-specific 1	chrX:133527538-133620179
PLEKHB2	Symbol	55041	pleckstrin homology domain containing, family B (evectins) member 2	chr2:131578889-131623895
PLEKHF1	Symbol	79156	pleckstrin homology domain containing, family F (with FYVE domain) member 1	chr19:34848166-34858223
PLEKHH2	Symbol	130271	pleckstrin homology domain containing, family H (with MyTH4 domain) member 2	chr2:43717942-43848629
PLOD2	Symbol	5352	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	chr3:147269917-147361972
PNPLA7	Symbol	375775	patatin-like phospholipase domain containing 7	chr9:139474225-139564807
PODXL	Symbol	5420	podocalyxin-like	chr7:130835560-130891916
PPL	Symbol	5493	periplakin	chr16:4872508-4927137
PRKCD	Symbol	5580	protein kinase C, delta	chr3:53170262-53201773
PTP4A2	Symbol	8073	protein tyrosine phosphatase type IVA, member 2	chr1:32146379-32176575
RAB26	Symbol	25837	RAB26, member RAS oncogene family	chr16:2138651-2144142
RAB31	Symbol	11031	RAB31, member RAS oncogene family	chr18:9698227-9852553
RAPGEFL1	Symbol	51195	Rap guanine nucleotide exchange factor (GEF)-like 1	chr17:35587767-35605432
RASEF	Symbol	158158	RAS and EF-hand domain containing	chr9:84787136-84867863
RBM4	Symbol	5936	RNA binding motif protein 4	chr11:66140672-66165238
RCAN1	Symbol	1827	regulator of calcineurin 1	chr21:34810653-34821131
RERG	Symbol	85004	RAS-like, estrogen-regulated, growth inhibitor	chr12:15151983-15265571
RET	Symbol	5979	ret proto-oncogene	chr10:42892522-42942958
RND1	Symbol	27289	Rho family GTPase 1	chr12:47537194-47545920
RNF207	Symbol	388591	ring finger protein 207	chr1:6188776-6203946
RPE	Symbol	6120	ribulose-5-phosphate-3-epimerase	chr2:210575596-210594195
RPRM	Symbol	56475	reprimo, TP53 dependent G2 arrest mediator candidate	chr2:154042097-154043568
SALL4	Symbol	57167	sal-like 4 (Drosophila)	chr20:49833989-49852455
SEMA3E	Symbol	9723	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E	chr7:82831157-83116260
SFXN2	Symbol	118980	sideroflexin 2	chr10:104464287-104488936
SGK3	Symbol	23678	serum/glucocorticoid regulated kinase family, member 3	chr8:67787444-67936811
SH3BP4	Symbol	23677	SH3-domain binding protein 4	chr2:235525366-235629097
SIK1	Symbol	150094	salt-inducible kinase 1	chr21:43658826-43671430
SLC16A9	Symbol	220963	solute carrier family 16, member 9 (monocarboxylic acid transporter 9)	chr10:61080528-61139655
SLC22A23	Symbol	63027	solute carrier family 22, member 23	chr6:3214207-3401732
SLC29A1	Symbol	2030	solute carrier family 29 (nucleoside transporters), member 1	chr6:44295219-44309866
SLC2A1	Symbol	6513	solute carrier family 2 (facilitated glucose transporter), member 1	chr1:43163632-43197434
SLC39A8	Symbol	64116	solute carrier family 39 (zinc transporter), member 8	chr4:103391220-103464492
SLCO2A1	Symbol	6578	solute carrier organic anion transporter family, member 2A1	chr3:135134229-135231610
SLIT2	Symbol	9353	slit homolog 2 (Drosophila)	chr4:19864332-20229886
SLITRK4	Symbol	139065	SLIT and NTRK-like family, member 4	chrX:142543607-142550685
SNX29	Symbol	92017	sorting nexin 29	chr16:12053555-12575647
SOX3	Symbol	6658	SRY (sex determining region Y)-box 3	chrX:139412817-139414891
SPIRE2	Symbol	84501	spire homolog 2 (Drosophila)	chr16:88422407-88465228
SPRY4	Symbol	81848	sprouty homolog 4 (Drosophila)	chr5:141670175-141684804
SSFA2	Symbol	6744	sperm specific antigen 2	chr2:182464716-182503709
ST3GAL1	Symbol	6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	chr8:134536277-134540033
STC2	Symbol	8614	stanniocalcin 2	chr5:172674331-172689112
SVIL	Symbol	6840	supervillin	chr10:29786282-29963907
SYTL4	Symbol	94121	synaptotagmin-like 4	chrX:99816144-99873178
TACC1	Symbol	6867	transforming, acidic coiled-coil containing protein 1	chr8:38704864-38829702
TDRD1	Symbol	56165	tudor domain containing 1	chr10:115929018-115982053
TFF1	Symbol	7031	trefoil factor 1	chr21:42655459-42659713
TGFBI	Symbol	7045	transforming growth factor, beta-induced, 68kDa	chr5:135392482-135427406
TGFBRAP1	Symbol	9392	transforming growth factor, beta receptor associated protein 1	chr2:105249973-105312580
TIA1	Symbol	7072	TIA1 cytotoxic granule-associated RNA binding protein	chr2:70290079-70329283
TM4SF1	Symbol	4071	transmembrane 4 L six family member 1	chr3:150569494-150578258
TMED10	Symbol	10972	transmembrane emp24-like trafficking protein 10 (yeast)	chr14:74667923-74713102
TMEM64	Symbol	169200	transmembrane protein 64	chr8:91703398-91727309
TNFRSF11B	Symbol	4982	tumor necrosis factor receptor superfamily, member 11b	chr8:120004976-120033564
TNFRSF12A	Symbol	51330	tumor necrosis factor receptor superfamily, member 12A	chr16:3010313-3012384
TNS3	Symbol	64759	tensin 3	chr7:47281276-47545724
TOM1L2	Symbol	146691	target of myb1-like 2 (chicken)	chr17:17687546-17816509
TOP1	Symbol	7150	topoisomerase (DNA) I	chr20:39090875-39186540
TPD52L1	Symbol	7164	tumor protein D52-like 1	chr6:125516577-125626343
TSC22D3	Symbol	1831	TSC22 domain family, member 3	chrX:106843107-106846367
TUFT1	Symbol	7286	tuftelin 1	chr1:149779404-149822683
UBR5	Symbol	51366	ubiquitin protein ligase E3 component n-recognin 5	chr8:103334744-103493671
UNC13D	Symbol	201294	unc-13 homolog D (C. elegans)	chr17:71334901-71352393
USP10	Symbol	9100	ubiquitin specific peptidase 10	chr16:83291055-83371028
VAMP5	Symbol	10791	vesicle-associated membrane protein 5 (myobrevin)	chr2:85665041-85674022
VASN	Symbol	114990	vasorin	chr16:4361849-4373530
VTCN1	Symbol	79679	V-set domain containing T cell activation inhibitor 1	chr1:117487731-117555072
VWF	Symbol	7450	von Willebrand factor	chr12:5928300-6104097
WISP2	Symbol	8839	WNT1 inducible signaling pathway protein 2	chr20:42777298-42789866
WNT10B	Symbol	7480	wingless-type MMTV integration site family, member 10B	chr12:47645389-47651810
WWP2	Symbol	11060	WW domain containing E3 ubiquitin protein ligase 2	chr16:68353774-68501812
XBP1	Symbol	7494	X-box binding protein 1	chr22:27520547-27526560
XRCC5	Symbol	7520	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	chr2:216682264-216779259
ZCCHC8	Symbol	55596	zinc finger, CCHC domain containing 8	chr12:121523387-121551471
ZFP106	Symbol	64397	zinc finger protein 106 homolog (mouse)	chr15:40492312-40537022
ZNF365	Symbol	22891	zinc finger protein 365	chr10:63803921-63832223
