Gene Symbol	Probeset ID	p-value	Fold-Change
TESC	218872_at	0.000926937	5.99648
SEMA3A	206805_at	0.0004526	5.78055
DNM1	215116_s_at	1.28E-07	5.72474
ITIH5	219064_at	0.000971489	5.69673
FRY	204072_s_at	0.000768223	5.66105
GEM	204472_at	0.00071379	5.62278
RLBP1	206154_at	0.000812556	5.60086
SCML4	1556472_s_at	1.68E-06	5.56142
LCN2	212531_at	1.65E-05	5.51046
PDE1C	236344_at	0.000212237	5.50752
ADAMTS9	226814_at	5.20E-09	5.49904
JPH1	229139_at	3.63E-05	5.47356
STC1	204597_x_at	0.000184011	5.45248
DHH	1552730_at	4.35E-09	5.42925
NR4A2	216248_s_at	1.22E-09	5.41533
MRC2	37408_at	0.00012202	5.38802
NR4A2	204622_x_at	8.01E-10	5.32565
SV2C	216086_at	1.03E-17	5.25301
C8orf46	228695_at	7.36E-05	5.20361
FGF1	205117_at	1.11E-06	5.19592
CD52	34210_at	0.000741975	5.14115
PCDH18	225975_at	7.33E-08	5.12851
DLK1	209560_s_at	3.45E-05	5.12777
NR4A2	204621_s_at	3.05E-09	5.11818
SEMA3A	244163_at	1.71E-07	5.11182
WWP2	204022_at	1.19E-10	5.06764
ADRA2A	209869_at	6.62E-06	5.03133
C1QTNF4	223708_at	4.74E-09	4.94956
CHRM3	1559633_a_at	3.01E-08	4.94895
PMP2	206826_at	8.02E-10	4.91313
IGFBP4	201508_at	3.19E-05	4.88099
F11R	223000_s_at	4.90E-08	4.86347
BGN	201262_s_at	1.03E-05	4.80732
B3GNT5	225612_s_at	4.23E-05	4.79184
DDR2	205168_at	7.47E-07	4.77324
SOD3	205236_x_at	0.00104806	4.76524
SLC5A3	1553313_s_at	0.000520107	4.75162
IL17RB	219255_x_at	1.17E-11	4.71683
WWP2	1552737_s_at	2.64E-11	4.71526
ZDHHC2	222731_at	7.33E-05	4.70535
GBA3	219954_s_at	3.82E-19	4.67532
	237270_at	7.52E-08	4.67424
	244779_at	7.47E-05	4.66057
RDH10	227467_at	0.000511445	4.62381
ZDHHC2	222730_s_at	0.000133561	4.53053
RAB11FIP4	225746_at	6.65E-12	4.52534
DIAPH2	205603_s_at	0.000877058	4.46173
LPHN3	209866_s_at	1.34E-08	4.44817
IL17RB	224156_x_at	5.02E-10	4.41352
ASAM	228082_at	0.000196006	4.4082
CCR1	205098_at	0.000156931	4.3638
GBA3	222943_at	4.00E-15	4.34777
TMEM22	219569_s_at	9.21E-06	4.34224
CHST2	203921_at	0.000208511	4.32861
S100A2	204268_at	0.000239773	4.3107
GALNT6	228303_at	1.32E-07	4.30661
PELI1	218319_at	1.78E-05	4.29659
NOTCH3	203238_s_at	4.28E-07	4.29493
CHDH	229954_at	9.82E-13	4.29386
PMP2	235127_at	2.52E-08	4.29291
RASAL1	219752_at	3.22E-12	4.27965
DNAH9	210345_s_at	1.11E-07	4.27159
FAM132B	229622_at	0.000432935	4.25764
PEG10	212094_at	0.000463222	4.25753
TRIB3	218145_at	0.000715263	4.23575
	235171_at	2.76E-08	4.23359
ACPL2	226925_at	4.35E-06	4.22353
	227838_at	5.26E-09	4.17293
	230746_s_at	0.000235573	4.10124
NR4A1	202340_x_at	8.45E-07	4.07845
MYEF2	229464_at	0.000783739	4.05611
PDE7B	230109_at	4.22E-05	4.00408
DENND2A	53991_at	1.87E-07	4.0027
SH3RF3	228461_at	0.000484234	4.00209
LAMA4	210990_s_at	5.66E-06	3.99923
TRIB3	1555788_a_at	0.000697864	3.97836
SCML4	1556471_at	2.64E-06	3.95581
	244075_at	0.000817681	3.95396
CHDH	1559590_at	4.67E-15	3.93704
WBSCR17	227434_at	8.14E-13	3.93335
IL17RB	224361_s_at	1.94E-12	3.91863
LEMD1	229927_at	0.000138185	3.90204
C9orf3	212848_s_at	2.02E-10	3.88794
	214896_at	5.39E-06	3.88122
FXYD6	217897_at	1.62E-05	3.86903
PEG10	212092_at	0.000565463	3.85577
PDE1C	207303_at	1.40E-07	3.85541
DOK1	216835_s_at	1.49E-10	3.8144
LAMA4	202202_s_at	0.000393762	3.80482
DOK1	211121_s_at	1.43E-08	3.79661
	229815_at	7.91E-05	3.79508
CD52	204661_at	0.000606273	3.79475
SORBS1	222513_s_at	0.000366167	3.78378
NINJ2	219594_at	0.000127769	3.77021
PCSK5	205559_s_at	0.000559208	3.76257
UNC5C	206189_at	5.65E-10	3.7582
DDR2	227561_at	2.53E-05	3.73562
	229544_at	0.000271203	3.72573
	227492_at	0.000343418	3.71655
KLK6	204733_at	9.66E-10	3.70083
THBS1	235086_at	0.00139637	3.69764
SOX11	204915_s_at	1.27E-06	3.69128
	224999_at	0.000172145	3.6895
LAMA4	210089_s_at	3.47E-05	3.68339
SOX11	204914_s_at	4.87E-07	3.66601
NRGN	204081_at	2.59E-07	3.66181
	240332_at	1.80E-06	3.64439
ARC	210090_at	0.000238943	3.64278
LPHN3	209867_s_at	1.86E-07	3.63274
PCSK2	204870_s_at	3.14E-10	3.63095
LTBP4	204442_x_at	6.38E-09	3.61802
ADAMTS9	1554697_at	6.38E-12	3.60793
ACOT12	238160_at	8.77E-19	3.58391
PDE1C	1554378_a_at	5.94E-10	3.57557
ERRFI1	224657_at	0.000355273	3.54736
	236709_at	2.33E-06	3.5427
CDC42EP5	227850_x_at	5.73E-05	3.54065
FGF1	208240_s_at	5.25E-10	3.53895
	1569122_at	1.93E-06	3.53787
COL6A1	213428_s_at	0.000565514	3.52913
NGEF	227240_at	8.61E-07	3.51921
ADRB1	229309_at	2.17E-06	3.5077
ITM2A	202746_at	0.00151842	3.501
GPC3	209220_at	0.00051405	3.49857
CLDN3	203953_s_at	1.31E-12	3.48624
LTBP4	213176_s_at	4.48E-09	3.48378
SEMA6D	233882_s_at	0.000146599	3.47258
IER3	201631_s_at	1.80E-05	3.47163
JPH1	1553533_at	6.48E-08	3.46473
ARAP3	218950_at	1.63E-07	3.46043
LOC100133005 /// RASA4	212706_at	4.99E-06	3.45542
SEMA3A	244849_at	3.58E-08	3.45096
CHRM3	214596_at	1.81E-10	3.44468
ST8SIA2	239537_at	2.42E-06	3.44449
CHRM3	1553705_a_at	8.59E-08	3.43233
SIPA1L1	202254_at	7.18E-08	3.41682
PCSK5	205560_at	2.34E-06	3.4082
ITIH5L	234894_at	6.88E-05	3.39744
DNAH9	207959_s_at	1.20E-08	3.39603
ACSS2	234312_s_at	2.46E-05	3.39599
C8orf84	230661_at	0.000105663	3.3832
CHST6	223786_at	0.000446845	3.35629
BMP7	209590_at	0.000131203	3.35589
KRT6A	209125_at	3.97E-17	3.35109
CORO2A	227177_at	3.87E-12	3.34962
C13orf15	218723_s_at	6.22E-05	3.34051
EDIL3	207379_at	0.000342866	3.33713
KIAA0644	205150_s_at	5.95E-07	3.33319
	235494_at	0.000396894	3.33022
PPM1E	236302_at	0.000101134	3.30411
CD24	209771_x_at	0.000917271	3.29466
	241873_at	1.26E-15	3.284
NRXN3	215020_at	0.00118862	3.27843
NTRK1	208605_s_at	1.36E-08	3.26294
SPTLC3	227752_at	4.63E-07	3.24124
ALCAM	201951_at	0.00113432	3.21733
PELI1	232304_at	0.00131659	3.18541
PRR4	204919_at	0.00151275	3.16105
LIMCH1	212325_at	0.000758598	3.157
JDP2	226267_at	4.96E-05	3.12811
	239632_at	8.96E-09	3.11755
RELN	205923_at	0.000202862	3.11507
DENND2A	221885_at	6.44E-07	3.10516
TFAP2C	205287_s_at	3.09E-05	3.1046
ANO3	215241_at	2.87E-11	3.09943
CLSTN3	204375_at	0.000382745	3.09726
AMDHD1	229596_at	4.34E-10	3.08456
CD24	208650_s_at	9.59E-08	3.08425
COCH	205229_s_at	2.60E-05	3.08405
TSPAN11	227610_at	2.68E-05	3.06318
TFAP2C	205286_at	0.000871463	3.06313
CNTN1	227209_at	0.00115296	3.05914
VASN	225867_at	4.23E-06	3.04743
CD70	206508_at	7.63E-09	3.04089
SOX11	204913_s_at	1.97E-07	3.02911
SCN4B	236359_at	0.000438108	2.98902
PCSK5	213652_at	6.26E-06	2.9883
CORO2A	205538_at	1.44E-12	2.95779
FAM105A	219694_at	0.00141712	2.94742
STC1	204595_s_at	0.00145264	2.94482
SGCE	204688_at	0.00027847	2.93607
RAB11FIP4	225739_at	0.000132767	2.93007
FLJ36848	231698_at	6.43E-09	2.91502
EGFR	201984_s_at	4.07E-06	2.90124
GRK5	204396_s_at	0.000234195	2.89387
KCNK13	221325_at	2.81E-11	2.89122
TLL2	215843_s_at	4.45E-10	2.89095
SAMD5	228653_at	0.000429387	2.87985
PPP2R2C	228010_at	2.99E-10	2.87061
COCH	1554242_a_at	5.48E-06	2.85538
PDE1C	216869_at	0.000131628	2.84438
EDN3	217154_s_at	0.000150179	2.84186
PELI1	232213_at	0.00138777	2.8391
CHRM3	1564339_a_at	2.66E-08	2.83453
UGP2	232180_at	0.000151238	2.83215
CNTNAP1	219400_at	6.85E-05	2.83098
LRRFIP1	223492_s_at	0.000180043	2.81631
SMARCA1	215294_s_at	0.000437914	2.81395
INSIG1	201627_s_at	0.000146516	2.80857
BMP8B	207865_s_at	0.00150809	2.80719
B3GNT5	1554835_a_at	0.000249013	2.79718
LAMA4	210989_at	3.39E-05	2.78052
NRP1	210510_s_at	0.00087454	2.77811
EXT1	230183_at	8.46E-08	2.77262
SMAGP	209679_s_at	0.000973462	2.7726
	243139_at	1.96E-13	2.7711
BMP6	206176_at	0.000482104	2.76888
LOC100128178	235891_at	1.35E-05	2.76751
UGP2	205480_s_at	0.000471446	2.75843
TMEM169	228981_at	0.000176822	2.74504
BTG1	200920_s_at	0.000229391	2.74045
PRB1	207752_x_at	7.45E-07	2.73325
ZNF467	214746_s_at	2.07E-06	2.72906
TEX14	221035_s_at	0.000139512	2.72518
ADAM19	209765_at	0.000406584	2.72085
PSD4	215923_s_at	5.57E-06	2.70967
MARCKS	201670_s_at	2.73E-05	2.70097
DBNDD2 /// SYS1-DBNDD2	218094_s_at	0.00132998	2.68776
	243932_at	0.000320541	2.6823
GALNT14	219271_at	0.000438869	2.68179
	235111_at	0.000661074	2.67083
KIAA1199	1554685_a_at	3.54E-05	2.66715
UNC5A	236448_at	1.32E-07	2.66239
ADAMTS2	214535_s_at	5.48E-06	2.65854
PLCG2	204613_at	0.000138661	2.6497
MARCKS	225897_at	0.000162168	2.64371
INSIG1	201626_at	0.000425302	2.6384
SYT12	228072_at	9.97E-05	2.63747
FAM110B	221959_at	0.000533314	2.63161
ZFP36L2	201367_s_at	7.35E-05	2.62369
COL12A1	234951_s_at	3.00E-06	2.61923
CYBRD1	222453_at	0.000207969	2.6046
UCP2	208998_at	0.00156926	2.59919
FGFR2	203638_s_at	2.18E-05	2.59569
OAS1	205552_s_at	0.000779497	2.59383
PPM1E	205938_at	1.11E-06	2.58534
KIAA0574	213997_at	1.16E-17	2.5803
FAM119A	1553743_at	0.000866413	2.57943
INSIG1	201625_s_at	0.000180276	2.57715
SYN2	210247_at	1.31E-10	2.5766
EMILIN1	204163_at	0.000504483	2.5686
CADM4	215258_at	2.26E-05	2.56074
DLX4	208216_at	2.54E-07	2.55197
PTGES	210367_s_at	0.000188462	2.54755
PTPN13	204201_s_at	0.000133113	2.54628
MMP10	205680_at	2.12E-08	2.5428
BEAN	214068_at	1.14E-05	2.54276
HES1	203394_s_at	0.000623028	2.54056
SIX4	229796_at	0.000419733	2.53966
ACSF2	218844_at	8.88E-05	2.53527
BTG1	200921_s_at	1.60E-05	2.53208
PSD4	203317_at	0.000527007	2.53104
	228560_at	3.78E-08	2.5146
P2RX5	210448_s_at	7.22E-06	2.51344
SEMA6D	233801_s_at	2.68E-06	2.50673
CNTN1	211203_s_at	0.000127017	2.50408
TFB1M	228075_x_at	9.51E-08	2.50104
MARCKS	201669_s_at	0.000102698	2.50038
F11R	221664_s_at	8.78E-05	2.49791
MYBPC2	206394_at	2.78E-09	2.49406
MYRIP	214156_at	3.90E-16	2.491
KCNH2	210036_s_at	1.02E-05	2.48926
PC	204476_s_at	1.31E-06	2.48673
COL6A1	212937_s_at	0.000722567	2.48403
RASA4 /// RASA4P	208534_s_at	1.52E-05	2.48329
NLGN3	219726_at	0.000909941	2.47691
SCARA3	223842_s_at	3.59E-08	2.47664
	235739_at	0.00026354	2.47662
TRO	211700_s_at	0.000810658	2.47525
FERMT1	60474_at	6.94E-09	2.47188
PRKCA	215195_at	9.74E-05	2.47015
FGFR4	204579_at	3.84E-06	2.46963
NR2F2	209119_x_at	6.46E-07	2.45928
SMARCA1	203874_s_at	0.00107407	2.45506
ARHGEF9	203264_s_at	0.000450593	2.45455
TNFRSF12A	218368_s_at	0.00100164	2.45291
HSD17B7	220081_x_at	7.34E-07	2.45228
SMARCA1	203875_at	0.000621806	2.45023
	230917_at	5.75E-06	2.44738
FAM131B	205368_at	4.64E-08	2.43106
C10orf47	230051_at	0.000233367	2.42789
FBN2	203184_at	0.000123192	2.42642
	238156_at	0.00117566	2.42365
IL10	207433_at	8.78E-10	2.4231
IL12A	207160_at	1.24E-10	2.41975
PLS1	205190_at	0.0014821	2.41315
	1562275_at	1.03E-10	2.41314
SEMA3D	215324_at	1.21E-08	2.40725
TRO	211701_s_at	1.19E-05	2.40436
SLC13A3	230687_at	6.08E-08	2.40082
C8orf42	230903_s_at	1.94E-05	2.39559
PDSS2	1555886_at	0.000637403	2.3931
CNTN6	207195_at	1.56E-08	2.39222
ACAD11	225573_at	2.78E-05	2.3901
TFB1M	219169_s_at	4.79E-07	2.38323
PHF21B	1562309_s_at	2.55E-11	2.38256
SLC16A9	227506_at	1.06E-12	2.38046
PRB1	211531_x_at	2.62E-06	2.37106
CLCN6	203950_s_at	7.35E-08	2.36754
FA2H	219429_at	2.00E-12	2.36102
KLF4	220266_s_at	0.000674188	2.36079
LHFPL3	236761_at	6.12E-06	2.35708
FHL1	210299_s_at	0.00127685	2.35348
IDI1	204615_x_at	0.00117283	2.35298
IDI1	208881_x_at	0.0012351	2.35107
	242358_at	0.000614251	2.35074
ZFP36L2	201368_at	2.77E-05	2.34974
PPP2R2C	223574_x_at	6.91E-12	2.34878
FBRSL1	225704_at	0.000319956	2.34731
NR2F2	215073_s_at	0.000177072	2.34635
KIAA0644	205151_s_at	6.36E-06	2.34264
SLCO5A1	220984_s_at	1.12E-06	2.34152
MAPT	203929_s_at	9.53E-07	2.32719
NR2F2	209120_at	1.52E-05	2.32303
PRB1	210597_x_at	9.39E-06	2.31641
FGFR4	211237_s_at	4.99E-07	2.31605
NCAM1	217359_s_at	9.28E-07	2.30807
ELAVL2	228260_at	3.98E-14	2.30721
RABGAP1	213313_at	7.48E-06	2.30582
RPL37	224763_at	0.00120836	2.30542
ACPP	237030_at	6.37E-07	2.30288
B4GALNT1	206435_at	4.78E-11	2.29882
PRKCH	218764_at	0.000308866	2.29709
FDPS	201275_at	0.000867716	2.29692
FAM83H	226129_at	0.00104348	2.29216
MARVELD3	239148_at	4.02E-10	2.28813
ACACA	214358_at	0.000689508	2.28423
TMEM132A	218834_s_at	0.000434697	2.28325
TTC13	219481_at	4.10E-05	2.2781
LYNX1	226305_at	0.000220086	2.278
CAMP	210244_at	8.61E-06	2.27793
C12orf44	218214_at	1.59E-06	2.27457
FRMD8	227964_at	0.000456522	2.26806
	214124_x_at	1.03E-05	2.26616
KCNH8	1552742_at	9.81E-05	2.26525
MYL10	221659_s_at	2.24E-07	2.26112
	242530_at	1.84E-12	2.25551
NTF3	206706_at	1.02E-09	2.25509
BEGAIN	220795_s_at	7.52E-08	2.249
FERMT1	218796_at	2.62E-06	2.24708
CADM4	229335_at	0.000313087	2.24366
ADRB1	208214_at	3.41E-09	2.24039
SERTAD4	230660_at	0.000801397	2.23879
SEMA6D	220574_at	1.56E-06	2.23725
PCYOX1L	218953_s_at	0.000258744	2.23218
HSPA5	230031_at	0.00154624	2.23079
PCTK3	214797_s_at	3.82E-06	2.22494
FIBCD1	240042_at	3.78E-08	2.22265
C8orf42	226778_at	2.99E-07	2.21948
ARHGEF9	203263_s_at	9.66E-05	2.21688
CYTSB	228900_at	0.00124392	2.21599
SCRN2	228730_s_at	7.72E-07	2.21578
FOLH1B	211303_x_at	0.00156092	2.21412
TCEA2	203919_at	8.61E-05	2.20534
NR2F2	209121_x_at	3.01E-05	2.20238
hCG_1990547	1562904_s_at	5.62E-05	2.19493
PCM1	228905_at	0.000634228	2.19348
SHF	228922_at	0.000175229	2.18847
KCNH2	205262_at	4.45E-07	2.18761
GALNT13	234472_at	7.10E-09	2.18549
PPOX	238117_at	0.00019669	2.17746
CHDH	1559591_s_at	1.76E-08	2.17442
CA5B	207129_at	0.00114772	2.17222
CEP110	205642_at	1.85E-05	2.16786
SLC44A2	224609_at	8.66E-05	2.16191
KIAA1804	228565_at	0.000115518	2.16155
LOC100131813	230939_at	1.87E-05	2.15927
PCNX	229287_at	0.000765653	2.15813
FGFR2	208228_s_at	1.84E-07	2.15185
ST8SIA2	221285_at	7.09E-08	2.15072
LOC81691	215215_s_at	0.000637009	2.14788
ADAMTS7	228911_at	1.15E-05	2.1449
NR2F2	229092_at	0.00109617	2.14423
NR5A2	210174_at	1.28E-06	2.14369
NISCH	201591_s_at	3.84E-05	2.14243
CDH24	230157_at	2.66E-05	2.13752
	214110_s_at	0.00040231	2.13747
SLC44A2	225175_s_at	3.02E-06	2.1343
GLI2	207034_s_at	2.04E-08	2.13357
RASAL1	233144_s_at	5.01E-08	2.13011
SORBS1	211819_s_at	0.00124951	2.12766
FBLIM1	1555480_a_at	0.00126279	2.12645
EPHB3	204600_at	0.00112278	2.12588
	1560739_a_at	5.48E-05	2.12508
CHST4	220446_s_at	6.40E-11	2.12445
	241452_at	1.98E-06	2.12131
RIMS3	204730_at	9.13E-09	2.11921
RSL1D1	213750_at	6.02E-07	2.11864
	235337_at	0.000428664	2.11603
ERCC1	203720_s_at	5.40E-05	2.11532
FADS2	202218_s_at	0.000131723	2.10995
	231925_at	0.00132244	2.10948
HBQ1	220807_at	5.10E-05	2.10921
BOK	223349_s_at	0.000501681	2.10906
DAG1	205417_s_at	5.53E-05	2.10882
PALM2	1554640_at	0.000534147	2.10783
OCLN	209925_at	1.34E-06	2.10712
RABGAP1	204028_s_at	4.07E-06	2.10586
GLI2	228537_at	6.71E-08	2.1027
OAS1	202869_at	0.00109878	2.1004
C9orf16	41047_at	0.0010578	2.09406
MYST1	221820_s_at	3.16E-05	2.09405
FZD2	210220_at	0.000703131	2.09243
FBLIM1	225258_at	0.000516554	2.09045
PPP1R1A	205478_at	5.51E-05	2.08973
SDC3	202898_at	0.000665834	2.08803
ECH1	200789_at	3.78E-05	2.08625
SYT17	229053_at	1.96E-05	2.08114
UBASH3B	238587_at	0.000914692	2.07773
BMP7	211259_s_at	0.000251305	2.07745
ZFP36L2	201369_s_at	0.000939272	2.07728
ECSCR	227779_at	6.66E-05	2.07666
GABBR2	209990_s_at	9.95E-05	2.07659
ITM2C	221004_s_at	0.000257527	2.06785
AARSD1	238740_at	1.82E-05	2.06043
C10orf47	229801_at	0.000394238	2.05984
KCNQ2	210508_s_at	6.11E-08	2.05904
	236201_at	1.92E-09	2.05686
SAMD5	242626_at	0.000398306	2.05666
SLC13A3	230686_s_at	1.11E-08	2.05117
	224407_s_at	0.00108716	2.04777
SYN2	229039_at	2.14E-11	2.04122
DAG1	212128_s_at	3.62E-05	2.04104
ZNF302	228393_s_at	0.00147204	2.03726
THYN1	218491_s_at	5.29E-07	2.03635
BBOX1	205363_at	1.38E-07	2.03518
PRKCA	206923_at	2.21E-07	2.03405
MTHFD1L	225520_at	0.000412788	2.0313
S100P	204351_at	6.14E-08	2.02954
RNFT1	227268_at	0.000303162	2.02756
SEPW1	201194_at	0.000768472	2.02449
	244242_at	4.20E-09	2.02301
FBLIM1	1554795_a_at	9.84E-05	2.02272
MDFI	205375_at	7.06E-06	2.02084
CEP70	224150_s_at	0.000425975	2.01979
OGG1	205760_s_at	0.000306692	2.01768
HES1	203395_s_at	0.000747189	2.01715
SDK2	242064_at	4.46E-05	2.00336
	1559923_at	2.37E-11	2.00304
FSD1	219170_at	9.14E-06	2.00233
SEMA4F	210124_x_at	0.00115916	2.00193
LOC93432	216666_at	1.56E-09	-2.00028
LOC401321	1560371_at	0.000443911	-2.00385
CCRN4L	1554283_at	1.87E-05	-2.00652
CLIP1	201975_at	6.73E-05	-2.01119
LOC100130886 /// TMEM164	223202_s_at	0.000364924	-2.0116
ZNF436	226113_at	0.000827133	-2.01191
CXorf26	223294_at	1.90E-05	-2.01591
SAMD9	219691_at	7.10E-06	-2.01725
AMDHD2	219082_at	0.000252414	-2.01856
	228243_at	3.29E-05	-2.01888
MCC	206132_at	0.000919423	-2.02538
LOC100130886 /// TMEM164	220486_x_at	0.000844889	-2.03004
GLI3	205201_at	6.14E-07	-2.03116
HTRA2	203089_s_at	0.000244118	-2.03537
AMOT	209521_s_at	1.28E-05	-2.0399
SRD5A3	218800_at	0.000277542	-2.0406
TRIM33	212435_at	0.000329682	-2.0415
	243840_at	0.000410235	-2.04225
ANXA5	200782_at	1.48E-07	-2.04305
SSX2	210497_x_at	0.000306763	-2.04526
CDS2	212864_at	0.000465798	-2.04829
ATF7	228830_s_at	6.35E-05	-2.05007
NSMAF	203269_at	0.000343109	-2.05143
WWC3	225273_at	9.80E-06	-2.05437
CYP2U1	226402_at	0.000205517	-2.05622
G6PD	202275_at	0.000173474	-2.05884
CLCN5	232128_s_at	0.000442213	-2.06008
ROR1	232060_at	0.00132281	-2.06046
C4orf3	224604_at	0.000433581	-2.0605
VANGL1	229492_at	0.00132684	-2.06079
SLC35D2	213083_at	9.44E-05	-2.06651
DFFA	223518_at	6.44E-10	-2.06839
DERA	218102_at	0.000310019	-2.07475
LAD1	203287_at	1.17E-05	-2.07861
YWHAB	208743_s_at	1.90E-06	-2.07917
ZNF718	1553269_at	9.01E-07	-2.08133
LOC727901 /// VWA1	228651_at	3.28E-06	-2.0822
ETNK1	219017_at	2.23E-06	-2.08301
CYP2U1	226393_at	0.00103133	-2.09106
GAD1	206670_s_at	7.24E-07	-2.0979
POLR2L	202586_at	6.55E-05	-2.10381
HECTD3	218632_at	3.87E-05	-2.10896
PEA15	200787_s_at	0.00137194	-2.10904
LOC388630	244472_at	2.53E-05	-2.11297
PRCD	230015_at	5.64E-10	-2.1136
SLC25A44	32091_at	0.000219436	-2.12766
ATF7	228829_at	2.70E-05	-2.12962
VANGL1	229134_at	0.00114428	-2.13153
SBDS /// SBDSP	222669_s_at	0.000137907	-2.13298
RAP2B	238622_at	0.00141369	-2.13589
LDLRAP1	57082_at	2.51E-05	-2.13826
CLCN5	206704_at	0.00123812	-2.13938
PRPF4B	202126_at	1.15E-05	-2.13945
DHFR	202532_s_at	0.00120352	-2.14019
ITPK1	210740_s_at	2.31E-06	-2.14019
EBF1	229487_at	0.000801448	-2.14066
ZFR2	233064_at	0.000125557	-2.14305
FNTB	1773_at	9.08E-06	-2.14447
STS	203768_s_at	1.63E-06	-2.1471
SVIP	230005_at	2.69E-05	-2.15821
SGCD	210329_s_at	0.00146045	-2.16613
C18orf19	242149_at	0.00049041	-2.16967
PTTG1IP	200677_at	2.88E-07	-2.171
DTX3L	225415_at	9.37E-06	-2.17314
CSNK1E	226858_at	0.000182594	-2.17387
LOC286052	241370_at	4.88E-05	-2.17461
C18orf19	230739_at	0.000481891	-2.17463
	243444_at	2.37E-05	-2.17581
LOC221710	1564651_at	0.000814174	-2.17736
	230278_at	0.00122718	-2.17809
TMEM177	218897_at	0.000510641	-2.18033
RAP2B	213923_at	0.000262691	-2.1804
C22orf9	217118_s_at	0.00153048	-2.18202
NRP2	225566_at	1.17E-05	-2.18232
PLEKHF2	222699_s_at	0.00131317	-2.18852
SBDS /// SBDSP	1554089_s_at	0.000398124	-2.20133
	225227_at	0.00146899	-2.20157
YWHAB	217717_s_at	2.25E-07	-2.2048
	227897_at	0.00119523	-2.20605
NUP50	213682_at	0.000142567	-2.20716
LGI3	238061_at	0.000747287	-2.22163
	238573_at	0.000368607	-2.22425
NUP160	214963_at	8.70E-07	-2.22856
SLC30A1	212907_at	6.15E-06	-2.22866
