Chromosome	Gene Name	Sum of Exon Lengths	Uninduced Cytoplasmic Avg Reads Counts	Uninduced Cytoplasmic Avg RPKM	Induced Cytoplasmic Avg Reads Counts	Induced Cytoplasmic Avg RPKM	Induced vs Uninduced (Cytoplasmic)
chr17	MYL4	956	19.5	0.396636126	64.5	1.61817885	4.079756596
chr5	LOC653391	1952	36.5	0.360563351	119	1.46996462	4.076855335
chr5	GUSBP3	1475	30	0.390361546	97	1.585914381	4.062680857
chr14	EVL	1855	196.5	2.067073064	640	8.275126971	4.00330647
chr5	CD180	2718	1165	8.364075057	3788.5	33.44022346	3.998077879
chr11	RAG2	2414	3765	30.44368998	603.5	5.998418764	0.197033236
chr11	CHRNA10	1949	194	1.941580431	31	0.381631847	0.19655732
chr5	ARL15	2491	2059.5	16.13359536	329	3.168961218	0.196420026
chr9	HEMGN	2244	254	2.208877081	40.5	0.433008914	0.196031241
chr1	TXNIP	2933	7644	50.86728664	1218	9.964189628	0.195886006
chr7	LOC286016	2015	176	1.704906677	28	0.333476137	0.195597883
chr6	LY6G5C	729	53.5	1.43239396	8.5	0.279483312	0.195116232
chrX	CYBB	4331	3392.5	15.28907684	524.5	2.906003951	0.190070596
chr20	NCOA5	3214	8196.5	49.7702548	1261.5	9.41698737	0.189209145
chr4	CXCL10	1177	561	9.296922239	85.5	1.742547537	0.187432732
chr2	GPR75	2117	135.5	1.249539214	20.5	0.232246621	0.185865812
chr11	TPH1	1825	127	1.357375845	19	0.24972223	0.18397427
chr17	COL1A1	5976	503	1.643256882	73	0.293049006	0.178334264
chrX	AVPR2	2196	232.5	2.066111329	33	0.360497704	0.174481258
chr13	ADPRHL1	2181	334	2.988724868	46.5	0.511647253	0.17119249
chr14	NYNRIN	7865	1271.5	3.155537192	173	0.527749758	0.167245615
chr9	MIRLET7F1	87	7.5	1.680967301	1	0.277335638	0.164985742
chr4	CYP4V2	4714	458.5	1.899561502	61	0.310480987	0.163448768
chr3	CAMP	718	220	5.980026616	28.5	0.952109477	0.159214923
chr18	MOCOS	2741	203.5	1.448646468	26	0.227445728	0.157005683
chr22	TSSK2	1817	161.5	1.735000018	20.5	0.270888632	0.156131775
chr8	SNAI2	2101	128.5	1.192609114	16	0.182657011	0.153157483
chr12	PDZRN4	4097	245	1.166397815	29.5	0.172812321	0.148158989
chr1	SFPQ	3081	39596.5	250.8382041	4742	36.92490429	0.147206062
chr10	C10orf10	2060	257	2.43460364	30.5	0.355407903	0.145981833
chr11	TEX12	1148	61	1.036985498	7	0.146302217	0.141084149
chr13	PROZ	1493	103.5	1.353601704	11	0.176687583	0.130531443
chr17	KCTD11	3054	233	1.488901507	24	0.188554527	0.126640027
chr10	OR13A1	2082	1856.5	17.40403176	185	2.131863581	0.122492513
chr1	GIPC2	2828	149	1.028748938	14.5	0.123045965	0.11960738
chr5	P4HA2	2720	172	1.231284624	15	0.132218448	0.107382522
chr2	GPD2	6172	1232	3.897109854	90.5	0.351741132	0.09025692
chr11	ALDH3B2	2699	246	1.777545865	17	0.15102679	0.084963653
chr3	ITIH4	3306	201.5	1.190254411	13	0.094144931	0.079096477
chr22	DGCR10	927	80.5	1.695021743	3.5	0.090517965	0.053402244
chr2	CLIP4	4292	320	1.456130026	13.5	0.075484722	0.051839273
chr22	DGCR9	2415	379	3.063017475	14	0.139093122	0.045410489
chr2	SGPP2	1204	90	1.459491858	3	0.059784627	0.040962631
chr22	IGLL3	1012	523	9.919445185	2	0.047285069	0.004766907
