T-UCR	Type	Band	Upstream gene	Within gene	Downstream gene	P value	ROC analysis P value	Sensitivity (%)	Specificity (%)	Area under curve	Survival analysis 1 Z statistic	Overall Survival P value	Event-free survival P value	Survival analysis 2 Overall Survival P value	Event-free survival P value
uc.192	n	6p12.3	TFAP2B	-	PKHD1	0.0022	0.0001	75	100	0.885	5.093	0.0001	0.0004	0.8038	0.8038
uc.196	n	6q16.1	C6orf167	-	POU3F2	0.0204	0.0023	100	58.3	0.802	3.05	0.0155	0.0275	0.7166	0.5731
uc.200	n	6q16.1	C6orf167	-	POU3F2	0.0288	0.0067	87.5	66.7	0.781	2.711	0.0083	0.0047	0.2032	0.1663
uc.209	e	7p15.3	MGC27348	TRA2A	AB052759	0.003	0.0001	100	75	0.906	5.948	0.0021	0.0022	0.0039	0.0018
uc.210	p	7p15.2	KIAA0087	-	SKAP2	0.0164	0.0003	75	100	0.833	3.654	0.0001	0.0004	0.0008	0.0003
uc.211	n	7p15.2	KIAA0087	SKAP2	HOXA1	0.0113	0.0001	75	100	0.865	4.428	0.0086	0.0812	0.0181	0.0357
uc.215	n	7p14.1	INHBA	GLI3	C7orf25	0.0009	0.0001	100	83.3	0.917	6.481	0.0004	0.0008	0.0986	0.0237
uc.220	n	7q21.3	SHFM1	-	DLX5	0.0207	0.0159	62.5	91.7	0.76	2.411	0.0032	0.0093	0.768	0.6544
uc.235	n	8p21.2	EBF2	DOCK5	AK129682	0.0014	0.0001	87.5	83.3	0.906	5.948	0.0018	0.0136	0.0816	0.1641
uc.236	n	8p12	FKSG2	-	FLJ14299	0.0115	0.0001	87.5	83.3	0.844	3.889	0.0005	0.0006	0.0898	0.2374
uc.254	n	9p21.3	AK096011	-	ELAVL2	0.0152	0.0012	100	75	0.812	3.237	0.0021	0.0002	0.1865	0.1585
uc.265	e	9q31.1	ABCA1	SLC44A1	FSD1L	0.0009	0.0001	87.5	83.3	0.906	5.948	0.0018	0.0209	0.0007	0.0007
uc.269	n	9q33.3	CRB2	DENND1A	LHX2	0.0118	0.0001	100	66.7	0.844	3.889	0.0033	0.0045	0.0162	0.0115
uc.271	p	9q33.3	GAPVD1	MAPKAP1	LOC51145	0.0095	0.0001	87.5	83.3	0.844	3.889	0.0034	0.0306	0.0297	0.0297
uc.290	e	10q22.3	C10orf41	C10orf11	KCNMA1	0.0264	0.0003	62.5	100	0.833	3.654	< 0.0001	0.0001	0.5032	0.658
uc.291	p	10q22.3	C10orf41	C10orf11	KCNMA1	0.0225	0.0085	87.5	66.7	0.776	2.633	0.0369	0.0815	0.1051	0.0914
uc.307	p	10q24.32	LBX1	BTRC	AF090931	0.0061	0.0001	87.5	83.3	0.875	4.742	0.0013	0.0017	0.0008	0.0003
uc.312	p	10q26.11	CASC2	C10orf84	PRLHR	0.0057	0.0003	100	58.3	0.833	3.654	0.0155	0.0275	0.0021	0.0014
uc.317	n	10q26.3	BC022565	MGMT	FLJ11370	0.004	0.0001	100	58.3	0.859	4.283	0.0185	0.0383	0.0208	0.0162
uc.321	n	11p15.2	CALCB	-	SOX6	0.0004	0.0001	100	75	0.937	7.893	0.0015	0.0193	0.4501	0.2636
uc.322	n	11p15.2	CALCB	SOX6	AL136602	0.0084	0.0001	100	90.9	0.966	11.029	< 0.0001	< 0.0001	0.0082	0.0082
uc.323	p	11p15.2	AL136602	SOX6	MASP2	0.0056	0.0001	100	66.7	0.865	4.428	0.0056	0.0701	0.0297	0.0297
uc.330	e	11q13.2	CCS	RBM14	MGC15912	0.0192	0.0012	100	66.7	0.812	3.237	0.0033	0.0045	0.7345	0.6585
uc.367	p	14q13.1	AKAP6	NPAS3	EGLN3	0.0237	0.0106	62.5	91.7	0.771	2.557	0.0021	0.0121	0.2653	0.0107
uc.371	n	14q13.2	INSM2	GARNL1	GARNL1	0.0144	0.0006	87.5	83.3	0.823	3.437	0.0012	0.0101	0.0208	0.0162
uc.374	p	14q13.3	SLC25A21	MIPOL1	FOXA1	0.0235	0.0001	75	83.3	0.854	4.146	0.0033	0.0073	0.9075	0.7723
uc.376	e	14q21.2	FAM179B	PRPF39	FKBP3	0.0241	0.0159	62.5	83.3	0.76	2.411	0.0014	0.0138	0.0019	0.0004
uc.391	e	15q23	AF130086	MAP2K5	PIAS1	0.0281	0.0106	87.5	66.7	0.771	2.557	0.0258	0.188	0.006	0.001
uc.406	e	16q22.1	CYB5B	NFAT5	NQO1	0.0223	0.0001	87.5	83.3	0.927	7.116	0.0018	0.0008	0.0039	0.0018
uc.411	n	17q12	LHX1	AATF	ACACA	0.047	0.0231	50	91.7	0.75	2.272	0.0042	0.0001	0.5856	0.5158
uc.421	n	18q11.2	HRH4	ZNF521	SS18	0.0367	0.0001	75	100	0.865	4.428	< 0.0001	< 0.0001	0.0297	0.0297
uc.423	n	18q11.2	HRH4	ZNF521	SS18	0.0169	0.0001	75	91.7	0.844	3.889	0.0018	0.0133	0.0399	0.0399
uc.435	n	18q21.2	CCDC68	TCF4	LOC100132501	0.0082	0.0001	87.5	75	0.844	3.889	0.0063	0.0491	0.0021	0.0014
uc.436	e	18q21.2	CCDC68	TCF4	LOC100132501	0.0327	0.0231	87.5	66.7	0.75	2.272	0.0122	0.0906	0.0661	0.0538
uc.444	n	19q12	FKSG49	C19orf2	PRO1410	0.0454	0.0003	87.5	75	0.833	3.654	0.0051	0.0098	0.0208	0.0162
uc.452	e	19q12	AL137518	TSHZ3	ZNF507	0.0318	0.0067	75	83.3	0.781	2.711	0.008	0.003	0.0208	0.0162
uc.467	n	14q13.1	PCYT1B	POLA	ARX	0.0119	0.0012	75	83.3	0.812	3.237	0.0033	0.0306	0.8497	0.6183
uc.469	p	Xp22.11	POLA	-	ARX	0.038	0.0001	87.5	83.3	0.844	3.889	0.0018	0.0209	0.3486	0.5278
uc.477	e	Xq22.2	MGC39655	PLP1	MGC39900	0.0058	0.0001	100	66.7	0.875	4.742	0.0056	0.0066	0.4152	0.3247
