Rank	GeneName	Genebank Accession	Description	Expression in precursor	Expression in iPS-DC	Fold change
15	A430060F13Rik	AK139527	Mus musculus 2 cells egg cDNA, RIKEN full-length enriched library, clone:B020003F03 product:hypothetical protein, full insert sequence. [AK139527]	1.588	70.99	44.70403023
16	Adamdec1	NM_021475	Mus musculus ADAM-like, decysin 1 (Adamdec1), mRNA [NM_021475]	0.587	25.99	44.27597956
17	Wfdc3	NM_027961	Mus musculus WAP four-disulfide core domain 3 (Wfdc3), mRNA [NM_027961]	1.288	56.66	43.99068323
18	Ltc4s	NM_008521	Mus musculus leukotriene C4 synthase (Ltc4s), mRNA [NM_008521]	11.43	496.6	43.44706912
19	Afap1l2	NM_146102	Mus musculus actin filament associated protein 1-like 2 (Afap1l2), mRNA [NM_146102]	0.784	33.89	43.22704082
20	2610203C22Rik	AK011866	Mus musculus 10 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2610203C22 product:unclassifiable, full insert sequence. [AK011866]	1.118	47.66	42.62969589
21	Slc6a12	NM_133661	Mus musculus solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12 (Slc6a12), mRNA [NM_133661]	4.872	204.5	41.97454844
22	A530088I07Rik	NM_175437	Mus musculus RIKEN cDNA A530088I07 gene (A530088I07Rik), mRNA [NM_175437]	4.382	176.8	40.34687357
23	AK038228	AK038228	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130088F22 product:unclassifiable, full insert sequence [AK038228]	2.325	93.44	40.18924731
24	H2-Eb1	X52641	Mouse mRNA for I-A beta NOD. [X52641]	33.7	1285	38.1305638
25	4833422F24Rik	NM_029021	Mus musculus RIKEN cDNA 4833422F24 gene (4833422F24Rik), mRNA [NM_029021]	1.495	54.36	36.36120401
26	H2-Ab1	NM_207105	Mus musculus histocompatibility 2, class II antigen A, beta 1 (H2-Ab1), mRNA [NM_207105]	124.5	4377	35.15662651
27	Klra8	NM_010650	Mus musculus killer cell lectin-like receptor, subfamily A, member 8 (Klra8), mRNA [NM_010650]	0.673	23.52	34.94799406
28	1600029D21Rik	NM_029639	Mus musculus RIKEN cDNA 1600029D21 gene (1600029D21Rik), mRNA [NM_029639]	374.6	13072	34.89588895
29	ENSMUSG00000056615	AK038867	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230069K02 product:hypothetical protein, full insert sequence. [AK038867]	1.112	38.12	34.28057554
30	Cybb	NM_007807	Mus musculus cytochrome b-245, beta polypeptide (Cybb), mRNA [NM_007807]	46.98	1530	32.56704981
31	H2-Ab1	NM_207105	Mus musculus histocompatibility 2, class II antigen A, beta 1 (H2-Ab1), mRNA [NM_207105]	42.36	1372	32.38904627
32	H2-Ab1	BC010322	Mus musculus histocompatibility 2, class II antigen A, beta 1, mRNA (cDNA clone MGC:6297 IMAGE:2651058), complete cds [BC010322]	9.355	302.5	32.33564939
33	H2-Ab1	NM_207105	Mus musculus histocompatibility 2, class II antigen A, beta 1 (H2-Ab1), mRNA [NM_207105]	14.74	473.3	32.10990502
34	Dpep3	NM_027960	Mus musculus dipeptidase 3 (Dpep3), mRNA [NM_027960]	1.018	31.43	30.87426326
35	BC034076	NM_177649	Mus musculus cDNA sequence BC034076 (BC034076), mRNA [NM_177649]	0.872	26.42	30.29816514
36	Mmp13	NM_008607	Mus musculus matrix metallopeptidase 13 (Mmp13), mRNA [NM_008607]	3.061	92.43	30.19601437
37	Plekha6	BC025841	Mus musculus pleckstrin homology domain containing, family A member 6, mRNA (cDNA clone IMAGE:5149318), partial cds. [BC025841]	3.71	110.9	29.89218329
38	1600029D21Rik	NM_029639	Mus musculus RIKEN cDNA 1600029D21 gene (1600029D21Rik), mRNA [NM_029639]	37.48	1101	29.37566702
39	Ahrr	NM_009644	Mus musculus aryl-hydrocarbon receptor repressor (Ahrr), mRNA [NM_009644]	6.75	188.4	27.91111111
40	Kcnj10	NM_001039484	Mus musculus potassium inwardly-rectifying channel, subfamily J, member 10 (Kcnj10), mRNA [NM_001039484]	2.538	70.4	27.73837667
41	ENSMUST00000088270	ENSMUST00000088270	dystonin [Source:MarkerSymbol;Acc:MGI:104627] [ENSMUST00000088270]	0.863	23.74	27.50869061
42	Cfb	NM_008198	Mus musculus complement factor B (Cfb), mRNA [NM_008198]	45.22	1221	27.00132685
43	Trpc4	NM_016984	Mus musculus transient receptor potential cation channel, subfamily C, member 4 (Trpc4), mRNA [NM_016984]	1.615	43.28	26.79876161
44	TC1640144	TC1640144	TGFR1_MOUSE (Q64729) TGF-beta receptor type-1 precursor  (TGF-beta receptor type I) (TGFR-1) (TGF-beta type I receptor) (ESK2) , partial (17%) [TC1640144]	7.476	199.9	26.73889781
45	Ass1	M31690	Mouse argininosuccinate synthetase (Ass) mRNA, complete cds. [M31690]	27.51	726.1	26.39403853
46	Frmd4a	AK089210	Mus musculus NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630038O13 product:similar to HYPOTHETICAL 51.5 KDA PROTEIN [Homo sapiens], full insert sequence. [AK089210]	0.865	22.68	26.21965318
47	BC011209	NM_145447	Mus musculus cDNA sequence BC011209 (BC011209), mRNA [NM_145447]	39.24	1024	26.09582059
48	Ciita	NM_007575	Mus musculus class II transactivator (Ciita), mRNA [NM_007575]	2.191	56.17	25.63669557
49	D930021H04Rik	AK086324	Mus musculus 15 days embryo head cDNA, RIKEN full-length enriched library, clone:D930021H04 product:unclassifiable, full insert sequence. [AK086324]	1.085	27.47	25.31797235
50	AK013239	AK013239	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810434H03 product:unclassifiable, full insert sequence. [AK013239]	7.651	193.4	25.27774147
51	Klra21	NM_053151	Mus musculus killer cell lectin-like receptor subfamily A, member 21 (Klra21), mRNA [NM_053151]	2.031	50.98	25.1009355
52	Axl	NM_009465	Mus musculus AXL receptor tyrosine kinase (Axl), mRNA [NM_009465]	11.34	276.5	24.38271605
53	Mkx	NM_177595	Mus musculus mohawk (Mkx), mRNA [NM_177595]	1.196	29.01	24.25585284
54	Ass1	NM_007494	Mus musculus argininosuccinate synthetase 1 (Ass1), mRNA [NM_007494]	33.26	806.7	24.25435959
55	Gngt2	ENSMUST00000036088	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2 [Source:MarkerSymbol;Acc:MGI:893584] [ENSMUST00000036088]	2.433	58.62	24.09371147
56	AK040413	AK040413	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430092J05 product:syntrophin, basic 2, full insert sequence. [AK040413]	1.031	24.78	24.03491756
57	Rbms3	NM_178660	Mus musculus RNA binding motif, single stranded interacting protein (Rbms3), mRNA [NM_178660]	3.251	77.66	23.88803445
58	H2-Aa	NM_010378	Mus musculus histocompatibility 2, class II antigen A, alpha (H2-Aa), mRNA [NM_010378]	24.44	582.4	23.82978723
59	Gpr120	NM_181748	Mus musculus G protein-coupled receptor 120 (Gpr120), mRNA [NM_181748]	2.532	59.79	23.61374408
60	A430106J12Rik	AK042672	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730014I19 product:unclassifiable, full insert sequence. [AK042672]	4.012	92.68	23.10069791
61	Cyp2a4	NM_009997	Mus musculus cytochrome P450, family 2, subfamily a, polypeptide 4 (Cyp2a4), mRNA [NM_009997]	4.114	94.82	23.04812834
62	H2-Aa	NM_010378	Mus musculus histocompatibility 2, class II antigen A, alpha (H2-Aa), mRNA [NM_010378]	15.98	360	22.5281602
63	Smpdl3b	NM_133888	Mus musculus sphingomyelin phosphodiesterase, acid-like 3B (Smpdl3b), mRNA [NM_133888]	2.988	66.73	22.33266399
64	TC1689344	TC1689344	MPL302678 NodA protein {Mesorhizobium plurifarium} (exp=-1; wgp=0; cg=0), partial (12%) [TC1689344]	1.122	24.92	22.21033868
65	Rbms3	NM_178660	Mus musculus RNA binding motif, single stranded interacting protein (Rbms3), mRNA [NM_178660]	1.88	41.59	22.12234043
66	F730002C09Rik	AK089292	Mus musculus B6-derived CD11 +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F730002C09 product:unclassifiable, full insert sequence. [AK089292]	0.751	16.57	22.06391478
67	Expi	NM_007969	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]	13.47	296.5	22.01187825
68	Emr4	NM_139138	Mus musculus EGF-like module containing, mucin-like, hormone receptor-like sequence 4 (Emr4), mRNA [NM_139138]	3.533	77.72	21.99830173
69	Trim55	NM_001081281	Mus musculus tripartite motif-containing 55 (Trim55), mRNA [NM_001081281]	2.448	53.34	21.78921569
70	D10Bwg1379e	NM_001033258	Mus musculus DNA segment, Chr 10, Brigham & Womens Genetics 1379 expressed (D10Bwg1379e), mRNA [NM_001033258]	1.705	36.77	21.5659824
71	Lair1	NM_178611	Mus musculus leukocyte-associated Ig-like receptor 1 (Lair1), mRNA [NM_178611]	7.179	153.1	21.32608998
72	Tmem151	NM_001001885	Mus musculus transmembrane protein 151 (Tmem151), mRNA [NM_001001885]	12.45	263.9	21.19678715
73	Tmcc1	AK087243	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030038D23 product:hypothetical protein, full insert sequence [AK087243]	2.706	57.19	21.13451589
74	Il21r	NM_021887	Mus musculus interleukin 21 receptor (Il21r), mRNA [NM_021887]	4.031	84.99	21.08409824
75	Gcnt2	NM_133219	Mus musculus glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (Gcnt2), transcript variant 3, mRNA [NM_133219]	2.916	61.45	21.0733882
76	Ccl5	NM_013653	Mus musculus chemokine (C-C motif) ligand 5 (Ccl5), mRNA [NM_013653]	1.51	31.67	20.97350993
77	Prickle2	AK020123	Mus musculus 12 days embryo male wolffian duct includes surrounding region cDNA, RIKEN full-length enriched library, clone:6720451F06 product:unclassifiable, full insert sequence. [AK020123]	2.25	47.19	20.97333333
78	Cyp2a5	NM_007812	Mus musculus cytochrome P450, family 2, subfamily a, polypeptide 5 (Cyp2a5), mRNA [NM_007812]	2.7	56.24	20.82962963
79	Mtss1	AK046628	Mus musculus 4 days neonate male adipose cDNA, RIKEN full-length enriched library, clone:B430212B02 product:METASTASIS SUPPRESSOR PROTEIN homolog [Homo sapiens], full insert sequence. [AK046628]	12.79	265.5	20.758405
80	Abhd3	NM_134130	Mus musculus abhydrolase domain containing 3 (Abhd3), mRNA [NM_134130]	4.105	84.88	20.6772229
81	Adrb1	CK020710	AGENCOURT_16521866 NIH_MGC_222 Mus musculus cDNA clone IMAGE:30713994 5, mRNA sequence [CK020710]	1.565	32.17	20.55591054
82	Hivep3	AK038070	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130075N07 product:unclassifiable, full insert sequence [AK038070]	1.861	37.97	20.40300913
83	4930579C12Rik	NM_175672	Mus musculus RIKEN cDNA 4930579C12 gene (4930579C12Rik), mRNA [NM_175672]	0.959	18.95	19.76016684
84	6330509M05Rik	AK031957	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330509M05 product:unclassifiable, full insert sequence [AK031957]	4.104	80.24	19.55165692
85	AK141415	AK141415	Mus musculus 12 days embryo spinal cord cDNA, RIKEN full-length enriched library, clone:C530009I05 product:calcium/calmodulin-dependent protein kinase ID, full insert sequence. [AK141415]	4.692	91.5	19.50127877
86	Sirpb1	AK054545	Mus musculus 2 days pregnant adult female ovary cDNA, RIKEN full-length enriched library, clone:E330039L08 product:weakly similar to SIGNAL-REGULATORY PROTEIN BETA-1 PRECURSOR (SIRP-BETA1) [Homo sapiens], full insert sequence. [AK054545]	49.26	953.7	19.36053593
87	AK085674	AK085674	Mus musculus 10 days lactation, adult female mammary gland cDNA, RIKEN full-length enriched library, clone:D730008G07 product:unclassifiable, full insert sequence. [AK085674]	1.086	20.92	19.26335175
88	Malt1	AK045200	Mus musculus 9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130046C19 product:similar to mucosa associated lymphoid tissue lymphoma translocation gene 1, full insert sequence. [AK045200]	4.34	83.41	19.21889401
89	Crct1	NM_028798	Mus musculus cysteine-rich C-terminal 1 (Crct1), mRNA [NM_028798]	1.036	19.7	19.01544402
90	Parp14	NM_001039530	Mus musculus poly (ADP-ribose) polymerase family, member 14 (Parp14), mRNA [NM_001039530]	1.899	35.78	18.84149552
91	Fpr1	NM_013521	Mus musculus formyl peptide receptor 1 (Fpr1), mRNA [NM_013521]	32.59	613.5	18.82479288
92	Lpp	BC005613	Mus musculus LIM domain containing preferred translocation partner in lipoma, mRNA (cDNA clone MGC:12142 IMAGE:3710749), complete cds [BC005613]	0.673	12.5	18.57355126
93	BI662359	BI662359	BI662359 603305916F1 NCI_CGAP_Mam4 Mus musculus cDNA clone IMAGE:5351666 5, mRNA sequence [BI662359]	0.945	17.31	18.31746032
94	Galnt9	NM_198306	Mus musculus UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (Galnt9), mRNA [NM_198306]	3.149	56.97	18.09145761
95	Ccl5	BC033508	Mus musculus chemokine (C-C motif) ligand 5, mRNA (cDNA clone MGC:35989 IMAGE:4925413), complete cds. [BC033508]	6.358	115	18.08744888
96	Expi	NM_007969	Mus musculus extracellular proteinase inhibitor (Expi), mRNA [NM_007969]	11.57	208.3	18.00345722
97	Dock4	AK018161	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330411N01 product:RIKEN cDNA 6330411N01 gene, full insert sequence. [AK018161]	1.732	31.02	17.90993072
98	AK087200	AK087200	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030033M16 product:unclassifiable, full insert sequence. [AK087200]	0.76	13.61	17.90789474
99	Plxdc1	NM_028199	Mus musculus plexin domain containing 1 (Plxdc1), mRNA [NM_028199]	33.26	594.4	17.8713169
100	Mpa2l	NM_194336	Mus musculus macrophage activation 2 like (Mpa2l), mRNA [NM_194336]	1.025	18.08	17.63902439
101	Creb5	NM_172728	Mus musculus cAMP responsive element binding protein 5 (Creb5), mRNA [NM_172728]	8.489	149.2	17.57568618
102	Mmp12	NM_008605	Mus musculus matrix metallopeptidase 12 (Mmp12), mRNA [NM_008605]	80.29	1396	17.38697223
103	D10Bwg1379e	AK047584	Mus musculus 10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930094H20 product:unclassifiable, full insert sequence [AK047584]	1.078	18.68	17.3283859
104	Mx1	NM_010846	Mus musculus myxovirus (influenza virus) resistance 1 (Mx1), mRNA [NM_010846]	1.439	24.92	17.31758165
105	AK087180	AK087180	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030032H07 product:unclassifiable, full insert sequence. [AK087180]	1.253	21.63	17.26256983
106	Fut7	NM_013524	Mus musculus fucosyltransferase 7 (Fut7), mRNA [NM_013524]	16.91	291.8	17.2560615
107	ENSMUST00000043170	ENSMUST00000043170	Unknown	1.144	19.71	17.22902098
108	Pag1	AK041695	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630030J17 product:unclassifiable, full insert sequence. [AK041695]	8.737	150.2	17.19125558
109	Dpep2	NM_176913	Mus musculus dipeptidase 2 (Dpep2), mRNA [NM_176913]	12.43	212.6	17.10378117
110	Vstm2	NM_145967	Mus musculus V-set and transmembrane domain containing 2 (Vstm2), mRNA [NM_145967]	2.172	37.09	17.07642726
111	TC1655871	TC1655871	DOC10_HUMAN (Q96BY6) Dedicator of cytokinesis protein 10 (Protein zizimin 3), partial (5%) [TC1655871]	1.227	20.9	17.03341483
112	AK036634	AK036634	Mus musculus adult male bone cDNA, RIKEN full-length enriched library, clone:9830144D19 product:unclassifiable, full insert sequence. [AK036634]	1.133	19.23	16.97263901
113	Eef1a2	NM_007906	Mus musculus eukaryotic translation elongation factor 1 alpha 2 (Eef1a2), mRNA [NM_007906]	0.683	11.53	16.88140556
114	Card11	NM_175362	Mus musculus caspase recruitment domain family, member 11 (Card11), mRNA [NM_175362]	78.24	1308	16.71779141
115	Spint1	NM_016907	Mus musculus serine protease inhibitor, Kunitz type 1 (Spint1), mRNA [NM_016907]	20.37	339.6	16.67157585
116	Tcf7l2	AY072035	Mus musculus HMG transcription factor Tcf4 mRNA, complete cds. [AY072035]	1.14	18.98	16.64912281
117	Cd274	NM_021893	Mus musculus CD274 antigen (Cd274), mRNA [NM_021893]	38.78	642.3	16.56266117
118	Acpp	NM_207668	Mus musculus acid phosphatase, prostate (Acpp), transcript variant 1, mRNA [NM_207668]	2.728	44.41	16.27932551
119	H2-DMb2	NM_010388	Mus musculus histocompatibility 2, class II, locus Mb2 (H2-DMb2), mRNA [NM_010388]	1.866	30.33	16.25401929
120	Plekha6	NM_182930	Mus musculus pleckstrin homology domain containing, family A member 6 (Plekha6), mRNA [NM_182930]	2.383	38.57	16.18548049
121	Ly75	NM_013825	Mus musculus lymphocyte antigen 75 (Ly75), mRNA [NM_013825]	22.12	357.8	16.17540687
122	Treml4	NM_172623	Mus musculus triggering receptor expressed on myeloid cells-like 4 (Treml4), transcript variant 2, mRNA [NM_172623]	17.26	279.1	16.17033604
123	App	AK030583	Mus musculus adult male pituitary gland cDNA, RIKEN full-length enriched library, clone:5330435A13 product:unclassifiable, full insert sequence [AK030583]	1.302	20.87	16.02918587
124	Olr1	NM_138648	Mus musculus oxidized low density lipoprotein (lectin-like) receptor 1 (Olr1), mRNA [NM_138648]	20.11	319.7	15.8975634
125	Gm1960	NM_203320	Mus musculus gene model 1960, (NCBI) (Gm1960), mRNA [NM_203320]	1.148	18.11	15.77526132
126	4931406H21Rik	NM_175264	Mus musculus RIKEN cDNA 4931406H21 gene (4931406H21Rik), mRNA [NM_175264]	0.7	10.96	15.65714286
127	Obfc2a	AK042351	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630084H02 product:unclassifiable, full insert sequence. [AK042351]	1.631	25.15	15.41998774
128	Mfsd7	NM_172883	Mus musculus major facilitator superfamily domain containing 7 (Mfsd7), mRNA [NM_172883]	1.468	22.42	15.27247956
129	A430106J12Rik	NM_176841	Mus musculus RIKEN cDNA A430106J12 gene (A430106J12Rik), mRNA [NM_176841]	1.824	27.82	15.25219298
130	Cd180	AK089613	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830005B01 product:lymphocyte antigen 78, full insert sequence. [AK089613]	1.659	25.25	15.22001206
131	Sirpb1	NM_178792	Mus musculus signal-regulatory protein beta 1 (Sirpb1), transcript variant 1, mRNA [NM_178792]	24.94	378.4	15.17241379
132	A830059I20Rik	NM_021427	Mus musculus RIKEN cDNA A830059I20 gene (A830059I20Rik), mRNA [NM_021427]	12.47	188.9	15.14835605
133	Gbp1	NM_010259	Mus musculus guanylate nucleotide binding protein 1 (Gbp1), mRNA [NM_010259]	1.294	19.6	15.14683153
134	P2ry13	NM_028808	Mus musculus purinergic receptor P2Y, G-protein coupled 13 (P2ry13), mRNA [NM_028808]	3.917	59.14	15.09828951
135	Cybb	NM_007807	Mus musculus cytochrome b-245, beta polypeptide (Cybb), mRNA [NM_007807]	13.16	197	14.96960486
136	Trps1	AK036590	Mus musculus adult male bone cDNA, RIKEN full-length enriched library, clone:9830138H06 product:trichorhinophalangeal syndrome I (human), full insert sequence. [AK036590]	3.798	56.28	14.81832543
137	Pde4dip	NM_001039376	Mus musculus phosphodiesterase 4D interacting protein (myomegalin) (Pde4dip), transcript variant 1, mRNA [NM_001039376]	12.26	181.3	14.78792822
138	Trerf1	AK035176	Mus musculus 12 days embryo embryonic body between diaphragm region and neck cDNA, RIKEN full-length enriched library, clone:9430096I18 product:similar to ZINC FINGER TRANSCRIPTION FACTOR TREP-132 [Homo sapiens], full insert sequence. [AK035176]	0.841	12.41	14.75624257
139	Plekhg1	AK122468	Mus musculus mRNA for mKIAA1209 protein [AK122468]	13.62	199.9	14.67694567
140	Ifi203	AK172505	Mus musculus activated spleen cDNA, RIKEN full-length enriched library, clone:F830211F21 product:interferon activated gene 203, full insert sequence. [AK172505]	0.783	11.44	14.61047254
141	Dennd3	NM_001081066	Mus musculus DENN/MADD domain containing 3 (Dennd3), mRNA [NM_001081066]	10.48	150	14.3129771
142	Sulf2	NM_028072	Mus musculus sulfatase 2 (Sulf2), mRNA [NM_028072]	48.82	696.8	14.272839
143	AK084329	AK084329	Mus musculus 12 days embryo eyeball cDNA, RIKEN full-length enriched library, clone:D230024G05 product:unclassifiable, full insert sequence. [AK084329]	1.264	17.96	14.20886076
144	Ptgfrn	NM_011197	Mus musculus prostaglandin F2 receptor negative regulator (Ptgfrn), mRNA [NM_011197]	4.569	64.73	14.16721383
145	Il1b	NM_008361	Mus musculus interleukin 1 beta (Il1b), mRNA [NM_008361]	10.1	142	14.05940594
146	Rbpjl	NM_009036	Mus musculus recombination signal binding protein for immunoglobulin kappa J region-like (Rbpjl), mRNA [NM_009036]	0.655	9.162	13.98778626
147	Galnt3	NM_015736	Mus musculus UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (Galnt3), mRNA [NM_015736]	10.27	143.5	13.97273612
148	Cd74	NM_010545	Mus musculus CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) (Cd74), transcript variant 2, mRNA [NM_010545]	277.9	3877	13.95106153
149	Lair1	NM_178611	Mus musculus leukocyte-associated Ig-like receptor 1 (Lair1), mRNA [NM_178611]	9.523	131.4	13.79817284
150	BE307515	BE307515	601098206F1 NCI_CGAP_Mam5 Mus musculus cDNA clone IMAGE:3496848 5. [BE307515]	1.388	18.98	13.67435159
151	Ptgir	NM_008967	Mus musculus prostaglandin I receptor (IP) (Ptgir), mRNA [NM_008967]	75.38	1030	13.66410188
152	1810011H11Rik	AK007434	Mus musculus 10 day old male pancreas cDNA, RIKEN full-length enriched library, clone:1810011H11 product:hypothetical protein, full insert sequence [AK007434]	19.7	269.1	13.65989848
153	Ly75	AK157921	Mus musculus adult inner ear cDNA, RIKEN full-length enriched library, clone:F930008C22 product:lymphocyte antigen 75, full insert sequence. [AK157921]	1.634	22.23	13.60465116
154	AK042559	AK042559	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730005L09 product:unclassifiable, full insert sequence [AK042559]	1.037	14.04	13.53905497
155	Irg1	L38281	Mus musculus immune-responsive gene 1 (Irg1) mRNA, 3 end of cds. [L38281]	2.384	32.17	13.49412752
156	BB333095	BB333095	BB333095 RIKEN full-length enriched, 10 days neonate medulla oblongata Mus musculus cDNA clone B830007D08 3. [BB333095]	4.92	64.51	13.11178862
157	Slc43a2	AK090207	Mus musculus 1 month neonate cerebellum cDNA, RIKEN full-length enriched library, clone:G630018E19 product:similar to PB39 (PROSTATE CANCER OVEREXPRESSED GENE 1) [Homo sapiens], full insert sequence. [AK090207]	4.587	60.12	13.10660562
158	Pilra	AK041670	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630029C13 product:weakly similar to INHIBITORY RECEPTOR PILRALPHA [Homo sapiens], full insert sequence [AK041670]	9.199	119	12.93618872
159	Dst	NM_133833	Mus musculus dystonin (Dst), transcript variant a, mRNA [NM_133833]	0.782	10.11	12.92838875
160	Ccr6	NM_009835	Mus musculus chemokine (C-C motif) receptor 6 (Ccr6), mRNA [NM_009835]	3.894	50.21	12.8941962
161	Spint1	NM_016907	Mus musculus serine protease inhibitor, Kunitz type 1 (Spint1), mRNA [NM_016907]	11.76	150.7	12.81462585
162	Kazald1	NM_178929	Mus musculus Kazal-type serine peptidase inhibitor domain 1 (Kazald1), mRNA [NM_178929]	25.26	323.5	12.80680918
163	Vnn3	NM_011979	Mus musculus vanin 3 (Vnn3), mRNA [NM_011979]	0.975	12.43	12.74871795
164	AK039806	AK039806	Mus musculus 0 day neonate thymus cDNA, RIKEN full-length enriched library, clone:A430003G07 product:unclassifiable, full insert sequence. [AK039806]	1.9	23.97	12.61578947
165	Ptgfrn	NM_011197	Mus musculus prostaglandin F2 receptor negative regulator (Ptgfrn), mRNA [NM_011197]	0.9	11.35	12.61111111
166	Tlr3	NM_126166	Mus musculus toll-like receptor 3 (Tlr3), mRNA [NM_126166]	1.225	15.3	12.48979592
167	A430106J12Rik	NM_176841	Mus musculus RIKEN cDNA A430106J12 gene (A430106J12Rik), mRNA [NM_176841]	43.42	541.3	12.46660525
168	C130050O18Rik	NM_177000	Mus musculus RIKEN cDNA C130050O18 gene (C130050O18Rik), mRNA [NM_177000]	15.9	197.2	12.40251572
169	Samhd1	AK128954	Mus musculus cDNA fis, clone TRACH3010757, highly similar to Interferon-gamma inducible protein MG11. [AK128954]	0.96	11.89	12.38541667
170	Slc9a7	NM_177353	Mus musculus solute carrier family 9 (sodium/hydrogen exchanger), isoform 7 (Slc9a7), mRNA [NM_177353]	2.523	31.18	12.35830361
171	AK031889	AK031889	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330441A18 product:unclassifiable, full insert sequence. [AK031889]	2.095	25.75	12.29116945
172	Atp10a	NM_009728	Mus musculus ATPase, class V, type 10A (Atp10a), mRNA [NM_009728]	6.723	82.61	12.2876692
173	D430007A19Rik	XM_923365	PREDICTED: Mus musculus RIKEN cDNA D430007A19 gene, transcript variant 4 (D430007A19Rik), mRNA [XM_923365]	1.597	19.52	12.22291797
174	Galnt3	NM_015736	Mus musculus UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (Galnt3), mRNA [NM_015736]	15.31	185.5	12.11626388
175	Lpl	NM_008509	Mus musculus lipoprotein lipase (Lpl), mRNA [NM_008509]	172.9	2082	12.04164257
