Gene Symbol	Name	Fold-Chang e (SOS vs. Contro l)	p-value (SOS vs. Control)	adjusted p-value (SOS vs. Control)
NAMPT	nicotinamide phosphoribosyltransferase	2.72	0.0016	0.0372
G0S2	G0/G1switch 2	2.69	0.001	0.0319
THBS2	thrombospondin 2	2.68	0	0.0057
TNC	tenascin C	2.64	0.0017	0.0379
CXCR4	chemokine (C-X-C motif) receptor 4	2.63	0.0009	0.0304
TNKS2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	2.61	0.0006	0.0272
CTHRC1	collagen triple helix repeat containing 1	2.6	0.0001	0.013
THBS1	thrombospondin 1	2.58	0.0017	0.0379
SGMS2	sphingomyelin synthase 2	2.57	0.002	0.0412
FRMD6	FERM domain containing 6	2.55	0.0009	0.0304
TNFAIP8	tumor necrosis factor, alpha-induced protein 8	2.53	0	0.0079
EXT1	exostoses (multiple) 1	2.53	0.0025	0.0451
HSPA6	heat shock 70kDa protein 6 (HSP70B)	2.52	0.0007	0.0288
LBP	lipopolysaccharide binding protein	2.52	0.001	0.032
BAG3	BCL2-associated athanogene 3	2.49	0.0007	0.0277
TOP2A	topoisomerase (DNA) II alpha 170kDa	2.47	0.0001	0.013
GK	glycerol kinase	2.45	0.0005	0.024
HBA1 /// HBA2	hemoglobin, alpha 1 /// hemoglobin, alpha 2	2.41	0.0001	0.0143
STC1	stanniocalcin 1	2.41	0	0.0121
CCT2	chaperonin containing TCP1, subunit 2 (beta)	2.39	0.0022	0.043
ODC1	ornithine decarboxylase 1	2.38	0.0011	0.033
EDEM3	ER degradation enhancer, mannosidase alpha-like 3	2.38	0.002	0.041
GLIS3	GLIS family zinc finger 3	2.38	0.0002	0.0187
ZNF295	zinc finger protein 295	2.37	0.0023	0.0439
ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	2.37	0.0016	0.0376
LOXL4	lysyl oxidase-like 4	2.37	0.0022	0.0427
LOC387763	hypothetical protein LOC387763	2.36	0.0002	0.0171
FAT1	FAT tumor suppressor homolog 1 (Drosophila)	2.36	0.0028	0.0471
MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like	2.36	0.0001	0.013
FCGR1A /// FCGR1C	Fc fragment of IgG, high affinity Ia, receptor (CD64) /// Fc fragment of IgG, hi	2.35	0.0001	0.0159
PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	2.34	0.0007	0.0277
SERPINB1	serpin peptidase inhibitor, clade B (ovalbumin), member 1	2.34	0.0015	0.0365
NCOA7	nuclear receptor coactivator 7	2.32	0.0004	0.0224
FNDC3B	fibronectin type III domain containing 3B	2.29	0.001	0.0314
CHSY3	chondroitin sulfate synthase 3	2.29	0.0012	0.034
C12orf5	chromosome 12 open reading frame 5	2.28	0	0.013
CD69	CD69 molecule	2.28	0.0004	0.023
GEM	GTP binding protein overexpressed in skeletal muscle	2.28	0.0011	0.0328
CH25H	cholesterol 25-hydroxylase	2.28	0.0011	0.0331
SOCS1	suppressor of cytokine signaling 1	2.27	0.0089	0.0491
PALLD	palladin, cytoskeletal associated protein	2.26	0.0028	0.0469
DTL	denticleless homolog (Drosophila)	2.26	0.0004	0.0226
TIMP1	TIMP metallopeptidase inhibitor 1	2.26	0	0.0109
LOXL2	lysyl oxidase-like 2	2.25	0	0.0057
SERPINB8	serpin peptidase inhibitor, clade B (ovalbumin), member 8	2.25	0.0012	0.0342
GPATCH4	G patch domain containing 4	2.25	0.0008	0.03
LUM	lumican	2.25	0.0004	0.0224
TOP1	topoisomerase (DNA) I	2.24	0.0019	0.0407
CTSC	cathepsin C	2.24	0.0029	0.0478
KCTD14	potassium channel tetramerisation domain containing 14	2.23	0.0028	0.0473
PTGFRN	prostaglandin F2 receptor negative regulator	2.23	0	0.0124
VCAN	versican	2.22	0.0026	0.0454
FBN1	fibrillin 1	2.22	0.0003	0.0221
MAP1B	microtubule-associated protein 1B	2.22	0	0.0083
ARL5B	ADP-ribosylation factor-like 5B	2.22	0.0025	0.0449
COL4A2	collagen, type IV, alpha 2	2.21	0.0001	0.0141
STK17A	serine/threonine kinase 17a	2.21	0.0006	0.0276
ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes	2.2	0.0031	0.0492
CSDA	cold shock domain protein A	2.2	0.0003	0.0205
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	2.19	0.0001	0.0159
VIM	vimentin	2.18	0.0005	0.0241
PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	2.17	0.0004	0.0235
ATR	ataxia telangiectasia and Rad3 related	2.17	0.0015	0.0367
IFNGR1	interferon gamma receptor 1	2.16	0.0006	0.0276
MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	2.16	0.0004	0.0236
DDX21	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	2.15	0.0016	0.0372
SLC35C1	solute carrier family 35, member C1	2.15	0.0015	0.0365
GOLM1	golgi membrane protein 1	2.15	0.0004	0.0226
XAF1	XIAP associated factor 1	2.14	0.0008	0.0297
HSPA2	heat shock 70kDa protein 2	2.13	0.0003	0.0205
IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	2.13	0.012	0.0313
ANXA2	annexin A2	2.13	0.0001	0.0161
THBD	thrombomodulin	2.13	0	0.013
APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	2.13	0.0003	0.0204
PPP2R5E	protein phosphatase 2, regulatory subunit B, epsilon isoform	2.13	0.0004	0.0235
PBK	PDZ binding kinase	2.13	0.0001	0.0141
TNFAIP3	tumor necrosis factor, alpha-induced protein 3	2.12	0.0006	0.0272
PLSCR1	phospholipid scramblase 1	2.12	0.0007	0.0287
DTNA	dystrobrevin, alpha	2.12	0.0029	0.0478
NRP1	neuropilin 1	2.12	0.0014	0.036
COL3A1	collagen, type III, alpha 1	2.12	0.0004	0.0223
LOC286434	hypothetical protein LOC286434	2.11	0.0007	0.0286
PAPPA	pregnancy-associated plasma protein A, pappalysin 1	2.11	0	0.0065
DKC1	dyskeratosis congenita 1, dyskerin	2.11	0.0003	0.0221
NARG1	NMDA receptor regulated 1	2.1	0.0028	0.0471
TMEM165	transmembrane protein 165	2.09	0.0001	0.0153
CLEC7A	C-type lectin domain family 7, member A	2.09	0.0032	0.0498
LOC100288985	hypothetical protein LOC100288985	2.09	0.0008	0.0292
SMCHD1	structural maintenance of chromosomes flexible hinge domain containing 1	2.09	0.0017	0.0384
KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	2.08	0.0001	0.0167
MINA	MYC induced nuclear antigen	2.08	0.0016	0.0369
ETV6	ets variant 6	2.08	0.0013	0.0345
IER5	immediate early response 5	2.08	0.0002	0.0194
EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	2.07	0.0006	0.0265
IGSF6	immunoglobulin superfamily, member 6	2.07	0.0021	0.0425
FAM169B	family with sequence similarity 169, member B	2.06	0.0019	0.0402
LGALS3	lectin, galactoside-binding, soluble, 3	2.06	0.0007	0.0276
TNFRSF10A	tumor necrosis factor receptor superfamily, member 10a	2.05	0.0007	0.0276
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2.05	0.0025	0.045
EHBP1L1	EH domain binding protein 1-like 1	2.05	0.0001	0.0137
SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6	2.05	0	0.0057
RAB27A	RAB27A, member RAS oncogene family	2.05	0.0004	0.0229
GAS2L3	Growth arrest-specific 2 like 3	2.04	0.0001	0.013
GJC1	gap junction protein, gamma 1, 45kDa	2.04	0	0.0094
C7orf63	chromosome 7 open reading frame 63	2.04	0.0018	0.0395
TMEM49	Transmembrane protein 49	2.03	0.0003	0.0218
ANXA1	annexin A1	2.03	0.002	0.0411
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	2.03	0.0008	0.03
PNO1	partner of NOB1 homolog (S. cerevisiae)	2.02	0.0029	0.0481
MYOF	myoferlin	2.02	0	0.013
CYR61	cysteine-rich, angiogenic inducer, 61	2.02	0.0024	0.0445
SGPP1	sphingosine-1-phosphate phosphatase 1	2.02	0.0013	0.0344
HPS5	Hermansky-Pudlak syndrome 5	2.02	0.0016	0.0372
ECT2	epithelial cell transforming sequence 2 oncogene	2.02	0	0.0057
LEPR	leptin receptor	2.02	0.0015	0.0364
UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	2.01	0.001	0.0314
TPM4	tropomyosin 4	2.01	0.0016	0.0372
NOP16	NOP16 nucleolar protein homolog (yeast)	2	0.0019	0.0404
NRIP1	nuclear receptor interacting protein 1	2	0.0026	0.0459
ZWINT	ZW10 interactor	2	0.0002	0.0201
CKS2	CDC28 protein kinase regulatory subunit 2	1.99	0.0004	0.0234
RNASE6	ribonuclease, RNase A family, k6	1.99	0.0017	0.0384
RUFY3	RUN and FYVE domain containing 3	1.99	0.0003	0.0206
LPGAT1	lysophosphatidylglycerol acyltransferase 1	1.98	0.0022	0.0429
CLDN1	claudin 1	1.98	0.002	0.0415
MLKL	mixed lineage kinase domain-like	1.98	0.0009	0.0305
TMEM185B	transmembrane protein 185B (pseudogene)	1.98	0.0002	0.0174
PAK1IP1	PAK1 interacting protein 1	1.97	0.0009	0.0309
TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A	1.97	0.0013	0.0345
PMP22	peripheral myelin protein 22	1.97	0	0.0089
HBG1 /// HBG2	hemoglobin, gamma A /// hemoglobin, gamma G	1.97	0.0012	0.0335
ALDH1A3	aldehyde dehydrogenase 1 family, member A3	1.97	0.0013	0.0346
LIMK2	LIM domain kinase 2	1.97	0.0019	0.0401
OBFC2A	oligonucleotide/oligosaccharide-binding fold containing 2A	1.96	0.0022	0.0431
CPNE8	copine VIII	1.96	0.0008	0.029
IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	1.95	0.0007	0.0282
GYG1	glycogenin 1	1.95	0.0009	0.0304
ABLIM1	actin binding LIM protein 1	1.95	0.0025	0.0446
LAMB1	laminin, beta 1	1.95	0.0002	0.0171
MGP	matrix Gla protein	1.95	0.002	0.0409
IFITM1	interferon induced transmembrane protein 1 (9-27)	1.94	0.0012	0.034
SEC23B	Sec23 homolog B (S. cerevisiae)	1.94	0.0031	0.0495
C6orf41	chromosome 6 open reading frame 41	1.94	0.0014	0.036
GNL3	guanine nucleotide binding protein-like 3 (nucleolar)	1.94	0.0014	0.0356
ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	1.94	0.0002	0.0192
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	1.93	0.0015	0.0365
FAM57A	family with sequence similarity 57, member A	1.93	0.0006	0.0269
NOLC1	nucleolar and coiled-body phosphoprotein 1	1.93	0.0015	0.0367
ASNS	asparagine synthetase	1.92	0.0004	0.0226
SLCO2A1	solute carrier organic anion transporter family, member 2A1	1.92	0	0.0057
PCDH17	protocadherin 17	1.92	0.0003	0.0208
ISG20	interferon stimulated exonuclease gene 20kDa	1.91	0.0015	0.0365
C7orf68	chromosome 7 open reading frame 68	1.91	0.0023	0.0434
EGLN1	egl nine homolog 1 (C. elegans)	1.91	0.0013	0.0351
RRS1	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)	1.91	0.0026	0.0456
STAT1	signal transducer and activator of transcription 1, 91kDa	1.91	0.0012	0.0335
SP110	SP110 nuclear body protein	1.91	0.0003	0.0213
SAP30	Sin3A-associated protein, 30kDa	1.91	0.0002	0.0183
ACBD3	acyl-Coenzyme A binding domain containing 3	1.9	0	0.0126
SPTLC2	serine palmitoyltransferase, long chain base subunit 2	1.89	0.0002	0.0171
NETO2	neuropilin (NRP) and tolloid (TLL)-like 2	1.89	0	0.0057
UTP3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	1.89	0.0009	0.0303
PTPN2	protein tyrosine phosphatase, non-receptor type 2	1.89	0.0003	0.0221
TRIM15	tripartite motif-containing 15	1.88	0.0016	0.0372
CCL19	chemokine (C-C motif) ligand 19	1.88	0.0013	0.0349
EHD4	EH-domain containing 4	1.88	0.0001	0.0165
DKFZp686O241 66	Hypothetical protein DKFZp686O24166	1.88	0.0003	0.0205
HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	1.88	0.0015	0.0362
FAM129A	family with sequence similarity 129, member A	1.88	0.0004	0.0233
HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	1.88	0	0.0083
COL12A1	collagen, type XII, alpha 1	1.88	0.0003	0.0206
PHLDA1	pleckstrin homology-like domain, family A, member 1	1.88	0.0024	0.0441
NOP56	NOP56 ribonucleoprotein homolog (yeast)	1.88	0.0014	0.0356
ARMCX3	armadillo repeat containing, X-linked 3	1.88	0.0004	0.0225
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	1.87	0.0003	0.0221
ARF4	ADP-ribosylation factor 4	1.87	0.003	0.0487
GJA1	gap junction protein, alpha 1, 43kDa	1.87	0.0001	0.0165
LOC541471 /// NCRNA00152	hypothetical LOC541471 /// non-protein coding RNA 152	1.87	0.0015	0.0365
PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	1.87	0.0003	0.0205
ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	1.87	0.0009	0.0309
TRAPPC4	trafficking protein particle complex 4	1.86	0.0006	0.0275
RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	1.86	0.0014	0.0355
TARS	threonyl-tRNA synthetase	1.86	0.0009	0.0303
LYAR	Ly1 antibody reactive homolog (mouse)	1.86	0.0007	0.0285
UTP14A /// UTP14C	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast) /// UTP14, U3 sma	1.86	0.0006	0.0269
SNHG12	small nucleolar RNA host gene 12 (non-protein coding)	1.86	0.0009	0.0304
TMEM33	transmembrane protein 33	1.85	0.0008	0.029
PLDN	pallidin homolog (mouse)	1.85	0.0012	0.0342
FAM60A	family with sequence similarity 60, member A	1.85	0	0.0094
SPON1	spondin 1, extracellular matrix protein	1.85	0.0011	0.0321
DENND4A	DENN/MADD domain containing 4A	1.85	0.0006	0.0275
TAP2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	1.85	0.0004	0.023
IL1RL1	Interleukin 1 receptor-like 1	1.84	0.0022	0.0427
NEDD9	neural precursor cell expressed, developmentally down-regulated 9	1.84	0.0029	0.0475
ANLN	anillin, actin binding protein	1.84	0.0007	0.0288
CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	1.84	0.0004	0.0225
PLVAP	plasmalemma vesicle associated protein	1.84	0.0001	0.013
ITM2A	integral membrane protein 2A	1.84	0.0016	0.0369
C2orf55	chromosome 2 open reading frame 55	1.84	0.0001	0.0168
CYYR1	cysteine/tyrosine-rich 1	1.84	0.0004	0.0225
GALNT2	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase	1.83	0.0012	0.0332
TRIM27	tripartite motif-containing 27	1.83	0.003	0.0488
FJX1	four jointed box 1 (Drosophila)	1.83	0.0005	0.0241
RRP15	ribosomal RNA processing 15 homolog (S. cerevisiae)	1.83	0.0011	0.032
SP100	SP100 nuclear antigen	1.83	0.0003	0.0208
MCAM	melanoma cell adhesion molecule	1.83	0.0001	0.0168
VGLL3	vestigial like 3 (Drosophila)	1.83	0.003	0.0484
C10orf2	chromosome 10 open reading frame 2	1.82	0.0018	0.039
ARFGAP3	ADP-ribosylation factor GTPase activating protein 3	1.82	0.0014	0.0357
GALNT2 /// LOC100132910	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-	1.82	0.0014	0.036
CXCL6	chemokine (C-X-C motif) ligand 6 (granulocyte chemotactic protein 2)	1.82	0.0025	0.045
GK /// GK3P	glycerol kinase /// glycerol kinase 3 pseudogene	1.81	0.003	0.0487
RAN	RAN, member RAS oncogene family	1.81	0.0017	0.0386
C14orf147	chromosome 14 open reading frame 147	1.81	0.0008	0.0293
GNL2	guanine nucleotide binding protein-like 2 (nucleolar)	1.81	0.0012	0.034
ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7	1.81	0.0031	0.0495
FBLN5	fibulin 5	1.81	0.0003	0.0205
FAM46A	family with sequence similarity 46, member A	1.81	0.0003	0.0223
OGFOD1	2-oxoglutarate and iron-dependent oxygenase domain containing 1	1.8	0.0028	0.0472
PRSS23	protease, serine, 23	1.8	0.0001	0.0166
KLHL6	kelch-like 6 (Drosophila)	1.8	0.0008	0.03
RBPMS	RNA binding protein with multiple splicing	1.8	0.0002	0.0204
HBD	hemoglobin, delta	1.8	0.0004	0.0237
MARCH1	membrane-associated ring finger (C3HC4) 1	1.8	0.0004	0.0232
KIF20A	kinesin family member 20A	1.79	0.0001	0.0143
PPAT	phosphoribosyl pyrophosphate amidotransferase	1.79	0.003	0.0487
LSG1	large subunit GTPase 1 homolog (S. cerevisiae)	1.79	0.001	0.0313
RHOQ	ras homolog gene family, member Q	1.79	0.0021	0.0419
EMCN	endomucin	1.79	0.0004	0.0234
TRNT1	tRNA nucleotidyl transferase, CCA-adding, 1	1.78	0.0004	0.0228
BXDC2	brix domain containing 2	1.78	0.0013	0.0347
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	1.78	0.0004	0.0236
RIOK1	RIO kinase 1 (yeast)	1.78	0.001	0.0313
PRC1	protein regulator of cytokinesis 1	1.78	0.0002	0.0188
DST	dystonin	1.78	0.0026	0.0456
TMEM200A	transmembrane protein 200A	1.78	0.0004	0.0229
EIF4A1	eukaryotic translation initiation factor 4A, isoform 1	1.77	0.0001	0.0166
TFEC	transcription factor EC	1.77	0.002	0.041
ITGAM	integrin, alpha M (complement component 3 receptor 3 subunit)	1.77	0.0016	0.0372
YAP1	Yes-associated protein 1, 65kDa	1.77	0.0002	0.0171
SLA	Src-like-adaptor	1.77	0.0024	0.0441
CKAP4	cytoskeleton-associated protein 4	1.77	0.0028	0.0471
PLEKHA1	pleckstrin homology domain containing, family A (phosphoinositide binding specif	1.77	0.0019	0.0401
INTS6	integrator complex subunit 6	1.77	0.0007	0.0281
CDC2	cell division cycle 2, G1 to S and G2 to M	1.77	0.0003	0.0205
GTPBP4	GTP binding protein 4	1.77	0.0022	0.0426
DYNC1H1	dynein, cytoplasmic 1, heavy chain 1	1.77	0.0028	0.0471
PECAM1	platelet/endothelial cell adhesion molecule	1.77	0.0005	0.0261
HYOU1	hypoxia up-regulated 1	1.76	0.0004	0.0235
ANXA5	annexin A5	1.76	0.0003	0.0221
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	1.76	0.0007	0.0278
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	1.76	0.001	0.0316
ANXA2P2	annexin A2 pseudogene 2	1.76	0.0002	0.0196
CENPK	centromere protein K	1.76	0.0009	0.0303
MIR21	microRNA 21	1.76	0.0004	0.0223
GOLPH3	golgi phosphoprotein 3 (coat-protein)	1.76	0.0008	0.0297
TMEM22	transmembrane protein 22	1.76	0.0003	0.0221
SLC30A7	solute carrier family 30 (zinc transporter), member 7	1.76	0.0001	0.0163
SMAD5	SMAD family member 5	1.76	0.0003	0.0205
MAP1LC3B	microtubule-associated protein 1 light chain 3 beta	1.75	0.0002	0.0203
BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	1.75	0.0022	0.0426
C20orf199	chromosome 20 open reading frame 199	1.75	0.0008	0.03
LTV1	LTV1 homolog (S. cerevisiae)	1.75	0.0012	0.0339
TAX1BP3	Tax1 (human T-cell leukemia virus type I) binding protein 3	1.75	0	0.011
FAM60A /// LOC728115	family with sequence similarity 60, member A /// similar to family with sequence	1.75	0.0006	0.0269
SLAMF8	SLAM family member 8	1.75	0.0008	0.0297
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetas	1.75	0.0004	0.0236
TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	1.74	0.0004	0.0226
SNX9	sorting nexin 9	1.74	0.0004	0.0223
SCML4	sex comb on midleg-like 4 (Drosophila)	1.74	0.0022	0.043
RPL22L1	ribosomal protein L22-like 1	1.74	0	0.0124
MCM6	minichromosome maintenance complex component 6	1.74	0.0004	0.0224
GZMK	granzyme K (granzyme 3; tryptase II)	1.74	0.0001	0.0159
KIAA0020	KIAA0020	1.74	0.0009	0.0304
FZD7	frizzled homolog 7 (Drosophila)	1.74	0.0014	0.036
H2AFY	H2A histone family, member Y	1.73	0.0004	0.0226
EIF2S2	eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa	1.73	0.0019	0.0406
TMEM87B	transmembrane protein 87B	1.73	0.0012	0.0334
PTRH2	peptidyl-tRNA hydrolase 2	1.73	0.0013	0.0347
H2AFX	H2A histone family, member X	1.73	0.0001	0.0137
CBX3	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	1.73	0.0002	0.0171
ACSL3	acyl-CoA synthetase long-chain family member 3	1.73	0.0006	0.0272
SNRPD1	small nuclear ribonucleoprotein D1 polypeptide 16kDa	1.73	0.0007	0.0287
KCTD12	potassium channel tetramerisation domain containing 12	1.73	0.0007	0.0285
ODF2	outer dense fiber of sperm tails 2	1.72	0.002	0.0412
MTUS1	mitochondrial tumor suppressor 1	1.72	0.0026	0.0454
COL4A4	collagen, type IV, alpha 4	1.72	0	0.013
YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta poly	1.72	0.0001	0.0141
ZXDB	zinc finger, X-linked, duplicated B	1.71	0.0025	0.0447
FAM169A	family with sequence similarity 169, member A	1.71	0.0007	0.0282
GFPT1	glutamine-fructose-6-phosphate transaminase 1	1.71	0.0018	0.0389
FTSJ1	FtsJ homolog 1 (E. coli)	1.71	0.001	0.0318
TUBA1B	tubulin, alpha 1b	1.71	0.0003	0.0204
C9orf21	chromosome 9 open reading frame 21	1.71	0.0015	0.0366
CUGBP2	CUG triplet repeat, RNA binding protein 2	1.71	0.0021	0.0424
TUBA1C	tubulin, alpha 1c	1.71	0.0004	0.0234
PNPT1	polyribonucleotide nucleotidyltransferase 1	1.71	0.0006	0.0264
DNAJC2	DnaJ (Hsp40) homolog, subfamily C, member 2	1.71	0.0015	0.0365
EPHA3	EPH receptor A3	1.71	0.0026	0.0458
MFHAS1	malignant fibrous histiocytoma amplified sequence 1	1.71	0.0031	0.049
PDE12	phosphodiesterase 12	1.7	0.0022	0.0429
PANX1	pannexin 1	1.7	0.0026	0.0456
NDC80	NDC80 homolog, kinetochore complex component (S. cerevisiae)	1.7	0	0.0121
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subf	1.7	0.0005	0.0249
SDAD1	SDA1 domain containing 1	1.7	0.0008	0.0297
PDLIM3	PDZ and LIM domain 3	1.69	0.0018	0.039
RECQL	RecQ protein-like (DNA helicase Q1-like)	1.69	0	0.013
PRDM1	PR domain containing 1, with ZNF domain	1.69	0.0019	0.0405
MAK16	MAK16 homolog (S. cerevisiae)	1.69	0.0025	0.0449
CD44	CD44 molecule (Indian blood group)	1.69	0.0022	0.0431
PON2	paraoxonase 2	1.69	0.0014	0.0361
MSN	moesin	1.69	0	0.0057
LRRC59	leucine rich repeat containing 59	1.69	0.001	0.0314
PARP1	poly (ADP-ribose) polymerase 1	1.69	0.001	0.032
MMD	monocyte to macrophage differentiation-associated	1.69	0.002	0.0412
SPTBN1	spectrin, beta, non-erythrocytic 1	1.69	0	0.0124
UBE2D1	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast)	1.69	0.0009	0.031
SQRDL	sulfide quinone reductase-like (yeast)	1.69	0.0011	0.0321
NOC3L	nucleolar complex associated 3 homolog (S. cerevisiae)	1.69	0.0009	0.031
XRN2	5-3 exoribonuclease 2	1.68	0.0017	0.0386
WDR36	WD repeat domain 36	1.68	0.0016	0.0369
RAB31	RAB31, member RAS oncogene family	1.68	0.0016	0.0369
RBM17	RNA binding motif protein 17	1.68	0.0018	0.0396
PNPLA8	patatin-like phospholipase domain containing 8	1.68	0.0008	0.0292
DCAF13	DDB1 and CUL4 associated factor 13	1.68	0.0009	0.0307
RPL37A	ribosomal protein L37a	1.68	0.0012	0.034
SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein	1.68	0.0003	0.0205
USP38	ubiquitin specific peptidase 38	1.68	0.0023	0.0434
EIF3J	eukaryotic translation initiation factor 3, subunit J	1.68	0.0016	0.0372
TP53RK	TP53 regulating kinase	1.67	0.0014	0.0355
RPAP3	RNA polymerase II associated protein 3	1.67	0.0004	0.0226
PLAT	plasminogen activator, tissue	1.67	0.0013	0.0346
LDLRAD3	low density lipoprotein receptor class A domain containing 3	1.67	0	0.0114
IGFBP7	insulin-like growth factor binding protein 7	1.67	0.0026	0.0458
RBP7	retinol binding protein 7, cellular	1.67	0.0011	0.0322
NIP7	nuclear import 7 homolog (S. cerevisiae)	1.67	0.0032	0.0496
