# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
entrezgene|10537|10537	refseq_dna|NM_001470|NM_001470	hgnc_symbol|UBD|UBD
entrezgene|64332|64332	refseq_dna|NM_001005474|NM_001005474	hgnc_symbol|NFKBIZ|NFKBIZ
entrezgene|4814|4814	refseq_dna|NM_004148|NM_004148	hgnc_symbol|NINJ1|NINJ1
entrezgene|3663|3663	refseq_dna|NM_001098627|NM_001098627	hgnc_symbol|IRF5|IRF5
entrezgene|26330|26330	refseq_dna|NM_014364|NM_014364	hgnc_symbol|GAPDHS|GAPDHS
entrezgene|5734|5734	refseq_dna|NM_000958|NM_000958	hgnc_symbol|PTGER4|PTGER4
entrezgene|3726|3726	refseq_dna|NM_002229|NM_002229	hgnc_symbol|JUNB|JUNB
entrezgene|3604|3604	refseq_dna|NM_001561|NM_001561	hgnc_symbol|TNFRSF9|TNFRSF9
entrezgene|340090|340090	hgnc_symbol|LOC340090|LOC340090
entrezgene|151887|151887	refseq_dna|NM_199511|NM_199511	hgnc_symbol|CCDC80|CCDC80
entrezgene|4902|4902	refseq_dna|NM_004558|NM_004558	hgnc_symbol|NRTN|NRTN
entrezgene|123920|123920	refseq_dna|NM_001048251|NM_001048251	hgnc_symbol|CMTM3|CMTM3
entrezgene|85360|85360	refseq_dna|NM_033025|NM_033025	hgnc_symbol|SYDE1|SYDE1
entrezgene|64135|64135	refseq_dna|NM_022168|NM_022168	hgnc_symbol|IFIH1|IFIH1
entrezgene|6615|6615	refseq_dna|NM_005985|NM_005985	hgnc_symbol|SNAI1|SNAI1
entrezgene|126282|126282	refseq_dna|NM_152362|NM_152362	hgnc_symbol|TNFAIP8L1|TNFAIP8L1
entrezgene|1466|1466	refseq_dna|NM_001321|NM_001321	hgnc_symbol|CSRP2|CSRP2
entrezgene|85479|85479	refseq_dna|NM_033105|NM_033105	hgnc_symbol|DNAJC5B|DNAJC5B
entrezgene|4544|4544	refseq_dna|NM_005959|NM_005959	hgnc_symbol|MTNR1B|MTNR1B
entrezgene|4487|4487	refseq_dna|NM_002448|NM_002448	hgnc_symbol|MSX1|MSX1
entrezgene|7480|7480	refseq_dna|NM_003394|NM_003394	hgnc_symbol|WNT10B|WNT10B
entrezgene|57151|57151	refseq_dna|NM_020426|NM_020426	hgnc_symbol|LYZL6|LYZL6
entrezgene|196446|196446	refseq_dna|XM_001716650|XM_001716650	hgnc_symbol|C12orf28|C12orf28
entrezgene|3113|3113	refseq_dna|NM_033554|NM_033554	hgnc_symbol|HLA-DPA1|HLA-DPA1
entrezgene|84649|84649	refseq_dna|NM_032564|NM_032564	hgnc_symbol|DGAT2|DGAT2
entrezgene|3122|3122	refseq_dna|NM_019111|NM_019111	hgnc_symbol|HLA-DRA|HLA-DRA
entrezgene|57402|57402	refseq_dna|NM_020672|NM_020672	hgnc_symbol|S100A14|S100A14
entrezgene|8418|8418	refseq_dna|NR_002174|NR_002174	hgnc_symbol|CMAH|CMAH
entrezgene|83637|83637	refseq_dna|NM_031449|NM_031449	hgnc_symbol|ZMIZ2|ZMIZ2
entrezgene|4046|4046	refseq_dna|NM_001013253|NM_001013253	hgnc_symbol|LSP1|LSP1
entrezgene|3134|3134	refseq_dna|NM_001098478|NM_001098478	hgnc_symbol|HLA-F|HLA-F
entrezgene|9914|9914	refseq_dna|NM_014861|NM_014861	hgnc_symbol|ATP2C2|ATP2C2
entrezgene|728492|728492	refseq_dna|NM_021967|NM_021967	hgnc_symbol|SERF1A|SERF1A
entrezgene|7067|7067	refseq_dna|NM_003250|NM_003250	hgnc_symbol|NR1D1|NR1D1
entrezgene|260293|260293	refseq_dna|NM_178033|NM_178033	hgnc_symbol|CYP4X1|CYP4X1
entrezgene|2907|2907	refseq_dna|NM_000837|NM_000837	hgnc_symbol|GRINA|GRINA
entrezgene|814|814	refseq_dna|NM_001744|NM_001744	hgnc_symbol|CAMK4|CAMK4
entrezgene|3111|3111	refseq_dna|NM_002119|NM_002119	hgnc_symbol|HLA-DOA|HLA-DOA
entrezgene|8876|8876	refseq_dna|NM_004666|NM_004666	hgnc_symbol|VNN1|VNN1
entrezgene|3115|3115	refseq_dna|NM_002121|NM_002121	hgnc_symbol|HLA-DPB1|HLA-DPB1
entrezgene|29923|29923	refseq_dna|NM_001098786|NM_001098786	hgnc_symbol|C7orf68|C7orf68
entrezgene|7046|7046	refseq_dna|NM_001130916|NM_001130916	hgnc_symbol|TGFBR1|TGFBR1
entrezgene|9143|9143	refseq_dna|NM_004209|NM_004209	hgnc_symbol|SYNGR3|SYNGR3
entrezgene|3855|3855	refseq_dna|NM_005556|NM_005556	hgnc_symbol|KRT7|KRT7
entrezgene|353322|353322	refseq_dna|NM_181726|NM_181726	hgnc_symbol|ANKRD37|ANKRD37
entrezgene|100133484|100133484	refseq_dna|NM_002124|NM_002124	hgnc_symbol|HLA-DRB1|HLA-DRB1
entrezgene|389362|389362	refseq_dna|NM_001128591|NM_001128591	hgnc_symbol|PSMG4|PSMG4
entrezgene|159686|159686	refseq_dna|NM_001008723|NM_001008723	hgnc_symbol|CCDC147|CCDC147
entrezgene|9582|9582	refseq_dna|NM_004900|NM_004900	hgnc_symbol|APOBEC3B|APOBEC3B
entrezgene|117245|117245	refseq_dna|NM_001146728|NM_001146728	hgnc_symbol|HRASLS5|HRASLS5
entrezgene|3535|3535	hgnc_symbol|IGL@|IGL@
entrezgene|634|634	refseq_dna|NM_001024912|NM_001024912	hgnc_symbol|CEACAM1|CEACAM1
entrezgene|643866|643866	refseq_dna|NM_001039771|NM_001039771	hgnc_symbol|CBLN3|CBLN3
entrezgene|27319|27319	refseq_dna|NM_152414|NM_152414	hgnc_symbol|BHLHE22|BHLHE22
entrezgene|84162|84162	refseq_dna|NM_015312|NM_015312	hgnc_symbol|KIAA1109|KIAA1109
entrezgene|221016|221016	refseq_dna|NM_001026383|NM_001026383	hgnc_symbol|CCDC7|CCDC7
entrezgene|26493|26493	refseq_dna|NM_012378|NM_012378	hgnc_symbol|OR8B8|OR8B8
entrezgene|113791|113791	refseq_dna|NM_001135911|NM_001135911	hgnc_symbol|PIK3IP1|PIK3IP1
entrezgene|3096|3096	refseq_dna|NM_002114|NM_002114	hgnc_symbol|HIVEP1|HIVEP1
entrezgene|440888|440888	hgnc_symbol|LOC440888|LOC440888
entrezgene|57217|57217	refseq_dna|NM_020458|NM_020458	hgnc_symbol|TTC7A|TTC7A
entrezgene|1236|1236	refseq_dna|NM_001838|NM_001838	hgnc_symbol|CCR7|CCR7
entrezgene|84984|84984	refseq_dna|NM_032898|NM_032898	hgnc_symbol|C3orf34|C3orf34
entrezgene|51305|51305	refseq_dna|NM_016601|NM_016601	hgnc_symbol|KCNK9|KCNK9
entrezgene|282980|282980	hgnc_symbol|LOC282980|LOC282980
entrezgene|22822|22822	refseq_dna|NM_007350|NM_007350	hgnc_symbol|PHLDA1|PHLDA1
entrezgene|9536|9536	refseq_dna|NM_004878|NM_004878	hgnc_symbol|PTGES|PTGES
entrezgene|84868|84868	refseq_dna|NM_032782|NM_032782	hgnc_symbol|HAVCR2|HAVCR2
entrezgene|117584|117584	refseq_dna|NM_001017368|NM_001017368	hgnc_symbol|RFFL|RFFL
entrezgene|51523|51523	refseq_dna|NM_016463|NM_016463	hgnc_symbol|CXXC5|CXXC5
entrezgene|80326|80326	refseq_dna|NM_025216|NM_025216	hgnc_symbol|WNT10A|WNT10A
entrezgene|4583|4583	refseq_dna|NM_002457|NM_002457	hgnc_symbol|MUC2|MUC2
entrezgene|200298|200298	refseq_dna|XR_040827|XR_040827	hgnc_symbol|C22orf37|C22orf37
entrezgene|8875|8875	refseq_dna|NM_004665|NM_004665	hgnc_symbol|VNN2|VNN2
entrezgene|8293|8293	refseq_dna|NM_021967|NM_021967	hgnc_symbol|SERF1A|SERF1A
entrezgene|84102|84102	refseq_dna|NM_032148|NM_032148	hgnc_symbol|SLC41A2|SLC41A2
entrezgene|10318|10318	refseq_dna|NM_006058|NM_006058	hgnc_symbol|TNIP1|TNIP1
entrezgene|285965|285965	hgnc_symbol|LOC285965|LOC285965
entrezgene|59|59	refseq_dna|NM_001141945|NM_001141945	hgnc_symbol|ACTA2|ACTA2
entrezgene|130340|130340	refseq_dna|NM_001039569|NM_001039569	hgnc_symbol|AP1S3|AP1S3
entrezgene|1193|1193	refseq_dna|NM_001289|NM_001289	hgnc_symbol|CLIC2|CLIC2
entrezgene|58506|58506	refseq_dna|NM_021228|NM_021228	hgnc_symbol|SCAF1|SCAF1
entrezgene|1520|1520	refseq_dna|NM_004079|NM_004079	hgnc_symbol|CTSS|CTSS
entrezgene|671|671	refseq_dna|NM_001725|NM_001725	hgnc_symbol|BPI|BPI
entrezgene|1601|1601	refseq_dna|NM_001343|NM_001343	hgnc_symbol|DAB2|DAB2
entrezgene|284751|284751	refseq_dna|NM_001025463|NM_001025463	hgnc_symbol|LOC284751|LOC284751
entrezgene|23193|23193	refseq_dna|NM_198334|NM_198334	hgnc_symbol|GANAB|GANAB
entrezgene|116496|116496	refseq_dna|NM_052966|NM_052966	hgnc_symbol|FAM129A|FAM129A
entrezgene|5089|5089	refseq_dna|NM_002586|NM_002586	hgnc_symbol|PBX2|PBX2
entrezgene|123775|123775	refseq_dna|NM_001100873|NM_001100873	hgnc_symbol|C16orf46|C16orf46
entrezgene|55615|55615	refseq_dna|NM_001017528|NM_001017528	hgnc_symbol|PRR5|PRR5
entrezgene|7475|7475	refseq_dna|NM_006522|NM_006522	hgnc_symbol|WNT6|WNT6
entrezgene|25797|25797	refseq_dna|NM_012413|NM_012413	hgnc_symbol|QPCT|QPCT
entrezgene|10741|10741	refseq_dna|NM_006606|NM_006606	hgnc_symbol|RBBP9|RBBP9
entrezgene|3566|3566	refseq_dna|NM_000418|NM_000418	hgnc_symbol|IL4R|IL4R
entrezgene|197135|197135	refseq_dna|NM_001145112|NM_001145112	hgnc_symbol|PATL2|PATL2
entrezgene|2915|2915	refseq_dna|NM_000842|NM_000842	hgnc_symbol|GRM5|GRM5
entrezgene|57829|57829	refseq_dna|NM_021186|NM_021186	hgnc_symbol|ZP4|ZP4
entrezgene|9120|9120	refseq_dna|NM_004694|NM_004694	hgnc_symbol|SLC16A6|SLC16A6
entrezgene|5600|5600	refseq_dna|NM_002751|NM_002751	hgnc_symbol|MAPK11|MAPK11
entrezgene|91748|91748	refseq_dna|NM_001043318|NM_001043318	hgnc_symbol|C14orf43|C14orf43
entrezgene|55176|55176	refseq_dna|NM_001142627|NM_001142627	hgnc_symbol|SEC61A2|SEC61A2
entrezgene|121268|121268	refseq_dna|NM_144593|NM_144593	hgnc_symbol|RHEBL1|RHEBL1
entrezgene|5366|5366	refseq_dna|NM_021127|NM_021127	hgnc_symbol|PMAIP1|PMAIP1
entrezgene|4703|4703	refseq_dna|NM_004543|NM_004543	hgnc_symbol|NEB|NEB
entrezgene|619426|619426	hgnc_symbol|C8orf60|C8orf60
entrezgene|54714|54714	refseq_dna|NM_019098|NM_019098	hgnc_symbol|CNGB3|CNGB3
entrezgene|9923|9923	refseq_dna|NM_001083621|NM_001083621	hgnc_symbol|ZBTB40|ZBTB40
entrezgene|149708|149708	refseq_dna|NM_145652|NM_145652	hgnc_symbol|WFDC5|WFDC5
entrezgene|27245|27245	refseq_dna|NM_001029882|NM_001029882	hgnc_symbol|AHDC1|AHDC1
entrezgene|2256|2256	refseq_dna|NM_004112|NM_004112	hgnc_symbol|FGF11|FGF11
entrezgene|56938|56938	refseq_dna|NM_020183|NM_020183	hgnc_symbol|ARNTL2|ARNTL2
entrezgene|387895|387895	refseq_dna|XM_373553|XM_373553	hgnc_symbol|LOC387895|LOC387895
entrezgene|100132074|100132074	hgnc_symbol|FOXO6|FOXO6
entrezgene|146754|146754	refseq_dna|NM_020877|NM_020877	hgnc_symbol|DNAH2|DNAH2
entrezgene|201191|201191	refseq_dna|NM_174920|NM_174920	hgnc_symbol|SAMD14|SAMD14
entrezgene|100133744|100133744	refseq_dna|NM_001144933|NM_001144933	hgnc_symbol|EFCAB3|EFCAB3
entrezgene|10071|10071	refseq_dna|XM_001714400|XM_001714400	hgnc_symbol|MUC12|MUC12
entrezgene|10220|10220	refseq_dna|NM_005811|NM_005811	hgnc_symbol|GDF11|GDF11
entrezgene|5646|5646	refseq_dna|NM_002771|NM_002771	hgnc_symbol|PRSS3|PRSS3
entrezgene|5900|5900	refseq_dna|NM_001042368|NM_001042368	hgnc_symbol|RALGDS|RALGDS
entrezgene|999|999	refseq_dna|NM_004360|NM_004360	hgnc_symbol|CDH1|CDH1
entrezgene|3219|3219	refseq_dna|NM_024017|NM_024017	hgnc_symbol|HOXB9|HOXB9
entrezgene|3128|3128	refseq_dna|NR_001298|NR_001298	hgnc_symbol|HLA-DRB6|HLA-DRB6
entrezgene|3123|3123	refseq_dna|NM_002124|NM_002124	hgnc_symbol|HLA-DRB1|HLA-DRB1
entrezgene|121260|121260	refseq_dna|NM_145648|NM_145648	hgnc_symbol|SLC15A4|SLC15A4
entrezgene|23732|23732	refseq_dna|NM_014334|NM_014334	hgnc_symbol|C9orf4|C9orf4
entrezgene|953|953	refseq_dna|NM_001098175|NM_001098175	hgnc_symbol|ENTPD1|ENTPD1
entrezgene|2628|2628	refseq_dna|NM_001482|NM_001482	hgnc_symbol|GATM|GATM
entrezgene|115290|115290	refseq_dna|NM_024907|NM_024907	hgnc_symbol|FBXO17|FBXO17
entrezgene|83541|83541	refseq_dna|NM_001042353|NM_001042353	hgnc_symbol|FAM110A|FAM110A
entrezgene|5265|5265	refseq_dna|NM_000295|NM_000295	hgnc_symbol|SERPINA1|SERPINA1
entrezgene|140700|140700	refseq_dna|NM_080621|NM_080621	hgnc_symbol|SAMD10|SAMD10
entrezgene|139170|139170	refseq_dna|NM_178470|NM_178470	hgnc_symbol|WDR40B|WDR40B
entrezgene|100129899|100129899	refseq_dna|XM_001714827|XM_001714827	hgnc_symbol|LOC100129899|LOC100129899
entrezgene|117579|117579	refseq_dna|NM_080864|NM_080864	hgnc_symbol|RLN3|RLN3
entrezgene|30814|30814	refseq_dna|NM_014589|NM_014589	hgnc_symbol|PLA2G2E|PLA2G2E
entrezgene|90196|90196	refseq_dna|NM_033542|NM_033542	hgnc_symbol|SYS1|SYS1
entrezgene|222537|222537	refseq_dna|NM_153612|NM_153612	hgnc_symbol|HS3ST5|HS3ST5
entrezgene|80319|80319	refseq_dna|NM_025212|NM_025212	hgnc_symbol|CXXC4|CXXC4
entrezgene|10626|10626	refseq_dna|NM_006470|NM_006470	hgnc_symbol|TRIM16|TRIM16
entrezgene|9242|9242	refseq_dna|NM_005098|NM_005098	hgnc_symbol|MSC|MSC
entrezgene|10272|10272	refseq_dna|NM_005860|NM_005860	hgnc_symbol|FSTL3|FSTL3
entrezgene|164781|164781	refseq_dna|NM_178821|NM_178821	hgnc_symbol|WDR69|WDR69
entrezgene|4258|4258	refseq_dna|NM_002413|NM_002413	hgnc_symbol|MGST2|MGST2
entrezgene|79623|79623	refseq_dna|NM_024572|NM_024572	hgnc_symbol|GALNT14|GALNT14
entrezgene|64231|64231	refseq_dna|NM_022349|NM_022349	hgnc_symbol|MS4A6A|MS4A6A
entrezgene|100129286|100129286	refseq_dna|XM_001724487|XM_001724487	hgnc_symbol|LOC100129286|LOC100129286
entrezgene|84335|84335	refseq_dna|NM_001098632|NM_001098632	hgnc_symbol|AKT1S1|AKT1S1
entrezgene|9144|9144	refseq_dna|NM_004710|NM_004710	hgnc_symbol|SYNGR2|SYNGR2
entrezgene|64375|64375	refseq_dna|NM_022465|NM_022465	hgnc_symbol|IKZF4|IKZF4
entrezgene|4311|4311	refseq_dna|NM_000902|NM_000902	hgnc_symbol|MME|MME
entrezgene|414236|414236	refseq_dna|NM_001001791|NM_001001791	hgnc_symbol|C10orf55|C10orf55
entrezgene|286128|286128	refseq_dna|NM_173832|NM_173832	hgnc_symbol|ZFP41|ZFP41
entrezgene|9546|9546	refseq_dna|NM_004886|NM_004886	hgnc_symbol|APBA3|APBA3
entrezgene|3437|3437	refseq_dna|NM_001031683|NM_001031683	hgnc_symbol|IFIT3|IFIT3
entrezgene|79156|79156	refseq_dna|NM_024310|NM_024310	hgnc_symbol|PLEKHF1|PLEKHF1
entrezgene|50717|50717	refseq_dna|NM_015726|NM_015726	hgnc_symbol|WDR42A|WDR42A
entrezgene|57007|57007	refseq_dna|NM_020311|NM_020311	hgnc_symbol|CXCR7|CXCR7
entrezgene|51278|51278	refseq_dna|NM_016545|NM_016545	hgnc_symbol|IER5|IER5
entrezgene|602|602	refseq_dna|NM_005178|NM_005178	hgnc_symbol|BCL3|BCL3
entrezgene|149473|149473	refseq_dna|NM_152499|NM_152499	hgnc_symbol|CCDC24|CCDC24
entrezgene|284260|284260	refseq_dna|XM_001720683|XM_001720683	hgnc_symbol|LOC284260|LOC284260
entrezgene|92346|92346	refseq_dna|NM_139240|NM_139240	hgnc_symbol|C1orf105|C1orf105
entrezgene|8492|8492	refseq_dna|NM_003619|NM_003619	hgnc_symbol|PRSS12|PRSS12
entrezgene|65264|65264	refseq_dna|NM_023079|NM_023079	hgnc_symbol|UBE2Z|UBE2Z
entrezgene|100133005|100133005	refseq_dna|NM_001079877|NM_001079877	hgnc_symbol|RASA4|RASA4
entrezgene|970|970	refseq_dna|NM_001252|NM_001252	hgnc_symbol|CD70|CD70
entrezgene|27429|27429	refseq_dna|NM_013247|NM_013247	hgnc_symbol|HTRA2|HTRA2
entrezgene|4745|4745	refseq_dna|NM_006157|NM_006157	hgnc_symbol|NELL1|NELL1
entrezgene|340152|340152	refseq_dna|NM_139126|NM_139126	hgnc_symbol|PPIL4|PPIL4
entrezgene|727933|727933	refseq_dna|XM_001128972|XM_001128972	hgnc_symbol|LOC727933|LOC727933
entrezgene|8189|8189	refseq_dna|NM_004819|NM_004819	hgnc_symbol|SYMPK|SYMPK
entrezgene|79365|79365	refseq_dna|NM_030762|NM_030762	hgnc_symbol|BHLHE41|BHLHE41
entrezgene|11124|11124	refseq_dna|NM_007051|NM_007051	hgnc_symbol|FAF1|FAF1
entrezgene|55916|55916	refseq_dna|NM_018698|NM_018698	hgnc_symbol|NXT2|NXT2
entrezgene|51616|51616	refseq_dna|NM_015975|NM_015975	hgnc_symbol|TAF9B|TAF9B
entrezgene|2162|2162	refseq_dna|NM_000129|NM_000129	hgnc_symbol|F13A1|F13A1
entrezgene|3753|3753	refseq_dna|NM_000219|NM_000219	hgnc_symbol|KCNE1|KCNE1
