Symbol	Name	Accessions	UniGeneId	GeneId	Overlaps	Score	Found in 1076 patients	Centroid Good	Centroid Poor
MCM4	MCM4 minichromosome maintenance deficient 4 (S. cerevisiae)	NM_005914 NM_182746	Hs.460184	4173	5	36	No	NA	NA
C16orf61	Chromosome 16 open reading frame 61	NM_020188	Hs.388255	56942	5	35	No	NA	NA
DLG7	Discs, large homolog 7 (Drosophila)	NM_014750	Hs.77695	9787	5	35	No	NA	NA
H2AFZ	H2A histone family, member Z	NM_002106	Hs.119192	3015	6	34	No	NA	NA
KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	NM_002266	Hs.594238	3838	5	34	Yes	-0.01585253	0.11109927
PFKP	Phosphofructokinase, platelet	NM_002627	Hs.26010	5214	5	34	Yes	-0.035706405	0.067352272
GATA3	GATA binding protein 3	NM_001002295 NM_002051	Hs.524134	2625	8	33	Yes	-0.013322304	-0.356789627
CENPF	Centromere protein F, 350/400ka (mitosin)	NM_016343	Hs.497741	1063	5	33	Yes	-0.081965506	0.040661401
KRT18	Keratin 18	NM_000224 NM_199187	Hs.406013	3875	7	32	No	NA	NA
KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	NM_175053 NM_000424 NM_005554 NM_033448 NM_058242 NM_005555 NM_173086 NM_080747	Hs.433845	3852	5	32	Yes	-0.001625623	0.067934792
MELK	Maternal embryonic leucine zipper kinase	NM_014791	Hs.184339	9833	5	31	No	NA	NA
CCNE2	Cyclin E2	NM_057749 NM_057735	Hs.567387	9134	4	31	No	NA	NA
CCND1	Cyclin D1	NM_053056	Hs.523852	595	6	30	No	NA	NA
MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	NM_005915	Hs.444118	4175	5	30	Yes	-0.030070845	0.094779194
TRIP13	Thyroid hormone receptor interactor 13	NM_004237	Hs.436187	9319	5	30	Yes	-0.023230831	0.10044605
CX3CR1	Chemokine (C-X3-C motif) receptor 1	NM_001337	Hs.78913	1524	4	30	Yes	0.058237085	-0.033335364
CENPA	Centromere protein A	NM_001809	Hs.1594	1058	5	29	No	NA	NA
UBE2S	Ubiquitin-conjugating enzyme E2S	NM_014501	Hs.396393	27338	5	29	Yes	-0.021420095	0.118201513
PDIA4	Protein disulfide isomerase family A, member 4	NM_004911	Hs.93659	9601	4	29	Yes	0.009305163	0.005541689
NCF1	Neutrophil cytosolic factor 1, (chronic granulomatous disease, autosomal 1)	NM_023005 NM_032408 NM_003388 NM_032421 NM_032999 NM_033000 NM_033001 NM_001518 NM_001003795 NM_173537 NM_016328 NM_002314 NM_032951 NM_032953 NM_032952 NM_032954 NM_005685 NM_012453 NM_001039145 NM_022170 NM_032317 NM_031992 NM_030798 NM_003508 NM_000501 NM_022040 NM_032463 NM_004603 NM_178125 NM_014146 NM_001305 NM_018044 NM_181471 NM_001707 NM_148956 NM_031295 NM_002914 NM_003602 NM_148912 NM_148915 NM_148913 NM_000265 NM_001040003 NM_001025202 NM_001306 NM_017528 NM_138707 NM_152559 NM_182504 NM_174930 NM_148916 NM_148914	Hs.520943	4687	7	28	Yes	-0.005932845	0.004439403
TGFB3	Transforming growth factor, beta 3	NM_003239	Hs.592317	7043	6	28	Yes	0.009455857	-0.093997755
CDC25B	Cell division cycle 25B	NM_021873 NM_004358 NM_021872	Hs.153752	994	5	28	Yes	-0.002671631	0.174785876
HMMR	Hyaluronan-mediated motility receptor (RHAMM)	NM_012484 NM_012485	Hs.72550	3161	4	28	Yes	-0.046160935	0.064428421
PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	NM_002808	Hs.518464	5708	4	28	Yes	-0.024551185	0.053198888
PGR	Progesterone receptor	NM_000926	Hs.368072	5241	4	28	No	NA	NA
XBP1	X-box binding protein 1	NM_005080	Hs.437638	7494	8	27	Yes	-0.035664579	-0.307227078
PRAME	Preferentially expressed antigen in melanoma	NM_206953 NM_206955 NM_206956 NM_006115 NM_206954	Hs.30743	23532	4	27	Yes	0.046690419	0.335760469
TROAP	Trophinin associated protein (tastin)	NM_005480	Hs.524399	10024	4	27	Yes	-0.016614048	0.081176602
KNTC2	Kinetochore associated 2	NM_006101	Hs.414407	10403	3	27	No	NA	NA
KRT8	Keratin 8	NM_002272 NM_015848 NM_057088 NM_175834 NM_002273 NM_173352	Hs.533782	3856	6	26	Yes	0.004426554	0.014094336
BTG2	BTG family, member 2	NM_006763	Hs.519162	7832	6	26	Yes	0.003644361	-0.080281833
FOXM1	Forkhead box M1	NM_202002 NM_021953 NM_202003	Hs.239	2305	4	26	Yes	-0.04387204	0.085186123
NME1	Non-metastatic cells 1, protein (NM23A) expressed in	NM_001018136 NM_198175 NM_002512 NM_000269 NM_001018137 NM_001018138 NM_001018139	Hs.463456	4830	6	25	Yes	0.016566647	0.106651043
KYNU	Kynureninase (L-kynurenine hydrolase)	NM_003937 NM_001032998	Hs.470126	8942	4	25	Yes	0.033133131	0.17824675
MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	NM_002388	Hs.179565	4172	4	25	Yes	-0.014722792	0.084847623
IGFBP5	Insulin-like growth factor binding protein 5	NM_000599	Hs.369982	3488	4	24	No	NA	NA
NUSAP1	Nucleolar and spindle associated protein 1	NM_016359 NM_018454	Hs.615092	51203	4	24	No	NA	NA
CDC2	Cell division cycle 2, G1 to S and G2 to M	NM_001786 NM_033379	Hs.334562	983	4	24	Yes	-0.044066653	0.044142831
PCTK1	PCTAIRE protein kinase 1	NM_033018 NM_006201	Hs.496068	5127	3	24	Yes	-0.021353587	0.053751423
ERBB3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	NM_001982 NM_001005915	Hs.118681	2065	3	24	No	NA	NA
UBE2C	Ubiquitin-conjugating enzyme E2C	NM_181802 NM_181801 NM_007019 NM_181799 NM_181800 NM_181803	Hs.93002	11065	5	23	Yes	-0.056945683	0.060863284
MUC1	Mucin 1, cell surface associated	NM_002456 NM_001018016 NM_001018017 NM_001018021	Hs.89603	4582	5	23	No	NA	NA
PRC1	Protein regulator of cytokinesis 1	NM_003981 NM_199413 NM_199414	Hs.567385	9055	4	23	No	NA	NA
CSE1L	CSE1 chromosome segregation 1-like (yeast)	NM_001316	Hs.90073	1434	4	23	Yes	-0.009035558	0.055567146
PTTG1	Pituitary tumor-transforming 1	NM_004219	Hs.350966	9232	4	23	No	NA	NA
BRRN1	Barren homolog 1 (Drosophila)	NM_015341	Hs.308045	23397	4	23	No	NA	NA
TOP2A	Topoisomerase (DNA) II alpha 170kDa	NM_001067	Hs.156346	7153	5	22	Yes	-0.019075845	0.073782655
RARRES3	Retinoic acid receptor responder (tazarotene induced) 3	NM_004585	Hs.17466	5920	5	22	No	NA	NA
BBC3	BCL2 binding component 3	NM_014417	Hs.467020	27113	4	22	No	NA	NA
KIF23	Kinesin family member 23	NM_138555 NM_004856	Hs.270845	9493	4	22	No	NA	NA
SLPI	Secretory leukocyte peptidase inhibitor	NM_003064	Hs.517070	6590	4	22	Yes	0.033153385	0.140804558
PPP2R5C	Protein phosphatase 2, regulatory subunit B (B56), gamma isoform	NM_002719 NM_178586 NM_178587 NM_178588	Hs.368264	5527	4	22	Yes	-0.02280619	-0.007429016
PIR	Pirin (iron-binding nuclear protein)	NM_003662 NM_001018109	Hs.495728	8544	3	22	Yes	-0.020192313	0.120530144
CCT4	Chaperonin containing TCP1, subunit 4 (delta)	NM_006430	Hs.421509	10575	3	22	Yes	-0.03963529	0.023615027
KIF14	Kinesin family member 14	NM_014875	Hs.3104	9928	3	22	No	NA	NA
CDK2	Cyclin-dependent kinase 2	NM_001798 NM_052827	Hs.19192	1017	3	22	No	NA	NA
CTSC	Cathepsin C	NM_148170 NM_001814	Hs.128065	1075	5	21	Yes	-0.014231395	0.085424353
RHOC	Ras homolog gene family, member C	NM_005167 NM_175744	Hs.502659	389	4	21	No	NA	NA
NP	Nucleoside phosphorylase	NM_000270	Hs.75514	4860	4	21	Yes	-0.035027806	0.053717046
DCK	Deoxycytidine kinase	NM_000788	Hs.709	1633	3	21	Yes	-0.00874728	0.035396163
GMPS	Guanine monphosphate synthetase	NM_003875	Hs.591314	8833	3	21	Yes	-0.018924135	0.090405279
FABP5	Fatty acid binding protein 5 (psoriasis-associated)	NM_001444	Hs.408061	2171	3	21	Yes	-0.006913	0.069991812
IL32	Interleukin 32	NM_001012631 NM_001012718 NM_004221 NM_001012632 NM_001012633 NM_001012634 NM_001012635 NM_001012636	Hs.943	9235	3	21	Yes	-0.033693581	0.058712393
VEGF	Vascular endothelial growth factor	NM_001025366 NM_003376 NM_001025367 NM_001025368 NM_001025369 NM_001033756 NM_001025370	Hs.73793	7422	3	21	Yes	-0.0000383	0.089756258
DKFZp762E1312	Hypothetical protein DKFZp762E1312	NM_018410	Hs.532968	55355	3	21	No	NA	NA
FLJ21062	Hypothetical protein FLJ21062	NM_001039706	Hs.521012	79846	3	21	No	NA	NA
YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	NM_020470	Hs.446445	10897	3	21	No	NA	NA
EZH2	Enhancer of zeste homolog 2 (Drosophila)	NM_004456 NM_152998	Hs.444082	2146	3	21	No	NA	NA
CCNB2	Cyclin B2	NM_004701	Hs.194698	9133	3	21	No	NA	NA
HMGB3	High-mobility group box 3	NM_005342	Hs.19114	3149	3	21	No	NA	NA
MET	Met proto-oncogene (hepatocyte growth factor receptor)	NM_000245	Hs.132966	4233	3	21	Yes	-0.014154129	-0.005687664
CST3	Cystatin C (amyloid angiopathy and cerebral hemorrhage)	NM_000099	Hs.304682	1471	5	20	No	NA	NA
ID3	Inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	NM_002167	Hs.76884	3399	4	20	No	NA	NA
CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	NM_001255	Hs.524947	991	4	20	No	NA	NA
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	NM_000597	Hs.438102	3485	4	20	Yes	0.003019597	-0.087324838
IFI30	Interferon, gamma-inducible protein 30	NM_006332	Hs.14623	10437	4	20	Yes	-0.012952083	0.046131988
TIMP2	TIMP metallopeptidase inhibitor 2	NM_003255	Hs.104839	7077	4	20	Yes	-0.055607772	0.003412723
RFC4	Replication factor C (activator 1) 4, 37kDa	NM_002916 NM_181573	Hs.591322	5984	3	20	No	NA	NA
GSTM3	Glutathione S-transferase M3 (brain)	NM_000849	Hs.2006	2947	3	20	Yes	0.027800645	-0.015504202
SLC25A5	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	NM_001152	Hs.632282	292	3	20	Yes	-0.040822343	0.032284007
EIF4A1	Eukaryotic translation initiation factor 4A, isoform 1	NM_001251 NM_001040059 NM_001416	Hs.129673	1973	3	20	Yes	-0.011737881	0.003746242
CENPE	Centromere protein E, 312kDa	NM_001813	Hs.75573	1062	3	20	Yes	-0.212327946	0.017861934
CCNA2	Cyclin A2	NM_001237	Hs.58974	890	3	20	Yes	-0.056855095	0.068260504
GPSM2	G-protein signalling modulator 2 (AGS3-like, C. elegans)	NM_013296	Hs.584901	29899	3	20	No	NA	NA
SLC7A5	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	NM_003486	Hs.513797	8140	3	20	Yes	-0.004628474	0.156189675
CCNE1	Cyclin E1	NM_001238 NM_057182	Hs.244723	898	3	20	Yes	-0.041632768	0.108612094
TACC2	Transforming, acidic coiled-coil containing protein 2	NM_206862 NM_206861 NM_006997 NM_206860	Hs.501252	10579	2	20	No	NA	NA
KRT17	Keratin 17	NM_000226 NM_153490 NM_002275 NM_002274 NM_005557 NM_000526 NM_002276 NM_000422	Hs.2785	3872	5	19	Yes	-0.00428994	-0.007876893
TFF3	Trefoil factor 3 (intestinal)	NM_003226	Hs.82961	7033	4	19	Yes	-0.026801371	-0.16316111
EXT1	Exostoses (multiple) 1	NM_000127	Hs.492618	2131	3	19	Yes	0.001877919	0.053001554
YWHAZ	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	NM_145690 NM_003406	Hs.492407	7534	3	19	Yes	-0.014795377	0.039730996
LETMD1	LETM1 domain containing 1	NM_014033 NM_015416 NM_001024668 NM_001024669 NM_001024670 NM_001024671	Hs.288771	25875	3	19	No	NA	NA
PSMB7	Proteasome (prosome, macropain) subunit, beta type, 7	NM_002799	Hs.213470	5695	3	19	Yes	-0.015475431	0.043152456
ACADSB	Acyl-Coenzyme A dehydrogenase, short/branched chain	NM_001609	Hs.81934	36	3	19	Yes	0.026960103	-0.028138385
GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	NM_001482	Hs.75335	2628	3	19	Yes	0.037415121	-0.000649371
MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	NM_004526	Hs.477481	4171	3	19	No	NA	NA
CNKSR1	Connector enhancer of kinase suppressor of Ras 1	NM_006314	Hs.16232	10256	3	19	Yes	0.017624784	-0.032713076
SMC4	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	NM_005496 NM_001002800 NM_001002799	Hs.58992	10051	2	19	No	NA	NA
RPS4X	Ribosomal protein S4, X-linked	NM_001007	Hs.446628	6191	2	19	No	NA	NA
ATAD2	ATPase family, AAA domain containing 2	NM_014109	Hs.370834	29028	2	19	No	NA	NA
COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	NM_000090	Hs.443625	1281	6	18	No	NA	NA
SCUBE2	Signal peptide, CUB domain, EGF-like 2	NM_020974	Hs.523468	57758	4	18	No	NA	NA
LRRC17	Leucine rich repeat containing 17	NM_005824 NM_001031692	Hs.567412	10234	4	18	Yes	0.038624817	-0.022502401
HPN	Hepsin (transmembrane protease, serine 1)	NM_182983 NM_002151	Hs.182385	3249	4	18	No	NA	NA
PLAUR	Plasminogen activator, urokinase receptor	NM_002659 NM_001005376 NM_001005377	Hs.466871	5329	3	18	Yes	0.002792935	0.017009279
AURKB	Aurora kinase B	NM_004217	Hs.442658	9212	3	18	Yes	-0.04921153	0.059608959
PCNA	Proliferating cell nuclear antigen	NM_002592 NM_182649	Hs.147433	5111	3	18	Yes	-0.032242421	0.036764369
TFDP1	Transcription factor Dp-1	NM_007111	Hs.79353	7027	3	18	Yes	-0.016194671	0.053592952
ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	NM_002858	Hs.76781	5825	3	18	Yes	0.014669512	-0.037778213
LMNB2	Lamin B2	NM_032737	Hs.538286	84823	3	18	No	NA	NA
DDOST	Dolichyl-diphosphooligosaccharide-protein glycosyltransferase	NM_005216	Hs.523145	1650	3	18	Yes	-0.015756091	0.007845702
NDP	Norrie disease (pseudoglioma)	NM_000266	Hs.522615	4693	3	18	Yes	0.236249437	0.062163282
MAPRE1	Microtubule-associated protein, RP/EB family, member 1	NM_012325	Hs.472437	22919	3	18	No	NA	NA
KIFC1	Kinesin family member C1	NM_002263	Hs.436912	3833	3	18	No	NA	NA
YY1	YY1 transcription factor	NM_003403	Hs.388927	7528	3	18	Yes	-0.002456258	-0.001765416
PEX12	Peroxisomal biogenesis factor 12	NM_000286	Hs.591190	5193	2	18	Yes	0.022684067	-0.026745835
FEN1	Flap structure-specific endonuclease 1	NM_004111	Hs.409065	2237	2	18	Yes	-0.031036236	0.093540339
TP53	Tumor protein p53 (Li-Fraumeni syndrome)	NM_000546	Hs.408312	7157	2	18	Yes	0.010379381	0.011992694
GTSE1	G-2 and S-phase expressed 1	NM_016426	Hs.386189	51512	2	18	No	NA	NA
PTDSS1	Phosphatidylserine synthase 1	NM_014754	Hs.292579	9791	2	18	Yes	-0.008573813	0.124111488
POLQ	Polymerase (DNA directed), theta	NM_199420	Hs.241517	10721	2	18	No	NA	NA
TCEAL1	Transcription elongation factor A (SII)-like 1	NM_004780 NM_001006640 NM_001006639	Hs.95243	9338	5	17	Yes	0.080219796	-0.026281464
MSN	Moesin	NM_002444	Hs.87752	4478	4	17	Yes	-0.005450637	0.044013304
CDC6	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254	Hs.405958	990	4	17	Yes	-0.017615931	0.096759503
CD24	CD24 molecule	NM_013230	Hs.375108	934	4	17	No	NA	NA
TUBA1	Tubulin, alpha 1 (testis specific)	NM_006000	Hs.75318	7277	3	17	Yes	-0.017874341	0.015364453
VIL2	Villin 2 (ezrin)	NM_003379	Hs.642735	7430	3	17	No	NA	NA
SFRS10	Splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	NM_004593	Hs.533122	6434	3	17	No	NA	NA
SFRS7	Splicing factor, arginine/serine-rich 7, 35kDa	NM_001031684	Hs.309090	6432	3	17	Yes	-0.019337258	-0.012858915
SDC1	Syndecan 1	NM_001006946 NM_002997	Hs.224607	6382	3	17	Yes	-0.0668537	-0.0107226
CYBRD1	Cytochrome b reductase 1	NM_024843	Hs.221941	79901	3	17	No	NA	NA
KIF2C	Kinesin family member 2C	NM_006845	Hs.69360	11004	3	17	No	NA	NA
CDCA3	Cell division cycle associated 3	NM_031299	Hs.524216	83461	3	17	No	NA	NA
NPY1R	Neuropeptide Y receptor Y1	NM_000909	Hs.519057	4886	3	17	Yes	0.347502706	0.086870462
MYO10	Myosin X	NM_012334	Hs.481720	4651	3	17	No	NA	NA
CTSL	Cathepsin L	NM_001912 NM_145918 NM_001023564	Hs.418123	1514	3	17	Yes	-0.032435026	0.040074464
PTPLB	Protein tyrosine phosphatase-like (proline instead of catalytic arginine), member b	NM_198402	Hs.477367	201562	2	17	No	NA	NA
ASPM	Asp (abnormal spindle)-like, microcephaly associated (Drosophila)	NM_018136	Hs.121028	259266	2	17	No	NA	NA
FAM64A	Family with sequence similarity 64, member A	NM_019013	Hs.592116	54478	2	17	No	NA	NA
C1orf198	Chromosome 1 open reading frame 198	NM_032800	Hs.568242	84886	2	17	No	NA	NA
CNAP1	Chromosome condensation-related SMC-associated protein 1	NM_014865	Hs.5719	9918	4	16	No	NA	NA
PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	NM_182943 NM_000935	Hs.477866	5352	4	16	Yes	-0.029151629	0.02169456
C1S	Complement component 1, s subcomponent	NM_201442 NM_001734	Hs.458355	716	3	16	No	NA	NA
DUSP4	Dual specificity phosphatase 4	NM_057158 NM_001394	Hs.417962	1846	3	16	Yes	-0.040777456	-0.145616226
LRP8	Low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NM_004631 NM_001018054 NM_033300 NM_017522	Hs.576154	7804	3	16	Yes	-0.065521631	0.065069908
IFITM1	Interferon induced transmembrane protein 1 (9-27)	NM_003641	Hs.458414	8519	3	16	No	NA	NA
CKS1B	CDC28 protein kinase regulatory subunit 1B	NM_001826	Hs.374378	1163	3	16	No	NA	NA
FABP7	Fatty acid binding protein 7, brain	NM_001446	Hs.26770	2173	3	16	Yes	0.02942524	0.192813272
CCT5	Chaperonin containing TCP1, subunit 5 (epsilon)	NM_012073	Hs.1600	22948	2	16	No	NA	NA
ITPR3	Inositol 1,4,5-triphosphate receptor, type 3	NM_002224	Hs.65758	3710	2	16	Yes	-0.021833587	0.034901647
SESN1	Sestrin 1	NM_014454	Hs.591336	27244	2	16	No	NA	NA
CP	Ceruloplasmin (ferroxidase)	NM_000096	Hs.558314	1356	2	16	No	NA	NA
TFRC	Transferrin receptor (p90, CD71)	NM_003234	Hs.529618	7037	2	16	Yes	-0.043135252	0.025192185
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	NM_000222	Hs.479754	3815	2	16	Yes	0.042373002	0.022906613
SLC35A1	Solute carrier family 35 (CMP-sialic acid transporter), member A1	NM_006416	Hs.423163	10559	2	16	No	NA	NA
NDRG1	N-myc downstream regulated gene 1	NM_006096	Hs.372914	10397	2	16	Yes	0.020552371	0.150180474
SAT	Spermidine/spermine N1-acetyltransferase	NM_002970	Hs.28491	6303	2	16	Yes	0.00169147	0.036144339
TLE3	Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	NM_005078	Hs.287362	7090	3	15	No	NA	NA
PDAP1	PDGFA associated protein 1	NM_014891	Hs.632296	11333	3	15	No	NA	NA
F3	Coagulation factor III (thromboplastin, tissue factor)	NM_001993	Hs.62192	2152	3	15	No	NA	NA
SNRPA1	Small nuclear ribonucleoprotein polypeptide A	NM_003090	Hs.528763	6627	3	15	No	NA	NA
RACGAP1	Rac GTPase activating protein 1	NM_013277	Hs.505469	29127	3	15	No	NA	NA
CDH1	Cadherin 1, type 1, E-cadherin (epithelial)	NM_004360	Hs.461086	999	3	15	Yes	-0.05533819	-0.005160332
PRLR	Prolactin receptor	NM_000949	Hs.368587	5618	3	15	Yes	0.014721034	-0.022387922
ESPL1	Extra spindle poles like 1 (S. cerevisiae)	NM_012291	Hs.153479	9700	3	15	No	NA	NA
RAB6A	RAB6A, member RAS oncogene family	NM_016577	Hs.12152	5870	2	15	Yes	0.014727581	0.087782339
TXNRD1	Thioredoxin reductase 1	NM_003330 NM_182742 NM_182729 NM_182743 NM_001008394	Hs.567352	7296	2	15	Yes	-0.00500973	0.07639797
CD44	CD44 molecule (Indian blood group)	NM_000610 NM_001001389 NM_001001390 NM_001001391 NM_001001392	Hs.502328	960	2	15	No	NA	NA
SOD2	Superoxide dismutase 2, mitochondrial	NM_000636 NM_001024465 NM_001024466	Hs.487046	6648	2	15	No	NA	NA
OMD	Osteomodulin	NM_005014	Hs.94070	4958	2	15	Yes	0.102719893	-0.020231586
SPRR2C	Small proline-rich protein 2C	M21539	Hs.592363	6702	2	15	No	NA	NA
INSR	Insulin receptor	NM_000208	Hs.591381	3643	2	15	Yes	0.017481431	0.009219391
C4orf18	Chromosome 4 open reading frame 18	NM_016613 NM_001031700	Hs.567498	51313	2	15	No	NA	NA
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	NM_006988	Hs.534115	9510	2	15	No	NA	NA
UBR2	Ubiquitin protein ligase E3 component n-recognin 2	NM_015255	Hs.529925	23304	2	15	Yes	0.006486044	-0.022663135
PTPRT	Protein tyrosine phosphatase, receptor type, T	NM_133170 NM_007050	Hs.526879	11122	2	15	Yes	0.012732621	-0.060195973
FBXO5	F-box protein 5	NM_012177	Hs.520506	26271	2	15	No	NA	NA
SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	NM_001012661 NM_001012662 NM_002394 NM_001012663 NM_001012664 NM_001013251	Hs.502769	6520	2	15	Yes	-0.006599901	0.048759133
FADS2	Fatty acid desaturase 2	NM_004265	Hs.502745	9415	2	15	No	NA	NA
IER2	Immediate early response 2	NM_004907	Hs.501629	9592	2	15	Yes	0.070384891	0.02155344
PPP1R12A	Protein phosphatase 1, regulatory (inhibitor) subunit 12A	NM_002480	Hs.49582	4659	2	15	Yes	0.003300722	-0.008825798
FKBP1A	FK506 binding protein 1A, 12kDa	NM_000801 NM_080489 NM_015685 NM_054014	Hs.471933	2280	2	15	Yes	-0.027928593	0.017730092
CTSL2	Cathepsin L2	NM_001333	Hs.434529	1515	2	15	No	NA	NA
CCNC	Cyclin C	NM_005190 NM_001013399	Hs.430646	892	2	15	Yes	-0.018832238	0.047908782
CCT7	Chaperonin containing TCP1, subunit 7 (eta)	NM_006429 NM_001009570	Hs.368149	10574	2	15	Yes	-0.021210133	0.047316407
SCAP1	Src family associated phosphoprotein 1	NM_003726	Hs.316931	8631	2	15	Yes	0.010736069	-0.0117934
C16orf35	Chromosome 16 open reading frame 35	NM_001039476	Hs.19699	8131	2	15	Yes	0.026048675	0.027357211
SLC25A1	Solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	NM_005984	Hs.111024	6576	2	15	Yes	-0.007032002	0.026287346
GABBR1	Gamma-aminobutyric acid (GABA) B receptor, 1	NM_001470 NM_021905 NM_021904 NM_021903	Hs.167017	2550	3	14	Yes	-0.04171223	-0.047708201
ZNF43	Zinc finger protein 43	NM_003423	Hs.534365	7594	3	14	No	NA	NA
PBXIP1	Pre-B-cell leukemia transcription factor interacting protein 1	NM_020524	Hs.505806	57326	3	14	No	NA	NA
LDHA	Lactate dehydrogenase A	NM_144972 NM_005566 NM_002301 NM_017448	Hs.2795	3939	3	14	Yes	-0.037564784	0.014805099
GRB7	Growth factor receptor-bound protein 7	NM_005310 NM_001030002	Hs.86859	2886	3	14	Yes	0.030288665	0.24236729
CFB	Complement factor B	NM_001710	Hs.69771	629	3	14	Yes	-0.026923651	-0.096483917
F10	Coagulation factor X	NM_000504	Hs.361463	2159	3	14	No	NA	NA
BRCA1	Breast cancer 1, early onset	NM_007295 NM_007294 NM_007296 NM_007302 NM_007297 NM_007299 NM_007300 NM_007304 NM_007303 NM_007305 NM_007298	Hs.194143	672	3	14	Yes	-0.007410343	0.037678671
SHMT2	Serine hydroxymethyltransferase 2 (mitochondrial)	NM_005412	Hs.75069	6472	2	14	Yes	-0.039492583	0.045357613
HIPK2	Homeodomain interacting protein kinase 2	NM_022740	Hs.397465	28996	2	14	No	NA	NA
