Gene Symbol	SAGE	Oligonuc. Microarray	cDNA microarray	LocusLink ID	Description
FGD3				89846	FGD1 family, member 3
FLJ21174				79921	hypothetical protein FLJ21174
ZNF552				79818	hypothetical protein FLJ21603
FLJ22386				79641	leucine zipper domain protein
FLJ90798				219654	hypothetical protein FLJ90798
FOXA1				3169	forkhead box A1
GJA1				2697	gap junction protein, alpha 1, 43kDa (connexin 43)
GLUL				2752	glutamate-ammonia ligase (glutamine synthase)
GSTZ1				2954	glutathione transferase zeta 1 (maleylacetoacetate isomerase)
HDGFRP3				50810	hepatoma-derived growth factor, related protein 3
HIST1H2BD				3017	histone 1, H2bd
HSPB1				3315	heat shock 27kDa protein 1
IGFBP4				3487	insulin-like growth factor binding protein 4
IRX5				10265	iroquois homeobox protein 5
ITGBL1				9358	integrin, beta-like 1 (with EGF-like repeat domains)
JDP1				56521	J domain containing protein 1
KCTD3				51133	potassium channel tetramerisation domain containing 3
KIAA0882				23158	KIAA0882 protein
KIAA1143				57456	KIAA1143 protein
KIF12				113220	kinesin family member 12
KRT18				3875	keratin 18
LOC123169				123169	senescence downregulated leo1-like
LOC159090				159090	similar to hypothetical protein MGC17347
LRIG1				26018	leucine-rich repeats and immunoglobulin-like domains 1
LRP2				4036	low density lipoprotein-related protein 2
MGC11242				79170	hypothetical protein MGC11242
MGC15737				85012	hypothetical protein MGC15737
MGC18216				145815	hypothetical protein MGC18216
SUSD3				203328	sushi domain containing 3
MGC4251				84336	hypothetical protein MGC4251
MGC7036				196383	hypothetical protein MGC7036
MIPEP				4285	mitochondrial intermediate peptidase
MYLIP				29116	myosin regulatory light chain interacting protein
NAT1				9	N-acetyltransferase 1 (arylamine N-acetyltransferase)
NAV1				89796	neuron navigator 1
NEIL1				79661	nei endonuclease VIII-like 1 (E. coli)
NET-7				23555	transmembrane 4 superfamily member tetraspan NET-7
NTN4				59277	netrin 4
OIP106				22906	OGT(O-Glc-NAc transferase)-interacting protein 106 KDa
PHF15				23338	PHD finger protein 15
PINK1				65018	PTEN induced putative kinase 1
PLAT				5327	plasminogen activator, tissue
PRKAR2B				5577	protein kinase, cAMP-dependent, regulatory, type II, beta
PURA				5813	purine-rich element binding protein A
QDPR				5860	quinoid dihydropteridine reductase
RARA				5914	retinoic acid receptor, alpha
RARRES3				5920	retinoic acid receptor responder (tazarotene induced) 3
RNASE4				6038	ribonuclease, RNase A family, 4
RNF123				63891	ring finger protein 123
RPLP1				6176	ribosomal protein, large, P1
SCUBE2				57758	signal peptide, CUB domain, EGF-like 2
SEC14L2				23541	SEC14-like 2 (S. cerevisiae)
SH3BGRL				6451	SH3 domain binding glutamic acid-rich protein like
SPARCL1				8404	SPARC-like 1 (mast9, hevin)
SREBF1				6720	sterol regulatory element binding transcription factor 1
SSBP2				23635	single-stranded DNA binding protein 2
SULF2				55959	sulfatase 2
SYTL4				94121	synaptotagmin-like 4 (granuphilin-a)
TCEAL1				9338	transcription elongation factor A (SII)-like 1
TFF1				7031	trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)
THBS4				7060	thrombospondin 4
TJP3				27134	tight junction protein 3 (zona occludens 3)
NET-6				27075	transmembrane 4 superfamily member 13
TPBG				7162	trophoblast glycoprotein
TRAF5				7188	TNF receptor-associated factor 5
TSPAN-1				10103	tetraspan 1
UGCG				7357	UDP-glucose ceramide glucosyltransferase
VAV3				10451	vav 3 oncogene
CACNA2D2				9254	calcium channel, voltage-dependent, alpha 2/delta subunit 2
DCTD				1635	dCMP deaminase
DHX34				9704	DEAH (Asp-Glu-Ala-His) box polypeptide 34
DPP6				1804	dipeptidylpeptidase 6
FCGRT				2217	Fc fragment of IgG, receptor, transporter, alpha
LAT				27040	linker for activation of T cells
PPP2CA				5515	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
RGS5				8490	regulator of G-protein signalling 5
SEC24C				9632	SEC24 related gene family, member C (S. cerevisiae)
SEMA3C				10512	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
SIAT7B				10610	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide
TAF1C				9013	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa
WWP1				11059	WW domain-containing protein 1
XPA				7507	xeroderma pigmentosum, complementation group A
ABCD3				5825	ATP-binding cassette, sub-family D (ALD), member 3
ACADSB				36	acyl-Coenzyme A dehydrogenase, short/branched chain
AIG1				51390	androgen-induced 1
APM2				10974	adipose specific 2
ASAH1				427	N-acylsphingosine amidohydrolase (acid ceramidase) 1
BCL2				596	B-cell CLL/lymphoma 2
BHLHB2				8553	basic helix-loop-helix domain containing, class B, 2
BTF3				689	basic transcription factor 3
C14orf117				55516	chromosome 14 open reading frame 117
C18orf1				753	chromosome 18 open reading frame 1
C4B				721	complement component 4B
CCNG2				901	cyclin G2
CREBBP				1387	CREB binding protein (Rubinstein-Taybi syndrome)
EMP2				2013	epithelial membrane protein 2
FLNB				2317	filamin B, beta (actin binding protein 278)
FUT8				2530	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
GLUD1				2746	glutamate dehydrogenase 1
GSTM3				2947	glutathione S-transferase M3 (brain)
H2AV				94239	histone H2A.F/Z variant
HMGCL				3155	3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)
HNRPA1				3178	heterogeneous nuclear ribonucleoprotein A1
HRASLS3				11145	HRAS-like suppressor 3
HSPA1A				3303	heat shock 70kDa protein 1A
IL6ST				3572	interleukin 6 signal transducer (gp130, oncostatin M receptor)
IMPACT				55364	hypothetical protein IMPACT
IRS1				3667	insulin receptor substrate 1
ITGB5				3693	integrin, beta 5
KIAA0232				9778	KIAA0232 gene product
KIAA1522				57648	KIAA1522 protein
LRBA				987	LPS-responsive vesicle trafficking, beach and anchor containing
LRRC17				10234	leucine rich repeat containing 17
MCP				4179	membrane cofactor protein (CD46, trophoblast-lymphocyte cross-reactive antigen)
MORF4L2				9643	mortality factor 4 like 2
MPP7				143098	membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7)
MYO6				4646	myosin VI
NPY1R				4886	neuropeptide Y receptor Y1
NSF				4905	N-ethylmaleimide-sensitive factor
PDCD4				27250	programmed cell death 4 (neoplastic transformation inhibitor)
PIGT				51604	phosphatidylinositol glycan, class T
PPP2R5A				5525	protein phosphatase 2, regulatory subunit B (B56), alpha isoform
PRKAR1A				5573	protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)
PTP4A2				8073	protein tyrosine phosphatase type IVA, member 2
PTPRT				11122	protein tyrosine phosphatase, receptor type, T
QP-C				27089	low molecular mass ubiquinone-binding protein (9.5kD)
RASA1				5921	RAS p21 protein activator (GTPase activating protein) 1
SDC4				6385	syndecan 4 (amphiglycan, ryudocan)
ShrmL				57619	Shroom-related protein
SIAH2				6478	seven in absentia homolog 2 (Drosophila)
SLC39A6				25800	solute carrier family 39 (zinc transporter), member 6
SLC9A3R1				9368	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 1
SNX1				6642	sorting nexin 1
STATIP1				55250	signal transducer and activator of transcription 3 interacting protein 1
STK39				27347	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
TFF3				7033	trefoil factor 3 (intestinal)
WFDC2				10406	WAP four-disulfide core domain 2
