Gene Name	Hs.Unigene ID	Gene Symbol
CD44 molecule (Indian blood group)	Hs.502328	CD44
CD47 molecule	Hs.446414	CD47
Carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	Hs.512682	CEACAM1
Carcinoembryonic antigen-related cell adhesion molecule 5	Hs.466814	CEACAM5
Carcinoembryonic antigen-related cell adhesion molecule 7	Hs.74466	CEACAM7
Carcinoembryonic antigen-related cell adhesion molecule 8	Hs.41	CEACAM8
Cerebral endothelial cell adhesion molecule 1	Hs.495230	CEECAM1
Chondroitin beta1,4 N-acetylgalactosaminyltransferase	Hs.655166	ChGn
Cell adhesion molecule with homology to L1CAM (close homolog of L1)	Hs.148909	CHL1
Chondroitin polymerizing factor	Hs.516711	CHPF
Carbohydrate (chondroitin 4) sulfotransferase 11	Hs.17569	CHST11
Carbohydrate (chondroitin 4) sulfotransferase 13	Hs.292375	CHST13
Carbohydrate (chondroitin 6) sulfotransferase 3	Hs.158304	CHST3
Carbohydrate (chondroitin) synthase 1	Hs.110488	CHSY1
Calcium and integrin binding 1 (calmyrin)	Hs.135471	CIB1
Calcium and integrin binding family member 2	Hs.129867	CIB2
Calcium and integrin binding family member 3	Hs.255432	CIB3
ClpP caseinolytic peptidase, ATP-dependent, proteolytic subunit homolog (E. coli)	Hs.515092	CLPP
ClpX caseinolytic peptidase X homolog (E. coli)	Hs.113823	CLPX
Collagen, type XII, alpha 1	Hs.101302	COL12A1
Collagen, type XIII, alpha 1	Hs.211933	COL13A1
Collagen, type XIV, alpha 1 (undulin)	Hs.409662	COL14A1
Collagen, type XV, alpha 1	Hs.409034	COL15A1
Collagen, type XVI, alpha 1	Hs.368921	COL16A1
Collagen, type XVIII, alpha 1	Hs.517356	COL18A1
Collagen, type I, alpha 1	Hs.172928	COL1A1
Collagen, type I, alpha 2	Hs.489142	COL1A2
Collagen, type XXI, alpha 1	Hs.47629	COL21A1
Collagen, type XXV, alpha 1	Hs.658842	COL25A1
Collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	Hs.408182	COL2A1
Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	Hs.443625	COL3A1
Collagen, type IV, alpha 1	Hs.17441	COL4A1
Collagen, type IV, alpha 2	Hs.508716	COL4A2
Collagen, type IV, alpha 3 (Goodpasture antigen) binding protein	Hs.270437	COL4A3BP
Collagen, type IV, alpha 5 (Alport syndrome)	Hs.369089	COL4A5
Collagen, type IV, alpha 6	Hs.145586	COL4A6
Collagen, type V, alpha 2	Hs.445827	COL5A2
Collagen, type V, alpha 3	Hs.235368	COL5A3
Collagen, type VI, alpha 1	Hs.474053	COL6A1
Collagen, type VI, alpha 2	Hs.420269	COL6A2
Collagen, type VI, alpha 3	Hs.233240	COL6A3
Collagen, type VII, alpha 1 (epidermolysis bullosa, dystrophic, dominant and recessive)	Hs.476218	COL7A1
Collagen, type VIII, alpha 2	Hs.353001	COL8A2
Collagen, type IX, alpha 1	Hs.590892	COL9A1
Collagen, type IX, alpha 2	Hs.418012	COL9A2
Collagen, type IX, alpha 3	Hs.126248	COL9A3
Collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	Hs.146735	COLQ
Cartilage oligomeric matrix protein	Hs.1584	COMP
Corin, serine peptidase	Hs.518618	CORIN
Chondroitin sulfate proteoglycan 5 (neuroglycan C)	Hs.45127	CSPG5
Cathepsin B	Hs.520898	CTSB
Cathepsin C	Hs.128065	CTSC
Cathepsin D	Hs.654447	CTSD
Cathepsin E	Hs.644082	CTSE
Cathepsin F	Hs.11590	CTSF
Cathepsin G	Hs.421724	CTSG
Cathepsin H	Hs.148641	CTSH
Cathepsin K	Hs.632466	CTSK
Cathepsin L2	Hs.660866	CTSL2
Cathepsin O	Hs.75262	CTSO
Cathepsin S	Hs.181301	CTSS
Cathepsin W	Hs.416848	CTSW
Cathepsin Z	Hs.252549	CTSZ
Extracellular matrix protein 1	Hs.81071	ECM1
Elastase 1, pancreatic	Hs.348395	ELA1
Elastase 2, neutrophil	Hs.99863	ELA2
Elastase 2A	Hs.631866	ELA2A
Elastase 2B	Hs.631871	ELA2B
Elastase 3A, pancreatic	Hs.654349	ELA3A
Elastin microfibril interfacer 1	Hs.63348	EMILIN1
Elastin microfibril interfacer 2	Hs.532815	EMILIN2
Endothelial cell adhesion molecule	Hs.173840	ESAM
Fibronectin type III and ankyrin repeat domains 1	Hs.352591	FANK1
Fibulin 1	Hs.24601	FBLN1
Fibulin 2	Hs.198862	FBLN2
Fibulin 5	Hs.332708	FBLN5
Fibrillin 1	Hs.591133	FBN1
Fibrillin 2 (congenital contractural arachnodactyly)	Hs.519294	FBN2
Fibrillin 3	Hs.370362	FBN3
Ficolin (collagen/fibrinogen domain containing) 1	Hs.440898	FCN1
Fibronectin leucine rich transmembrane protein 3	Hs.41296	FLRT3
Fibronectin type III and SPRY domain containing 1	Hs.28144	FSD1
Chondroitin sulfate GalNAcT-2	Hs.657569	GALNACT-2
Granzyme H (cathepsin G-like 2, protein h-CCPX)	Hs.348264	GZMH
Granzyme K (granzyme 3; tryptase II)	Hs.277937	GZMK
Hyaluronan binding protein 2	Hs.422542	HABP2
Hyaluronan and proteoglycan link protein 2	Hs.410719	HAPLN2
Hyaluronan synthase 2	Hs.571528	HAS2
Hyaluronan synthase 3	Hs.592069	HAS3
Hyaluronan-mediated motility receptor (RHAMM)	Hs.72550	HMMR
Hepsin (transmembrane protease, serine 1)	Hs.182385	HPN
Heparan sulfate proteoglycan 2	Hs.651231	HSPG2
HtrA serine peptidase 3	Hs.479119	HTRA3
Hyaluronoglucosaminidase 1	Hs.129910	HYAL1
Hyaluronoglucosaminidase 2	Hs.76873	HYAL2
Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	Hs.643447	ICAM1
Intercellular adhesion molecule 2	Hs.431460	ICAM2
Intercellular adhesion molecule 3	Hs.654563	ICAM3
Intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)	Hs.631609	ICAM4
Intercellular adhesion molecule 5, telencephalin	Hs.465862	ICAM5
Integrin-linked kinase	Hs.5158	ILK
Integrin-linked kinase-associated serine/threonine phosphatase 2C	Hs.92033	ILKAP
IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae)	Hs.655722	IMMP2L
Interphotoreceptor matrix proteoglycan 1	Hs.590893	IMPG1
Interphotoreceptor matrix proteoglycan 2	Hs.272380	IMPG2
Integrin, alpha 11	Hs.436416	ITGA11
Integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor)	Hs.265829	ITGA3
Integrin, alpha 5 (fibronectin receptor, alpha polypeptide)	Hs.505654	ITGA5
Integrin, alpha 6	Hs.133397	ITGA6
Integrin, alpha 7	Hs.524484	ITGA7
Integrin, alpha 8	Hs.171311	ITGA8
Integrin, alpha 9	Hs.113157	ITGA9
Integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	Hs.513867	ITGAE
Integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1)	Hs.174103	ITGAL
Integrin, alpha M (complement component 3 receptor 3 subunit)	Hs.172631	ITGAM
Integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	Hs.436873	ITGAV
Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	Hs.643813	ITGB1
Integrin beta 1 binding protein 3	Hs.135458	ITGB1BP3
Integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)	Hs.375957	ITGB2
Integrin beta 3 binding protein (beta3-endonexin)	Hs.166539	ITGB3BP
Integrin beta 4 binding protein	Hs.654848	ITGB4BP
Integrin, beta 5	Hs.536663	ITGB5
Integrin, beta 7	Hs.654470	ITGB7
Integrin, beta 8	Hs.592171	ITGB8
Integrin, beta-like 1 (with EGF-like repeat domains)	Hs.658330	ITGBL1
Junctional adhesion molecule 2	Hs.517227	JAM2
Laminin, alpha 2 (merosin, congenital muscular dystrophy)	Hs.200841	LAMA2
Laminin, alpha 3	Hs.436367	LAMA3
Laminin, alpha 4	Hs.654572	LAMA4
Laminin, alpha 5	Hs.473256	LAMA5
Laminin, beta 1	Hs.650585	LAMB1
Laminin, beta 2 (laminin S)	Hs.439726	LAMB2
Laminin, beta 3	Hs.497636	LAMB3
Laminin, gamma 1 (formerly LAMB2)	Hs.609663	LAMC1
Laminin, gamma 2	Hs.591484	LAMC2
Leucine proline-enriched proteoglycan (leprecan) 1	Hs.437656	LEPRE1
Leucine rich repeat and fibronectin type III domain containing 3	Hs.143792	LRFN3
Leucine rich repeat and fibronectin type III domain containing 4	Hs.209979	LRFN4
Leucine rich repeat and fibronectin type III domain containing 5	Hs.136893	LRFN5
Mucosal vascular addressin cell adhesion molecule 1	Hs.102598	MADCAM1
Macrophage receptor with collagenous structure	Hs.67726	MARCO
Mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	Hs.89983	MASP1
Matrilin 1, cartilage matrix protein	Hs.150366	MATN1
Membrane-bound transcription factor peptidase, site 1	Hs.75890	MBTPS1
Melanoma cell adhesion molecule	Hs.599039	MCAM
Matrix Gla protein	Hs.365706	MGP
Matrix metallopeptidase 1 (interstitial collagenase)	Hs.83169	MMP1
Matrix metallopeptidase 10 (stromelysin 2)	Hs.2258	MMP10
Matrix metallopeptidase 11 (stromelysin 3)	Hs.143751	MMP11
Matrix metallopeptidase 12 (macrophage elastase)	Hs.1695	MMP12
Matrix metallopeptidase 13 (collagenase 3)	Hs.2936	MMP13
Matrix metallopeptidase 14 (membrane-inserted)	Hs.2399	MMP14
Matrix metallopeptidase 15 (membrane-inserted)	Hs.80343	MMP15
Matrix metallopeptidase 16 (membrane-inserted)	Hs.546267	MMP16
Matrix metallopeptidase 17 (membrane-inserted)	Hs.159581	MMP17
Matrix metallopeptidase 19	Hs.591033	MMP19
Matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	Hs.513617	MMP2
Matrix metallopeptidase 21	Hs.314141	MMP21
Matrix metallopeptidase 23B	Hs.192316	MMP23B
Matrix metallopeptidase 24 (membrane-inserted)	Hs.567417	MMP24
Matrix metallopeptidase 25	Hs.654979	MMP25
Matrix metallopeptidase 27	Hs.534479	MMP27
Matrix metallopeptidase 28	Hs.380710	MMP28
Matrix metallopeptidase 3 (stromelysin 1, progelatinase)	Hs.375129	MMP3
Matrix metallopeptidase 7 (matrilysin, uterine)	Hs.2256	MMP7
Matrix metallopeptidase 8 (neutrophil collagenase)	Hs.161839	MMP8
Matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)	Hs.297413	MMP9
Napsin B aspartic peptidase pseudogene	Hs.636624	NAPSB
Opioid binding protein/cell adhesion molecule-like	Hs.4817	OPCML
Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	Hs.500047	P4HA1
Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	Hs.519568	P4HA2
Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III	Hs.660541	P4HA3
Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide	Hs.464336	P4HB
Piccolo (presynaptic cytomatrix protein)	Hs.12376	PCLO
Procollagen C-endopeptidase enhancer	Hs.202097	PCOLCE
Procollagen (type III) N-endopeptidase	Hs.589427	PCOLN3
Platelet/endothelial cell adhesion molecule (CD31 antigen)	Hs.514412	PECAM1
Pelota homolog (Drosophila)	Hs.644352	PELO
Peptidase inhibitor 15	Hs.98558	PI15
Peptidase inhibitor 16	Hs.25391	PI16
Peptidase inhibitor 3, skin-derived (SKALP)	Hs.112341	PI3
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	Hs.477866	PLOD2
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	Hs.153357	PLOD3
Proteoglycan 2, bone marrow (NK cell activator, eosinophil granule major basic protein)	Hs.512633	PRG2
Proteoglycan 3	Hs.251386	PRG3
Protease, serine, 12 (neurotrypsin, motopsin)	Hs.654823	PRSS12
Protease, serine, 16 (thymus)	Hs.274407	PRSS16
Protease, serine, 21 (testisin)	Hs.72026	PRSS21
Protease, serine, 22	Hs.459709	PRSS22
Protease, serine, 23	Hs.25338	PRSS23
Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	Hs.180062	PSMB8
Putative neuronal cell adhesion molecule	Hs.567396	PUNC
RCE1 homolog, prenyl protein peptidase (S. cerevisiae)	Hs.654972	RCE1
SATB homeobox 1	Hs.517717	SATB1
Syndecan 2	Hs.1501	SDC2
Stromal cell-derived factor 2	Hs.514036	SDF2
Selectin L (lymphocyte adhesion molecule 1)	Hs.82848	SELL
SUMO1/sentrin specific peptidase 1	Hs.371957	SENP1
SUMO1/sentrin/SMT3 specific peptidase 3	Hs.513926	SENP3
SUMO1/sentrin specific peptidase 6	Hs.485784	SENP6
Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 10	Hs.118620	SERPINA10
Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	Hs.534293	SERPINA3
Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	Hs.510334	SERPINA5
Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 6	Hs.532635	SERPINA6
Serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7	Hs.76838	SERPINA7
Serpin peptidase inhibitor, clade H (heat shock protein 47), member 1	Hs.596449	SERPINH1
Secretory leukocyte peptidase inhibitor	Hs.517070	SLPI
SPARC related modular calcium binding 2	Hs.487200	SMOC2
Secreted protein, acidic, cysteine-rich (osteonectin)	Hs.111779	SPARC
SPARC-like 1 (mast9, hevin)	Hs.62886	SPARCL1
Serine peptidase inhibitor, Kazal type 4	Hs.555934	SPINK4
Serine peptidase inhibitor, Kazal type 5	Hs.331555	SPINK5
Serine peptidase inhibitor, Kunitz type 1	Hs.233950	SPINT1
Serine peptidase inhibitor, Kunitz type, 2	Hs.31439	SPINT2
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	Hs.523009	SPOCK2
Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3	Hs.481133	SPOCK3
Spondin 1, extracellular matrix protein	Hs.654637	SPON1
Spondin 2, extracellular matrix protein	Hs.302963	SPON2
Signal peptide peptidase-like 2A	Hs.401537	SPPL2A
Serine/arginine repetitive matrix 1	Hs.18192	SRRM1
Serine/arginine repetitive matrix 2	Hs.433343	SRRM2
Stromal antigen 1	Hs.412586	STAG1
Stromal antigen 3	Hs.592283	STAG3
Stromal interaction molecule 1	Hs.501735	STIM1
Stromal interaction molecule 2	Hs.135763	STIM2
Testicular cell adhesion molecule 1 homolog (mouse)	Hs.629177	TCAM1
TIMP metallopeptidase inhibitor 1	Hs.522632	TIMP1
Transmembrane protease, serine 2	Hs.439309	TMPRSS2
Transmembrane protease, serine 4	Hs.161985	TMPRSS4
Tenascin C (hexabrachion)	Hs.143250	TNC
Tenascin R (restrictin, janusin)	Hs.659864	TNR
Tenascin XB	Hs.485104	TNXB
Testes-specific protease 50	Hs.120365	TSP50
Vascular cell adhesion molecule 1	Hs.109225	VCAM1
Vitronectin	Hs.2257	VTN
Von Willebrand factor	Hs.440848	VWF
