# PMID: 12829800
# Description: 553 Genes
# URL: http://genome-www.stanford.edu/breast_cancer/robustness/data/IntrinsicGeneList.txt
# Filename: 12829800-IntrinsicGeneList
CLONEID	NAME
IMAGE:298134	FZD1 frizzled homolog 1 (Drosophila) Hs.94234 N70776
IMAGE:141726	ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor [Homo sapiens] [H.sapiens] Hs.269392 R69584
IMAGE:324901	WNT5A wingless-type MMTV integration site family, member 5A Hs.152213 W49672
IMAGE:810057	CSDA cold shock domain protein A Hs.198726 AA455300
IMAGE:265060	KIT v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog Hs.81665 N20798
IMAGE:324510	FLJ21069 hypothetical protein FLJ21069 Hs.341806 AA284277
IMAGE:156473	EPHX2 epoxide hydrolase 2, cytoplasmic Hs.113 R73524
IMAGE:491415	JAM1 junctional adhesion molecule 1 Hs.12284 AA150422
IMAGE:264162	HSPC157 HSPC157 protein Hs.279842 N20480
IMAGE:203008	FLJ10956 hypothetical protein FLJ10956 Hs.144407 H54262
IMAGE:201757	PAPSS2 3'-phosphoadenosine 5'-phosphosulfate synthase 2 Hs.274230 R99758
IMAGE:324664	SLC9A7 solute carrier family 9 (sodium/hydrogen exchanger), isoform 7 Hs.154353 W47115
IMAGE:592243	TCN1 transcobalamin I (vitamin B12 binding protein, R binder family) Hs.2012 AA155640
IMAGE:788421	MADH4 MAD, mothers against decapentaplegic homolog 4 (Drosophila) Hs.75862 AA456439
IMAGE:810459	FZD8 frizzled homolog 8 (Drosophila) Hs.302634 AA457138
IMAGE:856519	ALDH3A2 aldehyde dehydrogenase 3 family, member A2 Hs.159608 AA633569
IMAGE:150361	IGF1R insulin-like growth factor 1 receptor Hs.239176 H00849
IMAGE:325070	LXN latexin protein Hs.109276 W46976
IMAGE:796398	ZIM2 zinc finger, imprinted 2 Hs.201776 AA459941
IMAGE:773724	FADD Fas (TNFRSF6)-associated via death domain Hs.86131 AA430751
IMAGE:823876	PPP2CB protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform Hs.80350 AA490473
IMAGE:770192	LGALS9 lectin, galactoside-binding, soluble, 9 (galectin 9) Hs.81337 AA434102
IMAGE:811024	BST2 bone marrow stromal cell antigen 2 Hs.118110 AA485371
IMAGE:815542	MX1 myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse) Hs.76391 AA456886
IMAGE:782513	G1P3 interferon, alpha-inducible protein (clone IFI-6-16) Hs.265827 AA432030
IMAGE:753587	BTN3A3 butyrophilin, subfamily 3, member A3 Hs.167741 AA478585
IMAGE:841340	TAP1 transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) Hs.352018 AA487429
IMAGE:611443	MB myoglobin Hs.118836 AA176581
IMAGE:68977	PSMB10 proteasome (prosome, macropain) subunit, beta type, 10 Hs.9661 T53775
IMAGE:268736	PLSCR1 phospholipid scramblase 1 Hs.198282 N25945
IMAGE:291097	FKBP11 FK506 binding protein 11, 19 kDa Hs.24048 N72137
IMAGE:471196	ITM3 integral membrane protein 3 Hs.111577 AA034213
IMAGE:789369	ID4 inhibitor of DNA binding 4, dominant negative helix-loop-helix protein Hs.34853 AA453341
IMAGE:66560	IGL@ immunoglobulin lambda locus Hs.181125 T67053
IMAGE:344134	IGLL1 immunoglobulin lambda-like polypeptide 1 Hs.348935 W73587
IMAGE:768497	CCL18 chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated) Hs.16530 AA425047
IMAGE:299679	PSPHL phosphoserine phosphatase-like Hs.76845 N75028
IMAGE:247925	DRIM down-regulated in metastasis Hs.178614 N58318
IMAGE:587388	LIPH lipase, member H Hs.68864 AA132858
IMAGE:430235	H2BFQ H2B histone family, member Q Hs.2178 AA010223
IMAGE:66317	H1F2 H1 histone family, member 2 Hs.7644 T66815
IMAGE:268178	CANX calnexin Hs.155560 N30157
IMAGE:83297	FZD6 frizzled homolog 6 (Drosophila) Hs.114218 T68333
IMAGE:826459	PPP6C protein phosphatase 6, catalytic subunit Hs.80324 AA521083
IMAGE:503682	C9orf12 chromosome 9 open reading frame 12 Hs.16603 AA129973
IMAGE:842851	DKFZP564L2423 hypothetical protein DKFZp564L2423 Hs.18627 AA486290
IMAGE:32517	FLJ10509 hypothetical protein FLJ10509 Hs.274319 R18902
IMAGE:363086	AA019332
IMAGE:810891	LAMA5 laminin, alpha 5 Hs.11669 AA459289
IMAGE:884641	ARFRP1 ADP-ribosylation factor related protein 1 Hs.244367 AA629904
IMAGE:162479	ELF3 E74-like factor 3 (ets domain transcription factor, epithelial-specific ) Hs.166096 H27938
IMAGE:123614	C20orf55 chromosome 20 open reading frame 55 Hs.19002 R00846
IMAGE:809815	ENTPD6 ectonucleoside triphosphate diphosphohydrolase 6 (putative function) Hs.12330 AA455523
IMAGE:194161	MGC20576 hypothetical protein MGC20576 Hs.374303 H50993
IMAGE:491565	CITED2 Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 Hs.82071 AA115076
IMAGE:809488	RAI17 retinoic acid induced 17 Hs.7252 AA443116
IMAGE:840158	HK1 hexokinase 1 Hs.118625 AA485271
IMAGE:364209	ANK3 ankyrin 3, node of Ranvier (ankyrin G) Hs.75893 AA021558
IMAGE:203003	NME4 non-metastatic cells 4, protein expressed in Hs.9235 H54417
IMAGE:839566	RANBP6 RAN binding protein 6 Hs.167496 AA489790
IMAGE:502977	LIG3 ligase III, DNA, ATP-dependent Hs.100299 AA149292
IMAGE:108422	SH3YL1 likely ortholog of mouse Sh3 domain YSC-like 1 Hs.25213 T77847
IMAGE:843134	PBP prostatic binding protein Hs.80423 AA485909
IMAGE:377051	LOC91689 hypothetical gene supported by AL449243 Hs.306083 AA047785
IMAGE:753917	TM9SF2 transmembrane 9 superfamily member 2 Hs.28757 AA479100
IMAGE:502428	CLN5 ceroid-lipofuscinosis, neuronal 5 Hs.30213 AA156959
IMAGE:753285	GYG glycogenin Hs.174071 AA411678
IMAGE:770391	POLR2C polymerase (RNA) II (DNA directed) polypeptide C, 33kDa Hs.79402 AA427495
IMAGE:767798	ATOX1 ATX1 antioxidant protein 1 homolog (yeast) Hs.279910 AA418694
IMAGE:739109	AP2S1 adaptor-related protein complex 2, sigma 1 subunit Hs.119591 AA421518
IMAGE:356992	HSPC023 HSPC023 protein Hs.279945 W92963
IMAGE:810725	ATP6V0B ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c'' Hs.7476 AA457717
IMAGE:68636	MGC2477 hypothetical protein MGC2477 Hs.9061 T49801
IMAGE:78869	ADRM1 adhesion regulating molecule 1 Hs.90107 T46897
IMAGE:511428	FXYD3 FXYD domain containing ion transport regulator 3 Hs.301350 AA126009
IMAGE:251019	CDH1 cadherin 1, type 1, E-cadherin (epithelial) Hs.194657 H97778
IMAGE:416386	W86859
IMAGE:513077	NQO1 NAD(P)H dehydrogenase, quinone 1 Hs.80706 AA062638
IMAGE:813387	NQO1 NAD(P)H dehydrogenase, quinone 1 Hs.80706 AA455538
IMAGE:82874	LOC51189 ATPase inhibitor precursor Hs.241336 T69273
IMAGE:950688	ATP6V1G1 ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G isoform 1 Hs.90336 AA608567
IMAGE:250667	RAB9A RAB9A, member RAS oncogene family Hs.330994 H98534
IMAGE:71672	ETFA electron-transfer-flavoprotein, alpha polypeptide (glutaric aciduria II) Hs.169919 T57919
IMAGE:784744	MPHOSPH6 M-phase phosphoprotein 6 Hs.152720 AA478524
IMAGE:343607	LOC55829 AD-015 protein Hs.32148 W69583
IMAGE:825451	P115 vesicle docking protein p115 Hs.325948 AA504342
IMAGE:591465	KIAA0233 KIAA0233 gene product Hs.79077 AA160695
IMAGE:841470	CTSH cathepsin H Hs.288181 AA487231
IMAGE:743114	HSPBP1 hsp70-interacting protein Hs.53066 AA401391
IMAGE:234237	PIR Pirin Hs.279663 H69334
IMAGE:503639	MGC2628 hypothetical protein MGC2628 Hs.171637 AA133665
IMAGE:342211	LOC129642 hypothetical protein BC016005 Hs.356547 W63789
IMAGE:897770	AA598508
IMAGE:455123	KIAA0429 KIAA0429 gene product Hs.77694 AA676805
IMAGE:796198	EFNB2 ephrin-B2 Hs.30942 AA461108
IMAGE:1031045	SLC4A3 solute carrier family 4, anion exchanger, member 3 Hs.1176 AA609880
IMAGE:43884	PPIF peptidylprolyl isomerase F (cyclophilin F) Hs.173125 H05115
IMAGE:741474	GPI glucose phosphate isomerase Hs.279789 AA401111
IMAGE:204335	CD24 CD24 antigen (small cell lung carcinoma cluster 4 antigen) Hs.286124 H59915
IMAGE:784589	MMP15 matrix metalloproteinase 15 (membrane-inserted) Hs.80343 AA443300
IMAGE:77728	SLC20A2 solute carrier family 20 (phosphate transporter), member 2 Hs.347527 T55870
IMAGE:137581	CTL2 CTL2 gene Hs.105509 R39578
IMAGE:293950	PIP5K1A phosphatidylinositol-4-phosphate 5-kinase, type I, alpha Hs.149255 N64014
IMAGE:147447	JAM1 junctional adhesion molecule 1 Hs.12284 R81173
IMAGE:856454	SLC3A2 solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 Hs.79748 AA630794
IMAGE:787857	STX5A syntaxin 5A Hs.302300 AA452148
IMAGE:809609	FLJ20452 hypothetical protein FLJ20452 Hs.351327 AA458486
IMAGE:625234	KDELR3 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3 Hs.250696 AA181085
IMAGE:486787	CNN3 calponin 3, acidic Hs.194662 AA043227
IMAGE:826135	STK38 serine/threonine kinase 38 Hs.8724 AA521346
IMAGE:757383	DKFZP434L0718 hypothetical protein DKFZp434L0718 Hs.59236 AA437140
IMAGE:773233	DATF1 death associated transcription factor 1 Hs.155313 AA425259
IMAGE:813751	SIAT4C sialyltransferase 4C (beta-galactosidase alpha-2,3-sialytransferase) Hs.75268 AA453813
IMAGE:80221	CPA3 carboxypeptidase A3 (mast cell) Hs.646 T64223
IMAGE:809694	CRABP1 cellular retinoic acid binding protein 1 Hs.346950 AA454702
IMAGE:248261	GLDC glycine dehydrogenase (decarboxylating; glycine decarboxylase, glycine cleavage system protein P) Hs.380791 N58494
IMAGE:490361	SDC2 syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan) Hs.1501 AA122056
IMAGE:136235	GSTP1 glutathione S-transferase pi Hs.226795 R33642
IMAGE:809557	MCM3 MCM3 minichromosome maintenance deficient 3 (S. cerevisiae) Hs.179565 AA455786
IMAGE:263013	PLOD2 procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2 Hs.41270 H99816
IMAGE:771323	PLOD procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase, Ehlers-Danlos syndrome type VI) Hs.75093 AA476240
IMAGE:142788	SERPINH2 serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 2 Hs.9930 R71093
IMAGE:813742	PTK7 PTK7 protein tyrosine kinase 7 Hs.90572 AA453789
IMAGE:155716	NRG1 neuregulin 1 Hs.172816 R72075
IMAGE:855800	PREP prolyl endopeptidase Hs.86978 AA664056
IMAGE:256260	RFC3 replication factor C (activator 1) 3, 38kDa Hs.115474 H94617
IMAGE:759164	NEK4 NIMA (never in mitosis gene a)-related kinase 4 Hs.1087 AA442692
IMAGE:66686	RPL10 ribosomal protein L10 Hs.29797 T67270
IMAGE:826166	HRIHFB2206 HRIHFB2206 protein Hs.82508 AA521422
IMAGE:80915	SDHA succinate dehydrogenase complex, subunit A, flavoprotein (Fp) Hs.469 T70043
IMAGE:811020	LOC157378 hypothetical protein BC017881 Hs.187646 AA485369
IMAGE:795685	PNAS-131 hypothetical protein PNAS-131 Hs.37883 AA459936
IMAGE:782164	MDS029 uncharacterized hematopoietic stem/progenitor cells protein MDS029 Hs.43549 AA431199
IMAGE:460673	HEAB ATP/GTP-binding protein Hs.87465 AA700336
IMAGE:687397	ABCD3 ATP-binding cassette, sub-family D (ALD), member 3 Hs.76781 AA234671
IMAGE:813280	ADSL adenylosuccinate lyase Hs.75527 AA455931
IMAGE:246304	BTG3 BTG family, member 3 Hs.77311 N52496
IMAGE:487373	ATP5G1 ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1 Hs.80986 AA046489
IMAGE:784830	D123 D123 gene product Hs.82043 AA448289
IMAGE:841338	PRNPIP prion protein interacting protein Hs.151032 AA487428
IMAGE:22918	EBNA1BP2 EBNA1 binding protein 2 Hs.346868 R45255
IMAGE:949932	NSEP1 nuclease sensitive element binding protein 1 Hs.74497 AA599175
IMAGE:809588	GGH gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase) Hs.78619 AA455800
IMAGE:949988	LC27 putative integral membrane transporter Hs.296398 AA600214
IMAGE:429959	LC27 putative integral membrane transporter Hs.296398 AA033947
IMAGE:795543	PRDX4 peroxiredoxin 4 Hs.83383 AA459663
IMAGE:261393	HSPC163 HSPC163 protein Hs.108854 H98963
IMAGE:884655	GARS glycyl-tRNA synthetase Hs.293885 AA629909
IMAGE:32231	FLJ12442 hypothetical protein FLJ12442 Hs.84753 R17469
IMAGE:840788	TMSB10 thymosin, beta 10 Hs.76293 AA486085
IMAGE:745214	KDELR2 KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2 Hs.372755 AA626867
IMAGE:248256	KIAA1691 KIAA1691 protein Hs.94761 N58487
IMAGE:257197	NRBF-2 nuclear receptor binding factor-2 Hs.27181 N30573
IMAGE:68950	CCNE1 cyclin E1 Hs.9700 T54121
IMAGE:144881	CALU calumenin Hs.7753 R78585
IMAGE:587992	LANP-L lecuine-rich acidic protein-like protein Hs.71331 AA130595
IMAGE:767817	POLR2F polymerase (RNA) II (DNA directed) polypeptide F Hs.46405 AA418689
IMAGE:124781	SQLE squalene epoxidase Hs.71465 R01118
IMAGE:756595	S100A10 S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11)) Hs.119301 AA444051
IMAGE:73702	T54544
IMAGE:121551	LAD1 ladinin 1 Hs.18141 T97710
IMAGE:773137	STK24 serine/threonine kinase 24 (STE20 homolog, yeast) Hs.168913 AA425401
IMAGE:487861	MAFG v-maf musculoaponeurotic fibrosarcoma oncogene homolog G (avian) Hs.252229 AA045436
IMAGE:46182	CTPS CTP synthase Hs.251871 H09613
IMAGE:306771	TMSNB thymosin, beta, identified in neuroblastoma cells Hs.56145 N91887
IMAGE:841093	CUL1 cullin 1 Hs.14541 AA486790
IMAGE:212198	TP53BP2 tumor protein p53 binding protein, 2 Hs.44585 H69077
IMAGE:711552	CBR1 carbonyl reductase 1 Hs.88778 AA280846
IMAGE:204257	ADAM9 a disintegrin and metalloproteinase domain 9 (meltrin gamma) Hs.2442 H59230
IMAGE:144932	CDK2AP1 CDK2-associated protein 1 Hs.3436 R78607
IMAGE:146123	PTPRK protein tyrosine phosphatase, receptor type, K Hs.79005 R78776
IMAGE:810612	S100A11 S100 calcium binding protein A11 (calgizzarin) Hs.256290 AA464731
IMAGE:300289	KIP2 DNA-dependent protein kinase catalytic subunit-interacting protein 2 Hs.129867 N79761
IMAGE:290597	KIAA1971 similar to junction-mediating and regulatory protein p300 JMY Hs.203418 N71692
IMAGE:324210	SR-BP1 type I sigma receptor Hs.24447 W47484
IMAGE:302292	EXT2 exostoses (multiple) 2 Hs.75334 N78831
IMAGE:248849	FLJ10697 hypothetical protein FLJ10697 Hs.380730 H80748
IMAGE:470781	Homo sapiens cDNA FLJ31360 fis, clone MESAN2000572 Hs.180059 AA031989
IMAGE:415064	Homo sapiens cDNA FLJ14761 fis, clone NT2RP3003302 Hs.250848 W93120
IMAGE:323238	CXCL1 chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) Hs.789 W42723
IMAGE:773301	CDH3 cadherin 3, type 1, P-cadherin (placental) Hs.2877 AA425217
IMAGE:366950	SLPI secretory leukocyte protease inhibitor (antileukoproteinase) Hs.251754 AA026192
IMAGE:460666	TONDU TONDU Hs.9030 AA700322
IMAGE:563598	GABRP gamma-aminobutyric acid (GABA) A receptor, pi Hs.70725 AA101225
IMAGE:666879	ANXA8 annexin A8 Hs.87268 AA235002
IMAGE:592540	KRT5 keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types) Hs.195850 AA160507
IMAGE:377275	TRIM29 tripartite motif-containing 29 Hs.82237 AA055485
IMAGE:366889	KRT17 keratin 17 Hs.2785 AA026100
IMAGE:488017	MFGE8 milk fat globule-EGF factor 8 protein Hs.3745 AA054753
IMAGE:785744	ZDHHC5 zinc finger, DHHC domain containing 5 Hs.27239 AA448941
IMAGE:140574	CX3CL1 chemokine (C-X3-C motif) ligand 1 Hs.80420 R66139
IMAGE:298122	FZD7 frizzled homolog 7 (Drosophila) Hs.173859 N69049
IMAGE:253733	Homo sapiens cDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene Hs.284186 N22552
IMAGE:854338	CHI3L2 chitinase 3-like 2 Hs.154138 AA668821
IMAGE:544639	ESTs Hs.95612 AA074677
IMAGE:810603	FLJ14525 hypothetical protein FLJ14525 Hs.26812 AA464028
IMAGE:487722	B3GNT5 UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 Hs.136414 AA043551
IMAGE:358885	Homo sapiens cDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene Hs.284186 W94629
IMAGE:625623	SLC5A6 solute carrier family 5 (sodium-dependent vitamin transporter), member 6 Hs.321579 AA186605
IMAGE:814260	FVT1 follicular lymphoma variant translocation 1 Hs.74050 AA458992
IMAGE:302933	FLJ22678 hypothetical protein FLJ22678 Hs.7718 N90109
IMAGE:81289	ACTG2 actin, gamma 2, smooth muscle, enteric Hs.378774 T60048
IMAGE:841203	VCL vinculin Hs.75350 AA486727
IMAGE:784109	SGCE sarcoglycan, epsilon Hs.110708 AA432066
IMAGE:270505	MMP14 matrix metalloproteinase 14 (membrane-inserted) Hs.2399 N33214
IMAGE:460403	LAMC2 laminin, gamma 2 Hs.54451 AA677534
IMAGE:208001	CD59 CD59 antigen p18-20 (antigen identified by monoclonal antibodies 16.3A5, EJ16, EJ30, EL32 and G344) Hs.278573 H60548
IMAGE:223350	CP ceruloplasmin (ferroxidase) Hs.296634 H86554
IMAGE:504207	RCL putative c-Myc-responsive Hs.109752 AA132086
IMAGE:238907	CABC1 chaperone, ABC1 activity of bc1 complex like (S. pombe) Hs.273186 H67202
IMAGE:743220	FLJ12517 hypothetical protein FLJ12517 Hs.184343 AA400122
IMAGE:897956	PRAME preferentially expressed antigen in melanoma Hs.30743 AA598817
IMAGE:125722	DGUOK deoxyguanosine kinase Hs.77494 R07506
IMAGE:669443	HSF2 heat shock transcription factor 2 Hs.158195 AA250730
IMAGE:278242	PDK3 pyruvate dehydrogenase kinase, isoenzyme 3 Hs.193124 N63567
IMAGE:898262	UBE1 ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing) Hs.2055 AA598670
IMAGE:194804	PITPN phosphotidylinositol transfer protein Hs.79709 R89807
IMAGE:815534	ICAP-1A integrin cytoplasmic domain-associated protein 1 Hs.173274 AA456882
IMAGE:124447	BRP17 likely ortholog of mouse brain protein 17 Hs.375161 R01094
IMAGE:288896	KCNK1 potassium channel, subfamily K, member 1 Hs.79351 N62620
IMAGE:148225	GALNT3 UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) Hs.278611 H13688
IMAGE:359835	SAT spermidine/spermine N1-acetyltransferase Hs.28491 AA010811
IMAGE:258790	CCK cholecystokinin Hs.80247 N30191
IMAGE:812105	AF1Q ALL1-fused gene from chromosome 1q Hs.75823 AA456008
IMAGE:202535	MT1G metallothionein 1G Hs.334409 H53339
IMAGE:297392	MT1L metallothionein 1L Hs.380778 N80129
IMAGE:247117	AGXT alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase) Hs.144567 N57872
IMAGE:345626	FABP7 fatty acid binding protein 7, brain Hs.26770 W72051
IMAGE:307119	ESTs Hs.356545 N93715
IMAGE:897546	PEMT phosphatidylethanolamine N-methyltransferase Hs.15192 AA489583
IMAGE:809657	Homo sapiens cDNA FLJ31373 fis, clone NB9N42000342 Hs.281434 AA454682
IMAGE:245296	RAD52 RAD52 homolog (S. cerevisiae) Hs.89571 N53449
IMAGE:810519	MGC3207 hypothetical protein MGC3207 Hs.372737 AA464543
IMAGE:503335	FLJ11196 hypothetical protein FLJ11196 Hs.6166 AA130193
IMAGE:768443	MGST1 microsomal glutathione S-transferase 1 Hs.355733 AA495935
IMAGE:145503	CDKN2D cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) Hs.29656 R77517
IMAGE:45376	ACAA2 acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase) Hs.356176 H07926
IMAGE:262932	MGC29654 hypothetical protein MGC29654 Hs.353192 H99699
IMAGE:795582	BRP44l brain protein 44-like Hs.108725 AA459690
IMAGE:321488	CDC42EP4 CDC42 effector protein (Rho GTPase binding) 4 Hs.3903 W32509
IMAGE:140100	LOC55862 uncharacterized hypothalamus protein HCDASE Hs.239218 R65792
IMAGE:81129	MYH9 myosin, heavy polypeptide 9, non-muscle Hs.146550 T69926
IMAGE:52096	PDGFRA platelet-derived growth factor receptor, alpha polypeptide Hs.74615 H23235
IMAGE:375834	LOX lysyl oxidase Hs.102267 AA037732
