Gene name [symbol] 	GenBank accession number 	Gene ontology 	"Fold change:  4h, 24h "	In vivo expression (reference) 	Genes up-regulated by E2 
"Platelet-derived growth factor receptor, beta polypeptide [PDGFRB]"	M21616 	"Nucleotide binding, platelet activating factor receptor activity, platelet-derived growth factor receptor activity, signal transduction, transmembrane receptor protein tyrosine kinase signaling pathway, regulation of peptidyl-tyrosine phosphorylation    "	"5.27, 5.59 "	+(29) 	Genes up-regulated by E2 D P 
Fibrinogen alpha chain [FGA] 	NM_000508 	"Receptor binding signal transduction blood pressure regulationpositive regulation of cell proliferation, platelet activation, protein polymerization "	"4.86, 5.26 "	-(49) 	Genes up-regulated by E2 D P 
Interleukin-15 [IL15] 	AF031167 	"Cell-cell signaling, immune response, positive regulation of cell proliferation, signal transduction "	"4.50, 4.31 "	+(6) 	Genes up-regulated by E2 D P 
Chemokine (C-X-C motif) ligand 9 [CXCL9] 	X72755 	"Chemokine activity, chemotaxis, inflammatory response, immune response, cellular defense response, signal transduction "	"4.27, 4.11 "	+(13) 	Genes up-regulated by E2 D P 
Mitogen-activated protein kinase kinase kinase 4 [MAP3K4] 	AF002715 	"Nucleotide binding, magnesium ion binding, protein serine/threonine kinase activity, ATP-binding activation of MAPKK activity, protein amino acid phosphorylation, response to stress, JNK cascade "	"4.13, 3.83 "	+(50) 	Genes up-regulated by E2 D P 
von Willebrand factor [VWF] 	NM_000552 	"Glycoprotein binding, protease binding, integrin binding, collagen binding, immunoglobulin binding, liver development, placenta development, response to wounding, platelet activation, cell-substrate adhesion  "	"3.82, 3.60 "	+(31) 	Genes up-regulated by E2 D P 
Fibroblast growth factor 13 [FGF13] 	NM_004114 	"MAPKKK cascade, signal transduction, cell-cell signaling, nervous system development "	"3.52, 1.75 "	-(51) 	Genes up-regulated by E2 D P 
Natural cytotoxicity triggering 	AJ225109 	"Transmembrane receptor activity, "	"3.69, 3.34 "	-(52) 	Genes up-regulated by E2 D P 
receptor 2 [NCR2] 		"cellular defense response, signal transduction "			Genes up-regulated by E2 D P 
"Actin, gamma pseudogene 4 [ACTGP4] "			"3.65, 3.27 "	-	Genes up-regulated by E2 D P 
Wiskott-Aldrich syndrome (eczema-thrombocytopenia) [WAS] 	AF115548 	"Small GTPase regulator activity, identical protein-binding protein complex assembly, defense response, immune response, blood coagulation, actin polymerization and/or depolymerization"	"3.00, 3.12 "		Genes up-regulated by E2 D P 
"Interleukin 15 receptor, alpha [IL15RA] "	U31628 	"Interleukin receptor activity, protein binding, signal transduction, cell proliferation "	"2.72, 2.85 "	+(6) 	Genes up-regulated by E2 D P 
Natriuretic peptide precursor A [NPPA] 	BC005893 	"Hormone activity, blood pressure regulation, regulation of blood vessel size "	"2.69, 2.56 "		Genes down-regulated by E2 D P 
"Tumor necrosis factor receptor superfamily, member 4 [TNFRSF4]  "	X75962 	"Tumor necrosis factor receptor activity, protein binding, inflammatory response, immune response, cellular defense response, regulation of apoptosis, regulation of protein kinase activity"	"0.06, 0.14 "	-(42) 	Genes down-regulated by E2 D P 
"A-disintegrin and metalloproteinase domain 17 (tumor necrosis factor, alpha, converting enzyme) [ADAM17] "	U92649 	"Metal ion binding, metalloendopeptidase, zinc ion binding "	"0.08, 0.23 "	-(40) 	Genes down-regulated by E2 D P 
WNT1-inducible signaling pathway protein 2 [WISP2] 	AF100780 	"Protein binding, insulin-like growth factor binding, regulation of cell growth, cell adhesion, signal transduction, cell-cell signaling "	"0.14, 0.19 "	-(8) 	Genes down-regulated by E2 D P 
"Sialophorin (leukosialin, CD43) [SPN]  "	J04536 	"Transmembrane receptor activity, protein binding, bacterial binding, response to protozoan, negative regulation of type IV hypersensitivity, chemotaxis, cellular defense response, negative regulation of cell adhesion"	"0.21, 0.29 "	-(43) 	Genes down-regulated by E2 D P 
Desmin [DES] 	AF521879 	"Protein binding, muscle contraction, cytoskeleton organization and biogenesis, regulation of heart contraction "	"0.23, 0.33 "	-(44) 	Genes down-regulated by E2 D P 
v-fos FBJ murine osteosarcoma viral oncogene homolog [FOS] 	K00650 	"DNA binding, sequence-specific DNA binding, protein dimerization activity, DNA methylation regulation of transcription from RNA polymerase II promoter, inflammatory response, nervous system development "	"0.31, 0.38 "	-(45) 	Genes down-regulated by E2 D P 
Twist homolog 1 (acrocephalosyndactyly 3; Saethre-Chotzen syndrome) (Drosophila)[TWIST1]	U80998 	"DNA binding, enzyme inhibitor activity, protein binding, negative regulation of transcription from RNA polymerase II promoter, skeletal development, neuron migration, neural tube closure, regulation of transcription, DNA dependent "	"0.53, 0.26 "		Genes down-regulated by E2 D P 
Folate receptor 1 (adult) [FOLR1] 	J05013 	"GPI anchor binding, receptor-mediated endocytosis, folic acid transport, folic acid metabolic  process "	"0.65, 0.29 "	-(46) 	
