Gene	Accession	Tissue	Function	Fold	Description
LXN	NM_020169	Brain	Others	3	Latexin protein
HBB	M25079	Erythroid cells	Transport	3	Hemoglobin, beta
CD62P	NM_003005	Megakaryocytes/platelets	Others	2.9	Selectin P (granule membrane protein 140 kD, antigen CD62)
HSPF2	NM_005528	Ubiquitous	Metabolism	2.8	DnaJ (Hsp40) homologue, subfamily C, member 4
HH4R	AF312230	Leukocytes	Cell signaling	2.8	Histamine H4 receptor
15PGDH	NM_000860	Ubiquitous	Others	2.8	Hydroxyprostaglandin dehydrogenase 15- (NAD)
CD41B	NM_000419	Platelets	Cell signaling	2.8	Integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)
CAL2	NM_001740	Neuronal	Cell signaling	2.8	Calbindin 2 (29kD, calretinin)
CHN2	AK026415	Neuronal	Cell signaling	2.8	Chimerin (chimaerin) 2
HDC	NM_002112	Monocytes/macrophages	Cell cycle	2.8	Histidine decarboxylase
CD61;GPIIIa	NM_000212	Megakaryocytes/platelets	Cell cycle	2.7	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)
PLCL;PLCL	NM_006226	Ubiquitous	Cell signaling	2.7	Phospholipase C, epsilon
EMT;LYK	D13720	Lymphocytes	Cell signaling	2.7	IL2-inducible T-cell kinase
EMS1	NM_005231	Breast cancer	Cell signaling	2.7	Ems1 sequence (mammary tumor and squamous cell carcinoma-associated (p80/85 src substrate)
SCL;TCL5	NM_003189	Primitive/definitive hematopoietic cells	Transcription	2.6	T-cell acute lymphocytic leukemia 1
TSP1	NM_003246	Platelets	Cell cycle	2.6	Thrombospondin 1
IPL	AF001294	Placenta	Cell cycle	2.6	Tumor-suppressing subtransferable candidate 3
TPM1	Z24727	Muscle	Cytoskeleton	2.6	Tropomyosin 1 (alpha)
FLJ20340	NM_017773	Lymphocytes	Cell signaling	2.6	Hypothetical protein FLJ20340
LOH11CR2A	BC001234	Ubiquitous	Unknown	2.6	Loss of heterozygosity, 11, chromosomal region 2, gene A
ID2	D13891	Ubiquitous	Transcription	2.6	Inhibitor of DNA binding 2, dominant-negative helix-loop-helix protein
GP1B;CD42b	NM_000173	Platelets	Others	2.6	Glycoprotein Ib (platelet), alpha polypeptide
RAGEF	NM_014247	Ubiquitous	Cell signaling	2.5	PDZ domain containing guanine nucleotide exchange factor(GEF)1
RGS2	NM_002923	Ubiquitous	Cell signaling	2.5	Regulator of G-protein signaling 2, 24 kD
GMPR	NM_006877	Unknown	Metabolism	2.5	Guanosine monophosphate reductase
RYR3	NM_001036	Lymphocytes	Cell signaling	2.5	Ryanodine receptor 3
DKFZp564A026	AU150943	Neuronal precursor cells	Unknown	2.4	AU150943 NT2RP2 Homo sapiens cDNA clone NT2RP2003984 3, mRNA sequence
CLIM1;CLP36	BC000915	Heart/skeletal muscle	Others	2.4	PDZ and LIM domain 1 (elfin)
COX1;PGHS1	NM_000962	Platelets	Biosynthesis	2.3	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxy- genase)
TRAF5	NM_004619	Lymphoid cells	Cell signaling	2.3	Tumor necrosis factor receptor-associated factor 5
HEPC;LEAP1	NM_021175	Liver	Metabolism	2.3	Hepcidin antimicrobial peptide
KIAA0808	NM_014729	Thymus	Transcription	2.3	KIAA0808 gene product
KIAA0551	N25621	Unknown	Unknown	2.3	yx78a01.s1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:267816 3, mRNA sequence.
PROS	NM_000313	Plasma	Others	2.2	Protein S (alpha)
KIAA1544	NM_015678	Brain	Transport	2.2	Neurobeachin
EL2	NM_003126	Erythroid cells	Cytoskeleton	2.2	Spectrin, alpha, erythrocytic 1 (elliptocytosis 2)
ABCA1	AF285167	Ubiquitous	Others	2.1	ATP-binding cassette, subfamily A (ABC1), member 1
MSPK1	AF074393	Ubiquitous	Transcription	2.1	Ribosomal protein S6 kinase, 90 kD, polypeptide 5
ECM	NM_007351	Platelets	Transport	2.1	Multimerin
TPM1	M19267	Muscle	Cytoskeleton	2.1	Tropomyosin 1 (alpha)
PRKACB	NM_002731	Ubiquitous	Others	2.1	Protein kinase, cAMP-dependent, catalytic, beta
SLC2A3	NM_006931	Ubiquitous	Transport	2.1	Solute carrier family 2 (facilitated glucose transporter), member 3
FLJ10595	NM_020117	Ubiquitous	Biosynthesis	2.1	Hypothetical protein FLJ10595
CLCN3	NM_001829	Neuronal	Transport	2.1	Chloride channel 3
CD52	NM_001803	Lymphocytes/monocytes	Cell cycle	2.1	CDW52 antigen (CAMPATH-1 antigen)
COX1;PGHS1	S36219	Platelets	Biosynthesis	2	Prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)
HBB	AF349114	Erythroid cells	Transport	2	Hemoglobin, beta
CCCA;EPCR	NM_006404	Endothelial cells	Others	2	Protein C receptor, endothelial (EPCR)
30ST2;3OST2	NM_006043	Brain	Biosynthesis	2	Heparan sulfate (glucosamine) 3-O-sulfo- transferase 2
