Accession number	Fold difference serous vs normals	Fold difference endometrioid component vs normals	Fold difference Sertoli–Leydig vs normals	Gene symbol	Gene name	Function
AA085978	0.5	0.24	2.03	ANAPC1	Anaphase promoting complex sub 1	Cell cycle
N50797	2.59 (P < 0.05)	4.18	3.28	HIST1H2AC	Histone 1, H2ac	Cell cycle
AA598549	0.44 (P < 0.05)	0.25	0.26	SMC2L1	SMC2 structural maintenance of chromosomes 2-like 1	Cell cycle
AA700934	0.49 (P < 0.01)	0.24	0.35	ARHN	Ras homolog gene family, member N	Cell signaling
N29860	2.54 (P < 0.02)	4.74	3.55	CIAO1	WD40 protein Ciao1	Cell signaling
AA434090	2.52 (P < 0.01)	4.26	2.56	FGFRL1/FGFR5	Fibroblast growth factor receptor-like 1	Cell signaling
AA059347	0.35	0.45	0.48	GPNMB	Glycoprotein nmb (transmembrane)	Cell signaling
W72431	0.43	0.38	0.38	GPNMB	Glycoprotein nmb (transmembrane)	Cell signaling
N25619	0.50 (P < 0.02)	0.45	0.46	MAST2	Microtubule associated serine/threonine kinase 2	Cell signaling
AA191433	2.4	5.33	3	MET	Hepatocyte growth factor receptor	Cell signaling
AA135870	2.36	4.95	7	OR51E2/PSGR	Olfactory receptor, family 51, subfamily E, member 2	Cell signaling
N30557	3.06	5.13	2.56	RABGAP1	RAB GTPase activating protein 1	Cell signaling
AA283125	2.39 (P < 0.01)	2.89	3.09	PCTK1	PCTAIRE protein kinase 1	Cell signaling
H23235	0.25 (P < 0.01)	0.41	0.15	PDGFRA	Platelet-derived growth factor receptor alpha	Cell signaling
AA496565	2.09	2.75	2.23	PLXNB1	Plexin B1	Cell signaling
AA454982	0.36 (P < 0.05)	0.23	0.49	PTPDC1	Protein tyrosine phosphatase domain containing 1	Cell signaling
AA464567	0.46	2.38	0.46	REA	Prohibitin 2 (repressor of estrogen receptor activity)	Cell signaling
T50498	2.62 (P < 0.02)	3.14	4.89	SHC1	Src homology 2 domain containing transforming protein 1	Cell signaling
R49144	2.6	2.37	16.82	STK16	Serine/threonine kinase 16	Cell signaling
AA009830	2.04	6.8	12.14	SBNO1	sno, strawberry notch homolog 1	Cell signaling
AA399268	0.45	0.28	0.48	POFUT2	Protein O-fucosyltransferase 2	Cell signaling
AA644550	2.06	4.15	5.57	TOM20	Translocase of outer mitochondrial membrane 20	Cell signaling
AA428182	2.39 (P < 0.02)	4.76	2.82	RABL2B	RAB, member of RAS oncogene family-like 2B	Cell signaling
W35203	0.48 (P < 0.02)	0.4	0.27	GNC5	Guanine nucleotide binding protein (G protein), gamma 5	Cell signaling
T85201	2.08	2.25	2.07	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1	Cell signaling
AA444053	2.01	2.35	3.94	WTIP	WT1-interacting protein	Cell signaling
AA490172	0.46	2.59	0.22	COL1A2	Collagen, type I, alpha 2	Cytoskeleton, extracellular matrix
H90899	2.07	2.38	6.43	DSP	Desmoplakin	Cytoskeleton, extracellular matrix
AA878391	0.50 (P < 0.01)	0.45	0.37	GPC5	Glypican 5	Cytoskeleton, extracellular matrix
AA010182	2.02	4.66	3.37	K6IRS4	Keratin 6 irs4	Cytoskeleton, extracellular matrix
AA598517	2.95 (P < 0.01)	6.8	4.1	KRT8	Keratin 8	Cytoskeleton, extracellular matrix
AA496022	0.48	0.34	0.3	MFAP4	Microfibrillar-associated protein 4	Cytoskeleton, extracellular matrix
AA706870	0.47 (P < 0.01)	0.42	0.26	LGALS13	Galectin-13	Cytoskeleton, extracellular matrix
AA706022	0.48	0.26	0.28	KRT1	Keratin 1	Cytoskeleton, extracellular matrix
AA167589	2.09	5.81	4.3	CDH18	Cadherin 18, type 2	Cytoskeleton, extracellular matrix
H63575	0.41	0.32	9.45	DNCI2	Dynein, cytoplasmic, intermediate polypeptide 2	Cytoskeleton, extracellular matrix
R99471	2.76	5.68	4.49	FRMD4A	FERM domain containing 4A	Cytoskeleton, extracellular matrix
T60117	0.37	0.3	3.47	SPTAN1	Spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	Cytoskeleton, extracellular matrix
AA186686	2.23 (P < 0.02)	2.57	2.83	PTGES2	Prostaglandin E synthase 2	Hormones and enzymes related to their synthesis
AA459705	0.35	0.16	0.46	FSTL5	Follistatin-like 5	Hormones and enzymes related to their synthesis
N51853	0.44	0.2	0.46	ZNF262	Zinc finger protein 262/CDIR	Apoptosis
AA431753	0.46 (P < 0.01)	0.46	0.41	GULP1	Engulfment adaptor PTB domain containing 1 (CED6)	Apoptosis
AA013099	0.49 (P < 0.05)	0.3	0.36	TMED5	Transmembrane emp24 protein transport domain containing 5	Function not clear
AA868278	2.22 (P < 0.05)	9.81	2.05	CRISP2	Cysteine-rich secretory protein 2	Function not clear
AA495991	0.47 (P < 0.01)	0.26	0.37	DPPA4	Developmental pluripotency associated 4	Function not clear
AA021586	0.47	0.33	0.42	FAM13C1	Family with sequence similarity 13, member C1	Function not clear
W80632	0.46	3.12	0.21	PFAAP5	Phosphonoformate immuno-associated protein 5	Function not clear
AA485373	2.01	3.51	3.3	VMP1	Transmembrane protein 49	Function not clear
T52325	2.12	3.37	2.21	TES	Testis derived transcript	Function not clear
R02346	3.09 (P < 0.05)	4.43	3.92	SNRP70	Small nuclear ribonucleoprotein 70kDa polypeptide (RNP antigen)	Function not clear
N70417	2.03	5.36	2.65	FBXO3	F-Box only protein 3	Function not clear
N57848	2.07	2.2	3.66	C20orf121	Chromosome 20 open reading frame 121	Function not clear
AA774724	0.45 (P < 0.01)	0.17	0.38	BM039	Uncharacterized bone marrow protein	Function not clear
AA521453	2.07	2	2.19	FLII	Flightless I homolog	Function not clear
AA052966	3.05 (P < 0.01)	2.95	4.01	FBXO13	F-Box only protein 13	Function not clear
W15487	2.03	6.38	3.48	CXorf34	Chromosome X open reading frame 34	Function not clear
R38944	2.16	4.78	2	AKNRD10	Ankyrin repeat domain 10	Function not clear
H75490	0.44	2.78	0.34	ZCCHC8	CCHC zinc finger domain containing 8	Function not clear
