Agilent accession	Genbank accession	Average fold difference	P (n = 3)	Gene description and symbol
A_51_P405167	NM_001025577	0.243	0.00098	Mus musculus avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homologue (Maf), mRNA [NM_001025577]
A_52_P540219	NM_011594	0.247	8.33E�05	Mus musculus tissue inhibitor of metalloproteinase 2 (Timp2), mRNA [NM_011594]
A_52_P371237	NM_008737	0.263	0.000175	Mus musculus neuropilin 1 (Nrp1), mRNA [NM_008737]
A_51_P510782	NM_130859	0.267	1.27E�07	Mus musculus caspase recruitment domain family, member 10 (Card10), mRNA [NM_130859]
A_52_P332081	NM_177274	0.268	0.0202	Mus musculus neuronal growth regulator 1 (Negr1), mRNA [NM_177274]
A_52_P282058	NM_007739	0.276	0.00077	Mus musculus procollagen, type VIII, 1 (Col8a1), mRNA [NM_007739]
A_52_P306845	NM_007616	0.282	0.001	Mus musculus caveolin, caveolae protein 1 (Cav1), mRNA [NM_007616]
A_51_P322138	NM_024441	0.282	0.0312	Mus musculus heat shock protein 2 (Hspb2), mRNA [NM_024441]
A_51_P280906	NM_013822	0.289	0.00616	Mus musculus jagged 1 (Jag1), mRNA [NM_013822]
A_51_P266683	NM_010107	0.295	3.27E�05	Mus musculus ephrin A1 (Efna1), mRNA [NM_010107]
A_52_P180741	NM_053142	0.315	2.12E�05	Mus musculus protocadherin � 17 (Pcdhb17), mRNA [NM_053142]
A_51_P469433	NM_011659	0.32	0.000148	Mus musculus tumor necrosis factor receptor superfamily, member 4 (Tnfrsf4), mRNA [NM_011659]
A_51_P187121	NM_008127	0.32	0.00033	Mus musculus gap junction membrane channel protein � 4 (Gjb4), mRNA [NM_008127]
A_51_P421418	NM_008293	0.32	0.0491	Mus musculus hydroxysteroid dehydrogenase-1, <5>-3-� (Hsd3b1), mRNA [NM_008293]
A_51_P466229	NM_026840	0.329	1.60E�05	Mus musculus platelet-derived growth factor receptor-like (Pdgfrl), mRNA [NM_026840]
A_51_P323011	AK045005	0.339	0.00394	Mus musculus clone:B130018P07 product: hypothetical CBL proto-oncogene NH2-terminal domain containing protein, full insert sequence. [AK045005]
A_52_P644465	AK050511	0.347	0.00597	Mus musculus clone:C820005J08 product:14-3-3 protein / (protein kinase C inhibitor protein-1; kcip-1; mitochondrial import stimulation factor S1 subunit), full insert...
A_51_P444447	NM_007679	0.358	2.26E�07	Mus musculus CCAAT/enhancer binding protein (C/EBP), (Cebpd), mRNA [NM_007679]
A_52_P430886	NM_010662	0.379	0.0317	Mus musculus keratin complex 1, acidic, gene 13 (Krt1-13), mRNA [NM_010662]
A_51_P449878	AK006128	0.386	0.000404	Mus musculus clone:1700019L09 product: ATP-binding cassette, subfamily C (CFTR/MRP), member 3, full insert sequence. [AK006128]
A_51_P419226	NM_025393	0.391	0.00738	Mus musculus S100 calcium binding protein A14 (S100a14), mRNA [NM_025393]
A_52_P70949	NM_183322	0.401	0.0387	Mus musculus Nur77 downstream gene 1 (Ndg1), mRNA [NM_183322]
A_52_P70381	AK028772	0.408	0.00647	Mus musculus clone:4732455E07 product: mitogen-activated protein kinase kinase (MKK7) mRNA, full insert sequence. [AK028772]
A_52_P174915	NM_010288	0.409	3.64E�05	Mus musculus gap junction membrane channel protein 1 (Gja1), mRNA [NM_010288]
A_51_P220162	NM_008716	0.44	0.00112	Mus musculus Notch gene homologue 3 (Drosophila; Notch3), mRNA [NM_008716]
A_51_P170807	NM_016693	0.441	0.00144	Mus musculus mitogen-activated protein kinase kinase kinase 6 (Map3k6), mRNA [NM_016693]
A_52_P301591	XM_194344	0.451	0.00333	Predicted: mitogen-activated protein kinase kinase kinase 10 [Mus musculus], mRNA sequence [XM_194344]
A_51_P285027	NM_017392	0.46	0.0374	Mus musculus cadherin EGF LAG seven-pass G-type receptor 2 (Celsr2), mRNA [NM_017392]
A_51_P159194	NM_008416	0.462	0.00037	Mus musculus Jun-B oncogene (Junb), mRNA [NM_008416]
A_51_P110301	NM_009778	0.476	1.09E�05	Mus musculus complement component 3 (C3), mRNA [NM_009778]
A_51_P437240	NM_007929	0.479	0.000102	Mus musculus epithelial membrane protein 2 (Emp2), mRNA [NM_007929]
A_52_P229536	AK045226	0.482	9.14E�06	Mus musculus clone:B130049I05 product:CD44 antigen, full insert sequence. [AK045226]
A_51_P312327	NM_022415	0.491	0.00405	Mus musculus prostaglandin E synthase (Ptges), mRNA [NM_022415]
A_51_P184886	NM_011920	2.302	2.92E�06	Mus musculus ATP-binding cassette, subfamily G (white), member 2 (Abcg2), mRNA [NM_011920]
A_52_P106259	NM_207655	2.603	0.000609	Mus musculus epidermal growth factor receptor (Egfr), transcript variant 1, mRNA [NM_207655]
A_51_P214197	NM_133810	2.802	0.000115	Mus musculus serine/threonine kinase 17b (apoptosis-inducing; Stk17b), mRNA [NM_133810]
A_51_P196113	NM_019945	3.79	0.0437	Mus musculus microtubule associated serine/threonine kinase 1 (Mast1), mRNA [NM_019945]
A_52_P220573	NM_009250	3.848	0.0266	Mus musculus serine (or cysteine) proteinase inhibitor, clade I, member 1 (Serpini1), mRNA [NM_009250]
A_51_P497332	NM_008709	5.12	0.0303	Mus musculus neuroblastoma myc-related oncogene 1 (Nmyc1), mRNA [NM_008709]
A_51_P162272	NM_009524	5.247	0.0359	Mus musculus wingless-related MMTV integration site 5A (Wnt5a), mRNA [NM_009524]
A_51_P164530	NM_010210	5.314	0.0151	Mus musculus fragile histidine triad gene (Fhit), mRNA [NM_010210]
A_51_P245895	NM_172632	5.326	0.0251	Mus musculus mitogen-activated protein kinase 4 (Mapk4), mRNA [NM_172632]
A_51_P418375	NM_023844	5.438	0.00283	Mus musculus junction adhesion molecule 2 (Jam2), mRNA [NM_023844]
A_51_P172054	NM_019521	5.502	1.58E�05	Mus musculus growth arrest specific 6 (Gas6), mRNA [NM_019521]
A_51_P343833	NM_009421	5.837	0.0005	Mus musculus Tnf receptor-associated factor 1 (Traf1), mRNA [NM_009421]
A_51_P404193	NM_022435	6.112	0.0148	Mus musculus trans-acting transcription factor 5 (Sp5), mRNA [NM_022435]
A_51_P307840	NM_009978	6.261	0.00198	Mus musculus cystatin 8 (cystatin-related epididymal spermatogenic; Cst8), mRNA [NM_009978]
A_51_P500135	NM_145602	6.444	6.30E�05	Mus musculus N-myc downstream regulated gene 4 (Ndrg4), mRNA [NM_145602]
A_51_P449171	NM_007464	6.462	0.00744	Mus musculus baculoviral IAP repeat-containing 3 (Birc3), mRNA [NM_007464]
A_51_P125355	NM_173740	6.945	4.16E�05	Mus musculus monoamine oxidase A (Maoa), mRNA [NM_173740]
A_51_P497152	NM_013518	7.71	0.0362	Mus musculus fibroblast growth factor 9 (Fgf9), mRNA [NM_013518]
A_52_P132165	NM_053262	8.275	0.00186	Mus musculus dehydrogenase/reductase (SDR family) member 8 (Dhrs8), mRNA [NM_053262]
A_51_P287418	NM_008548	8.991	5.59E�06	Mus musculus mannosidase 1, (Man1a), mRNA [NM_008548]
A_52_P64356	NM_010097	9.349	0.00261	Mus musculus SPARC-like 1 (mast9, hevin; Sparcl1), mRNA [NM_010097]
A_51_P355906	NM_021099	11.97	0.000278	Mus musculus kit oncogene (Kit), mRNA [NM_021099]
A_51_P215849	NM_019508	12.57	0.0048	Mus musculus interleukin 17B (Il17b), mRNA [NM_019508]
A_52_P498241	NM_007670	13.74	0.000219	Mus musculus cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4; Cdkn2b), mRNA [NM_007670]
A_51_P116940	NM_007940	13.74	0.000261	Mus musculus epoxide hydrolase 2, cytoplasmic (Ephx2), mRNA [NM_007940]
A_51_P220278	NM_028392	16.28	0.00976	Mus musculus protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), � isoform (Ppp2r2b), transcript variant 2, mRNA [NM_028392]
A_51_P445562	NM_145142	16.53	0.00506	Mus musculus carbohydrate sulfotransferase 10 (Chst10), mRNA [NM_145142]
A_52_P89064	NM_173745	21.72	0.00855	Mus musculus dual specificity phosphatase 18 (Dusp18), mRNA [NM_173745]
A_51_P506328	NM_010008	25.17	0.013	Mus musculus cytochrome P450, family 2, subfamily j, polypeptide 6 (Cyp2j6), mRNA [NM_010008]
A_51_P376050	NM_029495	40.98	0.000461	Mus musculus epithelial stromal interaction 1 (breast; Epsti1), transcript variant a, mRNA [NM_029495]
A_51_P301394	NM_008179	47.49	0.0023	Mus musculus G1-S phase transition 2 (Gspt2), mRNA [NM_008179]
A_52_P82741	NM_010479	57.03	0.000194	Mus musculus heat shock protein 1A (Hspa1a), mRNA [NM_010479]
A_52_P636948	BC030896	61.84	0.00398	Mus musculus platelet-derived growth factor, D polypeptide, mRNA (cDNA clone MGC:31518 IMAGE:4489485), complete cds [BC030896]
A_51_P369311	NM_015760	63.1	1.13E�06	Mus musculus NADPH oxidase 4 (Nox4), mRNA [NM_015760]
A_51_P353221	NM_011582	64.58	8.35E�06	Mus musculus thrombospondin 4 (Thbs4), mRNA [NM_011582]
A_52_P232637	NM_007857	92.05	0.00968	Mus musculus desert hedgehog (Dhh), mRNA [NM_007857]
