P-value	Common	Genbank	Description
0.0028	DKFZP434B195	AK075560	Hypothetical protein DKFZp434B195
0.0028	SCGB2A1	NM_002407	Secretoglobin, family 2A, member 1
0.00277	GSTA1	S49975	Glutathione S-transferase A1
0.00272	FLJ35773	NM_152599	Hypothetical protein FLJ35773
0.00253	NNMT	BC000234	Nicotinamide N-methyltransferase
0.00252	SAA1	NM_000331	Serum amyloid A1
0.00233	TYMS	BC013919	Thymidylate synthetase
0.00233	UGT2B7	BC030974	UDP glycosyltransferase 2, polypeptide B7
0.00226	KIAA1505	AK056542	KIAA1505 protein
0.00226	SAA2	NM_030754	Serum amyloid A2
0.00202	FLJ30296	NM_173495	Hypothetical protein FLJ30296
0.00195	GPR27	AB040799	G protein-coupled receptor 27
0.00192	LAMA3	L34155	Laminin, · 3
0.00188	NR4A2	BC009288	Nuclear receptor subfamily 4, group A, member 2
0.00188	TMEM14B	BC013913	Transmembrane protein 14B
0.0018	MGC17330	BC011049	HGFL gene
0.0018	PAPLN	NM_173462	Papilin, proteoglycan-like sulfated glycoprotein
0.00168	HEC	BC035617	Highly expressed in cancer
0.00165	F13A1	BC027963	Coagulation factor XIII, A1 polypeptide
0.00165	SCGB1D1	NM_006552	Secretoglobin, family 1D, member 1
0.00155	DF	NM_001928	D component of complement (adipsin)
0.00152		BC035876	cDNA FLJ43911 fis, clone TESTI4010928
0.0015	SELE	M30640	Selectin E
0.00146	NELL2	D83018	NEL-like 2
0.0014	EBI2	BC020752	Epstein-Barr virus induced gene 2
0.00138	DKFZp761P1010	AL353940	Hypothetical protein DKFZp761P1010
0.00135	SSBP1	AF277319	Single-stranded DNA binding protein 1
0.00125	NR4A3	NM_173200	Nuclear receptor subfamily 4, group A, member 3
0.00125	PIK3R3	BC021622	Phosphoinositide-3-kinase, polypeptide 3
0.00106	NR4A1	BC016147	Nuclear receptor 4, group A, member 1
0.00104		BC035925	cDNA clone IMAGE:6150603
0.00101		AK056887	cDNA FLJ32325, clone PROST2003922.
0.000969	HIST1H2BG	NM_003518	Histone 1, H2bg
0.000961	SOCS3	AB004904	Suppressor of cytokine signaling 3
0.000939	GSTP1	BC010915	Glutathione S-transferase pi
0.000935	FLJ12960	NM_024638	Hypothetical protein FLJ12960
0.000935	OSR1	NM_145260	Odd-skipped related 1
0.000917	SOX17	AK025905	SRY (sex determining region Y)-box 17
0.000888	BIRC5	U75285	Survivin
0.000888	HIST1H1EH1F4	M60748	Histone H1 (H1F4) gene
0.000832	HIST1H4C	AY128656	Histone H4 gene
0.000826	HIST1H2BG	NM_003522	Histone 1, H2bg
0.000826	HIST1H4L	NM_003546	Histone 1, H4l
0.000776	CXCL2	NM_002089	Chemokine (C-X-C motif) ligand 2
0.000696	ACAT2	NM_005891	Acetyl-Coenzyme A acetyltransferase 2
0.000692	DOCK5	AK024569	Dedicator of cytokinesis 5
0.000668	E2IG5	NM_014367	Growth and transformation-dependent protein
0.000668	HIST1H1C; H1.2;	X57129	Histone H1, H1.2
0.000668	HSPE1	BC023518	Heat shock 10-kDa protein 1
0.000668	MYCBP	BC008686	c-myc binding protein
0.000668	PLEK	BC018549	Pleckstrin
0.000668	RPGRIP1	NM_020366	Retinitis pigmentosa GTPase interacting protein 1
0.000648	LAMB3	D37766	Laminin, ß 3
0.000626	BEX1	NM_018476	Brain expressed, X-linked 1
0.000626	EYA2	NM_172112	Eyes absent homolog 2 (Drosophila)
0.000626	SLC6A7	AK096607	Solute carrier family 6, member 7
0.000619	C7orf30	BC012331	Chromosome 7 open reading frame 30
0.000603	CDW52	BC000644	CDW52 antigen (CAMPATH-1 antigen)
0.000569	EYA2	NM_172113	Eyes absent homolog 2 (Drosophila)
0.000556	CDCA1	AK093348	Cell division cycle associated 1
0.000556	MGC13057	BC005083	Hypothetical protein MGC13057
0.000547	HBB	BC007075	Hemoglobin, ß
0.000525	CCL2	M24545	Chemokine (C-C motif) ligand 2
0.000525	CDCA7	NM_031942	Cell division cycle associated 7
0.000525	DJ79P11.1	BC015522	X-linked protein
0.000525	HIST1H2BJ	NM_021058	Histone 1, H2bj
0.000525	PRSS2	BC030260	Protease, serine, 2 (trypsin 2)
0.000525	SGNE1	NM_003020	Secretory granule, neuroendocrine protein 1
0.000525	SYCP2	BC040566	Synaptonemal complex protein 2
0.000525	ZNF183	BC000266	Zinc finger protein 183 (RING finger, C3HC4 type)
0.000525			Retired, was Hemoglobin · 1
0.000521	AHCY	BC011606	S-adenosylhomocysteine hydrolase
0.000484	VIP	AY101765	·-2 macroglobulin family protein VIP
0.000468	HIST1H2BD	NM_021063	Histone 1, H2bd
0.000468	SCEL	NM_003843	Sciellin
0.000464	FOLR1	M28099	Folate receptor 1 (adult)
0.000464	LDHB	BC015122	Lactate dehydrogenase B
0.000413	HBA2	BC032122	Hemoglobin, · 2
0.0004	PURB	AY039216	Purine-rich element binding protein B
0.000369	FOSB	NM_006732	FBJ murine osteosarcoma viral oncogene homolog B
0.000333	HIST1H4B	NM_003544	Histone 1, H4b
0.000331	BM039	NM_018455	Bone marrow protein BM039
0.000316	HINT1	BC007090	Histidine triad nucleotide binding protein 1
0.000316	XLKD1	AF118108	Extracellular link domain containing 1
0.000316	ZFP36	M92843	Zinc finger protein 36, C3H type, homolog (mouse)
0.000302	ASRGL1	BC021295	Asparaginase like 1
0.000302	MELK	D79997	Maternal embryonic leucine zipper kinase
0.000302	MRPS17	BC047445	Mitochondrial ribosomal protein S17
0.000291	CKS2	BC006458	CDC28 protein kinase regulatory subunit 2
0.000291	F11R	NM_144504	F11 receptor
0.000266	EGR2	NM_000399	Early growth response 2 (Krox-20 homolog, Drosophila)
0.000266	HIST1H4I	NM_003495	Histone 1, H4i
0.000266	SNRPF	BC002505	Small nuclear ribonucleoprotein polypeptide F
0.000244	Siva	U82938	Human CD27BP (Siva) mRNA, complete cds.
0.000177	TACSTD1	AK026585	Tumor-associated calcium signal transducer 1
0.000177	WAC	BC004258	WW domain-containing, with a coiled-coil region
0.000119	FLJ90586	NM_153345	Hypothetical protein FLJ90586
0.000115	HBG1; HBGA	BC020719	Hemoglobin, Á A
0.000115	POU5F1	Z11898	POU domain, class 5, transcription factor 1
0.000115	RFC5	BC001866	Replication factor C (activator 1) 5
0.00011	HIST1H2BC;	BC009612	Histone 1, H2bc
9,14E-05	ASNS	BC014621	Asparagine synthetase
9,14E-05	BUB1	AF046078	BUB1 budding (yeast)
9,14E-05	PGRMC1	Y12711	Progesterone receptor membrane component 1
9,14E-05	TLE4	AB033087	Transducin-like enhancer of split 4 [E(sp1) homolog, Drosophila]
8,47E-05	AD024	NM_020675	AD024 protein
8,47E-05	GPR49	AF062006	G protein-coupled receptor 49
8,47E-05	H2AV	BC000098	Histone H2A.F/Z variant
3,31E-05	FLJ14627	AK094682	Hypothetical protein FLJ14627
1,28E-05	HIST1H3E; H3.1;	AF531278	histone H3
1,28E-05	PTGDS	AK075333	Prostaglandin D2 synthase 21-kDa (brain)
1,28E-05	RAB38	BC015808	RAB38, member RAS oncogene family
1,28E-05		BC042036	Clone IMAGE:5314816
1,54E-06		NM_152562	Hypothetical protein FLJ25804
