Probe set	Influence	SD	z-score	DMFS	Gene Symbol	Gene Title	Function
204641_at	143.19	40.31	3.55	-	NEK2	NIMA (never in mitosis gene a)-related kinase 2	Protein amino acid phosphorylation
210754_s_at	22.18	6.89	3.22	+	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Protein amino acid phosphorylation
218909_at	6.75	2.1	3.21	-	RPS6KC1	ribosomal protein S6 kinase, 52kDa, polypeptide 1	Protein amino acid phosphorylation
202543_s_at	21.69	6.87	3.16	-	GMFB	glia maturation factor, beta	Protein amino acid phosphorylation
204825_at	43.55	13.94	3.12	-	MELK	maternal embryonic leucine zipper kinase	Protein amino acid phosphorylation
203213_at	52.8	17.25	3.06	-	CDC2	Cell division cycle 2, G1 to S and G2 to M	Protein amino acid phosphorylation
204822_at	63.55	21.81	2.91	-	TTK	TTK protein kinase	Protein amino acid phosphorylation
204171_at	23.52	8.48	2.77	-	RPS6KB1	ribosomal protein S6 kinase, 70kDa, polypeptide 1	Protein amino acid phosphorylation
218764_at	12.75	4.71	2.71	+	PRKCH	protein kinase C, eta	Protein amino acid phosphorylation
216598_s_at	118.88	46.84	2.54	+	CCL2	chemokine (C-C motif) ligand 2	Protein amino acid phosphorylation
203755_at	19.43	7.95	2.44	-	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	Protein amino acid phosphorylation
208944_at	24.04	9.85	2.44	+	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	Protein amino acid phosphorylation
220038_at	46.82	19.3	2.43	+	SGK3	serum/glucocorticoid regulated kinase family, member 3	Protein amino acid phosphorylation
209642_at	33.53	13.87	2.42	-	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	Protein amino acid phosphorylation
207957_s_at	73.49	30.64	2.4	+	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	Protein amino acid phosphorylation
208018_s_at	11.78	5	2.36	+	HCK	hemopoietic cell kinase	Protein amino acid phosphorylation
212486_s_at	30.72	13.32	2.31	+	FYN	FYN oncogene related to SRC, FGR, YES	Protein amino acid phosphorylation
216033_s_at	44.93	19.72	2.28	+	FYN	FYN oncogene related to SRC, FGR, YES	Protein amino acid phosphorylation
205842_s_at	16.88	7.47	2.26	+	JAK2	Janus kinase 2 (a protein tyrosine kinase)	Protein amino acid phosphorylation
219813_at	16.04	7.16	2.24	+	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	Protein amino acid phosphorylation
220987_s_at	4.46	2.03	2.19	-	NUAK2	NUAK family, SNF1-like kinase, 2	Protein amino acid phosphorylation
212530_at	3.13	1.44	2.17	-	NEK7	NIMA (never in mitosis gene a)-related kinase 7	Protein amino acid phosphorylation
209282_at	8.49	4.15	2.04	+	PRKD2	protein kinase D2	Protein amino acid phosphorylation
202200_s_at	3.8	1.88	2.02	-	SRPK1	SFRS protein kinase 1	Protein amino acid phosphorylation
203836_s_at	8.9	4.51	1.97	+	MAP3K5	mitogen-activated protein kinase kinase kinase 5	Protein amino acid phosphorylation
204817_at	17.44	4.68	3.73	-	ESPL1	extra spindle poles like 1	Cytokinesis
204641_at	49.99	14.07	3.55	-	NEK2	NIMA (never in mitosis gene a)-related kinase 2	Cytokinesis
38158_at	11.82	3.47	3.41	-	ESPL1	extra spindle poles like 1	Cytokinesis
218009_s_at	18.49	5.67	3.26	-	PRC1	protein regulator of cytokinesis 1	Cytokinesis
214710_s_at	11.69	3.78	3.1	-	CCNB1	cyclin B1	Cytokinesis
203213_at	18.43	6.02	3.06	-	CDC2	Cell division cycle 2, G1 to S and G2 to M	Cytokinesis
205046_at	43.34	16.8	2.58	-	CENPE	centromere protein E, 312kDa	Cytokinesis
204826_at	5.76	2.27	2.53	-	CCNF	cyclin F	Cytokinesis
201589_at	3.22	1.32	2.44	-	SMC1L1	SMC1 structural maintenance of chromosomes 1-like 1	Cytokinesis
200815_s_at	2.27	0.94	2.41	-	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	Cytokinesis
202705_at	13.39	5.64	2.37	-	CCNB2	cyclin B2	Cytokinesis
200726_at	1.62	0.7	2.32	-	PPP1CC	protein phosphatase 1, catalytic subunit, gamma isoform	Cytokinesis
202870_s_at	13.54	5.95	2.28	-	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Cytokinesis
201897_s_at	3.37	1.58	2.14	-	CKS1B	CDC28 protein kinase regulatory subunit 1B	Cytokinesis
204170_s_at	8.07	3.89	2.07	-	CKS2	CDC28 protein kinase regulatory subunit 2	Cytokinesis
213743_at	1.39	0.7	1.99	-	CCNT2	cyclin T2	Cytokinesis
207165_at	35.78	9.04	3.96	-	HMMR	hyaluronan-mediated motility receptor (RHAMM)	Cell motility
206983_at	32.3	9.85	3.28	+	CCR6	chemokine (C-C motif) receptor 6	Cell motility
211719_x_at	5.66	1.97	2.87	-	FN1	fibronectin 1	Cell motility
211577_s_at	18.73	7.25	2.58	+	IGF1	insulin-like growth factor 1	Cell motility
210495_x_at	3.69	1.49	2.47	-	FN1	fibronectin 1	Cell motility
208991_at	5.91	2.43	2.43	+	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Cell motility
200815_s_at	3.18	1.32	2.41	-	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	Cell motility
200973_s_at	10.68	4.5	2.37	+	TSPAN3	tetraspanin 3	Cell motility
216442_x_at	3.76	1.65	2.27	-	FN1	fibronectin 1	Cell motility
209540_at	25.74	11.37	2.26	+	IGF1	insulin-like growth factor 1 (somatomedin C)	Cell motility
205842_s_at	8.27	3.66	2.26	+	JAK2	Janus kinase 2 (a protein tyrosine kinase)	Cell motility
209083_at	19.05	8.86	2.15	+	CORO1A	coronin, actin binding protein, 1A	Cell motility
204513_s_at	6.17	2.89	2.14	+	ELMO1	engulfment and cell motility 1 (ced-12 homolog, C. elegans)	Cell motility
207008_at	32.4	15.61	2.08	+	IL8RB	interleukin 8 receptor, beta	Cell motility
208992_s_at	13.84	6.76	2.05	+	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Cell motility
213101_s_at	2.59	1.28	2.03	-	ACTR3	ARP3 actin-related protein 3 homolog (yeast)	Cell motility
208679_s_at	3.77	1.93	1.96	+	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa	Cell motility
201664_at	18.2	4	4.55	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Cell cycle
208079_s_at	84.89	20.1	4.22	-	STK6	serine/threonine kinase 6	Cell cycle
204092_s_at	43.87	11.99	3.66	-	STK6	serine/threonine kinase 6	Cell cycle
215623_x_at	16.82	5.18	3.25	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Cell cycle
218663_at	28.34	9.46	2.99	-	HCAP-G	chromosome condensation protein G	Cell cycle
203362_s_at	35.05	12.46	2.81	-	MAD2L1	MAD2 mitotic arrest deficient-like 1	Cell cycle
32137_at	4.45	1.67	2.67	-	JAG2	jagged 2	Cell cycle
203755_at	13.66	5.59	2.44	-	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta	Cell cycle
201589_at	6.49	2.66	2.44	-	SMC1L1	SMC1 structural maintenance of chromosomes 1-like 1	Cell cycle
209642_at	23.58	9.75	2.42	-	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog	Cell cycle
204496_at	11.23	4.77	2.35	-	STRN3	striatin, calmodulin binding protein 3	Cell cycle
218662_s_at	10.87	4.96	2.19	-	HCAP-G	chromosome condensation protein G	Cell cycle
201663_s_at	8.91	4.21	2.12	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Cell cycle
204170_s_at	16.25	7.83	2.07	-	CKS2	CDC28 protein kinase regulatory subunit 2	Cell cycle
206499_s_at	3.35	1.62	2.07	+	RCC1	regulator of chromosome condensation 1	Cell cycle
202214_s_at	2.35	1.16	2.03	+	CUL4B	cullin 4B	Cell cycle
213743_at	2.8	1.41	1.99	-	CCNT2	cyclin T2	Cell cycle
206150_at	36.9	10.33	3.57	+	TNFRSF7	tumor necrosis factor receptor superfamily, member 7	Cell surface receptor linked signal transduction
205926_at	9.28	2.66	3.49	+	IL27RA	interleukin 27 receptor, alpha	Cell surface receptor linked signal transduction
212587_s_at	23.07	6.96	3.32	+	PTPRC	protein tyrosine phosphatase, receptor type, C	Cell surface receptor linked signal transduction
201601_x_at	14.65	4.89	3	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Cell surface receptor linked signal transduction
211000_s_at	12.04	4.4	2.73	+	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Cell surface receptor linked signal transduction
214470_at	33.53	13.03	2.57	+	KLRB1	killer cell lectin-like receptor subfamily B, member 1	Cell surface receptor linked signal transduction
222062_at	29.79	12.76	2.33	+	IL27RA	interleukin 27 receptor, alpha	Cell surface receptor linked signal transduction
214022_s_at	8.38	3.74	2.24	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Cell surface receptor linked signal transduction
202535_at	8.08	3.67	2.2	-	FADD	Fas (TNFRSF6)-associated via death domain	Cell surface receptor linked signal transduction
210538_s_at	14.57	6.84	2.13	+	BIRC3	baculoviral IAP repeat-containing 3	Cell surface receptor linked signal transduction
201664_at	8.1	1.78	4.55	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitosis
208079_s_at	37.77	8.94	4.22	-	STK6	serine/threonine kinase 6	Mitosis
204092_s_at	19.52	5.33	3.66	-	STK6	serine/threonine kinase 6	Mitosis
215623_x_at	7.48	2.31	3.25	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitosis
209172_s_at	9.26	2.86	3.24	-	CENPF	centromere protein F, 350/400ka (mitosin)	Mitosis
214710_s_at	10.47	3.38	3.1	-	CCNB1	cyclin B1	Mitosis
203213_at	16.52	5.4	3.06	-	CDC2	Cell division cycle 2, G1 to S and G2 to M	Mitosis
218663_at	12.61	4.21	2.99	-	HCAP-G	chromosome condensation protein G	Mitosis
203362_s_at	15.59	5.55	2.81	-	MAD2L1	MAD2 mitotic arrest deficient-like 1	Mitosis
204826_at	5.16	2.04	2.53	-	CCNF	cyclin F	Mitosis
203755_at	6.08	2.49	2.44	-	BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta	Mitosis
209642_at	10.49	4.34	2.42	-	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog	Mitosis
200815_s_at	2.03	0.84	2.41	-	PAFAH1B1	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	Mitosis
202705_at	12	5.06	2.37	-	CCNB2	cyclin B2	Mitosis
209408_at	6.66	2.87	2.32	-	KIF2C	kinesin family member 2C	Mitosis
202870_s_at	12.13	5.33	2.28	-	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Mitosis
218662_s_at	4.83	2.21	2.19	-	HCAP-G	chromosome condensation protein G	Mitosis
209083_at	12.16	5.65	2.15	+	CORO1A	coronin, actin binding protein, 1A	Mitosis
201663_s_at	3.97	1.87	2.12	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitosis
206499_s_at	1.49	0.72	2.07	+	RCC1	regulator of chromosome condensation 1	Mitosis
201216_at	22.62	4.46	5.07	+	ERP29	endoplasmic reticulum protein 29	Intracellular protein transport
211779_x_at	10.48	3.08	3.4	+	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	Intracellular protein transport
212159_x_at	11.53	3.6	3.21	+	AP2A2	adaptor-related protein complex 2, alpha 2 subunit	Intracellular protein transport
201088_at	51.35	16.82	3.05	-	KPNA2	karyopherin alpha 2	Intracellular protein transport
201111_at	32.61	10.74	3.04	-	CSE1L	CSE1 chromosome segregation 1-like	Intracellular protein transport
204478_s_at	9.39	3.13	3	-	RABIF	RAB interacting factor	Intracellular protein transport
203311_s_at	15.15	5.2	2.91	+	ARF6	ADP-ribosylation factor 6	Intracellular protein transport
214337_at	105.3	36.24	2.91	-	COPA	coatomer protein complex, subunit alpha	Intracellular protein transport
204974_at	52.86	18.62	2.84	-	RAB3A	RAB3A, member RAS oncogene family	Intracellular protein transport
202630_at	22.63	8.05	2.81	-	APPBP2	amyloid beta precursor protein (cytoplasmic tail) binding protein 2	Intracellular protein transport
208819_at	4.68	1.68	2.78	+	RAB8A	RAB8A, member RAS oncogene family	Intracellular protein transport
210766_s_at	21.71	7.89	2.75	-	CSE1L	CSE1 chromosome segregation 1-like	Intracellular protein transport
209268_at	9.7	3.53	2.74	-	VPS45A	vacuolar protein sorting 45A	Intracellular protein transport
201831_s_at	9.56	3.5	2.73	+	VDP	vesicle docking protein p115	Intracellular protein transport
218360_at	16.6	6.43	2.58	-	RAB22A	RAB22A, member RAS oncogene family	Intracellular protein transport
201112_s_at	12.48	4.85	2.57	-	CSE1L	CSE1 chromosome segregation 1-like	Intracellular protein transport
203679_at	11.96	4.69	2.55	+	TMED1	transmembrane emp24 protein transport domain containing 1	Intracellular protein transport
218755_at	32.63	12.95	2.52	-	KIF20A	kinesin family member 20A	Intracellular protein transport
209238_at	12	4.78	2.51	-	STX3A	syntaxin 3A	Intracellular protein transport
204017_at	24.75	10.31	2.4	-	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3	Intracellular protein transport
202395_at	16.99	7.11	2.39	-	NSF	N-ethylmaleimide-sensitive factor	Intracellular protein transport
221014_s_at	7.83	3.53	2.22	-	RAB33B	RAB33B, member RAS oncogene family	Intracellular protein transport
212652_s_at	3.7	1.73	2.14	-	SNX4	sorting nexin 4	Intracellular protein transport
212103_at	4.16	1.95	2.13	+	KPNA6	Karyopherin alpha 6 (importin alpha 7)	Intracellular protein transport
204477_at	9.92	4.67	2.13	-	RABIF	RAB interacting factor	Intracellular protein transport
201097_s_at	2.72	1.28	2.12	-	ARF4	ADP-ribosylation factor 4	Intracellular protein transport
212635_at	6.06	2.88	2.1	-	TNPO1	Transportin 1	Intracellular protein transport
203544_s_at	8.14	3.93	2.07	-	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	Intracellular protein transport
211762_s_at	19.76	9.65	2.05	-	KPNA2	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	Intracellular protein transport
200614_at	11.87	5.87	2.02	-	CLTC	clathrin, heavy polypeptide (Hc)	Intracellular protein transport
208732_at	8.12	4.07	2	-	RAB2	RAB2, member RAS oncogene family	Intracellular protein transport
200699_at	8.38	4.29	1.95	-	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	Intracellular protein transport
201664_at	6.77	1.49	4.55	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitotic chromosome segregation
204817_at	13.07	3.51	3.73	-	ESPL1	extra spindle poles like 1	Mitotic chromosome segregation
38158_at	8.85	2.6	3.41	-	ESPL1	extra spindle poles like 1	Mitotic chromosome segregation
215623_x_at	6.26	1.93	3.25	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitotic chromosome segregation
201589_at	2.41	0.99	2.44	-	SMC1L1	SMC1 structural maintenance of chromosomes 1-like 1	Mitotic chromosome segregation
201663_s_at	3.32	1.57	2.12	-	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1	Mitotic chromosome segregation
201178_at	10.32	2.73	3.79	+	FBXO7	F-box protein 7	Ubiquitin-dependent protein catabolism
202244_at	9.4	2.71	3.48	-	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	Ubiquitin-dependent protein catabolism
211702_s_at	20.08	7.6	2.64	-	USP32	ubiquitin specific peptidase 32	Ubiquitin-dependent protein catabolism
221519_at	5.75	2.22	2.58	+	FBXW4	F-box and WD-40 domain protein 4	Ubiquitin-dependent protein catabolism
202981_x_at	9.35	3.9	2.4	-	SIAH1	seven in absentia homolog 1 (Drosophila)	Ubiquitin-dependent protein catabolism
209040_s_at	46.23	19.42	2.38	+	PSMB8	proteasome (prosome, macropain) subunit, beta type, 8	Ubiquitin-dependent protein catabolism
208805_at	11.48	4.83	2.38	-	PSMA6	proteasome (prosome, macropain) subunit, alpha type, 6	Ubiquitin-dependent protein catabolism
202243_s_at	6.6	2.87	2.3	-	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4	Ubiquitin-dependent protein catabolism
202870_s_at	46.1	20.26	2.28	-	CDC20	CDC20 cell division cycle 20 homolog (S. cerevisiae)	Ubiquitin-dependent protein catabolism
208760_at	10.11	4.7	2.15	-	UBE2I	Ubiquitin-conjugating enzyme E2I	Ubiquitin-dependent protein catabolism
201317_s_at	5.9	2.77	2.13	-	PSMA2	proteasome (prosome, macropain) subunit, alpha type, 2	Ubiquitin-dependent protein catabolism
219510_at	16.77	4.57	3.67	-	POLQ	polymerase (DNA directed), theta	DNA repair
213520_at	157.23	44.55	3.53	-	RECQL4	RecQ protein-like 4	DNA repair
219502_at	12.24	4.08	3	-	NEIL3	nei endonuclease VIII-like 3	DNA repair
204146_at	29.05	10.24	2.84	-	RAD51AP1	RAD51 associated protein 1	DNA repair
204558_at	53.36	20.63	2.59	-	RAD54L	RAD54-like	DNA repair
204531_s_at	11.12	4.52	2.46	-	BRCA1	breast cancer 1, early onset	DNA repair
201589_at	5.45	2.23	2.44	-	SMC1L1	SMC1 structural maintenance of chromosomes 1-like 1	DNA repair
218397_at	5.64	2.56	2.21	-	FANCL	Fanconi anemia, complementation group L	DNA repair
213734_at	6.1	2.79	2.18	-	WSB2	WD repeat and SOCS box-containing 2	DNA repair
208905_at	14.07	3.28	4.29	-	CYCS	cytochrome c, somatic	Induction of apoptosis
206150_at	72.98	20.43	3.57	+	TNFRSF7	tumor necrosis factor receptor superfamily, member 7	Induction of apoptosis
209448_at	24.65	11.28	2.19	-	HTATIP2	HIV-1 Tat interactive protein 2, 30kDa	Induction of apoptosis
209929_s_at	4.91	2.49	1.97	-	IKBKG	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	Induction of apoptosis
215719_x_at	21.79	11.12	1.96	+	FAS	Fas (TNF receptor superfamily, member 6)	Induction of apoptosis
206150_at	22.64	6.34	3.57	+	TNFRSF7	tumor necrosis factor receptor superfamily, member 7	Immune response
215633_x_at	17.75	5.04	3.52	+	LST1	leukocyte specific transcript 1	Immune response
205926_at	5.69	1.63	3.49	+	IL27RA	interleukin 27 receptor, alpha	Immune response
210629_x_at	7.36	2.12	3.47	+	LST1	leukocyte specific transcript 1	Immune response
204670_x_at	13.15	3.95	3.33	+	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Immune response
211582_x_at	17.49	5.72	3.06	+	LST1	leukocyte specific transcript 1	Immune response
210982_s_at	31.37	10.27	3.05	+	HLA-DRA	major histocompatibility complex, class II, DR alpha	Immune response
209312_x_at	13.65	4.51	3.02	+	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Immune response
213226_at	10.1	3.37	3	-	CCNA2	Cyclin A2	Immune response
201601_x_at	8.98	3	3	+	IFITM1	interferon induced transmembrane protein 1 (9-27)	Immune response
208894_at	24.35	8.56	2.84	+	HLA-DRA	major histocompatibility complex, class II, DR alpha	Immune response
211991_s_at	17.17	6.07	2.83	+	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	Immune response
215193_x_at	17.46	6.18	2.82	+	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	Immune response
217478_s_at	9.71	3.45	2.82	+	HLA-DMA	major histocompatibility complex, class II, DM alpha	Immune response
210072_at	31.12	11.12	2.8	+	CCL19	chemokine (C-C motif) ligand 19	Immune response
200904_at	8.21	2.98	2.76	+	HLA-E	major histocompatibility complex, class I, E	Immune response
211000_s_at	7.38	2.7	2.73	+	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Immune response
211581_x_at	12.05	4.5	2.68	+	LST1	leukocyte specific transcript 1	Immune response
209823_x_at	21.88	8.17	2.68	+	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1	Immune response
207850_at	17.82	6.79	2.63	+	CXCL3	chemokine (C-X-C motif) ligand 3	Immune response
208306_x_at	8.9	3.4	2.62	+	HLA-DRB1	Major histocompatibility complex, class II, DR beta 3	Immune response
203010_at	3.23	1.27	2.54	+	STAT5A	signal transducer and activator of transcription 5A	Immune response
200905_x_at	3.98	1.58	2.52	+	HLA-E	major histocompatibility complex, class I, E	Immune response
201288_at	6.88	2.73	2.52	+	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	Immune response
215784_at	30.48	12.17	2.5	+	CD1E	CD1E antigen, e polypeptide	Immune response
205544_s_at	26.2	10.46	2.5	+	CR2	complement component (3d/Epstein Barr virus) receptor 2	Immune response
211430_s_at	23.54	9.63	2.44	+	IGH	immunoglobulin heavy constant gamma 1 (G1m marker)	Immune response
217456_x_at	2.67	1.09	2.44	+	HLA-E	major histocompatibility complex, class I, E	Immune response
201137_s_at	8.17	3.36	2.43	+	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	Immune response
211529_x_at	7.99	3.32	2.41	+	HLA-G	HLA-G histocompatibility antigen, class I, G	Immune response
