ID	Name	Symbol	Accession	UniGene	Gene	Ensembl	aveA	P400vsEGFP.M	P400vsEGFP.AdjP	P400vsEGFP.FDR	P400vsEGFP.B	Description	Coordinates	A	D	C	B
A_52_P181394	glutamate receptor, metabotropic 5	Grm5	XM_985499	Mm.235018	108071	ENSMUST00000061910	8.533	3.353	0.003	0	8.569	PREDICTED: Mus musculus glutamate receptor, metabotropic 5, transcript variant 1 (Grm5), mRNA [XM_985499]	chr7:83539013-83539072	2.947	-3.607	3.446	-3.413
A_52_P322962			NAP018810-001		NA		14.67	3.334	0.046	0	5.74		chr1:50290677-50291759	3.144	-3.295	4.005	-2.894
A_51_P262699			ENSMUST00000022576	Mm.24242	NA	ENSMUST00000022576	8.6	3.321	0.001	0	9.648	Mus musculus carboxypeptidase U mRNA, complete cds. [AF186188]	chr14:69964061-69964120	3.127	-3.535	3.483	-3.139
A_51_P103541	calcium channel, voltage-dependent, L type, alpha 1S subunit	Cacna1s	L06234	Mm.4418	12292	ENSMUST00000036849	11.404	3.311	0.005	0	8.077	Mus musculus dihydropyridine sensitive skeletal muscle calcium channel mRNA, complete cds. [L06234]	chr1:136005651-136005710	3.058	-3.584	3.573	-3.029
A_51_P223891	RIKEN cDNA 2510042P03 gene	2510042P03Rik	AK011097	Mm.275109	72421		9.018	3.297	0	0	10.731	Mus musculus 13 days embryo liver cDNA, RIKEN full-length enriched library, clone:2510042P03 product:4930506L13RIK PROTEIN homolog [Mus musculus], full insert sequence. [AK011097]	chr2:75780026-75779967	3.243	-3.295	3.508	-3.141
A_51_P120875	olfactory receptor 713	Olfr713	NM_147034	Mm.377801	259036	ENSMUST00000098139	8.184	3.296	0	0	10.465	Mus musculus olfactory receptor 713 (Olfr713), mRNA [NM_147034]	chr7:102927973-102928032	3.363	-3.202	3.5	-3.117
A_52_P256476	similar to PRAME family member 5	LOC625240	XM_889788	Mm.380055	625240	ENSMUST00000101110	13.177	3.259	0.029	0	6.223	PREDICTED: Mus musculus similar to PRAME family member 5 (LOC625240), mRNA [XM_889788]	chr5:94730391-94730332	3.093	-3.167	3.878	-2.897
A_51_P468939	deleted in colorectal carcinoma	Dcc	NM_007831	Mm.381105	13176		8.978	3.241	0.018	0	6.744	Mus musculus deleted in colorectal carcinoma (Dcc), mRNA [NM_007831]	chr18:71653114-71653055	2.695	-3.284	3.607	-3.378
A_52_P377537	gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 1	Gabra1	NM_010250	Mm.338713	14394	ENSMUST00000020707	7.829	3.237	0.062	0	5.429	Mus musculus gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 1 (Gabra1), mRNA [NM_010250]	chr11:42088529-42088470	2.786	-3.759	2.861	-3.542
A_52_P528312			NAP113912-1		NA		9.334	3.235	0.05	0	5.661		chrUn_random:632922-632863	2.626	-3.47	3.705	-3.139
A_52_P184028			ENSMUST00000098803		NA	ENSMUST00000098803	9.332	3.228	0.907	0.001	2.452	PREDICTED: Mus musculus similar to oocyte specific homeobox 3 (LOC673426), mRNA [XM_001005560]	chrUn_random:2120306-2120365	2.466	-3.973	3.828	-2.643
A_52_P345966			ENSMUST00000053464	Mm.14130	NA	ENSMUST00000053464	8.464	3.227	0.009	0	7.474	PREDICTED: Mus musculus similar to ubiquitin specific peptidase 17 (homolog) (LOC675388), mRNA [XM_981511]	chr7:100825122-100825063	2.976	-3.35	3.649	-2.934
A_52_P154741	lectin, galactose binding, soluble 6	Lgals6	NM_010707	Mm.210336	16857		11.772	3.208	0.001	0	9.293	Mus musculus lectin, galactose binding, soluble 6 (Lgals6), mRNA [NM_010707]		3.045	-3.482	3.306	-2.998
A_51_P467448	expressed sequence AI449441	AI449441	NM_172453	Mm.211032	208084	ENSMUST00000047099	14.106	3.162	0.169	0	4.331	Mus musculus expressed sequence AI449441 (AI449441), mRNA [NM_172453]	chr9:65624779-65624838	3.144	-2.856	3.966	-2.683
A_51_P327642	cDNA sequence BC003993	BC003993	NM_030560	Mm.288151	80744	ENSMUST00000065889	13.638	3.159	0.001	0	9.83	Mus musculus cDNA sequence BC003993 (BC003993), mRNA [NM_030560]	chr2:77739945-77739886	2.996	-3.395	3.239	-3.006
A_51_P209477	olfactory receptor 815	Olfr815	NM_146670	Mm.377627	258665	ENSMUST00000071557	7.687	3.145	0.015	0	6.889	Mus musculus olfactory receptor 815 (Olfr815), mRNA [NM_146670]	chr10:129413232-129413173	2.653	-3.446	3.081	-3.398
A_52_P229278	RIKEN cDNA 3732412D22 gene	3732412D22Rik	NM_001001980	Mm.374778	77569		8.83	3.134	0.003	0	8.469	Mus musculus RIKEN cDNA 3732412D22 gene (3732412D22Rik), mRNA [NM_001001980]	chr5:66411412-66411471	3.123	-3.437	3.189	-2.789
A_51_P305642	keratin associated protein 5-1	Krtap5-1	NM_015808	Mm.389993	50774	ENSMUST00000080669	9.616	3.128	0.007	0	7.676	Mus musculus keratin associated protein 5-1 (Krtap5-1), mRNA [NM_015808]	chr7:138723844-138723785	2.941	-3.15	3.56	-2.859
A_52_P676947	tachykinin receptor 3	Tacr3	NM_021382	Mm.103810	21338	ENSMUST00000029822	7.587	3.126	0.006	0	7.776	Mus musculus tachykinin receptor 3 (Tacr3), mRNA [NM_021382]	chr3:134728284-134728343	2.753	-3.453	3.016	-3.282
A_51_P481768	2-cell-stage, variable group, member 1	Tcstv1	NM_018756	Mm.302175	54382		12.581	3.126	0.038	0	5.934	Mus musculus 2-cell-stage, variable group, member 1 (Tcstv1), mRNA [NM_018756]	chrUn_random:000304779-000304720	2.9	-2.983	3.766	-2.854
A_52_P908952	hypothetical protein LOC665756	LOC665756	XM_979235	Mm.410765	665756		8.938	3.108	0.001	0	9.816	PREDICTED: Mus musculus hypothetical protein LOC665756 (LOC665756), mRNA [XM_979235]	chrUn_random:10091200-10091141	3.144	-3.339	3.069	-2.881
A_52_P52803	heat shock protein 1A	Hspa1a	NM_010479	Mm.6388	193740	ENSMUST00000087328	9.855	3.101	0.001	0	9.332	Mus musculus heat shock protein 1A (Hspa1a), mRNA [NM_010479]	chr17:33067322-33067263	3.05	-2.983	3.418	-2.953
A_52_P401295	similar to crooked neck protein	LOC671969	XR_004446	Mm.108514	671969	ENSMUST00000095036	12.41	3.101	0.069	0	5.308	PREDICTED: Mus musculus similar to crooked neck protein (LOC671969), mRNA [XR_004446]	chr6:23106448-23106389	2.857	-3.601	3.38	-2.565
A_52_P441355			TC1469469		NA		9.349	3.073	0.002	0	9.062	BC015068 Ap3b1 protein {Mus musculus;} , partial (4%) [TC1469469]	chr13:91610683-91610624	3.009	-3.079	3.375	-2.829
A_51_P337523	adenylate cyclase 2	Adcy2	NM_153534	Mm.390617	210044	ENSMUST00000022013	8.781	3.068	0.008	0	7.61	Mus musculus adenylate cyclase 2 (Adcy2), mRNA [NM_153534]	chr13:65530830-65530771	2.694	-3.148	3.437	-2.99
A_51_P207751	guanylate cyclase activator 1a (retina)	Guca1a	NM_008189	Mm.16224	14913	ENSMUST00000059348	10.97	3.067	0.072	0	5.259	Mus musculus guanylate cyclase activator 1a (retina) (Guca1a), mRNA [NM_008189]	chr17:45532167-45532108	3.043	-2.796	3.741	-2.69
A_52_P167735			TC1545135		NA		11.412	3.066	0.006	0	7.866	Q8K0H2 (Q8K0H2) Chpt1 protein, partial (18%) [TC1545135]	chr6:124474402-124474343	2.885	-3.007	3.498	-2.873
A_52_P675857			NAP062699-1		NA		13.75	3.063	0.123	0	4.681		chr7:39282674-39282733	2.3	-3.309	3.448	-3.193
A_52_P624107	similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C)	MGC107533	BC094938	Mm.312138	266459	ENSMUST00000101167	12.143	3.054	0.009	0	7.493	Mus musculus similar to Eukaryotic translation initiation factor 1A (eIF-1A) (eIF-4C), mRNA (cDNA clone MGC:107533 IMAGE:30009159), complete cds. [BC094938]	chr12_random:262653-262712	2.708	-3.398	3.229	-2.881
A_51_P509679	immunoglobulin heavy chain (J558 family)	Igh-VJ558	BC004786	Mm.240437	16061	ENSMUST00000084880	8.101	3.03	0.002	0	8.722	Mus musculus immunoglobulin heavy chain (J558 family), mRNA (cDNA clone MGC:6727 IMAGE:3588636), complete cds. [BC004786]	chr12:110781090-110781031	3.365	-3.033	2.81	-2.91
A_51_P274488	protocadherin 8	Pcdh8	NM_021543	Mm.390715	18530	ENSMUST00000039568	7.66	2.981	0.401	0.001	3.372	Mus musculus protocadherin 8 (Pcdh8), mRNA [NM_021543]	chr14:74447669-74447610	2.574	-3.87	2.524	-2.955
A_52_P39314	spermatogenesis associated glutamate (E)-rich protein 7, pseudogene 1	Speer7-ps1	AK016255	Mm.425234	75858		8.342	2.977	0.001	0	9.335	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930568L21 product:unclassifiable, full insert sequence [AK016255]	chr10:021781380-021781648	2.733	-3.151	3.138	-2.886
A_51_P430903			AK029875	Mm.411658	NA		8.061	2.937	0.065	0	5.38	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4931419M04 product:hypothetical protein, full insert sequence [AK029875]	chr8:69612920-69612979	2.693	-3.584	2.622	-2.849
A_52_P462657	RIKEN cDNA A430060F13 gene	A430060F13Rik	AK139527	Mm.24063	217122		10.467	2.911	0.004	0	8.331	Mus musculus 2 cells egg cDNA, RIKEN full-length enriched library, clone:B020003F03 product:hypothetical protein, full insert sequence. [AK139527]	chr11:94864304-94864245	2.71	-3.246	2.959	-2.727
A_52_P242329	Wolf-Hirschhorn syndrome candidate 2 (human)	Whsc2	NM_011914	Mm.332320	24116	ENSMUST00000030993	13.154	2.91	0.021	0	6.574	Mus musculus Wolf-Hirschhorn syndrome candidate 2 (human) (Whsc2), mRNA [NM_011914]	chr5:32961135-32961076	2.74	-2.887	3.411	-2.599
A_51_P504127	keratin associated protein 5-4	Krtap5-4	NM_015809	Mm.389990	50775	ENSMUST00000061403	10.044	2.903	0.002	0	9.149	Mus musculus keratin associated protein 5-4 (Krtap5-4), mRNA [NM_015809]	chr7:138731103-138731162	2.733	-2.963	3.169	-2.747
A_51_P512119	cDNA sequence AF067063	AF067063	NM_001001449	Mm.327311	380878		10.447	2.886	0.001	0	9.277	Mus musculus cDNA sequence AF067063 (AF067063), mRNA [NM_001001449]	chrUn_random:943339-943280	2.904	-2.697	3.153	-2.789
A_51_P148828	fibroblast growth factor 1	Fgf1	NM_010197	Mm.241282	14164	ENSMUST00000040647	9.394	2.875	0.003	0	8.437	Mus musculus fibroblast growth factor 1 (Fgf1), mRNA [NM_010197]	chr18:39216794-39216735	2.643	-3.008	3.145	-2.703
A_51_P140710	chemokine (C-C motif) ligand 3	Ccl3	NM_011337	Mm.1282	20302	ENSMUST00000001008	8.868	2.867	0.009	0	7.492	Mus musculus chemokine (C-C motif) ligand 3 (Ccl3), mRNA [NM_011337]	chr11:83717820-83717761	2.878	-2.871	3.217	-2.5
A_52_P618173	RIKEN cDNA 3732412D22 gene	3732412D22Rik	NM_001001980	Mm.374778	77569		8.005	2.862	0.001	0	9.469	Mus musculus RIKEN cDNA 3732412D22 gene (3732412D22Rik), mRNA [NM_001001980]	chr5:66410295-66410354	2.729	-3.126	2.857	-2.737
