Well id	Clone	Description	UniGene id	Gene	Map
201371	898262	ubiquitin-activating enzyme E1 (A1S9T and BN75 temperature sensitivity complementing)	Hs.2055	UBE1	Xp11.23
201809	32231	hypothetical protein FLJ12442	Hs.84753	FLJ12442
202959	210873	pancreatic polypeptide 2	Hs.20588	PPY2	17q11
28665	45641	Dual specificity mitogen-activated protein kinase kinase 3	Hs.180533	MAP2K3	17q11.2
201705	826217	GP-1=putative G-protein	Hs.283677	GTPBP1	22q13.1
27069	176482	nm23-H1=NDP kinase A=Nucleoside dephophate kinase A		NM23H1
208440	432564	splicing factor 3b, subunit 4, 49kD	Hs.25797	SF3B4	1q12-q21
28441	810331	BPGF-1=bone-derived growth factor=Q6=quiescin=expression is induced by reversible growth arrest, trypsinization and serum starvation and is blocked by SV40 transformation	Hs.71816	AKT1	14q32.32
28488	41356	phosphatase 2A B56-alpha (PP2A)	Hs.155079	PPP2R5A	1q41
202924	198904	APMCF1 protein	Hs.12152	APMCF1	3p13-q23
27763	755176	acid finger protein	Hs.1287	ZNF173	6p21.3
201726	767994	nuclear autoantigen	Hs.183105	GS2NA	14q13-q21
209262	74537	alpha-fetoprotein	Hs.155421	AFP	4q11-q13
208366	878413	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11	Hs.184877	SLC25A11	17p13.3
28289	485729	PPP1CB=Protein phosphatase 1, catalytic subunit, beta isoform	Hs.21537	PPP1CB	2p23
209391	841655	retinoblastoma-binding protein 2	Hs.76272	RBBP2	12p11
27101	198699	ENA78=chemokine	Hs.89714	SCYB5	4q12-q13
27427	472180	S100 calcium binding protein A4=Placental calcium binding protein=Calvasculin=mts1 PROTEIN=CAPL	Hs.81256	S100A4	1q21
