UniGene ID	Library	ESTs	TPM	TPM, UniGene	Gene symbol	Name
Mm.273538	BM-HPC	71	6822	639	Tubb5	Tubulin, beta 5
Mm.298	BM-HPC	63	6054	1252	Slc25a3	Solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3
Mm.258204	BM-HPC	62	5958	26	Nsep1	Nuclease-sensitive element binding protein 1
Mm.125770	BM-HPC	53	5093	319	Gnas	GNAS (guanine nucleotide binding protein, alpha stimulating) complex locus
Mm.289800	BM-HPC	53	5093	613	Eif3s3	Eukaryotic translation initiation factor 3, subunit 3 (gamma)
Mm.166372	BM-HPC	50	4804	0	Rnf130	Ring finger protein 130
Mm.371570	BM-HPC	48	4612	933	Pabpc1	Poly A binding protein, cytoplasmic 1
Mm.296454	BM-HPC	46	4420	106	1700030G06Rik	RIKEN cDNA 1700030G06 gene
Mm.4668	BM-HPC	46	4420	506	Mpo	Myeloperoxidase
Mm.336743	BM-HPC	44	4228	3918	Hspa8	Heat shock protein 8
Mm.19187	BM-HPC	42	4036	319	Ptma	Prothymosin alpha
Mm.288974	BM-HPC	41	3940	639	Arpc5	Actin-related protein 2/3 complex, subunit 5
Mm.300095	BM-HPC	41	3940	53	Ugt1a2	UDP-glucuronosyltransferase 1 family, member 2
Mm.30010	BM-HPC	39	3747	239	Arpc1b	Actin-related protein 2/3 complex, subunit 1B
Mm.221440	BM-HPC	37	3555	293	Raly	hnRNP-associated with lethal yellow
Mm.315962	BM-HPC	37	3555	426	Pgam1	Phosphoglycerate mutase 1
Mm.18516	BM-HPC	36	3459	106	LOC433382	LOC433382
Mm.30043	BM-HPC	36	3459	106	Spcs2	Signal peptidase complex subunit 2 homolog (S. cerevisiae)
