Gene Description	Deregulation Time	Function	Status	Ensembl.Gene.ID	HGNC.symbol	Description
Pituitary tumor-transforming 1 (securin) (PTTG1)	early	Proliferation	upregulated	ENSG00000164611	PTTG1	Securin (Pituitary tumor-transforming protein 1) (Tumor-transforming protein 1) (Esp1-associated protein) (hPTTG). [Source:Uniprot/SWISSPROT;Acc:O95997]
RAN binding protein 1 (RANBP1)	early	Proliferation	upregulated	ENSG00000099901	RANBP1	Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1). [Source:Uniprot/SWISSPROT;Acc:P43487]
Ribonucleotide reductase M2 (RRM2)	early	Proliferation	upregulated	ENSG00000171848	RRM2	Ribonucleoside-diphosphate reductase M2 subunit (EC 1.17.4.1) (Ribonucleotide reductase small subunit) (Ribonucleotide reductase small chain). [Source:Uniprot/SWISSPROT;Acc:P31350]
Sperm associated antigen 5 (SPAG5)	early	Proliferation	upregulated	ENSG00000076382	SPAG5	Sperm-associated antigen 5 (Astrin) (Mitotic spindle-associated protein p126) (MAP126) (Deepest). [Source:Uniprot/SWISSPROT;Acc:Q96R06]
Thymidine kinase 1 (TK1)	early	Proliferation	upregulated	ENSG00000167900	TK1	Thymidine kinase, cytosolic (EC 2.7.1.21). [Source:Uniprot/SWISSPROT;Acc:P04183]
TPX2, microtubule-associated protein (TPX2)	early	Proliferation	upregulated	ENSG00000088325	TPX2	Targeting protein for Xklp2 (Restricted expression proliferation- associated protein 100) (p100) (Differentially expressed in cancerous and noncancerous lung cells 2) (DIL-2) (Protein fls353) (Hepatocellular carcinoma-associated antigen 519). [Source:Uniprot/SWISSPROT;Acc:Q9ULW0]
Ubiquitin specific protease 39 (USP39)	early	Proliferation	upregulated	ENSG00000168883	USP39	U4/U6.U5 tri-snRNP-associated protein 2 (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K) (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog). [Source:Uniprot/SWISSPROT;Acc:Q53GS9]
Centromere protein E (CENPE)	late	Proliferation	upregulated	ENSG00000138778	CENPE	Centromeric protein E (CENP-E). [Source:Uniprot/SWISSPROT;Acc:Q02224]
Chondroitin sulfate proteoglycan 2 (CSPG2)	late	Communication	upregulated	ENSG00000038427	VCAN	Versican core protein precursor (Large fibroblast proteoglycan) (Chondroitin sulfate proteoglycan core protein 2) (PG-M) (Glial hyaluronate-binding protein) (GHAP). [Source:Uniprot/SWISSPROT;Acc:P13611]
Collagen, type XI, alpha 1 (COL11A1)	late	Communication	upregulated	ENSG00000060718	COL11A1	Collagen alpha-1(XI) chain precursor. [Source:Uniprot/SWISSPROT;Acc:P12107]
Fibronectin 1 (FN1)	late	Communication	upregulated	ENSG00000115414	FN1	Fibronectin precursor (FN) (Cold-insoluble globulin) (CIG). [Source:Uniprot/SWISSPROT;Acc:P02751]
Inhibin beta-A (INHBA)	late	Communication	upregulated	ENSG00000122641	INHBA	Inhibin beta A chain precursor (Activin beta-A chain) (Erythroid differentiation protein) (EDF). [Source:Uniprot/SWISSPROT;Acc:P08476]
Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide (P4HA1)	late	Communication	upregulated	ENSG00000122884	P4HA1	Prolyl 4-hydroxylase subunit alpha-1 precursor (EC 1.14.11.2) (4-PH alpha-1) (Procollagen-proline,2-oxoglutarate-4-dioxygenase alpha-1 subunit). [Source:Uniprot/SWISSPROT;Acc:P13674]
Transmembrane, prostate androgen induced RNA (TMEPAI)	late	Communication	upregulated	ENSG00000124225	TMEPAI	Transmembrane prostate androgen-induced protein (Solid tumor- associated 1 protein). [Source:Uniprot/SWISSPROT;Acc:Q969W9]
WNT1 inducible signaling pathway protein 1 (WISP1)	late	Communication	upregulated	ENSG00000104415	WISP1	WNT1-inducible-signaling pathway protein 1 precursor (WISP-1) (Wnt-1- induced secreted protein). [Source:Uniprot/SWISSPROT;Acc:O95388]
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 (SMARCA5)	early	Transcription/Translation	upregulated	ENSG00000153147	SMARCA5	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (EC 3.6.1.-) (SWI/SNF-related matrix- associated actin-dependent regulator of chromatin A5) (Sucrose nonfermenting protein 2 homolog) (hSNF2H). [Source:Uniprot/SWISSPROT;Acc:O60264]
NADPH oxidase 4 (NOX4)	late	Cell death	upregulated	ENSG00000086991	NOX4	NADPH oxidase 4 (EC 1.6.3.-) (Kidney superoxide-producing NADPH oxidase) (KOX-1) (Renal NAD(P)H-oxidase). [Source:Uniprot/SWISSPROT;Acc:Q9NPH5]
Matrix metalloproteinase 13 (MMP13)	late	Protein degradation	upregulated	ENSG00000137745	MMP13	Collagenase 3 precursor (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13). [Source:Uniprot/SWISSPROT;Acc:P45452]
2-5 oligoadenylate synthetase 1A (OAS1)	late	Immune response	upregulated	ENSG00000089127	OAS1	2-5-oligoadenylate synthetase 1 (EC 2.7.7.-) ((2-5)oligo(A) synthetase 1) (2-5A synthetase 1) (p46/p42 OAS) (E18/E16). [Source:Uniprot/SWISSPROT;Acc:P00973]
Chemokine (C-C motif) ligand 2 (CCL2/Ccl12)	late	Immune response	upregulated	ENSG00000108691	CCL2	Small inducible cytokine A2 precursor (CCL2) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte secretory protein JE) (HC11). [Source:Uniprot/SWISSPROT;Acc:P13500]
Chemokine (C-X-C motif) ligand 10 (CXCL10)	late	Immune response	upregulated	ENSG00000169245	CXCL10	Small inducible cytokine B10 precursor (CXCL10) (10 kDa interferon- gamma-induced protein) (Gamma-IP10) (IP-10) [Contains: CXCL10(1-73)]. [Source:Uniprot/SWISSPROT;Acc:P02778]
Serine (or cysteine) proteinase inhibitor, clade E, member 1 (SERPINE1)	early	Angiogenesis	upregulated	ENSG00000106366	SERPINE1	Plasminogen activator inhibitor 1 precursor (PAI-1) (Endothelial plasminogen activator inhibitor) (PAI). [Source:Uniprot/SWISSPROT;Acc:P05121]
Karyopherin (importin) alpha 2 (KPNA2)	early	Metabolism	upregulated	ENSG00000182481	KPNA2	Importin subunit alpha-2 (Karyopherin subunit alpha-2) (SRP1-alpha) (RAG cohort protein 1). [Source:Uniprot/SWISSPROT;Acc:P52292]
Nucleoporin 155 (NUP155)	early	Metabolism	upregulated	ENSG00000113569	NUP155	Nuclear pore complex protein Nup155 (Nucleoporin Nup155) (155 kDa nucleoporin). [Source:Uniprot/SWISSPROT;Acc:O75694]
Nucleoporin 93 (NUP93)	early	Metabolism	upregulated	ENSG00000102900	NUP93	Nuclear pore complex protein Nup93 (Nucleoporin Nup93) (93 kDa nucleoporin). [Source:Uniprot/SWISSPROT;Acc:Q8N1F7]
Ethanolamine kinase 1 (ETNK1)	late	Metabolism	upregulated	ENSG00000139163	ETNK1	Ethanolamine kinase 1 (EC 2.7.1.82) (EKI 1). [Source:Uniprot/SWISSPROT;Acc:Q9HBU6]
Methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase (MTHFD2)	late	Metabolism	upregulated	ENSG00000065911	MTHFD2	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial precursor [Includes: NAD-dependent methylenetetrahydrofolate dehydrogenase (EC 1.5.1.15); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]. [Source:Uniprot/SWISSPROT;Acc:P13995]
Monooxygenase, DBH-like 1 (MOXD1)	late	Metabolism	upregulated	ENSG00000079931	MOXD1	monooxygenase, DBH-like 1 isoform 2 [Source:RefSeq_peptide;Acc:NP_056344]
PRA1 domain family 2 (PRAF2)	late	Metabolism	upregulated	ENSG00000102050	PRAF2	PRA1 family protein 2. [Source:Uniprot/SWISSPROT;Acc:O60831]
Solute carrier family 15, member 3 (SLC15A3)	late	Metabolism	upregulated	ENSG00000110446	SLC15A3	solute carrier family 15, member 3 [Source:RefSeq_peptide;Acc:NP_057666]
Epidermal growth factor (EGF)	early	Communication	downregulated	ENSG00000138798	EGF	Pro-epidermal growth factor precursor (EGF) [Contains: Epidermal growth factor (Urogastrone)]. [Source:Uniprot/SWISSPROT;Acc:P01133]
Parathyroid hormone-like peptide (PTHLH)	early	Communication	downregulated	ENSG00000087494	PTHLH	Parathyroid hormone-related protein precursor (PTH-rP) (PTHrP) [Contains: PTHrP[1-36]; PTHrP[38-94]; Osteostatin (PTHrP[107-139])]. [Source:Uniprot/SWISSPROT;Acc:P12272]
Surfactant associated protein D (SFTPD)	early	Communication	downregulated	ENSG00000133661	SFTPD	Pulmonary surfactant-associated protein D precursor (SP-D) (PSP-D) (Lung surfactant protein D). [Source:Uniprot/SWISSPROT;Acc:P35247]
Calponin 1 (CNN1)	late	Communication	downregulated	ENSG00000130176	CNN1	Calponin-1 (Calponin H1, smooth muscle) (Basic calponin). [Source:Uniprot/SWISSPROT;Acc:P51911]
Claudin 8 (CLDN8)	late	Communication	downregulated	ENSG00000156284	CLDN8	Claudin-8. [Source:Uniprot/SWISSPROT;Acc:P56748]
G protein-coupled receptor, family C, group 5, member B (GPRC5B)	late	Communication	downregulated	ENSG00000167191	GPRC5B	G-protein coupled receptor family C group 5 member B precursor (Retinoic acid-induced gene 2 protein) (RAIG-2) (A-69G12.1). [Source:Uniprot/SWISSPROT;Acc:Q9NZH0]
Growth hormone receptor (GHR)	late	Communication	downregulated	ENSG00000112964	GHR	Growth hormone receptor precursor (GH receptor) (Somatotropin receptor) [Contains: Growth hormone-binding protein (GH-binding protein) (GHBP) (Serum-binding protein)]. [Source:Uniprot/SWISSPROT;Acc:P10912]
Keratin 15 (KRT15/Krt1-15)	late	Communication	downregulated	ENSG00000171346	KRT15	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15). [Source:Uniprot/SWISSPROT;Acc:P19012]
Keratin 5 (KRT5/Krt2-5)	late	Communication	downregulated	ENSG00000186081	KRT5	Keratin, type II cytoskeletal 5 (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (58 kDa cytokeratin). [Source:Uniprot/SWISSPROT;Acc:P13647]
Milk fat globule-EGF factor 8 protein (MFGE8)	late	Communication	downregulated	ENSG00000140545	MFGE8	Lactadherin precursor (Milk fat globule-EGF factor 8) (MFG-E8) (HMFG) (Breast epithelial antigen BA46) (MFGM) [Contains: Lactadherin short form; Medin]. [Source:Uniprot/SWISSPROT;Acc:Q08431]
Myosin heavy chain 11, smooth muscle (MYH11)	late	Communication	downregulated	ENSG00000133392	MYH11	Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC). [Source:Uniprot/SWISSPROT;Acc:P35749]
Myosin, light polypeptide kinase (MYLK)	late	Communication	downregulated	ENSG00000065534	MYLK	Myosin light chain kinase, smooth muscle (EC 2.7.11.18) (MLCK) (Telokin) (Kinase-related protein) (KRP). [Source:Uniprot/SWISSPROT;Acc:Q15746]
Tropomyosin 2, beta (TPM2)	late	Communication	downregulated	ENSG00000198467	TPM2	Tropomyosin beta chain (Tropomyosin-2) (Beta-tropomyosin). [Source:Uniprot/SWISSPROT;Acc:P07951]
E74-like factor 5 (ELF5)	late	Transcription/Translation	downregulated	ENSG00000135374	ELF5	ETS-related transcription factor Elf-5 (E74-like factor 5) (Epithelium-specific Ets transcription factor 2) (ESE-2) (Epithelium- restricted ESE-1-related Ets factor). [Source:Uniprot/SWISSPROT;Acc:Q9UKW6]
LIM domain binding 2 (LDB2)	late	Transcription/Translation	downregulated	ENSG00000169744	LDB2	LIM domain-binding protein 2 (Carboxyl-terminal LIM domain-binding protein 1) (CLIM-1) (LIM domain-binding factor CLIM1). [Source:Uniprot/SWISSPROT;Acc:O43679]
Transformation related protein 63 (TP73L/Trp63)	late	Transcription/Translation	downregulated	ENSG00000073282	TP63	Tumor protein p73-like (p73L) (p63) (Tumor protein 63) (TP63) (p51) (p40) (Keratinocyte transcription factor KET) (Chronic ulcerative stomatitis protein) (CUSP). [Source:Uniprot/SWISSPROT;Acc:Q9H3D4]
Folate receptor 1 (adult) (FOLR1)	early	Metabolism	downregulated	ENSG00000110195	FOLR1	Folate receptor alpha precursor (FR-alpha) (Folate receptor 1) (Folate receptor, adult) (Adult folate-binding protein) (FBP) (Ovarian tumor- associated antigen MOv18) (KB cells FBP). [Source:Uniprot/SWISSPROT;Acc:P15328]
Lactalbumin, alpha (LALBA)	early	Metabolism	downregulated	ENSG00000167531	LALBA	Alpha-lactalbumin precursor (Lactose synthase B protein) (Lysozyme- like protein 7). [Source:Uniprot/SWISSPROT;Acc:P00709]
Acetyl-Coenzyme A carboxylase beta (ACACB)	late	Metabolism	downregulated	ENSG00000076555	ACACB	Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta) [Includes: Biotin carboxylase (EC 6.3.4.14)]. [Source:Uniprot/SWISSPROT;Acc:O00763]
Casein beta (CSN2/Csnb)	late	Metabolism	downregulated	ENSG00000135222	CSN2	Beta-casein precursor. [Source:Uniprot/SWISSPROT;Acc:P05814]
Fatty acid binding protein 3, muscle and heart (FABP3)	late	Metabolism	downregulated	ENSG00000121769	FABP3	Fatty acid-binding protein, heart (H-FABP) (Heart-type fatty acid- binding protein) (Muscle fatty acid-binding protein) (M-FABP) (Mammary-derived growth inhibitor) (MDGI). [Source:Uniprot/SWISSPROT;Acc:P05413]
Fatty acid binding protein 4, adipocyte (FABP4)	late	Metabolism	downregulated	ENSG00000170323	FABP4	Fatty acid-binding protein, adipocyte (AFABP) (Adipocyte lipid-binding protein) (ALBP) (A-FABP). [Source:Uniprot/SWISSPROT;Acc:P15090]
Solute carrier family 16 (monocarboxylic acid transporters), member 4 (SLC16A4)	late	Metabolism	downregulated	ENSG00000168679	SLC16A4	Monocarboxylate transporter 5 (MCT 5) (MCT 4) (Solute carrier family 16 member 4). [Source:Uniprot/SWISSPROT;Acc:O15374]
