Affymetrix ID	Accession	Gene Symbol	Gene Description
204816_s_at	NM_014681	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34
223614_at	AL136588	DKFZp761D112	hypothetical protein DKFZp761D112
237268_at	BE503065	DSCAM	Down syndrome cell adhesion molecule
202668_at	BF001670	EFNB2	ephrin-B2
212830_at	W68084	EGFL5	EGF-like-domain, multiple 5
240038_at	AW057518	ELL2	elongation factor, RNA polymerase II, 2
226982_at	AI745624	ELL2	elongation factor, RNA polymerase II, 2
226099_at	AI924426	ELL2	elongation factor, RNA polymerase II, 2
204844_at	L12468	ENPEP	glutamyl aminopeptidase (aminopeptidase A)
209392_at	L35594	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)
207793_s_at	NM_004437	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)
205767_at	NM_001432	EREG	epiregulin
205225_at	NM_000125	ESR1	estrogen receptor 1
224225_s_at	AF218365	ETV7	ets variant gene 7 (TEL2 oncogene)
226623_at	AI829726	FAM13C1	family with sequence similarity 13, member C1
223941_at	AL136811	FBXO24	F-box only protein 24
1559096_x_at	AK095307	FBXO9	F-box only protein 9
204007_at	J04162	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)
204006_s_at	NM_000570	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor for (CD16)
218155_x_at	AK026565	FLJ10534	hypothetical protein FLJ10534
231204_at	AU158002	FLJ11331	hypothetical protein FLJ11331
1554119_at	BC010099	FLJ13154	hypothetical protein FLJ13154
213679_at	AL049329	FLJ13946	hypothetical protein FLJ13946
241720_at	BG501875	FLJ20403	hypothetical protein FLJ20403
225987_at	AA650281	FLJ23153	likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein
1559746_a_at	AK096662	FLJ90036	hypothetical protein FLJ90036
237086_at	AI693336	FOXA1	forkhead box A1
214190_x_at	AI799984	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2
204984_at	NM_001448	GPC4	glypican 4
209818_s_at	AF241831	HABP4	hyaluronan binding protein 4
40148_at	U62325	APBB2	similar to rat FE65 protein, GenBank Accession Number X60469; contains one WW domain and two phosphotyrosine interaction (PI) domains.; Human FE65-like protein (hFE65L) mRNA, partial cds.
215669_at	U70544	HLA-DRB3	major histocompatibility complex, class II, DR beta 3
211530_x_at	M90686	HLA-G	HLA-G histocompatibility antigen, class I, G
217436_x_at	M80469		heavy chain; Human MHC class I HLA-J gene, exons 1-8 and complete cds.
210457_x_at	AF176039	HMGA1	high mobility group AT-hook 1
220669_at	NM_017493	HSHIN1	HIV-1 induced protein HIN-1
205163_at	NM_013292	HUMMLC2B	myosin light chain 2
208965_s_at	BG256677	IFI16	interferon, gamma-inducible protein 16
206332_s_at	NM_005531	IFI16	interferon, gamma-inducible protein 16
219684_at	NM_022147	IFRG28	28kD interferon responsive protein
202490_at	AF153419	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein
1552609_s_at	NM_172139	IL28B	interleukin 28B (interferon, lambda 3)
206549_at	NM_002195	INSL4	insulin-like 4 (placenta)
221584_s_at	U11058	KCNMA1	potassium large conductance calcium-activated channel, subfamily M, alpha member 1
213261_at	AA035414	KIAA0342	KIAA0342 gene product
212427_at	AB002366	KIAA0368	KIAA0368
215112_x_at	AB020668	KIAA0861	Rho family guanine-nucleotide exchange factor
227433_at	AI651814	KIAA2018	similar to K06A9.1b.p
204272_at	NM_006149	LGALS4	lectin, galactoside-binding, soluble, 4 (galectin 4)
213684_s_at	BF671400	LIM	LIM protein (similar to rat protein kinase C-binding enigma)
227155_at	R10289	LMO4	LIM domain only 4
209205_s_at	BC003600	LMO4	LIM domain only 4
1553602_at	NM_058173	LOC118430	small breast epithelial mucin
228338_at	AA812993	LOC120376	hypothetical protein LOC120376
226702_at	AI742057	LOC129607	hypothetical protein LOC129607
229402_at	AI631824	LOC148418	dnaj-like protein
1554809_at	BC031673		hypothetical gene supported by BC031673
208154_at	NM_016646	LOC51336	mesenchymal stem cell protein DSCD28
239960_x_at	AW303539	LOC90624	hypothetical protein LOC90624
230194_at	AI341076	LRPPRC	leucine-rich PPR-motif containing
1562821_a_at	AF401033		M41 mRNA, complete sequence; alternatively spliced
229457_at	AU148042	FLJ20288	multiple ankyrin repeats, single KH-domain (MASK) homolog
242260_at	BG283790	MATR3	matrin 3
239586_at	AA085776	MGC14128	hypothetical protein MGC14128
238460_at	AI590662	MGC14128	hypothetical protein MGC14128
237308_at	AI733797	MGC14276	hypothetical protein MGC14276
228439_at	AW083820	LOC116071	hypothetical protein BC012330
238229_at	AI187388	MGC26979	hypothetical protein MGC26979
1554540_at	BC042869	MGC27277	hypothetical protein MGC27277
232647_at	AL137531	MGC39650	hypothetical protein MGC39650
222914_s_at	BG477640	MGC4659	hole gene
243887_at	AI830655	MRPL30	mitochondrial ribosomal protein L30
205322_s_at	AW182367	MTF1	metal-regulatory transcription factor 1
202431_s_at	NM_002467	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)
241966_at	N67810	MYO5A	myosin VA (heavy polypeptide 12, myoxin)
210268_at	AF332009	NFX1	nuclear transcription factor, X-box binding 1
242612_at	AI922696	NPEPPS	aminopeptidase puromycin sensitive
209505_at	AI951185	NR2F1	nuclear receptor subfamily 2, group F, member 1
236930_at	AW167424	NUMB	numb homolog (Drosophila)
205552_s_at	NM_002534	OAS1	2,5-oligoadenylate synthetase 1, 40/46kDa
205660_at	NM_003733	OASL	2-5-oligoadenylate synthetase-like
1555723_at	AB062480		Homo sapiens OK/SW-cl.79 mRNA, complete cds.
203060_s_at	AF074331	PAPSS2	Homo sapiens PAPS synthetase-2 (PAPSS2) mRNA, complete cds.
231666_at	AA194168	PAX3	paired box gene 3 (Waardenburg syndrome 1)
223629_at	BC001186	PCDHB5	protocadherin beta 5
214582_at	NM_000753	PDE3B	go_component: membrane [goid 0016020] [evidence IEA]; go_function: cGMP-inhibited cyclic-nucleotide phosphodiesterase activity [goid 0004119] [evidence TAS] [pmid 8884271]; go_function: hydrolase activity [goid 0016787] [evidence IEA]; go_process: signal transduction [goid 0007165] [evidence IEA]; Homo sapiens phosphodiesterase 3B, cGMP-inhibited (PDE3B), mRNA.
202464_s_at	NM_004566	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
233467_s_at	AF176071	PHEMX	pan-hematopoietic expression
225688_s_at	AK025444	LL5beta	pleckstrin homology-like domain, family B, member 2
210809_s_at	D13665	OSF-2	periostin, osteoblast specific factor
208345_s_at	NM_002699	POU3F1	POU domain, class 3, transcription factor 1
209355_s_at	AB000889	PPAP2B	phosphatidic acid phosphatase type 2B
221615_at	AF104013	PPIE	peptidylprolyl isomerase E (cyclophilin E)
1553684_at	NM_173672	PPIL6	peptidylprolyl isomerase (cyclophilin)-like 6
239094_at	AA479155	PPP2CA	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform
210195_s_at	M34715	PSG1	pregnancy specific beta-1-glycoprotein 1
228204_at	AA630330	PSMB4	proteasome (prosome, macropain) subunit, beta type, 4
37793_r_at	AF034956	RAD51L3	RAD51-like 3 (S. cerevisiae)
1565132_at	U94385		Y chromosome spermatogenesis candidate protein (RBM) pseudogene mRNA, partial cds
60471_at	AA625133	RIN3	Ras and Rab interactor 3
241017_at	AA779927	RPL31	ribosomal protein L31
234875_at	AJ224082		Homo sapiens rpL7a pseudogene, clone 3a.
206893_at	NM_002968	SALL1	sal-like 1 (Drosophila)
206668_s_at	NM_004866	SCAMP1	secretory carrier membrane protein 1
223843_at	AB007830	SCARA3	scavenger receptor class A, member 3
223965_at	AF118082	SECP43	tRNA selenocysteine associated protein
206442_at	NM_003007	SEMG1	semenogelin I
1554616_at	BC034528	SERPINB8	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 8
220979_s_at	NM_030965	SIAT7E	sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) E
211349_at	AB001328	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1
57588_at	R62432	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
223044_at	AL136944	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1
210739_x_at	AF069510	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4
230066_at	AW134876	SNX25	sorting nexin 25
200665_s_at	NM_003118	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)
208586_s_at	NM_005636	SSX4	synovial sarcoma, X breakpoint 4
223746_at	BC005231	STK4	serine/threonine kinase 4
244404_at	AI376134	STXBP4	syntaxin binding protein 4
210247_at	AW139618	SYN2	synapsin II
236146_at	BF593158	SYNCRIP	synaptotagmin binding, cytoplasmic RNA interacting protein
228483_s_at	BE856250	TAF9L	TAF9-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 31kDa
238322_s_at	AA337048	TEAD2	TEA domain family member 2
232760_at	AL133653	TEX15	testis expressed sequence 15
216109_at	AK025348	KIAA1025	thyroid hormone receptor associated protein 2
1555238_at	AY037555	TIP39	tuberoinfundibular 39 residue protein precursor
223617_x_at	BC002542	TOB3	AAA-ATPase TOB3
1565886_at	W04694	TRPM7	transient receptor potential cation channel, subfamily M, member 7
218424_s_at	NM_018234	TSAP6	dudulin 2
1569472_s_at	BC026260	TTC3	tetratricopeptide repeat domain 3
1555474_at	BC009479		synonyms: DKFZP434B103, HOTTL; Homo sapiens tubulin tyrosine ligase-like family, member 3, mRNA (cDNA clone IMAGE:3841498), complete cds.
205694_at	NM_000550	TYRP1	tyrosinase-related protein 1
207126_x_at	NM_000463	UGT1A10	UDP glycosyltransferase 1 family, polypeptide A10
241755_at	AI961429	UQCRC2	ubiquinol-cytochrome c reductase core protein II
1553263_at	NM_173477	USH1G	Usher syndrome 1G (autosomal recessive)
228480_at	AW296039	VAPA	VAMP (vesicle-associated membrane protein)-associated protein A, 33kDa
238660_at	AI732512	WDFY3	WD repeat and FYVE domain containing 3
205990_s_at	NM_003392	WNT5A	wingless-type MMTV integration site family, member 5A
1555775_a_at	AY191416	ZAR1	zygote arrest 1
229301_at	AA046436	FLJ20618	zinc finger, CW-type with coiled-coil domain 1
240565_at	AW590434	ZFP28	zinc finger protein 28 homolog (mouse)
243128_at	AI684437	ZNF175	zinc finger protein 175
230919_at	AW006620	ZNF233	zinc finger protein 233
1564190_x_at	AK096748	LOC162655	zinc finger protein 519
1553247_a_at	NM_152601	MGC26914	zinc finger protein 564
228988_at	AU157017	ZNF6	zinc finger protein 6 (CMPX1)
1560075_at	AF075104	ZPR9	zinc finger-like protein 9
244822_at	AA811244		Transcribed sequences
244738_at	BG109305	FLJ38568	Transcribed sequence with weak  similarity to protein ref:NP_060404.1 (H.sapiens)  pleckstrin homology domain interacting protein [Homo sapiens]
244467_at	AW136354		Transcribed sequences
244346_at	AW298171		UI-H-BW0-ajt-a-07-0-UI.s1 NCI_CGAP_Sub6 Homo sapiens cDNA clone IMAGE:2732821 3, mRNA sequence.
243794_at	AW510778		Transcribed sequences
243791_at	AW979261		Transcribed sequences
243527_at	AW793677		MR1-UM0008-200300-004-c02 UM0008 Homo sapiens cDNA, mRNA sequence.
243501_at	BF002823	ATP5F1	Transcribed sequences
243375_at	AI742685		Transcribed sequences
243216_x_at	T87178	ARHGAP12	yd91d06.s1 Soares fetal liver spleen 1NFLS Homo sapiens cDNA clone IMAGE:115595 3, mRNA sequence.
242613_at	AI809536		Transcribed sequences
242551_at	AI223854		Transcribed sequences
242310_at	AA665058		Transcribed sequences
242191_at	AI701905		Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]
242142_at	AI821496		Transcribed sequences
242022_at	BF883581		Transcribed sequence with weak  similarity to protein sp:P39191 (H.sapiens) ALU4_HUMAN Alu subfamily SB2 sequence contamination warning entry
241917_at	AA875908		Transcribed sequences
241893_at	BE927766		Transcribed sequences
241849_at	BE674703		7e94e04.x1 NCI_CGAP_CLL1 Homo sapiens cDNA clone IMAGE:3292830 3 similar to contains Alu repetitive element;contains element MIR repetitive element ;, mRNA sequence.
241365_at	AA002140		CDNA FLJ42259 fis, clone TKIDN2011289
241310_at	AI685841		Transcribed sequences
241202_at	AA779283		Transcribed sequences
241091_at	BE551142		Transcribed sequence with moderate similarity to protein sp:P39194 (H.sapiens) ALU7_HUMAN Alu subfamily SQ sequence contamination warning entry
240867_at	AI017875		Transcribed sequences
240417_at	R61388		Transcribed sequences
240268_at	BF059380		CDNA clone IMAGE:5272477, partial cds
240206_at	AA701890		Transcribed sequences
240108_at	BE349858		Transcribed sequences
240020_at	BF059537		7k62b11.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:3479781 3 similar to contains L1.t2 L1 repetitive element ;, mRNA sequence.
239999_at	N66393		LOC388815 (LOC388815), mRNA
239646_at	BF003148		Transcribed sequences
238713_at	AI089783		Transcribed sequence with weak  similarity to protein sp:P39192 (H.sapiens) ALU5_HUMAN Alu subfamily SC sequence contamination warning entry
238634_x_at	AI924246	FLJ11218	wn03f05.x1 NCI_CGAP_Ut2 Homo sapiens cDNA clone IMAGE:2444385 3, mRNA sequence.
238213_at	AW510697		Transcribed sequences
237802_at	R54212	KIAA1889	yg98h10.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:41835 3, mRNA sequence.
237377_at	AA069425		Transcribed sequences
237168_at	AA708016	KIAA0266	zg05c07.s1 Soares_pineal_gland_N3HPG Homo sapiens cDNA clone IMAGE:392460 3, mRNA sequence.
237064_x_at	AW593330		Transcribed sequences
237025_at	AI127738		Transcribed sequences
236714_at	R40018		yf68c07.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:27605 3, mRNA sequence.
236153_at	BF447323		7p47g03.x1 NCI_CGAP_Pr28 Homo sapiens cDNA clone IMAGE:3648965 3 similar to contains Alu repetitive element;contains element PTR5 repetitive element ;, mRNA sequence.
236137_at	AW139055		Transcribed sequences
235964_x_at	AA603344		np29d10.s1 NCI_CGAP_Pr22 Homo sapiens cDNA clone IMAGE:1117747 3 similar to contains Alu repetitive element;contains element L1 repetitive element ;, mRNA sequence.
235329_at	AW083983		xc36g09.x1 NCI_CGAP_Co20 Homo sapiens cDNA clone IMAGE:2586400 3, mRNA sequence.
235061_at	AV706522	DKFZp761G058	AV706522 ADB Homo sapiens cDNA clone ADBDAF07 5, mRNA sequence.
235060_at	AL047052		CDNA FLJ30147 fis, clone BRACE2000266
234068_s_at	AC_006942	AP2A1
234009_at	AK023839		CDNA FLJ13777 fis, clone PLACE4000392
233419_at	AK021913		CDNA FLJ11851 fis, clone HEMBA1006744
232849_at	AI761436		Hypothetical protein LOC149692 (LOC149692), mRNA
232656_at	AU145501		CDNA FLJ11692 fis, clone HEMBA1004983
232113_at	N90870		MRNA; cDNA DKFZp564B182 (from clone DKFZp564B182)
231655_x_at	AW238005		xp15b02.x1 NCI_CGAP_HN9 Homo sapiens cDNA clone IMAGE:2740395 3 similar to contains element MER21 repetitive element ;, mRNA sequence.
230493_at	AW664964		Transcribed sequence with weak  similarity to protein ref:NP_060312.1 (H.sapiens)  hypothetical protein FLJ20489 [Homo sapiens]
229623_at	BF508344		CDNA clone IMAGE:6301163, containing frame-shift errors
228335_at	AW264204	CLDN11	xq97e11.x1 NCI_CGAP_Brn53 Homo sapiens cDNA clone IMAGE:2758604 3, mRNA sequence.
227929_at	AU151342		CDNA FLJ12935 fis, clone NT2RP2004982
227480_at	Z92546
227474_at	AY007128		CDNA FLJ26765 fis, clone PRS02774
227090_at	AA194264	BHC80	zr39e12.s1 Soares_NhHMPu_S1 Homo sapiens cDNA clone IMAGE:665806 3, mRNA sequence.
226534_at	AI446414		tj10h10.x1 NCI_CGAP_Gas4 Homo sapiens cDNA clone IMAGE:2141155 3, mRNA sequence.
226197_at	AW173504		Transcribed sequences
226192_at	T68445		yc42e04.s1 Stratagene liver (#937224) Homo sapiens cDNA clone IMAGE:83358 3, mRNA sequence.
226189_at	BF513121		Clone IMAGE:4794726, mRNA
225762_x_at	AL531683		AL531683 Homo sapiens FETAL LIVER Homo sapiens cDNA clone CS0DM008YI01 3-PRIME, mRNA sequence.
225102_at	BG168471		CDNA clone IMAGE:4441572, partial cds
225019_at	BF797381	CAMK2D	602257023F1 NIH_MGC_85 Homo sapiens cDNA clone IMAGE:4340525 5, mRNA sequence.
224973_at	AL078599	C6orf37	Human DNA sequence from clone RP5-991C6 on chromosome 6q14.1-15, complete sequence.
224940_s_at	BF107618		601823976F1 NIH_MGC_79 Homo sapiens cDNA clone IMAGE:4043586 5, mRNA sequence.
224823_at	AA526844		MSTP083 mRNA, complete cds
221974_at	AW770748		hl90a07.x1 NCI_CGAP_Lu24 Homo sapiens cDNA clone IMAGE:3009204 3, mRNA sequence.
220691_at	NM_014114
217475_s_at	AC_002073
217337_at	AL021877		Human DNA sequence from clone RP1-101G11 on chromosome 22q12, complete sequence.
216931_at	L23852		Putative 3 end of coding region; putative; Homo sapiens (clone Z146) retinal mRNA, 3 end and repeat region.
215024_at	AK000993		CDNA FLJ10131 fis, clone HEMBA1003041
214294_at	AI122905		MRNA, chromosome 1 specific transcript KIAA0485.
213425_at	AI968085	WNT5A	wu12h08.x1 NCI_CGAP_GC6 Homo sapiens cDNA clone IMAGE:2516799 3, mRNA sequence.
213131_at	R38389	OLFM1	yc96b12.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:23744 3, mRNA sequence.
213017_at	AL534702	ABHD3	AL534702 Homo sapiens FETAL BRAIN Homo sapiens cDNA clone CS0DF006YN17 3-PRIME, mRNA sequence.
211959_at	AW007532	IGFBP5	ws52h07.x1 NCI_CGAP_Brn25 Homo sapiens cDNA clone IMAGE:2500861 3, mRNA sequence.
211632_at	L34163		Clone HA1 anti-HAV capsid immunoglobulin G heavy chain variable region mRNA, partial cds
210920_x_at	BC003528		Homo sapiens cDNA clone MGC:10782 IMAGE:3608303, complete cds.
210598_at	AF130051		Clone FLB3535 PRO0898 mRNA, complete cds
1570143_at	BC014363		Clone IMAGE:3932570, mRNA
1569305_a_at	BC040412		Clone IMAGE:5184855, mRNA
1569091_at	BC039458		Clone IMAGE:4796452, mRNA
1566901_at	AL832409		MRNA; cDNA DKFZp667F2113 (from clone DKFZp667F2113)
1566697_at	AL117464		MRNA; cDNA DKFZp586I2322 (from clone DKFZp586I2322)
1565681_s_at	N42910		yy08d11.r1 Soares melanocyte 2NbHM Homo sapiens cDNA clone IMAGE:270645 5, mRNA sequence.
1564690_at	BC022435		Homo sapiens cDNA clone IMAGE:4280848, partial cds.
1561604_at	BC028845		Homo sapiens cDNA clone IMAGE:4796102, partial cds.
1561255_at	BC040329		Clone IMAGE:4827712, mRNA
1559926_at	BC031683		Clone IMAGE:5167209, mRNA
1559372_at	BC039533		Clone IMAGE:5743964, mRNA
1559360_at	AL833045		Homo sapiens mRNA; cDNA DKFZp666E199 (from clone DKFZp666E199).
1559049_a_at	AA331299		CDNA FLJ30371 fis, clone BRACE2007836
1558587_at	BC042064		Hypothetical gene supported by BC036933 (LOC401220), mRNA
1558466_at	BE156619		Clone IMAGE:125405, mRNA sequence
1558401_at	AW953994		CDNA FLJ41675 fis, clone HCASM2002148
1557805_at	AF085969		Full length insert cDNA clone YT85B06
1557538_at	AI862062		tw71d02.x1 NCI_CGAP_Ut3 Homo sapiens cDNA clone IMAGE:2265123 3 similar to contains Alu repetitive element;contains element MER10 repetitive element ;, mRNA sequence.
1556682_s_at	AF086391		Homo sapiens full length insert cDNA clone ZD73H04.
1556499_s_at	BE221212		hu22a05.x1 NCI_CGAP_Mel15 Homo sapiens cDNA clone IMAGE:3170768 3 similar to gb:K01228 PROCOLLAGEN ALPHA 1(I) CHAIN PRECURSOR (HUMAN);, mRNA sequence.
1556081_at	CA314425		UI-CF-FN0-afm-l-16-0-UI.s1 UI-CF-FN0 Homo sapiens cDNA clone UI-CF-FN0-afm-l-16-0-UI 3, mRNA sequence.
1555867_at	BM666010	GNG4	UI-E-DX1-agt-k-13-0-UI.s1 UI-E-DX1 Homo sapiens cDNA clone UI-E-DX1-agt-k-13-0-UI 3, mRNA sequence.
1552867_at	NM_138474	ZNF198
1552789_at	NM_153039	FLJ32803
