Symbol	Gene ID	Log2	CV	Description	Prenatal exposure to high dose (250micrograms) of BPA
Pvalb	NM_022499	1.89	1.23	Parvalbumin	50 days
Pygm	BU759352	0.97	0.97	Muscle glycogen phosphorylase	50 days
Rps6kb2	BQ210840	1	0.87	Ribosomal protein S6 kinase, polypeptide 2 (predicted)	50 days
Rs21c6	NM_138892	1.06	0.67	RS21-C6 protein	50 days
Rtn3	NM_080909	0.87	0.21	Reticulon 3	50 days
Slpi	NM_053372	1.09	0.54	Secretory leukocyte peptidase inhibitor	50 days
Ssr1	AW915253	0.87	0.46	Signal sequence receptor, alpha (predicted)	50 days
Stmn1	NM_017166	0.91	0.47	Stathmin 1	50 days
Tnni2	NM_017185	1.82	0.93	Troponin 1, type 2	50 days
Ttn	BF550734	1.5	1.04	Titin	50 days
Vim	NM_031140	0.9	0.33	Vimentin	50 days
Wap	NM_053751	1.58	0.75	Whey acidic protein	50 days
ADRP	CB545026	-1.21	-0.55	Adipose differentiation-related protein	100 days
Aldoa	NM_012495	-1.4	-1.33	Aldolase A	100 days
Apln	NM_031612	-1.3	-0.58	Apelin, AGTRL1 ligand	100 days
Ckm	NM_012530	-1.87	-1.98	Creatine kinase, muscle	100 days
Cox8h	NM_012786	-1.32	-2.39	Cytochrom c oxidase subunit VIII-H (heart/muscle)	100 days
Cryab	NM_012935	-1.42	-1.27	Crystallin, alpha B	100 days
Csn10	NM_031562	-1.62	-0.86	Casein kappa	100 days
Csrp3	NM_057144	-2.46	-1.21	Cysteine-rich protein 3	100 days
Cst11	NM_139085	-1.2	-1.14	Cystatin 11	100 days
Ddit4l	NM_080399	-1.77	-1.33	DNA-damage-inducible transcript 4-like	100 days
Dmn	AW527535	-1.39	-0.83	Desmuslin	100 days
Fabp3	NM_024162	-1.24	-0.38	Fatty acid binding protein 3	100 days
Fhl1	BI288859	-1.28	-1.72	Four and a half LIM domains 1	100 days
Gad1	NM_017007	-1.96	-0.02	Glutamate decarboxylase 1	100 days
Hrc	BI296909	-1.97	-1.59	Histidine rich calcium binding protein	100 days
Kbtbd10	NM_057191	-2.07	-1.58	Kelch repeat and BTB (POZ) domain containing 10	100 days
Mb	NM_021588	-1.77	-1.62	Myoglobin	100 days
Mg29	AW918099	-1.44	-2	Mitsugumin 29 (predicted)	100 days
Ms1	BF549525	-1.55	-1.91	Striated muscle activator of Rho-dependent signaling	100 days
Mybph	NM_031813	-1.4	-1.86	Myosin binding protein H	100 days
Myl2	NM_012605	-1.7	-2.1	Myosin, light polypeptide 2	100 days
Myom1	BF556230	-1.33	-1.43	Myomesin 1 (skelemin) 185kDa	100 days
Myom2	BE109496	-1.68	-1.97	Myomesin 2	100 days
Obscn	BF404478	-1.48	-1.66	Obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	100 days
Pdlim3	NM_053650	-1.59	-1.08	PDZ and LIM domain 3	100 days
Pfkm	NM_031715	-1.39	-1.57	Phosphofructokinase, muscle	100 days
Pgam2	NM_017328	-1.46	-2.07	Phosphoglycerate mutase 2	100 days
Pgm1	NM_017033	-1.38	-0.81	Phosphoglucomutase 1	100 days
Ppp1r1a	NM_022676	-1.46	-0.71	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	100 days
Pvalb	NM_022499	-2.12	-1.78	Parvalbumin	100 days
Rabep2	NM_058213	-1.98	-1.74	Rabaptin, RAB GTPase binding effector protein 2	100 days
Rnf28	NM_080903	-1.41	-1.48	Tripartite motif-containing 63	100 days
Ryr1	AI575442	-1.47	-1.95	Ryanodine receptor 1, skeletal muscle	100 days
Scn1b	NM_017288	-1.5	-0.94	Sodium channel, voltage-gated, type I, beta polypeptide	100 days
Six1	BE118652	-1.3	-1.12	Sine oculis homeobox homolog 1 (Drosophila)	100 days
Slc25a4	BG670811	-1.18	-0.75	Solute carrier family 25 (mitochondrial adenine nucleotide translocator) member 4	100 days
Smpx	NM_053395	-1.18	-1.36	Small muscle protein, X-linked	100 days
Thedc1	NM_022705	-2.1		Thioesterase domain containing 1	100 days
Tnni1	NM_017184	-1.29	-1.3	Troponin I, skeletal, slow 1	100 days
Trdn	BF555973	-1.44	-1.54	Triadin	100 days
Ttn	BF550734	-2.21	-1.69	Titin	100 days
Wap	NM_053751	-1.76	-0.68	Whey acidic protein	100 days
A2m	NM_012488	1.2	0.93	Alpha-2-macroglobulin	100 days
Actn3	NM_133424	1.21	1.08	Actinin alpha 3	100 days
Actr3	CB544559	1.3	0.47	ARP3 actin-related protein 3 homolog (yeast)	100 days
Adcy7	AA894292	1.34	0.39	Adenylate cyclase 7	100 days
Adrb2	NM_012492	1.09	0.31	Adrenergic receptor, beta 2	100 days
Bcl2a1	NM_133416	1.46	0.89	B-cell leukemia/lymphoma 2 related protein A1	100 days
Birc3	NM_023987	1.87	0.8	Inhibitor of apoptosis protein 1	100 days
Bst1	NM_030848	1.65	0.8	Bone marrow stromal cell antigen 1	100 days
Btg1	NM_017258	1.61	1.02	B-cell translocation gene 1, anti-proliferative	100 days
Btg2	NM_017259	1.12	0.89	B-cell translocation gene 2, anti-proliferative	100 days
Btk	AI113328	1.78	0.76	Bruton agammaglobulinemia tyrosine kinase	100 days
Bzrap1	BU760095	1.59	1.13	Benzodiazapine receptor associated protein 1	100 days
C2ta	BF282124	1.83	0.81	MHC class II transactivator	100 days
Casp8	NM_022277	1.34	0.43	Caspase 8	100 days
Ccl5	NM_031116	1.43	0.16	Chemokine (C-C motif) ligand 5	100 days
Cd18	BF282236	2.22	0.68	Integrin beta 2 (predicted)	100 days
Cd2	NM_012830	1.25	1.32	Hypothetical gene supported by NM_012830	100 days
Cd3d	NM_013169	1.34	1.18	CD3 antigen delta polypeptide	100 days
Cd44	NM_012924	1.33	0.36	CD44 antigen	100 days
Cd5	NM_019295	2.15	1.24	CD5 antigen	100 days
Cd53	NM_012523	1.65	1.12	CD53 antigen	100 days
Cd6	BF391027	1.44	1.22	CD6 antigen	100 days
Cflar	NM_057138	1.32	0.55	CASP8 and FADD-like apoptosis regulator	100 days
Cktsf1b1	NM_019282	1.89	1.04	Gremlin 1 homolog, cysteine knot superfamily (Xenopus laevis)	100 days
Cnp1	AI412542	1.08	0.18	Cyclic nucleotide phosphodiesterase 1	100 days
Coro1a	NM_130411	2.21	1.2	Coronin, actin binding protein 1A	100 days
Ctse	NM_012938	1.95	0.83	Cathepsin E	100 days
Cxcl10	NM_139089	1.22	0.93	Chemokine (C-X-C motif) ligand 10	100 days
Cxcr4	NM_022205	1.18	1.33	Chemokine (C-X-C motif) receptor 4	100 days
Cybb	AI137330	1.19	0.9	Cytochrome b-245, beta polypeptide	100 days
Dcir3	BE120531	1.19	0.14	Dendritic cell inhibitory receptor 3	100 days
Dnase1l3	NM_053907	1.46	0.82	Deoxyribonuclease I-like 3	100 days
Eif2ak3	NM_031599	1.08	0.28	Eukaryotic translation initiation factor 2 alpha kinase 3	100 days
Ets1	NM_012555	1.48	1.05	V-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	100 days
Evl	NM_024147	1.75	0.98	Ena-vasodilator stimulated phosphoprotein	100 days
Fcna	NM_031348	1.09	0.72	Ficolin A	100 days
Fcnb	NM_053634	1.37	0.36	Ficolin B	100 days
Fut4	BI285246	1.64	0.82	Fucosyltransferase 4	100 days
Fxyd5	NM_021909	1.17	1	FXYD domain-containing ion transport regulator 5	100 days
G18	AW531675	1.3	0.87	G-protein signalling modulator 3 (AGS3-like, C. elegans)	100 days
Galgt1	NM_022860	1.57	0.9	UDP-N-acetyl-alpha-D-galactosamine:(N-acetylneuraminyl)-galactosylglucosylceramide-beta-1, 4-N-acetylgalactosaminyltransferase	100 days
Gfra2	NM_012750	1.29	0.84	Glial cell line derived neurotrophic factor family receptor alpha 2	100 days
Gimap4	NM_173153	1.31	1.02	GTPase, IMAP family member 4	100 days
Gimap5	NM_145680	1.37	0.92	GTPase, IMAP family member 5	100 days
Gli	BQ206837	1.19	1.03	GLI-Kruppel family member GLI1	100 days
Gprk6	NM_031657	1.25	0.71	G protein-coupled receptor kinase 6	100 days
Gzmm	AI535510	1.35	0.56	Granzyme M (lymphocyte met-ase 1)	100 days
Hes5	AA900438	2.22	1.03	Hairy and enhancer of split 5 (Drosophila)	100 days
Hhex	NM_024385	1.45	0.55	Hematopoietically expressed homeobox	100 days
Hpse	NM_022605	1.23	0.76	Heparanase	100 days
Icam1	NM_012967	1.11	0.39	Intercellular adhesion molecule 1	100 days
Igb	NM_133533	2.51	1.11	CD79B antigen	100 days
Igfbp3	NM_012588	1.22	0.89	Insulin-like growth factor binding protein 3	100 days
Igha	BQ199484	1.32	0.45	Immunoglobulin heavy chain (alpha polypeptide)	100 days
Il16	BM385972	1.66	0.99	Interleukin 16	100 days
Il1b	NM_031512	1.36	0.54	Interleukin 1 beta	100 days
Il2rb	NM_013195	1.27	0.86	Interleukin 2 receptor, beta chain	100 days
Il6r	NM_017020	1.18	0.48	Interleukin 6 receptor	100 days
isg12	BF398773	1.29	0.45	Putative ISG12(b) protein	100 days
Laptm5	NM_053538	1.53	0.97	Lysosomal-associated protein transmembrane 5	100 days
Lat	NM_030853	1.59	0.7	Linker for activation of T cells	100 days
Lck	AW917510	2.1	1.01	Lymphocyte protein tyrosine kinase	100 days
Lcp2	AA892316	1.55	0.77	Lymphocyte cytosolic protein 2	100 days
Lcptp	NM_145683	1.52	0.96	Protein tyrosine phosphatase, non-receptor type 7	100 days
LOC474169	AI548308	1.22	0.97	Pre-eosinophil-associated ribonuclease-2	100 days
Lpxn	BF524525	1.52	0.85	Leupaxin (predicted)	100 days
Ltb	AW916096	1.99	1.22	Lymphotoxin B	100 days
Lyz	AA858732	1.72	0.91	Lysozyme	100 days
Map3k8	NM_053847	1.48	0.51	Mitogen-activated protein kinase kinase kinase 8	100 days
Mefv	NM_031634	1.46	0.51	Mediterranean fever	100 days
Mfng	AI231289	1.14	0.78	Manic fringe homolog (Drosophila)	100 days
Napsa	NM_031670	1.76	0.83	Napsin A aspartic peptidase	100 days
Omg	AI171162	1.38	0.66	Oligodendrocyte-myelin glycoprotein	100 days
Pacsin1	BE120516	1.63	0.99	Protein kinase C and casein kinase substrate in neurons1	100 days
Pde6h	NM_053688	1.58	0.94	Phosphodiesterase 6H, cGMP-specific, cone, gamma	100 days
Pgsg	NM_020074	1.27	0.57	Proteoglycan peptide core protein	100 days
Pkib	NM_012627	1.46	0.57	Protein kinase (cAMP dependent, catalytic) inhibitor beta	100 days
Plcg2	NM_017168	1.3	0.52	Phospholipase C, gamma 2	100 days
Pole	CB545690	1.13	0.77	Polymerase (DNA directed), epsilon	100 days
Prf1	NM_017330	1.11	0.81	Perforin 1 (pore forming protein)	100 days
Ptk2b	NM_017318	1.24	0.56	Protein tyrosine kinase 2 beta	100 days
Ptph6	NM_053908	1.46	0.99	Protein tyrosine phosphatase, non-receptor type 6	100 days
Ptprc	AI177752	2.1	1.17	Protein tyrosine phosphatase, receptor type, C	100 days
RABIN3	NM_017313	1.1	1.02	RAB3A interacting protein	100 days
Rassf5	NM_019365	1.53	0.92	Ras association (RalGDS/AF-6) domain family 5	100 days
Rgs10	BQ196236	1.15	0.47	Regulator of G-protein signalling 10	100 days
Rgs14	NM_053764	1.4	0.76	Regulator of G-protein signaling 14	100 days
Rgs19	NM_021661	1.09	0.57	Regulator of G-protein signaling 19	100 days
Ripk3	NM_139342	1.41	0.52	Receptor-interacting serine-threonine kinase 3	100 days
Rps6kb2	BQ210840	2.13	1.15	Ribosomal protein S6 kinase, polypeptide 2 (predicted)	100 days
RT1-Da	BQ211478	1.45	1.08	RT1 class II, locus Da	100 days
Runx3	AI709792	1.7	0.72	Runt-related transcription factor 3	100 days
Sell	NM_019177	1.21	1.03	Selectin, lymphocyte	100 days
Sh2d2a	AA956603	1.54	0.99	SH2 domain protein 2A	100 days
Sipa1	BI275966	1.21	0.83	Signal-induced proliferation-associated gene 1	100 days
Slc16a6	BI289867	1.8	0.73	Solute carrier family 16 (monocarboxylic acid transporters), member 6	100 days
Slc22a3	NM_019230	1.17	0.05	Solute carrier family 22, member 3	100 days
Slpi	NM_053372	2.13	1.09	Secretory leukocyte peptidase inhibitor	100 days
Smpx	NM_053395	1.24	0.29	Small muscle protein, X-linked	100 days
Smstr28	NM_133522	1.76	1	Hypothetical gene supported by NM_133522	100 days
Stk17b	BQ208294	1.95	1.05	Serine/threonine kinase 17b (apoptosis-inducing)	100 days
Syk	NM_012758	1.41	0.64	Spleen tyrosine kinase	100 days
Tec	BE097141	1.37	0.51	Tec protein tyrosine kinase	100 days
Tg	AI500952	1.74	0.94	Thyroglobulin	100 days
Tnfrsf1b	BF552637	1.13	0.28	Hypothetical gene supported by NM_130426	100 days
Tnfrsf5	AW433947	2	0.09	Tumor necrosis factor receptor superfamily, member 5	100 days
Ubd	NM_053299	1.13	0.64	Ubiquitin D	100 days
Unc13h4	NM_138844	1.43	0.72	Munc13-4 protein	100 days
Vav1	NM_012759	1.7	0.85	Vav 1 oncogene	100 days
Vcam1	NM_012889	1.53	0.78	Vascular cell adhesion molecule 1	100 days
WAS	AW534613	1.57	0.67	Wiskott-Aldrich syndrome protein	100 days
Waspip	BF283711	1.26	0.37	Wiskott-Aldrich syndrome protein interacting protein	100 days
Zap70	BM387946	1.79	0.97	Zeta-chain (TCR) associated protein kinase 70kDa	100 days
Zfp36	AA858882	1.18	0.54	Zinc finger protein 36	100 days
