Probe Set	Accession	Gene Symbol	FC:(Tduc/ normal lobular)	pfp	Increase	Decrease
205883_at	NM_006006	ZBTB16	-3,16156	0,0261	0	4
214790_at	AK001406	SENP6	-3,1211	0,0907	0	4
220425_x_at	NM_017578	ROPN1B	-3,10655	0,0491	0	4
213238_at	AI478147	ATP10D	-3,09885	0,0412	0	4
209283_at	AF007162	CRYAB	-3,08261	0,0599	0	5
216614_at	AL049988	ITPR2	-3,06937	0,0674	0	4
241017_at	AA779927	TBC1D8	-3,06091	0,0824	0	4
201160_s_at	AL556190	CSDA	-3,05904	0,0532	1	4
219857_at	NM_024889	C10orf81	-3,0553	0,0537	1	4
232541_at	AK000106	EGFR	-3,03951	0,0966	0	4
207961_x_at	NM_022870	MYH11	-3,03674	0,0615	0	4
238584_at	W52934	IQCA	-3,03398	0,0344	1	4
227239_at	AV734839	DRCTNNB1A	-3,01296	0,0794	0	4
217627_at	BE515346	ZNF573	-3,003	0,0937	0	4
203065_s_at	NM_001753	CAV1	-2,93083	0,056	0	4
209292_at	AL022726	ID4	-2,9163	0,0383	0	5
217022_s_at	S55735	IGHA1 /// IGHA2 /// MGC27165	-2,886	0,0603	1	4
238625_at	AI452457	C1orf168	-2,86041	0,0819	1	4
201012_at	NM_000700	ANXA1	-2,84576	0,0737	0	5
227662_at	AA541622	SYNPO2	-2,83768	0,0674	1	4
221234_s_at	NM_021813	BACH2	-2,78629	0,0431	1	4
229623_at	BF508344	LOC441027	-2,74348	0,0998	1	4
239258_at	BE551407	RHOQ	-2,68601	0,0948	0	4
225895_at	AI634580	SYNPO2	-2,6617	0,0962	1	4
208370_s_at	NM_004414	DSCR1	-2,65604	0,0899	0	5
218197_s_at	NM_018002	OXR1	-2,64901	0,0982	0	4
222113_s_at	AV710549	EPS15L1	2,6948	0,0801	4	0
227245_at	AW511198	FLJ13089	2,7297	0,0955	4	0
204825_at	NM_014791	MELK	2,7654	0,0813	4	0
222250_s_at	AK001363	C1orf73	2,7871	0,1002	4	0
224377_s_at	AF274957	RAB18	2,8636	0,0901	5	0
222608_s_at	AK023208	ANLN	2,8652	0,0763	4	0
220329_s_at	NM_017909	C6orf96	2,8849	0,086	4	0
229479_at	AI739132	---	2,8972	0,0633	4	0
208091_s_at	NM_030796	ECOP	2,9726	0,0915	4	0
212344_at	AW043713	SULF1	2,9789	0,0816	5	0
206710_s_at	NM_012307	EPB41L3	2,9915	0,0937	4	0
222555_s_at	AI338045	MRPL44	3,0078	0,073	4	0
213007_at	W74442	FLJ10719	3,0104	0,0803	4	0
223746_at	BC005231	STK4	3,0133	0,0904	4	1
205034_at	NM_004702	CCNE2	3,0135	0,0575	4	0
212989_at	AI377497	TMEM23	3,0338	0,0767	4	0
222754_at	BE552215	TRNT1	3,0363	0,0759	4	0
204620_s_at	NM_004385	CSPG2	3,0416	0,0795	4	0
239108_at	H16791	MLSTD1	3,0496	0,091	4	0
211421_s_at	M31213	RET	3,0784	0,0153	4	0
204051_s_at	AW089415	SFRP4	3,1089	0,0831	4	1
212905_at	AI872408	CSTF2T	3,1102	0,0292	4	1
242049_s_at	BE783098	NAG	3,117	0,0805	4	0
220338_at	NM_018037	RALGPS2	3,189	0,0492	4	0
238822_at	AI743753	MRPL3	3,2004	0,0406	4	1
222471_s_at	AI743396	KCMF1	3,2026	0,0487	4	0
226899_at	AK022859	UNC5B	3,217	0,0483	5	0
209080_x_at	AF118652	TXNL2	3,2585	0,0514	5	0
224751_at	BE738276	---	3,2615	0,0569	4	0
235653_s_at	BF685315	THAP6	3,3428	0,0782	4	0
229218_at	AA628535	COL1A2	3,3687	0,0487	5	0
203988_s_at	NM_004480	FUT8	3,4031	0,0492	5	0
214764_at	AW029169	KIAA0507	3,4072	0,0554	4	0
219673_at	NM_017696	C6orf61	3,431	0,0468	4	1
229450_at	AI075407	IFIT3	3,4488	0,048	4	0
228032_s_at	AW071458	---	3,4537	0,0481	4	0
222077_s_at	AU153848	RACGAP1	3,4643	0,0306	4	0
221731_x_at	BF218922	CSPG2	3,4714	0,0415	4	0
204320_at	NM_001854	COL11A1	3,4717	0,0195	4	0
201344_at	BF196642	UBE2D2	3,4904	0,0413	4	0
211776_s_at	BC006141	EPB41L3	3,5026	0,0371	4	0
221729_at	AL575735	COL5A2	3,5107	0,0412	4	1
219099_at	NM_020375	C12orf5	3,5339	0,048	4	0
201695_s_at	NM_000270	NP	3,5608	0,0306	4	0
218585_s_at	NM_016448	DTL	3,5863	0,0193	4	0
201291_s_at	AU159942	TOP2A	3,6575	0,01	4	0
210511_s_at	M13436	INHBA	3,7175	0,0179	4	0
215646_s_at	R94644	CSPG2	3,7216	0,0169	4	1
229068_at	BF197357	CCT5	3,7232	0,018	4	1
228273_at	BG165011	PRR11	3,7356	0,0195	4	0
235476_at	AW182459	TRIM59	3,7867	0,0197	5	0
203715_at	NM_003193	TBCE	3,8525	0,016	5	0
211379_x_at	AB050855	B3GALT3	3,8573	0,0163	4	0
205941_s_at	AI376003	COL10A1	3,8727	0,007	4	0
216766_at	AK025152	PRKCE	3,9817	0,0181	4	0
209524_at	AK001280	HDGFRP3	4,0233	0,018	4	0
203102_s_at	NM_002408	MGAT2	4,0953	0,0203	4	0
211161_s_at	AF130082	COL3A1	4,1092	0,0196	4	0
235318_at	AW955612	FBN1	4,1413	0,0157	4	0
211764_s_at	BC005980	UBE2D1	4,1443	0,0197	4	0
1556499_s_at	BE221212	COL1A1	4,2323	0,0163	4	0
214590_s_at	AL545760	UBE2D1	4,3105	0,0157	4	0
218039_at	NM_016359	NUSAP1	4,4104	0,0072	5	0
214943_s_at	D38491	RBM34	4,4138	0,0149	4	0
235113_at	AA742244	PPIL5	4,4141	0,0139	4	0
212353_at	AI479175	SULF1	4,5601	0,002	4	0
219918_s_at	NM_018123	ASPM	4,5827	0,0071	4	0
218986_s_at	NM_017631	FLJ20035	4,744	0,0103	4	0
207165_at	NM_012485	HMMR	4,8035	0,0055	4	0
212930_at	AW576457	ATP2B1	4,9577	0,0072	4	0
217735_s_at	AW007368	EIF2AK1	5,0124	0,0053	4	0
212354_at	BE500977	SULF1	5,0187	0,0063	5	0
202310_s_at	K01228	COL1A1	5,0947	0,0036	4	0
226682_at	AW006185	LOC283666	5,1265	0,0069	4	0
225681_at	AA584310	CTHRC1	5,1547	0,0033	4	0
212464_s_at	X02761	FN1	5,2104	0,006	4	0
224496_s_at	BC006292	MGC10744	5,2348	0,005	4	0
225706_at	AI761989	GLCCI1	5,3801	0,0031	5	0
238681_at	R46180	GDPD1	5,4661	0,0018	4	0
1563321_s_at	AF272384	MLLT10	5,5266	0,0025	4	0
202311_s_at	AI743621	COL1A1	5,6126	0,0017	5	0
1567458_s_at	AJ012502	RAC1	5,6203	0,002	4	0
213909_at	AU147799	LRRC15	6,1642	0	4	0
37892_at	J04177	COL11A1	6,6985	0	5	0
202404_s_at	NM_000089	COL1A2	6,763	0	4	0
205509_at	NM_001871	CPB1	12,5197	0	4	0
