ProbeID	Description	GeneBank/RefSeq Id
A_23_P12816	helicase, lymphoid-specific	NM_018063
A_23_P133147	H2A histone family, member Z B	C018002
A_23_P65040	Rac GTPase activating protein 1 B	C032754
A_23_P93690	MCM7 minichromosome maintenance deficient 7 (S. cerevisiae)	NM_005916
A_23_P74349	cell division cycle associated 1	NM_145697
A_23_P98891	cyclin-dependent kinase 2 B	C003065
A_23_P163481	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	NM_001211
A_23_P62890	guanylate binding protein 1, interferon-inducible, 67kDa	NM_002053
A_23_P256455	replication protein A3, 14kDa	NM_002947
A_23_P212844	transforming, acidic coiled-coil containing protein 3	NM_006342
A_23_P101400		J04763
A_23_P9571	epithelial cell transforming sequence 2 oncogene B	C006838
A_23_P205031	collagen, type IV, alpha 2	NM_001846
A_23_P148807	CDC7 cell division cycle 7 (S. cerevisiae)	NM_003503
A_23_P88362	peptidylprolyl isomerase (cyclophilin) like 5 A	Y052405
A_23_P208880	ubiquitin-like, containing PHD and RING finger domains, 1	NM_013282
A_23_P98477	hypothetical protein FLJ13215	NM_025004
A_23_P76761	vaccinia related kinase 1 B	C005970
A_23_P251421	cell division cycle associated 7	NM_031942
A_23_P135364	deoxythymidylate kinase (thymidylate kinase)	NM_012145
A_23_P254612	activator of S phase kinase A	B028070
A_23_P50096	thymidylate synthetase	NM_001071
A_23_P18196	replication factor C (activator 1) 4, 37kDa	NM_002916
A_23_P215208	fidgetin-like 1	NM_022116
A_23_P208389	AXL receptor tyrosine kinase	NM_021913
A_23_P48669	cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)	NM_005192
A_23_P204170		I_932423
A_23_P123974	deoxythymidylate kinase (thymidylate kinase) A	F258562
A_23_P106162	chromosome 14 open reading frame 106 A	K002048
A_23_P119362	epithelial membrane protein 3	NM_001425
A_23_P401	centromere protein F, 350/400ka (mitosin)	NM_016343
A_23_P111701	guanine nucleotide binding protein (G protein), gamma 11	NM_004126
A_23_P68547	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	NM_032485
A_23_P12722	cleavage stimulation factor, 3 pre-RNA, subunit 2, 64kDa, tau variant A	L136747
A_23_P54617	kinesin family member 22 A	B017430
A_23_P206632	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase	U56816
A_23_P99292	RAD51-interacting protein	NM_006479
A_23_P49972	CDC6 cell division cycle 6 homolog (S. cerevisiae)	NM_001254
A_23_P143994	Fanconi anemia, complementation group D2 A	L832427
A_23_P203957	ARG99 protein	NM_175861
A_23_P88331	discs, large homolog 7 (Drosophila)	NM_014750
A_23_P52278	kinesin family member 11	X85137
A_23_P131383	PHD finger protein 9	NM_018062
A_23_P84620	RA-regulated nuclear matrix-associated protein A	F195765
A_23_P252335	chromosome 21 open reading frame 45	NM_018944
A_23_P9232	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	NM_001490
A_23_P214168	collagen, type XII, alpha 1	NM_004370
A_23_P14193	replication factor C (activator 1) 3, 38kDa	NM_002915
A_23_P99452	breast cancer 2, early onset	NM_000059
A_23_P82868	plasminogen activator, tissue	NM_000930
A_23_P114034	complement component 1, r subcomponent	X04701
A_23_P254702	DEK oncogene (DNA binding) B	C035259
A_23_P143207	ubiquitin-conjugating enzyme E2C B	C016292
A_23_P87192	flap structure-specific endonuclease 1 B	C000323
A_23_P70249	cell division cycle 25C	NM_001790
A_23_P250801	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	X67334
A_23_P202374	COX15 homolog, cytochrome c oxidase assembly protein (yeast)	NM_078470
A_23_P151150	forkhead box M1	NM_021953
A_23_P216068	PRO2000 protein	NM_014109
A_23_P167607	thyroid hormone receptor interactor 13 B	C000404
A_23_P7636	pituitary tumor-transforming 1	NM_004219
A_23_P18579	pituitary tumor-transforming 2	NM_006607
A_23_P88740	uncharacterized bone marrow protein BM039	NM_018455
A_23_P60024	pituitary tumor-transforming 3 A	F095289
A_23_P57379	CDC45 cell division cycle 45-like (S. cerevisiae)	NM_003504
A_23_P88731	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	NM_002875
A_23_P207400	breast cancer 1, early onset	NM_007294
A_23_P255750	hypothetical protein FLJ12735 A	K022797
A_23_P152136	hypothetical protein FLJ13912	NM_022770
A_23_P81850		X67081
A_23_P213205	Wolf-Hirschhorn syndrome candidate 1 A	F083386
A_23_P139312	hypothetical protein LOC200895	NM_176815
A_23_P145904	histone H2A.F/Z variant	NM_012412
A_23_P47370	H2A histone family, member X B	C011694
A_23_P157795	catenin (cadherin-associated protein), alpha-like 1	NM_003798
A_23_P71727	CDC28 protein kinase regulatory subunit 2	NM_001827
A_23_P116264	neurogranin (protein kinase C substrate, RC3)	NM_006176
A_23_P80902	kinesin-like 7	NM_020242
A_23_P86133	replication protein A2, 32kDa	NM_002946
A_23_P88484	dUTP pyrophosphatase	U31930
A_23_P79429	hypothetical protein DKFZp762E1312 A	L162048
A_23_P160934	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E A	Y057381
A_23_P209925	fibronectin 1	X02761
A_23_P159986	hypothetical protein MGC16121	NM_032762
A_23_P138631	chondroitin sulfate proteoglycan 6 (bamacan)	NM_005445
A_23_P14062	nuclear pore complex protein	NM_020401
A_23_P122216	lysyl oxidase	NM_002317
