ProbeID	Description	GeneBank/RefSeq Id
A_23_P43490	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	NM_058197
A_23_P106162	chromosome 14 open reading frame 106 A	K002048
A_23_P71644	Fanconi anemia, complementation group G	NM_004629
A_23_P138072	protein kinase, cAMP-dependent, catalytic, beta	M34181
A_23_P145904	histone H2A.F/Z variant	NM_012412
A_23_P63319	sterol O-acyltransferase (acyl-Coenzyme A: cholesterol acyltransferase) 1	L21934
A_23_P200310	hypothetical protein FLJ20354	NM_017779
A_23_P62857	phospholipase A2, group IIA (platelets, synovial fluid)	M22430
A_23_P117494	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	NM_005956
A_23_P140088	hypothetical protein FLJ11712	NM_024570
A_23_P259641	enhancer of zeste homolog 2 (Drosophila)	NM_004456
A_23_P28980	CDC91 cell division cycle 91-like 1 (S. cerevisiae) A	B086842
A_23_P84289	hypothetical protein FLJ10751 A	K001706
A_23_P255376	hypothetical protein FLJ20647	NM_017918
A_23_P163099	polymerase (DNA directed), epsilon 2 (p59 subunit)	NM_002692
A_23_P212284	DKFZP434C245 protein	NM_015426
A_23_P74115	RAD54-like (S. cerevisiae)	NM_003579
A_23_P253484	aminoadipate aminotransferase A	F481738
A_23_P104372	DnaJ (Hsp40) homolog, subfamily C, member 9	NM_015190
A_23_P136817	kinetochore associated 1	NM_014708
A_23_P63402	LGN protein	NM_013296
A_23_P33700	neuroepithelial cell transforming gene 1 B	C010285
A_23_P375	cell division cycle associated 8	NM_018101
A_23_P49865	germ cell specific Y-box binding protein	NM_015982
A_23_P7101	stem-loop (histone) binding protein	NM_006527
A_23_P109539	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	U61083
A_23_P157527	KIAA1764 protein B	C030701
A_23_P154068	tubulin, alpha 1 (testis specific) A	K054731
A_23_P120931	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3C	NM_014508
A_23_P116264	neurogranin (protein kinase C substrate, RC3)	NM_006176
A_23_P157795	catenin (cadherin-associated protein), alpha-like 1	NM_003798
A_23_P213166		NM_138698
A_23_P206544	likely ortholog of mouse Shc SH2-domain binding protein 1 A	K025662
A_23_P11598	hypothetical protein MGC27466	NM_152373
A_23_P133954	kinesin family member C1 B	C000712
A_23_P215976	cyclin E2 B	C007015
A_23_P128155	tubulin alpha 6 B	C005946
A_23_P133147	H2A histone family, member Z B	C018002
A_23_P98477	hypothetical protein FLJ13215	NM_025004
A_23_P97683		X13546
A_23_P25019	primase, polypeptide 1, 49kDa	NM_000946
A_23_P148807	CDC7 cell division cycle 7 (S. cerevisiae)	NM_003503
A_23_P162822	Opa-interacting protein 2	NM_181503
A_23_P87351	ribonucleotide reductase M1 polypeptide	NM_001033
A_23_P81914	beta 5-tubulin A	F070600
A_23_P68300	KIAA1724 protein A	K092710
A_23_P252371	retinoblastoma binding protein 8	NM_002894
A_23_P214121	adenosylmethionine decarboxylase 1	M21154
A_23_P140277	spectrin repeat containing, nuclear envelope 2 A	K095241
A_23_P49724		U03493
A_23_P211511	B	C017022
A_23_P100344	origin recognition complex, subunit 6 homolog-like (yeast)	NM_014321
A_23_P25215	RecQ protein-like (DNA helicase Q1-like)	NM_032941
A_23_P251268	NPC-related protein NAG73	NM_032570
A_23_P98891	cyclin-dependent kinase 2 B	C003065
A_23_P128597	tubulin, alpha 2 B	C011721
A_23_P69109	phospholipid scramblase 1	NM_021105
A_23_P13657	M-phase phosphoprotein 9	NM_022782
A_23_P122197	cyclin B1	NM_031966
A_23_P112673	hypothetical protein FLJ10036 A	K000898
A_23_P131322	KIAA1641 protein B	C017427
A_23_P215505	guanine nucleotide exchange factor for Rap1	NM_012294
A_23_P60259	hypothetical protein FLJ10493	NM_018112
A_23_P210283	prothymosin, alpha (gene sequence 28) B	C022433
A_23_P163143		NM_001107
A_23_P208683	nucleoporin 62kDa A	L162061
A_23_P135364	deoxythymidylate kinase (thymidylate kinase)	NM_012145
A_23_P208896	chromatin assembly factor 1, subunit A (p150)	U20979
A_23_P18579	pituitary tumor-transforming 2	NM_006607
A_23_P137179	thymosin, beta, identified in neuroblastoma cells	D82345
A_23_P68547	MCM8 minichromosome maintenance deficient 8 (S. cerevisiae)	NM_032485
A_23_P171077	emopamil binding protein (sterol isomerase)	NM_006579
A_23_P20823	hypothetical protein MGC20486	NM_052844
A_23_P102109	tubulin, alpha 4	NM_025019
A_23_P114656	histone deacetylase 1	NM_004964
A_23_P88740	uncharacterized bone marrow protein BM039	NM_018455
A_23_P103159	chromosome 22 open reading frame 18 A	L160131
A_23_P124417	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	NM_004336
A_23_P25283	enolase 2, (gamma, neuronal) B	C002745
A_23_P208069	hypothetical protein FLJ23017	NM_022840
A_23_P80902	kinesin-like 7	NM_020242
A_23_P67251	hypothetical protein MGC48625 A	K026366
A_23_P27490	DNA (cytosine-5-)-methyltransferase 1	X63692
A_23_P71117	mitochondrial carrier family protein B	C027322
A_23_P161474	MCM10 minichromosome maintenance deficient 10 (S. cerevisiae) A	B042719
A_23_P132277	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	NM_006739
A_23_P29723	hypothetical protein BC001339	NM_138484
A_23_P5703	OLIGO
A_23_P206724	metallothionein 2A	NM_175617
A_23_P42414	neural precursor cell expressed, developmentally down-regulated 9	L43821
A_23_P102000	chemokine (C-X-C motif) receptor 4	NM_003467
A_23_P9086	zinc finger, DHHC domain containing 2 A	B023584
A_23_P105519	WW domain binding protein 11	NM_016312
A_23_P19917	heterogeneous nuclear ribonucleoprotein A2/B1	M29064
A_23_P128323	sodium channel, nonvoltage-gated 1 alpha	NM_001038
A_23_P102471	mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)	NM_000251
A_23_P53891	Kruppel-like factor 5 (intestinal)	NM_001730
A_23_P165214	hypothetical protein BC014148	NM_021047
A_23_P25293	chromosome condensation-related SMC-associated protein 1	NM_014865
A_23_P26777	pericentrin 1	NM_024844
A_23_P80817	neuronal protein	NM_013259
A_23_P7679	nucleoporin 155kDa	NM_153485
A_23_P131255	DKFZP564A2416 protein A	F193059
A_23_P256390	PC4 and SFRS1 interacting protein 2 A	F063020
A_23_P37704	DNA replication factor	NM_030928
A_23_P156310	S-phase kinase-associated protein 2 (p45)	NM_032637
A_23_P75071	M-phase phosphoprotein 1	NM_016195
A_23_P47370	H2A histone family, member X B	C011694
A_23_P36078	structure specific recognition protein 1	M86737
A_23_P134295	nudix (nucleoside diphosphate linked moiety X)-type motif 1	NM_002452
A_23_P158997	similar to ZINC FINGER PROTEIN 85 (ZINC FINGER PROTEIN HPF4) (HTF1) (H. sapiens) A	K096571
A_23_P207400	breast cancer 1, early onset	NM_007294
A_23_P136805	KIAA0013 gene product B	C039563
A_23_P7636	pituitary tumor-transforming 1	NM_004219
A_23_P90762	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	NM_013233
A_23_P16339	SUMO-1 activating enzyme subunit 1 A	K055481
A_23_P78014	tubulin, gamma 2	NM_016437
A_23_P52410	rhotekin 2	NM_145307
A_23_P253002	IQ motif containing GTPase activating protein 2	U51903
A_23_P73577	t-complex-associated-testis-expressed 1-like B	C000968
A_23_P21838	2,3-cyclic nucleotide 3 phosphodiesterase	NM_033133
A_23_P218827	polymerase (DNA directed), theta	NM_006596
A_23_P48175	hypothetical protein MGC5576	NM_024056
A_23_P73982	hypothetical protein FLJ10407	NM_018087
A_23_P20615	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	NM_006401
A_23_P79429	hypothetical protein DKFZp762E1312 A	L162048
A_23_P164826	ribonuclease H2, large subunit	NM_006397
A_23_P40090	development and differentiation enhancing factor 2 A	B007860
A_23_P96641	phosphoribosyl pyrophosphate synthetase 2	NM_002765
A_23_P76364	CD9 antigen (p24)	NM_001769
A_23_P210134	KIAA1641 protein B	C017427
A_23_P82361	glycyl-tRNA synthetase B	C007722
A_23_P3302	meiosis-specific nuclear structural protein 1 B	C034991
A_23_P106544	DC13 protein	NM_020188
A_23_P87709	hypothetical protein FLJ22662	NM_024829
A_23_P209805	NGFI-A binding protein 1 (EGR1 binding protein 1) B	C035724
A_23_P85460	cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	NM_001262
A_23_P112341	hypothetical protein FLJ12888	NM_024945
A_23_P71033	huntingtin interacting protein 1 A	F365404
A_23_P146456	cathepsin L2	NM_001333
A_23_P35316	A	F242519
A_23_P200493	lamin B receptor	NM_002296
A_23_P39574	hypothetical protein DKFZp434P055	NM_173466
A_23_P59855	zinc finger protein 138 (clone pHZ-32) B	C037426
A_23_P135517	peroxisomal membrane protein 2, 22kDa A	F250136
A_23_P138016	Homo sapiens, clone MGC:32686 IMAGE:4051739, mRNA, complete cds B	C029430
A_23_P168211	hypothetical protein DKFZp564K0822	NM_030796
A_23_P129301	hypothetical protein FLJ10460 B	C010903
A_23_P167227	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain	NM_005327
A_23_P41280	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	X53793
A_23_P208438	tropomyosin 4 A	K023385
A_23_P152768	tubulin, gamma 1	NM_001070
A_23_P202316	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast) A	F047473
A_23_P43157	v-myb myeloblastosis viral oncogene homolog (avian)-like 1	X66087
A_23_P205393	chromosome 14 open reading frame 130	NM_175748
A_23_P58382	metallothionein-like 5, testis-specific (tesmin)	U86074
A_23_P206701	metallothionein 1G B	C020757
A_23_P110802	centromere protein H	NM_022909
A_23_P206396	chemokine-like factor	NM_016951
A_23_P108910	centromere protein A, 17kDa	U14518
A_23_P20463	RAD21 homolog (S. pombe)	NM_006265
A_23_P103795	hypothetical protein MGC5338	NM_024062
A_23_P9006	Putative prostate cancer tumor suppressor	U42349
A_23_P217831	chromosome 1 open reading frame 24 A	F288391
A_23_P79107	hypothetical protein LOC148206 A	K056006
A_23_P151405	cytoskeleton associated protein 2	NM_018204
A_23_P92710	Rho-related BTB domain containing 3	NM_014899
A_23_P28169	ADP-ribosylation-like factor 6-interacting protein 6	NM_152522
A_23_P60024	pituitary tumor-transforming 3 A	F095289
A_23_P147296	HIRA interacting protein 5	NM_015700
A_23_P145529	protein kinase (cAMP-dependent, catalytic) inhibitor beta	NM_181795
A_23_P89020	alanyl-tRNA synthetase	D32050
A_23_P136787	hypothetical protein MGC14799	NM_032336
A_23_P200948	peptidyl prolyl isomerase H (cyclophilin H) B	C003412
A_23_P57676	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 3	L34673
A_23_P92213	hypothetical protein FLJ11342	NM_018394
A_23_P203729	RAB6A, member RAS oncogene family A	F130986
A_23_P70007	hyaluronan-mediated motility receptor (RHAMM)	NM_012484
A_23_P52278	kinesin family member 11	X85137
A_23_P117852	KIAA0101 gene product	NM_014736
A_23_P70348	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6	Z22658
A_23_P157435	ornithine decarboxylase antizyme inhibitor	NM_015878
A_23_P20158	hypothetical protein LOC154860 A	K057037
A_23_P99985	high-mobility group box 1	NM_002128
A_23_P76388	uracil-DNA glycosylase	Y09008
A_23_P50211	hypothetical protein FLJ12586 A	K022648
A_23_P129188	ceroid-lipofuscinosis, neuronal 6, late infantile, variant A	F308287
A_23_P50344	tubulin, beta, 5 B	C006570
A_23_P30315	tripartite motif-containing 7	NM_033342
A_23_P205456		U82938
A_23_P57306	chromatin assembly factor 1, subunit B (p60)	NM_005441
A_23_P90612	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	NM_005915
A_23_P77813	hypothetical protein FLJ12171 A	K022233
A_23_P107509	chromobox homolog 1 (HP1 beta homolog Drosophila ) B	C002609
A_23_P9232	glucosaminyl (N-acetyl) transferase 1, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	NM_001490
A_23_P5240	zinc finger protein 43 (HTF6)	X59244
A_23_P162805	high-mobility group box 1 B	C030981
A_23_P70328	chromosome 6 open reading frame 139	NM_018132
A_23_P50990	hypothetical protein MGC11266	NM_024322
A_23_P55854	tropomyosin 3 B	C015403
A_23_P23428	farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase) B	C010004
A_23_P76761	vaccinia related kinase 1 B	C005970
A_23_P71103	tissue factor pathway inhibitor 2 B	C005330
A_23_P63618	stearoyl-CoA desaturase (delta-9-desaturase) A	F097514
A_23_P104282	chromosome 10 open reading frame 6 A	K001374
A_23_P75038	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	NM_014881
A_23_P215525	oxysterol binding protein-like 3 A	F491785
A_23_P162719	diaphanous homolog 3 (Drosophila)	NM_030932
A_23_P60933		I_1109770
A_23_P19455	mediator of DNA damage checkpoint 1	D79992
A_23_P50477	BCL2-like 12 (proline rich)	NM_138639
A_23_P56304	zinc finger protein 430 A	K023721
A_23_P149668	kinesin family member 14	D26361
A_23_P162481	cell division cycle associated 3 B	C002551
A_23_P35735	OLIGO
A_23_P204333	alpha2-glucosyltransferase A	J312278
A_23_P119196	Kruppel-like factor 2 (lung)	NM_016270
A_23_P5464		D87957
A_23_P141717	DKFZP586M1523 protein	NM_015476
A_23_P54313	B7 homolog 3	NM_025240
A_23_P132138	chromosome 21 open reading frame 58	NM_058180
A_23_P158771	golgi phosphoprotein 4	U55853
A_23_P86822	translokin	NM_014679
A_23_P87769	hypothetical protein FLJ20641	NM_017915
A_23_P69720	annexin A5	NM_001154
A_23_P114221	retinoblastoma binding protein 7	NM_002893
A_23_P217236	high-mobility group box 3	NM_005342
A_23_P117172	ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 1 A	F057160
A_23_P163647	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenzyme A isomerase)	NM_001919
A_23_P82738	RAD54B homolog	NM_012415
A_23_P218079	solute carrier family 38, member 2	NM_018976
A_23_P145694	asparagine synthetase	M27396
A_23_P86133	replication protein A2, 32kDa	NM_002946
A_23_P156615	zinc finger protein 184 (Kruppel-like) B	C022992
A_23_P118774	karyopherin (importin) beta 1 B	C036703
A_23_P200829	formin binding protein 2 A	B007925
A_23_P170587	SET and MYND domain containing 2	NM_020197
A_23_P10513	E2F-like protein A	F219119
A_23_P39438	zinc finger protein 431 A	B075849
A_23_P57588	G-2 and S-phase expressed 1	NM_016426
A_23_P49517	splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor) B	C010264
A_23_P154294	hypothetical protein MGC13005	NM_032685
A_23_P151074	prothymosin, alpha (gene sequence 28) A	F170294
A_23_P132159	ubiquitin specific protease 18	NM_017414
A_23_P169629	serine hydroxymethyltransferase 2 (mitochondrial) A	K055053
A_23_P168782	B-cell receptor-associated protein BAP29 B	C008478
A_23_P72387	actin filament associated protein	NM_021638
A_23_P72800	OLIGO
A_23_P12572	caspase 7, apoptosis-related cysteine protease	NM_033338
A_23_P170491	TRAF interacting protein	NM_005879
A_23_P62807	CGI-49 protein	NM_016002
A_23_P161607	polymerase (DNA-directed), alpha (70kD) B	C002990
A_23_P138631	chondroitin sulfate proteoglycan 6 (bamacan)	NM_005445
A_23_P211910	procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2	NM_000935
A_23_P89132	zona pellucida glycoprotein 2 (sperm receptor)	NM_003460
A_23_P43425	hypothetical protein FLJ10110	NM_017998
A_23_P113429	hypothetical protein FLJ31579 A	K056141
A_23_P149724	nuclear ubiquitous casein kinase and cyclin-dependent kinase substrate B	C000805
A_23_P256815	hypothetical protein FLJ10520 B	C002574
A_23_P50834	hypothetical protein LOC148206 A	K056006
A_23_P253123	vestigial like 1 (Drosophila)	NM_016267
A_23_P50456	polymerase (DNA directed), delta 1, catalytic subunit 125kDa	NM_002691
A_23_P259930	transducin (beta)-like 1X-linked	Y12781
A_23_P86002	CGI-100 protein A	F151858
A_23_P36018	cortical thymocyte receptor (X. laevis CTX) like	NM_014312
A_23_P115872	chromosome 10 open reading frame 3	NM_018131
A_23_P89709	hypothetical protein FLJ10352 A	L136818
A_23_P254612	activator of S phase kinase A	B028070
A_23_P142606	crystallin, gamma C	NM_020989
A_23_P92719	retinoic acid induced 14 A	F155135
A_23_P48022	taste receptor, type 2, member 8	NM_023918
A_23_P108599	protein phosphatase 3 (formerly 2B), regulatory subunit B, 19kDa, alpha isoform (calcineurin B, type I)	M30773
A_23_P111240	chromosome 6 open reading frame 56	NM_014721
A_23_P44908	CDC42 binding protein kinase alpha (DMPK-like)	U59305
A_23_P144684	hypothetical protein DKFZp761C121	NM_032290
A_23_P38085	calcium regulated heat stable protein 1, 24kDa	NM_014316
A_23_P124122	peroxisomal membrane protein 2, 22kDa	NM_018663
A_23_P33914	hypothetical protein FLJ20130	NM_017681
A_23_P38732	cadherin 2, type 1, N-cadherin (neuronal)	NM_001792
A_23_P75204	hypothetical protein FLJ20003	NM_017615
A_23_P42451	spectrin repeat containing, nuclear envelope 1 A	B051543
A_23_P205553	spectrin repeat containing, nuclear envelope 2	NM_015180
A_23_P9212	N-acetylneuraminic acid synthase (sialic acid synthase) B	C019315
A_23_P28772	chromosome 20 open reading frame 35	NM_018478
A_23_P16722		NM_017718
A_23_P21033	guanine monphosphate synthetase	NM_003875
A_23_P424	MAP/microtubule affinity-regulating kinase 1	NM_018650
A_23_P51548	microsomal glutathione S-transferase 3	NM_004528
A_23_P11192	ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)	NM_006357
A_23_P45913	U5 snRNP-specific 40 kDa protein (hPrp8-binding)	NM_004814
A_23_P33433	MYC-associated zinc finger protein (purine-binding transcription factor) A	F489858
A_23_P166306	cystathionine-beta-synthase	NM_000071
A_23_P32838	midline 1 (Opitz/BBB syndrome)	Y13667
A_23_P99891	mesoderm development candidate 1 B	C001373
A_23_P149239	hepatoma-derived growth factor (high-mobility group protein 1-like)	D16431
