Gene Name	P-value	Common	Genbank ID	Description
	2.18E-07	ZNF180	NM_013256.1	Homo sapiens zinc finger protein 180 (HHZ168) (ZNF180), mRNA.
	2.16E-07	FLJ32658	NM_144688.2	Homo sapiens hypothetical protein FLJ32658 (FLJ32658), mRNA.
	2.13E-07	FOSL1	NM_005438.2	Homo sapiens FOS-like antigen 1 (FOSL1), mRNA.
Hs.398069	2.12E-07		null	Cluster 398069 , UniGene build 163
Hs.429848	2.11E-07		null	Cluster 429848 , UniGene build 163
	2.09E-07	ASCL2	NM_005170.2	Homo sapiens achaete-scute complex-like 2 (Drosophila) (ASCL2), mRNA.
Hs.467312	2.05E-07		null	Cluster 467312 , UniGene build 163
	1.97E-07	ZNF567	NM_152603.2	Homo sapiens zinc finger protein 567 (ZNF567), mRNA.
Hs.476925	1.96E-07		null	Cluster 476925 , UniGene build 163
	1.95E-07	C6orf11	NM_005452.4	Homo sapiens chromosome 6 open reading frame 11 (C6orf11), mRNA.
	1.86E-07	hmm35235	null	Gnomon gene hmm35235 , RefSeq build 34
	1.85E-07	GPR10	NM_004248.1	Homo sapiens G protein-coupled receptor 10 (GPR10), mRNA.
	1.80E-07	HSPA8	NM_006597.3	Homo sapiens heat shock 70kDa protein 8 (HSPA8), transcript variant 1, mRNA.
Hs.438736	1.79E-07		null	Cluster 438736 , UniGene build 163
	1.72E-07	LOC343069	XM_291395.1	Homo sapiens similar to Heterogeneous nuclear ribonucleoprotein C-like dJ845O24.4 (hnRNP core protein C-like) (LOC343069), mRNA.
	1.67E-07	hmm22531	null	Gnomon gene hmm22531 , RefSeq build 34
	1.66E-07	LOC374359	XM_352996.1	Homo sapiens LOC374359 (LOC374359), mRNA.
Hs.281111	1.65E-07		null	Cluster 281111 , UniGene build 163
	1.63E-07	NUP133	NM_018230.2	Homo sapiens nucleoporin 133kDa (NUP133), mRNA.
	1.61E-07	KRTHA8	NM_006771.3	Homo sapiens keratin, hair, acidic, 8 (KRTHA8), mRNA.
	1.59E-07	WDR12	NM_018256.2	Homo sapiens WD repeat domain 12 (WDR12), mRNA.
Hs.351518	1.57E-07		null	Cluster 351518 , UniGene build 163
Hs.492849	1.54E-07		null	Cluster 492849 , UniGene build 163
	1.49E-07	FGG	NM_000509.3	Homo sapiens fibrinogen, gamma polypeptide (FGG), transcript variant gamma-A, mRNA.
	1.47E-07	hmm28328	null	Gnomon gene hmm28328 , RefSeq build 34
	1.46E-07	hmm37145	null	Gnomon gene hmm37145 , RefSeq build 34
	1.45E-07	LOC374662	XM_353096.1	Homo sapiens LOC374662 (LOC374662), mRNA.
	1.44E-07	hmm25630	null	Gnomon gene hmm25630 , RefSeq build 34
	1.42E-07	HSPD1	NM_002156.4	Homo sapiens heat shock 60kDa protein 1 (chaperonin) (HSPD1), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.
	1.38E-07	GLMN	NM_007070.2	Homo sapiens glomulin, FKBP associated protein (GLMN), transcript variant 2, mRNA.
	1.32E-07	hmm32770	null	Gnomon gene hmm32770 , RefSeq build 34
	1.26E-07	TRIM50A	NM_178125.2	Homo sapiens tripartite motif-containing 50A (TRIM50A), mRNA.
	1.23E-07	LOC284630	XM_211562.1	Homo sapiens LOC284630 (LOC284630), mRNA.
	1.23E-07	CISH	NM_145071.1	Homo sapiens cytokine inducible SH2-containing protein (CISH), transcript variant 2, mRNA.
	1.23E-07	DNCI2	NM_001378.1	Homo sapiens dynein, cytoplasmic, intermediate polypeptide 2 (DNCI2), mRNA.
	1.22E-07	LYAR	NM_017816.1	Homo sapiens hypothetical protein FLJ20425 (LYAR), mRNA.
	1.11E-07	TULP3	NM_003324.3	Homo sapiens tubby like protein 3 (TULP3), mRNA.
	1.11E-07	LOC388291	XM_373692.1	Homo sapiens LOC388291 (LOC388291), mRNA.
	1.11E-07	ZNF384	NM_133476.2	Homo sapiens zinc finger protein 384 (ZNF384), mRNA.
	1.11E-07	RAP2B	NM_002886.2	Homo sapiens RAP2B, member of RAS oncogene family (RAP2B), mRNA.
	1.10E-07	NOP5 / NOP58	NM_015934.3	Homo sapiens nucleolar protein NOP5/NOP58 (NOP5/NOP58), mRNA.
	1.09E-07	LCMT2	NM_014793.3	Homo sapiens leucine carboxyl methyltransferase 2 (LCMT2), mRNA.
	1.02E-07	hmm30340	null	Gnomon gene hmm30340 , RefSeq build 34
	1.01E-07	hmm20043	null	Gnomon gene hmm20043 , RefSeq build 34
Hs.465673	1.00E-07		null	Cluster 465673 , UniGene build 163
	9.89E-08	LOC389359	XM_374156.1	Homo sapiens LOC389359 (LOC389359), mRNA.
Hs.488130	9.71E-08		null	Cluster 488130 , UniGene build 163
Hs.504081	9.27E-08		null	Cluster 504081 , UniGene build 163
	8.99E-08	CYP1A2	NM_000761.2	Homo sapiens cytochrome P450, family 1, subfamily A, polypeptide 2 (CYP1A2), mRNA.
	8.95E-08	FBXO3	NM_033406.1	Homo sapiens F-box only protein 3 (FBXO3), transcript variant 2, mRNA.
Hs.371627	8.86E-08		null	Cluster 371627 , UniGene build 163
	8.85E-08	PTK9	NM_002822.3	Homo sapiens PTK9 protein tyrosine kinase 9 (PTK9), transcript variant 1, mRNA.
	8.85E-08	KIAA0007	XM_087089.3	Homo sapiens KIAA0007 protein (KIAA0007), mRNA.
Hs.96812	8.77E-08		null	Cluster 96812 , UniGene build 163
	8.53E-08	FLJ12770	NM_032174.3	Homo sapiens hypothetical protein FLJ12770 (FLJ12770), mRNA.
Hs.503760	8.44E-08		null	Cluster 503760 , UniGene build 163
	8.38E-08	hmm25717	null	Gnomon gene hmm25717 , RefSeq build 34
	8.36E-08	hmm20047	null	Gnomon gene hmm20047 , RefSeq build 34
	8.21E-08	OAS2	NM_002535.1	Homo sapiens 2-5-oligoadenylate synthetase 2, 69/71kDa (OAS2), transcript variant 2, mRNA.
	8.16E-08	hmm29970	null	Gnomon gene hmm29970 , RefSeq build 34
	8.09E-08	COPS3	NM_003653.2	Homo sapiens COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis) (COPS3), mRNA.
Hs.483706	7.77E-08		null	Cluster 483706 , UniGene build 163
	7.22E-08	ZFR	NM_016107.3	Homo sapiens zinc finger RNA binding protein (ZFR), mRNA.
	7.18E-08	hmm20323	null	Gnomon gene hmm20323 , RefSeq build 34
	7.12E-08	COPS4	NM_016129.2	Homo sapiens COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis) (COPS4), mRNA.
	6.96E-08	LOC284363	XM_209145.1	Homo sapiens similar to RIKEN cDNA 0610012D14 (LOC284363), mRNA.
	6.76E-08	CORO1B	NM_020441.1	Homo sapiens coronin, actin binding protein, 1B (CORO1B), mRNA.
	6.64E-08	B3GAT1	NM_054025.1	Homo sapiens beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P) (B3GAT1), transcript variant 2, mRNA.
	6.21E-08	MGC35097	NM_173546.1	Homo sapiens hypothetical protein MGC35097 (MGC35097), mRNA.
	5.83E-08	SLCO1A2	NM_005075.2	Homo sapiens solute carrier organic anion transporter family, member 1A2 (SLCO1A2), transcript variant 3, mRNA.
	5.65E-08	hmm28933	null	Gnomon gene hmm28933 , RefSeq build 34
Hs.496782	5.58E-08		null	Cluster 496782 , UniGene build 163
	5.58E-08	P2RXL1	NM_005446.2	Homo sapiens purinergic receptor P2X-like 1, orphan receptor (P2RXL1), mRNA.
	5.46E-08	LOC388952	XM_373986.1	Homo sapiens LOC388952 (LOC388952), mRNA.
	5.32E-08	HUMAUANTIG	NM_013285.1	Homo sapiens nucleolar GTPase (HUMAUANTIG), mRNA.
	4.67E-08	LOC221683	XM_168089.2	Homo sapiens LOC221683 (LOC221683), mRNA.
	4.49E-08	hmm32728	null	Gnomon gene hmm32728 , RefSeq build 34
Hs.278665	4.28E-08		null	Cluster 278665 , UniGene build 163
	4.09E-08	CTEN	NM_032865.3	Homo sapiens C-terminal tensin-like (CTEN), mRNA.
	4.02E-08	KCNIP2	NM_173197.1	Homo sapiens Kv channel interacting protein 2 (KCNIP2), transcript variant 7, mRNA.
	3.92E-08	SLC22A7	NM_006672.2	Homo sapiens solute carrier family 22 (organic anion transporter), member 7 (SLC22A7), transcript variant 1, mRNA.
Hs.478596	3.60E-08		null	Cluster 478596 , UniGene build 163
	3.56E-08	SPATA3	NM_139073.2	Homo sapiens spermatogenesis associated 3 (SPATA3), mRNA.
	3.52E-08	SDHD	NM_003002.1	Homo sapiens succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD), nuclear gene encoding mitochondrial protein, mRNA.
	3.46E-08	MGC4809	XM_370870.2	Homo sapiens serologically defined breast cancer antigen NY-BR-20 (MGC4809), mRNA.
	3.43E-08	hmm23310	null	Gnomon gene hmm23310 , RefSeq build 34
	3.34E-08	KIAA0543	XM_379967.1	Homo sapiens KIAA0543 protein (KIAA0543), mRNA.
	3.33E-08	MSH4	NM_002440.2	Homo sapiens mutS homolog 4 (E. coli) (MSH4), mRNA.
	2.97E-08	MUC3B	XM_168578.3	Homo sapiens mucin 3B (MUC3B), mRNA.
	2.96E-08	BAIAP2	NM_006340.1	Homo sapiens BAI1-associated protein 2 (BAIAP2), transcript variant 3, mRNA.
	2.69E-08	PPP2R3A	NM_002718.3	Homo sapiens protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha (PPP2R3A), transcript variant 1, mRNA.
	2.68E-08	DKFZp779M0652	XM_374877.1	Homo sapiens hypothetical protein DKFZp779M0652 (DKFZp779M0652), mRNA.
	2.62E-08	DKFZP564D116	NM_015631.1	Homo sapiens DKFZP564D116 protein (DKFZP564D116), mRNA.
Hs.470540	2.56E-08		null	Cluster 470540 , UniGene build 163
	2.51E-08	PRIC285	NM_033405.2	Homo sapiens peroxisomal proliferator-activated receptor A interacting complex 285 (PRIC285), mRNA.
	2.37E-08	LOC400558	XM_378631.1	Homo sapiens hypothetical gene supported by AK130578 (LOC400558), mRNA.
	2.35E-08	CHORDC1	NM_012124.1	Homo sapiens cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1 (CHORDC1), mRNA.
	2.31E-08	KIAA0545	XM_032278.8	Homo sapiens KIAA0545 protein (KIAA0545), mRNA.
Hs.482637	2.25E-08		null	Cluster 482637 , UniGene build 163
Hs.479583	2.24E-08		null	Cluster 479583 , UniGene build 163
	2.23E-08	hmm35904	null	Gnomon gene hmm35904 , RefSeq build 34
	2.09E-08	TED	NM_015686.1	Homo sapiens TED protein (TED), mRNA.
Hs.429868	2.04E-08		null	Cluster 429868 , UniGene build 163
	1.87E-08	hmm20426	null	Gnomon gene hmm20426 , RefSeq build 34
Hs.451526	1.86E-08		null	Cluster 451526 , UniGene build 163
Hs.504072	1.82E-08		null	Cluster 504072 , UniGene build 163
	1.79E-08	ASF1A	NM_014034.1	Homo sapiens ASF1 anti-silencing function 1 homolog A (S. cerevisiae) (ASF1A), mRNA.
	1.59E-08	PI16	NM_153370.1	Homo sapiens protease inhibitor 16 (PI16), mRNA.
	1.48E-08	ORC3L	NM_181837.1	Homo sapiens origin recognition complex, subunit 3-like (yeast) (ORC3L), transcript variant 1, mRNA.
	1.46E-08	LOC283364	XM_211003.1	Homo sapiens LOC283364 (LOC283364), mRNA.
	1.39E-08	LOC388399	XM_371066.1	Homo sapiens similar to SMT3 suppressor of mif two 3 homolog 2 (LOC388399), mRNA.
	1.35E-08	FXYD7	NM_022006.1	Homo sapiens FXYD domain containing ion transport regulator 7 (FXYD7), mRNA.
Hs.107384	1.19E-08		null	Cluster 107384 , UniGene build 163
	1.17E-08	LOC161247	NM_203402.1	Homo sapiens similar to CG10671-like (LOC161247), mRNA.
	1.14E-08	LOC375042	XM_351309.1	Homo sapiens similar to bA92K2.2 (similar to ubiquitin) (LOC375042), mRNA.
	1.14E-08	LAMA3	NM_198129.1	Homo sapiens laminin, alpha 3 (LAMA3), transcript variant 1, mRNA.
	1.14E-08	hmm30452	null	Gnomon gene hmm30452 , RefSeq build 34
Hs.504082	1.12E-08		null	Cluster 504082 , UniGene build 163
	1.03E-08	hmm27484	null	Gnomon gene hmm27484 , RefSeq build 34
	1.01E-08	HSU15552	NM_014597.1	Homo sapiens acidic 82 kDa protein mRNA (HSU15552), mRNA.
	9.73E-09	LOC56902	NM_020143.2	Homo sapiens putatative 28 kDa protein (LOC56902), mRNA.
Hs.446301	9.49E-09		null	Cluster 446301 , UniGene build 163
	9.41E-09	hmm27885	null	Gnomon gene hmm27885 , RefSeq build 34
	8.74E-09	LGALS12	NM_033101.2	Homo sapiens lectin, galactoside-binding, soluble, 12 (galectin 12) (LGALS12), mRNA.
	8.50E-09	KPNA3	NM_002267.2	Homo sapiens karyopherin alpha 3 (importin alpha 4) (KPNA3), mRNA.
	7.67E-09	hmm23104	null	Gnomon gene hmm23104 , RefSeq build 34
	7.27E-09	KRT15	NM_002275.2	Homo sapiens keratin 15 (KRT15), mRNA.
	7.12E-09	hmm22399	null	Gnomon gene hmm22399 , RefSeq build 34
	6.69E-09	C21orf69	NM_058189.1	Homo sapiens chromosome 21 open reading frame 69 (C21orf69), transcript variant 2, mRNA.
	6.55E-09	DSCR1L2	NM_013441.2	Homo sapiens Down syndrome critical region gene 1-like 2 (DSCR1L2), mRNA.
	6.45E-09	CCNT2	NM_058241.1	Homo sapiens cyclin T2 (CCNT2), transcript variant b, mRNA.
	5.98E-09	MED8	NM_201542.1	Homo sapiens mediator of RNA polymerase II transcription, subunit 8 homolog (yeast) (MED8), transcript variant 1, mRNA.
Hs.481541	4.51E-09		null	Cluster 481541 , UniGene build 163
Hs.496106	4.14E-09		null	Cluster 496106 , UniGene build 163
	3.71E-09	MGC13005	NM_032685.2	Homo sapiens hypothetical protein MGC13005 (MGC13005), mRNA.
	3.42E-09	LOC283217	XM_210933.1	Homo sapiens LOC283217 (LOC283217), mRNA.
	2.98E-09	FLJ36766	NM_182623.1	Homo sapiens hypothetical protein FLJ36766 (FLJ36766), mRNA.
	2.98E-09	ADRA1D	NM_000678.2	Homo sapiens adrenergic, alpha-1D-, receptor (ADRA1D), mRNA.
	2.70E-09	UTF1	NM_003577.1	Homo sapiens undifferentiated embryonic cell transcription factor 1 (UTF1), mRNA.
Hs.334201	2.43E-09		null	Cluster 334201 , UniGene build 163
Hs.509993	2.32E-09		null	Cluster 509993 , UniGene build 163
	2.08E-09	hmm27651	null	Gnomon gene hmm27651 , RefSeq build 34
	2.06E-09	PODN	NM_153703.3	Homo sapiens podocan (PODN), mRNA.
	1.84E-09	GRM4	NM_000841.1	Homo sapiens glutamate receptor, metabotropic 4 (GRM4), mRNA.
	1.79E-09	LOC399788	XM_374817.1	Homo sapiens similar to bA182L21.1 (novel protein similar to hypothetical proteins) (LOC399788), mRNA.
	1.51E-09	PPP2R4	NM_021131.3	Homo sapiens protein phosphatase 2A, regulatory subunit B (PR 53) (PPP2R4), transcript variant 3, mRNA.
	1.48E-09	USH2A	NM_007123.3	Homo sapiens Usher syndrome 2A (autosomal recessive, mild) (USH2A), mRNA.
Hs.438595	1.42E-09		null	Cluster 438595 , UniGene build 163
	1.30E-09	hmm28793	null	Gnomon gene hmm28793 , RefSeq build 34
	8.50E-10	DBN1	NM_080881.1	Homo sapiens drebrin 1 (DBN1), transcript variant 2, mRNA.
	5.26E-10	HOXA6	NM_024014.2	Homo sapiens homeo box A6 (HOXA6), mRNA.
	3.21E-10	FLJ37940	NM_178534.2	Homo sapiens hypothetical protein FLJ37940 (FLJ37940), mRNA.
Hs.465985	6.91E-11		null	Cluster 465985 , UniGene build 163
	5.10E-11	MFAP4	NM_002404.1	Homo sapiens microfibrillar-associated protein 4 (MFAP4), mRNA.
	1.51E-11	LOC169355	NM_194294.1	Homo sapiens hypothetical protein LOC169355 (LOC169355), mRNA.
	1.04E-11	hmm29532	null	Gnomon gene hmm29532 , RefSeq build 34
Hs.190160	9.18E-12		null	Cluster 190160 , UniGene build 163
	7.31E-12	VN1R2	NM_173856.1	Homo sapiens vomeronasal 1 receptor 2 (VN1R2), mRNA.
	4.31E-12	MGC23284	XM_378628.1	Homo sapiens hypothetical protein MGC23284 (MGC23284), mRNA.
	3.07E-12	OLIG3	NM_175747.2	Homo sapiens oligodendrocyte transcription factor 3 (OLIG3), mRNA.
	1.20E-12	USH1G	NM_173477.2	Homo sapiens Usher syndrome 1G (autosomal recessive) (USH1G), mRNA.
	1.14E-12	FLJ21977	NM_032213.3	Homo sapiens hypothetical protein FLJ21977 (FLJ21977), mRNA.
	7.41E-13	hmm36295	null	Gnomon gene hmm36295 , RefSeq build 34
	6.69E-13	hmm36432	null	Gnomon gene hmm36432 , RefSeq build 34
	2.57E-13	LOC285049	XM_211750.1	Homo sapiens LOC285049 (LOC285049), mRNA.
	2.11E-13	MLLT1	NM_005934.2	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (MLLT1), mRNA.
