Category	Affymetrix ID	GeneBank	Gene name	Gene description	Fold differences: MMR(+) vs MMR(?): Cancers	Fold differences: MMR(+) vs MMR(?): Cell lines	Classifier
 Structural	40725_at	AF047438	GOSR1	Golgi SNAP receptor complex 1	1.6	2.2	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Structural	41757_at	W25933	VAPB	Vesicle-associated membrane protein	1.7	2.2	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Structural	34031_i_at	U90269	CCM1	Cerebral cavernous malformations 1	1.4	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transporters	37751_at	D87444	TM9SF4	Transmembr 9 superfamily member 4	2	1.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Transporters	39523_at	AF038897	STX16	Syntaxin 16	1.9	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 RNA binding	41823_at	AJ132258	STAU	Staufen, RNA binding protein	1.9	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 RNA binding	34345_at	AF026031	C20orf14	Chrom 20 open-reading frame 14	1.8	1.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 RNA binding	32758_g_at	U84720	RAE1	RAE1 RNA export 1 homolog	1.7	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Others	39005_s_at	AB018257	ZNF294	Zinc finger protein 294	1.7	2.1	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Others	37410_at	AJ224358	SURF5	Surfeit 5	1.7	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Others	33418_at	AL096752	RAB3GAP	RAB3 guanosine triphosphatase–activating protein	1.5	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Others	39429_at	X99050	UVRAG	UV radiation resistance associated	1.3	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Unknown function	40517_at	AB002370	KIAA0372	KIAA0372 protein	1.7	3.8	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Unknown function	38204_at	AB007866	KIAA0406	KIAA0406 protein	1.7	1.5	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Unknown function	33242_at	U92980	DT1P1A10	Hypothetical protein	1.6	1.7	GENES MORE HIGHLY EXPRESSED IN MMR(+) CANCERS AND CELL LINESa
 Nuclear	35201_at	X16135	HNRPL	Heterogeneous nuclear ribonucleoprot L	3.6	6.5	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Nuclear	31858_at	X07315	NUTF2	Nuclear transport factor 2	3.2	3.7	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Nuclear	40348_s_at	W25866	ANP32E	Acidic nuclear phosphoprotein 32 E	2.2	2.1	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Nuclear	35553_at	AF042181	TSPYL1	Testis-specific Y-encoded-like protein	1.8	4.4	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Signaling	38489_at	M60047	FGFBP1	Fibroblast growth factor binding protein 1	2.3	11.1	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Signaling	40777_at	X87838	CTNNB1	beta-catenin	1.7	2.6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Signaling	36953_at	U44378	SMAD4	SMAD, mothers against DPP homolog 4	1.5	2.7	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Signaling	33770_at	AF009225	IKKalpha	Ikappa B kinase alpha	1.3	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Apoptosis	1240_at	U13022	CASP2	Apoptosis-related protease	2.1	2.2	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Apoptosis	38871_at	AJ006288	BCL10	B-cell CLL/lymphoma 10	2.4	2.9	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Immune response	35000_at	U03398	4-1 BBL	Tumor necrosis factor superfamily member 9	2.4	6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Immune response	37844_at	AI263885	WSX-1	Interleukin-27 receptor, alpha	1.9	2.6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Metabolism	37992_s_at	AI436567	ATP5D	Adenosine triphosphate synthase delta subunit	1.7	2	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Metabolism	36599_at	M55905	ME2	Malic enzyme 2	1.5	2.7	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Metabolism	41241_at	D84273	NARS	Asparaginyl-tRNA synthetase	1.4	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Metabolism	38485_at	AA760866	NDUFC1	Nicotinamide adenine dinucleotide dehydrogenase	1.4	1.5	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Metabolism	40096_at	D14710	ATP5A1	Adenosine triphosphate synthase ? subunit	1.3	1.6	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 RNA binding	32440_at	X53777	RPL17	Ribosomal protein L17	1.3	1.4	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Unknown function	33844_at	AA160724		Similar to RCD1 homolog 1	1.7	2.3	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
 Unknown function	38250_at	D26488	KIAA0007	KIAA0007 protein	2.7	3.1	GENES MORE HIGHLY EXPRESSED IN MMR(?) CANCERS AND CELL LINESa
