Gene Name	P-value	Common	Genbank	Description
	4.69E-05	LOC342236	XM_296726.1	Homo sapiens LOC342236 (LOC342236), mRNA.
	4.68E-05	SDCCAG16	NM_006649.2	Homo sapiens serologically defined colon cancer antigen 16 (SDCCAG16), mRNA.
	4.57E-05	DKFZP434K1421	NM_032141.1	Homo sapiens hypothetical protein DKFZp434K1421 (DKFZP434K1421), mRNA.
	4.53E-05	LOC375417	XM_351595.1	Homo sapiens similar to hypothetical protein DKFZp566M1046 (LOC375417), mRNA.
	4.53E-05	PHOSPHO1	NM_178500.2	Homo sapiens phosphatase, orphan 1 (PHOSPHO1), mRNA.
	4.40E-05	CD79A	NM_021601.1	Homo sapiens CD79A antigen (immunoglobulin-associated alpha) (CD79A), transcript variant 2, mRNA.
	4.30E-05	hmm24369	null	Gnomon gene hmm24369 , RefSeq build 34
	4.29E-05	EXT1	NM_000127.1	Homo sapiens exostoses (multiple) 1 (EXT1), mRNA.
	4.25E-05	C6orf11	NM_005452.4	Homo sapiens chromosome 6 open reading frame 11 (C6orf11), mRNA.
	4.22E-05	DHX16	NM_003587.3	Homo sapiens DEAH (Asp-Glu-Ala-His) box polypeptide 16 (DHX16), mRNA.
	4.18E-05	TP73	NM_005427.1	Homo sapiens tumor protein p73 (TP73), mRNA.
	4.15E-05	ILT7	NM_012276.2	Homo sapiens leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4 (ILT7), mRNA.
	4.13E-05	SLCO1A2	NM_005075.2	Homo sapiens solute carrier organic anion transporter family, member 1A2 (SLCO1A2), transcript variant 3, mRNA.
	4.11E-05	LOC51334	NM_016644.1	Homo sapiens mesenchymal stem cell protein DSC54 (LOC51334), mRNA.
	4.02E-05	NPR1	NM_000906.2	Homo sapiens natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A) (NPR1), mRNA.
	3.96E-05	ELAC2	NM_018127.4	Homo sapiens elaC homolog 2 (E. coli) (ELAC2), mRNA.
	3.94E-05	DKFZp547B1713	NM_152379.1	Homo sapiens hypothetical protein DKFZp547B1713 (DKFZp547B1713), mRNA.
	3.90E-05	MGC13005	NM_032685.2	Homo sapiens hypothetical protein MGC13005 (MGC13005), mRNA.
Hs.465985	3.86E-05		null	Cluster 465985 , UniGene build 163
	3.85E-05	NUP133	NM_018230.2	Homo sapiens nucleoporin 133kDa (NUP133), mRNA.
	3.84E-05	LOC400558	XM_378631.1	Homo sapiens hypothetical gene supported by AK130578 (LOC400558), mRNA.
	3.82E-05	TBK1	NM_013254.2	Homo sapiens TANK-binding kinase 1 (TBK1), mRNA.
	3.80E-05	C11orf30	NM_020193.2	Homo sapiens chromosome 11 open reading frame 30 (C11orf30), mRNA.
	3.74E-05	SMYD2	NM_020197.1	Homo sapiens SET and MYND domain containing 2 (SMYD2), mRNA.
	3.66E-05	FLJ14106	NM_025067.1	Homo sapiens hypothetical protein FLJ14106 (FLJ14106), mRNA.
	3.65E-05	BAIAP2	NM_006340.1	Homo sapiens BAI1-associated protein 2 (BAIAP2), transcript variant 3, mRNA.
	3.63E-05	hmm32028	null	Gnomon gene hmm32028 , RefSeq build 34
	3.57E-05	LOC56902	NM_020143.2	Homo sapiens putatative 28 kDa protein (LOC56902), mRNA.
	3.50E-05	LOC169355	NM_194294.1	Homo sapiens hypothetical protein LOC169355 (LOC169355), mRNA.
	3.43E-05	C3orf1	NM_016589.1	Homo sapiens chromosome 3 open reading frame 1 (C3orf1), mRNA.
	3.40E-05	TCTE1L	NM_006520.1	Homo sapiens t-complex-associated-testis-expressed 1-like (TCTE1L), mRNA.
	3.39E-05	LOC162966	XM_091888.8	Homo sapiens similar to hypothetical protein (LOC162966), mRNA.
	3.36E-05	LOC388255	XM_370973.1	Homo sapiens similar to KIAA1501 protein (LOC388255), mRNA.
	3.36E-05	PHTF1	NM_006608.1	Homo sapiens putative homeodomain transcription factor 1 (PHTF1), mRNA.
	3.36E-05	RPP21	NM_024839.1	Homo sapiens ribonuclease P 21kDa subunit (RPP21), mRNA.
	3.34E-05	HRASLS2	NM_017878.1	Homo sapiens HRAS-like suppressor 2 (HRASLS2), mRNA.
	3.28E-05	SPATA5L1	NM_024063.1	Homo sapiens spermatogenesis associated 5-like 1 (SPATA5L1), mRNA.
	3.14E-05	FLJ31153	NM_144600.1	Homo sapiens hypothetical protein FLJ31153 (FLJ31153), mRNA.
	3.10E-05	NFYA	NM_021705.2	Homo sapiens nuclear transcription factor Y, alpha (NFYA), transcript variant 2, mRNA.
Hs.506484	3.07E-05		null	Cluster 506484 , UniGene build 163
	3.00E-05	LOC389139	XM_374045.1	Homo sapiens LOC389139 (LOC389139), mRNA.
	2.96E-05	ZNF394	NM_032164.2	Homo sapiens zinc finger protein 394 (ZNF394), mRNA.
	2.93E-05	COPB	NM_016451.3	Homo sapiens coatomer protein complex, subunit beta (COPB), mRNA.
	2.93E-05	VBP1	NM_003372.3	Homo sapiens von Hippel-Lindau binding protein 1 (VBP1), mRNA.
	2.84E-05	NS3BP	NM_138291.1	Homo sapiens NS3BP (NS3BP), mRNA.
	2.67E-05	VN1R2	NM_173856.1	Homo sapiens vomeronasal 1 receptor 2 (VN1R2), mRNA.
	2.61E-05	C9orf99	NM_032303.2	Homo sapiens chromosome 9 open reading frame 99 (C9orf99), mRNA.
	2.61E-05	MAGED1	NM_006986.2	Homo sapiens melanoma antigen, family D, 1 (MAGED1), mRNA.
	2.60E-05	PSMC6	NM_002806.2	Homo sapiens proteasome (prosome, macropain) 26S subunit, ATPase, 6 (PSMC6), mRNA.
Hs.469165	2.58E-05		null	Cluster 469165 , UniGene build 163
	2.52E-05	GPR10	NM_004248.1	Homo sapiens G protein-coupled receptor 10 (GPR10), mRNA.
	2.47E-05	DKFZp586C1924	NM_032273.2	Homo sapiens hypothetical protein DKFZp586C1924 (DKFZp586C1924), mRNA.
	2.44E-05	HELIC1	NM_006828.1	Homo sapiens helicase, ATP binding 1 (HELIC1), mRNA.
	2.43E-05	LOC253436	XM_172825.5	Homo sapiens hypothetical LOC253436 (LOC253436), mRNA.
Hs.429848	2.39E-05		null	Cluster 429848 , UniGene build 163
	2.29E-05	KIAA0543	XM_379967.1	Homo sapiens KIAA0543 protein (KIAA0543), mRNA.
Hs.498194	2.20E-05		null	Cluster 498194 , UniGene build 163
	2.17E-05	USH1G	NM_173477.2	Homo sapiens Usher syndrome 1G (autosomal recessive) (USH1G), mRNA.
	2.15E-05	MUC3B	XM_168578.3	Homo sapiens mucin 3B (MUC3B), mRNA.
	2.12E-05	ZNF271	NM_006629.3	Homo sapiens zinc finger protein 271 (ZNF271), mRNA.
	2.12E-05	MLLT1	NM_005934.2	Homo sapiens myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (MLLT1), mRNA.
	2.09E-05	GNAS	NM_016592.1	Homo sapiens GNAS complex locus (GNAS), transcript variant 4, mRNA.
	2.05E-05	hmm19515	null	Gnomon gene hmm19515 , RefSeq build 34
	1.96E-05	CCNK	NM_003858.2	Homo sapiens cyclin K (CCNK), mRNA.
	1.92E-05	LOC374662	XM_353096.1	Homo sapiens LOC374662 (LOC374662), mRNA.
Hs.511126	1.89E-05		null	Cluster 511126 , UniGene build 163
	1.89E-05	ZNF239	NM_005674.1	Homo sapiens zinc finger protein 239 (ZNF239), mRNA.
	1.85E-05	ISG20	NM_002201.4	Homo sapiens interferon stimulated gene 20kDa (ISG20), mRNA.
Hs.451526	1.83E-05		null	Cluster 451526 , UniGene build 163
	1.81E-05	FLJ21820	NM_021925.1	Homo sapiens hypothetical protein FLJ21820 (FLJ21820), mRNA.
	1.78E-05	LOC285049	XM_211750.1	Homo sapiens LOC285049 (LOC285049), mRNA.
	1.78E-05	LOC283111	XM_210181.4	Homo sapiens similar to odorant receptor HOR3beta1 (LOC283111), mRNA.
	1.72E-05	COPS4	NM_016129.2	Homo sapiens COP9 constitutive photomorphogenic homolog subunit 4 (Arabidopsis) (COPS4), mRNA.
	1.65E-05	FTSJ1	NM_177434.1	Homo sapiens FtsJ homolog 1 (E. coli) (FTSJ1), transcript variant 2, mRNA.
	1.65E-05	UCN3	NM_053049.2	Homo sapiens urocortin 3 (stresscopin) (UCN3), mRNA.
	1.64E-05	BFAR	NM_016561.1	Homo sapiens bifunctional apoptosis regulator (BFAR), mRNA.
	1.60E-05	PKD1L2	NM_182740.1	Homo sapiens polycystic kidney disease 1-like 2 (PKD1L2), transcript variant 2, mRNA.
	1.55E-05	hmm30661	null	Gnomon gene hmm30661 , RefSeq build 34
	1.53E-05	MGC29875	NM_014388.2	Homo sapiens hypothetical protein MGC29875 (MGC29875), mRNA.
	1.51E-05	ORC3L	NM_181837.1	Homo sapiens origin recognition complex, subunit 3-like (yeast) (ORC3L), transcript variant 1, mRNA.
	1.44E-05	KIAA0007	XM_087089.3	Homo sapiens KIAA0007 protein (KIAA0007), mRNA.
	1.35E-05	GABRR1	NM_002042.2	Homo sapiens gamma-aminobutyric acid (GABA) receptor, rho 1 (GABRR1), mRNA.
	1.33E-05	FLJ21977	NM_032213.3	Homo sapiens hypothetical protein FLJ21977 (FLJ21977), mRNA.
	1.29E-05	CTNNBL1	NM_030877.3	Homo sapiens catenin, beta like 1 (CTNNBL1), mRNA.
	1.29E-05	MCFD2	NM_139279.2	Homo sapiens multiple coagulation factor deficiency 2 (MCFD2), mRNA.
	1.23E-05	HNRPF	NM_004966.2	Homo sapiens heterogeneous nuclear ribonucleoprotein F (HNRPF), mRNA.
	1.23E-05	PLAC3	NM_020318.1	Homo sapiens placenta-specific 3 (PLAC3), transcript variant 1, mRNA.
	1.21E-05	DNCI2	NM_001378.1	Homo sapiens dynein, cytoplasmic, intermediate polypeptide 2 (DNCI2), mRNA.
	1.19E-05	FLJ32745	NM_144978.1	Homo sapiens hypothetical protein FLJ32745 (FLJ32745), mRNA.
Hs.507911	1.17E-05		null	Cluster 507911 , UniGene build 163
	1.16E-05	RARS	NM_002887.3	Homo sapiens arginyl-tRNA synthetase (RARS), mRNA.
	1.16E-05	C6orf96	NM_017909.1	Homo sapiens chromosome 6 open reading frame 96 (C6orf96), mRNA.
	1.04E-05	FLJ39035	NM_182580.1	Homo sapiens hypothetical protein FLJ39035 (FLJ39035), mRNA.
	1.03E-05	KRT15	NM_002275.2	Homo sapiens keratin 15 (KRT15), mRNA.
	1.01E-05	DKFZP564D116	NM_015631.1	Homo sapiens DKFZP564D116 protein (DKFZP564D116), mRNA.
	1.00E-05	PPP2R5E	NM_006246.2	Homo sapiens protein phosphatase 2, regulatory subunit B (B56), epsilon isoform (PPP2R5E), mRNA.
	9.93E-06	MSH5	NM_025259.3	Homo sapiens mutS homolog 5 (E. coli) (MSH5), transcript variant 1, mRNA.
	9.75E-06	hmm32326	null	Gnomon gene hmm32326 , RefSeq build 34
	9.61E-06	hmm20699	null	Gnomon gene hmm20699 , RefSeq build 34
	9.49E-06	TNFAIP8	NM_014350.1	Homo sapiens tumor necrosis factor, alpha-induced protein 8 (TNFAIP8), mRNA.
	9.47E-06	FLJ36766	NM_182623.1	Homo sapiens hypothetical protein FLJ36766 (FLJ36766), mRNA.
	9.46E-06	API5	NM_006595.2	Homo sapiens apoptosis inhibitor 5 (API5), mRNA.
	9.33E-06	hmm35140	null	Gnomon gene hmm35140 , RefSeq build 34
Hs.487076	9.31E-06		null	Cluster 487076 , UniGene build 163
	9.00E-06	DCLRE1C	NM_022487.1	Homo sapiens DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae) (DCLRE1C), mRNA.
	8.59E-06	LOC374359	XM_352996.1	Homo sapiens LOC374359 (LOC374359), mRNA.
	7.81E-06	PIGW	NM_178517.2	Homo sapiens phosphatidylinositol glycan, class W (PIGW), mRNA.
	7.77E-06	OLIG3	NM_175747.2	Homo sapiens oligodendrocyte transcription factor 3 (OLIG3), mRNA.
	7.63E-06	LOC401991	XM_377635.1	Homo sapiens similar to CDC-like kinase 3; cdc2/CDC28-like protein kinase 3 (LOC401991), mRNA.
	6.78E-06	ZFR	NM_016107.3	Homo sapiens zinc finger RNA binding protein (ZFR), mRNA.
Hs.435636	6.43E-06		null	Cluster 435636 , UniGene build 163
	6.15E-06	ADRB2	NM_000024.3	Homo sapiens adrenergic, beta-2-, receptor, surface (ADRB2), mRNA.
	6.03E-06	hmm25630	null	Gnomon gene hmm25630 , RefSeq build 34
Hs.463025	5.60E-06		null	Cluster 463025 , UniGene build 163
	5.48E-06	POLR3F	NM_006466.2	Homo sapiens polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa (POLR3F), mRNA.
Hs.480517	5.08E-06		null	Cluster 480517 , UniGene build 163
	5.02E-06	NAPA	NM_003827.1	Homo sapiens N-ethylmaleimide-sensitive factor attachment protein, alpha (NAPA), mRNA.
Hs.351518	5.00E-06		null	Cluster 351518 , UniGene build 163
	4.66E-06	LOC255783	NM_178511.2	Homo sapiens hypothetical protein LOC255783 (LOC255783), mRNA.
	4.61E-06	PIGA	NM_020473.1	Homo sapiens phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria) (PIGA), transcript variant 3, mRNA.
	4.21E-06	LPPR2	NM_022737.1	Homo sapiens lipid phosphate phosphatase-related protein type 2 (LPPR2), mRNA.
	4.14E-06	KDR	NM_002253.1	Homo sapiens kinase insert domain receptor (a type III receptor tyrosine kinase) (KDR), mRNA.
	4.07E-06	G1P3	NM_002038.2	Homo sapiens interferon, alpha-inducible protein (clone IFI-6-16) (G1P3), transcript variant 1, mRNA.
	4.00E-06	LOC161247	NM_203402.1	Homo sapiens similar to CG10671-like (LOC161247), mRNA.
	3.75E-06	CCNT2	NM_058241.1	Homo sapiens cyclin T2 (CCNT2), transcript variant b, mRNA.
	3.60E-06	LYAR	NM_017816.1	Homo sapiens hypothetical protein FLJ20425 (LYAR), mRNA.
	3.58E-06	NPC2	NM_006432.3	Homo sapiens Niemann-Pick disease, type C2 (NPC2), mRNA.
	3.53E-06	HUMAUANTIG	NM_013285.1	Homo sapiens nucleolar GTPase (HUMAUANTIG), mRNA.
Hs.471823	2.79E-06		null	Cluster 471823 , UniGene build 163
	2.74E-06	CISH	NM_145071.1	Homo sapiens cytokine inducible SH2-containing protein (CISH), transcript variant 2, mRNA.
	2.63E-06	MGC4809	XM_370870.2	Homo sapiens serologically defined breast cancer antigen NY-BR-20 (MGC4809), mRNA.
	2.62E-06	hmm32233	null	Gnomon gene hmm32233 , RefSeq build 34
	2.62E-06	PRPSAP2	NM_002767.2	Homo sapiens phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA.
	2.43E-06	MFAP4	NM_002404.1	Homo sapiens microfibrillar-associated protein 4 (MFAP4), mRNA.
	2.29E-06	LOC400628	XM_375496.1	Homo sapiens similar to FLJ00403 protein (LOC400628), mRNA.
	2.29E-06	POLR2J	NM_006234.3	Homo sapiens polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa (POLR2J), mRNA.
	2.24E-06	hmm37145	null	Gnomon gene hmm37145 , RefSeq build 34
	1.30E-06	hmm34431	null	Gnomon gene hmm34431 , RefSeq build 34
	1.14E-06	PCM1	NM_006197.2	Homo sapiens pericentriolar material 1 (PCM1), mRNA.
	1.02E-06	DERP6	NM_203413.1	Homo sapiens S-phase 2 protein (DERP6), mRNA.
	1.01E-06	DXS1283E	XM_047871.6	Homo sapiens GS2 gene (DXS1283E), mRNA.
	9.69E-07	USH2A	NM_007123.3	Homo sapiens Usher syndrome 2A (autosomal recessive, mild) (USH2A), mRNA.
	9.49E-07	BST2	NM_004335.2	Homo sapiens bone marrow stromal cell antigen 2 (BST2), mRNA.
	8.27E-07	SDHD	NM_003002.1	Homo sapiens succinate dehydrogenase complex, subunit D, integral membrane protein (SDHD), nuclear gene encoding mitochondrial protein, mRNA.
	7.15E-07	MGC23284	XM_378628.1	Homo sapiens hypothetical protein MGC23284 (MGC23284), mRNA.
	6.32E-07	FXYD7	NM_022006.1	Homo sapiens FXYD domain containing ion transport regulator 7 (FXYD7), mRNA.
	2.62E-07	ZNF426	NM_024106.1	Homo sapiens zinc finger protein 426 (ZNF426), mRNA.
